,Unnamed: 0,year,quintil_oecd,sex,plb0050,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
73,73,2016,4th Quintile,male,No,0.42,582,13889,0.38974,0.45991
74,74,2016,4th Quintile,female,Yes,0.54699,871,13889,0.50222,0.58797
75,75,2016,4th Quintile,female,No,0.45301,673,13889,0.41669,0.49443
76,76,2016,5th Quintile,male,Yes,0.6822,1021,13889,0.63309,0.74496
77,77,2016,5th Quintile,male,No,0.3178,538,13889,0.28781,0.34992
78,78,2016,5th Quintile,female,Yes,0.64329,1032,13889,0.59128,0.68736
79,79,2016,5th Quintile,female,No,0.35671,565,13889,0.32287,0.38916
80,80,2019,1st Quintile,male,Yes,0.39519,319,13326,0.3433,0.45939
81,81,2019,1st Quintile,male,No,0.60481,494,13326,0.53102,0.67225
82,82,2019,1st Quintile,female,Yes,0.39634,370,13326,0.34895,0.44867
83,83,2019,1st Quintile,female,No,0.60366,615,13326,0.53962,0.66397
84,84,2019,2nd Quintile,male,Yes,0.48364,584,13326,0.43843,0.53641
85,85,2019,2nd Quintile,male,No,0.51636,617,13326,0.46707,0.56382
86,86,2019,2nd Quintile,female,Yes,0.43337,607,13326,0.38992,0.4818
87,87,2019,2nd Quintile,female,No,0.56663,788,13326,0.51719,0.63667
88,88,2019,3rd Quintile,male,Yes,0.56485,785,13326,0.51724,0.61278
89,89,2019,3rd Quintile,male,No,0.43515,560,13326,0.38945,0.48096
90,90,2019,3rd Quintile,female,Yes,0.50385,779,13326,0.46208,0.54637
91,91,2019,3rd Quintile,female,No,0.49615,714,13326,0.45698,0.53864
92,92,2019,4th Quintile,male,Yes,0.61497,852,13326,0.56869,0.6664
93,93,2019,4th Quintile,male,No,0.38503,506,13326,0.35144,0.41698
94,94,2019,4th Quintile,female,Yes,0.54417,876,13326,0.49788,0.58085
95,95,2019,4th Quintile,female,No,0.45583,625,13326,0.41884,0.49105
96,96,2019,5th Quintile,male,Yes,0.66526,1026,13326,0.6171,0.71138
97,97,2019,5th Quintile,male,No,0.33474,598,13326,0.30103,0.3673
98,98,2019,5th Quintile,female,Yes,0.64172,1005,13326,0.59336,0.69381
99,99,2019,5th Quintile,female,No,0.35828,606,13326,0.32208,0.38933
