,Unnamed: 0,year,migback,quintil_oecd,plb0050,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
43,43,2006,Direct migration background,3rd Quintile,No,0.50688,117,10762,0.4414,0.59697
44,44,2006,Direct migration background,4th Quintile,Yes,0.54583,131,10762,0.45964,0.62648
45,45,2006,Direct migration background,4th Quintile,No,0.45417,88,10762,0.38852,0.5307
46,46,2006,Direct migration background,5th Quintile,Yes,0.48416,110,10762,0.4086,0.5782
47,47,2006,Direct migration background,5th Quintile,No,0.51584,108,10762,0.43085,0.60848
48,48,2006,Indirect migration background,1st Quintile,No,1.0,49,10762,0.76169,1.24072
49,49,2006,Indirect migration background,2nd Quintile,No,1.0,38,10762,0.73433,1.30812
50,50,2006,Indirect migration background,3rd Quintile,Yes,0.4453,55,10762,0.33406,0.56842
51,51,2006,Indirect migration background,3rd Quintile,No,0.5547,66,10762,0.44013,0.69078
52,52,2006,Indirect migration background,4th Quintile,Yes,0.57739,62,10762,0.46222,0.72302
53,53,2006,Indirect migration background,4th Quintile,No,0.42261,37,10762,0.30271,0.57968
54,54,2006,Indirect migration background,5th Quintile,Yes,0.60521,54,10762,0.48495,0.74532
55,55,2006,Indirect migration background,5th Quintile,No,0.39479,41,10762,0.2893,0.55187
56,56,2011,No migration background,1st Quintile,Yes,0.35774,239,8877,0.29598,0.43064
57,57,2011,No migration background,1st Quintile,No,0.64226,434,8877,0.57771,0.70882
58,58,2011,No migration background,2nd Quintile,Yes,0.37555,398,8877,0.33403,0.41852
59,59,2011,No migration background,2nd Quintile,No,0.62445,639,8877,0.57396,0.68149
60,60,2011,No migration background,3rd Quintile,Yes,0.50947,788,8877,0.47133,0.55413
61,61,2011,No migration background,3rd Quintile,No,0.49053,744,8877,0.45776,0.52748
62,62,2011,No migration background,4th Quintile,Yes,0.57043,1096,8877,0.53686,0.6047
63,63,2011,No migration background,4th Quintile,No,0.42957,827,8877,0.39999,0.46548
64,64,2011,No migration background,5th Quintile,Yes,0.60939,1577,8877,0.56963,0.6524
65,65,2011,No migration background,5th Quintile,No,0.39061,1054,8877,0.36356,0.42059
66,66,2011,Direct migration background,1st Quintile,Yes,0.41032,53,8877,0.28336,0.58304
67,67,2011,Direct migration background,1st Quintile,No,0.58968,57,8877,0.41198,0.75542
68,68,2011,Direct migration background,2nd Quintile,Yes,0.41942,72,8877,0.33033,0.50729
69,69,2011,Direct migration background,2nd Quintile,No,0.58058,89,8877,0.46847,0.69674
70,70,2011,Direct migration background,3rd Quintile,Yes,0.5537,77,8877,0.40098,0.72239
71,71,2011,Direct migration background,3rd Quintile,No,0.4463,63,8877,0.33608,0.5538
72,72,2011,Direct migration background,4th Quintile,Yes,0.46584,67,8877,0.34377,0.58534
73,73,2011,Direct migration background,4th Quintile,No,0.53416,60,8877,0.4115,0.6722
74,74,2011,Direct migration background,5th Quintile,Yes,0.53591,59,8877,0.39026,0.68347
75,75,2011,Direct migration background,5th Quintile,No,0.46409,65,8877,0.3481,0.56777
76,76,2011,Indirect migration background,1st Quintile,Yes,0.43861,31,8877,0.25359,0.65821
77,77,2011,Indirect migration background,1st Quintile,No,0.56139,40,8877,0.33387,0.84933
78,78,2011,Indirect migration background,2nd Quintile,Yes,0.5374,37,8877,0.37863,0.71417
79,79,2011,Indirect migration background,2nd Quintile,No,0.4626,41,8877,0.31614,0.63862
80,80,2011,Indirect migration background,3rd Quintile,Yes,0.55777,53,8877,0.37227,0.76946
81,81,2011,Indirect migration background,3rd Quintile,No,0.44223,36,8877,0.29435,0.63091
82,82,2011,Indirect migration background,4th Quintile,Yes,0.44654,44,8877,0.29919,0.63798
83,83,2011,Indirect migration background,4th Quintile,No,0.55346,37,8877,0.35256,0.73823
84,84,2011,Indirect migration background,5th Quintile,Yes,0.62659,58,8877,0.46614,0.80293
85,85,2011,Indirect migration background,5th Quintile,No,0.37341,42,8877,0.23415,0.54614
86,86,2016,No migration background,1st Quintile,Yes,0.40868,421,13889,0.35335,0.46272
87,87,2016,No migration background,1st Quintile,No,0.59132,712,13889,0.53195,0.64119
88,88,2016,No migration background,2nd Quintile,Yes,0.43143,766,13889,0.39319,0.4611
89,89,2016,No migration background,2nd Quintile,No,0.56857,970,13889,0.51516,0.61203
90,90,2016,No migration background,3rd Quintile,Yes,0.52668,1121,13889,0.48867,0.56806
91,91,2016,No migration background,3rd Quintile,No,0.47332,944,13889,0.43802,0.51114
92,92,2016,No migration background,4th Quintile,Yes,0.57077,1462,13889,0.53813,0.60265
93,93,2016,No migration background,4th Quintile,No,0.42923,984,13889,0.40253,0.45604
94,94,2016,No migration background,5th Quintile,Yes,0.67139,1734,13889,0.63664,0.71867
95,95,2016,No migration background,5th Quintile,No,0.32861,919,13889,0.30398,0.35566
96,96,2016,Direct migration background,1st Quintile,Yes,0.29842,234,13889,0.25871,0.355
97,97,2016,Direct migration background,1st Quintile,No,0.70158,504,13889,0.60951,0.77774
98,98,2016,Direct migration background,2nd Quintile,Yes,0.39111,322,13889,0.32566,0.46388
99,99,2016,Direct migration background,2nd Quintile,No,0.60889,497,13889,0.53192,0.69468
100,100,2016,Direct migration background,3rd Quintile,Yes,0.50045,292,13889,0.42775,0.59279
101,101,2016,Direct migration background,3rd Quintile,No,0.49955,273,13889,0.4103,0.58042
102,102,2016,Direct migration background,4th Quintile,Yes,0.48239,233,13889,0.40992,0.56212
103,103,2016,Direct migration background,4th Quintile,No,0.51761,207,13889,0.41639,0.61928
104,104,2016,Direct migration background,5th Quintile,Yes,0.56041,209,13889,0.47622,0.6501
105,105,2016,Direct migration background,5th Quintile,No,0.43959,137,13889,0.33929,0.52512
106,106,2016,Indirect migration background,1st Quintile,Yes,0.41311,67,13889,0.29976,0.54446
107,107,2016,Indirect migration background,1st Quintile,No,0.58689,125,13889,0.46984,0.72283
108,108,2016,Indirect migration background,2nd Quintile,Yes,0.47692,106,13889,0.34203,0.59771
109,109,2016,Indirect migration background,2nd Quintile,No,0.52308,126,13889,0.39811,0.64631
110,110,2016,Indirect migration background,3rd Quintile,Yes,0.57609,112,13889,0.44525,0.73389
111,111,2016,Indirect migration background,3rd Quintile,No,0.42391,92,13889,0.3366,0.52377
112,112,2016,Indirect migration background,4th Quintile,Yes,0.643,99,13889,0.50935,0.81104
113,113,2016,Indirect migration background,4th Quintile,No,0.357,64,13889,0.25139,0.45813
114,114,2016,Indirect migration background,5th Quintile,Yes,0.73687,110,13889,0.60072,0.89609
115,115,2016,Indirect migration background,5th Quintile,No,0.26313,47,13889,0.16427,0.39268
116,116,2019,No migration background,1st Quintile,Yes,0.37826,421,13326,0.33982,0.42358
117,117,2019,No migration background,1st Quintile,No,0.62174,671,13326,0.56666,0.67844
118,118,2019,No migration background,2nd Quintile,Yes,0.44701,803,13326,0.41098,0.48752
119,119,2019,No migration background,2nd Quintile,No,0.55299,962,13326,0.50815,0.59471
120,120,2019,No migration background,3rd Quintile,Yes,0.55,1205,13326,0.50999,0.58475
121,121,2019,No migration background,3rd Quintile,No,0.45,940,13326,0.41559,0.4823
122,122,2019,No migration background,4th Quintile,Yes,0.58157,1450,13326,0.54762,0.61881
123,123,2019,No migration background,4th Quintile,No,0.41843,940,13326,0.38726,0.44861
124,124,2019,No migration background,5th Quintile,Yes,0.663,1725,13326,0.62772,0.69807
125,125,2019,No migration background,5th Quintile,No,0.337,1011,13326,0.31518,0.36465
126,126,2019,Direct migration background,1st Quintile,Yes,0.44018,190,13326,0.34497,0.5431
127,127,2019,Direct migration background,1st Quintile,No,0.55982,330,13326,0.47348,0.64703
128,128,2019,Direct migration background,2nd Quintile,Yes,0.48918,291,13326,0.40722,0.56481
129,129,2019,Direct migration background,2nd Quintile,No,0.51082,333,13326,0.43385,0.59304
130,130,2019,Direct migration background,3rd Quintile,Yes,0.44453,247,13326,0.35679,0.54412
131,131,2019,Direct migration background,3rd Quintile,No,0.55547,236,13326,0.4619,0.65805
132,132,2019,Direct migration background,4th Quintile,Yes,0.55998,186,13326,0.45314,0.70879
133,133,2019,Direct migration background,4th Quintile,No,0.44002,138,13326,0.34899,0.55516
134,134,2019,Direct migration background,5th Quintile,Yes,0.55446,192,13326,0.47108,0.66978
135,135,2019,Direct migration background,5th Quintile,No,0.44554,132,13326,0.33882,0.54454
136,136,2019,Indirect migration background,1st Quintile,Yes,0.40172,78,13326,0.30006,0.51469
137,137,2019,Indirect migration background,1st Quintile,No,0.59828,108,13326,0.45938,0.74156
138,138,2019,Indirect migration background,2nd Quintile,Yes,0.48499,97,13326,0.3729,0.62088
139,139,2019,Indirect migration background,2nd Quintile,No,0.51501,110,13326,0.39572,0.65774
140,140,2019,Indirect migration background,3rd Quintile,Yes,0.60147,112,13326,0.50054,0.71437
141,141,2019,Indirect migration background,3rd Quintile,No,0.39853,98,13326,0.32569,0.48759
142,142,2019,Indirect migration background,4th Quintile,Yes,0.60993,92,13326,0.44757,0.80272
143,143,2019,Indirect migration background,4th Quintile,No,0.39007,53,13326,0.25364,0.53667
144,144,2019,Indirect migration background,5th Quintile,Yes,0.7244,114,13326,0.59742,0.90064
145,145,2019,Indirect migration background,5th Quintile,No,0.2756,61,13326,0.19231,0.3705
