,Unnamed: 0,year,migback,pgisced97,plb0050,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
103,103,2016,Indirect migration background,Second Stage of Tertiary Education,No,0.35557,58,13419,0.24246,0.49618
104,104,2019,No migration background,Primary Level,No,1.0,36,15147,0.74003,1.25913
105,105,2019,No migration background,Lower Secondary Level,Yes,0.41286,284,15147,0.3618,0.45812
106,106,2019,No migration background,Lower Secondary Level,No,0.58714,411,15147,0.49781,0.65486
107,107,2019,No migration background,Upper Secondary Level,Yes,0.49353,2423,15147,0.47213,0.51476
108,108,2019,No migration background,Upper Secondary Level,No,0.50647,2827,15147,0.48445,0.53372
109,109,2019,No migration background,Post-secondary Non-tertiary Level,Yes,0.57855,593,15147,0.52517,0.64111
110,110,2019,No migration background,Post-secondary Non-tertiary Level,No,0.42145,584,15147,0.37014,0.47783
111,111,2019,No migration background,First Stage of Tertiary Education,Yes,0.56662,462,15147,0.50105,0.6225
112,112,2019,No migration background,First Stage of Tertiary Education,No,0.43338,550,15147,0.37697,0.49177
113,113,2019,No migration background,Second Stage of Tertiary Education,Yes,0.66371,2085,15147,0.62125,0.7021
114,114,2019,No migration background,Second Stage of Tertiary Education,No,0.33629,1642,15147,0.31454,0.3582
115,115,2019,Direct migration background,Primary Level,Yes,0.57633,35,15147,0.37442,0.81469
116,116,2019,Direct migration background,Primary Level,No,0.42367,42,15147,0.31374,0.55743
117,117,2019,Direct migration background,Lower Secondary Level,Yes,0.37321,115,15147,0.2723,0.4788
118,118,2019,Direct migration background,Lower Secondary Level,No,0.62679,199,15147,0.51053,0.77373
119,119,2019,Direct migration background,Upper Secondary Level,Yes,0.43557,377,15147,0.38483,0.50195
120,120,2019,Direct migration background,Upper Secondary Level,No,0.56443,457,15147,0.48365,0.63564
121,121,2019,Direct migration background,Post-secondary Non-tertiary Level,Yes,0.53953,170,15147,0.43593,0.63516
122,122,2019,Direct migration background,Post-secondary Non-tertiary Level,No,0.46047,185,15147,0.37188,0.55302
123,123,2019,Direct migration background,Second Stage of Tertiary Education,Yes,0.56132,390,15147,0.48654,0.63397
124,124,2019,Direct migration background,Second Stage of Tertiary Education,No,0.43868,364,15147,0.3818,0.51011
125,125,2019,Indirect migration background,Lower Secondary Level,Yes,0.4195,60,15147,0.29731,0.57739
126,126,2019,Indirect migration background,Lower Secondary Level,No,0.5805,81,15147,0.41493,0.75641
127,127,2019,Indirect migration background,Upper Secondary Level,Yes,0.57084,223,15147,0.48282,0.65879
128,128,2019,Indirect migration background,Upper Secondary Level,No,0.42916,207,15147,0.36073,0.51598
129,129,2019,Indirect migration background,Post-secondary Non-tertiary Level,Yes,0.63965,53,15147,0.45091,0.89832
130,130,2019,Indirect migration background,Post-secondary Non-tertiary Level,No,0.36035,50,15147,0.22754,0.52043
131,131,2019,Indirect migration background,Second Stage of Tertiary Education,Yes,0.67518,133,15147,0.53016,0.85917
132,132,2019,Indirect migration background,Second Stage of Tertiary Education,No,0.32482,109,15147,0.2284,0.42816
