year,hhtyp,rentown,hgeqpinsul,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2021,Couple with children,Tenant,No,0.29924,490,1148,0.27274,0.32574
2021,Other Combinations,Owner,Yes,0.68943,74,74,0.58328,0.79558
2021,Other Combinations,Tenant,Yes,0.41104,64,129,0.32580,0.49628
2021,Other Combinations,Tenant,No,0.39448,65,129,0.30981,0.47915
2022,Single-person household,Owner,Yes,0.64384,812,1205,0.61679,0.67089
2022,Single-person household,Owner,No,0.34750,393,1205,0.32060,0.37439
2022,Single-person household,Tenant,Yes,0.54058,2380,4105,0.52533,0.55582
2022,Single-person household,Tenant,No,0.41173,1725,4105,0.39667,0.42679
2022,Couple without children,Owner,Yes,0.72921,2094,2768,0.71265,0.74577
2022,Couple without children,Owner,No,0.26462,674,2768,0.24818,0.28106
2022,Couple without children,Tenant,Yes,0.61232,1771,2811,0.59431,0.63034
2022,Couple without children,Tenant,No,0.34942,1040,2811,0.33179,0.36704
2022,Single parent,Owner,Yes,0.65894,221,310,0.60608,0.71180
2022,Single parent,Owner,No,0.31320,89,310,0.26149,0.36492
2022,Single parent,Tenant,Yes,0.45917,428,800,0.42462,0.49373
2022,Single parent,Tenant,No,0.48646,372,800,0.45180,0.52112
2022,Couple with children,Owner,Yes,0.78693,2338,2915,0.77206,0.80180
2022,Couple with children,Owner,No,0.20853,577,2915,0.19378,0.22328
2022,Couple with children,Tenant,Yes,0.54095,1299,2151,0.51988,0.56201
2022,Couple with children,Tenant,No,0.37947,852,2151,0.35896,0.39999
2022,Multi-generational household,Owner,Yes,0.75167,31,31,0.59707,0.90628
2022,Other Combinations,Owner,Yes,0.79195,321,400,0.75212,0.83178
2022,Other Combinations,Owner,No,0.18212,79,400,0.14425,0.21999
2022,Other Combinations,Tenant,Yes,0.51671,396,665,0.47870,0.55472
2022,Other Combinations,Tenant,No,0.41552,269,665,0.37803,0.45300
