year,hhtyp,regtyp,hgeqpinsul,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2018,Couple with children,Rural regions,No,0.29862,547,1716,0.27696,0.32028
2018,Multi-generational household,Urban regions,Yes,0.59147,45,76,0.48022,0.70272
2018,Multi-generational household,Urban regions,No,0.39859,31,76,0.28778,0.50939
2018,Other Combinations,Urban regions,Yes,0.55417,89,160,0.47690,0.63143
2018,Other Combinations,Urban regions,No,0.36572,71,160,0.29085,0.44058
2018,Other Combinations,Rural regions,Yes,0.53776,40,40,0.38128,0.69424
2019,Single-person household,Urban regions,Yes,0.52910,1296,2192,0.50820,0.55000
2019,Single-person household,Urban regions,No,0.37412,896,2192,0.35386,0.39438
2019,Single-person household,Rural regions,Yes,0.52884,621,1044,0.49854,0.55913
2019,Single-person household,Rural regions,No,0.39182,423,1044,0.36219,0.42144
2019,Couple without children,Urban regions,Yes,0.61730,1642,2400,0.59785,0.63675
2019,Couple without children,Urban regions,No,0.28571,758,2400,0.26763,0.30379
2019,Couple without children,Rural regions,Yes,0.64145,981,1447,0.61673,0.66617
2019,Couple without children,Rural regions,No,0.28123,466,1447,0.25806,0.30440
2019,Single parent,Urban regions,Yes,0.49359,480,824,0.45943,0.52774
2019,Single parent,Urban regions,No,0.41779,344,824,0.38410,0.45149
2019,Single parent,Rural regions,Yes,0.49950,237,397,0.45025,0.54875
2019,Single parent,Rural regions,No,0.35220,160,397,0.30515,0.39925
2019,Couple with children,Urban regions,Yes,0.60594,1795,2605,0.58717,0.62470
2019,Couple with children,Urban regions,No,0.28367,810,2605,0.26635,0.30098
2019,Couple with children,Rural regions,Yes,0.63024,977,1395,0.60490,0.65558
2019,Couple with children,Rural regions,No,0.25658,418,1395,0.23365,0.27951
2019,Multi-generational household,Urban regions,Yes,0.54074,31,31,0.36241,0.71907
2019,Other Combinations,Urban regions,Yes,0.55313,61,109,0.45937,0.64690
2019,Other Combinations,Urban regions,No,0.34907,48,109,0.25917,0.43897
2019,Other Combinations,Rural regions,Yes,0.52589,35,35,0.35804,0.69373
2020,Single-person household,Urban regions,Yes,0.59019,1752,3178,0.57309,0.60729
2020,Single-person household,Urban regions,No,0.38609,1426,3178,0.36916,0.40302
2020,Single-person household,Rural regions,Yes,0.59760,824,1313,0.57106,0.62413
2020,Single-person household,Rural regions,No,0.38410,489,1313,0.35778,0.41042
2020,Couple without children,Urban regions,Yes,0.66962,2177,3253,0.65345,0.68579
2020,Couple without children,Urban regions,No,0.32053,1076,3253,0.30449,0.33657
2020,Couple without children,Rural regions,Yes,0.67874,1176,1714,0.65662,0.70085
2020,Couple without children,Rural regions,No,0.31264,538,1714,0.29069,0.33460
2020,Single parent,Urban regions,Yes,0.56547,509,892,0.53292,0.59802
2020,Single parent,Urban regions,No,0.41162,383,892,0.37930,0.44393
2020,Single parent,Rural regions,Yes,0.49901,262,439,0.45218,0.54584
2020,Single parent,Rural regions,No,0.48392,177,439,0.43712,0.53072
2020,Couple with children,Urban regions,Yes,0.71054,2230,3228,0.69489,0.72618
2020,Couple with children,Urban regions,No,0.26597,998,3228,0.25073,0.28122
2020,Couple with children,Rural regions,Yes,0.73798,1173,1629,0.71661,0.75934
2020,Couple with children,Rural regions,No,0.24201,456,1629,0.22120,0.26281
2020,Multi-generational household,Urban regions,Yes,0.62459,42,42,0.47637,0.77282
2020,Other Combinations,Urban regions,Yes,0.59141,106,200,0.52311,0.65971
2020,Other Combinations,Urban regions,No,0.34584,94,200,0.27976,0.41193
2020,Other Combinations,Rural regions,Yes,0.53124,49,87,0.42577,0.63671
2020,Other Combinations,Rural regions,No,0.42659,38,87,0.32206,0.53112
2021,Single-person household,Urban regions,Yes,0.51462,1119,1914,0.49222,0.53701
2021,Single-person household,Urban regions,No,0.35678,795,1914,0.33531,0.37824
2021,Single-person household,Rural regions,Yes,0.53885,535,840,0.50512,0.57258
2021,Single-person household,Rural regions,No,0.35676,305,840,0.32435,0.38918
2021,Couple without children,Urban regions,Yes,0.60537,1372,1999,0.58394,0.62680
2021,Couple without children,Urban regions,No,0.29628,627,1999,0.27626,0.31630
2021,Couple without children,Rural regions,Yes,0.64546,769,1102,0.61720,0.67372
2021,Couple without children,Rural regions,No,0.28483,333,1102,0.25817,0.31149
2021,Single parent,Urban regions,Yes,0.51358,322,526,0.47083,0.55634
2021,Single parent,Urban regions,No,0.35519,204,526,0.31425,0.39612
2021,Single parent,Rural regions,Yes,0.45018,180,295,0.39331,0.50705
2021,Single parent,Rural regions,No,0.47735,115,295,0.42025,0.53445
2021,Couple with children,Urban regions,Yes,0.63061,1338,1894,0.60887,0.65236
2021,Couple with children,Urban regions,No,0.22172,556,1894,0.20301,0.24044
2021,Couple with children,Rural regions,Yes,0.67485,708,964,0.64527,0.70444
2021,Couple with children,Rural regions,No,0.20022,256,964,0.17495,0.22550
2021,Other Combinations,Urban regions,Yes,0.51971,94,153,0.44028,0.59913
2021,Other Combinations,Urban regions,No,0.26670,59,153,0.19640,0.33701
2021,Other Combinations,Rural regions,Yes,0.54323,44,44,0.39435,0.69212
2022,Single-person household,Urban regions,Yes,0.56777,2235,3825,0.55207,0.58347
2022,Single-person household,Urban regions,No,0.39421,1590,3825,0.37872,0.40970
2022,Single-person household,Rural regions,Yes,0.59311,959,1491,0.56816,0.61805
2022,Single-person household,Rural regions,No,0.38110,532,1491,0.35644,0.40576
2022,Couple without children,Urban regions,Yes,0.66634,2554,3781,0.65131,0.68137
2022,Couple without children,Urban regions,No,0.31219,1227,3781,0.29742,0.32696
2022,Couple without children,Rural regions,Yes,0.71785,1312,1800,0.69705,0.73865
2022,Couple without children,Rural regions,No,0.26872,488,1800,0.24823,0.28920
2022,Single parent,Urban regions,Yes,0.51266,421,743,0.47669,0.54862
2022,Single parent,Urban regions,No,0.43493,322,743,0.39926,0.47060
2022,Single parent,Rural regions,Yes,0.52740,228,368,0.47633,0.57848
2022,Single parent,Rural regions,No,0.43959,140,368,0.38881,0.49037
2022,Couple with children,Urban regions,Yes,0.65939,2324,3291,0.64320,0.67559
2022,Couple with children,Urban regions,No,0.29878,967,3291,0.28314,0.31442
2022,Couple with children,Rural regions,Yes,0.74337,1314,1778,0.72306,0.76368
2022,Couple with children,Rural regions,No,0.23637,464,1778,0.21662,0.25613
2022,Other Combinations,Urban regions,Yes,0.64004,484,734,0.60529,0.67479
2022,Other Combinations,Urban regions,No,0.30933,250,734,0.27586,0.34279
2022,Other Combinations,Rural regions,Yes,0.63061,233,331,0.57853,0.68268
2022,Other Combinations,Rural regions,No,0.32245,98,331,0.27202,0.37289
