,Unnamed: 0,year,bula_h,hhtyp,pet_rabbit,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
41,41,2016,Berlin,Couple with children,No,1.0,130,13594,0.82165,1.27564
42,42,2016,Brandenburg,Single-person household,No,1.0,129,13594,0.87821,1.19226
43,43,2016,Brandenburg,Couple without children,No,1.0,198,13594,0.8437,1.1599
44,44,2016,Brandenburg,Single parent,No,1.0,50,13594,0.76645,1.26505
45,45,2016,Brandenburg,Couple with children,No,1.0,137,13594,0.79439,1.22363
46,46,2016,Mecklenburg-Western Pomerania,Single-person household,No,1.0,102,13594,0.85968,1.15955
47,47,2016,Mecklenburg-Western Pomerania,Couple without children,No,1.0,103,13594,0.82767,1.22839
48,48,2016,Mecklenburg-Western Pomerania,Single parent,No,1.0,38,13594,0.7577,1.26426
49,49,2016,Mecklenburg-Western Pomerania,Couple with children,No,1.0,67,13594,0.68042,1.39049
50,50,2016,Saxony,Single-person household,No,1.0,221,13594,0.90961,1.09305
51,51,2016,Saxony,Couple without children,No,1.0,268,13594,0.89968,1.09721
52,52,2016,Saxony,Single parent,No,1.0,82,13594,0.78081,1.35385
53,53,2016,Saxony,Couple with children,Yes,0.17113,39,13594,0.10342,0.27611
54,54,2016,Saxony,Couple with children,No,0.82887,208,13594,0.67417,0.99741
55,55,2016,Saxony-Anhalt,Single-person household,No,1.0,144,13594,0.88738,1.15642
56,56,2016,Saxony-Anhalt,Couple without children,No,1.0,147,13594,0.86462,1.15358
57,57,2016,Saxony-Anhalt,Single parent,No,1.0,65,13594,0.72531,1.29459
58,58,2016,Saxony-Anhalt,Couple with children,No,1.0,119,13594,0.80196,1.17736
59,59,2016,Thuringa,Single-person household,No,1.0,147,13594,0.8375,1.16679
60,60,2016,Thuringa,Couple without children,No,1.0,174,13594,0.82557,1.19468
61,61,2016,Thuringa,Single parent,No,1.0,45,13594,0.69083,1.34568
62,62,2016,Thuringa,Couple with children,No,1.0,121,13594,0.81088,1.27048
63,63,2021,Schleswig-Holstein,Single-person household,No,1.0,100,10332,0.8475,1.19242
64,64,2021,Schleswig-Holstein,Couple without children,No,1.0,123,10332,0.79246,1.2656
65,65,2021,Schleswig-Holstein,Single parent,No,1.0,31,10332,0.65317,1.42885
66,66,2021,Schleswig-Holstein,Couple with children,No,1.0,147,10332,0.85231,1.20085
67,67,2021,Hamburg,Single-person household,No,1.0,82,10332,0.71594,1.20099
68,68,2021,Hamburg,Couple without children,No,1.0,90,10332,0.80399,1.23707
69,69,2021,Hamburg,Couple with children,No,1.0,62,10332,0.70742,1.34374
70,70,2021,Lower Saxony,Single-person household,No,1.0,289,10332,0.87896,1.1149
71,71,2021,Lower Saxony,Couple without children,No,1.0,323,10332,0.89645,1.12258
72,72,2021,Lower Saxony,Single parent,No,1.0,88,10332,0.74365,1.32011
73,73,2021,Lower Saxony,Couple with children,No,1.0,294,10332,0.86023,1.17145
74,74,2021,North Rhine-Westphalia,Single-person household,No,1.0,630,10332,0.91276,1.07699
75,75,2021,North Rhine-Westphalia,Couple without children,No,1.0,672,10332,0.90597,1.08251
76,76,2021,North Rhine-Westphalia,Single parent,No,1.0,157,10332,0.78529,1.22988
77,77,2021,North Rhine-Westphalia,Couple with children,Yes,0.05508,37,10332,0.04077,0.07444
78,78,2021,North Rhine-Westphalia,Couple with children,No,0.94492,672,10332,0.85007,1.03106
79,79,2021,North Rhine-Westphalia,Other Combinations,No,1.0,63,10332,0.66624,1.30799
80,80,2021,Hesse,Single-person household,No,1.0,207,10332,0.8918,1.14009
81,81,2021,Hesse,Couple without children,No,1.0,211,10332,0.84747,1.14888
82,82,2021,Hesse,Single parent,No,1.0,59,10332,0.6826,1.36209
83,83,2021,Hesse,Couple with children,No,1.0,174,10332,0.81641,1.19602
84,84,2021,"Rhineland-Palatinate, Saarland",Single-person household,No,1.0,149,10332,0.8606,1.12232
85,85,2021,"Rhineland-Palatinate, Saarland",Couple without children,No,1.0,159,10332,0.78984,1.16971
86,86,2021,"Rhineland-Palatinate, Saarland",Single parent,No,1.0,36,10332,0.61415,1.39
87,87,2021,"Rhineland-Palatinate, Saarland",Couple with children,No,1.0,142,10332,0.80551,1.23794
88,88,2021,Baden-Wuerttemberg,Single-person household,No,1.0,311,10332,0.9061,1.11468
89,89,2021,Baden-Wuerttemberg,Couple without children,No,1.0,356,10332,0.88303,1.12791
90,90,2021,Baden-Wuerttemberg,Single parent,No,1.0,83,10332,0.70923,1.3037
91,91,2021,Baden-Wuerttemberg,Couple with children,No,1.0,382,10332,0.87376,1.14556
92,92,2021,Bavaria,Single-person household,No,1.0,518,10332,0.91477,1.08064
93,93,2021,Bavaria,Couple without children,No,1.0,494,10332,0.90483,1.10837
94,94,2021,Bavaria,Single parent,No,1.0,119,10332,0.76444,1.25718
95,95,2021,Bavaria,Couple with children,Yes,0.06727,49,10332,0.05037,0.08699
96,96,2021,Bavaria,Couple with children,No,0.93273,477,10332,0.80595,1.05167
97,97,2021,Bavaria,Other Combinations,No,1.0,43,10332,0.76016,1.29551
98,98,2021,Berlin,Single-person household,No,1.0,236,10332,0.85201,1.12699
99,99,2021,Berlin,Couple without children,No,1.0,150,10332,0.81004,1.18149
100,100,2021,Berlin,Single parent,No,1.0,36,10332,0.62558,1.28776
101,101,2021,Berlin,Couple with children,No,1.0,112,10332,0.76655,1.26354
102,102,2021,Brandenburg,Single-person household,No,1.0,117,10332,0.8486,1.19473
103,103,2021,Brandenburg,Couple without children,No,1.0,161,10332,0.83532,1.18347
104,104,2021,Brandenburg,Single parent,No,1.0,38,10332,0.66318,1.30179
105,105,2021,Brandenburg,Couple with children,No,1.0,105,10332,0.72708,1.31687
106,106,2021,Mecklenburg-Western Pomerania,Single-person household,No,1.0,81,10332,0.80273,1.22048
107,107,2021,Mecklenburg-Western Pomerania,Couple without children,No,1.0,82,10332,0.76157,1.33965
108,108,2021,Mecklenburg-Western Pomerania,Couple with children,No,1.0,46,10332,0.64186,1.42101
109,109,2021,Saxony,Single-person household,No,1.0,197,10332,0.85964,1.12049
110,110,2021,Saxony,Couple without children,No,1.0,254,10332,0.86651,1.14675
111,111,2021,Saxony,Single parent,No,1.0,67,10332,0.70107,1.36344
112,112,2021,Saxony,Couple with children,No,1.0,142,10332,0.82983,1.21478
113,113,2021,Saxony-Anhalt,Single-person household,No,1.0,115,10332,0.81138,1.19813
114,114,2021,Saxony-Anhalt,Couple without children,No,1.0,114,10332,0.76965,1.24794
115,115,2021,Saxony-Anhalt,Single parent,No,1.0,38,10332,0.67698,1.42303
116,116,2021,Saxony-Anhalt,Couple with children,No,1.0,62,10332,0.64759,1.40249
117,117,2021,Thuringa,Single-person household,No,1.0,116,10332,0.84722,1.17974
118,118,2021,Thuringa,Couple without children,No,1.0,123,10332,0.79828,1.31228
119,119,2021,Thuringa,Single parent,No,1.0,35,10332,0.68742,1.4038
120,120,2021,Thuringa,Couple with children,No,1.0,76,10332,0.69179,1.30104
