year,quintil_oecd_hh,regtyp,hgeqpinsul,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2017,1st Quintile,Urban regions,Yes,0.45894,967,1985,0.43701,0.48086
2017,1st Quintile,Urban regions,No,0.54106,1018,1985,0.51914,0.56299
2017,1st Quintile,Rural regions,Yes,0.51933,600,1171,0.49070,0.54796
2017,1st Quintile,Rural regions,No,0.48067,571,1171,0.45204,0.50930
2017,2nd Quintile,Urban regions,Yes,0.56137,1136,1951,0.53934,0.58339
2017,2nd Quintile,Urban regions,No,0.43863,815,1951,0.41661,0.46066
2017,2nd Quintile,Rural regions,Yes,0.57516,750,1258,0.54784,0.60249
2017,2nd Quintile,Rural regions,No,0.42484,508,1258,0.39751,0.45216
2017,3rd Quintile,Urban regions,Yes,0.63864,1235,1893,0.61700,0.66029
2017,3rd Quintile,Urban regions,No,0.36136,658,1893,0.33971,0.38300
2017,3rd Quintile,Rural regions,Yes,0.64544,800,1182,0.61816,0.67273
2017,3rd Quintile,Rural regions,No,0.35456,382,1182,0.32727,0.38184
2017,4th Quintile,Urban regions,Yes,0.64092,1333,2005,0.61992,0.66193
2017,4th Quintile,Urban regions,No,0.35908,672,2005,0.33807,0.38008
2017,4th Quintile,Rural regions,Yes,0.68046,733,1029,0.65196,0.70897
2017,4th Quintile,Rural regions,No,0.31954,296,1029,0.29103,0.34804
2017,5th Quintile,Urban regions,Yes,0.69961,1671,2313,0.68092,0.71829
2017,5th Quintile,Urban regions,No,0.30039,642,2313,0.28171,0.31908
2017,5th Quintile,Rural regions,Yes,0.75169,588,769,0.72113,0.78224
2017,5th Quintile,Rural regions,No,0.24831,181,769,0.21776,0.27887
2018,1st Quintile,Urban regions,Yes,0.48997,1054,2083,0.46850,0.51144
2018,1st Quintile,Urban regions,No,0.51003,1029,2083,0.48856,0.53150
2018,1st Quintile,Rural regions,Yes,0.56119,626,1169,0.53273,0.58965
2018,1st Quintile,Rural regions,No,0.43881,543,1169,0.41035,0.46727
2018,2nd Quintile,Urban regions,Yes,0.57864,1185,2014,0.55707,0.60021
2018,2nd Quintile,Urban regions,No,0.42136,829,2014,0.39979,0.44293
2018,2nd Quintile,Rural regions,Yes,0.59953,778,1262,0.57248,0.62657
2018,2nd Quintile,Rural regions,No,0.40047,484,1262,0.37343,0.42752
2018,3rd Quintile,Urban regions,Yes,0.64859,1194,1836,0.62674,0.67043
2018,3rd Quintile,Urban regions,No,0.35141,642,1836,0.32957,0.37326
2018,3rd Quintile,Rural regions,Yes,0.62234,720,1087,0.59351,0.65117
2018,3rd Quintile,Rural regions,No,0.37766,367,1087,0.34883,0.40649
2018,4th Quintile,Urban regions,Yes,0.68194,1343,1909,0.66105,0.70284
2018,4th Quintile,Urban regions,No,0.31806,566,1909,0.29716,0.33895
2018,4th Quintile,Rural regions,Yes,0.71543,706,963,0.68692,0.74394
2018,4th Quintile,Rural regions,No,0.28457,257,963,0.25606,0.31308
2018,5th Quintile,Urban regions,Yes,0.73578,1647,2229,0.71748,0.75409
2018,5th Quintile,Urban regions,No,0.26422,582,2229,0.24591,0.28252
2018,5th Quintile,Rural regions,Yes,0.75458,585,772,0.72421,0.78496
2018,5th Quintile,Rural regions,No,0.24542,187,772,0.21504,0.27579
2019,1st Quintile,Urban regions,Yes,0.47778,769,1531,0.45275,0.50281
2019,1st Quintile,Urban regions,No,0.52222,762,1531,0.49719,0.54725
2019,1st Quintile,Rural regions,Yes,0.55127,465,858,0.51797,0.58457
2019,1st Quintile,Rural regions,No,0.44873,393,858,0.41543,0.48203
2019,2nd Quintile,Urban regions,Yes,0.59019,971,1583,0.56595,0.61442
2019,2nd Quintile,Urban regions,No,0.40981,612,1583,0.38558,0.43405
2019,2nd Quintile,Rural regions,Yes,0.60022,624,1021,0.57016,0.63028
2019,2nd Quintile,Rural regions,No,0.39978,397,1021,0.36972,0.42984
2019,3rd Quintile,Urban regions,Yes,0.64267,1022,1577,0.61901,0.66633
2019,3rd Quintile,Urban regions,No,0.35733,555,1577,0.33367,0.38099
2019,3rd Quintile,Rural regions,Yes,0.61972,616,926,0.58844,0.65101
2019,3rd Quintile,Rural regions,No,0.38028,310,926,0.34899,0.41156
2019,4th Quintile,Urban regions,Yes,0.68474,1136,1603,0.66199,0.70749
2019,4th Quintile,Urban regions,No,0.31526,467,1603,0.29251,0.33801
2019,4th Quintile,Rural regions,Yes,0.70332,622,856,0.67270,0.73394
2019,4th Quintile,Rural regions,No,0.29668,234,856,0.26606,0.32730
2019,5th Quintile,Urban regions,Yes,0.74211,1407,1888,0.72237,0.76185
2019,5th Quintile,Urban regions,No,0.25789,481,1888,0.23815,0.27763
2019,5th Quintile,Rural regions,Yes,0.75320,539,703,0.72131,0.78510
2019,5th Quintile,Rural regions,No,0.24680,164,703,0.21490,0.27869
2020,1st Quintile,Urban regions,Yes,0.51157,1021,2237,0.49085,0.53229
2020,1st Quintile,Urban regions,No,0.48843,1216,2237,0.46771,0.50915
2020,1st Quintile,Rural regions,Yes,0.54000,588,1102,0.51056,0.56944
2020,1st Quintile,Rural regions,No,0.46000,514,1102,0.43056,0.48944
2020,2nd Quintile,Urban regions,Yes,0.60466,1172,2046,0.58347,0.62585
2020,2nd Quintile,Urban regions,No,0.39534,874,2046,0.37415,0.41653
2020,2nd Quintile,Rural regions,Yes,0.64736,774,1225,0.62059,0.67413
2020,2nd Quintile,Rural regions,No,0.35264,451,1225,0.32587,0.37941
2020,3rd Quintile,Urban regions,Yes,0.67095,1201,1846,0.64951,0.69239
2020,3rd Quintile,Urban regions,No,0.32905,645,1846,0.30761,0.35049
2020,3rd Quintile,Rural regions,Yes,0.63134,689,1003,0.60147,0.66121
2020,3rd Quintile,Rural regions,No,0.36866,314,1003,0.33879,0.39853
2020,4th Quintile,Urban regions,Yes,0.69020,1318,1906,0.66944,0.71097
2020,4th Quintile,Urban regions,No,0.30980,588,1906,0.28903,0.33056
2020,4th Quintile,Rural regions,Yes,0.72483,691,933,0.69616,0.75351
2020,4th Quintile,Rural regions,No,0.27517,242,933,0.24649,0.30384
2020,5th Quintile,Urban regions,Yes,0.75625,2098,2761,0.74023,0.77227
2020,5th Quintile,Urban regions,No,0.24375,663,2761,0.22773,0.25977
2020,5th Quintile,Rural regions,Yes,0.77206,771,963,0.74555,0.79857
2020,5th Quintile,Rural regions,No,0.22794,192,963,0.20143,0.25445
2021,1st Quintile,Urban regions,Yes,0.47189,563,1129,0.44276,0.50102
2021,1st Quintile,Urban regions,No,0.52811,566,1129,0.49898,0.55724
2021,1st Quintile,Rural regions,Yes,0.58488,362,618,0.54600,0.62376
2021,1st Quintile,Rural regions,No,0.41512,256,618,0.37624,0.45400
2021,2nd Quintile,Urban regions,Yes,0.61742,713,1176,0.58963,0.64521
2021,2nd Quintile,Urban regions,No,0.38258,463,1176,0.35479,0.41037
2021,2nd Quintile,Rural regions,Yes,0.58381,482,781,0.54922,0.61840
2021,2nd Quintile,Rural regions,No,0.41619,299,781,0.38160,0.45078
2021,3rd Quintile,Urban regions,Yes,0.68287,786,1167,0.65616,0.70958
2021,3rd Quintile,Urban regions,No,0.31713,381,1167,0.29042,0.34384
2021,3rd Quintile,Rural regions,Yes,0.66147,445,657,0.62526,0.69769
2021,3rd Quintile,Rural regions,No,0.33853,212,657,0.30231,0.37474
2021,4th Quintile,Urban regions,Yes,0.69393,870,1251,0.66839,0.71948
2021,4th Quintile,Urban regions,No,0.30607,381,1251,0.28052,0.33161
2021,4th Quintile,Rural regions,Yes,0.70547,475,635,0.66999,0.74095
2021,4th Quintile,Rural regions,No,0.29453,160,635,0.25905,0.33001
2021,5th Quintile,Urban regions,Yes,0.73353,1344,1805,0.71313,0.75394
2021,5th Quintile,Urban regions,No,0.26647,461,1805,0.24606,0.28687
2021,5th Quintile,Rural regions,Yes,0.78273,488,615,0.75011,0.81535
2021,5th Quintile,Rural regions,No,0.21727,127,615,0.18465,0.24989
2022,Not included in this version of the questionnaire,Urban regions,Yes,0.49527,74,142,0.41274,0.57779
2022,Not included in this version of the questionnaire,Urban regions,No,0.50473,68,142,0.42221,0.58726
2022,1st Quintile,Urban regions,Yes,0.53573,1641,2898,0.51757,0.55389
2022,1st Quintile,Urban regions,No,0.46427,1257,2898,0.44611,0.48243
2022,1st Quintile,Rural regions,Yes,0.62360,915,1402,0.59823,0.64897
2022,1st Quintile,Rural regions,No,0.37640,487,1402,0.35103,0.40177
2022,2nd Quintile,Urban regions,Yes,0.59271,1478,2439,0.57320,0.61221
2022,2nd Quintile,Urban regions,No,0.40729,961,2439,0.38779,0.42680
2022,2nd Quintile,Rural regions,Yes,0.63548,873,1303,0.60934,0.66163
2022,2nd Quintile,Rural regions,No,0.36452,430,1303,0.33837,0.39066
2022,3rd Quintile,Urban regions,Yes,0.66698,1454,2189,0.64723,0.68673
2022,3rd Quintile,Urban regions,No,0.33302,735,2189,0.31327,0.35277
2022,3rd Quintile,Rural regions,Yes,0.66136,788,1119,0.63361,0.68910
2022,3rd Quintile,Rural regions,No,0.33864,331,1119,0.31090,0.36639
2022,4th Quintile,Urban regions,Yes,0.66053,1574,2280,0.64109,0.67998
2022,4th Quintile,Urban regions,No,0.33947,706,2280,0.32002,0.35891
2022,4th Quintile,Rural regions,Yes,0.70152,772,1057,0.67393,0.72912
2022,4th Quintile,Rural regions,No,0.29848,285,1057,0.27088,0.32607
2022,5th Quintile,Urban regions,Yes,0.70679,1996,2757,0.68980,0.72379
2022,5th Quintile,Urban regions,No,0.29321,761,2757,0.27621,0.31020
2022,5th Quintile,Rural regions,Yes,0.76785,801,1027,0.74202,0.79369
2022,5th Quintile,Rural regions,No,0.23215,226,1027,0.20631,0.25798
