,Unnamed: 0,year,sex,pli0095_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
90,90,2007,male,Seldom,0.4236,4204,20388,0.41289,0.43468
91,91,2007,male,Never,0.10534,979,20388,0.10042,0.11126
92,92,2007,female,At least once per week,0.11964,1329,20388,0.11492,0.12463
93,93,2007,female,At least once per month,0.28381,3150,20388,0.27523,0.29223
94,94,2007,female,Seldom,0.44257,4800,20388,0.43235,0.45145
95,95,2007,female,Never,0.15397,1391,20388,0.14874,0.16004
96,96,2009,male,At least once per week,0.10558,906,17907,0.09834,0.1128
97,97,2009,male,At least once per month,0.33672,2853,17907,0.32446,0.34632
98,98,2009,male,Seldom,0.45859,3994,17907,0.44406,0.47247
99,99,2009,male,Never,0.09911,803,17907,0.09313,0.10516
100,100,2009,female,At least once per week,0.10797,999,17907,0.10142,0.1136
101,101,2009,female,At least once per month,0.28306,2687,17907,0.27349,0.292
102,102,2009,female,Seldom,0.46454,4463,17907,0.45177,0.4779
103,103,2009,female,Never,0.14443,1202,17907,0.1389,0.15048
104,104,2011,male,At least once per week,0.12243,1634,28262,0.1177,0.12933
105,105,2011,male,At least once per month,0.33128,4372,28262,0.31999,0.34317
106,106,2011,male,Seldom,0.44887,5598,28262,0.4383,0.463
107,107,2011,male,Never,0.09742,1194,28262,0.09268,0.10344
108,108,2011,female,At least once per week,0.12566,2138,28262,0.12017,0.13115
109,109,2011,female,At least once per month,0.28042,4724,28262,0.27026,0.29056
110,110,2011,female,Seldom,0.45062,6743,28262,0.4391,0.46265
111,111,2011,female,Never,0.1433,1859,28262,0.13781,0.15035
112,112,2015,male,At least once per week,0.11269,1590,26716,0.10593,0.11931
113,113,2015,male,At least once per month,0.3448,4427,26716,0.331,0.35864
114,114,2015,male,Seldom,0.45647,5325,26716,0.44203,0.47143
115,115,2015,male,Never,0.08603,939,26716,0.08111,0.09137
116,116,2015,female,At least once per week,0.12073,1935,26716,0.11471,0.1274
117,117,2015,female,At least once per month,0.2912,4600,26716,0.28191,0.30162
118,118,2015,female,Seldom,0.46345,6454,26716,0.44908,0.47727
119,119,2015,female,Never,0.12462,1446,26716,0.11877,0.1308
120,120,2017,male,At least once per week,0.13937,1782,26493,0.1328,0.14511
121,121,2017,male,At least once per month,0.35954,4494,26493,0.34754,0.37063
122,122,2017,male,Seldom,0.41796,5043,26493,0.40382,0.43257
123,123,2017,male,Never,0.08314,918,26493,0.07807,0.08771
124,124,2017,female,At least once per week,0.13483,2057,26493,0.12866,0.14187
125,125,2017,female,At least once per month,0.30957,4736,26493,0.29896,0.3216
126,126,2017,female,Seldom,0.42772,6077,26493,0.41449,0.44054
127,127,2017,female,Never,0.12788,1386,26493,0.12135,0.13479
