,Unnamed: 0,year,migback,pgisced97,pli0095_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
47,47,1986,No migration background,Post-secondary Non-tertiary Level,At least once per month,0.31325,45,9974,0.28937,0.34298
48,48,1986,No migration background,Post-secondary Non-tertiary Level,Seldom,0.47412,73,9974,0.42106,0.51547
49,49,1986,No migration background,Post-secondary Non-tertiary Level,Never,0.21263,32,9974,0.18,0.24295
50,50,1986,No migration background,First Stage of Tertiary Education,At least once per week,0.07361,36,9974,0.06622,0.08451
51,51,1986,No migration background,First Stage of Tertiary Education,At least once per month,0.22699,110,9974,0.21213,0.24427
52,52,1986,No migration background,First Stage of Tertiary Education,Seldom,0.48518,274,9974,0.46618,0.50513
53,53,1986,No migration background,First Stage of Tertiary Education,Never,0.21422,98,9974,0.19806,0.22834
54,54,1986,No migration background,Second Stage of Tertiary Education,At least once per week,0.08119,52,9974,0.07558,0.08795
55,55,1986,No migration background,Second Stage of Tertiary Education,At least once per month,0.19471,123,9974,0.18199,0.20632
56,56,1986,No migration background,Second Stage of Tertiary Education,Seldom,0.50929,338,9974,0.4835,0.52716
57,57,1986,No migration background,Second Stage of Tertiary Education,Never,0.21482,119,9974,0.20102,0.22749
58,58,1986,Direct migration background,Primary Level,At least once per week,0.12691,94,9974,0.11069,0.15229
59,59,1986,Direct migration background,Primary Level,At least once per month,0.25776,173,9974,0.22491,0.29346
60,60,1986,Direct migration background,Primary Level,Seldom,0.34234,240,9974,0.31303,0.36983
61,61,1986,Direct migration background,Primary Level,Never,0.27299,175,9974,0.23647,0.31103
62,62,1986,Direct migration background,Lower Secondary Level,At least once per week,0.10634,103,9974,0.08445,0.128
63,63,1986,Direct migration background,Lower Secondary Level,At least once per month,0.24949,264,9974,0.21279,0.29178
64,64,1986,Direct migration background,Lower Secondary Level,Seldom,0.41742,369,9974,0.36925,0.45974
65,65,1986,Direct migration background,Lower Secondary Level,Never,0.22675,177,9974,0.18355,0.27399
66,66,1986,Direct migration background,Upper Secondary Level,At least once per week,0.06675,92,9974,0.05286,0.08077
67,67,1986,Direct migration background,Upper Secondary Level,At least once per month,0.30139,270,9974,0.26419,0.34006
68,68,1986,Direct migration background,Upper Secondary Level,Seldom,0.46734,366,9974,0.41691,0.51698
69,69,1986,Direct migration background,Upper Secondary Level,Never,0.16451,140,9974,0.13695,0.19567
70,70,1986,Direct migration background,Post-secondary Non-tertiary Level,At least once per month,0.47139,32,9974,0.36128,0.60299
71,71,1986,Direct migration background,Post-secondary Non-tertiary Level,Seldom,0.52861,36,9974,0.38428,0.69299
72,72,1986,Direct migration background,Second Stage of Tertiary Education,Seldom,1.0,48,9974,0.84266,1.20469
73,73,1988,No migration background,Pre-primary Level,Seldom,1.0,71,9287,0.92649,1.09063
74,74,1988,No migration background,Lower Secondary Level,At least once per week,0.08921,152,9287,0.0832,0.09459
75,75,1988,No migration background,Lower Secondary Level,At least once per month,0.17387,307,9287,0.16707,0.18243
76,76,1988,No migration background,Lower Secondary Level,Seldom,0.41825,768,9287,0.40801,0.43195
77,77,1988,No migration background,Lower Secondary Level,Never,0.31867,487,9287,0.30613,0.33103
78,78,1988,No migration background,Upper Secondary Level,At least once per week,0.06314,247,9287,0.06015,0.06665
79,79,1988,No migration background,Upper Secondary Level,At least once per month,0.21877,866,9287,0.21349,0.22364
80,80,1988,No migration background,Upper Secondary Level,Seldom,0.51127,1987,9287,0.50238,0.51937
81,81,1988,No migration background,Upper Secondary Level,Never,0.20681,691,9287,0.20074,0.21202
82,82,1988,No migration background,Post-secondary Non-tertiary Level,At least once per month,0.27556,40,9287,0.23799,0.31379
83,83,1988,No migration background,Post-secondary Non-tertiary Level,Seldom,0.50548,77,9287,0.46729,0.54648
84,84,1988,No migration background,Post-secondary Non-tertiary Level,Never,0.21896,37,9287,0.18702,0.25571
85,85,1988,No migration background,First Stage of Tertiary Education,At least once per month,0.20252,97,9287,0.18624,0.21837
86,86,1988,No migration background,First Stage of Tertiary Education,Seldom,0.57609,270,9287,0.55012,0.61013
87,87,1988,No migration background,First Stage of Tertiary Education,Never,0.22139,84,9287,0.20419,0.23831
88,88,1988,No migration background,Second Stage of Tertiary Education,At least once per week,0.05525,31,9287,0.04696,0.06426
89,89,1988,No migration background,Second Stage of Tertiary Education,At least once per month,0.22713,134,9287,0.21245,0.24288
90,90,1988,No migration background,Second Stage of Tertiary Education,Seldom,0.51367,328,9287,0.48936,0.53597
91,91,1988,No migration background,Second Stage of Tertiary Education,Never,0.20394,118,9287,0.19118,0.21593
92,92,1988,Direct migration background,Primary Level,At least once per week,0.13153,88,9287,0.11594,0.15116
93,93,1988,Direct migration background,Primary Level,At least once per month,0.24199,154,9287,0.21241,0.27344
94,94,1988,Direct migration background,Primary Level,Seldom,0.33275,202,9287,0.29911,0.364
95,95,1988,Direct migration background,Primary Level,Never,0.29374,167,9287,0.24735,0.34017
96,96,1988,Direct migration background,Lower Secondary Level,At least once per week,0.11518,119,9287,0.09238,0.14123
97,97,1988,Direct migration background,Lower Secondary Level,At least once per month,0.22525,222,9287,0.19716,0.26012
98,98,1988,Direct migration background,Lower Secondary Level,Seldom,0.38779,343,9287,0.34071,0.43053
99,99,1988,Direct migration background,Lower Secondary Level,Never,0.27178,223,9287,0.22553,0.32612
100,100,1988,Direct migration background,Upper Secondary Level,At least once per week,0.07997,104,9287,0.06341,0.0953
101,101,1988,Direct migration background,Upper Secondary Level,At least once per month,0.2002,208,9287,0.17021,0.23176
102,102,1988,Direct migration background,Upper Secondary Level,Seldom,0.46217,333,9287,0.41858,0.51351
103,103,1988,Direct migration background,Upper Secondary Level,Never,0.25766,180,9287,0.21633,0.29561
104,104,1988,Direct migration background,Post-secondary Non-tertiary Level,Seldom,1.0,39,9287,0.79868,1.28918
105,105,1988,Direct migration background,Second Stage of Tertiary Education,Seldom,1.0,41,9287,0.78183,1.23661
106,106,1988,Indirect migration background,Lower Secondary Level,Seldom,1.0,39,9287,0.66876,1.47281
107,107,1988,Indirect migration background,Upper Secondary Level,Seldom,1.0,33,9287,0.64731,1.37571
108,108,1990,No migration background,Lower Secondary Level,At least once per week,0.13669,70,4132,0.12247,0.15039
109,109,1990,No migration background,Lower Secondary Level,At least once per month,0.2053,114,4132,0.19066,0.22168
110,110,1990,No migration background,Lower Secondary Level,Seldom,0.38962,202,4132,0.3658,0.41319
111,111,1990,No migration background,Lower Secondary Level,Never,0.2684,102,4132,0.24584,0.2919
112,112,1990,No migration background,Upper Secondary Level,At least once per week,0.1729,425,4132,0.1651,0.17923
113,113,1990,No migration background,Upper Secondary Level,At least once per month,0.29101,712,4132,0.28192,0.30062
114,114,1990,No migration background,Upper Secondary Level,Seldom,0.43402,1096,4132,0.42176,0.44633
115,115,1990,No migration background,Upper Secondary Level,Never,0.10207,202,4132,0.09577,0.10874
116,116,1990,No migration background,Post-secondary Non-tertiary Level,Seldom,1.0,37,4132,0.89334,1.11472
117,117,1990,No migration background,First Stage of Tertiary Education,At least once per week,0.1909,40,4132,0.16704,0.22413
118,118,1990,No migration background,First Stage of Tertiary Education,At least once per month,0.33895,80,4132,0.30946,0.36654
119,119,1990,No migration background,First Stage of Tertiary Education,Seldom,0.47015,103,4132,0.44067,0.5071
120,120,1990,No migration background,Second Stage of Tertiary Education,At least once per week,0.17907,177,4132,0.16801,0.19147
121,121,1990,No migration background,Second Stage of Tertiary Education,At least once per month,0.31688,300,4132,0.30105,0.33487
122,122,1990,No migration background,Second Stage of Tertiary Education,Seldom,0.45399,433,4132,0.43836,0.46926
123,123,1990,No migration background,Second Stage of Tertiary Education,Never,0.05006,39,4132,0.04479,0.0564
124,124,1992,No migration background,Pre-primary Level,At least once per month,0.36822,38,12542,0.29553,0.44113
125,125,1992,No migration background,Pre-primary Level,Seldom,0.63178,71,12542,0.54929,0.71774
126,126,1992,No migration background,Primary Level,Seldom,1.0,41,12542,0.82626,1.17296
127,127,1992,No migration background,Lower Secondary Level,At least once per week,0.11324,184,12542,0.10496,0.12144
128,128,1992,No migration background,Lower Secondary Level,At least once per month,0.21956,418,12542,0.20963,0.2307
129,129,1992,No migration background,Lower Secondary Level,Seldom,0.41026,788,12542,0.3946,0.42813
130,130,1992,No migration background,Lower Secondary Level,Never,0.25693,385,12542,0.24616,0.26928
131,131,1992,No migration background,Upper Secondary Level,At least once per week,0.08704,483,12542,0.08267,0.09215
132,132,1992,No migration background,Upper Secondary Level,At least once per month,0.26511,1573,12542,0.25791,0.27263
133,133,1992,No migration background,Upper Secondary Level,Seldom,0.50284,2987,12542,0.49125,0.51328
134,134,1992,No migration background,Upper Secondary Level,Never,0.14501,647,12542,0.13918,0.15101
135,135,1992,No migration background,Post-secondary Non-tertiary Level,At least once per month,0.40055,96,12542,0.35065,0.44732
136,136,1992,No migration background,Post-secondary Non-tertiary Level,Seldom,0.59945,133,12542,0.53458,0.68007
137,137,1992,No migration background,First Stage of Tertiary Education,At least once per week,0.05594,43,12542,0.04453,0.06761
138,138,1992,No migration background,First Stage of Tertiary Education,At least once per month,0.26305,188,12542,0.23893,0.28971
139,139,1992,No migration background,First Stage of Tertiary Education,Seldom,0.51505,361,12542,0.47951,0.55357
140,140,1992,No migration background,First Stage of Tertiary Education,Never,0.16596,96,12542,0.14605,0.18483
141,141,1992,No migration background,Second Stage of Tertiary Education,At least once per week,0.06858,107,12542,0.06217,0.07741
142,142,1992,No migration background,Second Stage of Tertiary Education,At least once per month,0.26,403,12542,0.24392,0.27971
143,143,1992,No migration background,Second Stage of Tertiary Education,Seldom,0.54563,857,12542,0.52437,0.56638
144,144,1992,No migration background,Second Stage of Tertiary Education,Never,0.12579,146,12542,0.11257,0.13781
145,145,1992,Direct migration background,Primary Level,At least once per week,0.14995,78,12542,0.13002,0.16819
146,146,1992,Direct migration background,Primary Level,At least once per month,0.2841,148,12542,0.25041,0.31476
147,147,1992,Direct migration background,Primary Level,Seldom,0.34882,181,12542,0.30966,0.39
148,148,1992,Direct migration background,Primary Level,Never,0.21713,101,12542,0.1763,0.25342
149,149,1992,Direct migration background,Lower Secondary Level,At least once per week,0.11873,111,12542,0.09658,0.14257
150,150,1992,Direct migration background,Lower Secondary Level,At least once per month,0.27832,260,12542,0.24804,0.31318
151,151,1992,Direct migration background,Lower Secondary Level,Seldom,0.4211,300,12542,0.37501,0.47527
152,152,1992,Direct migration background,Lower Secondary Level,Never,0.18184,142,12542,0.14919,0.21938
153,153,1992,Direct migration background,Upper Secondary Level,At least once per week,0.11645,112,12542,0.09867,0.13407
154,154,1992,Direct migration background,Upper Secondary Level,At least once per month,0.26416,249,12542,0.2314,0.29962
155,155,1992,Direct migration background,Upper Secondary Level,Seldom,0.45893,350,12542,0.41457,0.50452
156,156,1992,Direct migration background,Upper Secondary Level,Never,0.16046,124,12542,0.13371,0.19254
157,157,1992,Direct migration background,Post-secondary Non-tertiary Level,At least once per month,0.5801,36,12542,0.38641,0.86657
158,158,1992,Direct migration background,Post-secondary Non-tertiary Level,Seldom,0.4199,34,12542,0.29871,0.5555
159,159,1992,Direct migration background,Second Stage of Tertiary Education,Seldom,1.0,63,12542,0.81806,1.19881
160,160,1992,Indirect migration background,Lower Secondary Level,At least once per month,0.37073,54,12542,0.31472,0.43349
161,161,1992,Indirect migration background,Lower Secondary Level,Seldom,0.62927,66,12542,0.52047,0.77611
162,162,1992,Indirect migration background,Upper Secondary Level,At least once per month,0.46605,45,12542,0.34669,0.6194
163,163,1992,Indirect migration background,Upper Secondary Level,Seldom,0.53395,43,12542,0.38922,0.77471
164,164,1994,No migration background,Pre-primary Level,At least once per month,0.38138,47,12140,0.31219,0.46692
165,165,1994,No migration background,Pre-primary Level,Seldom,0.61862,91,12140,0.53968,0.70209
166,166,1994,No migration background,Primary Level,Seldom,1.0,33,12140,0.79823,1.23444
167,167,1994,No migration background,Lower Secondary Level,At least once per week,0.10247,158,12140,0.09302,0.11024
168,168,1994,No migration background,Lower Secondary Level,At least once per month,0.21675,354,12140,0.20627,0.23037
169,169,1994,No migration background,Lower Secondary Level,Seldom,0.42789,726,12140,0.40844,0.44596
170,170,1994,No migration background,Lower Secondary Level,Never,0.25288,350,12140,0.23908,0.26869
171,171,1994,No migration background,Upper Secondary Level,At least once per week,0.08499,476,12140,0.07977,0.09008
172,172,1994,No migration background,Upper Secondary Level,At least once per month,0.26578,1540,12140,0.25825,0.27391
173,173,1994,No migration background,Upper Secondary Level,Seldom,0.512,2936,12140,0.49844,0.5237
174,174,1994,No migration background,Upper Secondary Level,Never,0.13723,606,12140,0.12978,0.14374
175,175,1994,No migration background,Post-secondary Non-tertiary Level,At least once per month,0.41916,99,12140,0.36316,0.48503
176,176,1994,No migration background,Post-secondary Non-tertiary Level,Seldom,0.58084,152,12140,0.51901,0.64144
177,177,1994,No migration background,First Stage of Tertiary Education,At least once per week,0.06814,46,12140,0.05491,0.08188
178,178,1994,No migration background,First Stage of Tertiary Education,At least once per month,0.24041,185,12140,0.21396,0.26292
179,179,1994,No migration background,First Stage of Tertiary Education,Seldom,0.55895,369,12140,0.5156,0.59946
180,180,1994,No migration background,First Stage of Tertiary Education,Never,0.1325,76,12140,0.11563,0.15201
181,181,1994,No migration background,Second Stage of Tertiary Education,At least once per week,0.07123,115,12140,0.06322,0.07877
182,182,1994,No migration background,Second Stage of Tertiary Education,At least once per month,0.24743,381,12140,0.22962,0.26777
183,183,1994,No migration background,Second Stage of Tertiary Education,Seldom,0.56346,859,12140,0.53664,0.5921
184,184,1994,No migration background,Second Stage of Tertiary Education,Never,0.11789,157,12140,0.10728,0.13127
185,185,1994,Direct migration background,Primary Level,At least once per week,0.09696,55,12140,0.07762,0.11648
186,186,1994,Direct migration background,Primary Level,At least once per month,0.31496,148,12140,0.28187,0.35756
187,187,1994,Direct migration background,Primary Level,Seldom,0.39355,172,12140,0.35183,0.44159
188,188,1994,Direct migration background,Primary Level,Never,0.19453,91,12140,0.15893,0.23788
189,189,1994,Direct migration background,Lower Secondary Level,At least once per week,0.14062,96,12140,0.11787,0.16256
190,190,1994,Direct migration background,Lower Secondary Level,At least once per month,0.27762,214,12140,0.24176,0.32
191,191,1994,Direct migration background,Lower Secondary Level,Seldom,0.39625,284,12140,0.35055,0.44492
192,192,1994,Direct migration background,Lower Secondary Level,Never,0.18551,109,12140,0.15021,0.23509
193,193,1994,Direct migration background,Upper Secondary Level,At least once per week,0.12954,118,12140,0.10503,0.15531
194,194,1994,Direct migration background,Upper Secondary Level,At least once per month,0.27928,248,12140,0.25183,0.3103
195,195,1994,Direct migration background,Upper Secondary Level,Seldom,0.44354,342,12140,0.40019,0.48196
196,196,1994,Direct migration background,Upper Secondary Level,Never,0.14764,105,12140,0.1251,0.17628
197,197,1994,Direct migration background,Post-secondary Non-tertiary Level,Seldom,1.0,36,12140,0.71948,1.33098
198,198,1994,Direct migration background,Second Stage of Tertiary Education,At least once per month,0.3028,32,12140,0.22007,0.40195
199,199,1994,Direct migration background,Second Stage of Tertiary Education,Seldom,0.6972,65,12140,0.55881,0.84428
200,200,1994,Indirect migration background,Lower Secondary Level,At least once per month,0.48658,63,12140,0.36846,0.60113
201,201,1994,Indirect migration background,Lower Secondary Level,Seldom,0.51342,74,12140,0.40551,0.62278
202,202,1994,Indirect migration background,Upper Secondary Level,At least once per month,0.40159,63,12140,0.33474,0.4678
203,203,1994,Indirect migration background,Upper Secondary Level,Seldom,0.59841,69,12140,0.43263,0.7564
204,204,1996,No migration background,Pre-primary Level,At least once per month,0.39101,66,12259,0.32355,0.4545
205,205,1996,No migration background,Pre-primary Level,Seldom,0.60899,101,12259,0.5398,0.68558
206,206,1996,No migration background,Lower Secondary Level,At least once per week,0.14225,204,12259,0.13033,0.15683
207,207,1996,No migration background,Lower Secondary Level,At least once per month,0.2315,385,12259,0.21676,0.24483
208,208,1996,No migration background,Lower Secondary Level,Seldom,0.41792,636,12259,0.39529,0.44456
209,209,1996,No migration background,Lower Secondary Level,Never,0.20834,253,12259,0.19159,0.22446
210,210,1996,No migration background,Upper Secondary Level,At least once per week,0.11193,615,12259,0.10512,0.11826
211,211,1996,No migration background,Upper Secondary Level,At least once per month,0.30521,1771,12259,0.29627,0.31444
212,212,1996,No migration background,Upper Secondary Level,Seldom,0.4683,2604,12259,0.45629,0.48394
213,213,1996,No migration background,Upper Secondary Level,Never,0.11455,472,12259,0.10863,0.12091
214,214,1996,No migration background,Post-secondary Non-tertiary Level,At least once per week,0.09791,31,12259,0.07943,0.11685
215,215,1996,No migration background,Post-secondary Non-tertiary Level,At least once per month,0.38466,124,12259,0.33904,0.43952
216,216,1996,No migration background,Post-secondary Non-tertiary Level,Seldom,0.51743,148,12259,0.45088,0.59318
217,217,1996,No migration background,First Stage of Tertiary Education,At least once per week,0.09826,65,12259,0.07953,0.12297
218,218,1996,No migration background,First Stage of Tertiary Education,At least once per month,0.32639,238,12259,0.30086,0.35955
219,219,1996,No migration background,First Stage of Tertiary Education,Seldom,0.47506,332,12259,0.44431,0.51257
220,220,1996,No migration background,First Stage of Tertiary Education,Never,0.1003,47,12259,0.0825,0.11589
221,221,1996,No migration background,Second Stage of Tertiary Education,At least once per week,0.09036,149,12259,0.0798,0.10477
222,222,1996,No migration background,Second Stage of Tertiary Education,At least once per month,0.29453,457,12259,0.27256,0.31511
223,223,1996,No migration background,Second Stage of Tertiary Education,Seldom,0.52928,849,12259,0.50698,0.55218
224,224,1996,No migration background,Second Stage of Tertiary Education,Never,0.08583,104,12259,0.07386,0.09736
225,225,1996,Direct migration background,Primary Level,At least once per week,0.15292,65,12259,0.12664,0.18044
226,226,1996,Direct migration background,Primary Level,At least once per month,0.33503,139,12259,0.28551,0.38234
227,227,1996,Direct migration background,Primary Level,Seldom,0.34062,155,12259,0.30263,0.3869
228,228,1996,Direct migration background,Primary Level,Never,0.17144,61,12259,0.13333,0.21539
229,229,1996,Direct migration background,Lower Secondary Level,At least once per week,0.17737,119,12259,0.14783,0.20724
230,230,1996,Direct migration background,Lower Secondary Level,At least once per month,0.27507,234,12259,0.24384,0.30553
231,231,1996,Direct migration background,Lower Secondary Level,Seldom,0.38337,268,12259,0.34536,0.42596
232,232,1996,Direct migration background,Lower Secondary Level,Never,0.16419,100,12259,0.13551,0.20165
233,233,1996,Direct migration background,Upper Secondary Level,At least once per week,0.15696,148,12259,0.13362,0.18416
234,234,1996,Direct migration background,Upper Secondary Level,At least once per month,0.30882,318,12259,0.27822,0.34116
235,235,1996,Direct migration background,Upper Secondary Level,Seldom,0.39166,354,12259,0.35413,0.42559
236,236,1996,Direct migration background,Upper Secondary Level,Never,0.14257,110,12259,0.11906,0.16769
237,237,1996,Direct migration background,Post-secondary Non-tertiary Level,At least once per month,0.49853,48,12259,0.41996,0.62655
238,238,1996,Direct migration background,Post-secondary Non-tertiary Level,Seldom,0.50147,48,12259,0.40962,0.60491
239,239,1996,Direct migration background,Second Stage of Tertiary Education,At least once per month,0.41614,60,12259,0.3449,0.4987
240,240,1996,Direct migration background,Second Stage of Tertiary Education,Seldom,0.58386,78,12259,0.49673,0.69812
241,241,1996,Indirect migration background,Lower Secondary Level,At least once per month,0.37919,51,12259,0.30594,0.47983
242,242,1996,Indirect migration background,Lower Secondary Level,Seldom,0.62081,81,12259,0.51354,0.72684
243,243,1996,Indirect migration background,Upper Secondary Level,At least once per month,0.42032,85,12259,0.34254,0.4941
244,244,1996,Indirect migration background,Upper Secondary Level,Seldom,0.57968,86,12259,0.47185,0.7119
245,245,1997,No migration background,Pre-primary Level,At least once per month,0.25918,46,11981,0.21543,0.30168
246,246,1997,No migration background,Pre-primary Level,Seldom,0.74082,124,11981,0.66291,0.83094
247,247,1997,No migration background,Lower Secondary Level,At least once per week,0.12905,176,11981,0.11914,0.14028
248,248,1997,No migration background,Lower Secondary Level,At least once per month,0.22755,379,11981,0.21458,0.24146
249,249,1997,No migration background,Lower Secondary Level,Seldom,0.41366,606,11981,0.39049,0.4375
250,250,1997,No migration background,Lower Secondary Level,Never,0.22974,263,11981,0.21278,0.24727
251,251,1997,No migration background,Upper Secondary Level,At least once per week,0.11208,584,11981,0.10551,0.11935
252,252,1997,No migration background,Upper Secondary Level,At least once per month,0.29319,1647,11981,0.28168,0.30139
253,253,1997,No migration background,Upper Secondary Level,Seldom,0.47084,2600,11981,0.457,0.48425
254,254,1997,No migration background,Upper Secondary Level,Never,0.12389,521,11981,0.11531,0.13251
255,255,1997,No migration background,Post-secondary Non-tertiary Level,At least once per month,0.46512,123,11981,0.39258,0.53682
256,256,1997,No migration background,Post-secondary Non-tertiary Level,Seldom,0.53488,142,11981,0.46478,0.60519
257,257,1997,No migration background,First Stage of Tertiary Education,At least once per week,0.0984,66,11981,0.0848,0.11797
258,258,1997,No migration background,First Stage of Tertiary Education,At least once per month,0.32162,219,11981,0.29533,0.34996
259,259,1997,No migration background,First Stage of Tertiary Education,Seldom,0.46624,331,11981,0.42334,0.50413
260,260,1997,No migration background,First Stage of Tertiary Education,Never,0.11374,62,11981,0.09593,0.13245
261,261,1997,No migration background,Second Stage of Tertiary Education,At least once per week,0.08588,139,11981,0.07596,0.09631
262,262,1997,No migration background,Second Stage of Tertiary Education,At least once per month,0.27609,454,11981,0.25506,0.29822
263,263,1997,No migration background,Second Stage of Tertiary Education,Seldom,0.52417,830,11981,0.49964,0.55257
264,264,1997,No migration background,Second Stage of Tertiary Education,Never,0.11386,133,11981,0.10202,0.12747
265,265,1997,Direct migration background,Primary Level,At least once per week,0.12968,55,11981,0.1082,0.15023
266,266,1997,Direct migration background,Primary Level,At least once per month,0.28857,114,11981,0.24972,0.34103
267,267,1997,Direct migration background,Primary Level,Seldom,0.40652,160,11981,0.35618,0.47655
268,268,1997,Direct migration background,Primary Level,Never,0.17523,65,11981,0.14418,0.22788
269,269,1997,Direct migration background,Lower Secondary Level,At least once per week,0.13177,99,11981,0.10537,0.15964
270,270,1997,Direct migration background,Lower Secondary Level,At least once per month,0.30895,221,11981,0.27026,0.34921
271,271,1997,Direct migration background,Lower Secondary Level,Seldom,0.35448,251,11981,0.30757,0.3961
272,272,1997,Direct migration background,Lower Secondary Level,Never,0.2048,118,11981,0.16235,0.25531
273,273,1997,Direct migration background,Upper Secondary Level,At least once per week,0.13002,139,11981,0.10872,0.15422
274,274,1997,Direct migration background,Upper Secondary Level,At least once per month,0.32024,290,11981,0.28961,0.35667
275,275,1997,Direct migration background,Upper Secondary Level,Seldom,0.41158,351,11981,0.37729,0.44517
276,276,1997,Direct migration background,Upper Secondary Level,Never,0.13816,110,11981,0.11513,0.16329
277,277,1997,Direct migration background,Post-secondary Non-tertiary Level,At least once per month,0.43188,40,11981,0.34645,0.51707
278,278,1997,Direct migration background,Post-secondary Non-tertiary Level,Seldom,0.56812,49,11981,0.43645,0.71799
279,279,1997,Direct migration background,Second Stage of Tertiary Education,At least once per month,0.31817,44,11981,0.25451,0.38031
280,280,1997,Direct migration background,Second Stage of Tertiary Education,Seldom,0.68183,92,11981,0.54183,0.80645
281,281,1997,Indirect migration background,Lower Secondary Level,At least once per week,0.17648,35,11981,0.12749,0.23403
282,282,1997,Indirect migration background,Lower Secondary Level,At least once per month,0.33501,57,11981,0.25406,0.43698
