year,migback,plh0258_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,Indirect migration background,Other Christian community,0.06617,73,846,0.04941,0.08293
2011,Indirect migration background,Islamic community,0.15097,153,846,0.12683,0.17511
2011,Indirect migration background,Non-denominational,0.18869,169,846,0.16231,0.21507
2015,No migration background,Catholic,0.28667,5368,18976,0.28024,0.29311
2015,No migration background,Protestant,0.34883,6576,18976,0.34204,0.35561
2015,No migration background,Other Christian community,0.01393,254,18976,0.01226,0.01560
2015,No migration background,Non-denominational,0.34862,6778,18976,0.34184,0.35540
2015,Direct migration background,Catholic,0.30921,1632,6015,0.29752,0.32089
2015,Direct migration background,Protestant,0.15947,873,6015,0.15022,0.16873
2015,Direct migration background,Other Christian community,0.04945,299,6015,0.04397,0.05493
2015,Direct migration background,Islamic community,0.10544,548,6015,0.09768,0.11320
2015,Direct migration background,Other religious community,0.02370,165,6015,0.01986,0.02754
2015,Direct migration background,Non-denominational,0.23014,1392,6015,0.21950,0.24078
2015,Direct migration background,Christian orthodox,0.04613,609,6015,0.04083,0.05143
2015,Direct migration background,Shiite denomination,0.00781,66,6015,0.00559,0.01004
2015,Direct migration background,Sunni denomination,0.06218,397,6015,0.05608,0.06828
2015,Direct migration background,Alevi denomination,0.00646,34,6015,0.00444,0.00849
2015,Indirect migration background,Catholic,0.28342,439,1549,0.26097,0.30587
2015,Indirect migration background,Protestant,0.18706,245,1549,0.16763,0.20649
2015,Indirect migration background,Other Christian community,0.03391,82,1549,0.02489,0.04293
2015,Indirect migration background,Islamic community,0.10005,194,1549,0.08511,0.11500
2015,Indirect migration background,Non-denominational,0.23902,362,1549,0.21777,0.26027
2015,Indirect migration background,Christian orthodox,0.01846,79,1549,0.01176,0.02517
2015,Indirect migration background,Sunni denomination,0.10201,148,1549,0.08693,0.11709
2019,No migration background,Catholic,0.26756,5189,19990,0.26142,0.27369
2019,No migration background,Protestant,0.33267,6441,19990,0.32614,0.33920
2019,No migration background,Other Christian community,0.01417,272,19990,0.01253,0.01581
2019,No migration background,Non-denominational,0.38357,8088,19990,0.37683,0.39031
2019,Direct migration background,Catholic,0.26491,1036,7266,0.25477,0.27506
2019,Direct migration background,Protestant,0.11858,608,7266,0.11114,0.12601
2019,Direct migration background,Other Christian community,0.02477,116,7266,0.02120,0.02835
2019,Direct migration background,Islamic community,0.05114,377,7266,0.04608,0.05621
2019,Direct migration background,Other religious community,0.02535,428,7266,0.02173,0.02896
2019,Direct migration background,Non-denominational,0.25914,1278,7266,0.24906,0.26921
2019,Direct migration background,Christian orthodox,0.09178,622,7266,0.08514,0.09842
2019,Direct migration background,Shiite denomination,0.01420,238,7266,0.01148,0.01692
2019,Direct migration background,Sunni denomination,0.14154,2521,7266,0.13353,0.14956
2019,Direct migration background,Alevi denomination,0.00858,42,7266,0.00646,0.01070
2019,Indirect migration background,Catholic,0.25908,378,1473,0.23670,0.28146
2019,Indirect migration background,Protestant,0.16908,280,1473,0.14993,0.18823
2019,Indirect migration background,Islamic community,0.04230,57,1473,0.03202,0.05259
2019,Indirect migration background,Non-denominational,0.29050,503,1473,0.26730,0.31369
2019,Indirect migration background,Christian orthodox,0.02831,54,1473,0.01984,0.03679
2019,Indirect migration background,Sunni denomination,0.16221,201,1473,0.14338,0.18104
