"plh0258_h","year","alter_gr","bildungsniveau","n","percent","lower_confidence","upper_confidence"
"Evangelisch","1990","35-65 Jahre alt","(Fach-)Abitur","54","0.309568146108927","0.250078327915838","0.369057964302016"
"Evangelisch","1990","35-65 Jahre alt","AkademikerInnen","317","0.3233011064773","0.295196429006032","0.351405783948567"
"Evangelisch","1990","66 und älter","(noch) kein Abschluss","","","",""
"Evangelisch","1990","66 und älter","Hauptschulabschluss","569","0.510432450173295","0.481116973892073","0.539747926454517"
"Evangelisch","1990","66 und älter","Realschulabschluss","110","0.585553184318314","0.516410161467472","0.654696207169156"
"Evangelisch","1990","66 und älter","(Fach-)Abitur","","","",""
"Evangelisch","1990","66 und älter","AkademikerInnen","46","0.426742889128869","0.333461697554073","0.520024080703666"
"Andere christlische Religionsgemeinschaft","1990","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"Andere christlische Religionsgemeinschaft","1990","16-34 Jahre alt","Hauptschulabschluss","46","0.0138218584443194","0.00841781473822561","0.0192259021504131"
"Andere christlische Religionsgemeinschaft","1990","16-34 Jahre alt","Realschulabschluss","","","",""
"Andere christlische Religionsgemeinschaft","1990","16-34 Jahre alt","(Fach-)Abitur","","","",""
"Andere christlische Religionsgemeinschaft","1990","16-34 Jahre alt","AkademikerInnen","","","",""
"Andere christlische Religionsgemeinschaft","1990","35-65 Jahre alt","(noch) kein Abschluss","43","0.112934982745373","0.0856518151597586","0.140218150330988"
"Andere christlische Religionsgemeinschaft","1990","35-65 Jahre alt","Hauptschulabschluss","111","0.0168029464078485","0.0128834208664746","0.0207224719492223"
"Andere christlische Religionsgemeinschaft","1990","35-65 Jahre alt","Realschulabschluss","","","",""
"Andere christlische Religionsgemeinschaft","1990","35-65 Jahre alt","(Fach-)Abitur","","","",""
"Andere christlische Religionsgemeinschaft","1990","35-65 Jahre alt","AkademikerInnen","","","",""
"Andere christlische Religionsgemeinschaft","1990","66 und älter","(noch) kein Abschluss","","","",""
"Andere christlische Religionsgemeinschaft","1990","66 und älter","Hauptschulabschluss","","","",""
"Andere christlische Religionsgemeinschaft","1990","66 und älter","Realschulabschluss","","","",""
"Andere christlische Religionsgemeinschaft","1990","66 und älter","(Fach-)Abitur","","","",""
"Andere christlische Religionsgemeinschaft","1990","66 und älter","AkademikerInnen","","","",""
"Islamische Religionsgemeinschaft","1990","16-34 Jahre alt","(noch) kein Abschluss","89","0.108102574937951","0.0757564742266547","0.140448675649247"
"Islamische Religionsgemeinschaft","1990","16-34 Jahre alt","Hauptschulabschluss","260","0.0506274296835462","0.0404796921544973","0.0607751672125951"
"Islamische Religionsgemeinschaft","1990","16-34 Jahre alt","Realschulabschluss","","","",""
"Islamische Religionsgemeinschaft","1990","16-34 Jahre alt","(Fach-)Abitur","46","0.0216111150484416","0.00999544711033864","0.0332267829865445"
"Islamische Religionsgemeinschaft","1990","16-34 Jahre alt","AkademikerInnen","","","",""
"Islamische Religionsgemeinschaft","1990","35-65 Jahre alt","(noch) kein Abschluss","167","0.329810737618618","0.289284718257115","0.370336756980121"
"Islamische Religionsgemeinschaft","1990","35-65 Jahre alt","Hauptschulabschluss","170","0.0159327369350302","0.0121143663258592","0.0197511075442012"
"Islamische Religionsgemeinschaft","1990","35-65 Jahre alt","Realschulabschluss","","","",""
"Islamische Religionsgemeinschaft","1990","35-65 Jahre alt","(Fach-)Abitur","31","0.0709052680454333","0.0378779469334147","0.103932589157452"
"Islamische Religionsgemeinschaft","1990","35-65 Jahre alt","AkademikerInnen","","","",""
"Islamische Religionsgemeinschaft","1990","66 und älter","(noch) kein Abschluss","","","",""
"Islamische Religionsgemeinschaft","1990","66 und älter","Hauptschulabschluss","","","",""
"Islamische Religionsgemeinschaft","1990","66 und älter","Realschulabschluss","","","",""
"Islamische Religionsgemeinschaft","1990","66 und älter","(Fach-)Abitur","","","",""
"Islamische Religionsgemeinschaft","1990","66 und älter","AkademikerInnen","","","",""
"Andere Religionsgemeinschaft","1990","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"Andere Religionsgemeinschaft","1990","16-34 Jahre alt","Hauptschulabschluss","","","",""
"Andere Religionsgemeinschaft","1990","16-34 Jahre alt","Realschulabschluss","","","",""
"Andere Religionsgemeinschaft","1990","16-34 Jahre alt","(Fach-)Abitur","","","",""
"Andere Religionsgemeinschaft","1990","16-34 Jahre alt","AkademikerInnen","","","",""
"Andere Religionsgemeinschaft","1990","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"Andere Religionsgemeinschaft","1990","35-65 Jahre alt","Hauptschulabschluss","","","",""
"Andere Religionsgemeinschaft","1990","35-65 Jahre alt","Realschulabschluss","","","",""
"Andere Religionsgemeinschaft","1990","35-65 Jahre alt","(Fach-)Abitur","","","",""
"Andere Religionsgemeinschaft","1990","35-65 Jahre alt","AkademikerInnen","","","",""
"Andere Religionsgemeinschaft","1990","66 und älter","(noch) kein Abschluss","","","",""
"Andere Religionsgemeinschaft","1990","66 und älter","Hauptschulabschluss","","","",""
"Andere Religionsgemeinschaft","1990","66 und älter","Realschulabschluss","","","",""
"Andere Religionsgemeinschaft","1990","66 und älter","(Fach-)Abitur","","","",""
"Andere Religionsgemeinschaft","1990","66 und älter","AkademikerInnen","","","",""
"Konfessionslos","1990","16-34 Jahre alt","(noch) kein Abschluss","34","0.0637141890599884","0.0382711631100016","0.0891572150099752"
"Konfessionslos","1990","16-34 Jahre alt","Hauptschulabschluss","234","0.116005531358234","0.101183010544526","0.130828052171941"
"Konfessionslos","1990","16-34 Jahre alt","Realschulabschluss","829","0.325707632256319","0.304783602768731","0.346631661743906"
"Konfessionslos","1990","16-34 Jahre alt","(Fach-)Abitur","130","0.183889735250792","0.152943842981755","0.214835627519829"
"Konfessionslos","1990","16-34 Jahre alt","AkademikerInnen","265","0.375169148819258","0.33355498135037","0.416783316288146"
"Konfessionslos","1990","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"Konfessionslos","1990","35-65 Jahre alt","Hauptschulabschluss","877","0.159248947769726","0.148090790225405","0.170407105314047"
"Konfessionslos","1990","35-65 Jahre alt","Realschulabschluss","390","0.270803492040689","0.244127602591535","0.297479381489843"
"Konfessionslos","1990","35-65 Jahre alt","(Fach-)Abitur","48","0.239821781315291","0.18487957168355","0.294763990947033"
"Konfessionslos","1990","35-65 Jahre alt","AkademikerInnen","538","0.407196184956704","0.377674943140323","0.436717426773085"
"Konfessionslos","1990","66 und älter","(noch) kein Abschluss","","","",""
"Konfessionslos","1990","66 und älter","Hauptschulabschluss","178","0.118453180927977","0.0995028167833051","0.137403545072649"
"Konfessionslos","1990","66 und älter","Realschulabschluss","","","",""
"Konfessionslos","1990","66 und älter","(Fach-)Abitur","","","",""
"Konfessionslos","1990","66 und älter","AkademikerInnen","31","0.202413649545918","0.126635330471311","0.278191968620525"
"Christlich orthodox","1990","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"Christlich orthodox","1990","16-34 Jahre alt","Hauptschulabschluss","63","0.00680227285534616","0.00299772694657267","0.0106068187641196"
"Christlich orthodox","1990","16-34 Jahre alt","Realschulabschluss","","","",""
"Christlich orthodox","1990","16-34 Jahre alt","(Fach-)Abitur","","","",""
"Christlich orthodox","1990","16-34 Jahre alt","AkademikerInnen","","","",""
"Christlich orthodox","1990","35-65 Jahre alt","(noch) kein Abschluss","71","0.0811234361005618","0.0575889577914136","0.10465791440971"
"Christlich orthodox","1990","35-65 Jahre alt","Hauptschulabschluss","102","0.0047518604011056","0.00265476582238852","0.00684895497982269"
"Christlich orthodox","1990","35-65 Jahre alt","Realschulabschluss","","","",""
"Christlich orthodox","1990","35-65 Jahre alt","(Fach-)Abitur","","","",""
"Christlich orthodox","1990","35-65 Jahre alt","AkademikerInnen","","","",""
"Christlich orthodox","1990","66 und älter","(noch) kein Abschluss","","","",""
"Christlich orthodox","1990","66 und älter","Hauptschulabschluss","","","",""
"Christlich orthodox","1990","66 und älter","Realschulabschluss","","","",""
"Christlich orthodox","1990","66 und älter","(Fach-)Abitur","","","",""
"Christlich orthodox","1990","66 und älter","AkademikerInnen","","","",""
"Schiitische Rel.gemeinschaft","1990","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"Schiitische Rel.gemeinschaft","1990","16-34 Jahre alt","Hauptschulabschluss","","","",""
"Schiitische Rel.gemeinschaft","1990","16-34 Jahre alt","Realschulabschluss","","","",""
"Schiitische Rel.gemeinschaft","1990","16-34 Jahre alt","(Fach-)Abitur","","","",""
"Schiitische Rel.gemeinschaft","1990","16-34 Jahre alt","AkademikerInnen","","","",""
"Schiitische Rel.gemeinschaft","1990","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"Schiitische Rel.gemeinschaft","1990","35-65 Jahre alt","Hauptschulabschluss","","","",""
"Schiitische Rel.gemeinschaft","1990","35-65 Jahre alt","Realschulabschluss","","","",""
"Schiitische Rel.gemeinschaft","1990","35-65 Jahre alt","(Fach-)Abitur","","","",""
"Schiitische Rel.gemeinschaft","1990","35-65 Jahre alt","AkademikerInnen","","","",""
"Schiitische Rel.gemeinschaft","1990","66 und älter","(noch) kein Abschluss","","","",""
"Schiitische Rel.gemeinschaft","1990","66 und älter","Hauptschulabschluss","","","",""
"Schiitische Rel.gemeinschaft","1990","66 und älter","Realschulabschluss","","","",""
"Schiitische Rel.gemeinschaft","1990","66 und älter","(Fach-)Abitur","","","",""
"Schiitische Rel.gemeinschaft","1990","66 und älter","AkademikerInnen","","","",""
"Sunnitische Rel.gemeinschaft","1990","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"Sunnitische Rel.gemeinschaft","1990","16-34 Jahre alt","Hauptschulabschluss","","","",""
"Sunnitische Rel.gemeinschaft","1990","16-34 Jahre alt","Realschulabschluss","","","",""
"Sunnitische Rel.gemeinschaft","1990","16-34 Jahre alt","(Fach-)Abitur","","","",""
"Sunnitische Rel.gemeinschaft","1990","16-34 Jahre alt","AkademikerInnen","","","",""
"Sunnitische Rel.gemeinschaft","1990","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"Sunnitische Rel.gemeinschaft","1990","35-65 Jahre alt","Hauptschulabschluss","","","",""
"Sunnitische Rel.gemeinschaft","1990","35-65 Jahre alt","Realschulabschluss","","","",""
"Sunnitische Rel.gemeinschaft","1990","35-65 Jahre alt","(Fach-)Abitur","","","",""
"Sunnitische Rel.gemeinschaft","1990","35-65 Jahre alt","AkademikerInnen","","","",""
"Sunnitische Rel.gemeinschaft","1990","66 und älter","(noch) kein Abschluss","","","",""
"Sunnitische Rel.gemeinschaft","1990","66 und älter","Hauptschulabschluss","","","",""
"Sunnitische Rel.gemeinschaft","1990","66 und älter","Realschulabschluss","","","",""
"Sunnitische Rel.gemeinschaft","1990","66 und älter","(Fach-)Abitur","","","",""
"Sunnitische Rel.gemeinschaft","1990","66 und älter","AkademikerInnen","","","",""
"Alevitische Rel.gemeinschaft","1990","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"Alevitische Rel.gemeinschaft","1990","16-34 Jahre alt","Hauptschulabschluss","","","",""
"Alevitische Rel.gemeinschaft","1990","16-34 Jahre alt","Realschulabschluss","","","",""
"Alevitische Rel.gemeinschaft","1990","16-34 Jahre alt","(Fach-)Abitur","","","",""
"Alevitische Rel.gemeinschaft","1990","16-34 Jahre alt","AkademikerInnen","","","",""
"Alevitische Rel.gemeinschaft","1990","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"Alevitische Rel.gemeinschaft","1990","35-65 Jahre alt","Hauptschulabschluss","","","",""
"Alevitische Rel.gemeinschaft","1990","35-65 Jahre alt","Realschulabschluss","","","",""
"Alevitische Rel.gemeinschaft","1990","35-65 Jahre alt","(Fach-)Abitur","","","",""
"Alevitische Rel.gemeinschaft","1990","35-65 Jahre alt","AkademikerInnen","","","",""
"Alevitische Rel.gemeinschaft","1990","66 und älter","(noch) kein Abschluss","","","",""
"Alevitische Rel.gemeinschaft","1990","66 und älter","Hauptschulabschluss","","","",""
"Alevitische Rel.gemeinschaft","1990","66 und älter","Realschulabschluss","","","",""
"Alevitische Rel.gemeinschaft","1990","66 und älter","(Fach-)Abitur","","","",""
"Alevitische Rel.gemeinschaft","1990","66 und älter","AkademikerInnen","","","",""
"Mehrfachnennung","1990","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"Mehrfachnennung","1990","16-34 Jahre alt","Hauptschulabschluss","","","",""
"Mehrfachnennung","1990","16-34 Jahre alt","Realschulabschluss","","","",""
"Mehrfachnennung","1990","16-34 Jahre alt","(Fach-)Abitur","","","",""
"Mehrfachnennung","1990","16-34 Jahre alt","AkademikerInnen","","","",""
"Mehrfachnennung","1990","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"Mehrfachnennung","1990","35-65 Jahre alt","Hauptschulabschluss","","","",""
"Mehrfachnennung","1990","35-65 Jahre alt","Realschulabschluss","","","",""
"Mehrfachnennung","1990","35-65 Jahre alt","(Fach-)Abitur","","","",""
"Mehrfachnennung","1990","35-65 Jahre alt","AkademikerInnen","","","",""
"Mehrfachnennung","1990","66 und älter","(noch) kein Abschluss","","","",""
"Mehrfachnennung","1990","66 und älter","Hauptschulabschluss","","","",""
"Mehrfachnennung","1990","66 und älter","Realschulabschluss","","","",""
"Mehrfachnennung","1990","66 und älter","(Fach-)Abitur","","","",""
"Mehrfachnennung","1990","66 und älter","AkademikerInnen","","","",""
"Katholisch","1991","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"Katholisch","1991","16-34 Jahre alt","Hauptschulabschluss","","","",""
"Katholisch","1991","16-34 Jahre alt","Realschulabschluss","44","0.0478928735718842","0.0344616112357192","0.0613241359080491"
"Katholisch","1991","16-34 Jahre alt","(Fach-)Abitur","","","",""
"Katholisch","1991","16-34 Jahre alt","AkademikerInnen","","","",""
"Katholisch","1991","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"Katholisch","1991","35-65 Jahre alt","Hauptschulabschluss","57","0.055321280684845","0.0414872566547128","0.0691553047149773"
"Katholisch","1991","35-65 Jahre alt","Realschulabschluss","33","0.070662779653421","0.0483565517260397","0.0929690075808024"
"Katholisch","1991","35-65 Jahre alt","(Fach-)Abitur","","","",""
"Katholisch","1991","35-65 Jahre alt","AkademikerInnen","","","",""
"Katholisch","1991","66 und älter","(noch) kein Abschluss","","","",""
"Katholisch","1991","66 und älter","Hauptschulabschluss","","","",""
"Katholisch","1991","66 und älter","Realschulabschluss","","","",""
"Katholisch","1991","66 und älter","(Fach-)Abitur","","","",""
"Katholisch","1991","66 und älter","AkademikerInnen","","","",""
"Evangelisch","1991","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"Evangelisch","1991","16-34 Jahre alt","Hauptschulabschluss","","","",""
"Evangelisch","1991","16-34 Jahre alt","Realschulabschluss","181","0.187490931368683","0.162941427609431","0.212040435127935"
"Evangelisch","1991","16-34 Jahre alt","(Fach-)Abitur","","","",""
"Evangelisch","1991","16-34 Jahre alt","AkademikerInnen","62","0.218076628608313","0.169535222505765","0.26661803471086"
"Evangelisch","1991","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"Evangelisch","1991","35-65 Jahre alt","Hauptschulabschluss","316","0.305798207816918","0.277916416003557","0.333679999630278"
"Evangelisch","1991","35-65 Jahre alt","Realschulabschluss","152","0.292242321391198","0.252654831931162","0.331829810851234"
"Evangelisch","1991","35-65 Jahre alt","(Fach-)Abitur","","","",""
"Evangelisch","1991","35-65 Jahre alt","AkademikerInnen","151","0.238653329065109","0.205394390387612","0.271912267742606"
"Evangelisch","1991","66 und älter","(noch) kein Abschluss","","","",""
"Evangelisch","1991","66 und älter","Hauptschulabschluss","167","0.52570032903398","0.471075371679803","0.580325286388157"
"Evangelisch","1991","66 und älter","Realschulabschluss","","","",""
"Evangelisch","1991","66 und älter","(Fach-)Abitur","","","",""
"Evangelisch","1991","66 und älter","AkademikerInnen","","","",""
"Andere christlische Religionsgemeinschaft","1991","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"Andere christlische Religionsgemeinschaft","1991","16-34 Jahre alt","Hauptschulabschluss","","","",""
"Andere christlische Religionsgemeinschaft","1991","16-34 Jahre alt","Realschulabschluss","","","",""
"Andere christlische Religionsgemeinschaft","1991","16-34 Jahre alt","(Fach-)Abitur","","","",""
"Andere christlische Religionsgemeinschaft","1991","16-34 Jahre alt","AkademikerInnen","","","",""
"Andere christlische Religionsgemeinschaft","1991","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"Andere christlische Religionsgemeinschaft","1991","35-65 Jahre alt","Hauptschulabschluss","","","",""
"Andere christlische Religionsgemeinschaft","1991","35-65 Jahre alt","Realschulabschluss","","","",""
"Andere christlische Religionsgemeinschaft","1991","35-65 Jahre alt","(Fach-)Abitur","","","",""
"Andere christlische Religionsgemeinschaft","1991","35-65 Jahre alt","AkademikerInnen","","","",""
"Andere christlische Religionsgemeinschaft","1991","66 und älter","(noch) kein Abschluss","","","",""
"Andere christlische Religionsgemeinschaft","1991","66 und älter","Hauptschulabschluss","","","",""
"Andere christlische Religionsgemeinschaft","1991","66 und älter","Realschulabschluss","","","",""
"Andere christlische Religionsgemeinschaft","1991","66 und älter","(Fach-)Abitur","","","",""
"Andere christlische Religionsgemeinschaft","1991","66 und älter","AkademikerInnen","","","",""
"Islamische Religionsgemeinschaft","1991","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"Islamische Religionsgemeinschaft","1991","16-34 Jahre alt","Hauptschulabschluss","","","",""
"Islamische Religionsgemeinschaft","1991","16-34 Jahre alt","Realschulabschluss","","","",""
"Islamische Religionsgemeinschaft","1991","16-34 Jahre alt","(Fach-)Abitur","","","",""
"Islamische Religionsgemeinschaft","1991","16-34 Jahre alt","AkademikerInnen","","","",""
"Islamische Religionsgemeinschaft","1991","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"Islamische Religionsgemeinschaft","1991","35-65 Jahre alt","Hauptschulabschluss","","","",""
"Islamische Religionsgemeinschaft","1991","35-65 Jahre alt","Realschulabschluss","","","",""
"Islamische Religionsgemeinschaft","1991","35-65 Jahre alt","(Fach-)Abitur","","","",""
"Islamische Religionsgemeinschaft","1991","35-65 Jahre alt","AkademikerInnen","","","",""
"Islamische Religionsgemeinschaft","1991","66 und älter","(noch) kein Abschluss","","","",""
"Islamische Religionsgemeinschaft","1991","66 und älter","Hauptschulabschluss","","","",""
"Islamische Religionsgemeinschaft","1991","66 und älter","Realschulabschluss","","","",""
"Islamische Religionsgemeinschaft","1991","66 und älter","(Fach-)Abitur","","","",""
"Islamische Religionsgemeinschaft","1991","66 und älter","AkademikerInnen","","","",""
"Andere Religionsgemeinschaft","1991","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"Andere Religionsgemeinschaft","1991","16-34 Jahre alt","Hauptschulabschluss","","","",""
"Andere Religionsgemeinschaft","1991","16-34 Jahre alt","Realschulabschluss","","","",""
"Andere Religionsgemeinschaft","1991","16-34 Jahre alt","(Fach-)Abitur","","","",""
"Andere Religionsgemeinschaft","1991","16-34 Jahre alt","AkademikerInnen","","","",""
"Andere Religionsgemeinschaft","1991","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"Andere Religionsgemeinschaft","1991","35-65 Jahre alt","Hauptschulabschluss","","","",""
"Andere Religionsgemeinschaft","1991","35-65 Jahre alt","Realschulabschluss","","","",""
"Andere Religionsgemeinschaft","1991","35-65 Jahre alt","(Fach-)Abitur","","","",""
"Andere Religionsgemeinschaft","1991","35-65 Jahre alt","AkademikerInnen","","","",""
"Andere Religionsgemeinschaft","1991","66 und älter","(noch) kein Abschluss","","","",""
"Andere Religionsgemeinschaft","1991","66 und älter","Hauptschulabschluss","","","",""
"Andere Religionsgemeinschaft","1991","66 und älter","Realschulabschluss","","","",""
"Andere Religionsgemeinschaft","1991","66 und älter","(Fach-)Abitur","","","",""
"Andere Religionsgemeinschaft","1991","66 und älter","AkademikerInnen","","","",""
"Konfessionslos","1991","16-34 Jahre alt","(noch) kein Abschluss","32","0.735724710977043","0.60689151399763","0.864557907956455"
"Konfessionslos","1991","16-34 Jahre alt","Hauptschulabschluss","128","0.872380577620133","0.818441836653164","0.926319318587102"
"Konfessionslos","1991","16-34 Jahre alt","Realschulabschluss","739","0.758807701248089","0.731899413737674","0.785715988758504"
"Konfessionslos","1991","16-34 Jahre alt","(Fach-)Abitur","67","0.750911492335078","0.663482517684729","0.838340466985426"
"Konfessionslos","1991","16-34 Jahre alt","AkademikerInnen","207","0.745973462503743","0.694802106410012","0.797144818597474"
"Konfessionslos","1991","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"Konfessionslos","1991","35-65 Jahre alt","Hauptschulabschluss","668","0.633026825979797","0.603860040774859","0.662193611184734"
"Konfessionslos","1991","35-65 Jahre alt","Realschulabschluss","319","0.631970700457958","0.589991536908275","0.673949864007641"
"Konfessionslos","1991","35-65 Jahre alt","(Fach-)Abitur","","","",""
"Konfessionslos","1991","35-65 Jahre alt","AkademikerInnen","449","0.715042902430449","0.67982291466258","0.750262890198318"
"Konfessionslos","1991","66 und älter","(noch) kein Abschluss","","","",""
"Konfessionslos","1991","66 und älter","Hauptschulabschluss","125","0.376173573139602","0.323180195589983","0.429166950689221"
"Konfessionslos","1991","66 und älter","Realschulabschluss","","","",""
"Konfessionslos","1991","66 und älter","(Fach-)Abitur","","","",""
"Konfessionslos","1991","66 und älter","AkademikerInnen","33","0.672829112365183","0.541461059035069","0.804197165695297"
"Christlich orthodox","1991","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"Christlich orthodox","1991","16-34 Jahre alt","Hauptschulabschluss","","","",""
"Christlich orthodox","1991","16-34 Jahre alt","Realschulabschluss","","","",""
"Christlich orthodox","1991","16-34 Jahre alt","(Fach-)Abitur","","","",""
"Christlich orthodox","1991","16-34 Jahre alt","AkademikerInnen","","","",""
"Christlich orthodox","1991","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"Christlich orthodox","1991","35-65 Jahre alt","Hauptschulabschluss","","","",""
"Christlich orthodox","1991","35-65 Jahre alt","Realschulabschluss","","","",""
"Christlich orthodox","1991","35-65 Jahre alt","(Fach-)Abitur","","","",""
"Christlich orthodox","1991","35-65 Jahre alt","AkademikerInnen","","","",""
"Christlich orthodox","1991","66 und älter","(noch) kein Abschluss","","","",""
"Christlich orthodox","1991","66 und älter","Hauptschulabschluss","","","",""
"Christlich orthodox","1991","66 und älter","Realschulabschluss","","","",""
"Christlich orthodox","1991","66 und älter","(Fach-)Abitur","","","",""
"Christlich orthodox","1991","66 und älter","AkademikerInnen","","","",""
"Schiitische Rel.gemeinschaft","1991","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"Schiitische Rel.gemeinschaft","1991","16-34 Jahre alt","Hauptschulabschluss","","","",""
"Schiitische Rel.gemeinschaft","1991","16-34 Jahre alt","Realschulabschluss","","","",""
"Schiitische Rel.gemeinschaft","1991","16-34 Jahre alt","(Fach-)Abitur","","","",""
"Schiitische Rel.gemeinschaft","1991","16-34 Jahre alt","AkademikerInnen","","","",""
"Schiitische Rel.gemeinschaft","1991","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"Schiitische Rel.gemeinschaft","1991","35-65 Jahre alt","Hauptschulabschluss","","","",""
"Schiitische Rel.gemeinschaft","1991","35-65 Jahre alt","Realschulabschluss","","","",""
"Schiitische Rel.gemeinschaft","1991","35-65 Jahre alt","(Fach-)Abitur","","","",""
"Schiitische Rel.gemeinschaft","1991","35-65 Jahre alt","AkademikerInnen","","","",""
"Schiitische Rel.gemeinschaft","1991","66 und älter","(noch) kein Abschluss","","","",""
"Schiitische Rel.gemeinschaft","1991","66 und älter","Hauptschulabschluss","","","",""
"Schiitische Rel.gemeinschaft","1991","66 und älter","Realschulabschluss","","","",""
"Schiitische Rel.gemeinschaft","1991","66 und älter","(Fach-)Abitur","","","",""
"Schiitische Rel.gemeinschaft","1991","66 und älter","AkademikerInnen","","","",""
"Sunnitische Rel.gemeinschaft","1991","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"Sunnitische Rel.gemeinschaft","1991","16-34 Jahre alt","Hauptschulabschluss","","","",""
"Sunnitische Rel.gemeinschaft","1991","16-34 Jahre alt","Realschulabschluss","","","",""
"Sunnitische Rel.gemeinschaft","1991","16-34 Jahre alt","(Fach-)Abitur","","","",""
"Sunnitische Rel.gemeinschaft","1991","16-34 Jahre alt","AkademikerInnen","","","",""
"Sunnitische Rel.gemeinschaft","1991","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"Sunnitische Rel.gemeinschaft","1991","35-65 Jahre alt","Hauptschulabschluss","","","",""
"Sunnitische Rel.gemeinschaft","1991","35-65 Jahre alt","Realschulabschluss","","","",""
"Sunnitische Rel.gemeinschaft","1991","35-65 Jahre alt","(Fach-)Abitur","","","",""
"Sunnitische Rel.gemeinschaft","1991","35-65 Jahre alt","AkademikerInnen","","","",""
"Sunnitische Rel.gemeinschaft","1991","66 und älter","(noch) kein Abschluss","","","",""
"Sunnitische Rel.gemeinschaft","1991","66 und älter","Hauptschulabschluss","","","",""
"Sunnitische Rel.gemeinschaft","1991","66 und älter","Realschulabschluss","","","",""
