year,pgisced97,regtyp,plh0258_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Second Stage of Tertiary Education,Rural regions,Protestant,0.33103,209,679,0.29561,0.36645
1990,Second Stage of Tertiary Education,Rural regions,Non-denominational,0.49961,403,679,0.46198,0.53725
1997,Pre-primary Level,Urban regions,Catholic,0.40681,73,198,0.33821,0.47541
1997,Pre-primary Level,Urban regions,Protestant,0.28893,47,198,0.22563,0.35223
1997,Pre-primary Level,Urban regions,Other religious community,0.10966,33,198,0.06602,0.15329
1997,Pre-primary Level,Urban regions,Non-denominational,0.17092,45,198,0.11835,0.22349
1997,Pre-primary Level,Rural regions,Protestant,0.36690,32,88,0.26562,0.46817
1997,Pre-primary Level,Rural regions,Non-denominational,0.39236,56,88,0.28975,0.49496
1997,Primary Level,Urban regions,Catholic,0.35673,138,333,0.30520,0.40826
1997,Primary Level,Urban regions,Other Christian community,0.08576,45,333,0.05564,0.11588
1997,Primary Level,Urban regions,Other religious community,0.31356,150,333,0.26366,0.36347
1997,Lower Secondary Level,Urban regions,Catholic,0.41265,606,1603,0.38855,0.43676
1997,Lower Secondary Level,Urban regions,Protestant,0.37132,447,1603,0.34766,0.39498
1997,Lower Secondary Level,Urban regions,Other Christian community,0.02621,93,1603,0.01838,0.03403
1997,Lower Secondary Level,Urban regions,Other religious community,0.07267,268,1603,0.05996,0.08538
1997,Lower Secondary Level,Urban regions,Non-denominational,0.10969,189,1603,0.09439,0.12500
1997,Lower Secondary Level,Rural regions,Catholic,0.34590,218,684,0.31023,0.38158
1997,Lower Secondary Level,Rural regions,Protestant,0.41903,233,684,0.38202,0.45603
1997,Lower Secondary Level,Rural regions,Other Christian community,0.02615,34,684,0.01418,0.03812
1997,Lower Secondary Level,Rural regions,Non-denominational,0.18458,199,684,0.15548,0.21368
1997,Upper Secondary Level,Urban regions,Catholic,0.35215,1362,4037,0.33741,0.36689
1997,Upper Secondary Level,Urban regions,Protestant,0.37300,1335,4037,0.35808,0.38792
1997,Upper Secondary Level,Urban regions,Other Christian community,0.01764,140,4037,0.01358,0.02170
1997,Upper Secondary Level,Urban regions,Other religious community,0.02696,234,4037,0.02196,0.03196
1997,Upper Secondary Level,Urban regions,Non-denominational,0.22205,966,4037,0.20923,0.23488
1997,Upper Secondary Level,Rural regions,Catholic,0.25869,524,2386,0.24111,0.27626
1997,Upper Secondary Level,Rural regions,Protestant,0.35689,735,2386,0.33767,0.37612
1997,Upper Secondary Level,Rural regions,Other Christian community,0.01528,40,2386,0.01036,0.02021
1997,Upper Secondary Level,Rural regions,Non-denominational,0.36104,1087,2386,0.34177,0.38032
1997,Post-secondary Non-tertiary Level,Urban regions,Catholic,0.33064,107,320,0.27901,0.38227
1997,Post-secondary Non-tertiary Level,Urban regions,Protestant,0.36787,103,320,0.31495,0.42079
1997,Post-secondary Non-tertiary Level,Urban regions,Other religious community,0.05998,32,320,0.03393,0.08604
1997,Post-secondary Non-tertiary Level,Urban regions,Non-denominational,0.21405,78,320,0.16904,0.25906
1997,Post-secondary Non-tertiary Level,Rural regions,Catholic,0.41153,44,79,0.30232,0.52075
1997,Post-secondary Non-tertiary Level,Rural regions,Non-denominational,0.21443,35,79,0.12335,0.30552
1997,First Stage of Tertiary Education,Urban regions,Catholic,0.34928,165,441,0.30473,0.39382
1997,First Stage of Tertiary Education,Urban regions,Protestant,0.34641,151,441,0.30195,0.39087
1997,First Stage of Tertiary Education,Urban regions,Non-denominational,0.26415,125,441,0.22295,0.30534
1997,First Stage of Tertiary Education,Rural regions,Catholic,0.25439,64,283,0.20355,0.30522
1997,First Stage of Tertiary Education,Rural regions,Protestant,0.36490,100,283,0.30871,0.42108
1997,First Stage of Tertiary Education,Rural regions,Non-denominational,0.37192,119,283,0.31551,0.42833
1997,Second Stage of Tertiary Education,Urban regions,Catholic,0.29458,287,1088,0.26748,0.32168
1997,Second Stage of Tertiary Education,Urban regions,Protestant,0.32126,326,1088,0.29350,0.34902
1997,Second Stage of Tertiary Education,Urban regions,Other Christian community,0.02706,32,1088,0.01742,0.03671
1997,Second Stage of Tertiary Education,Urban regions,Non-denominational,0.34346,443,1088,0.31523,0.37169
1997,Second Stage of Tertiary Education,Rural regions,Catholic,0.16224,67,653,0.13394,0.19054
1997,Second Stage of Tertiary Education,Rural regions,Protestant,0.30218,201,653,0.26693,0.33742
1997,Second Stage of Tertiary Education,Rural regions,Non-denominational,0.53138,385,653,0.49307,0.56968
2003,Pre-primary Level,Urban regions,Catholic,0.32331,136,388,0.27671,0.36992
2003,Pre-primary Level,Urban regions,Protestant,0.31959,156,388,0.27313,0.36605
2003,Pre-primary Level,Urban regions,Non-denominational,0.22457,96,388,0.18299,0.26615
2003,Pre-primary Level,Rural regions,Catholic,0.26590,50,191,0.20308,0.32872
2003,Pre-primary Level,Rural regions,Protestant,0.33306,58,191,0.26605,0.40008
2003,Pre-primary Level,Rural regions,Non-denominational,0.37129,83,191,0.30259,0.43999
2003,Primary Level,Urban regions,Catholic,0.34705,70,150,0.27061,0.42348
2003,Primary Level,Urban regions,Other religious community,0.34919,80,150,0.27265,0.42574
2003,Lower Secondary Level,Urban regions,Catholic,0.35447,643,1832,0.33256,0.37638
2003,Lower Secondary Level,Urban regions,Protestant,0.35306,583,1832,0.33117,0.37495
2003,Lower Secondary Level,Urban regions,Other Christian community,0.03241,86,1832,0.02430,0.04052
2003,Lower Secondary Level,Urban regions,Other religious community,0.10909,261,1832,0.09481,0.12337
2003,Lower Secondary Level,Urban regions,Non-denominational,0.14079,259,1832,0.12486,0.15672
2003,Lower Secondary Level,Rural regions,Catholic,0.36197,282,831,0.32927,0.39466
2003,Lower Secondary Level,Rural regions,Protestant,0.39005,318,831,0.35686,0.42323
2003,Lower Secondary Level,Rural regions,Non-denominational,0.20691,231,831,0.17935,0.23447
2003,Upper Secondary Level,Urban regions,Catholic,0.34936,2408,7009,0.33820,0.36052
2003,Upper Secondary Level,Urban regions,Protestant,0.36130,2467,7009,0.35006,0.37255
2003,Upper Secondary Level,Urban regions,Other Christian community,0.01835,158,7009,0.01521,0.02150
2003,Upper Secondary Level,Urban regions,Other religious community,0.03420,281,7009,0.02995,0.03846
2003,Upper Secondary Level,Urban regions,Non-denominational,0.22832,1695,7009,0.21849,0.23815
2003,Upper Secondary Level,Rural regions,Catholic,0.26352,993,3988,0.24985,0.27720
2003,Upper Secondary Level,Rural regions,Protestant,0.34393,1307,3988,0.32919,0.35868
2003,Upper Secondary Level,Rural regions,Other Christian community,0.01250,46,3988,0.00905,0.01595
2003,Upper Secondary Level,Rural regions,Non-denominational,0.36979,1642,3988,0.35481,0.38478
2003,Post-secondary Non-tertiary Level,Urban regions,Catholic,0.33945,286,881,0.30817,0.37074
2003,Post-secondary Non-tertiary Level,Urban regions,Protestant,0.35656,313,881,0.32491,0.38821
2003,Post-secondary Non-tertiary Level,Urban regions,Other Christian community,0.03921,35,881,0.02639,0.05204
2003,Post-secondary Non-tertiary Level,Urban regions,Other religious community,0.03913,41,881,0.02632,0.05194
2003,Post-secondary Non-tertiary Level,Urban regions,Non-denominational,0.22386,206,881,0.19632,0.25140
2003,Post-secondary Non-tertiary Level,Rural regions,Catholic,0.25515,65,261,0.20216,0.30814
2003,Post-secondary Non-tertiary Level,Rural regions,Protestant,0.41032,104,261,0.35053,0.47012
2003,Post-secondary Non-tertiary Level,Rural regions,Non-denominational,0.31224,92,261,0.25591,0.36857
2003,First Stage of Tertiary Education,Urban regions,Catholic,0.34845,367,1041,0.31949,0.37741
2003,First Stage of Tertiary Education,Urban regions,Protestant,0.34365,361,1041,0.31479,0.37252
2003,First Stage of Tertiary Education,Urban regions,Other religious community,0.02718,32,1041,0.01729,0.03706
2003,First Stage of Tertiary Education,Urban regions,Non-denominational,0.25303,281,1041,0.22660,0.27945
2003,First Stage of Tertiary Education,Rural regions,Catholic,0.26766,161,602,0.23227,0.30306
2003,First Stage of Tertiary Education,Rural regions,Protestant,0.30925,189,602,0.27229,0.34620
2003,First Stage of Tertiary Education,Rural regions,Non-denominational,0.39775,252,602,0.35862,0.43688
2003,Second Stage of Tertiary Education,Urban regions,Catholic,0.27284,852,3081,0.25711,0.28857
2003,Second Stage of Tertiary Education,Urban regions,Protestant,0.33004,1031,3081,0.31343,0.34664
2003,Second Stage of Tertiary Education,Urban regions,Other Christian community,0.03542,72,3081,0.02889,0.04195
2003,Second Stage of Tertiary Education,Urban regions,Other religious community,0.02538,64,3081,0.01982,0.03093
2003,Second Stage of Tertiary Education,Urban regions,Non-denominational,0.33028,1062,3081,0.31367,0.34689
2003,Second Stage of Tertiary Education,Rural regions,Catholic,0.18716,204,1249,0.16552,0.20880
2003,Second Stage of Tertiary Education,Rural regions,Protestant,0.29118,355,1249,0.26597,0.31638
2003,Second Stage of Tertiary Education,Rural regions,Non-denominational,0.50731,690,1249,0.47958,0.53505
2007,Pre-primary Level,Urban regions,Catholic,0.15192,73,209,0.10314,0.20071
2007,Pre-primary Level,Urban regions,Protestant,0.20679,102,209,0.15175,0.26183
2007,Pre-primary Level,Urban regions,Non-denominational,0.08613,34,209,0.04801,0.12426
2007,Pre-primary Level,Rural regions,Protestant,0.18640,37,84,0.10262,0.27019
2007,Pre-primary Level,Rural regions,Non-denominational,0.15756,47,84,0.07918,0.23595
2007,Primary Level,Urban regions,Catholic,0.26717,44,93,0.17675,0.35759
2007,Primary Level,Urban regions,Islamic community,0.33218,49,93,0.23593,0.42842
2007,Lower Secondary Level,Urban regions,Catholic,0.32590,482,1454,0.30180,0.35000
2007,Lower Secondary Level,Urban regions,Protestant,0.33415,501,1454,0.30990,0.35841
2007,Lower Secondary Level,Urban regions,Other Christian community,0.03863,64,1454,0.02872,0.04854
2007,Lower Secondary Level,Urban regions,Islamic community,0.11679,190,1454,0.10028,0.13331
2007,Lower Secondary Level,Urban regions,Non-denominational,0.15978,217,1454,0.14094,0.17862
2007,Lower Secondary Level,Rural regions,Catholic,0.30977,229,705,0.27561,0.34392
2007,Lower Secondary Level,Rural regions,Protestant,0.38163,272,705,0.34575,0.41752
2007,Lower Secondary Level,Rural regions,Non-denominational,0.23494,204,705,0.20363,0.26626
2007,Upper Secondary Level,Urban regions,Catholic,0.34117,2157,6456,0.32960,0.35274
2007,Upper Secondary Level,Urban regions,Protestant,0.34899,2343,6456,0.33736,0.36062
2007,Upper Secondary Level,Urban regions,Other Christian community,0.02409,171,6456,0.02035,0.02783
2007,Upper Secondary Level,Urban regions,Islamic community,0.03393,193,6456,0.02951,0.03834
2007,Upper Secondary Level,Urban regions,Non-denominational,0.24675,1592,6456,0.23624,0.25727
2007,Upper Secondary Level,Rural regions,Catholic,0.25858,923,3806,0.24466,0.27249
2007,Upper Secondary Level,Rural regions,Protestant,0.35566,1314,3806,0.34045,0.37087
2007,Upper Secondary Level,Rural regions,Other Christian community,0.01441,43,3806,0.01063,0.01820
2007,Upper Secondary Level,Rural regions,Non-denominational,0.35836,1526,3806,0.34312,0.37360
2007,Post-secondary Non-tertiary Level,Urban regions,Catholic,0.34470,281,841,0.31256,0.37685
2007,Post-secondary Non-tertiary Level,Urban regions,Protestant,0.34668,310,841,0.31449,0.37886
2007,Post-secondary Non-tertiary Level,Urban regions,Other Christian community,0.04775,36,841,0.03333,0.06217
2007,Post-secondary Non-tertiary Level,Urban regions,Non-denominational,0.22156,214,841,0.19348,0.24965
2007,Post-secondary Non-tertiary Level,Rural regions,Catholic,0.23592,61,282,0.18627,0.28556
2007,Post-secondary Non-tertiary Level,Rural regions,Protestant,0.38960,113,282,0.33258,0.44662
2007,Post-secondary Non-tertiary Level,Rural regions,Non-denominational,0.35059,108,282,0.29480,0.40638
2007,First Stage of Tertiary Education,Urban regions,Catholic,0.33194,315,891,0.30100,0.36288
2007,First Stage of Tertiary Education,Urban regions,Protestant,0.34437,335,891,0.31315,0.37559
2007,First Stage of Tertiary Education,Urban regions,Non-denominational,0.26274,241,891,0.23383,0.29166
2007,First Stage of Tertiary Education,Rural regions,Catholic,0.27417,161,581,0.23786,0.31047
2007,First Stage of Tertiary Education,Rural regions,Protestant,0.32211,185,581,0.28408,0.36014
2007,First Stage of Tertiary Education,Rural regions,Non-denominational,0.39232,235,581,0.35258,0.43206
2007,Second Stage of Tertiary Education,Urban regions,Catholic,0.28570,864,3093,0.26977,0.30162
2007,Second Stage of Tertiary Education,Urban regions,Protestant,0.32851,1053,3093,0.31195,0.34507
2007,Second Stage of Tertiary Education,Urban regions,Other Christian community,0.03960,88,3093,0.03272,0.04647
2007,Second Stage of Tertiary Education,Urban regions,Islamic community,0.01490,33,3093,0.01063,0.01917
2007,Second Stage of Tertiary Education,Urban regions,Non-denominational,0.32114,1055,3093,0.30468,0.33759
2007,Second Stage of Tertiary Education,Rural regions,Catholic,0.21753,238,1256,0.19470,0.24035
2007,Second Stage of Tertiary Education,Rural regions,Protestant,0.29615,369,1256,0.27089,0.32141
2007,Second Stage of Tertiary Education,Rural regions,Non-denominational,0.46091,649,1256,0.43333,0.48849
2011,Pre-primary Level,Urban regions,Catholic,0.15739,89,243,0.11151,0.20328
2011,Pre-primary Level,Urban regions,Protestant,0.23348,118,243,0.18018,0.28678
2011,Pre-primary Level,Urban regions,Non-denominational,0.06718,36,243,0.03564,0.09872
2011,Pre-primary Level,Rural regions,Protestant,0.21679,40,40,0.08747,0.34612
2011,Primary Level,Urban regions,Catholic,0.28774,57,167,0.21887,0.35661
2011,Primary Level,Urban regions,Protestant,0.13866,40,167,0.08609,0.19123
2011,Primary Level,Urban regions,Islamic community,0.18889,37,167,0.12934,0.24843
2011,Primary Level,Urban regions,Non-denominational,0.18987,33,167,0.13021,0.24953
2011,Lower Secondary Level,Urban regions,Catholic,0.32420,538,1454,0.30013,0.34826
2011,Lower Secondary Level,Urban regions,Protestant,0.31515,510,1454,0.29126,0.33904
2011,Lower Secondary Level,Urban regions,Other Christian community,0.03045,59,1454,0.02162,0.03928
2011,Lower Secondary Level,Urban regions,Islamic community,0.06798,130,1454,0.05503,0.08092
2011,Lower Secondary Level,Urban regions,Non-denominational,0.15013,217,1454,0.13176,0.16850
2011,Lower Secondary Level,Rural regions,Catholic,0.30067,237,772,0.26831,0.33304
2011,Lower Secondary Level,Rural regions,Protestant,0.35352,325,772,0.31978,0.38727
2011,Lower Secondary Level,Rural regions,Non-denominational,0.20099,210,772,0.17270,0.22928
2011,Upper Secondary Level,Urban regions,Catholic,0.30514,2197,6728,0.29413,0.31614
2011,Upper Secondary Level,Urban regions,Protestant,0.31828,2322,6728,0.30714,0.32941
2011,Upper Secondary Level,Urban regions,Other Christian community,0.02026,179,6728,0.01690,0.02363
2011,Upper Secondary Level,Urban regions,Islamic community,0.02375,172,6728,0.02011,0.02739
2011,Upper Secondary Level,Urban regions,Non-denominational,0.26943,1858,6728,0.25883,0.28003
2011,Upper Secondary Level,Rural regions,Catholic,0.23988,1068,4297,0.22711,0.25265
2011,Upper Secondary Level,Rural regions,Protestant,0.31010,1429,4297,0.29627,0.32394
2011,Upper Secondary Level,Rural regions,Other Christian community,0.01002,42,4297,0.00704,0.01300
2011,Upper Secondary Level,Rural regions,Non-denominational,0.35972,1758,4297,0.34537,0.37407
2011,Post-secondary Non-tertiary Level,Urban regions,Catholic,0.25531,299,969,0.22785,0.28278
2011,Post-secondary Non-tertiary Level,Urban regions,Protestant,0.34450,369,969,0.31456,0.37443
2011,Post-secondary Non-tertiary Level,Urban regions,Other Christian community,0.03650,42,969,0.02468,0.04831
2011,Post-secondary Non-tertiary Level,Urban regions,Non-denominational,0.23147,259,969,0.20490,0.25804
2011,Post-secondary Non-tertiary Level,Rural regions,Catholic,0.18882,84,356,0.14810,0.22953
2011,Post-secondary Non-tertiary Level,Rural regions,Protestant,0.32872,136,356,0.27985,0.37758
2011,Post-secondary Non-tertiary Level,Rural regions,Non-denominational,0.34964,136,356,0.30004,0.39925
2011,First Stage of Tertiary Education,Urban regions,Catholic,0.28693,287,883,0.25708,0.31678
2011,First Stage of Tertiary Education,Urban regions,Protestant,0.33393,323,883,0.30281,0.36506
2011,First Stage of Tertiary Education,Urban regions,Non-denominational,0.29151,273,883,0.26151,0.32150
2011,First Stage of Tertiary Education,Rural regions,Catholic,0.23991,160,606,0.20589,0.27394
2011,First Stage of Tertiary Education,Rural regions,Protestant,0.32876,200,606,0.29133,0.36620
2011,First Stage of Tertiary Education,Rural regions,Non-denominational,0.34321,246,606,0.30537,0.38104
2011,Second Stage of Tertiary Education,Urban regions,Catholic,0.26228,952,3485,0.24768,0.27689
2011,Second Stage of Tertiary Education,Urban regions,Protestant,0.30113,1194,3485,0.28590,0.31637
2011,Second Stage of Tertiary Education,Urban regions,Other Christian community,0.02968,96,3485,0.02404,0.03531
2011,Second Stage of Tertiary Education,Urban regions,Islamic community,0.01236,32,3485,0.00869,0.01603
2011,Second Stage of Tertiary Education,Urban regions,Non-denominational,0.31266,1211,3485,0.29727,0.32805
2011,Second Stage of Tertiary Education,Rural regions,Catholic,0.20073,280,1412,0.17983,0.22163
2011,Second Stage of Tertiary Education,Rural regions,Protestant,0.27771,419,1412,0.25434,0.30108
2011,Second Stage of Tertiary Education,Rural regions,Non-denominational,0.43626,713,1412,0.41039,0.46214
2015,Pre-primary Level,Urban regions,Catholic,0.14205,66,190,0.09228,0.19182
2015,Pre-primary Level,Urban regions,Protestant,0.18020,80,190,0.12540,0.23500
2015,Pre-primary Level,Urban regions,Non-denominational,0.06131,44,190,0.02711,0.09552
2015,Pre-primary Level,Rural regions,Protestant,0.26863,55,89,0.17602,0.36124
2015,Pre-primary Level,Rural regions,Non-denominational,0.17304,34,89,0.09400,0.25208
2015,Primary Level,Urban regions,Catholic,0.26154,77,313,0.21278,0.31031
2015,Primary Level,Urban regions,Protestant,0.13979,43,313,0.10131,0.17827
2015,Primary Level,Urban regions,Islamic community,0.18306,75,313,0.14015,0.22597
2015,Primary Level,Urban regions,Non-denominational,0.21233,63,313,0.16695,0.25771
2015,Primary Level,Urban regions,Sunni denomination,0.10043,55,313,0.06708,0.13378
2015,Primary Level,Rural regions,Catholic,0.30989,35,114,0.22462,0.39516
2015,Primary Level,Rural regions,Protestant,0.32607,39,114,0.23963,0.41250
2015,Primary Level,Rural regions,Non-denominational,0.23101,40,114,0.15329,0.30872
2015,Lower Secondary Level,Urban regions,Catholic,0.31443,570,1904,0.29357,0.33529
2015,Lower Secondary Level,Urban regions,Protestant,0.27982,486,1904,0.25965,0.29999
2015,Lower Secondary Level,Urban regions,Other Christian community,0.03019,79,1904,0.02250,0.03788
2015,Lower Secondary Level,Urban regions,Islamic community,0.07352,178,1904,0.06180,0.08525
2015,Lower Secondary Level,Urban regions,Non-denominational,0.19314,392,1904,0.17541,0.21088
2015,Lower Secondary Level,Urban regions,Christian orthodox,0.00938,72,1904,0.00505,0.01371
2015,Lower Secondary Level,Urban regions,Sunni denomination,0.04972,127,1904,0.03995,0.05948
2015,Lower Secondary Level,Rural regions,Catholic,0.30913,277,913,0.27914,0.33912
2015,Lower Secondary Level,Rural regions,Protestant,0.34759,334,913,0.31668,0.37849
2015,Lower Secondary Level,Rural regions,Islamic community,0.01873,39,913,0.00993,0.02753
2015,Lower Secondary Level,Rural regions,Non-denominational,0.26023,263,913,0.23175,0.28871
2015,Upper Secondary Level,Urban regions,Catholic,0.31698,2273,7260,0.30628,0.32768
2015,Upper Secondary Level,Urban regions,Protestant,0.30776,2175,7260,0.29714,0.31838
2015,Upper Secondary Level,Urban regions,Other Christian community,0.02247,210,7260,0.01906,0.02588
2015,Upper Secondary Level,Urban regions,Islamic community,0.02220,214,7260,0.01881,0.02559
2015,Upper Secondary Level,Urban regions,Other religious community,0.00245,33,7260,0.00132,0.00359
2015,Upper Secondary Level,Urban regions,Non-denominational,0.29665,2076,7260,0.28615,0.30716
2015,Upper Secondary Level,Urban regions,Christian orthodox,0.00639,151,7260,0.00456,0.00822
2015,Upper Secondary Level,Urban regions,Sunni denomination,0.01255,128,7260,0.00999,0.01511
2015,Upper Secondary Level,Rural regions,Catholic,0.24017,1222,4781,0.22806,0.25229
2015,Upper Secondary Level,Rural regions,Protestant,0.32387,1468,4781,0.31060,0.33713
2015,Upper Secondary Level,Rural regions,Other Christian community,0.01108,61,4781,0.00811,0.01405
2015,Upper Secondary Level,Rural regions,Islamic community,0.00466,50,4781,0.00273,0.00659
2015,Upper Secondary Level,Rural regions,Non-denominational,0.40031,1892,4781,0.38642,0.41420
2015,Upper Secondary Level,Rural regions,Christian orthodox,0.00268,57,4781,0.00121,0.00414
2015,Upper Secondary Level,Rural regions,Sunni denomination,0.00430,31,4781,0.00245,0.00616
2015,Post-secondary Non-tertiary Level,Urban regions,Catholic,0.30543,487,1548,0.28248,0.32839
2015,Post-secondary Non-tertiary Level,Urban regions,Protestant,0.31575,425,1548,0.29259,0.33891
2015,Post-secondary Non-tertiary Level,Urban regions,Other Christian community,0.02928,43,1548,0.02088,0.03768
2015,Post-secondary Non-tertiary Level,Urban regions,Islamic community,0.01741,36,1548,0.01089,0.02392
2015,Post-secondary Non-tertiary Level,Urban regions,Non-denominational,0.28227,434,1548,0.25984,0.30470
2015,Post-secondary Non-tertiary Level,Urban regions,Christian orthodox,0.01700,81,1548,0.01056,0.02344
2015,Post-secondary Non-tertiary Level,Urban regions,Sunni denomination,0.02156,42,1548,0.01432,0.02879
2015,Post-secondary Non-tertiary Level,Rural regions,Catholic,0.21527,147,510,0.17956,0.25098
2015,Post-secondary Non-tertiary Level,Rural regions,Protestant,0.29924,156,510,0.25946,0.33903
2015,Post-secondary Non-tertiary Level,Rural regions,Non-denominational,0.40886,207,510,0.36615,0.45157
2015,First Stage of Tertiary Education,Urban regions,Catholic,0.30772,292,863,0.27691,0.33853
2015,First Stage of Tertiary Education,Urban regions,Protestant,0.32162,296,863,0.29044,0.35280
2015,First Stage of Tertiary Education,Urban regions,Non-denominational,0.31056,275,863,0.27967,0.34146
2015,First Stage of Tertiary Education,Rural regions,Catholic,0.23596,156,596,0.20184,0.27007
2015,First Stage of Tertiary Education,Rural regions,Protestant,0.34206,193,596,0.30394,0.38017
2015,First Stage of Tertiary Education,Rural regions,Non-denominational,0.39941,247,596,0.36005,0.43876
2015,Second Stage of Tertiary Education,Urban regions,Catholic,0.29042,1251,4621,0.27733,0.30351
2015,Second Stage of Tertiary Education,Urban regions,Protestant,0.29540,1275,4621,0.28224,0.30855
2015,Second Stage of Tertiary Education,Urban regions,Other Christian community,0.02369,122,4621,0.01930,0.02808
2015,Second Stage of Tertiary Education,Urban regions,Islamic community,0.00656,43,4621,0.00423,0.00889
2015,Second Stage of Tertiary Education,Urban regions,Other religious community,0.00697,41,4621,0.00457,0.00937
2015,Second Stage of Tertiary Education,Urban regions,Non-denominational,0.34804,1661,4621,0.33430,0.36178
2015,Second Stage of Tertiary Education,Urban regions,Christian orthodox,0.01214,170,4621,0.00898,0.01530
2015,Second Stage of Tertiary Education,Urban regions,Sunni denomination,0.00757,58,4621,0.00507,0.01007
2015,Second Stage of Tertiary Education,Rural regions,Catholic,0.22166,386,1685,0.20182,0.24150
2015,Second Stage of Tertiary Education,Rural regions,Protestant,0.30404,491,1685,0.28207,0.32601
2015,Second Stage of Tertiary Education,Rural regions,Non-denominational,0.43612,754,1685,0.41244,0.45981
2015,Second Stage of Tertiary Education,Rural regions,Christian orthodox,0.00834,54,1685,0.00400,0.01269
2019,Pre-primary Level,Urban regions,Catholic,0.19016,62,191,0.13436,0.24596
2019,Pre-primary Level,Urban regions,Protestant,0.14174,72,191,0.09214,0.19133
2019,Pre-primary Level,Urban regions,Non-denominational,0.17628,57,191,0.12209,0.23046
2019,Pre-primary Level,Rural regions,Non-denominational,0.21713,31,31,0.06960,0.36467
2019,Primary Level,Urban regions,Catholic,0.16023,71,1119,0.13873,0.18173
2019,Primary Level,Urban regions,Protestant,0.08630,40,1119,0.06984,0.10276
2019,Primary Level,Urban regions,Islamic community,0.07151,57,1119,0.05641,0.08662
2019,Primary Level,Urban regions,Other religious community,0.04276,146,1119,0.03090,0.05462
