year,sampreg,sex,plh0258_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,East,female,Protestant,0.20260,674,2687,0.18740,0.21780
2011,East,female,Non-denominational,0.55801,1890,2687,0.53923,0.57680
2015,West,male,Catholic,0.27626,3211,9756,0.26738,0.28513
2015,West,male,Protestant,0.25773,2857,9756,0.24905,0.26641
2015,West,male,Other Christian community,0.01686,239,9756,0.01430,0.01941
2015,West,male,Islamic community,0.02439,358,9756,0.02133,0.02745
2015,West,male,Other religious community,0.00447,80,9756,0.00314,0.00579
2015,West,male,Non-denominational,0.22194,2423,9756,0.21370,0.23019
2015,West,male,Christian orthodox,0.00689,287,9756,0.00525,0.00853
2015,West,male,Shiite denomination,0.00179,37,9756,0.00095,0.00263
2015,West,male,Sunni denomination,0.01559,264,9756,0.01314,0.01805
2015,West,female,Catholic,0.29739,3933,11452,0.28902,0.30576
2015,West,female,Protestant,0.30303,3748,11452,0.29461,0.31145
2015,West,female,Other Christian community,0.02131,344,11452,0.01867,0.02396
2015,West,female,Islamic community,0.01837,374,11452,0.01591,0.02083
2015,West,female,Other religious community,0.00461,109,11452,0.00337,0.00586
2015,West,female,Non-denominational,0.17346,2278,11452,0.16652,0.18039
2015,West,female,Christian orthodox,0.00738,360,11452,0.00581,0.00895
2015,West,female,Shiite denomination,0.00121,35,11452,0.00058,0.00185
2015,West,female,Sunni denomination,0.01332,271,11452,0.01122,0.01542
2015,East,male,Catholic,0.03107,142,2382,0.02410,0.03804
2015,East,male,Protestant,0.15650,440,2382,0.14190,0.17109
2015,East,male,Non-denominational,0.64489,1800,2382,0.62567,0.66412
2015,East,female,Catholic,0.03593,153,2833,0.02908,0.04279
2015,East,female,Protestant,0.18766,649,2833,0.17328,0.20204
2015,East,female,Non-denominational,0.61152,2031,2833,0.59357,0.62947
2019,West,male,Catholic,0.24815,2926,11161,0.24014,0.25617
2019,West,male,Protestant,0.23385,2769,11161,0.22599,0.24170
2019,West,male,Other Christian community,0.01387,156,11161,0.01170,0.01604
2019,West,male,Islamic community,0.01161,213,11161,0.00963,0.01360
2019,West,male,Other religious community,0.00522,233,11161,0.00388,0.00655
2019,West,male,Non-denominational,0.25846,3115,11161,0.25034,0.26658
2019,West,male,Christian orthodox,0.01326,261,11161,0.01113,0.01538
2019,West,male,Shiite denomination,0.00385,121,11161,0.00270,0.00500
2019,West,male,Sunni denomination,0.03291,1367,11161,0.02960,0.03622
2019,West,female,Catholic,0.27499,3403,11599,0.26686,0.28312
2019,West,female,Protestant,0.28137,3479,11599,0.27318,0.28955
2019,West,female,Other Christian community,0.01503,202,11599,0.01281,0.01724
2019,West,female,Islamic community,0.00959,189,11599,0.00782,0.01137
2019,West,female,Other religious community,0.00549,217,11599,0.00415,0.00683
2019,West,female,Non-denominational,0.20139,2612,11599,0.19409,0.20869
2019,West,female,Christian orthodox,0.01887,364,11599,0.01640,0.02135
2019,West,female,Shiite denomination,0.00259,90,11599,0.00167,0.00352
2019,West,female,Sunni denomination,0.03017,1043,11599,0.02705,0.03328
2019,East,male,Catholic,0.02601,129,2799,0.02012,0.03191
2019,East,male,Protestant,0.14636,476,2799,0.13326,0.15946
2019,East,male,Non-denominational,0.64828,1977,2799,0.63059,0.66598
2019,East,male,Christian orthodox,0.00271,35,2799,0.00078,0.00464
2019,East,male,Sunni denomination,0.00769,182,2799,0.00445,0.01093
2019,East,female,Catholic,0.03662,138,3017,0.02991,0.04332
2019,East,female,Protestant,0.17358,595,3017,0.16006,0.18709
2019,East,female,Other Christian community,0.00740,32,3017,0.00434,0.01045
2019,East,female,Non-denominational,0.62094,2106,3017,0.60363,0.63826
2019,East,female,Sunni denomination,0.00380,146,3017,0.00161,0.00600
