year,migback,sampreg,plh0258_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,Direct migration background,West,Other Christian community,0.04945,291,5576,0.04376,0.05514
2015,Direct migration background,West,Islamic community,0.10517,528,5576,0.09712,0.11323
2015,Direct migration background,West,Other religious community,0.02289,155,5576,0.01896,0.02682
2015,Direct migration background,West,Non-denominational,0.20114,1169,5576,0.19062,0.21166
2015,Direct migration background,West,Christian orthodox,0.04146,567,5576,0.03622,0.04669
2015,Direct migration background,West,Shiite denomination,0.00744,62,5576,0.00519,0.00970
2015,Direct migration background,West,Sunni denomination,0.06151,386,5576,0.05520,0.06782
2015,Direct migration background,West,Alevi denomination,0.00640,33,5576,0.00431,0.00850
2015,Direct migration background,East,Catholic,0.13890,66,385,0.10431,0.17349
2015,Direct migration background,East,Protestant,0.10189,54,385,0.07163,0.13214
2015,Direct migration background,East,Non-denominational,0.54160,223,385,0.49176,0.59143
2015,Direct migration background,East,Christian orthodox,0.08871,42,385,0.06027,0.11714
2015,Indirect migration background,West,Catholic,0.14324,430,1455,0.12523,0.16124
2015,Indirect migration background,West,Protestant,0.09224,232,1455,0.07737,0.10711
2015,Indirect migration background,West,Other Christian community,0.01686,77,1455,0.01024,0.02348
2015,Indirect migration background,West,Islamic community,0.05057,192,1455,0.03931,0.06184
2015,Indirect migration background,West,Non-denominational,0.10967,302,1455,0.09361,0.12573
2015,Indirect migration background,West,Christian orthodox,0.00933,77,1455,0.00439,0.01427
2015,Indirect migration background,West,Sunni denomination,0.05165,145,1455,0.04027,0.06302
2015,Indirect migration background,East,Non-denominational,0.30972,60,60,0.19174,0.42771
2019,No migration background,West,Catholic,0.28111,4968,14840,0.27388,0.28834
2019,No migration background,West,Protestant,0.31448,5420,14840,0.30701,0.32195
2019,No migration background,West,Other Christian community,0.01393,228,14840,0.01205,0.01582
2019,No migration background,West,Non-denominational,0.24436,4224,14840,0.23744,0.25127
2019,No migration background,East,Catholic,0.02785,216,5085,0.02332,0.03237
2019,No migration background,East,Protestant,0.16922,1011,5085,0.15892,0.17953
2019,No migration background,East,Other Christian community,0.00512,43,5085,0.00316,0.00708
2019,No migration background,East,Non-denominational,0.64915,3815,5085,0.63603,0.66227
2019,Direct migration background,West,Catholic,0.26020,1002,6504,0.24954,0.27086
2019,Direct migration background,West,Protestant,0.11506,562,6504,0.10731,0.12282
2019,Direct migration background,West,Other Christian community,0.02328,109,6504,0.01962,0.02695
2019,Direct migration background,West,Islamic community,0.04995,342,6504,0.04466,0.05525
2019,Direct migration background,West,Other religious community,0.02499,408,6504,0.02120,0.02879
2019,Direct migration background,West,Non-denominational,0.22690,1085,6504,0.21672,0.23708
2019,Direct migration background,West,Christian orthodox,0.08918,566,6504,0.08226,0.09611
2019,Direct migration background,West,Shiite denomination,0.01344,193,6504,0.01064,0.01624
2019,Direct migration background,West,Sunni denomination,0.13464,2197,6504,0.12634,0.14293
2019,Direct migration background,West,Alevi denomination,0.00843,40,6504,0.00621,0.01065
2019,Direct migration background,East,Catholic,0.07579,33,730,0.05658,0.09500
2019,Direct migration background,East,Protestant,0.05745,46,730,0.04055,0.07434
2019,Direct migration background,East,Islamic community,0.01952,35,730,0.00947,0.02956
2019,Direct migration background,East,Non-denominational,0.51930,191,730,0.48304,0.55557
2019,Direct migration background,East,Christian orthodox,0.04245,56,730,0.02782,0.05709
2019,Direct migration background,East,Shiite denomination,0.01234,45,730,0.00433,0.02036
2019,Direct migration background,East,Sunni denomination,0.11250,324,730,0.08956,0.13544
2019,Indirect migration background,West,Catholic,0.13463,360,1356,0.11646,0.15281
2019,Indirect migration background,West,Protestant,0.08817,266,1356,0.07307,0.10326
2019,Indirect migration background,West,Islamic community,0.02261,57,1356,0.01470,0.03053
2019,Indirect migration background,West,Non-denominational,0.13628,419,1356,0.11801,0.15455
2019,Indirect migration background,West,Christian orthodox,0.01513,54,1356,0.00863,0.02163
2019,Indirect migration background,West,Sunni denomination,0.08649,200,1356,0.07152,0.10145
2019,Indirect migration background,East,Non-denominational,0.33765,78,78,0.23202,0.44328
