year,quintil_oecd,sampreg,plh0258_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1997,4th Quintile,East,Non-denominational,0.71057,496,707,0.67711,0.74402
1997,5th Quintile,West,Catholic,0.37126,774,2009,0.35013,0.39239
1997,5th Quintile,West,Protestant,0.36476,718,2009,0.34371,0.38582
1997,5th Quintile,West,Other Christian community,0.02387,75,2009,0.01720,0.03055
1997,5th Quintile,West,Non-denominational,0.23532,442,2009,0.21677,0.25387
1997,5th Quintile,East,Protestant,0.25551,85,353,0.20994,0.30107
1997,5th Quintile,East,Non-denominational,0.70065,268,353,0.65281,0.74850
2003,1st Quintile,West,Catholic,0.33392,777,2358,0.31488,0.35296
2003,1st Quintile,West,Protestant,0.35173,776,2358,0.33245,0.37100
2003,1st Quintile,West,Other Christian community,0.03942,112,2358,0.03157,0.04728
2003,1st Quintile,West,Other religious community,0.13031,375,2358,0.11672,0.14391
2003,1st Quintile,West,Non-denominational,0.14461,318,2358,0.13041,0.15881
2003,1st Quintile,East,Protestant,0.22341,220,984,0.19737,0.24945
2003,1st Quintile,East,Non-denominational,0.72933,764,984,0.70155,0.75710
2003,2nd Quintile,West,Catholic,0.41530,1039,2538,0.39613,0.43448
2003,2nd Quintile,West,Protestant,0.37567,897,2538,0.35682,0.39451
2003,2nd Quintile,West,Other Christian community,0.02465,79,2538,0.01861,0.03068
2003,2nd Quintile,West,Other religious community,0.05618,211,2538,0.04722,0.06514
2003,2nd Quintile,West,Non-denominational,0.12820,312,2538,0.11519,0.14121
2003,2nd Quintile,East,Catholic,0.04851,69,1288,0.03678,0.06025
2003,2nd Quintile,East,Protestant,0.27075,338,1288,0.24648,0.29503
2003,2nd Quintile,East,Non-denominational,0.67279,881,1288,0.64716,0.69843
2003,3rd Quintile,West,Catholic,0.39923,1130,2850,0.38124,0.41721
2003,3rd Quintile,West,Protestant,0.39454,1092,2850,0.37659,0.41249
2003,3rd Quintile,West,Other Christian community,0.02361,94,2850,0.01803,0.02918
2003,3rd Quintile,West,Other religious community,0.03206,137,2850,0.02559,0.03853
2003,3rd Quintile,West,Non-denominational,0.15057,397,2850,0.13743,0.16370
2003,3rd Quintile,East,Catholic,0.03751,50,1190,0.02671,0.04831
2003,3rd Quintile,East,Protestant,0.22396,292,1190,0.20027,0.24766
2003,3rd Quintile,East,Non-denominational,0.73184,848,1190,0.70666,0.75702
2003,4th Quintile,West,Catholic,0.39773,1441,3447,0.38139,0.41407
2003,4th Quintile,West,Protestant,0.37443,1254,3447,0.35827,0.39059
2003,4th Quintile,West,Other Christian community,0.02343,90,3447,0.01838,0.02848
2003,4th Quintile,West,Other religious community,0.01602,76,3447,0.01182,0.02021
2003,4th Quintile,West,Non-denominational,0.18840,586,3447,0.17534,0.20145
2003,4th Quintile,East,Catholic,0.04645,48,985,0.03330,0.05960
2003,4th Quintile,East,Protestant,0.20761,214,985,0.18226,0.23295
2003,4th Quintile,East,Non-denominational,0.74109,723,985,0.71372,0.76846
2003,5th Quintile,West,Catholic,0.35343,1951,5506,0.34080,0.36605
2003,5th Quintile,West,Protestant,0.38481,2105,5506,0.37196,0.39766
2003,5th Quintile,West,Other Christian community,0.01862,105,5506,0.01505,0.02219
2003,5th Quintile,West,Other religious community,0.01027,54,5506,0.00760,0.01293
2003,5th Quintile,West,Non-denominational,0.23288,1291,5506,0.22171,0.24404
2003,5th Quintile,East,Catholic,0.04894,47,813,0.03410,0.06378
2003,5th Quintile,East,Protestant,0.22803,180,813,0.19917,0.25689
2003,5th Quintile,East,Non-denominational,0.72292,586,813,0.69213,0.75370
2007,1st Quintile,West,Catholic,0.31583,684,2165,0.29624,0.33541
2007,1st Quintile,West,Protestant,0.35364,771,2165,0.33350,0.37378
2007,1st Quintile,West,Other Christian community,0.04894,112,2165,0.03985,0.05803
2007,1st Quintile,West,Islamic community,0.11555,289,2165,0.10208,0.12902
2007,1st Quintile,West,Non-denominational,0.15718,309,2165,0.14184,0.17251
2007,1st Quintile,East,Catholic,0.04667,36,1003,0.03361,0.05973
2007,1st Quintile,East,Protestant,0.19230,207,1003,0.16790,0.21670
2007,1st Quintile,East,Non-denominational,0.75364,760,1003,0.72696,0.78032
2007,2nd Quintile,West,Catholic,0.36669,899,2411,0.34745,0.38593
2007,2nd Quintile,West,Protestant,0.39096,970,2411,0.37148,0.41045
2007,2nd Quintile,West,Other Christian community,0.03102,68,2411,0.02409,0.03794
2007,2nd Quintile,West,Islamic community,0.06220,153,2411,0.05256,0.07184
2007,2nd Quintile,West,Non-denominational,0.14596,321,2411,0.13186,0.16005
2007,2nd Quintile,East,Catholic,0.04815,60,1069,0.03531,0.06099
2007,2nd Quintile,East,Protestant,0.28280,294,1069,0.25578,0.30981
2007,2nd Quintile,East,Non-denominational,0.65139,715,1069,0.62281,0.67997
2007,3rd Quintile,West,Catholic,0.40208,1113,2696,0.38357,0.42059
2007,3rd Quintile,West,Protestant,0.34657,971,2696,0.32861,0.36454
2007,3rd Quintile,West,Other Christian community,0.02954,92,2696,0.02314,0.03593
2007,3rd Quintile,West,Islamic community,0.04303,104,2696,0.03537,0.05069
2007,3rd Quintile,West,Non-denominational,0.17521,416,2696,0.16086,0.18957
2007,3rd Quintile,East,Catholic,0.03563,49,1155,0.02493,0.04632
2007,3rd Quintile,East,Protestant,0.28330,331,1155,0.25730,0.30929
2007,3rd Quintile,East,Non-denominational,0.67779,775,1155,0.65083,0.70475
2007,4th Quintile,West,Catholic,0.37249,1270,3300,0.35599,0.38899
2007,4th Quintile,West,Protestant,0.38191,1303,3300,0.36533,0.39849
2007,4th Quintile,West,Other Christian community,0.02968,101,3300,0.02389,0.03547
2007,4th Quintile,West,Islamic community,0.01873,54,3300,0.01410,0.02336
2007,4th Quintile,West,Non-denominational,0.19591,572,3300,0.18237,0.20946
2007,4th Quintile,East,Catholic,0.04349,53,1005,0.03087,0.05610
2007,4th Quintile,East,Protestant,0.23423,255,1005,0.20803,0.26043
2007,4th Quintile,East,Non-denominational,0.71722,697,1005,0.68936,0.74508
2007,5th Quintile,West,Catholic,0.36879,1742,4828,0.35518,0.38240
2007,5th Quintile,West,Protestant,0.36741,1823,4828,0.35381,0.38101
2007,5th Quintile,West,Other Christian community,0.02290,101,4828,0.01868,0.02712
2007,5th Quintile,West,Non-denominational,0.23535,1162,4828,0.22338,0.24732
2007,5th Quintile,East,Catholic,0.05829,41,722,0.04119,0.07539
2007,5th Quintile,East,Protestant,0.20221,157,722,0.17289,0.23153
2007,5th Quintile,East,Non-denominational,0.72688,524,722,0.69435,0.75940
2011,1st Quintile,West,Catholic,0.32188,546,1625,0.29916,0.34460
2011,1st Quintile,West,Protestant,0.33764,564,1625,0.31464,0.36064
2011,1st Quintile,West,Other Christian community,0.04091,71,1625,0.03127,0.05054
2011,1st Quintile,West,Islamic community,0.08689,166,1625,0.07319,0.10059
2011,1st Quintile,West,Non-denominational,0.20535,278,1625,0.18570,0.22500
2011,1st Quintile,East,Catholic,0.04300,34,840,0.02927,0.05672
2011,1st Quintile,East,Protestant,0.22504,181,840,0.19678,0.25330
2011,1st Quintile,East,Non-denominational,0.72998,625,840,0.69993,0.76002
2011,2nd Quintile,West,Catholic,0.36900,642,1723,0.34621,0.39179
2011,2nd Quintile,West,Protestant,0.38141,696,1723,0.35846,0.40435
2011,2nd Quintile,West,Other Christian community,0.02683,49,1723,0.01920,0.03447
2011,2nd Quintile,West,Islamic community,0.04586,86,1723,0.03598,0.05574
2011,2nd Quintile,West,Non-denominational,0.17434,250,1723,0.15642,0.19226
2011,2nd Quintile,East,Catholic,0.03903,36,980,0.02690,0.05116
2011,2nd Quintile,East,Protestant,0.29294,265,980,0.26443,0.32145
2011,2nd Quintile,East,Non-denominational,0.65680,679,980,0.62706,0.68654
2011,3rd Quintile,West,Catholic,0.35436,834,2201,0.33437,0.37435
2011,3rd Quintile,West,Protestant,0.38249,852,2201,0.36219,0.40280
2011,3rd Quintile,West,Other Christian community,0.02775,59,2201,0.02089,0.03461
2011,3rd Quintile,West,Islamic community,0.02378,62,2201,0.01741,0.03015
2011,3rd Quintile,West,Non-denominational,0.20382,394,2201,0.18699,0.22066
2011,3rd Quintile,East,Protestant,0.21346,183,816,0.18533,0.24160
2011,3rd Quintile,East,Non-denominational,0.75190,633,816,0.72225,0.78155
2011,4th Quintile,West,Catholic,0.38180,1003,2580,0.36305,0.40055
2011,4th Quintile,West,Protestant,0.36175,963,2580,0.34320,0.38029
2011,4th Quintile,West,Other Christian community,0.01995,58,2580,0.01455,0.02535
2011,4th Quintile,West,Islamic community,0.01530,31,2580,0.01056,0.02004
2011,4th Quintile,West,Non-denominational,0.21915,525,2580,0.20319,0.23512
2011,4th Quintile,East,Catholic,0.03679,42,693,0.02276,0.05082
2011,4th Quintile,East,Protestant,0.23769,173,693,0.20598,0.26941
2011,4th Quintile,East,Non-denominational,0.71805,478,693,0.68453,0.75158
2011,5th Quintile,West,Catholic,0.35596,1187,3541,0.34018,0.37173
2011,5th Quintile,West,Protestant,0.34093,1297,3541,0.32532,0.35655
2011,5th Quintile,West,Other Christian community,0.01777,64,3541,0.01342,0.02212
2011,5th Quintile,West,Non-denominational,0.27535,993,3541,0.26063,0.29006
2011,5th Quintile,East,Protestant,0.21493,113,486,0.17837,0.25149
2011,5th Quintile,East,Non-denominational,0.72672,373,486,0.68706,0.76638
2015,1st Quintile,West,Catholic,0.30176,1051,3760,0.28708,0.31643
2015,1st Quintile,West,Protestant,0.32977,1134,3760,0.31474,0.34480
2015,1st Quintile,West,Other Christian community,0.02257,138,3760,0.01783,0.02732
2015,1st Quintile,West,Islamic community,0.08063,343,3760,0.07193,0.08934
2015,1st Quintile,West,Other religious community,0.01555,75,3760,0.01159,0.01950
2015,1st Quintile,West,Non-denominational,0.18090,697,3760,0.16859,0.19320
2015,1st Quintile,West,Christian orthodox,0.01117,103,3760,0.00781,0.01454
2015,1st Quintile,West,Sunni denomination,0.04979,219,3760,0.04283,0.05674
2015,1st Quintile,East,Catholic,0.03490,57,1224,0.02461,0.04519
2015,1st Quintile,East,Protestant,0.17522,222,1224,0.15391,0.19652
2015,1st Quintile,East,Non-denominational,0.75971,945,1224,0.73577,0.78366
2015,2nd Quintile,West,Catholic,0.36266,1344,3704,0.34718,0.37815
2015,2nd Quintile,West,Protestant,0.35176,1182,3704,0.33638,0.36714
2015,2nd Quintile,West,Other Christian community,0.02999,135,3704,0.02450,0.03549
2015,2nd Quintile,West,Islamic community,0.02726,149,3704,0.02201,0.03250
2015,2nd Quintile,West,Non-denominational,0.18953,694,3704,0.17691,0.20215
2015,2nd Quintile,West,Christian orthodox,0.00927,112,3704,0.00618,0.01236
2015,2nd Quintile,West,Sunni denomination,0.02166,88,3704,0.01698,0.02635
2015,2nd Quintile,East,Catholic,0.03615,60,1447,0.02653,0.04577
2015,2nd Quintile,East,Protestant,0.20964,314,1447,0.18866,0.23062
2015,2nd Quintile,East,Non-denominational,0.73990,1073,1447,0.71729,0.76252
2015,3rd Quintile,West,Catholic,0.36259,1379,3752,0.34720,0.37797
2015,3rd Quintile,West,Protestant,0.35317,1309,3752,0.33787,0.36846
2015,3rd Quintile,West,Other Christian community,0.01926,100,3752,0.01486,0.02366
2015,3rd Quintile,West,Islamic community,0.01688,82,3752,0.01276,0.02101
2015,3rd Quintile,West,Non-denominational,0.22742,777,3752,0.21400,0.24083
2015,3rd Quintile,West,Christian orthodox,0.00480,64,3752,0.00259,0.00701
2015,3rd Quintile,West,Sunni denomination,0.00963,41,3752,0.00651,0.01276
2015,3rd Quintile,East,Catholic,0.03515,63,1026,0.02387,0.04642
2015,3rd Quintile,East,Protestant,0.22613,230,1026,0.20052,0.25174
2015,3rd Quintile,East,Non-denominational,0.73130,733,1026,0.70416,0.75844
2015,4th Quintile,West,Catholic,0.35118,1380,3882,0.33616,0.36619
2015,4th Quintile,West,Protestant,0.34807,1383,3882,0.33308,0.36306
2015,4th Quintile,West,Other Christian community,0.02063,88,3882,0.01616,0.02510
2015,4th Quintile,West,Islamic community,0.00779,46,3882,0.00502,0.01055
2015,4th Quintile,West,Non-denominational,0.25980,938,3882,0.24601,0.27360
2015,4th Quintile,West,Christian orthodox,0.00364,47,3882,0.00175,0.00554
2015,4th Quintile,East,Catholic,0.04329,56,812,0.02929,0.05730
2015,4th Quintile,East,Protestant,0.19939,164,812,0.17189,0.22689
2015,4th Quintile,East,Non-denominational,0.74927,592,812,0.71944,0.77910
2015,5th Quintile,West,Catholic,0.34297,1558,4452,0.32902,0.35691
2015,5th Quintile,West,Protestant,0.32715,1479,4452,0.31337,0.34094
2015,5th Quintile,West,Other Christian community,0.02308,90,4452,0.01867,0.02750
2015,5th Quintile,West,Non-denominational,0.29591,1283,4452,0.28250,0.30932
2015,5th Quintile,West,Christian orthodox,0.00258,42,4452,0.00109,0.00408
2015,5th Quintile,East,Protestant,0.23049,152,563,0.19568,0.26531
2015,5th Quintile,East,Non-denominational,0.72175,411,563,0.68470,0.75880
2019,1st Quintile,West,Catholic,0.25648,852,5375,0.24480,0.26815
2019,1st Quintile,West,Protestant,0.29752,942,5375,0.28529,0.30974
2019,1st Quintile,West,Other Christian community,0.01145,63,5375,0.00860,0.01429
2019,1st Quintile,West,Islamic community,0.04908,277,5375,0.04331,0.05486
2019,1st Quintile,West,Other religious community,0.01570,273,5375,0.01237,0.01902
2019,1st Quintile,West,Non-denominational,0.21880,848,5375,0.20775,0.22985
2019,1st Quintile,West,Christian orthodox,0.03354,270,5375,0.02872,0.03835
2019,1st Quintile,West,Shiite denomination,0.01054,147,5375,0.00781,0.01327
2019,1st Quintile,West,Sunni denomination,0.10137,1703,5375,0.09330,0.10944
2019,1st Quintile,East,Catholic,0.02627,49,1532,0.01826,0.03428
2019,1st Quintile,East,Protestant,0.13481,166,1532,0.11770,0.15192
2019,1st Quintile,East,Islamic community,0.00385,34,1532,0.00075,0.00695
2019,1st Quintile,East,Non-denominational,0.79183,942,1532,0.77150,0.81217
2019,1st Quintile,East,Christian orthodox,0.00454,37,1532,0.00117,0.00791
2019,1st Quintile,East,Shiite denomination,0.00258,39,1532,0.00004,0.00512
2019,1st Quintile,East,Sunni denomination,0.02351,265,1532,0.01592,0.03110
2019,2nd Quintile,West,Catholic,0.34872,1149,3564,0.33307,0.36437
2019,2nd Quintile,West,Protestant,0.29887,1052,3564,0.28384,0.31390
2019,2nd Quintile,West,Other Christian community,0.02136,74,3564,0.01661,0.02611
2019,2nd Quintile,West,Islamic community,0.01139,44,3564,0.00791,0.01488
2019,2nd Quintile,West,Other religious community,0.00966,44,3564,0.00645,0.01287
2019,2nd Quintile,West,Non-denominational,0.22744,832,3564,0.21367,0.24120
2019,2nd Quintile,West,Christian orthodox,0.02500,138,3564,0.01987,0.03012
2019,2nd Quintile,West,Sunni denomination,0.05198,231,3564,0.04469,0.05927
2019,2nd Quintile,East,Catholic,0.02608,42,1248,0.01723,0.03492
2019,2nd Quintile,East,Protestant,0.20131,247,1248,0.17905,0.22356
2019,2nd Quintile,East,Non-denominational,0.75130,959,1248,0.72731,0.77530
2019,3rd Quintile,West,Catholic,0.31762,1115,3320,0.30179,0.33346
2019,3rd Quintile,West,Protestant,0.32944,1091,3320,0.31345,0.34543
2019,3rd Quintile,West,Other Christian community,0.02031,63,3320,0.01551,0.02511
2019,3rd Quintile,West,Islamic community,0.00822,33,3320,0.00515,0.01129
2019,3rd Quintile,West,Non-denominational,0.26511,849,3320,0.25009,0.28012
2019,3rd Quintile,West,Christian orthodox,0.02007,80,3320,0.01530,0.02485
2019,3rd Quintile,West,Sunni denomination,0.02947,89,3320,0.02372,0.03522
2019,3rd Quintile,East,Catholic,0.05828,67,1057,0.04415,0.07241
2019,3rd Quintile,East,Protestant,0.20677,221,1057,0.18234,0.23119
2019,3rd Quintile,East,Non-denominational,0.72885,769,1057,0.70204,0.75566
2019,4th Quintile,West,Catholic,0.32343,1178,3481,0.30789,0.33897
2019,4th Quintile,West,Protestant,0.33131,1186,3481,0.31567,0.34695
2019,4th Quintile,West,Other Christian community,0.02134,63,3481,0.01654,0.02614
2019,4th Quintile,West,Non-denominational,0.28659,947,3481,0.27157,0.30161
2019,4th Quintile,West,Christian orthodox,0.01073,60,3481,0.00731,0.01416
2019,4th Quintile,West,Sunni denomination,0.01648,47,3481,0.01225,0.02071
2019,4th Quintile,East,Catholic,0.03409,38,741,0.02102,0.04717
2019,4th Quintile,East,Protestant,0.21189,164,741,0.18245,0.24134
2019,4th Quintile,East,Non-denominational,0.75037,539,741,0.71919,0.78155
2019,5th Quintile,West,Catholic,0.32537,1352,4153,0.31112,0.33962
2019,5th Quintile,West,Protestant,0.29883,1337,4153,0.28490,0.31275
2019,5th Quintile,West,Other Christian community,0.01378,61,4153,0.01023,0.01732
2019,5th Quintile,West,Non-denominational,0.34176,1351,4153,0.32733,0.35618
2019,5th Quintile,West,Christian orthodox,0.01268,52,4153,0.00928,0.01608
2019,5th Quintile,East,Protestant,0.22162,130,575,0.18764,0.25559
2019,5th Quintile,East,Non-denominational,0.72187,445,575,0.68522,0.75853
