year,quintil_oecd,plh0258_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,5th Quintile,Christian orthodox,0.00272,48,5053,0.00128,0.00415
2019,1st Quintile,Catholic,0.20445,901,6942,0.19496,0.21394
2019,1st Quintile,Protestant,0.26075,1108,6942,0.25042,0.27107
2019,1st Quintile,Other Christian community,0.01127,80,6942,0.00879,0.01376
2019,1st Quintile,Islamic community,0.03886,311,6942,0.03431,0.04341
2019,1st Quintile,Other religious community,0.01245,291,6942,0.00984,0.01506
2019,1st Quintile,Non-denominational,0.34830,1790,6942,0.33709,0.35951
2019,1st Quintile,Christian orthodox,0.02699,307,6942,0.02317,0.03080
2019,1st Quintile,Shiite denomination,0.00874,186,6942,0.00655,0.01093
2019,1st Quintile,Sunni denomination,0.08377,1968,6942,0.07726,0.09029
2019,2nd Quintile,Catholic,0.27917,1191,4867,0.26656,0.29177
2019,2nd Quintile,Protestant,0.27784,1299,4867,0.26525,0.29042
2019,2nd Quintile,Other Christian community,0.02026,97,4867,0.01630,0.02422
2019,2nd Quintile,Islamic community,0.00927,45,4867,0.00657,0.01196
2019,2nd Quintile,Other religious community,0.00760,46,4867,0.00516,0.01003
2019,2nd Quintile,Non-denominational,0.34037,1791,4867,0.32706,0.35368
2019,2nd Quintile,Christian orthodox,0.02005,146,4867,0.01611,0.02399
2019,2nd Quintile,Sunni denomination,0.04107,252,4867,0.03549,0.04664
2019,3rd Quintile,Catholic,0.26922,1182,4387,0.25609,0.28235
2019,3rd Quintile,Protestant,0.30654,1312,4387,0.29290,0.32019
2019,3rd Quintile,Other Christian community,0.01710,69,4387,0.01326,0.02094
2019,3rd Quintile,Islamic community,0.00669,33,4387,0.00427,0.00910
2019,3rd Quintile,Non-denominational,0.35166,1618,4387,0.33753,0.36579
2019,3rd Quintile,Christian orthodox,0.01633,80,4387,0.01258,0.02008
2019,3rd Quintile,Sunni denomination,0.02399,93,4387,0.01946,0.02852
2019,4th Quintile,Catholic,0.27897,1216,4230,0.26545,0.29248
2019,4th Quintile,Protestant,0.31296,1350,4230,0.29898,0.32693
2019,4th Quintile,Other Christian community,0.01806,63,4230,0.01405,0.02207
2019,4th Quintile,Non-denominational,0.35786,1486,4230,0.34342,0.37231
2019,4th Quintile,Christian orthodox,0.00940,63,4230,0.00649,0.01231
2019,4th Quintile,Sunni denomination,0.01418,52,4230,0.01062,0.01775
2019,5th Quintile,Catholic,0.30079,1380,4765,0.28777,0.31382
2019,5th Quintile,Protestant,0.29195,1467,4765,0.27904,0.30486
2019,5th Quintile,Other Christian community,0.01283,64,4765,0.00963,0.01602
2019,5th Quintile,Non-denominational,0.37563,1796,4765,0.36188,0.38938
2019,5th Quintile,Christian orthodox,0.01189,58,4765,0.00881,0.01497
