year,regtyp,plh0258_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,Urban regions,Protestant,0.25407,4893,17385,0.24760,0.26054
2015,Urban regions,Other Christian community,0.02032,507,17385,0.01822,0.02242
2015,Urban regions,Islamic community,0.02305,614,17385,0.02082,0.02528
2015,Urban regions,Other religious community,0.00474,140,17385,0.00372,0.00576
2015,Urban regions,Non-denominational,0.24768,5032,17385,0.24126,0.25409
2015,Urban regions,Christian orthodox,0.00761,514,17385,0.00632,0.00890
2015,Urban regions,Shiite denomination,0.00152,57,17385,0.00094,0.00210
2015,Urban regions,Sunni denomination,0.01566,452,17385,0.01382,0.01751
2015,Urban regions,Alevi denomination,0.00180,39,17385,0.00117,0.00243
2015,Rural regions,Catholic,0.20830,2302,9218,0.20001,0.21659
2015,Rural regions,Protestant,0.27816,2801,9218,0.26901,0.28731
2015,Rural regions,Other Christian community,0.00967,128,9218,0.00767,0.01167
2015,Rural regions,Islamic community,0.00664,142,9218,0.00498,0.00830
2015,Rural regions,Other religious community,0.00302,69,9218,0.00190,0.00414
2015,Rural regions,Non-denominational,0.32553,3500,9218,0.31596,0.33509
2015,Rural regions,Christian orthodox,0.00425,179,9218,0.00292,0.00558
2015,Rural regions,Sunni denomination,0.00454,97,9218,0.00316,0.00591
2019,Urban regions,Catholic,0.23332,4522,18658,0.22726,0.23939
2019,Urban regions,Protestant,0.23564,4597,18658,0.22955,0.24173
2019,Urban regions,Other Christian community,0.01465,311,18658,0.01293,0.01637
2019,Urban regions,Islamic community,0.01193,324,18658,0.01037,0.01349
2019,Urban regions,Other religious community,0.00499,314,18658,0.00398,0.00600
2019,Urban regions,Non-denominational,0.27441,5787,18658,0.26800,0.28081
2019,Urban regions,Christian orthodox,0.01649,505,18658,0.01466,0.01832
2019,Urban regions,Shiite denomination,0.00355,179,18658,0.00270,0.00440
2019,Urban regions,Sunni denomination,0.03532,2074,18658,0.03267,0.03797
2019,Urban regions,Alevi denomination,0.00193,45,18658,0.00130,0.00257
2019,Rural regions,Catholic,0.19978,1971,9638,0.19179,0.20776
2019,Rural regions,Protestant,0.25526,2594,9638,0.24655,0.26396
2019,Rural regions,Other Christian community,0.01013,99,9638,0.00813,0.01213
2019,Rural regions,Islamic community,0.00290,114,9638,0.00183,0.00397
2019,Rural regions,Other religious community,0.00370,157,9638,0.00249,0.00491
2019,Rural regions,Non-denominational,0.34499,3787,9638,0.33549,0.35448
2019,Rural regions,Christian orthodox,0.00814,176,9638,0.00634,0.00993
2019,Rural regions,Shiite denomination,0.00117,77,9638,0.00049,0.00186
2019,Rural regions,Sunni denomination,0.01015,663,9638,0.00815,0.01215
