,Unnamed: 0,year,migback,pgisced97,plh0185,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
26,26,2007,No migration background,Second Stage of Tertiary Education,Very often,0.01147,39,19528,0.00801,0.01576
27,27,2007,Direct migration background,Primary Level,Very seldom,0.50746,33,19528,0.36229,0.65444
28,28,2007,Direct migration background,Primary Level,Seldom,0.49254,31,19528,0.37291,0.67468
29,29,2007,Direct migration background,Lower Secondary Level,Very seldom,0.3689,173,19528,0.32479,0.42008
30,30,2007,Direct migration background,Lower Secondary Level,Seldom,0.28385,148,19528,0.25233,0.31483
31,31,2007,Direct migration background,Lower Secondary Level,Sometimes,0.23239,95,19528,0.19952,0.26289
32,32,2007,Direct migration background,Lower Secondary Level,Often,0.11485,42,19528,0.0913,0.13611
33,33,2007,Direct migration background,Upper Secondary Level,Very seldom,0.43774,352,19528,0.40088,0.47592
34,34,2007,Direct migration background,Upper Secondary Level,Seldom,0.2815,215,19528,0.24884,0.31719
35,35,2007,Direct migration background,Upper Secondary Level,Sometimes,0.20832,144,19528,0.18196,0.23667
36,36,2007,Direct migration background,Upper Secondary Level,Often,0.07244,62,19528,0.06077,0.08623
37,37,2007,Direct migration background,Post-secondary Non-tertiary Level,Very seldom,0.42463,84,19528,0.35711,0.50084
38,38,2007,Direct migration background,Post-secondary Non-tertiary Level,Seldom,0.30609,64,19528,0.23895,0.36795
39,39,2007,Direct migration background,Post-secondary Non-tertiary Level,Sometimes,0.26928,38,19528,0.2073,0.32703
40,40,2007,Direct migration background,First Stage of Tertiary Education,Very seldom,0.57474,50,19528,0.44958,0.72636
41,41,2007,Direct migration background,First Stage of Tertiary Education,Seldom,0.42526,35,19528,0.32433,0.55721
42,42,2007,Direct migration background,Second Stage of Tertiary Education,Very seldom,0.39162,134,19528,0.33617,0.45197
43,43,2007,Direct migration background,Second Stage of Tertiary Education,Seldom,0.32617,106,19528,0.28294,0.36936
44,44,2007,Direct migration background,Second Stage of Tertiary Education,Sometimes,0.28221,76,19528,0.24418,0.32291
45,45,2007,Indirect migration background,Lower Secondary Level,Very seldom,0.61738,71,19528,0.48588,0.76685
46,46,2007,Indirect migration background,Lower Secondary Level,Seldom,0.38262,50,19528,0.29456,0.48956
47,47,2007,Indirect migration background,Upper Secondary Level,Very seldom,0.37254,126,19528,0.31793,0.44102
48,48,2007,Indirect migration background,Upper Secondary Level,Seldom,0.35488,99,19528,0.2987,0.41387
49,49,2007,Indirect migration background,Upper Secondary Level,Sometimes,0.27259,66,19528,0.22638,0.32558
50,50,2007,Indirect migration background,Second Stage of Tertiary Education,Very seldom,1.0,33,19528,0.65906,1.43724
51,51,2008,No migration background,Pre-primary Level,Very seldom,0.51938,133,18304,0.43863,0.60441
52,52,2008,No migration background,Pre-primary Level,Seldom,0.48062,113,18304,0.40098,0.56054
53,53,2008,No migration background,Lower Secondary Level,Very seldom,0.35956,512,18304,0.34036,0.38108
54,54,2008,No migration background,Lower Secondary Level,Seldom,0.3276,471,18304,0.3067,0.34796
55,55,2008,No migration background,Lower Secondary Level,Sometimes,0.19686,276,18304,0.18035,0.21642
56,56,2008,No migration background,Lower Secondary Level,Often,0.08358,121,18304,0.07362,0.09301
57,57,2008,No migration background,Lower Secondary Level,Very often,0.0324,35,18304,0.02608,0.03938
58,58,2008,No migration background,Upper Secondary Level,Very seldom,0.38808,3399,18304,0.37887,0.39822
59,59,2008,No migration background,Upper Secondary Level,Seldom,0.34582,3009,18304,0.33575,0.3575
60,60,2008,No migration background,Upper Secondary Level,Sometimes,0.18076,1577,18304,0.17357,0.18819
61,61,2008,No migration background,Upper Secondary Level,Often,0.06829,536,18304,0.06306,0.07304
62,62,2008,No migration background,Upper Secondary Level,Very often,0.01706,142,18304,0.01458,0.01918
63,63,2008,No migration background,Post-secondary Non-tertiary Level,Very seldom,0.40536,339,18304,0.3619,0.44351
64,64,2008,No migration background,Post-secondary Non-tertiary Level,Seldom,0.33732,303,18304,0.30379,0.37476
65,65,2008,No migration background,Post-secondary Non-tertiary Level,Sometimes,0.18364,143,18304,0.15523,0.20836
66,66,2008,No migration background,Post-secondary Non-tertiary Level,Often,0.07368,55,18304,0.05478,0.09458
67,67,2008,No migration background,First Stage of Tertiary Education,Very seldom,0.40877,494,18304,0.3706,0.43814
68,68,2008,No migration background,First Stage of Tertiary Education,Seldom,0.36812,481,18304,0.34012,0.39843
69,69,2008,No migration background,First Stage of Tertiary Education,Sometimes,0.17467,207,18304,0.1533,0.19745
70,70,2008,No migration background,First Stage of Tertiary Education,Often,0.04844,63,18304,0.03809,0.05996
71,71,2008,No migration background,Second Stage of Tertiary Education,Very seldom,0.44288,1695,18304,0.42558,0.46334
72,72,2008,No migration background,Second Stage of Tertiary Education,Seldom,0.34389,1340,18304,0.32523,0.36381
73,73,2008,No migration background,Second Stage of Tertiary Education,Sometimes,0.15766,547,18304,0.14497,0.17143
74,74,2008,No migration background,Second Stage of Tertiary Education,Often,0.0454,166,18304,0.03959,0.05074
75,75,2008,No migration background,Second Stage of Tertiary Education,Very often,0.01018,36,18304,0.00645,0.01365
76,76,2008,Direct migration background,Lower Secondary Level,Very seldom,0.34668,141,18304,0.30365,0.39226
77,77,2008,Direct migration background,Lower Secondary Level,Seldom,0.33479,147,18304,0.28727,0.37612
78,78,2008,Direct migration background,Lower Secondary Level,Sometimes,0.19377,82,18304,0.16094,0.23192
79,79,2008,Direct migration background,Lower Secondary Level,Often,0.12476,44,18304,0.10217,0.14659
80,80,2008,Direct migration background,Upper Secondary Level,Very seldom,0.41397,291,18304,0.37273,0.45983
81,81,2008,Direct migration background,Upper Secondary Level,Seldom,0.28771,216,18304,0.25936,0.31762
82,82,2008,Direct migration background,Upper Secondary Level,Sometimes,0.21842,139,18304,0.19354,0.25163
83,83,2008,Direct migration background,Upper Secondary Level,Often,0.0799,54,18304,0.06066,0.10001
84,84,2008,Direct migration background,Post-secondary Non-tertiary Level,Very seldom,0.42786,86,18304,0.36527,0.52393
85,85,2008,Direct migration background,Post-secondary Non-tertiary Level,Seldom,0.3487,55,18304,0.28801,0.4253
86,86,2008,Direct migration background,Post-secondary Non-tertiary Level,Sometimes,0.22344,35,18304,0.17112,0.27995
87,87,2008,Direct migration background,First Stage of Tertiary Education,Very seldom,0.61791,45,18304,0.44699,0.8075
88,88,2008,Direct migration background,First Stage of Tertiary Education,Seldom,0.38209,34,18304,0.30017,0.50372
89,89,2008,Direct migration background,Second Stage of Tertiary Education,Very seldom,0.39896,121,18304,0.32707,0.47125
90,90,2008,Direct migration background,Second Stage of Tertiary Education,Seldom,0.36102,104,18304,0.31617,0.4113
91,91,2008,Direct migration background,Second Stage of Tertiary Education,Sometimes,0.24002,64,18304,0.20067,0.29018
92,92,2008,Indirect migration background,Lower Secondary Level,Very seldom,0.64414,76,18304,0.51801,0.78299
93,93,2008,Indirect migration background,Lower Secondary Level,Seldom,0.35586,54,18304,0.27063,0.45115
94,94,2008,Indirect migration background,Upper Secondary Level,Very seldom,0.43647,131,18304,0.37062,0.5014
95,95,2008,Indirect migration background,Upper Secondary Level,Seldom,0.3617,103,18304,0.30494,0.43401
96,96,2008,Indirect migration background,Upper Secondary Level,Sometimes,0.20184,57,18304,0.15368,0.2452
97,97,2008,Indirect migration background,Second Stage of Tertiary Education,Very seldom,1.0,32,18304,0.58902,1.41298
98,98,2009,No migration background,Pre-primary Level,Very seldom,0.38546,118,16950,0.3249,0.45249
99,99,2009,No migration background,Pre-primary Level,Seldom,0.47837,92,16950,0.36398,0.60022
100,100,2009,No migration background,Pre-primary Level,Sometimes,0.13617,31,16950,0.09141,0.18574
101,101,2009,No migration background,Lower Secondary Level,Very seldom,0.3514,444,16950,0.32975,0.37553
102,102,2009,No migration background,Lower Secondary Level,Seldom,0.33736,416,16950,0.3107,0.3657
103,103,2009,No migration background,Lower Secondary Level,Sometimes,0.22123,269,16950,0.20124,0.24336
104,104,2009,No migration background,Lower Secondary Level,Often,0.09001,113,16950,0.07863,0.10308
105,105,2009,No migration background,Upper Secondary Level,Very seldom,0.39159,3185,16950,0.37968,0.40365
106,106,2009,No migration background,Upper Secondary Level,Seldom,0.33351,2745,16950,0.3205,0.3436
107,107,2009,No migration background,Upper Secondary Level,Sometimes,0.1975,1546,16950,0.18896,0.20672
108,108,2009,No migration background,Upper Secondary Level,Often,0.06002,489,16950,0.05657,0.06528
109,109,2009,No migration background,Upper Secondary Level,Very often,0.01737,138,16950,0.01486,0.02045
110,110,2009,No migration background,Post-secondary Non-tertiary Level,Very seldom,0.33944,276,16950,0.29642,0.3737
111,111,2009,No migration background,Post-secondary Non-tertiary Level,Seldom,0.38494,293,16950,0.34745,0.43169
112,112,2009,No migration background,Post-secondary Non-tertiary Level,Sometimes,0.20617,158,16950,0.17455,0.22996
113,113,2009,No migration background,Post-secondary Non-tertiary Level,Often,0.06945,50,16950,0.04892,0.09095
114,114,2009,No migration background,First Stage of Tertiary Education,Very seldom,0.39642,480,16950,0.36606,0.4266
115,115,2009,No migration background,First Stage of Tertiary Education,Seldom,0.36056,422,16950,0.32876,0.40083
116,116,2009,No migration background,First Stage of Tertiary Education,Sometimes,0.18419,199,16950,0.15941,0.21203
117,117,2009,No migration background,First Stage of Tertiary Education,Often,0.05882,70,16950,0.04659,0.07093
118,118,2009,No migration background,Second Stage of Tertiary Education,Very seldom,0.43508,1615,16950,0.41245,0.45863
119,119,2009,No migration background,Second Stage of Tertiary Education,Seldom,0.34079,1254,16950,0.31924,0.36337
120,120,2009,No migration background,Second Stage of Tertiary Education,Sometimes,0.15866,558,16950,0.14481,0.17448
121,121,2009,No migration background,Second Stage of Tertiary Education,Often,0.05409,173,16950,0.04638,0.06107
122,122,2009,No migration background,Second Stage of Tertiary Education,Very often,0.01138,36,16950,0.00743,0.01684
123,123,2009,Direct migration background,Lower Secondary Level,Very seldom,0.39695,136,16950,0.32977,0.46452
124,124,2009,Direct migration background,Lower Secondary Level,Seldom,0.3659,114,16950,0.3179,0.41343
125,125,2009,Direct migration background,Lower Secondary Level,Sometimes,0.23715,73,16950,0.19807,0.27416
126,126,2009,Direct migration background,Upper Secondary Level,Very seldom,0.38965,248,16950,0.3492,0.42427
127,127,2009,Direct migration background,Upper Secondary Level,Seldom,0.31655,196,16950,0.2832,0.35093
128,128,2009,Direct migration background,Upper Secondary Level,Sometimes,0.19866,106,16950,0.16773,0.23413
129,129,2009,Direct migration background,Upper Secondary Level,Often,0.09514,46,16950,0.07452,0.11857
130,130,2009,Direct migration background,Post-secondary Non-tertiary Level,Very seldom,0.41626,73,16950,0.3316,0.50869
131,131,2009,Direct migration background,Post-secondary Non-tertiary Level,Seldom,0.34606,47,16950,0.26136,0.44809
132,132,2009,Direct migration background,Post-secondary Non-tertiary Level,Sometimes,0.23768,35,16950,0.17718,0.30537
133,133,2009,Direct migration background,First Stage of Tertiary Education,Very seldom,1.0,34,16950,0.68699,1.32271
134,134,2009,Direct migration background,Second Stage of Tertiary Education,Very seldom,0.36719,111,16950,0.30482,0.42775
135,135,2009,Direct migration background,Second Stage of Tertiary Education,Seldom,0.40474,97,16950,0.33908,0.47517
136,136,2009,Direct migration background,Second Stage of Tertiary Education,Sometimes,0.22807,57,16950,0.17871,0.28067
137,137,2009,Indirect migration background,Lower Secondary Level,Very seldom,0.53585,68,16950,0.40876,0.6684
138,138,2009,Indirect migration background,Lower Secondary Level,Seldom,0.46415,49,16950,0.34083,0.61228
139,139,2009,Indirect migration background,Upper Secondary Level,Very seldom,0.39761,110,16950,0.32232,0.47683
140,140,2009,Indirect migration background,Upper Secondary Level,Seldom,0.38771,95,16950,0.32354,0.45919
141,141,2009,Indirect migration background,Upper Secondary Level,Sometimes,0.21468,48,16950,0.16428,0.2765
142,142,2009,Indirect migration background,Second Stage of Tertiary Education,Seldom,1.0,37,16950,0.66913,1.38441
143,143,2010,No migration background,Pre-primary Level,Very seldom,0.53941,102,15704,0.4404,0.64025
144,144,2010,No migration background,Pre-primary Level,Seldom,0.46059,74,15704,0.36125,0.60588
145,145,2010,No migration background,Lower Secondary Level,Very seldom,0.31606,402,15704,0.28849,0.34262
146,146,2010,No migration background,Lower Secondary Level,Seldom,0.35781,381,15704,0.32269,0.39736
147,147,2010,No migration background,Lower Secondary Level,Sometimes,0.22612,250,15704,0.20333,0.24864
148,148,2010,No migration background,Lower Secondary Level,Often,0.10001,106,15704,0.08449,0.11756
149,149,2010,No migration background,Upper Secondary Level,Very seldom,0.3656,2813,15704,0.35348,0.37851
150,150,2010,No migration background,Upper Secondary Level,Seldom,0.36299,2707,15704,0.35005,0.37831
151,151,2010,No migration background,Upper Secondary Level,Sometimes,0.19324,1364,15704,0.1834,0.20314
152,152,2010,No migration background,Upper Secondary Level,Often,0.06514,476,15704,0.05951,0.07027
153,153,2010,No migration background,Upper Secondary Level,Very often,0.01303,96,15704,0.01043,0.01587
154,154,2010,No migration background,Post-secondary Non-tertiary Level,Very seldom,0.36828,284,15704,0.32133,0.41372
155,155,2010,No migration background,Post-secondary Non-tertiary Level,Seldom,0.38097,275,15704,0.33414,0.4312
156,156,2010,No migration background,Post-secondary Non-tertiary Level,Sometimes,0.19692,144,15704,0.15964,0.23968
157,157,2010,No migration background,Post-secondary Non-tertiary Level,Often,0.05382,42,15704,0.04057,0.07575
158,158,2010,No migration background,First Stage of Tertiary Education,Very seldom,0.39149,444,15704,0.35626,0.43486
159,159,2010,No migration background,First Stage of Tertiary Education,Seldom,0.36477,421,15704,0.33125,0.39965
160,160,2010,No migration background,First Stage of Tertiary Education,Sometimes,0.19899,211,15704,0.16934,0.22711
161,161,2010,No migration background,First Stage of Tertiary Education,Often,0.04475,53,15704,0.03248,0.05902
162,162,2010,No migration background,Second Stage of Tertiary Education,Very seldom,0.4074,1452,15704,0.38112,0.43354
163,163,2010,No migration background,Second Stage of Tertiary Education,Seldom,0.36951,1282,15704,0.34569,0.39343
164,164,2010,No migration background,Second Stage of Tertiary Education,Sometimes,0.17481,568,15704,0.15827,0.19234
165,165,2010,No migration background,Second Stage of Tertiary Education,Often,0.04828,142,15704,0.04045,0.05613
166,166,2010,Direct migration background,Lower Secondary Level,Very seldom,0.4016,111,15704,0.32758,0.47033
167,167,2010,Direct migration background,Lower Secondary Level,Seldom,0.37422,114,15704,0.31761,0.43685
168,168,2010,Direct migration background,Lower Secondary Level,Sometimes,0.22418,68,15704,0.17888,0.28412
169,169,2010,Direct migration background,Upper Secondary Level,Very seldom,0.38288,230,15704,0.33258,0.43139
170,170,2010,Direct migration background,Upper Secondary Level,Seldom,0.31908,165,15704,0.27216,0.37076
171,171,2010,Direct migration background,Upper Secondary Level,Sometimes,0.22798,98,15704,0.18646,0.26442
172,172,2010,Direct migration background,Upper Secondary Level,Often,0.07007,35,15704,0.04555,0.09954
173,173,2010,Direct migration background,Post-secondary Non-tertiary Level,Very seldom,0.32273,54,15704,0.22826,0.42377
174,174,2010,Direct migration background,Post-secondary Non-tertiary Level,Seldom,0.43916,47,15704,0.32283,0.5567
175,175,2010,Direct migration background,Post-secondary Non-tertiary Level,Sometimes,0.23811,31,15704,0.15113,0.33798
176,176,2010,Direct migration background,First Stage of Tertiary Education,Very seldom,1.0,31,15704,0.6845,1.36367
177,177,2010,Direct migration background,Second Stage of Tertiary Education,Very seldom,0.34255,91,15704,0.28395,0.41081
178,178,2010,Direct migration background,Second Stage of Tertiary Education,Seldom,0.45619,110,15704,0.38275,0.53865
179,179,2010,Direct migration background,Second Stage of Tertiary Education,Sometimes,0.20126,55,15704,0.15867,0.25213
180,180,2010,Indirect migration background,Lower Secondary Level,Very seldom,0.59129,50,15704,0.40591,0.7885
181,181,2010,Indirect migration background,Lower Secondary Level,Seldom,0.40871,42,15704,0.27946,0.55004
182,182,2010,Indirect migration background,Upper Secondary Level,Very seldom,0.36551,119,15704,0.283,0.45192
183,183,2010,Indirect migration background,Upper Secondary Level,Seldom,0.41759,90,15704,0.31324,0.53959
184,184,2010,Indirect migration background,Upper Secondary Level,Sometimes,0.2169,43,15704,0.15318,0.2828
185,185,2010,Indirect migration background,Second Stage of Tertiary Education,Very seldom,1.0,31,15704,0.55797,1.6015
186,186,2011,No migration background,Pre-primary Level,Very seldom,0.42667,91,19758,0.36229,0.50332
187,187,2011,No migration background,Pre-primary Level,Seldom,0.35442,83,19758,0.28829,0.41118
188,188,2011,No migration background,Pre-primary Level,Sometimes,0.21891,48,19758,0.15467,0.28168
189,189,2011,No migration background,Primary Level,Very seldom,0.62358,53,19758,0.45605,0.77227
190,190,2011,No migration background,Primary Level,Seldom,0.37642,31,19758,0.28488,0.51298
191,191,2011,No migration background,Lower Secondary Level,Very seldom,0.34693,577,19758,0.32822,0.36809
192,192,2011,No migration background,Lower Secondary Level,Seldom,0.32806,497,19758,0.30105,0.35403
193,193,2011,No migration background,Lower Secondary Level,Sometimes,0.23551,357,19758,0.21674,0.25044
194,194,2011,No migration background,Lower Secondary Level,Often,0.08949,135,19758,0.07686,0.10436
195,195,2011,No migration background,Upper Secondary Level,Very seldom,0.36989,3515,19758,0.36239,0.37988
196,196,2011,No migration background,Upper Secondary Level,Seldom,0.34642,3222,19758,0.33525,0.3565
197,197,2011,No migration background,Upper Secondary Level,Sometimes,0.19966,1846,19758,0.19095,0.20796
198,198,2011,No migration background,Upper Secondary Level,Often,0.06907,589,19758,0.0647,0.07414
199,199,2011,No migration background,Upper Secondary Level,Very often,0.01495,139,19758,0.01271,0.0176
200,200,2011,No migration background,Post-secondary Non-tertiary Level,Very seldom,0.345,322,19758,0.31064,0.38659
201,201,2011,No migration background,Post-secondary Non-tertiary Level,Seldom,0.39256,358,19758,0.34798,0.43291
202,202,2011,No migration background,Post-secondary Non-tertiary Level,Sometimes,0.19623,189,19758,0.16508,0.22811
203,203,2011,No migration background,Post-secondary Non-tertiary Level,Often,0.06621,55,19758,0.05272,0.08261
204,204,2011,No migration background,First Stage of Tertiary Education,Very seldom,0.39483,524,19758,0.36185,0.42835
205,205,2011,No migration background,First Stage of Tertiary Education,Seldom,0.35139,449,19758,0.31995,0.38218
206,206,2011,No migration background,First Stage of Tertiary Education,Sometimes,0.19917,252,19758,0.17467,0.22774
207,207,2011,No migration background,First Stage of Tertiary Education,Often,0.05461,71,19758,0.04168,0.06806
208,208,2011,No migration background,Second Stage of Tertiary Education,Very seldom,0.40466,1724,19758,0.38747,0.4266
209,209,2011,No migration background,Second Stage of Tertiary Education,Seldom,0.34438,1436,19758,0.32119,0.36287
210,210,2011,No migration background,Second Stage of Tertiary Education,Sometimes,0.18723,711,19758,0.17314,0.2036
211,211,2011,No migration background,Second Stage of Tertiary Education,Often,0.05133,187,19758,0.04293,0.05804
212,212,2011,No migration background,Second Stage of Tertiary Education,Very often,0.01241,40,19758,0.00819,0.01705
213,213,2011,Direct migration background,Primary Level,Very seldom,1.0,37,19758,0.72648,1.26369
214,214,2011,Direct migration background,Lower Secondary Level,Very seldom,0.43851,161,19758,0.37082,0.51751
215,215,2011,Direct migration background,Lower Secondary Level,Seldom,0.33176,126,19758,0.2798,0.37591
216,216,2011,Direct migration background,Lower Secondary Level,Sometimes,0.22973,91,19758,0.19307,0.27519
217,217,2011,Direct migration background,Upper Secondary Level,Very seldom,0.44702,338,19758,0.40676,0.48635
218,218,2011,Direct migration background,Upper Secondary Level,Seldom,0.30589,236,19758,0.27027,0.3417
219,219,2011,Direct migration background,Upper Secondary Level,Sometimes,0.18299,124,19758,0.15844,0.20713
220,220,2011,Direct migration background,Upper Secondary Level,Often,0.0641,51,19758,0.04822,0.08194
221,221,2011,Direct migration background,Post-secondary Non-tertiary Level,Very seldom,0.29936,76,19758,0.23974,0.37276
222,222,2011,Direct migration background,Post-secondary Non-tertiary Level,Seldom,0.36436,60,19758,0.27666,0.44481
223,223,2011,Direct migration background,Post-secondary Non-tertiary Level,Sometimes,0.33628,61,19758,0.27426,0.41226
224,224,2011,Direct migration background,First Stage of Tertiary Education,Very seldom,0.52901,39,19758,0.36052,0.73318
225,225,2011,Direct migration background,First Stage of Tertiary Education,Seldom,0.47099,31,19758,0.32336,0.61799
226,226,2011,Direct migration background,Second Stage of Tertiary Education,Very seldom,0.38226,147,19758,0.34418,0.42883
227,227,2011,Direct migration background,Second Stage of Tertiary Education,Seldom,0.36285,115,19758,0.31107,0.42433
228,228,2011,Direct migration background,Second Stage of Tertiary Education,Sometimes,0.25489,78,19758,0.2083,0.31269
229,229,2011,Indirect migration background,Lower Secondary Level,Very seldom,0.63402,57,19758,0.49071,0.82952
230,230,2011,Indirect migration background,Lower Secondary Level,Seldom,0.36598,39,19758,0.20766,0.55164
231,231,2011,Indirect migration background,Upper Secondary Level,Very seldom,0.38673,131,19758,0.32262,0.46568
232,232,2011,Indirect migration background,Upper Secondary Level,Seldom,0.41726,114,19758,0.34293,0.48011
233,233,2011,Indirect migration background,Upper Secondary Level,Sometimes,0.196,66,19758,0.14778,0.25463
234,234,2011,Indirect migration background,Second Stage of Tertiary Education,Very seldom,0.59285,39,19758,0.39812,0.80921
235,235,2011,Indirect migration background,Second Stage of Tertiary Education,Seldom,0.40715,40,19758,0.28486,0.55093
236,236,2012,No migration background,Pre-primary Level,Very seldom,0.36701,86,19615,0.31346,0.42095
237,237,2012,No migration background,Pre-primary Level,Seldom,0.50025,89,19615,0.41085,0.613
238,238,2012,No migration background,Pre-primary Level,Sometimes,0.13274,31,19615,0.08649,0.20046
239,239,2012,No migration background,Primary Level,Very seldom,0.56045,54,19615,0.42207,0.72097
240,240,2012,No migration background,Primary Level,Seldom,0.43955,41,19615,0.35299,0.52372
241,241,2012,No migration background,Lower Secondary Level,Very seldom,0.37766,633,19615,0.35592,0.39895
242,242,2012,No migration background,Lower Secondary Level,Seldom,0.32571,475,19615,0.2971,0.35174
243,243,2012,No migration background,Lower Secondary Level,Sometimes,0.19411,287,19615,0.17821,0.21038
244,244,2012,No migration background,Lower Secondary Level,Often,0.08003,126,19615,0.06842,0.09422
245,245,2012,No migration background,Lower Secondary Level,Very often,0.02249,40,19615,0.0176,0.0286
246,246,2012,No migration background,Upper Secondary Level,Very seldom,0.40106,3738,19615,0.39048,0.41372
247,247,2012,No migration background,Upper Secondary Level,Seldom,0.35479,3238,19615,0.34455,0.36605
248,248,2012,No migration background,Upper Secondary Level,Sometimes,0.16927,1560,19615,0.16311,0.17676
249,249,2012,No migration background,Upper Secondary Level,Often,0.06353,528,19615,0.05806,0.06883
250,250,2012,No migration background,Upper Secondary Level,Very often,0.01134,110,19615,0.00936,0.01354
251,251,2012,No migration background,Post-secondary Non-tertiary Level,Very seldom,0.40435,369,19615,0.36098,0.44682
252,252,2012,No migration background,Post-secondary Non-tertiary Level,Seldom,0.34586,338,19615,0.31579,0.38342
253,253,2012,No migration background,Post-secondary Non-tertiary Level,Sometimes,0.20969,167,19615,0.17894,0.23759
254,254,2012,No migration background,Post-secondary Non-tertiary Level,Often,0.0401,49,19615,0.03098,0.04993
255,255,2012,No migration background,First Stage of Tertiary Education,Very seldom,0.38926,512,19615,0.36064,0.42431
256,256,2012,No migration background,First Stage of Tertiary Education,Seldom,0.38481,499,19615,0.3514,0.4171
257,257,2012,No migration background,First Stage of Tertiary Education,Sometimes,0.18211,237,19615,0.15958,0.21092
258,258,2012,No migration background,First Stage of Tertiary Education,Often,0.04382,59,19615,0.03445,0.05905
259,259,2012,No migration background,Second Stage of Tertiary Education,Very seldom,0.44382,1835,19615,0.42457,0.46291
260,260,2012,No migration background,Second Stage of Tertiary Education,Seldom,0.34994,1466,19615,0.33232,0.36707
261,261,2012,No migration background,Second Stage of Tertiary Education,Sometimes,0.15544,632,19615,0.14304,0.16818
262,262,2012,No migration background,Second Stage of Tertiary Education,Often,0.04316,171,19615,0.03689,0.04926
263,263,2012,No migration background,Second Stage of Tertiary Education,Very often,0.00765,33,19615,0.00564,0.01003
264,264,2012,Direct migration background,Lower Secondary Level,Very seldom,0.3893,152,19615,0.33745,0.4468
265,265,2012,Direct migration background,Lower Secondary Level,Seldom,0.32635,127,19615,0.2775,0.37374
266,266,2012,Direct migration background,Lower Secondary Level,Sometimes,0.28435,93,19615,0.23766,0.32904
267,267,2012,Direct migration background,Upper Secondary Level,Very seldom,0.41397,320,19615,0.3698,0.4619
268,268,2012,Direct migration background,Upper Secondary Level,Seldom,0.3524,241,19615,0.31743,0.39478
269,269,2012,Direct migration background,Upper Secondary Level,Sometimes,0.1775,124,19615,0.15262,0.20693
270,270,2012,Direct migration background,Upper Secondary Level,Often,0.05613,45,19615,0.04216,0.07387
271,271,2012,Direct migration background,Post-secondary Non-tertiary Level,Very seldom,0.36627,84,19615,0.30769,0.42666
272,272,2012,Direct migration background,Post-secondary Non-tertiary Level,Seldom,0.36864,76,19615,0.28979,0.47165
273,273,2012,Direct migration background,Post-secondary Non-tertiary Level,Sometimes,0.26509,42,19615,0.20506,0.34118
274,274,2012,Direct migration background,First Stage of Tertiary Education,Very seldom,1.0,32,19615,0.64889,1.37527
275,275,2012,Direct migration background,Second Stage of Tertiary Education,Very seldom,0.45283,171,19615,0.39247,0.51788
276,276,2012,Direct migration background,Second Stage of Tertiary Education,Seldom,0.24448,107,19615,0.19536,0.29365
