year,hgseval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2000,Much Too Small,0.01796,239,12876,0.01566,0.02025
2000,A Bit Too Small,0.13704,1805,12876,0.13110,0.14298
2000,Just Right,0.74008,9561,12876,0.73250,0.74766
2000,A Bit Too Large,0.09499,1167,12876,0.08993,0.10006
2000,Much Too Large,0.00993,104,12876,0.00822,0.01165
2001,Much Too Small,0.01702,209,11627,0.01467,0.01937
2001,A Bit Too Small,0.13431,1607,11627,0.12812,0.14051
2001,Just Right,0.74039,8659,11627,0.73242,0.74836
2001,A Bit Too Large,0.09908,1061,11627,0.09365,0.10451
2001,Much Too Large,0.00920,91,11627,0.00746,0.01093
2002,Much Too Small,0.02026,244,12185,0.01776,0.02276
2002,A Bit Too Small,0.13711,1711,12185,0.13100,0.14321
2002,Just Right,0.71658,8789,12185,0.70858,0.72458
2002,A Bit Too Large,0.11148,1275,12185,0.10590,0.11707
2002,Much Too Large,0.01456,166,12185,0.01244,0.01669
2003,Much Too Small,0.01781,202,11782,0.01542,0.02019
2003,A Bit Too Small,0.14241,1657,11782,0.13610,0.14872
2003,Just Right,0.71434,8507,11782,0.70618,0.72249
2003,A Bit Too Large,0.11216,1267,11782,0.10646,0.11786
2003,Much Too Large,0.01329,149,11782,0.01122,0.01535
2004,Much Too Small,0.01647,180,11503,0.01414,0.01879
2004,A Bit Too Small,0.13135,1516,11503,0.12518,0.13753
2004,Just Right,0.72798,8407,11503,0.71985,0.73612
2004,A Bit Too Large,0.11210,1262,11503,0.10633,0.11786
2004,Much Too Large,0.01210,138,11503,0.01010,0.01409
2005,Much Too Small,0.01411,145,11186,0.01192,0.01629
2005,A Bit Too Small,0.13751,1512,11186,0.13112,0.14389
2005,Just Right,0.72615,8193,11186,0.71789,0.73442
2005,A Bit Too Large,0.10893,1187,11186,0.10316,0.11470
2005,Much Too Large,0.01330,149,11186,0.01118,0.01543
2006,Much Too Small,0.01815,184,12240,0.01579,0.02052
2006,A Bit Too Small,0.13261,1572,12240,0.12660,0.13862
2006,Just Right,0.71583,8853,12240,0.70784,0.72382
2006,A Bit Too Large,0.11801,1443,12240,0.11229,0.12373
2006,Much Too Large,0.01540,188,12240,0.01322,0.01758
2007,Much Too Small,0.01385,139,11436,0.01171,0.01599
2007,A Bit Too Small,0.13376,1515,11436,0.12752,0.14000
2007,Just Right,0.72052,8270,11436,0.71229,0.72874
2007,A Bit Too Large,0.11760,1344,11436,0.11170,0.12351
2007,Much Too Large,0.01427,168,11436,0.01209,0.01644
2008,Much Too Small,0.01299,123,10794,0.01086,0.01513
2008,A Bit Too Small,0.12927,1354,10794,0.12294,0.13560
2008,Just Right,0.71382,7797,10794,0.70530,0.72235
2008,A Bit Too Large,0.12335,1319,10794,0.11715,0.12956
2008,Much Too Large,0.02056,201,10794,0.01788,0.02324
2009,Much Too Small,0.01525,143,10155,0.01287,0.01764
2009,A Bit Too Small,0.13696,1303,10155,0.13027,0.14364
2009,Just Right,0.69846,7204,10155,0.68953,0.70738
2009,A Bit Too Large,0.12919,1313,10155,0.12267,0.13572
2009,Much Too Large,0.02014,192,10155,0.01741,0.02288
2010,Much Too Small,0.01249,420,13781,0.01064,0.01434
2010,A Bit Too Small,0.13533,2434,13781,0.12961,0.14104
2010,Just Right,0.69787,9262,13781,0.69020,0.70554
2010,A Bit Too Large,0.13072,1444,13781,0.12509,0.13635
2010,Much Too Large,0.02360,221,13781,0.02106,0.02613
2011,Much Too Small,0.01347,415,16593,0.01171,0.01522
2011,A Bit Too Small,0.13148,2703,16593,0.12634,0.13662
2011,Just Right,0.69982,11363,16593,0.69284,0.70679
2011,A Bit Too Large,0.13401,1857,16593,0.12883,0.13920
2011,Much Too Large,0.02122,255,16593,0.01903,0.02342
2012,Much Too Small,0.01524,361,16291,0.01336,0.01712
2012,A Bit Too Small,0.12183,2454,16291,0.11681,0.12685
2012,Just Right,0.70716,11319,16291,0.70018,0.71415
2012,A Bit Too Large,0.13433,1874,16291,0.12909,0.13957
2012,Much Too Large,0.02144,283,16291,0.01921,0.02366
2013,Much Too Small,0.01563,480,17862,0.01381,0.01745
2013,A Bit Too Small,0.12165,2851,17862,0.11686,0.12645
2013,Just Right,0.70728,12364,17862,0.70061,0.71396
2013,A Bit Too Large,0.13343,1898,17862,0.12844,0.13841
2013,Much Too Large,0.02201,269,17862,0.01986,0.02416
2014,Much Too Small,0.01697,416,15803,0.01496,0.01899
2014,A Bit Too Small,0.12421,2440,15803,0.11907,0.12935
2014,Just Right,0.69416,10846,15803,0.68697,0.70134
2014,A Bit Too Large,0.14229,1848,15803,0.13684,0.14773
2014,Much Too Large,0.02238,253,15803,0.02007,0.02468
2015,Much Too Small,0.01723,440,15751,0.01520,0.01926
2015,A Bit Too Small,0.11488,2363,15751,0.10990,0.11986
2015,Just Right,0.70381,10925,15751,0.69668,0.71094
2015,A Bit Too Large,0.14080,1765,15751,0.13537,0.14623
2015,Much Too Large,0.02329,258,15751,0.02093,0.02564
2016,Much Too Small,0.01499,685,16385,0.01313,0.01685
2016,A Bit Too Small,0.11862,2555,16385,0.11367,0.12357
2016,Just Right,0.70239,11219,16385,0.69539,0.70939
2016,A Bit Too Large,0.14140,1682,16385,0.13607,0.14674
2016,Much Too Large,0.02259,244,16385,0.02032,0.02487
2017,Much Too Small,0.01830,773,18248,0.01636,0.02025
2017,A Bit Too Small,0.11028,2742,18248,0.10573,0.11482
2017,Just Right,0.70947,12541,18248,0.70288,0.71606
2017,A Bit Too Large,0.13695,1914,18248,0.13196,0.14194
2017,Much Too Large,0.02500,278,18248,0.02273,0.02727
2018,Much Too Small,0.01707,713,17845,0.01517,0.01897
2018,A Bit Too Small,0.11095,2695,17845,0.10634,0.11555
2018,Just Right,0.70902,12274,17845,0.70236,0.71569
2018,A Bit Too Large,0.14256,1921,17845,0.13743,0.14769
2018,Much Too Large,0.02040,242,17845,0.01832,0.02247
2019,Much Too Small,0.01514,640,18417,0.01338,0.01691
2019,A Bit Too Small,0.10932,2503,18417,0.10481,0.11383
2019,Just Right,0.70986,12726,18417,0.70331,0.71642
2019,A Bit Too Large,0.14251,2205,18417,0.13746,0.14755
2019,Much Too Large,0.02317,343,18417,0.02100,0.02534
2020,Much Too Small,0.01321,791,19260,0.01160,0.01482
2020,A Bit Too Small,0.11651,2885,19260,0.11198,0.12104
2020,Just Right,0.70291,13171,19260,0.69646,0.70937
2020,A Bit Too Large,0.14106,2083,19260,0.13614,0.14598
2020,Much Too Large,0.02631,330,19260,0.02405,0.02857
2021,Much Too Small,0.01349,428,12556,0.01147,0.01551
2021,A Bit Too Small,0.10582,1739,12556,0.10044,0.11120
2021,Just Right,0.70075,8503,12556,0.69274,0.70876
2021,A Bit Too Large,0.15223,1618,12556,0.14594,0.15851
2021,Much Too Large,0.02771,268,12556,0.02484,0.03059
2022,Much Too Small,0.01902,661,20430,0.01715,0.02090
2022,A Bit Too Small,0.12831,3407,20430,0.12372,0.13289
2022,Just Right,0.66615,13436,20430,0.65969,0.67262
2022,A Bit Too Large,0.15744,2548,20430,0.15244,0.16243
2022,Much Too Large,0.02908,378,20430,0.02678,0.03138
