year,regtyp,sampreg,hgseval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Urban regions,West,Much Too Large,0.00904,49,6796,0.00679,0.01129
2001,Urban regions,East,A Bit Too Small,0.17112,158,937,0.14699,0.19525
2001,Urban regions,East,Just Right,0.72556,707,937,0.69697,0.75415
2001,Urban regions,East,A Bit Too Large,0.08494,72,937,0.06708,0.10280
2001,Rural regions,West,A Bit Too Small,0.10910,225,1951,0.09526,0.12294
2001,Rural regions,West,Just Right,0.74516,1493,1951,0.72582,0.76450
2001,Rural regions,West,A Bit Too Large,0.12411,233,1951,0.10948,0.13874
2001,Rural regions,East,A Bit Too Small,0.09742,207,1847,0.08390,0.11095
2001,Rural regions,East,Just Right,0.78514,1471,1847,0.76640,0.80387
2001,Rural regions,East,A Bit Too Large,0.09851,169,1847,0.08492,0.11211
2002,Urban regions,West,Much Too Small,0.02312,168,7271,0.01967,0.02658
2002,Urban regions,West,A Bit Too Small,0.15284,1128,7271,0.14457,0.16111
2002,Urban regions,West,Just Right,0.70213,5135,7271,0.69161,0.71264
2002,Urban regions,West,A Bit Too Large,0.10741,736,7271,0.10029,0.11453
2002,Urban regions,West,Much Too Large,0.01450,104,7271,0.01175,0.01725
2002,Urban regions,East,A Bit Too Small,0.15825,149,935,0.13485,0.18166
2002,Urban regions,East,Just Right,0.75044,730,935,0.72268,0.77819
2002,Urban regions,East,A Bit Too Large,0.06370,56,935,0.04804,0.07936
2002,Rural regions,West,Much Too Small,0.01499,36,2076,0.00976,0.02022
2002,Rural regions,West,A Bit Too Small,0.09991,228,2076,0.08701,0.11281
2002,Rural regions,West,Just Right,0.71521,1481,2076,0.69579,0.73463
2002,Rural regions,West,A Bit Too Large,0.14899,292,2076,0.13367,0.16432
2002,Rural regions,West,Much Too Large,0.02090,39,2076,0.01474,0.02705
2002,Rural regions,East,A Bit Too Small,0.09990,206,1840,0.08619,0.11361
2002,Rural regions,East,Just Right,0.77543,1443,1840,0.75636,0.79451
2002,Rural regions,East,A Bit Too Large,0.10205,191,1840,0.08821,0.11588
2003,Urban regions,West,Much Too Small,0.02155,147,7008,0.01815,0.02496
2003,Urban regions,West,A Bit Too Small,0.15439,1078,7008,0.14593,0.16285
2003,Urban regions,West,Just Right,0.69733,4943,7008,0.68658,0.70809
2003,Urban regions,West,A Bit Too Large,0.11168,734,7008,0.10430,0.11905
2003,Urban regions,West,Much Too Large,0.01504,106,7008,0.01219,0.01789
2003,Urban regions,East,A Bit Too Small,0.15449,142,941,0.13138,0.17759
2003,Urban regions,East,Just Right,0.75758,729,941,0.73018,0.78497
2003,Urban regions,East,A Bit Too Large,0.06957,70,941,0.05330,0.08583
2003,Rural regions,West,A Bit Too Small,0.11847,232,1924,0.10403,0.13292
2003,Rural regions,West,Just Right,0.72086,1421,1924,0.70081,0.74091
2003,Rural regions,West,A Bit Too Large,0.13554,271,1924,0.12024,0.15083
2003,Rural regions,East,A Bit Too Small,0.10984,205,1811,0.09543,0.12424
2003,Rural regions,East,Just Right,0.76981,1414,1811,0.75042,0.78920
2003,Rural regions,East,A Bit Too Large,0.10223,192,1811,0.08827,0.11619
2004,Urban regions,West,Much Too Small,0.01855,120,6804,0.01534,0.02175
2004,Urban regions,West,A Bit Too Small,0.14287,985,6804,0.13455,0.15118
2004,Urban regions,West,Just Right,0.71754,4882,6804,0.70684,0.72824
2004,Urban regions,West,A Bit Too Large,0.10875,728,6804,0.10136,0.11615
2004,Urban regions,West,Much Too Large,0.01229,89,6804,0.00967,0.01491
2004,Urban regions,East,A Bit Too Small,0.15575,143,935,0.13249,0.17900
2004,Urban regions,East,Just Right,0.74225,713,935,0.71420,0.77030
2004,Urban regions,East,A Bit Too Large,0.07598,79,935,0.05898,0.09297
2004,Rural regions,West,A Bit Too Small,0.10089,198,1887,0.08729,0.11448
2004,Rural regions,West,Just Right,0.72199,1415,1887,0.70177,0.74221
2004,Rural regions,West,A Bit Too Large,0.14887,274,1887,0.13281,0.16494
2004,Rural regions,East,A Bit Too Small,0.10440,190,1768,0.09015,0.11866
2004,Rural regions,East,Just Right,0.78379,1397,1768,0.76460,0.80299
2004,Rural regions,East,A Bit Too Large,0.09324,181,1768,0.07968,0.10680
2005,Urban regions,West,Much Too Small,0.01395,92,6604,0.01112,0.01677
2005,Urban regions,West,A Bit Too Small,0.15124,982,6604,0.14260,0.15988
2005,Urban regions,West,Just Right,0.71640,4763,6604,0.70553,0.72727
2005,Urban regions,West,A Bit Too Large,0.10619,684,6604,0.09876,0.11362
2005,Urban regions,West,Much Too Large,0.01222,83,6604,0.00957,0.01487
2005,Urban regions,East,A Bit Too Small,0.15285,141,919,0.12958,0.17613
2005,Urban regions,East,Just Right,0.76921,720,919,0.74195,0.79646
2005,Urban regions,East,A Bit Too Large,0.05286,58,919,0.03839,0.06734
2005,Rural regions,West,A Bit Too Small,0.10275,191,1868,0.08898,0.11653
2005,Rural regions,West,Just Right,0.71601,1381,1868,0.69556,0.73647
2005,Rural regions,West,A Bit Too Large,0.14434,258,1868,0.12840,0.16028
2005,Rural regions,West,Much Too Large,0.02012,38,1868,0.01375,0.02649
2005,Rural regions,East,A Bit Too Small,0.11088,198,1714,0.09601,0.12574
2005,Rural regions,East,Just Right,0.76899,1329,1714,0.74903,0.78895
2005,Rural regions,East,A Bit Too Large,0.09961,187,1714,0.08542,0.11379
2006,Urban regions,West,Much Too Small,0.01990,119,7167,0.01666,0.02313
2006,Urban regions,West,A Bit Too Small,0.14543,997,7167,0.13727,0.15359
2006,Urban regions,West,Just Right,0.70489,5114,7167,0.69433,0.71545
2006,Urban regions,West,A Bit Too Large,0.11485,831,7167,0.10747,0.12224
2006,Urban regions,West,Much Too Large,0.01492,106,7167,0.01212,0.01773
2006,Urban regions,East,A Bit Too Small,0.15718,152,971,0.13428,0.18009
2006,Urban regions,East,Just Right,0.74905,741,971,0.72177,0.77634
2006,Urban regions,East,A Bit Too Large,0.07264,78,971,0.05631,0.08897
2006,Rural regions,West,A Bit Too Small,0.10793,230,2124,0.09473,0.12113
2006,Rural regions,West,Just Right,0.69617,1521,2124,0.67661,0.71574
2006,Rural regions,West,A Bit Too Large,0.15501,321,2124,0.13961,0.17040
2006,Rural regions,West,Much Too Large,0.02373,52,2124,0.01726,0.03021
2006,Rural regions,East,A Bit Too Small,0.09226,193,1883,0.07919,0.10534
2006,Rural regions,East,Just Right,0.78421,1477,1883,0.76562,0.80280
2006,Rural regions,East,A Bit Too Large,0.10116,213,1883,0.08754,0.11478
2007,Urban regions,West,Much Too Small,0.01537,87,6656,0.01241,0.01832
2007,Urban regions,West,A Bit Too Small,0.14784,967,6656,0.13931,0.15637
2007,Urban regions,West,Just Right,0.70645,4714,6656,0.69551,0.71739
2007,Urban regions,West,A Bit Too Large,0.11663,794,6656,0.10891,0.12434
2007,Urban regions,West,Much Too Large,0.01371,94,6656,0.01092,0.01651
2007,Urban regions,East,A Bit Too Small,0.15287,142,924,0.12965,0.17608
2007,Urban regions,East,Just Right,0.76042,717,924,0.73288,0.78795
2007,Urban regions,East,A Bit Too Large,0.06299,65,924,0.04731,0.07866
2007,Rural regions,West,A Bit Too Small,0.09944,213,2005,0.08634,0.11254
2007,Rural regions,West,Just Right,0.72300,1464,2005,0.70340,0.74259
2007,Rural regions,West,A Bit Too Large,0.14733,287,2005,0.13181,0.16284
2007,Rural regions,West,Much Too Large,0.01978,41,2005,0.01368,0.02588
2007,Rural regions,East,A Bit Too Small,0.10589,193,1766,0.09154,0.12025
2007,Rural regions,East,Just Right,0.76676,1375,1766,0.74703,0.78649
2007,Rural regions,East,A Bit Too Large,0.10509,198,1766,0.09078,0.11940
2008,Urban regions,West,Much Too Small,0.01576,85,6246,0.01267,0.01885
2008,Urban regions,West,A Bit Too Small,0.14029,849,6246,0.13167,0.14890
2008,Urban regions,West,Just Right,0.70281,4433,6246,0.69148,0.71415
2008,Urban regions,West,A Bit Too Large,0.12026,761,6246,0.11220,0.12833
2008,Urban regions,West,Much Too Large,0.02087,118,6246,0.01733,0.02442
2008,Urban regions,East,A Bit Too Small,0.15079,136,912,0.12755,0.17403
2008,Urban regions,East,Just Right,0.74859,699,912,0.72041,0.77676
2008,Urban regions,East,A Bit Too Large,0.07775,77,912,0.06036,0.09514
2008,Rural regions,West,A Bit Too Small,0.09773,186,1890,0.08434,0.11112
2008,Rural regions,West,Just Right,0.70728,1362,1890,0.68676,0.72780
2008,Rural regions,West,A Bit Too Large,0.16066,290,1890,0.14410,0.17722
2008,Rural regions,West,Much Too Large,0.02730,52,1890,0.01995,0.03465
2008,Rural regions,East,A Bit Too Small,0.11053,183,1677,0.09552,0.12554
2008,Rural regions,East,Just Right,0.76209,1303,1677,0.74171,0.78248
2008,Rural regions,East,A Bit Too Large,0.10513,191,1677,0.09044,0.11981
2009,Urban regions,West,Much Too Small,0.01684,87,5788,0.01353,0.02016
2009,Urban regions,West,A Bit Too Small,0.14573,803,5788,0.13663,0.15482
2009,Urban regions,West,Just Right,0.69211,4043,5788,0.68022,0.70400
2009,Urban regions,West,A Bit Too Large,0.12515,746,5788,0.11663,0.13368
2009,Urban regions,West,Much Too Large,0.02017,109,5788,0.01655,0.02379
2009,Urban regions,East,A Bit Too Small,0.15869,137,878,0.13451,0.18288
2009,Urban regions,East,Just Right,0.74461,666,878,0.71575,0.77348
2009,Urban regions,East,A Bit Too Large,0.07234,75,878,0.05519,0.08948
2009,Rural regions,West,A Bit Too Small,0.10944,182,1794,0.09499,0.12390
2009,Rural regions,West,Just Right,0.68057,1267,1794,0.65899,0.70215
2009,Rural regions,West,A Bit Too Large,0.17248,296,1794,0.15500,0.18997
2009,Rural regions,West,Much Too Large,0.02715,49,1794,0.01963,0.03467
2009,Rural regions,East,A Bit Too Small,0.12389,181,1605,0.10777,0.14001
2009,Rural regions,East,Just Right,0.73377,1228,1605,0.71214,0.75540
2009,Rural regions,East,A Bit Too Large,0.11240,196,1605,0.09694,0.12786
2010,Urban regions,West,Much Too Small,0.01309,261,7956,0.01060,0.01559
2010,Urban regions,West,A Bit Too Small,0.14012,1481,7956,0.13249,0.14775
2010,Urban regions,West,Just Right,0.69886,5291,7956,0.68878,0.70895
2010,Urban regions,West,A Bit Too Large,0.12530,801,7956,0.11802,0.13257
2010,Urban regions,West,Much Too Large,0.02262,122,7956,0.01936,0.02589
2010,Urban regions,East,Much Too Small,0.01799,34,1114,0.01018,0.02580
2010,Urban regions,East,A Bit Too Small,0.16043,243,1114,0.13887,0.18199
2010,Urban regions,East,Just Right,0.74456,757,1114,0.71893,0.77018
2010,Urban regions,East,A Bit Too Large,0.06921,80,1114,0.05429,0.08412
2010,Rural regions,West,Much Too Small,0.01043,68,2667,0.00657,0.01429
2010,Rural regions,West,A Bit Too Small,0.11658,410,2667,0.10440,0.12877
2010,Rural regions,West,Just Right,0.66846,1774,2667,0.65059,0.68633
2010,Rural regions,West,A Bit Too Large,0.17093,352,2667,0.15664,0.18522
2010,Rural regions,West,Much Too Large,0.03360,63,2667,0.02676,0.04044
2010,Rural regions,East,Much Too Small,0.00949,57,2008,0.00525,0.01373
2010,Rural regions,East,A Bit Too Small,0.12631,300,2008,0.11177,0.14084
2010,Rural regions,East,Just Right,0.71431,1440,2008,0.69454,0.73407
2010,Rural regions,East,A Bit Too Large,0.12857,211,2008,0.11393,0.14322
2011,Urban regions,West,Much Too Small,0.01546,268,9416,0.01296,0.01795
2011,Urban regions,West,A Bit Too Small,0.13896,1599,9416,0.13197,0.14595
2011,Urban regions,West,Just Right,0.69393,6378,9416,0.68462,0.70324
2011,Urban regions,West,A Bit Too Large,0.13116,1033,9416,0.12434,0.13798
2011,Urban regions,West,Much Too Large,0.02049,138,9416,0.01763,0.02335
2011,Urban regions,East,Much Too Small,0.01714,36,1328,0.01016,0.02413
2011,Urban regions,East,A Bit Too Small,0.16069,267,1328,0.14093,0.18045
2011,Urban regions,East,Just Right,0.74498,924,1328,0.72152,0.76843
2011,Urban regions,East,A Bit Too Large,0.07468,101,1328,0.06054,0.08883
2011,Rural regions,West,Much Too Small,0.00805,64,3437,0.00506,0.01103
2011,Rural regions,West,A Bit Too Small,0.10731,494,3437,0.09696,0.11766
2011,Rural regions,West,Just Right,0.68391,2321,3437,0.66836,0.69946
2011,Rural regions,West,A Bit Too Large,0.16796,480,3437,0.15546,0.18046
2011,Rural regions,West,Much Too Large,0.03277,78,3437,0.02682,0.03872
