year,bula_h,sampreg,pld0298_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2019,"Rhineland-Palatinate, Saarland",West,Heterosexual,0.89855,1306,1423,0.88285,0.91424
2019,"Rhineland-Palatinate, Saarland",West,No answer/ Do not wish to respond,0.08126,117,1423,0.06706,0.09546
2019,Baden-Wuerttemberg,West,Heterosexual,0.90923,2578,2790,0.89857,0.91989
2019,Baden-Wuerttemberg,West,Homosexual,0.01245,37,2790,0.00834,0.01657
2019,Baden-Wuerttemberg,West,Bisexual,0.00888,46,2790,0.00540,0.01237
2019,Baden-Wuerttemberg,West,No answer/ Do not wish to respond,0.06943,129,2790,0.06000,0.07886
2019,Bavaria,West,Heterosexual,0.92585,3641,3935,0.91767,0.93404
2019,Bavaria,West,Homosexual,0.00927,56,3935,0.00628,0.01227
2019,Bavaria,West,Bisexual,0.01253,63,3935,0.00906,0.01601
2019,Bavaria,West,No answer/ Do not wish to respond,0.05234,175,3935,0.04538,0.05930
2019,Berlin,Does not apply,Homosexual,0.42415,37,68,0.30581,0.54249
2019,Berlin,Does not apply,Bisexual,0.44738,31,68,0.32832,0.56644
2019,Berlin,West,Heterosexual,0.89611,498,531,0.87014,0.92209
2019,Berlin,West,Homosexual,0.02760,33,531,0.01365,0.04155
2019,Berlin,East,Heterosexual,0.90014,334,334,0.86794,0.93235
2019,Brandenburg,East,Heterosexual,0.91010,1033,1089,0.89310,0.92709
2019,Brandenburg,East,No answer/ Do not wish to respond,0.07686,56,1089,0.06103,0.09268
2019,Mecklenburg-Western Pomerania,East,Heterosexual,0.93231,576,576,0.91177,0.95284
2019,Saxony,East,Heterosexual,0.91570,1481,1604,0.90209,0.92930
2019,Saxony,East,Bisexual,0.02070,34,1604,0.01373,0.02767
2019,Saxony,East,No answer/ Do not wish to respond,0.05018,89,1604,0.03949,0.06087
2019,Saxony-Anhalt,East,Heterosexual,0.91521,811,860,0.89658,0.93384
2019,Saxony-Anhalt,East,No answer/ Do not wish to respond,0.06172,49,860,0.04563,0.07782
2019,Thuringa,East,Heterosexual,0.90296,841,895,0.88356,0.92237
2019,Thuringa,East,No answer/ Do not wish to respond,0.07737,54,895,0.05985,0.09488
