year,bula_h,regtyp,pld0298_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Bavaria,Urban regions,Heterosexual,0.70468,1574,1668,0.68278,0.72658
2016,Bavaria,Urban regions,No answer/ Do not wish to respond,0.05448,94,1668,0.04358,0.06537
2016,Bavaria,Rural regions,Heterosexual,0.64990,1633,1749,0.62754,0.67226
2016,Bavaria,Rural regions,No answer/ Do not wish to respond,0.06106,116,1749,0.04983,0.07228
2016,Berlin,Urban regions,Heterosexual,0.72359,799,833,0.69321,0.75398
2016,Berlin,Urban regions,Homosexual,0.03537,34,833,0.02282,0.04792
2016,Brandenburg,Urban regions,Heterosexual,0.74066,57,57,0.62587,0.85545
2016,Brandenburg,Rural regions,Heterosexual,0.64576,739,785,0.61228,0.67924
2016,Brandenburg,Rural regions,No answer/ Do not wish to respond,0.08403,46,785,0.06461,0.10345
2016,Mecklenburg-Western Pomerania,Urban regions,Heterosexual,0.68922,48,48,0.55691,0.82154
2016,Mecklenburg-Western Pomerania,Rural regions,Heterosexual,0.67706,386,386,0.63035,0.72377
2016,Saxony,Urban regions,Heterosexual,0.74033,671,671,0.70713,0.77353
2016,Saxony,Rural regions,Heterosexual,0.70865,556,608,0.67250,0.74480
2016,Saxony,Rural regions,No answer/ Do not wish to respond,0.06430,52,608,0.04479,0.08382
2016,Saxony-Anhalt,Urban regions,Heterosexual,0.76544,159,159,0.69937,0.83151
2016,Saxony-Anhalt,Rural regions,Heterosexual,0.69098,559,597,0.65388,0.72808
2016,Saxony-Anhalt,Rural regions,No answer/ Do not wish to respond,0.05790,38,597,0.03915,0.07665
2016,Thuringa,Urban regions,Heterosexual,0.74182,247,247,0.68713,0.79651
2016,Thuringa,Rural regions,Heterosexual,0.63696,487,487,0.59421,0.67971
2019,Schleswig-Holstein,Urban regions,Heterosexual,0.69533,324,324,0.64513,0.74552
2019,Schleswig-Holstein,Rural regions,Heterosexual,0.74348,544,587,0.70812,0.77884
2019,Schleswig-Holstein,Rural regions,No answer/ Do not wish to respond,0.05654,43,587,0.03784,0.07524
2019,Hamburg,Urban regions,Heterosexual,0.74423,477,477,0.70503,0.78342
2019,Lower Saxony,Urban regions,Heterosexual,0.76622,948,1001,0.73998,0.79245
2019,Lower Saxony,Urban regions,No answer/ Do not wish to respond,0.04930,53,1001,0.03588,0.06272
2019,Lower Saxony,Rural regions,Heterosexual,0.77971,1349,1409,0.75806,0.80136
2019,Lower Saxony,Rural regions,No answer/ Do not wish to respond,0.04204,60,1409,0.03156,0.05252
2019,Bremen,Urban regions,Heterosexual,0.77128,199,199,0.71278,0.82979
2019,North Rhine-Westphalia,Urban regions,Heterosexual,0.77979,4874,5170,0.76849,0.79108
2019,North Rhine-Westphalia,Urban regions,Homosexual,0.00462,40,5170,0.00277,0.00647
2019,North Rhine-Westphalia,Urban regions,Bisexual,0.00403,66,5170,0.00230,0.00576
2019,North Rhine-Westphalia,Urban regions,No answer/ Do not wish to respond,0.04405,190,5170,0.03846,0.04965
2019,North Rhine-Westphalia,Rural regions,Heterosexual,0.75148,92,92,0.66269,0.84028
2019,Hesse,Urban regions,Heterosexual,0.77014,1243,1289,0.74716,0.79312
2019,Hesse,Urban regions,No answer/ Do not wish to respond,0.03835,46,1289,0.02786,0.04884
2019,Hesse,Rural regions,Heterosexual,0.76909,317,317,0.72262,0.81555
2019,"Rhineland-Palatinate, Saarland",Urban regions,Heterosexual,0.75714,964,1059,0.73130,0.78298
2019,"Rhineland-Palatinate, Saarland",Urban regions,No answer/ Do not wish to respond,0.06109,95,1059,0.04665,0.07552
2019,"Rhineland-Palatinate, Saarland",Rural regions,Heterosexual,0.72414,335,335,0.67620,0.77207
2019,Baden-Wuerttemberg,Urban regions,Heterosexual,0.74018,2300,2417,0.72270,0.75767
2019,Baden-Wuerttemberg,Urban regions,No answer/ Do not wish to respond,0.05967,117,2417,0.05022,0.06911
2019,Baden-Wuerttemberg,Rural regions,Heterosexual,0.82563,263,263,0.77968,0.87157
2019,Bavaria,Urban regions,Heterosexual,0.76593,1659,1732,0.74599,0.78588
2019,Bavaria,Urban regions,No answer/ Do not wish to respond,0.03972,73,1732,0.03052,0.04892
2019,Bavaria,Rural regions,Heterosexual,0.77611,1961,2063,0.75812,0.79410
2019,Bavaria,Rural regions,No answer/ Do not wish to respond,0.04770,102,2063,0.03850,0.05690
2019,Berlin,Urban regions,Heterosexual,0.75735,832,949,0.73006,0.78464
2019,Berlin,Urban regions,Homosexual,0.02223,43,949,0.01285,0.03162
2019,Berlin,Urban regions,Bisexual,0.02149,37,949,0.01226,0.03072
2019,Berlin,Urban regions,No answer/ Do not wish to respond,0.04265,37,949,0.02979,0.05551
2019,Brandenburg,Urban regions,Heterosexual,0.81532,90,90,0.73470,0.89594
2019,Brandenburg,Rural regions,Heterosexual,0.72674,934,985,0.69890,0.75458
2019,Brandenburg,Rural regions,No answer/ Do not wish to respond,0.06373,51,985,0.04847,0.07900
2019,Mecklenburg-Western Pomerania,Urban regions,Heterosexual,0.82072,94,94,0.74275,0.89868
2019,Mecklenburg-Western Pomerania,Rural regions,Heterosexual,0.77610,482,482,0.73884,0.81335
2019,Saxony,Urban regions,Heterosexual,0.78448,780,825,0.75641,0.81256
2019,Saxony,Urban regions,No answer/ Do not wish to respond,0.04464,45,825,0.03054,0.05874
2019,Saxony,Rural regions,Heterosexual,0.78638,695,739,0.75681,0.81595
2019,Saxony,Rural regions,No answer/ Do not wish to respond,0.04166,44,739,0.02724,0.05608
2019,Saxony-Anhalt,Urban regions,Heterosexual,0.76892,176,176,0.70647,0.83138
2019,Saxony-Anhalt,Rural regions,Heterosexual,0.78625,631,672,0.75523,0.81727
2019,Saxony-Anhalt,Rural regions,No answer/ Do not wish to respond,0.05873,41,672,0.04094,0.07652
2019,Thuringa,Urban regions,Heterosexual,0.80964,269,269,0.76264,0.85664
2019,Thuringa,Rural regions,Heterosexual,0.75295,569,613,0.71878,0.78712
2019,Thuringa,Rural regions,No answer/ Do not wish to respond,0.08146,44,613,0.05979,0.10313
