year,bula_h,quintil_oecd,pld0298_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2019,"Rhineland-Palatinate, Saarland",5th Quintile,Heterosexual,0.85574,246,246,0.81174,0.89974
2019,Baden-Wuerttemberg,1st Quintile,Heterosexual,0.69047,278,278,0.63603,0.74491
2019,Baden-Wuerttemberg,2nd Quintile,Heterosexual,0.73830,383,383,0.69422,0.78238
2019,Baden-Wuerttemberg,3rd Quintile,Heterosexual,0.70489,460,491,0.66451,0.74527
2019,Baden-Wuerttemberg,3rd Quintile,No answer/ Do not wish to respond,0.06186,31,491,0.04053,0.08319
2019,Baden-Wuerttemberg,4th Quintile,Heterosexual,0.72681,498,498,0.68763,0.76599
2019,Baden-Wuerttemberg,5th Quintile,Heterosexual,0.83685,663,663,0.80870,0.86500
2019,Bavaria,1st Quintile,Heterosexual,0.68988,423,454,0.64728,0.73247
2019,Bavaria,1st Quintile,No answer/ Do not wish to respond,0.08334,31,454,0.05788,0.10879
2019,Bavaria,2nd Quintile,Heterosexual,0.73871,638,674,0.70552,0.77191
2019,Bavaria,2nd Quintile,No answer/ Do not wish to respond,0.03503,36,674,0.02114,0.04892
2019,Bavaria,3rd Quintile,Heterosexual,0.75017,651,695,0.71796,0.78238
2019,Bavaria,3rd Quintile,No answer/ Do not wish to respond,0.05331,44,695,0.03660,0.07003
2019,Bavaria,4th Quintile,Heterosexual,0.78175,687,719,0.75153,0.81196
2019,Bavaria,4th Quintile,No answer/ Do not wish to respond,0.04010,32,719,0.02575,0.05445
2019,Bavaria,5th Quintile,Heterosexual,0.87242,850,850,0.84998,0.89487
2019,Berlin,1st Quintile,Heterosexual,0.66554,166,166,0.59355,0.73753
2019,Berlin,2nd Quintile,Heterosexual,0.74879,151,151,0.67938,0.81820
2019,Berlin,3rd Quintile,Heterosexual,0.79909,138,138,0.73199,0.86618
2019,Berlin,4th Quintile,Heterosexual,0.77961,129,129,0.70780,0.85142
2019,Berlin,5th Quintile,Heterosexual,0.88703,164,164,0.83843,0.93563
2019,Brandenburg,1st Quintile,Heterosexual,0.75043,244,244,0.69602,0.80485
2019,Brandenburg,2nd Quintile,Heterosexual,0.70031,209,209,0.63805,0.76257
2019,Brandenburg,3rd Quintile,Heterosexual,0.74852,186,186,0.68600,0.81104
2019,Brandenburg,4th Quintile,Heterosexual,0.76777,150,150,0.69997,0.83557
2019,Brandenburg,5th Quintile,Heterosexual,0.76215,125,125,0.68721,0.83709
2019,Mecklenburg-Western Pomerania,1st Quintile,Heterosexual,0.74335,152,152,0.67368,0.81302
2019,Mecklenburg-Western Pomerania,2nd Quintile,Heterosexual,0.78709,133,133,0.71725,0.85693
2019,Mecklenburg-Western Pomerania,3rd Quintile,Heterosexual,0.76664,114,114,0.68865,0.84463
2019,Mecklenburg-Western Pomerania,4th Quintile,Heterosexual,0.86545,62,62,0.77982,0.95109
2019,Mecklenburg-Western Pomerania,5th Quintile,Heterosexual,0.84363,53,53,0.74492,0.94235
2019,Saxony,1st Quintile,Heterosexual,0.71695,265,265,0.66261,0.77129
2019,Saxony,2nd Quintile,Heterosexual,0.74724,345,385,0.70377,0.79071
2019,Saxony,2nd Quintile,No answer/ Do not wish to respond,0.06801,40,385,0.04283,0.09319
2019,Saxony,3rd Quintile,Heterosexual,0.78502,333,333,0.74083,0.82921
2019,Saxony,4th Quintile,Heterosexual,0.86515,213,213,0.81917,0.91113
2019,Saxony,5th Quintile,Heterosexual,0.87516,167,167,0.82488,0.92544
2019,Saxony-Anhalt,1st Quintile,Heterosexual,0.73302,205,205,0.67231,0.79372
2019,Saxony-Anhalt,2nd Quintile,Heterosexual,0.76148,191,191,0.70089,0.82208
2019,Saxony-Anhalt,3rd Quintile,Heterosexual,0.76664,131,131,0.69393,0.83935
2019,Saxony-Anhalt,4th Quintile,Heterosexual,0.89251,111,111,0.83463,0.95039
2019,Saxony-Anhalt,5th Quintile,Heterosexual,0.89974,100,100,0.84057,0.95890
2019,Thuringa,1st Quintile,Heterosexual,0.67555,161,161,0.60301,0.74810
2019,Thuringa,2nd Quintile,Heterosexual,0.75367,208,208,0.69498,0.81237
2019,Thuringa,3rd Quintile,Heterosexual,0.80855,181,181,0.75107,0.86603
2019,Thuringa,4th Quintile,Heterosexual,0.88122,106,106,0.81934,0.94311
2019,Thuringa,5th Quintile,Heterosexual,0.79711,88,88,0.71260,0.88161
