year,pgisced97,quintil_oecd,pld0298_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2019,Pre-primary Level,2nd Quintile,Heterosexual,0.88846,65,65,0.81133,0.96558
2019,Pre-primary Level,3rd Quintile,Heterosexual,0.93734,46,46,0.86653,1.00815
2019,Pre-primary Level,4th Quintile,Heterosexual,0.98380,41,41,0.94469,1.02292
2019,Pre-primary Level,5th Quintile,Heterosexual,0.96285,47,47,0.90819,1.01750
2019,Primary Level,1st Quintile,Heterosexual,0.82545,210,210,0.77398,0.87691
2019,Primary Level,2nd Quintile,Heterosexual,0.84749,71,71,0.76327,0.93171
2019,Lower Secondary Level,1st Quintile,Heterosexual,0.88959,831,897,0.86906,0.91011
2019,Lower Secondary Level,1st Quintile,No answer/ Do not wish to respond,0.09565,66,897,0.07639,0.11490
2019,Lower Secondary Level,2nd Quintile,Heterosexual,0.87037,575,631,0.84414,0.89660
2019,Lower Secondary Level,2nd Quintile,No answer/ Do not wish to respond,0.12161,56,631,0.09609,0.14713
2019,Lower Secondary Level,3rd Quintile,Heterosexual,0.88561,329,329,0.85117,0.92006
2019,Lower Secondary Level,4th Quintile,Heterosexual,0.88785,225,225,0.84653,0.92918
2019,Lower Secondary Level,5th Quintile,Heterosexual,0.91197,109,109,0.85854,0.96541
2019,Upper Secondary Level,1st Quintile,Heterosexual,0.89107,1873,2066,0.87763,0.90450
2019,Upper Secondary Level,1st Quintile,Bisexual,0.01942,49,2066,0.01346,0.02537
2019,Upper Secondary Level,1st Quintile,No answer/ Do not wish to respond,0.08462,144,2066,0.07262,0.09662
2019,Upper Secondary Level,2nd Quintile,Heterosexual,0.90646,2341,2537,0.89513,0.91779
2019,Upper Secondary Level,2nd Quintile,Bisexual,0.00635,36,2537,0.00326,0.00944
2019,Upper Secondary Level,2nd Quintile,No answer/ Do not wish to respond,0.08166,160,2537,0.07100,0.09232
2019,Upper Secondary Level,3rd Quintile,Heterosexual,0.92943,2060,2178,0.91867,0.94019
2019,Upper Secondary Level,3rd Quintile,No answer/ Do not wish to respond,0.06144,118,2178,0.05135,0.07153
2019,Upper Secondary Level,4th Quintile,Heterosexual,0.92327,1796,1895,0.91129,0.93526
2019,Upper Secondary Level,4th Quintile,No answer/ Do not wish to respond,0.06498,99,1895,0.05388,0.07608
2019,Upper Secondary Level,5th Quintile,Heterosexual,0.93510,1359,1413,0.92225,0.94795
2019,Upper Secondary Level,5th Quintile,No answer/ Do not wish to respond,0.05468,54,1413,0.04282,0.06654
2019,Post-secondary Non-tertiary Level,1st Quintile,Heterosexual,0.92563,280,280,0.89485,0.95642
2019,Post-secondary Non-tertiary Level,2nd Quintile,Heterosexual,0.91847,409,409,0.89191,0.94502
2019,Post-secondary Non-tertiary Level,3rd Quintile,Heterosexual,0.96189,419,419,0.94353,0.98024
2019,Post-secondary Non-tertiary Level,4th Quintile,Heterosexual,0.97867,349,349,0.96349,0.99385
2019,Post-secondary Non-tertiary Level,5th Quintile,Heterosexual,0.96232,345,345,0.94220,0.98245
2019,First Stage of Tertiary Education,1st Quintile,Heterosexual,0.88544,79,79,0.81475,0.95612
2019,First Stage of Tertiary Education,2nd Quintile,Heterosexual,0.93186,211,211,0.89778,0.96595
2019,First Stage of Tertiary Education,3rd Quintile,Heterosexual,0.97001,286,286,0.95020,0.98981
2019,First Stage of Tertiary Education,4th Quintile,Heterosexual,0.95608,311,311,0.93327,0.97889
2019,First Stage of Tertiary Education,5th Quintile,Heterosexual,0.96509,364,364,0.94621,0.98397
2019,Second Stage of Tertiary Education,1st Quintile,Heterosexual,0.93893,452,452,0.91683,0.96103
2019,Second Stage of Tertiary Education,2nd Quintile,Heterosexual,0.93115,580,580,0.91053,0.95178
2019,Second Stage of Tertiary Education,3rd Quintile,Heterosexual,0.93065,893,893,0.91397,0.94732
2019,Second Stage of Tertiary Education,4th Quintile,Heterosexual,0.96327,1221,1221,0.95272,0.97383
2019,Second Stage of Tertiary Education,5th Quintile,Heterosexual,0.96750,2324,2373,0.96037,0.97464
2019,Second Stage of Tertiary Education,5th Quintile,No answer/ Do not wish to respond,0.02242,49,2373,0.01646,0.02838
