year,age_gr,pgisced97,pld0298_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2019,30-45 y.,Upper Secondary Level,No answer/ Do not wish to respond,0.04296,85,2370,0.03479,0.05112
2019,30-45 y.,Post-secondary Non-tertiary Level,Heterosexual,0.95015,750,750,0.93456,0.96573
2019,30-45 y.,First Stage of Tertiary Education,Heterosexual,0.96461,331,331,0.94467,0.98454
2019,30-45 y.,Second Stage of Tertiary Education,Heterosexual,0.93336,1865,2027,0.92250,0.94422
2019,30-45 y.,Second Stage of Tertiary Education,Homosexual,0.02209,71,2027,0.01569,0.02849
2019,30-45 y.,Second Stage of Tertiary Education,Bisexual,0.01974,56,2027,0.01368,0.02579
2019,30-45 y.,Second Stage of Tertiary Education,No answer/ Do not wish to respond,0.01458,35,2027,0.00936,0.01980
2019,46-65 y.,Primary Level,Heterosexual,0.75368,116,116,0.67493,0.83243
2019,46-65 y.,Lower Secondary Level,Heterosexual,0.91341,600,641,0.89162,0.93520
2019,46-65 y.,Lower Secondary Level,No answer/ Do not wish to respond,0.07305,41,641,0.05289,0.09322
2019,46-65 y.,Upper Secondary Level,Heterosexual,0.91715,4274,4636,0.90922,0.92509
2019,46-65 y.,Upper Secondary Level,Homosexual,0.01081,79,4636,0.00784,0.01379
2019,46-65 y.,Upper Secondary Level,Bisexual,0.00613,48,4636,0.00389,0.00838
2019,46-65 y.,Upper Secondary Level,No answer/ Do not wish to respond,0.05931,235,4636,0.05251,0.06611
2019,46-65 y.,Post-secondary Non-tertiary Level,Heterosexual,0.93291,875,906,0.91661,0.94921
2019,46-65 y.,Post-secondary Non-tertiary Level,No answer/ Do not wish to respond,0.04423,31,906,0.03083,0.05762
2019,46-65 y.,First Stage of Tertiary Education,Heterosexual,0.95299,826,826,0.93855,0.96743
2019,46-65 y.,Second Stage of Tertiary Education,Heterosexual,0.95600,2937,3095,0.94878,0.96323
2019,46-65 y.,Second Stage of Tertiary Education,Homosexual,0.01580,70,3095,0.01140,0.02019
2019,46-65 y.,Second Stage of Tertiary Education,Bisexual,0.00807,36,3095,0.00492,0.01122
2019,46-65 y.,Second Stage of Tertiary Education,No answer/ Do not wish to respond,0.01683,52,3095,0.01230,0.02137
2019,66 and older,Lower Secondary Level,Heterosexual,0.82566,473,544,0.79374,0.85757
2019,66 and older,Lower Secondary Level,No answer/ Do not wish to respond,0.15805,71,544,0.12736,0.18873
2019,66 and older,Upper Secondary Level,Heterosexual,0.86590,2293,2523,0.85260,0.87920
2019,66 and older,Upper Secondary Level,No answer/ Do not wish to respond,0.11781,230,2523,0.10523,0.13040
2019,66 and older,Post-secondary Non-tertiary Level,Heterosexual,0.85711,144,144,0.79975,0.91447
2019,66 and older,First Stage of Tertiary Education,Heterosexual,0.91103,344,344,0.88089,0.94116
2019,66 and older,Second Stage of Tertiary Education,Heterosexual,0.89862,1335,1411,0.88287,0.91438
2019,66 and older,Second Stage of Tertiary Education,No answer/ Do not wish to respond,0.07596,76,1411,0.06213,0.08979
