year,bula_h,migback,pld0298_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2019,Schleswig-Holstein,Indirect migration background,Heterosexual,0.90867,42,42,0.82049,0.99685
2019,Hamburg,No migration background,Heterosexual,0.91052,338,338,0.88004,0.94099
2019,Hamburg,Direct migration background,Heterosexual,0.89624,101,101,0.83646,0.95601
2019,Hamburg,Indirect migration background,Heterosexual,0.90594,42,42,0.81658,0.99529
2019,Lower Saxony,No migration background,Heterosexual,0.92268,1839,1958,0.91085,0.93451
2019,Lower Saxony,No migration background,Homosexual,0.01011,32,1958,0.00568,0.01454
2019,Lower Saxony,No migration background,No answer/ Do not wish to respond,0.05820,87,1958,0.04782,0.06857
2019,Lower Saxony,Direct migration background,Heterosexual,0.95343,359,359,0.93160,0.97526
2019,Lower Saxony,Indirect migration background,Heterosexual,0.97727,112,112,0.94954,1.00500
2019,Bremen,No migration background,Heterosexual,0.90263,137,137,0.85281,0.95246
2019,Bremen,Direct migration background,Heterosexual,0.97633,53,53,0.93501,1.01765
2019,North Rhine-Westphalia,No migration background,Heterosexual,0.92680,3514,3802,0.91852,0.93508
2019,North Rhine-Westphalia,No migration background,Homosexual,0.01436,85,3802,0.01058,0.01814
2019,North Rhine-Westphalia,No migration background,Bisexual,0.01302,81,3802,0.00942,0.01662
2019,North Rhine-Westphalia,No migration background,No answer/ Do not wish to respond,0.04582,122,3802,0.03918,0.05247
2019,North Rhine-Westphalia,Direct migration background,Heterosexual,0.91969,1033,1094,0.90357,0.93580
2019,North Rhine-Westphalia,Direct migration background,No answer/ Do not wish to respond,0.07778,61,1094,0.06190,0.09366
2019,North Rhine-Westphalia,Indirect migration background,Heterosexual,0.92815,445,445,0.90413,0.95217
2019,Hesse,No migration background,Heterosexual,0.91747,1173,1284,0.90241,0.93253
2019,Hesse,No migration background,Homosexual,0.01890,33,1284,0.01145,0.02635
2019,Hesse,No migration background,Bisexual,0.01904,35,1284,0.01156,0.02651
2019,Hesse,No migration background,No answer/ Do not wish to respond,0.04459,43,1284,0.03330,0.05589
2019,Hesse,Direct migration background,Heterosexual,0.93617,282,282,0.90759,0.96475
2019,Hesse,Indirect migration background,Heterosexual,0.91743,115,115,0.86691,0.96795
2019,"Rhineland-Palatinate, Saarland",No migration background,Heterosexual,0.91144,959,1021,0.89400,0.92888
2019,"Rhineland-Palatinate, Saarland",No migration background,No answer/ Do not wish to respond,0.06994,62,1021,0.05429,0.08559
2019,"Rhineland-Palatinate, Saarland",Direct migration background,Heterosexual,0.86455,262,311,0.82646,0.90265
2019,"Rhineland-Palatinate, Saarland",Direct migration background,No answer/ Do not wish to respond,0.12485,49,311,0.08805,0.16164
2019,"Rhineland-Palatinate, Saarland",Indirect migration background,Heterosexual,0.84602,85,85,0.76883,0.92320
2019,Baden-Wuerttemberg,No migration background,Heterosexual,0.89810,1870,2000,0.88483,0.91136
2019,Baden-Wuerttemberg,No migration background,Bisexual,0.00919,35,2000,0.00500,0.01337
2019,Baden-Wuerttemberg,No migration background,No answer/ Do not wish to respond,0.08023,95,2000,0.06832,0.09214
2019,Baden-Wuerttemberg,Direct migration background,Heterosexual,0.93842,500,500,0.91733,0.95952
2019,Baden-Wuerttemberg,Indirect migration background,Heterosexual,0.94149,208,208,0.90951,0.97346
2019,Bavaria,No migration background,Heterosexual,0.92189,2782,3015,0.91231,0.93147
2019,Bavaria,No migration background,Homosexual,0.01055,47,3015,0.00690,0.01420
2019,Bavaria,No migration background,Bisexual,0.01335,50,3015,0.00925,0.01744
2019,Bavaria,No migration background,No answer/ Do not wish to respond,0.05422,136,3015,0.04613,0.06230
2019,Bavaria,Direct migration background,Heterosexual,0.93638,635,635,0.91738,0.95538
2019,Bavaria,Indirect migration background,Heterosexual,0.94663,224,224,0.91713,0.97613
2019,Berlin,No migration background,Heterosexual,0.88151,663,779,0.85880,0.90422
2019,Berlin,No migration background,Homosexual,0.03753,61,779,0.02417,0.05088
2019,Berlin,No migration background,Bisexual,0.03464,55,779,0.02179,0.04749
2019,Berlin,Direct migration background,Heterosexual,0.84698,122,122,0.78284,0.91113
2019,Berlin,Indirect migration background,Heterosexual,0.82343,52,52,0.71878,0.92808
2019,Brandenburg,No migration background,Heterosexual,0.90731,938,988,0.88921,0.92540
2019,Brandenburg,No migration background,No answer/ Do not wish to respond,0.07946,50,988,0.06259,0.09633
2019,Brandenburg,Direct migration background,Heterosexual,0.97995,74,74,0.94779,1.01210
2019,Mecklenburg-Western Pomerania,No migration background,Heterosexual,0.93067,546,546,0.90934,0.95200
2019,Saxony,No migration background,Heterosexual,0.91302,1385,1500,0.89875,0.92729
2019,Saxony,No migration background,Bisexual,0.02141,31,1500,0.01408,0.02874
2019,Saxony,No migration background,No answer/ Do not wish to respond,0.05176,84,1500,0.04054,0.06297
2019,Saxony,Direct migration background,Heterosexual,0.97022,63,63,0.92790,1.01253
2019,Saxony,Indirect migration background,Heterosexual,0.96554,33,33,0.90233,1.02874
2019,Saxony-Anhalt,No migration background,Heterosexual,0.91123,756,803,0.89155,0.93092
2019,Saxony-Anhalt,No migration background,No answer/ Do not wish to respond,0.06460,47,803,0.04759,0.08161
2019,Saxony-Anhalt,Direct migration background,Heterosexual,0.99303,40,40,0.96691,1.01914
2019,Thuringa,No migration background,Heterosexual,0.89528,774,826,0.87438,0.91617
2019,Thuringa,No migration background,No answer/ Do not wish to respond,0.08347,52,826,0.06460,0.10234
2019,Thuringa,Direct migration background,Heterosexual,0.99968,56,56,0.99494,1.00442
