year,hhtyp,regtyp,pet_fish,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,Single-person household,Urban regions,Yes,0.02185,54,2389,0.01598,0.02771
2011,Single-person household,Urban regions,No,0.97646,2335,2389,0.97038,0.98254
2011,Single-person household,Rural regions,No,0.97412,1093,1093,0.96471,0.98354
2011,Couple without children,Urban regions,Yes,0.04871,141,2772,0.04070,0.05673
2011,Couple without children,Urban regions,No,0.95125,2631,2772,0.94323,0.95927
2011,Couple without children,Rural regions,Yes,0.05002,92,1599,0.03933,0.06070
2011,Couple without children,Rural regions,No,0.94922,1507,1599,0.93845,0.95998
2011,Single parent,Urban regions,No,0.49785,496,496,0.45380,0.54190
2011,Single parent,Rural regions,No,0.50361,248,248,0.44125,0.56596
2011,Couple with children,Urban regions,Yes,0.08029,224,2087,0.06863,0.09196
2011,Couple with children,Urban regions,No,0.71507,1863,2087,0.69570,0.73444
2011,Couple with children,Rural regions,Yes,0.09519,139,1153,0.07824,0.11213
2011,Couple with children,Rural regions,No,0.69716,1014,1153,0.67063,0.72369
2011,Multi-generational household,Urban regions,No,0.87246,43,43,0.77157,0.97334
2011,Multi-generational household,Rural regions,No,0.80791,36,36,0.67740,0.93843
2011,Other Combinations,Urban regions,No,0.96570,60,60,0.91926,1.01214
2011,Other Combinations,Rural regions,No,0.89877,33,33,0.79426,1.00328
2016,Single-person household,Urban regions,No,0.98565,2299,2299,0.98079,0.99051
2016,Single-person household,Rural regions,No,0.96620,1046,1046,0.95524,0.97716
2016,Couple without children,Urban regions,Yes,0.03205,87,2568,0.02523,0.03886
2016,Couple without children,Urban regions,No,0.96705,2481,2568,0.96014,0.97395
2016,Couple without children,Rural regions,Yes,0.03830,73,1529,0.02868,0.04792
2016,Couple without children,Rural regions,No,0.96117,1456,1529,0.95149,0.97086
2016,Single parent,Urban regions,Yes,0.03295,41,992,0.02183,0.04406
2016,Single parent,Urban regions,No,0.96024,951,992,0.94807,0.97240
2016,Single parent,Rural regions,Yes,0.05162,32,532,0.03280,0.07044
2016,Single parent,Rural regions,No,0.94283,500,532,0.92308,0.96257
2016,Couple with children,Urban regions,Yes,0.05975,227,3297,0.05166,0.06784
2016,Couple with children,Urban regions,No,0.93270,3070,3297,0.92415,0.94126
2016,Couple with children,Rural regions,Yes,0.11583,173,1693,0.10058,0.13108
2016,Couple with children,Rural regions,No,0.87654,1520,1693,0.86086,0.89221
2016,Multi-generational household,Urban regions,No,0.94834,61,61,0.89234,1.00435
2016,Multi-generational household,Rural regions,No,0.86254,41,41,0.75583,0.96925
2016,Other Combinations,Urban regions,No,0.93864,133,133,0.89770,0.97958
2016,Other Combinations,Rural regions,No,0.93961,57,57,0.87722,1.00200
2021,Single-person household,Urban regions,No,0.97588,2219,2219,0.96949,0.98226
2021,Single-person household,Rural regions,No,0.97228,918,918,0.96165,0.98290
2021,Couple without children,Urban regions,Yes,0.02509,66,2217,0.01858,0.03160
2021,Couple without children,Urban regions,No,0.97281,2151,2217,0.96604,0.97958
2021,Couple without children,Rural regions,Yes,0.03590,56,1197,0.02535,0.04644
2021,Couple without children,Rural regions,No,0.96216,1141,1197,0.95135,0.97297
2021,Single parent,Urban regions,No,0.92709,542,542,0.90518,0.94900
2021,Single parent,Rural regions,No,0.91130,297,297,0.87892,0.94369
2021,Couple with children,Urban regions,Yes,0.04710,129,2101,0.03804,0.05616
2021,Couple with children,Urban regions,No,0.92922,1972,2101,0.91825,0.94019
2021,Couple with children,Rural regions,Yes,0.10458,93,1061,0.08616,0.12300
2021,Couple with children,Rural regions,No,0.87435,968,1061,0.85440,0.89431
2021,Multi-generational household,Urban regions,No,0.92333,44,44,0.84381,1.00286
2021,Other Combinations,Urban regions,No,0.93736,176,176,0.90146,0.97326
2021,Other Combinations,Rural regions,No,0.98286,76,76,0.95349,1.01224
