year,migback,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
2007,indirekter Migrationshintergrund,,,,,,,,,,,,
2008,kein Migrationshintergrund,7.986095435446573,7.975641156695407,7.996549714197738,7.0,8.0,9.0,4.0,12.0,8.0,8.0,8.0,16535.0
2008,direkter Migrationshintergrund,7.8475830230171475,7.812986557214284,7.882179488820011,7.0,8.0,9.0,4.0,12.0,8.0,8.0,8.0,1899.0
2008,indirekter Migrationshintergrund,8.457692120943062,8.404485188122505,8.510899053763618,8.0,8.0,10.0,5.0,13.0,8.0,7.0,8.0,761.0
2009,kein Migrationshintergrund,7.8838858030902275,7.873243593208138,7.894528012972317,7.0,8.0,9.0,4.0,12.0,8.0,8.0,8.0,15534.0
2009,direkter Migrationshintergrund,7.774204425762442,7.7384684181552705,7.809940433369614,7.0,8.0,9.0,4.0,12.0,8.0,8.0,8.0,1644.0
2009,indirekter Migrationshintergrund,8.512383686346501,8.453860007853331,8.570907364839671,8.0,8.0,9.226912833394387,6.15963074990842,11.067282083485967,8.0,7.0,8.0,702.0
2010,kein Migrationshintergrund,7.862369189942189,7.852563196312467,7.872175183571912,7.0,8.0,9.0,4.0,12.0,8.0,8.0,8.0,19811.0
2010,direkter Migrationshintergrund,7.747782449925526,7.720314117500546,7.775250782350506,7.0,8.0,9.0,4.0,12.0,8.0,8.0,8.0,2933.0
2010,indirekter Migrationshintergrund,8.421499643503077,8.37658987801706,8.466409408989096,8.0,8.0,10.0,5.0,13.0,8.0,7.0,8.0,1100.0
2011,kein Migrationshintergrund,7.783741683483608,7.77485172437947,7.792631642587747,7.0,8.0,9.0,4.0,12.0,8.0,8.0,8.0,23656.0
2011,direkter Migrationshintergrund,7.657168512094885,7.631302845256137,7.683034178933633,7.0,8.0,8.0,5.5,9.5,8.0,8.0,8.0,3275.0
2011,indirekter Migrationshintergrund,8.37520405086843,8.330492360291297,8.419915741445562,7.0,8.0,9.0,4.0,12.0,8.0,8.0,8.0,1248.0
2012,kein Migrationshintergrund,7.810848712614122,7.801790725599977,7.819906699628268,7.0,8.0,9.0,4.0,12.0,8.0,8.0,8.0,23084.0
2012,direkter Migrationshintergrund,7.779323620485496,7.75292877610338,7.805718464867612,7.0,8.0,9.0,4.0,12.0,8.0,8.0,8.0,3103.0
2012,indirekter Migrationshintergrund,8.371819670133766,8.328036267140146,8.415603073127386,7.0,8.0,10.0,2.5,14.0,8.0,8.0,8.0,1206.0
2013,kein Migrationshintergrund,7.734111848755905,7.724791757452489,7.743431940059321,7.0,8.0,8.0,5.5,9.5,8.0,8.0,8.0,21589.0
2013,direkter Migrationshintergrund,7.509055539823196,7.481698243953414,7.536412835692978,7.0,8.0,8.0,5.5,9.5,8.0,8.0,8.0,2785.0
2013,indirekter Migrationshintergrund,8.223039875290354,8.180781077136887,8.265298673443821,7.0,8.0,9.0,4.0,12.0,8.0,8.0,8.0,1141.0
2014,kein Migrationshintergrund,,,,,,,,,,,,
2014,direkter Migrationshintergrund,,,,,,,,,,,,
2014,indirekter Migrationshintergrund,,,,,,,,,,,,
2015,kein Migrationshintergrund,7.6979560981348385,7.688177668346745,7.707734527922932,7.0,8.0,8.0,5.5,9.5,8.0,8.0,8.0,18907.0
2015,direkter Migrationshintergrund,7.541345377973798,7.5194829862265795,7.563207769721016,7.0,8.0,8.0,5.5,9.5,8.0,8.0,8.0,4394.0
2015,indirekter Migrationshintergrund,8.146935929538818,8.10911824341679,8.184753615660847,7.0,8.0,9.0,4.0,12.0,8.0,8.0,8.0,1555.0
2016,kein Migrationshintergrund,,,,,,,,,,,,
2016,direkter Migrationshintergrund,,,,,,,,,,,,
2016,indirekter Migrationshintergrund,,,,,,,,,,,,
2017,kein Migrationshintergrund,7.641177391675986,7.6316057446448875,7.650749038707084,7.0,8.0,8.0,5.5,9.5,8.0,8.0,8.0,20061.0
2017,direkter Migrationshintergrund,7.4518218708423385,7.431075656437485,7.472568085247192,7.0,8.0,8.0,5.5,9.5,8.0,8.0,8.0,4736.0
2017,indirekter Migrationshintergrund,7.9961487421622826,7.960811303796451,8.031486180528114,7.0,8.0,9.0,4.0,12.0,8.0,8.0,8.0,1634.0
2018,kein Migrationshintergrund,,,,,,,,,,,,
2018,direkter Migrationshintergrund,,,,,,,,,,,,
2018,indirekter Migrationshintergrund,,,,,,,,,,,,
2019,kein Migrationshintergrund,7.563459167937926,7.553820513758718,7.573097822117133,7.0,8.0,8.0,5.5,9.5,8.0,8.0,8.0,20102.0
2019,direkter Migrationshintergrund,7.428608994805136,7.405304955963778,7.451913033646494,7.0,8.0,8.0,5.5,9.5,8.0,8.0,9.0,3954.0
2019,indirekter Migrationshintergrund,7.9905689986995805,7.9535204692166,8.02761752818256,7.0,8.0,9.0,4.0,12.0,8.0,8.0,8.0,1572.0
2020,kein Migrationshintergrund,7.705743558226738,7.69592235723244,7.715564759221036,7.0,8.0,8.0,5.5,9.5,8.0,8.0,8.0,18479.0
2020,direkter Migrationshintergrund,7.606263267729226,7.590397075399588,7.622129460058863,7.0,8.0,8.0,5.5,9.5,8.0,8.0,8.0,8254.0
2020,indirekter Migrationshintergrund,8.045905277900092,8.011481304650463,8.08032925114972,7.0,8.0,9.0,4.0,12.0,8.0,8.0,8.0,1525.0
2021,kein Migrationshintergrund,7.603442498720202,7.592180881652683,7.614704115787721,7.0,8.0,8.0,5.5,9.5,8.0,8.0,8.0,13190.0
2021,direkter Migrationshintergrund,7.5214476688374345,7.503221605508844,7.539673732166025,7.0,8.0,8.0,5.5,9.5,8.0,8.0,8.0,5126.0
2021,indirekter Migrationshintergrund,7.80291224382915,7.755885362189197,7.849939125469103,7.0,8.0,9.0,4.0,12.0,8.0,8.0,8.0,934.0
