year,bula_h,hhtyp,pet_rabbit,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Baden-Wuerttemberg,Single parent,No,0.90356,141,141,0.85466,0.95246
2016,Baden-Wuerttemberg,Couple with children,Yes,0.07202,60,670,0.05243,0.09161
2016,Baden-Wuerttemberg,Couple with children,No,0.92244,610,670,0.90217,0.94271
2016,Bavaria,Single-person household,No,0.99468,516,516,0.98840,1.00096
2016,Bavaria,Couple without children,No,0.97810,628,628,0.96664,0.98955
2016,Bavaria,Single parent,No,0.92889,222,222,0.89500,0.96277
2016,Bavaria,Couple with children,Yes,0.08432,85,866,0.06580,0.10284
2016,Bavaria,Couple with children,No,0.91081,781,866,0.89181,0.92980
2016,Berlin,Single-person household,No,0.99206,224,224,0.98040,1.00371
2016,Berlin,Couple without children,No,0.99979,167,167,0.99756,1.00201
2016,Berlin,Single parent,No,0.96380,66,66,0.91839,1.00921
2016,Berlin,Couple with children,No,0.93142,130,130,0.88781,0.97504
2016,Brandenburg,Single-person household,No,0.95838,129,129,0.92378,0.99298
2016,Brandenburg,Couple without children,No,0.92439,198,198,0.88747,0.96131
2016,Brandenburg,Single parent,No,0.89714,50,50,0.81208,0.98220
2016,Brandenburg,Couple with children,No,0.88464,137,137,0.83095,0.93833
2016,Mecklenburg-Western Pomerania,Single-person household,No,0.99487,102,102,0.98094,1.00880
2016,Mecklenburg-Western Pomerania,Couple without children,No,0.95061,103,103,0.90855,0.99266
2016,Mecklenburg-Western Pomerania,Single parent,No,0.95011,38,38,0.87995,1.02026
2016,Mecklenburg-Western Pomerania,Couple with children,No,0.78966,67,67,0.69134,0.88799
2016,Saxony,Single-person household,No,0.95553,221,221,0.92829,0.98277
2016,Saxony,Couple without children,No,0.92736,268,268,0.89623,0.95849
2016,Saxony,Single parent,No,0.86410,82,82,0.78947,0.93873
2016,Saxony,Couple with children,Yes,0.16815,39,247,0.12141,0.21488
2016,Saxony,Couple with children,No,0.82344,208,247,0.77579,0.87109
2016,Saxony-Anhalt,Single-person household,No,0.96826,144,144,0.93953,0.99699
2016,Saxony-Anhalt,Couple without children,No,0.88918,147,147,0.83826,0.94010
2016,Saxony-Anhalt,Single parent,No,0.97518,65,65,0.93706,1.01330
2016,Saxony-Anhalt,Couple with children,No,0.83233,119,119,0.76492,0.89973
2016,Thuringa,Single-person household,No,0.96582,147,147,0.93635,0.99529
2016,Thuringa,Couple without children,No,0.95962,174,174,0.93028,0.98895
2016,Thuringa,Single parent,No,0.89273,45,45,0.80129,0.98417
2016,Thuringa,Couple with children,No,0.82274,121,121,0.75441,0.89107
2021,Schleswig-Holstein,Single-person household,No,0.98723,100,100,0.96511,1.00935
2021,Schleswig-Holstein,Couple without children,No,0.96879,124,124,0.93805,0.99952
2021,Schleswig-Holstein,Single parent,No,0.91692,31,31,0.81816,1.01569
2021,Schleswig-Holstein,Couple with children,No,0.94961,147,147,0.91413,0.98509
2021,Hamburg,Single-person household,No,0.98601,82,82,0.96042,1.01159
2021,Hamburg,Couple without children,No,0.99762,90,90,0.98751,1.00774
2021,Hamburg,Couple with children,No,0.96730,62,62,0.92267,1.01193
2021,Lower Saxony,Single-person household,No,0.98843,289,289,0.97607,1.00078
2021,Lower Saxony,Couple without children,No,0.97353,324,324,0.95602,0.99103
2021,Lower Saxony,Single parent,No,0.94426,89,89,0.89633,0.99219
2021,Lower Saxony,Couple with children,No,0.92782,295,295,0.89823,0.95740
2021,North Rhine-Westphalia,Single-person household,No,0.98697,628,628,0.97810,0.99585
2021,North Rhine-Westphalia,Couple without children,No,0.99017,674,674,0.98272,0.99763
2021,North Rhine-Westphalia,Single parent,No,0.97263,158,158,0.94711,0.99815
2021,North Rhine-Westphalia,Couple with children,Yes,0.05372,37,714,0.03717,0.07027
2021,North Rhine-Westphalia,Couple with children,No,0.92186,677,714,0.90216,0.94156
2021,North Rhine-Westphalia,Other Combinations,No,0.94944,65,65,0.89576,1.00312
2021,Hesse,Single-person household,No,0.97341,207,207,0.95144,0.99538
2021,Hesse,Couple without children,No,0.97002,213,213,0.94706,0.99298
2021,Hesse,Single parent,No,0.95748,59,59,0.90555,1.00941
2021,Hesse,Couple with children,No,0.88652,174,174,0.83925,0.93378
2021,"Rhineland-Palatinate, Saarland",Single-person household,No,0.98954,149,149,0.97314,1.00593
2021,"Rhineland-Palatinate, Saarland",Couple without children,No,0.98730,160,160,0.96990,1.00471
2021,"Rhineland-Palatinate, Saarland",Single parent,No,0.85329,36,36,0.73607,0.97051
2021,"Rhineland-Palatinate, Saarland",Couple with children,No,0.92735,144,144,0.88481,0.96989
2021,Baden-Wuerttemberg,Single-person household,No,0.98722,310,310,0.97470,0.99975
2021,Baden-Wuerttemberg,Couple without children,No,0.97937,359,359,0.96464,0.99409
2021,Baden-Wuerttemberg,Single parent,No,0.88101,82,82,0.81050,0.95152
2021,Baden-Wuerttemberg,Couple with children,No,0.89515,386,386,0.86455,0.92575
2021,Bavaria,Single-person household,No,0.99270,517,517,0.98536,1.00005
2021,Bavaria,Couple without children,No,0.97654,496,496,0.96320,0.98987
2021,Bavaria,Single parent,No,0.92474,120,120,0.87734,0.97214
2021,Bavaria,Couple with children,Yes,0.06651,49,529,0.04525,0.08776
2021,Bavaria,Couple with children,No,0.92339,480,529,0.90070,0.94607
2021,Bavaria,Other Combinations,No,0.97711,44,44,0.93240,1.02181
2021,Berlin,Single-person household,No,0.98726,236,236,0.97293,1.00160
2021,Berlin,Couple without children,No,0.98990,150,150,0.97385,1.00596
2021,Berlin,Single parent,No,0.89825,36,36,0.79809,0.99841
2021,Berlin,Couple with children,No,0.89304,112,112,0.83554,0.95054
2021,Brandenburg,Single-person household,No,0.98414,117,117,0.96141,1.00688
2021,Brandenburg,Couple without children,No,0.99176,162,162,0.97780,1.00572
2021,Brandenburg,Single parent,No,0.93939,38,38,0.86250,1.01628
2021,Brandenburg,Couple with children,No,0.95569,106,106,0.91633,0.99505
2021,Mecklenburg-Western Pomerania,Single-person household,No,0.97512,81,81,0.94099,1.00925
2021,Mecklenburg-Western Pomerania,Couple without children,No,0.91518,82,82,0.85450,0.97585
2021,Mecklenburg-Western Pomerania,Couple with children,No,0.77078,47,47,0.64931,0.89225
2021,Saxony,Single-person household,No,0.97726,195,195,0.95628,0.99824
2021,Saxony,Couple without children,No,0.94168,257,257,0.91298,0.97039
2021,Saxony,Single parent,No,0.84334,67,67,0.75564,0.93103
2021,Saxony,Couple with children,No,0.87473,143,143,0.82028,0.92918
2021,Saxony-Anhalt,Single-person household,No,0.98042,115,115,0.95499,1.00585
2021,Saxony-Anhalt,Couple without children,No,0.96954,115,115,0.93800,1.00109
2021,Saxony-Anhalt,Single parent,No,0.93785,38,38,0.86006,1.01564
2021,Saxony-Anhalt,Couple with children,No,0.91382,62,62,0.84339,0.98424
2021,Thuringa,Single-person household,No,0.93605,116,116,0.89133,0.98077
2021,Thuringa,Couple without children,No,0.96646,122,122,0.93438,0.99854
2021,Thuringa,Single parent,No,0.90186,35,35,0.80186,1.00186
2021,Thuringa,Couple with children,No,0.91223,78,78,0.84902,0.97543
