"pgcasmin","year","alter_gr","n","percent","lower_confidence","upper_confidence"
"(1c) basic vocational qualification","1993","16-34 Jahre alt","958","0.211778294351423","0.200137284917675","0.223419303785171"
"(1c) basic vocational qualification","1993","35-65 Jahre alt","2588","0.432995022765201","0.421123538736218","0.444866506794185"
"(1c) basic vocational qualification","1993","66 und älter","638","0.415168585870139","0.39017400975817","0.440163161982108"
"(2b) intermediate general qualification","1993","16-34 Jahre alt","422","0.0846176692045846","0.0766879553701149","0.0925473830390542"
"(2b) intermediate general qualification","1993","35-65 Jahre alt","69","0.0138187281809402","0.0110217921263822","0.0166156642354982"
"(2b) intermediate general qualification","1993","66 und älter","31","0.0257083182564034","0.0176804632805636","0.0337361732322431"
"(2a) intermediate vocational","1993","16-34 Jahre alt","1324","0.283607137525577","0.270764331402488","0.296449943648665"
"(2a) intermediate vocational","1993","35-65 Jahre alt","1098","0.164527059161748","0.155644154792143","0.173409963531353"
"(2a) intermediate vocational","1993","66 und älter","166","0.136841968949634","0.119408933945077","0.154275003954191"
"(2c_gen) general maturity certificate","1993","16-34 Jahre alt","346","0.0811823431850521","0.0734007023767477","0.0889639839933565"
"(2c_gen) general maturity certificate","1993","35-65 Jahre alt","51","0.00707833008761711","0.00506973209135342","0.0090869280838808"
"(2c_gen) general maturity certificate","1993","66 und älter","","","",""
"(2c_voc) vocational maturity certificate","1993","16-34 Jahre alt","284","0.074776843916037","0.0672825187000641","0.08227116913201"
"(2c_voc) vocational maturity certificate","1993","35-65 Jahre alt","195","0.0315568317242066","0.0273683763580999","0.0357452870903133"
"(2c_voc) vocational maturity certificate","1993","66 und älter","37","0.024251804079414","0.0164488492795007","0.0320547588793274"
"(3a) lower tertiary education","1993","16-34 Jahre alt","227","0.0466023964183941","0.0405966515905804","0.0526081412462078"
"(3a) lower tertiary education","1993","35-65 Jahre alt","552","0.06866289658312","0.0626041241932972","0.0747216689729429"
"(3a) lower tertiary education","1993","66 und älter","70","0.0367186987125722","0.0271789179740396","0.0462584794511047"
"(3b) higher tertiary education","1993","16-34 Jahre alt","185","0.0501016956807999","0.0438859892907573","0.0563174020708426"
"(3b) higher tertiary education","1993","35-65 Jahre alt","559","0.0907971231847998","0.0839131912153131","0.0976810551542865"
"(3b) higher tertiary education","1993","66 und älter","47","0.0310819684957414","0.0222792672178783","0.0398846697736046"
"(0) in school","1994","16-34 Jahre alt","204","0.046740178649571","0.0406403167402795","0.0528400405588624"
"(0) in school","1994","35-65 Jahre alt","","","",""
"(0) in school","1994","66 und älter","","","",""
"(1a) inadequately completed","1994","16-34 Jahre alt","186","0.0263720852909099","0.0217414783384624","0.0310026922433575"
"(1a) inadequately completed","1994","35-65 Jahre alt","431","0.0297256083807568","0.0256071217214174","0.0338440950400962"
"(1a) inadequately completed","1994","66 und älter","32","0.00861863786655651","0.00395943214106426","0.0132778435920488"
"(1b) general elementary school","1994","16-34 Jahre alt","563","0.0975104957191895","0.0889378290525822","0.106083162385797"
"(1b) general elementary school","1994","35-65 Jahre alt","1048","0.155091370300379","0.146312801998289","0.163869938602468"
"(1b) general elementary school","1994","66 und älter","458","0.306320946555338","0.283086098678549","0.329555794432128"
"(1c) basic vocational qualification","1994","16-34 Jahre alt","908","0.203532644141232","0.191897541931922","0.215167746350542"
"(1c) basic vocational qualification","1994","35-65 Jahre alt","2511","0.430754833675101","0.418746306131623","0.442763361218578"
"(1c) basic vocational qualification","1994","66 und älter","657","0.421051172776094","0.396164907546841","0.445937438005348"
"(2b) intermediate general qualification","1994","16-34 Jahre alt","372","0.0751878701118083","0.067567609487712","0.0828081307359047"
"(2b) intermediate general qualification","1994","35-65 Jahre alt","69","0.0142069783369128","0.0113370653346146","0.017076891339211"
"(2b) intermediate general qualification","1994","66 und älter","","","",""
"(2a) intermediate vocational","1994","16-34 Jahre alt","1296","0.283393065012062","0.270370267505322","0.296415862518802"
"(2a) intermediate vocational","1994","35-65 Jahre alt","1133","0.169615359360856","0.16051418897114","0.178716529750572"
"(2a) intermediate vocational","1994","66 und älter","160","0.13410885557106","0.116932438667119","0.151285272475"
"(2c_gen) general maturity certificate","1994","16-34 Jahre alt","348","0.0833885538899638","0.0753991378991261","0.0913779698808015"
"(2c_gen) general maturity certificate","1994","35-65 Jahre alt","52","0.00795545731455086","0.00580107307117272","0.010109841557929"
"(2c_gen) general maturity certificate","1994","66 und älter","","","",""
"(2c_voc) vocational maturity certificate","1994","16-34 Jahre alt","304","0.0778401067047152","0.0700977352881872","0.0855824781212433"
"(2c_voc) vocational maturity certificate","1994","35-65 Jahre alt","183","0.0313897391849916","0.0271611704999942","0.0356183078699889"
"(2c_voc) vocational maturity certificate","1994","66 und älter","37","0.0266500452360292","0.018531921300061","0.0347681691719975"
"(3a) lower tertiary education","1994","16-34 Jahre alt","221","0.0493049054621676","0.0430483562219492","0.055561454702386"
"(3a) lower tertiary education","1994","35-65 Jahre alt","548","0.0684207622930971","0.0622982613936315","0.0745432631925626"
"(3a) lower tertiary education","1994","66 und älter","83","0.0412757351753435","0.0312488402525598","0.0513026300981272"
"(3b) higher tertiary education","1994","16-34 Jahre alt","198","0.0567300950183808","0.0500452103352202","0.0634149797015414"
"(3b) higher tertiary education","1994","35-65 Jahre alt","557","0.0928398911533554","0.0858021338438329","0.099877648462878"
"(3b) higher tertiary education","1994","66 und älter","49","0.0331706430657265","0.0241440460244148","0.0421972401070382"
"(0) in school","1995","16-34 Jahre alt","265","0.0561556900844123","0.0495836475249882","0.0627277326438364"
"(0) in school","1995","35-65 Jahre alt","","","",""
"(0) in school","1995","66 und älter","","","",""
"(1a) inadequately completed","1995","16-34 Jahre alt","158","0.0221036054111014","0.0179066796807862","0.0263005311414166"
"(1a) inadequately completed","1995","35-65 Jahre alt","423","0.0259164203694792","0.0221299731224337","0.0297028676165246"
"(1a) inadequately completed","1995","66 und älter","38","0.00726532919609511","0.00302920497999999","0.0115014534121902"
"(1b) general elementary school","1995","16-34 Jahre alt","558","0.0962595296508","0.0878398215580831","0.104679237743517"
"(1b) general elementary school","1995","35-65 Jahre alt","1041","0.146181561313442","0.137762273535236","0.154600849091648"
"(1b) general elementary school","1995","66 und älter","464","0.307129365218611","0.284119652744345","0.330139077692876"
"(1c) basic vocational qualification","1995","16-34 Jahre alt","942","0.203901100942442","0.192399809755725","0.215402392129159"
"(1c) basic vocational qualification","1995","35-65 Jahre alt","2511","0.41771081426288","0.405957684981605","0.429463943544155"
"(1c) basic vocational qualification","1995","66 und älter","655","0.414528354385958","0.389955562771672","0.439101146000245"
"(2b) intermediate general qualification","1995","16-34 Jahre alt","376","0.0724671617616232","0.0650661929318034","0.0798681305914431"
"(2b) intermediate general qualification","1995","35-65 Jahre alt","66","0.0124971690343605","0.00984975852675159","0.0151445795419694"
"(2b) intermediate general qualification","1995","66 und älter","35","0.0265960458035435","0.0185704084430071","0.0346216831640799"
"(2a) intermediate vocational","1995","16-34 Jahre alt","1274","0.266660091550805","0.254036440708829","0.279283742392781"
"(2a) intermediate vocational","1995","35-65 Jahre alt","1217","0.175705559319131","0.166636124407527","0.184774994230735"
"(2a) intermediate vocational","1995","66 und älter","158","0.130657617547148","0.113846861844193","0.147468373250104"
"(2c_gen) general maturity certificate","1995","16-34 Jahre alt","385","0.0873799783809088","0.0793186935846325","0.0954412631771851"
"(2c_gen) general maturity certificate","1995","35-65 Jahre alt","79","0.0113912176645938","0.00886224812250791","0.0139201872066796"
"(2c_gen) general maturity certificate","1995","66 und älter","","","",""
"(2c_voc) vocational maturity certificate","1995","16-34 Jahre alt","324","0.0864156383233183","0.0783947254009972","0.0944365512456393"
"(2c_voc) vocational maturity certificate","1995","35-65 Jahre alt","248","0.0394426995233309","0.0348040533606977","0.0440813456859642"
"(2c_voc) vocational maturity certificate","1995","66 und älter","34","0.0237221396219525","0.0161313301260394","0.0313129491178656"
"(3a) lower tertiary education","1995","16-34 Jahre alt","210","0.0477683420484399","0.0416800609764195","0.0538566231204603"
"(3a) lower tertiary education","1995","35-65 Jahre alt","566","0.0697664218095492","0.0636953478690559","0.0758374957500424"
"(3a) lower tertiary education","1995","66 und älter","90","0.043500834607315","0.0333262769912443","0.0536753922233857"
"(3b) higher tertiary education","1995","16-34 Jahre alt","222","0.0608888618461495","0.0540626348543676","0.0677150888379313"
"(3b) higher tertiary education","1995","35-65 Jahre alt","612","0.101191435994136","0.0940043676960106","0.108378504292261"
"(3b) higher tertiary education","1995","66 und älter","63","0.0424924879349067","0.0324312454073992","0.0525537304624142"
"(0) in school","1996","16-34 Jahre alt","287","0.0648065091796072","0.0576303693990254","0.0719826489601891"
"(0) in school","1996","35-65 Jahre alt","","","",""
"(0) in school","1996","66 und älter","","","",""
"(1a) inadequately completed","1996","16-34 Jahre alt","129","0.0191764014523709","0.0151787047017867","0.0231740982029552"
"(1a) inadequately completed","1996","35-65 Jahre alt","383","0.0270675511016319","0.02317742918868","0.0309576730145839"
"(1a) inadequately completed","1996","66 und älter","47","0.0114437141362347","0.00617750873620822","0.0167099195362611"
"(1b) general elementary school","1996","16-34 Jahre alt","521","0.0885444986640134","0.0802635638788766","0.0968254334491502"
"(1b) general elementary school","1996","35-65 Jahre alt","996","0.140484374733498","0.132154503561558","0.148814245905438"
"(1b) general elementary school","1996","66 und älter","447","0.296563514841168","0.27394912377931","0.319177905903025"
"(1c) basic vocational qualification","1996","16-34 Jahre alt","913","0.208338766815297","0.196500569582398","0.220176964048196"
"(1c) basic vocational qualification","1996","35-65 Jahre alt","2428","0.408805003007443","0.397020239779897","0.420589766234989"
"(1c) basic vocational qualification","1996","66 und älter","682","0.421623371013794","0.397173233910335","0.446073508117252"
"(2b) intermediate general qualification","1996","16-34 Jahre alt","368","0.0736753172741322","0.0660602549329611","0.0812903796153034"
"(2b) intermediate general qualification","1996","35-65 Jahre alt","68","0.0126423352000842","0.00996410263303387","0.0153205677671346"
"(2b) intermediate general qualification","1996","66 und älter","36","0.026888729771276","0.018879698538582","0.03489776100397"
"(2a) intermediate vocational","1996","16-34 Jahre alt","1199","0.262371080159341","0.24954754440886","0.275194615909822"
"(2a) intermediate vocational","1996","35-65 Jahre alt","1302","0.187419249453406","0.178064379653953","0.196774119252859"
"(2a) intermediate vocational","1996","66 und älter","153","0.12728898833928","0.11078669745484","0.14379127922372"
"(2c_gen) general maturity certificate","1996","16-34 Jahre alt","355","0.0836365543676039","0.075566754169326","0.0917063545658819"
"(2c_gen) general maturity certificate","1996","35-65 Jahre alt","77","0.011839175962553","0.00924635852384686","0.0144319934012592"
"(2c_gen) general maturity certificate","1996","66 und älter","","","",""
"(2c_voc) vocational maturity certificate","1996","16-34 Jahre alt","323","0.0941589328497617","0.0856458354086436","0.10267203029088"
"(2c_voc) vocational maturity certificate","1996","35-65 Jahre alt","246","0.0410544096012096","0.0362980544660657","0.0458107647363535"
"(2c_voc) vocational maturity certificate","1996","66 und älter","35","0.0224399608296221","0.0151067130385608","0.0297732086206834"
"(3a) lower tertiary education","1996","16-34 Jahre alt","204","0.0462524729254392","0.0401301669761253","0.0523747788747531"
"(3a) lower tertiary education","1996","35-65 Jahre alt","580","0.071625485572911","0.0654440011423729","0.0778069700034491"
"(3a) lower tertiary education","1996","66 und älter","92","0.0451981420770971","0.0349125212097036","0.0554837629444907"
"(3b) higher tertiary education","1996","16-34 Jahre alt","222","0.059039466312433","0.052168975657967","0.0659099569668989"
"(3b) higher tertiary education","1996","35-65 Jahre alt","605","0.0990624153672638","0.0919009945544965","0.106223836180031"
"(3b) higher tertiary education","1996","66 und älter","67","0.0441973635412612","0.0340209232998524","0.0543738037826701"
"(0) in school","1997","16-34 Jahre alt","313","0.0682442321256857","0.0607609988958665","0.0757274653555049"
"(0) in school","1997","35-65 Jahre alt","","","",""
"(0) in school","1997","66 und älter","","","",""
"(1a) inadequately completed","1997","16-34 Jahre alt","108","0.0171576441589564","0.0133039608606823","0.0210113274572305"
"(1a) inadequately completed","1997","35-65 Jahre alt","367","0.0277673617340031","0.0238010038416323","0.0317337196263739"
"(1a) inadequately completed","1997","66 und älter","50","0.0133149480122506","0.00770044347664105","0.0189294525478601"
"(1b) general elementary school","1997","16-34 Jahre alt","519","0.0945721333648041","0.0858882539976535","0.103256012731955"
"(1b) general elementary school","1997","35-65 Jahre alt","935","0.133912145479841","0.125691035654823","0.142133255304859"
"(1b) general elementary school","1997","66 und älter","447","0.2955428840162","0.273192244256443","0.317893523775957"
"(1c) basic vocational qualification","1997","16-34 Jahre alt","837","0.188788042231584","0.177174634503471","0.200401449959698"
"(1c) basic vocational qualification","1997","35-65 Jahre alt","2372","0.410071834576351","0.398198600549352","0.421945068603351"
"(1c) basic vocational qualification","1997","66 und älter","708","0.42612858881273","0.401905470193398","0.450351707432063"
"(2b) intermediate general qualification","1997","16-34 Jahre alt","376","0.0780450850886341","0.0700847219212819","0.0860054482559863"
"(2b) intermediate general qualification","1997","35-65 Jahre alt","70","0.0133469727866007","0.0105767601531718","0.0161171854200296"
"(2b) intermediate general qualification","1997","66 und älter","32","0.025048243192518","0.0173934647744839","0.0327030216105522"
"(2a) intermediate vocational","1997","16-34 Jahre alt","1132","0.263920099046344","0.250840212626145","0.276999985466543"
"(2a) intermediate vocational","1997","35-65 Jahre alt","1330","0.189257531713585","0.179801530071481","0.19871353335569"
"(2a) intermediate vocational","1997","66 und älter","152","0.122819871843834","0.106741904684002","0.138897839003666"
"(2c_gen) general maturity certificate","1997","16-34 Jahre alt","350","0.0890088268137839","0.0805583953595407","0.0974592582680272"
"(2c_gen) general maturity certificate","1997","35-65 Jahre alt","75","0.011776249226167","0.0091720714429773","0.0143804270093568"
"(2c_gen) general maturity certificate","1997","66 und älter","","","",""
"(2c_voc) vocational maturity certificate","1997","16-34 Jahre alt","320","0.096770458440486","0.0879969009473541","0.105544015933618"
"(2c_voc) vocational maturity certificate","1997","35-65 Jahre alt","242","0.0422093829220243","0.0373556119247885","0.0470631539192601"
"(2c_voc) vocational maturity certificate","1997","66 und älter","35","0.0216601242264917","0.0145294963253972","0.0287907521275862"
"(3a) lower tertiary education","1997","16-34 Jahre alt","193","0.0475433109431402","0.0412283220657519","0.0538582998205286"
"(3a) lower tertiary education","1997","35-65 Jahre alt","589","0.0737483465120311","0.0674390616862548","0.0800576313378075"
"(3a) lower tertiary education","1997","66 und älter","96","0.0459422434705809","0.0356870027749619","0.0561974841661999"
"(3b) higher tertiary education","1997","16-34 Jahre alt","214","0.0559501677865811","0.049129868750512","0.0627704668226503"
"(3b) higher tertiary education","1997","35-65 Jahre alt","612","0.0979101750493962","0.09073589546456","0.105084454634232"
"(3b) higher tertiary education","1997","66 und älter","71","0.0444549092884437","0.0343591756911422","0.0545506428857451"
"(0) in school","1998","16-34 Jahre alt","331","0.0717663406083683","0.064254463011926","0.0792782182048105"
"(0) in school","1998","35-65 Jahre alt","","","",""
"(0) in school","1998","66 und älter","","","",""
"(1a) inadequately completed","1998","16-34 Jahre alt","97","0.0156424367358472","0.0120309328192367","0.0192539406524577"
"(1a) inadequately completed","1998","35-65 Jahre alt","345","0.028618254872875","0.0247882533753789","0.0324482563703711"
"(1a) inadequately completed","1998","66 und älter","54","0.0150124813668487","0.00940107877044872","0.0206238839632487"
"(1b) general elementary school","1998","16-34 Jahre alt","522","0.0965260461135654","0.0879311719567773","0.105120920270354"
"(1b) general elementary school","1998","35-65 Jahre alt","1006","0.12888338932092","0.121186432980325","0.136580345661515"
"(1b) general elementary school","1998","66 und älter","528","0.303383956888142","0.282169942155994","0.324597971620291"
"(1c) basic vocational qualification","1998","16-34 Jahre alt","812","0.169816467114832","0.158888574883909","0.180744359345755"
"(1c) basic vocational qualification","1998","35-65 Jahre alt","2605","0.394924782826792","0.383695700186323","0.406153865467261"
"(1c) basic vocational qualification","1998","66 und älter","775","0.417440775104867","0.394684703043534","0.440196847166199"
"(2b) intermediate general qualification","1998","16-34 Jahre alt","414","0.0811248232085989","0.0731785299869969","0.0890711164302009"
"(2b) intermediate general qualification","1998","35-65 Jahre alt","80","0.0133225797122408","0.0106888927131631","0.0159562667113185"
"(2b) intermediate general qualification","1998","66 und älter","45","0.0287678588635622","0.0210544719411803","0.0364812457859442"
"(2a) intermediate vocational","1998","16-34 Jahre alt","1174","0.263116434466206","0.250301013745003","0.275931855187409"
"(2a) intermediate vocational","1998","35-65 Jahre alt","1525","0.200197605532749","0.191005749983579","0.20938946108192"
"(2a) intermediate vocational","1998","66 und älter","164","0.113002875646702","0.0983933647051098","0.127612386588294"
"(2c_gen) general maturity certificate","1998","16-34 Jahre alt","389","0.0965789635094996","0.0879819855175623","0.105175941501437"
"(2c_gen) general maturity certificate","1998","35-65 Jahre alt","85","0.0122947862026987","0.00976341074587685","0.0148261616595206"
"(2c_gen) general maturity certificate","1998","66 und älter","","","",""
"(2c_voc) vocational maturity certificate","1998","16-34 Jahre alt","352","0.101051774231252","0.0922797715313767","0.109823776931127"
"(2c_voc) vocational maturity certificate","1998","35-65 Jahre alt","284","0.0422508639088808","0.0376299690968613","0.0468717587209002"
"(2c_voc) vocational maturity certificate","1998","66 und älter","38","0.0232791883349163","0.016320955415851","0.0302374212539816"
"(3a) lower tertiary education","1998","16-34 Jahre alt","217","0.051141961039336","0.0447306218371204","0.0575533002415515"
"(3a) lower tertiary education","1998","35-65 Jahre alt","646","0.07816066312992","0.0719946543715097","0.0843266718883303"
"(3a) lower tertiary education","1998","66 und älter","104","0.0452882192971705","0.0356929186343","0.0548835199600411"
"(3b) higher tertiary education","1998","16-34 Jahre alt","227","0.0532347529724944","0.04670076665319","0.0597687392917989"
"(3b) higher tertiary education","1998","35-65 Jahre alt","702","0.10101633516911","0.0940939763714342","0.107938693966786"
"(3b) higher tertiary education","1998","66 und älter","83","0.0473949277923528","0.0375898238437037","0.057200031741002"
"(0) in school","1999","16-34 Jahre alt","319","0.0739106176104432","0.0661305557360825","0.0816906794848039"
"(0) in school","1999","35-65 Jahre alt","","","",""
"(0) in school","1999","66 und älter","","","",""
"(1a) inadequately completed","1999","16-34 Jahre alt","90","0.0162780267757279","0.0125149745294223","0.0200410790220335"
"(1a) inadequately completed","1999","35-65 Jahre alt","322","0.027475574809805","0.0237052994415393","0.0312458501780706"
"(1a) inadequately completed","1999","66 und älter","64","0.019535161113031","0.0131769212494302","0.0258934009766318"
"(1b) general elementary school","1999","16-34 Jahre alt","497","0.094380564677546","0.0856866107264249","0.103074518628667"
"(1b) general elementary school","1999","35-65 Jahre alt","933","0.119177265553791","0.111704344667183","0.126650186440399"
"(1b) general elementary school","1999","66 und älter","529","0.295991363014032","0.275019311783495","0.316963414244569"
"(1c) basic vocational qualification","1999","16-34 Jahre alt","775","0.176714353963215","0.165371708222593","0.188056999703837"
"(1c) basic vocational qualification","1999","35-65 Jahre alt","2560","0.396477851708955","0.385195347853691","0.407760355564219"
"(1c) basic vocational qualification","1999","66 und älter","777","0.414669176461204","0.39203503783426","0.437303315088148"
"(2b) intermediate general qualification","1999","16-34 Jahre alt","412","0.0901791144236129","0.081661183440386","0.0986970454068397"
"(2b) intermediate general qualification","1999","35-65 Jahre alt","86","0.0136986164140896","0.011017642476575","0.0163795903516042"
"(2b) intermediate general qualification","1999","66 und älter","38","0.0252224193979962","0.0180186710251778","0.0324261677708146"
"(2a) intermediate vocational","1999","16-34 Jahre alt","1113","0.254762392248818","0.241804981579625","0.267719802918012"
"(2a) intermediate vocational","1999","35-65 Jahre alt","1586","0.206944357777815","0.19760046076172","0.216288254793909"
"(2a) intermediate vocational","1999","66 und älter","158","0.108571697354958","0.0942790091361944","0.122864385573723"
"(2c_gen) general maturity certificate","1999","16-34 Jahre alt","386","0.0987195777699125","0.0898493495057456","0.107589806034079"
"(2c_gen) general maturity certificate","1999","35-65 Jahre alt","82","0.0121248994039513","0.00960060787340447","0.0146491909344981"
"(2c_gen) general maturity certificate","1999","66 und älter","","","",""
"(2c_voc) vocational maturity certificate","1999","16-34 Jahre alt","335","0.0960500158625313","0.0872875950958266","0.104812436629236"
"(2c_voc) vocational maturity certificate","1999","35-65 Jahre alt","296","0.0454989509965295","0.0406923473071356","0.0503055546859234"
"(2c_voc) vocational maturity certificate","1999","66 und älter","42","0.0282723748284666","0.020657446559464","0.0358873030974692"
"(3a) lower tertiary education","1999","16-34 Jahre alt","195","0.0444022380863393","0.038276715080596","0.0505277610920825"
"(3a) lower tertiary education","1999","35-65 Jahre alt","649","0.0774169732032846","0.071252865157557","0.0835810812490122"
"(3a) lower tertiary education","1999","66 und älter","110","0.0512334500941619","0.0411043962303442","0.0613625039579796"
"(3b) higher tertiary education","1999","16-34 Jahre alt","222","0.0546030985818532","0.0478466431826646","0.0613595539810419"
"(3b) higher tertiary education","1999","35-65 Jahre alt","705","0.10084814667922","0.0939027044844824","0.107793588873957"
"(3b) higher tertiary education","1999","66 und älter","90","0.0495749422865762","0.0396024790354028","0.0595474055377497"
"(0) in school","2000","16-34 Jahre alt","490","0.0632502444277819","0.0576030447911182","0.0688974440644457"
"(0) in school","2000","35-65 Jahre alt","","","",""
"(0) in school","2000","66 und älter","","","",""
"(1a) inadequately completed","2000","16-34 Jahre alt","76","0.0112932317263933","0.0088417248487004","0.0137447386040863"
"(1a) inadequately completed","2000","35-65 Jahre alt","273","0.0187181438351963","0.0164278084695471","0.0210084792008454"
"(1a) inadequately completed","2000","66 und älter","77","0.0195882040850213","0.0150782108830515","0.0240981972869911"
"(1b) general elementary school","2000","16-34 Jahre alt","712","0.0933469109113245","0.0865975789252658","0.100096242897383"
"(1b) general elementary school","2000","35-65 Jahre alt","1298","0.0934142646171963","0.0884963402548616","0.098332188979531"
"(1b) general elementary school","2000","66 und älter","884","0.245782068268373","0.231770142195218","0.259793994341527"
"(1c) basic vocational qualification","2000","16-34 Jahre alt","1194","0.171212563435543","0.162473203286113","0.179951923584973"
"(1c) basic vocational qualification","2000","35-65 Jahre alt","4974","0.385836027186259","0.377609541209756","0.394062513162763"
"(1c) basic vocational qualification","2000","66 und älter","1679","0.44794511417856","0.431761413250052","0.464128815107069"
"(2b) intermediate general qualification","2000","16-34 Jahre alt","588","0.074107653030927","0.0680304741546739","0.0801848319071802"
"(2b) intermediate general qualification","2000","35-65 Jahre alt","104","0.00857490761874251","0.00701673530683529","0.0101330799306497"
"(2b) intermediate general qualification","2000","66 und älter","43","0.0140592257728926","0.0102276234349252","0.01789082811086"
"(2a) intermediate vocational","2000","16-34 Jahre alt","1963","0.270817119692823","0.260507407730562","0.281126831655085"
"(2a) intermediate vocational","2000","35-65 Jahre alt","3245","0.229316116884912","0.222211736072349","0.236420497697476"
"(2a) intermediate vocational","2000","66 und älter","366","0.114429161757765","0.104069291299939","0.124789032215591"
"(2c_gen) general maturity certificate","2000","16-34 Jahre alt","699","0.0976998769287628","0.0908115657314797","0.104588188126046"
"(2c_gen) general maturity certificate","2000","35-65 Jahre alt","119","0.00990404396438999","0.00823058245500187","0.0115775054737781"
"(2c_gen) general maturity certificate","2000","66 und älter","","","",""
"(2c_voc) vocational maturity certificate","2000","16-34 Jahre alt","654","0.105589053305697","0.0984594027621408","0.112718703849252"
"(2c_voc) vocational maturity certificate","2000","35-65 Jahre alt","774","0.0618536799641948","0.0577827946659455","0.0659245652624441"
"(2c_voc) vocational maturity certificate","2000","66 und älter","140","0.0415021974121619","0.0350112899155624","0.0479931049087615"
"(3a) lower tertiary education","2000","16-34 Jahre alt","330","0.0467884818617594","0.0418889525482285","0.0516880111752903"
"(3a) lower tertiary education","2000","35-65 Jahre alt","1166","0.0812886400267528","0.0766704130180777","0.0859068670354279"
"(3a) lower tertiary education","2000","66 und älter","210","0.0539317135565059","0.0465805232623104","0.0612829038507015"
"(3b) higher tertiary education","2000","16-34 Jahre alt","431","0.0658948646789879","0.0601389558313116","0.0716507735266643"
"(3b) higher tertiary education","2000","35-65 Jahre alt","1491","0.110753225168948","0.10544975482156","0.116056695516337"
"(3b) higher tertiary education","2000","66 und älter","210","0.0573181291755254","0.0497532343540512","0.0648830239969995"
"(0) in school","2001","16-34 Jahre alt","550","0.0774435839257278","0.0708046576416467","0.0840825102098089"
"(0) in school","2001","35-65 Jahre alt","","","",""
"(0) in school","2001","66 und älter","","","",""
"(1a) inadequately completed","2001","16-34 Jahre alt","58","0.0103273426146979","0.00781633091273898","0.0128383543166569"
"(1a) inadequately completed","2001","35-65 Jahre alt","199","0.0141291230494091","0.0120428597938011","0.0162153863050171"
"(1a) inadequately completed","2001","66 und älter","67","0.0182681627931882","0.0137877469363781","0.0227485786499983"
"(1b) general elementary school","2001","16-34 Jahre alt","623","0.0947574670618947","0.0874830557180484","0.102031878405741"
"(1b) general elementary school","2001","35-65 Jahre alt","1091","0.0879223469209361","0.0829166214221161","0.092928072419756"
"(1b) general elementary school","2001","66 und älter","784","0.233967982472752","0.21980430177718","0.248131663168324"
"(1c) basic vocational qualification","2001","16-34 Jahre alt","942","0.157330383836882","0.148286736325781","0.166374031347983"
"(1c) basic vocational qualification","2001","35-65 Jahre alt","4415","0.376867618540393","0.36830146097735","0.385433776103435"
"(1c) basic vocational qualification","2001","66 und älter","1597","0.447544971223869","0.430909264409757","0.464180678037982"
"(2b) intermediate general qualification","2001","16-34 Jahre alt","539","0.0788494703943224","0.0721556608480484","0.0855432799405963"
"(2b) intermediate general qualification","2001","35-65 Jahre alt","85","0.00758037844055025","0.00604719329932363","0.00911356358177687"
"(2b) intermediate general qualification","2001","66 und älter","37","0.0127911769862547","0.00903164123093966","0.0165507127415698"
"(2a) intermediate vocational","2001","16-34 Jahre alt","1660","0.260128740593842","0.249232394074421","0.271025087113263"
"(2a) intermediate vocational","2001","35-65 Jahre alt","3110","0.238533678253165","0.231000093313169","0.246067263193161"
"(2a) intermediate vocational","2001","66 und älter","367","0.118327702029648","0.107521545243527","0.12913385881577"
"(2c_gen) general maturity certificate","2001","16-34 Jahre alt","669","0.105012258027142","0.0973978315040221","0.112626684550263"
"(2c_gen) general maturity certificate","2001","35-65 Jahre alt","112","0.0104076744064142","0.00861374026775666","0.0122016085450717"
"(2c_gen) general maturity certificate","2001","66 und älter","","","",""
"(2c_voc) vocational maturity certificate","2001","16-34 Jahre alt","552","0.10077143151792","0.0932946890797246","0.108248173956116"
"(2c_voc) vocational maturity certificate","2001","35-65 Jahre alt","772","0.0671888693616875","0.0627635255952408","0.0716142131281341"
"(2c_voc) vocational maturity certificate","2001","66 und älter","140","0.0462694565212813","0.0392414121258746","0.0532975009166881"
"(3a) lower tertiary education","2001","16-34 Jahre alt","274","0.0477202641199913","0.0424255520369538","0.0530149762030288"
"(3a) lower tertiary education","2001","35-65 Jahre alt","1111","0.083782012243705","0.0788844914679346","0.0886795330194754"
"(3a) lower tertiary education","2001","66 und älter","215","0.0567455369426382","0.049005291351017","0.0644857825342595"
"(3b) higher tertiary education","2001","16-34 Jahre alt","360","0.0676590579075793","0.0614208620024329","0.0738972538127256"
"(3b) higher tertiary education","2001","35-65 Jahre alt","1398","0.113561882743972","0.107953443881482","0.119170321606462"
"(3b) higher tertiary education","2001","66 und älter","210","0.0598606351931922","0.0519239120577461","0.0677973583286384"
"(0) in school","2002","16-34 Jahre alt","618","0.0824001472601123","0.075462118438747","0.0893381760814776"
"(0) in school","2002","35-65 Jahre alt","","","",""
"(0) in school","2002","66 und älter","","","",""
"(1a) inadequately completed","2002","16-34 Jahre alt","51","0.0103661059823955","0.00781051974307185","0.0129216922217192"
"(1a) inadequately completed","2002","35-65 Jahre alt","177","0.0142696515674503","0.0122541103096057","0.0162851928252949"
"(1a) inadequately completed","2002","66 und älter","68","0.0179631185582499","0.013641273239213","0.0222849638772868"
"(1b) general elementary school","2002","16-34 Jahre alt","537","0.098133694270783","0.0906273998796573","0.105639988661909"
