"pgcasmin","year","bildungsniveau","migback","n","percent","lower_confidence","upper_confidence"
"(2c_gen) general maturity certificate","1984","Realschulabschluss","kein Migrationshintergrund","","","",""
"(2c_gen) general maturity certificate","1984","Realschulabschluss","direkter Migrationshintergrund","","","",""
"(2c_gen) general maturity certificate","1984","Realschulabschluss","indirekter Migrationshintergrund","","","",""
"(2c_gen) general maturity certificate","1984","(Fach-)Abitur","kein Migrationshintergrund","280","0.46230456756304","0.422040030573456","0.502569104552623"
"(2c_gen) general maturity certificate","1984","(Fach-)Abitur","direkter Migrationshintergrund","129","0.418655508369032","0.360347671527889","0.476963345210175"
"(2c_gen) general maturity certificate","1984","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"(2c_gen) general maturity certificate","1984","AkademikerInnen","kein Migrationshintergrund","","","",""
"(2c_gen) general maturity certificate","1984","AkademikerInnen","direkter Migrationshintergrund","","","",""
"(2c_gen) general maturity certificate","1984","AkademikerInnen","indirekter Migrationshintergrund","","","",""
"(2c_voc) vocational maturity certificate","1984","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"(2c_voc) vocational maturity certificate","1984","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"(2c_voc) vocational maturity certificate","1984","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"(2c_voc) vocational maturity certificate","1984","Hauptschulabschluss","kein Migrationshintergrund","","","",""
"(2c_voc) vocational maturity certificate","1984","Hauptschulabschluss","direkter Migrationshintergrund","","","",""
"(2c_voc) vocational maturity certificate","1984","Hauptschulabschluss","indirekter Migrationshintergrund","","","",""
"(2c_voc) vocational maturity certificate","1984","Realschulabschluss","kein Migrationshintergrund","","","",""
"(2c_voc) vocational maturity certificate","1984","Realschulabschluss","direkter Migrationshintergrund","","","",""
"(2c_voc) vocational maturity certificate","1984","Realschulabschluss","indirekter Migrationshintergrund","","","",""
"(2c_voc) vocational maturity certificate","1984","(Fach-)Abitur","kein Migrationshintergrund","309","0.53769543243696","0.497430895447377","0.577959969426543"
"(2c_voc) vocational maturity certificate","1984","(Fach-)Abitur","direkter Migrationshintergrund","146","0.581344491630968","0.523036654789825","0.639652328472111"
"(2c_voc) vocational maturity certificate","1984","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"(2c_voc) vocational maturity certificate","1984","AkademikerInnen","kein Migrationshintergrund","","","",""
"(2c_voc) vocational maturity certificate","1984","AkademikerInnen","direkter Migrationshintergrund","","","",""
"(2c_voc) vocational maturity certificate","1984","AkademikerInnen","indirekter Migrationshintergrund","","","",""
"(3a) lower tertiary education","1984","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"(3a) lower tertiary education","1984","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"(3a) lower tertiary education","1984","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"(3a) lower tertiary education","1984","Hauptschulabschluss","kein Migrationshintergrund","","","",""
"(3a) lower tertiary education","1984","Hauptschulabschluss","direkter Migrationshintergrund","","","",""
"(3a) lower tertiary education","1984","Hauptschulabschluss","indirekter Migrationshintergrund","","","",""
"(3a) lower tertiary education","1984","Realschulabschluss","kein Migrationshintergrund","","","",""
"(3a) lower tertiary education","1984","Realschulabschluss","direkter Migrationshintergrund","","","",""
"(3a) lower tertiary education","1984","Realschulabschluss","indirekter Migrationshintergrund","","","",""
"(3a) lower tertiary education","1984","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"(3a) lower tertiary education","1984","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"(3a) lower tertiary education","1984","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"(3a) lower tertiary education","1984","AkademikerInnen","kein Migrationshintergrund","243","0.367523820482553","0.330962262587331","0.404085378377775"
"(3a) lower tertiary education","1984","AkademikerInnen","direkter Migrationshintergrund","","","",""
"(3a) lower tertiary education","1984","AkademikerInnen","indirekter Migrationshintergrund","","","",""
"(3b) higher tertiary education","1984","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"(3b) higher tertiary education","1984","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"(3b) higher tertiary education","1984","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"(3b) higher tertiary education","1984","Hauptschulabschluss","kein Migrationshintergrund","","","",""
"(3b) higher tertiary education","1984","Hauptschulabschluss","direkter Migrationshintergrund","","","",""
"(3b) higher tertiary education","1984","Hauptschulabschluss","indirekter Migrationshintergrund","","","",""
"(3b) higher tertiary education","1984","Realschulabschluss","kein Migrationshintergrund","","","",""
"(3b) higher tertiary education","1984","Realschulabschluss","direkter Migrationshintergrund","","","",""
"(3b) higher tertiary education","1984","Realschulabschluss","indirekter Migrationshintergrund","","","",""
"(3b) higher tertiary education","1984","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"(3b) higher tertiary education","1984","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"(3b) higher tertiary education","1984","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"(3b) higher tertiary education","1984","AkademikerInnen","kein Migrationshintergrund","425","0.632476179517447","0.595914621622225","0.669037737412669"
"(3b) higher tertiary education","1984","AkademikerInnen","direkter Migrationshintergrund","100","0.701095758307908","0.619864555398164","0.782326961217652"
"(3b) higher tertiary education","1984","AkademikerInnen","indirekter Migrationshintergrund","","","",""
"(0) in school","1985","(noch) kein Abschluss","kein Migrationshintergrund","155","0.670246620366035","0.608954334917703","0.731538905814366"
"(0) in school","1985","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"(0) in school","1985","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"(0) in school","1985","Hauptschulabschluss","kein Migrationshintergrund","","","",""
"(0) in school","1985","Hauptschulabschluss","direkter Migrationshintergrund","","","",""
"(0) in school","1985","Hauptschulabschluss","indirekter Migrationshintergrund","","","",""
"(0) in school","1985","Realschulabschluss","kein Migrationshintergrund","","","",""
"(0) in school","1985","Realschulabschluss","direkter Migrationshintergrund","","","",""
"(0) in school","1985","Realschulabschluss","indirekter Migrationshintergrund","","","",""
"(0) in school","1985","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"(0) in school","1985","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"(0) in school","1985","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"(0) in school","1985","AkademikerInnen","kein Migrationshintergrund","","","",""
"(0) in school","1985","AkademikerInnen","direkter Migrationshintergrund","","","",""
"(0) in school","1985","AkademikerInnen","indirekter Migrationshintergrund","","","",""
"(1a) inadequately completed","1985","(noch) kein Abschluss","kein Migrationshintergrund","71","0.329753379633965","0.268461094185634","0.391045665082297"
"(1a) inadequately completed","1985","(noch) kein Abschluss","direkter Migrationshintergrund","839","0.951346152353666","0.936983907166919","0.965708397540413"
"(1a) inadequately completed","1985","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"(1a) inadequately completed","1985","Hauptschulabschluss","kein Migrationshintergrund","","","",""
"(1a) inadequately completed","1985","Hauptschulabschluss","direkter Migrationshintergrund","","","",""
"(1a) inadequately completed","1985","Hauptschulabschluss","indirekter Migrationshintergrund","","","",""
"(1a) inadequately completed","1985","Realschulabschluss","kein Migrationshintergrund","","","",""
"(1a) inadequately completed","1985","Realschulabschluss","direkter Migrationshintergrund","","","",""
"(1a) inadequately completed","1985","Realschulabschluss","indirekter Migrationshintergrund","","","",""
"(1a) inadequately completed","1985","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"(1a) inadequately completed","1985","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"(1a) inadequately completed","1985","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"(1a) inadequately completed","1985","AkademikerInnen","kein Migrationshintergrund","","","",""
"(1a) inadequately completed","1985","AkademikerInnen","direkter Migrationshintergrund","","","",""
"(1a) inadequately completed","1985","AkademikerInnen","indirekter Migrationshintergrund","","","",""
"(1b) general elementary school","1985","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"(1b) general elementary school","1985","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"(1b) general elementary school","1985","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"(1b) general elementary school","1985","Hauptschulabschluss","kein Migrationshintergrund","1716","0.366754128612997","0.353213596610793","0.380294660615201"
"(1b) general elementary school","1985","Hauptschulabschluss","direkter Migrationshintergrund","877","0.492611748479576","0.467503250961716","0.517720245997437"
"(1b) general elementary school","1985","Hauptschulabschluss","indirekter Migrationshintergrund","41","0.373706066453953","0.269627039981223","0.477785092926683"
"(1b) general elementary school","1985","Realschulabschluss","kein Migrationshintergrund","","","",""
"(1b) general elementary school","1985","Realschulabschluss","direkter Migrationshintergrund","","","",""
"(1b) general elementary school","1985","Realschulabschluss","indirekter Migrationshintergrund","","","",""
"(1b) general elementary school","1985","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"(1b) general elementary school","1985","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"(1b) general elementary school","1985","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"(1b) general elementary school","1985","AkademikerInnen","kein Migrationshintergrund","","","",""
"(1b) general elementary school","1985","AkademikerInnen","direkter Migrationshintergrund","","","",""
"(1b) general elementary school","1985","AkademikerInnen","indirekter Migrationshintergrund","","","",""
"(1c) basic vocational qualification","1985","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"(1c) basic vocational qualification","1985","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"(1c) basic vocational qualification","1985","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"(1c) basic vocational qualification","1985","Hauptschulabschluss","kein Migrationshintergrund","3150","0.633245871387003","0.619705339384799","0.646786403389207"
"(1c) basic vocational qualification","1985","Hauptschulabschluss","direkter Migrationshintergrund","646","0.507388251520424","0.482279754002563","0.532496749038285"
"(1c) basic vocational qualification","1985","Hauptschulabschluss","indirekter Migrationshintergrund","42","0.626293933546047","0.522214907073317","0.730372960018777"
"(1c) basic vocational qualification","1985","Realschulabschluss","kein Migrationshintergrund","","","",""
"(1c) basic vocational qualification","1985","Realschulabschluss","direkter Migrationshintergrund","","","",""
"(1c) basic vocational qualification","1985","Realschulabschluss","indirekter Migrationshintergrund","","","",""
"(1c) basic vocational qualification","1985","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"(1c) basic vocational qualification","1985","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"(1c) basic vocational qualification","1985","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"(1c) basic vocational qualification","1985","AkademikerInnen","kein Migrationshintergrund","","","",""
"(1c) basic vocational qualification","1985","AkademikerInnen","direkter Migrationshintergrund","","","",""
"(1c) basic vocational qualification","1985","AkademikerInnen","indirekter Migrationshintergrund","","","",""
"(2b) intermediate general qualification","1985","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"(2b) intermediate general qualification","1985","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"(2b) intermediate general qualification","1985","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"(2b) intermediate general qualification","1985","Hauptschulabschluss","kein Migrationshintergrund","","","",""
"(2b) intermediate general qualification","1985","Hauptschulabschluss","direkter Migrationshintergrund","","","",""
"(2b) intermediate general qualification","1985","Hauptschulabschluss","indirekter Migrationshintergrund","","","",""
"(2b) intermediate general qualification","1985","Realschulabschluss","kein Migrationshintergrund","403","0.249973782376083","0.229081226513486","0.270866338238679"
"(2b) intermediate general qualification","1985","Realschulabschluss","direkter Migrationshintergrund","53","0.28731452087323","0.211816374182567","0.362812667563893"
"(2b) intermediate general qualification","1985","Realschulabschluss","indirekter Migrationshintergrund","","","",""
"(2b) intermediate general qualification","1985","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"(2b) intermediate general qualification","1985","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"(2b) intermediate general qualification","1985","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"(2b) intermediate general qualification","1985","AkademikerInnen","kein Migrationshintergrund","","","",""
"(2b) intermediate general qualification","1985","AkademikerInnen","direkter Migrationshintergrund","","","",""
"(2b) intermediate general qualification","1985","AkademikerInnen","indirekter Migrationshintergrund","","","",""
"(2a) intermediate vocational","1985","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"(2a) intermediate vocational","1985","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"(2a) intermediate vocational","1985","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"(2a) intermediate vocational","1985","Hauptschulabschluss","kein Migrationshintergrund","","","",""
"(2a) intermediate vocational","1985","Hauptschulabschluss","direkter Migrationshintergrund","","","",""
"(2a) intermediate vocational","1985","Hauptschulabschluss","indirekter Migrationshintergrund","","","",""
"(2a) intermediate vocational","1985","Realschulabschluss","kein Migrationshintergrund","1247","0.750026217623917","0.729133661761321","0.770918773486514"
"(2a) intermediate vocational","1985","Realschulabschluss","direkter Migrationshintergrund","85","0.71268547912677","0.637187332436107","0.788183625817433"
"(2a) intermediate vocational","1985","Realschulabschluss","indirekter Migrationshintergrund","","","",""
"(2a) intermediate vocational","1985","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"(2a) intermediate vocational","1985","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"(2a) intermediate vocational","1985","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"(2a) intermediate vocational","1985","AkademikerInnen","kein Migrationshintergrund","","","",""
"(2a) intermediate vocational","1985","AkademikerInnen","direkter Migrationshintergrund","","","",""
"(2a) intermediate vocational","1985","AkademikerInnen","indirekter Migrationshintergrund","","","",""
"(2c_gen) general maturity certificate","1985","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"(2c_gen) general maturity certificate","1985","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"(2c_gen) general maturity certificate","1985","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"(2c_gen) general maturity certificate","1985","Hauptschulabschluss","kein Migrationshintergrund","","","",""
"(2c_gen) general maturity certificate","1985","Hauptschulabschluss","direkter Migrationshintergrund","","","",""
"(2c_gen) general maturity certificate","1985","Hauptschulabschluss","indirekter Migrationshintergrund","","","",""
"(2c_gen) general maturity certificate","1985","Realschulabschluss","kein Migrationshintergrund","","","",""
"(2c_gen) general maturity certificate","1985","Realschulabschluss","direkter Migrationshintergrund","","","",""
"(2c_gen) general maturity certificate","1985","Realschulabschluss","indirekter Migrationshintergrund","","","",""
"(2c_gen) general maturity certificate","1985","(Fach-)Abitur","kein Migrationshintergrund","260","0.436653567153636","0.395390844576566","0.477916289730705"
"(2c_gen) general maturity certificate","1985","(Fach-)Abitur","direkter Migrationshintergrund","113","0.435545055971508","0.371879972133567","0.499210139809449"
"(2c_gen) general maturity certificate","1985","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"(2c_gen) general maturity certificate","1985","AkademikerInnen","kein Migrationshintergrund","","","",""
"(2c_gen) general maturity certificate","1985","AkademikerInnen","direkter Migrationshintergrund","","","",""
"(2c_gen) general maturity certificate","1985","AkademikerInnen","indirekter Migrationshintergrund","","","",""
"(2c_voc) vocational maturity certificate","1985","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"(2c_voc) vocational maturity certificate","1985","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"(2c_voc) vocational maturity certificate","1985","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"(2c_voc) vocational maturity certificate","1985","Hauptschulabschluss","kein Migrationshintergrund","","","",""
"(2c_voc) vocational maturity certificate","1985","Hauptschulabschluss","direkter Migrationshintergrund","","","",""
"(2c_voc) vocational maturity certificate","1985","Hauptschulabschluss","indirekter Migrationshintergrund","","","",""
"(2c_voc) vocational maturity certificate","1985","Realschulabschluss","kein Migrationshintergrund","","","",""
"(2c_voc) vocational maturity certificate","1985","Realschulabschluss","direkter Migrationshintergrund","","","",""
"(2c_voc) vocational maturity certificate","1985","Realschulabschluss","indirekter Migrationshintergrund","","","",""
"(2c_voc) vocational maturity certificate","1985","(Fach-)Abitur","kein Migrationshintergrund","295","0.563346432846364","0.522083710269295","0.604609155423434"
"(2c_voc) vocational maturity certificate","1985","(Fach-)Abitur","direkter Migrationshintergrund","120","0.564454944028492","0.500789860190551","0.628120027866433"
"(2c_voc) vocational maturity certificate","1985","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"(2c_voc) vocational maturity certificate","1985","AkademikerInnen","kein Migrationshintergrund","","","",""
"(2c_voc) vocational maturity certificate","1985","AkademikerInnen","direkter Migrationshintergrund","","","",""
"(2c_voc) vocational maturity certificate","1985","AkademikerInnen","indirekter Migrationshintergrund","","","",""
"(3a) lower tertiary education","1985","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"(3a) lower tertiary education","1985","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"(3a) lower tertiary education","1985","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"(3a) lower tertiary education","1985","Hauptschulabschluss","kein Migrationshintergrund","","","",""
"(3a) lower tertiary education","1985","Hauptschulabschluss","direkter Migrationshintergrund","","","",""
"(3a) lower tertiary education","1985","Hauptschulabschluss","indirekter Migrationshintergrund","","","",""
"(3a) lower tertiary education","1985","Realschulabschluss","kein Migrationshintergrund","","","",""
"(3a) lower tertiary education","1985","Realschulabschluss","direkter Migrationshintergrund","","","",""
"(3a) lower tertiary education","1985","Realschulabschluss","indirekter Migrationshintergrund","","","",""
"(3a) lower tertiary education","1985","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"(3a) lower tertiary education","1985","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"(3a) lower tertiary education","1985","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"(3a) lower tertiary education","1985","AkademikerInnen","kein Migrationshintergrund","225","0.355851916470976","0.318846089094198","0.392857743847753"
"(3a) lower tertiary education","1985","AkademikerInnen","direkter Migrationshintergrund","","","",""
"(3a) lower tertiary education","1985","AkademikerInnen","indirekter Migrationshintergrund","","","",""
"(3b) higher tertiary education","1985","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"(3b) higher tertiary education","1985","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"(3b) higher tertiary education","1985","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"(3b) higher tertiary education","1985","Hauptschulabschluss","kein Migrationshintergrund","","","",""
"(3b) higher tertiary education","1985","Hauptschulabschluss","direkter Migrationshintergrund","","","",""
"(3b) higher tertiary education","1985","Hauptschulabschluss","indirekter Migrationshintergrund","","","",""
"(3b) higher tertiary education","1985","Realschulabschluss","kein Migrationshintergrund","","","",""
"(3b) higher tertiary education","1985","Realschulabschluss","direkter Migrationshintergrund","","","",""
