"pgcasmin","year","alter_gr","bildungsniveau","n","percent","lower_confidence","upper_confidence"
"(2a) intermediate vocational","1984","16-34 Jahre alt","(Fach-)Abitur","","","",""
"(2a) intermediate vocational","1984","16-34 Jahre alt","AkademikerInnen","","","",""
"(2a) intermediate vocational","1984","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"(2a) intermediate vocational","1984","35-65 Jahre alt","Hauptschulabschluss","","","",""
"(2a) intermediate vocational","1984","35-65 Jahre alt","Realschulabschluss","621","0.885492539471841","0.861937226451571","0.90904785249211"
"(2a) intermediate vocational","1984","35-65 Jahre alt","(Fach-)Abitur","","","",""
"(2a) intermediate vocational","1984","35-65 Jahre alt","AkademikerInnen","","","",""
"(2a) intermediate vocational","1984","66 und älter","(noch) kein Abschluss","","","",""
"(2a) intermediate vocational","1984","66 und älter","Hauptschulabschluss","","","",""
"(2a) intermediate vocational","1984","66 und älter","Realschulabschluss","146","0.807673903924902","0.749774349248246","0.865573458601558"
"(2a) intermediate vocational","1984","66 und älter","(Fach-)Abitur","","","",""
"(2a) intermediate vocational","1984","66 und älter","AkademikerInnen","","","",""
"(2c_gen) general maturity certificate","1984","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"(2c_gen) general maturity certificate","1984","16-34 Jahre alt","Hauptschulabschluss","","","",""
"(2c_gen) general maturity certificate","1984","16-34 Jahre alt","Realschulabschluss","","","",""
"(2c_gen) general maturity certificate","1984","16-34 Jahre alt","(Fach-)Abitur","356","0.620272279810523","0.580535001561325","0.660009558059721"
"(2c_gen) general maturity certificate","1984","16-34 Jahre alt","AkademikerInnen","","","",""
"(2c_gen) general maturity certificate","1984","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"(2c_gen) general maturity certificate","1984","35-65 Jahre alt","Hauptschulabschluss","","","",""
"(2c_gen) general maturity certificate","1984","35-65 Jahre alt","Realschulabschluss","","","",""
"(2c_gen) general maturity certificate","1984","35-65 Jahre alt","(Fach-)Abitur","52","0.134121714868167","0.0918785877896951","0.176364841946639"
"(2c_gen) general maturity certificate","1984","35-65 Jahre alt","AkademikerInnen","","","",""
"(2c_gen) general maturity certificate","1984","66 und älter","(noch) kein Abschluss","","","",""
"(2c_gen) general maturity certificate","1984","66 und älter","Hauptschulabschluss","","","",""
"(2c_gen) general maturity certificate","1984","66 und älter","Realschulabschluss","","","",""
"(2c_gen) general maturity certificate","1984","66 und älter","(Fach-)Abitur","","","",""
"(2c_gen) general maturity certificate","1984","66 und älter","AkademikerInnen","","","",""
"(2c_voc) vocational maturity certificate","1984","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"(2c_voc) vocational maturity certificate","1984","16-34 Jahre alt","Hauptschulabschluss","","","",""
"(2c_voc) vocational maturity certificate","1984","16-34 Jahre alt","Realschulabschluss","","","",""
"(2c_voc) vocational maturity certificate","1984","16-34 Jahre alt","(Fach-)Abitur","217","0.379727720189477","0.339990441940279","0.419464998438675"
"(2c_voc) vocational maturity certificate","1984","16-34 Jahre alt","AkademikerInnen","","","",""
"(2c_voc) vocational maturity certificate","1984","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"(2c_voc) vocational maturity certificate","1984","35-65 Jahre alt","Hauptschulabschluss","","","",""
"(2c_voc) vocational maturity certificate","1984","35-65 Jahre alt","Realschulabschluss","","","",""
"(2c_voc) vocational maturity certificate","1984","35-65 Jahre alt","(Fach-)Abitur","198","0.865878285131833","0.823635158053361","0.908121412210305"
"(2c_voc) vocational maturity certificate","1984","35-65 Jahre alt","AkademikerInnen","","","",""
"(2c_voc) vocational maturity certificate","1984","66 und älter","(noch) kein Abschluss","","","",""
"(2c_voc) vocational maturity certificate","1984","66 und älter","Hauptschulabschluss","","","",""
"(2c_voc) vocational maturity certificate","1984","66 und älter","Realschulabschluss","","","",""
"(2c_voc) vocational maturity certificate","1984","66 und älter","(Fach-)Abitur","41","0.835202188514379","0.73024818631275","0.940156190716009"
"(2c_voc) vocational maturity certificate","1984","66 und älter","AkademikerInnen","","","",""
"(3a) lower tertiary education","1984","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"(3a) lower tertiary education","1984","16-34 Jahre alt","Hauptschulabschluss","","","",""
"(3a) lower tertiary education","1984","16-34 Jahre alt","Realschulabschluss","","","",""
"(3a) lower tertiary education","1984","16-34 Jahre alt","(Fach-)Abitur","","","",""
"(3a) lower tertiary education","1984","16-34 Jahre alt","AkademikerInnen","70","0.294191614476716","0.237478851995247","0.350904376958184"
"(3a) lower tertiary education","1984","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"(3a) lower tertiary education","1984","35-65 Jahre alt","Hauptschulabschluss","","","",""
"(3a) lower tertiary education","1984","35-65 Jahre alt","Realschulabschluss","","","",""
"(3a) lower tertiary education","1984","35-65 Jahre alt","(Fach-)Abitur","","","",""
"(3a) lower tertiary education","1984","35-65 Jahre alt","AkademikerInnen","173","0.394996418314939","0.3513548726645","0.438637963965378"
"(3a) lower tertiary education","1984","66 und älter","(noch) kein Abschluss","","","",""
"(3a) lower tertiary education","1984","66 und älter","Hauptschulabschluss","","","",""
"(3a) lower tertiary education","1984","66 und älter","Realschulabschluss","","","",""
"(3a) lower tertiary education","1984","66 und älter","(Fach-)Abitur","","","",""
"(3a) lower tertiary education","1984","66 und älter","AkademikerInnen","","","",""
"(3b) higher tertiary education","1984","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"(3b) higher tertiary education","1984","16-34 Jahre alt","Hauptschulabschluss","","","",""
"(3b) higher tertiary education","1984","16-34 Jahre alt","Realschulabschluss","","","",""
"(3b) higher tertiary education","1984","16-34 Jahre alt","(Fach-)Abitur","","","",""
"(3b) higher tertiary education","1984","16-34 Jahre alt","AkademikerInnen","178","0.705808385523284","0.649095623041816","0.762521148004752"
"(3b) higher tertiary education","1984","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"(3b) higher tertiary education","1984","35-65 Jahre alt","Hauptschulabschluss","","","",""
"(3b) higher tertiary education","1984","35-65 Jahre alt","Realschulabschluss","","","",""
"(3b) higher tertiary education","1984","35-65 Jahre alt","(Fach-)Abitur","","","",""
"(3b) higher tertiary education","1984","35-65 Jahre alt","AkademikerInnen","309","0.605003581685061","0.561362036034622","0.6486451273355"
"(3b) higher tertiary education","1984","66 und älter","(noch) kein Abschluss","","","",""
"(3b) higher tertiary education","1984","66 und älter","Hauptschulabschluss","","","",""
"(3b) higher tertiary education","1984","66 und älter","Realschulabschluss","","","",""
"(3b) higher tertiary education","1984","66 und älter","(Fach-)Abitur","","","",""
"(3b) higher tertiary education","1984","66 und älter","AkademikerInnen","40","0.650961109392675","0.533256831403633","0.768665387381716"
"(0) in school","1985","16-34 Jahre alt","(noch) kein Abschluss","188","0.655573800677263","0.611123498762489","0.700024102592037"
"(0) in school","1985","16-34 Jahre alt","Hauptschulabschluss","","","",""
"(0) in school","1985","16-34 Jahre alt","Realschulabschluss","","","",""
"(0) in school","1985","16-34 Jahre alt","(Fach-)Abitur","","","",""
"(0) in school","1985","16-34 Jahre alt","AkademikerInnen","","","",""
"(0) in school","1985","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"(0) in school","1985","35-65 Jahre alt","Hauptschulabschluss","","","",""
"(0) in school","1985","35-65 Jahre alt","Realschulabschluss","","","",""
"(0) in school","1985","35-65 Jahre alt","(Fach-)Abitur","","","",""
"(0) in school","1985","35-65 Jahre alt","AkademikerInnen","","","",""
"(0) in school","1985","66 und älter","(noch) kein Abschluss","","","",""
"(0) in school","1985","66 und älter","Hauptschulabschluss","","","",""
"(0) in school","1985","66 und älter","Realschulabschluss","","","",""
"(0) in school","1985","66 und älter","(Fach-)Abitur","","","",""
"(0) in school","1985","66 und älter","AkademikerInnen","","","",""
"(1a) inadequately completed","1985","16-34 Jahre alt","(noch) kein Abschluss","251","0.344426199322737","0.299975897407963","0.388876501237511"
"(1a) inadequately completed","1985","16-34 Jahre alt","Hauptschulabschluss","","","",""
"(1a) inadequately completed","1985","16-34 Jahre alt","Realschulabschluss","","","",""
"(1a) inadequately completed","1985","16-34 Jahre alt","(Fach-)Abitur","","","",""
"(1a) inadequately completed","1985","16-34 Jahre alt","AkademikerInnen","","","",""
"(1a) inadequately completed","1985","35-65 Jahre alt","(noch) kein Abschluss","649","1","1","1"
"(1a) inadequately completed","1985","35-65 Jahre alt","Hauptschulabschluss","","","",""
"(1a) inadequately completed","1985","35-65 Jahre alt","Realschulabschluss","","","",""
"(1a) inadequately completed","1985","35-65 Jahre alt","(Fach-)Abitur","","","",""
"(1a) inadequately completed","1985","35-65 Jahre alt","AkademikerInnen","","","",""
"(1a) inadequately completed","1985","66 und älter","(noch) kein Abschluss","","","",""
"(1a) inadequately completed","1985","66 und älter","Hauptschulabschluss","","","",""
"(1a) inadequately completed","1985","66 und älter","Realschulabschluss","","","",""
"(1a) inadequately completed","1985","66 und älter","(Fach-)Abitur","","","",""
"(1a) inadequately completed","1985","66 und älter","AkademikerInnen","","","",""
"(1b) general elementary school","1985","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"(1b) general elementary school","1985","16-34 Jahre alt","Hauptschulabschluss","798","0.330036520417978","0.309041621003999","0.351031419831957"
"(1b) general elementary school","1985","16-34 Jahre alt","Realschulabschluss","","","",""
"(1b) general elementary school","1985","16-34 Jahre alt","(Fach-)Abitur","","","",""
"(1b) general elementary school","1985","16-34 Jahre alt","AkademikerInnen","","","",""
"(1b) general elementary school","1985","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"(1b) general elementary school","1985","35-65 Jahre alt","Hauptschulabschluss","1436","0.355278692383696","0.33988245140678","0.370674933360613"
"(1b) general elementary school","1985","35-65 Jahre alt","Realschulabschluss","","","",""
"(1b) general elementary school","1985","35-65 Jahre alt","(Fach-)Abitur","","","",""
"(1b) general elementary school","1985","35-65 Jahre alt","AkademikerInnen","","","",""
"(1b) general elementary school","1985","66 und älter","(noch) kein Abschluss","","","",""
"(1b) general elementary school","1985","66 und älter","Hauptschulabschluss","399","0.486570068108739","0.452607563191958","0.52053257302552"
"(1b) general elementary school","1985","66 und älter","Realschulabschluss","","","",""
"(1b) general elementary school","1985","66 und älter","(Fach-)Abitur","","","",""
"(1b) general elementary school","1985","66 und älter","AkademikerInnen","","","",""
"(1c) basic vocational qualification","1985","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"(1c) basic vocational qualification","1985","16-34 Jahre alt","Hauptschulabschluss","1129","0.669963479582022","0.648968580168043","0.690958378996001"
"(1c) basic vocational qualification","1985","16-34 Jahre alt","Realschulabschluss","","","",""
"(1c) basic vocational qualification","1985","16-34 Jahre alt","(Fach-)Abitur","","","",""
"(1c) basic vocational qualification","1985","16-34 Jahre alt","AkademikerInnen","","","",""
"(1c) basic vocational qualification","1985","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"(1c) basic vocational qualification","1985","35-65 Jahre alt","Hauptschulabschluss","2276","0.644721307616304","0.629325066639387","0.66011754859322"
"(1c) basic vocational qualification","1985","35-65 Jahre alt","Realschulabschluss","","","",""
"(1c) basic vocational qualification","1985","35-65 Jahre alt","(Fach-)Abitur","","","",""
"(1c) basic vocational qualification","1985","35-65 Jahre alt","AkademikerInnen","","","",""
"(1c) basic vocational qualification","1985","66 und älter","(noch) kein Abschluss","","","",""
"(1c) basic vocational qualification","1985","66 und älter","Hauptschulabschluss","433","0.513429931891261","0.47946742697448","0.547392436808043"
"(1c) basic vocational qualification","1985","66 und älter","Realschulabschluss","","","",""
"(1c) basic vocational qualification","1985","66 und älter","(Fach-)Abitur","","","",""
"(1c) basic vocational qualification","1985","66 und älter","AkademikerInnen","","","",""
"(2b) intermediate general qualification","1985","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"(2b) intermediate general qualification","1985","16-34 Jahre alt","Hauptschulabschluss","","","",""
"(2b) intermediate general qualification","1985","16-34 Jahre alt","Realschulabschluss","370","0.378130135562435","0.347660863976706","0.408599407148163"
"(2b) intermediate general qualification","1985","16-34 Jahre alt","(Fach-)Abitur","","","",""
"(2b) intermediate general qualification","1985","16-34 Jahre alt","AkademikerInnen","","","",""
"(2b) intermediate general qualification","1985","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"(2b) intermediate general qualification","1985","35-65 Jahre alt","Hauptschulabschluss","","","",""
"(2b) intermediate general qualification","1985","35-65 Jahre alt","Realschulabschluss","77","0.114422474007619","0.09047927561892","0.138365672396318"
"(2b) intermediate general qualification","1985","35-65 Jahre alt","(Fach-)Abitur","","","",""
"(2b) intermediate general qualification","1985","35-65 Jahre alt","AkademikerInnen","","","",""
"(2b) intermediate general qualification","1985","66 und älter","(noch) kein Abschluss","","","",""
"(2b) intermediate general qualification","1985","66 und älter","Hauptschulabschluss","","","",""
"(2b) intermediate general qualification","1985","66 und älter","Realschulabschluss","","","",""
"(2b) intermediate general qualification","1985","66 und älter","(Fach-)Abitur","","","",""
"(2b) intermediate general qualification","1985","66 und älter","AkademikerInnen","","","",""
"(2a) intermediate vocational","1985","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"(2a) intermediate vocational","1985","16-34 Jahre alt","Hauptschulabschluss","","","",""
"(2a) intermediate vocational","1985","16-34 Jahre alt","Realschulabschluss","603","0.621869864437565","0.591400592851837","0.652339136023294"
"(2a) intermediate vocational","1985","16-34 Jahre alt","(Fach-)Abitur","","","",""
"(2a) intermediate vocational","1985","16-34 Jahre alt","AkademikerInnen","","","",""
"(2a) intermediate vocational","1985","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"(2a) intermediate vocational","1985","35-65 Jahre alt","Hauptschulabschluss","","","",""
"(2a) intermediate vocational","1985","35-65 Jahre alt","Realschulabschluss","602","0.885577525992381","0.861634327603682","0.90952072438108"
"(2a) intermediate vocational","1985","35-65 Jahre alt","(Fach-)Abitur","","","",""
"(2a) intermediate vocational","1985","35-65 Jahre alt","AkademikerInnen","","","",""
"(2a) intermediate vocational","1985","66 und älter","(noch) kein Abschluss","","","",""
"(2a) intermediate vocational","1985","66 und älter","Hauptschulabschluss","","","",""
"(2a) intermediate vocational","1985","66 und älter","Realschulabschluss","139","0.815292990843588","0.756437308666262","0.874148673020915"
"(2a) intermediate vocational","1985","66 und älter","(Fach-)Abitur","","","",""
"(2a) intermediate vocational","1985","66 und älter","AkademikerInnen","","","",""
"(2c_gen) general maturity certificate","1985","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"(2c_gen) general maturity certificate","1985","16-34 Jahre alt","Hauptschulabschluss","","","",""
"(2c_gen) general maturity certificate","1985","16-34 Jahre alt","Realschulabschluss","","","",""
"(2c_gen) general maturity certificate","1985","16-34 Jahre alt","(Fach-)Abitur","321","0.583133639698106","0.540918821763612","0.625348457632599"
"(2c_gen) general maturity certificate","1985","16-34 Jahre alt","AkademikerInnen","","","",""
"(2c_gen) general maturity certificate","1985","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"(2c_gen) general maturity certificate","1985","35-65 Jahre alt","Hauptschulabschluss","","","",""
"(2c_gen) general maturity certificate","1985","35-65 Jahre alt","Realschulabschluss","","","",""
"(2c_gen) general maturity certificate","1985","35-65 Jahre alt","(Fach-)Abitur","50","0.153084470340958","0.106036331484285","0.200132609197632"
"(2c_gen) general maturity certificate","1985","35-65 Jahre alt","AkademikerInnen","","","",""
"(2c_gen) general maturity certificate","1985","66 und älter","(noch) kein Abschluss","","","",""
"(2c_gen) general maturity certificate","1985","66 und älter","Hauptschulabschluss","","","",""
"(2c_gen) general maturity certificate","1985","66 und älter","Realschulabschluss","","","",""
"(2c_gen) general maturity certificate","1985","66 und älter","(Fach-)Abitur","","","",""
"(2c_gen) general maturity certificate","1985","66 und älter","AkademikerInnen","","","",""
"(2c_voc) vocational maturity certificate","1985","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"(2c_voc) vocational maturity certificate","1985","16-34 Jahre alt","Hauptschulabschluss","","","",""
"(2c_voc) vocational maturity certificate","1985","16-34 Jahre alt","Realschulabschluss","","","",""
"(2c_voc) vocational maturity certificate","1985","16-34 Jahre alt","(Fach-)Abitur","203","0.416866360301894","0.3746515423674","0.459081178236388"
"(2c_voc) vocational maturity certificate","1985","16-34 Jahre alt","AkademikerInnen","","","",""
"(2c_voc) vocational maturity certificate","1985","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"(2c_voc) vocational maturity certificate","1985","35-65 Jahre alt","Hauptschulabschluss","","","",""
"(2c_voc) vocational maturity certificate","1985","35-65 Jahre alt","Realschulabschluss","","","",""
"(2c_voc) vocational maturity certificate","1985","35-65 Jahre alt","(Fach-)Abitur","175","0.846915529659042","0.799867390802369","0.893963668515715"
"(2c_voc) vocational maturity certificate","1985","35-65 Jahre alt","AkademikerInnen","","","",""
"(2c_voc) vocational maturity certificate","1985","66 und älter","(noch) kein Abschluss","","","",""
"(2c_voc) vocational maturity certificate","1985","66 und älter","Hauptschulabschluss","","","",""
"(2c_voc) vocational maturity certificate","1985","66 und älter","Realschulabschluss","","","",""
"(2c_voc) vocational maturity certificate","1985","66 und älter","(Fach-)Abitur","37","0.815431085913288","0.700802043843342","0.930060127983235"
"(2c_voc) vocational maturity certificate","1985","66 und älter","AkademikerInnen","","","",""
"(3a) lower tertiary education","1985","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"(3a) lower tertiary education","1985","16-34 Jahre alt","Hauptschulabschluss","","","",""
"(3a) lower tertiary education","1985","16-34 Jahre alt","Realschulabschluss","","","",""
"(3a) lower tertiary education","1985","16-34 Jahre alt","(Fach-)Abitur","","","",""
"(3a) lower tertiary education","1985","16-34 Jahre alt","AkademikerInnen","63","0.269026848239825","0.212923213951209","0.325130482528442"
"(3a) lower tertiary education","1985","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"(3a) lower tertiary education","1985","35-65 Jahre alt","Hauptschulabschluss","","","",""
"(3a) lower tertiary education","1985","35-65 Jahre alt","Realschulabschluss","","","",""
"(3a) lower tertiary education","1985","35-65 Jahre alt","(Fach-)Abitur","","","",""
"(3a) lower tertiary education","1985","35-65 Jahre alt","AkademikerInnen","161","0.381021979275897","0.336738704314372","0.425305254237422"
"(3a) lower tertiary education","1985","66 und älter","(noch) kein Abschluss","","","",""
"(3a) lower tertiary education","1985","66 und älter","Hauptschulabschluss","","","",""
"(3a) lower tertiary education","1985","66 und älter","Realschulabschluss","","","",""
"(3a) lower tertiary education","1985","66 und älter","(Fach-)Abitur","","","",""
"(3a) lower tertiary education","1985","66 und älter","AkademikerInnen","","","",""
"(3b) higher tertiary education","1985","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"(3b) higher tertiary education","1985","16-34 Jahre alt","Hauptschulabschluss","","","",""
"(3b) higher tertiary education","1985","16-34 Jahre alt","Realschulabschluss","","","",""
"(3b) higher tertiary education","1985","16-34 Jahre alt","(Fach-)Abitur","","","",""
"(3b) higher tertiary education","1985","16-34 Jahre alt","AkademikerInnen","177","0.730973151760175","0.674869517471558","0.787076786048791"
"(3b) higher tertiary education","1985","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"(3b) higher tertiary education","1985","35-65 Jahre alt","Hauptschulabschluss","","","",""
"(3b) higher tertiary education","1985","35-65 Jahre alt","Realschulabschluss","","","",""
"(3b) higher tertiary education","1985","35-65 Jahre alt","(Fach-)Abitur","","","",""
"(3b) higher tertiary education","1985","35-65 Jahre alt","AkademikerInnen","301","0.618978020724103","0.574694745762578","0.663261295685629"
"(3b) higher tertiary education","1985","66 und älter","(noch) kein Abschluss","","","",""
"(3b) higher tertiary education","1985","66 und älter","Hauptschulabschluss","","","",""
"(3b) higher tertiary education","1985","66 und älter","Realschulabschluss","","","",""
"(3b) higher tertiary education","1985","66 und älter","(Fach-)Abitur","","","",""
"(3b) higher tertiary education","1985","66 und älter","AkademikerInnen","32","0.59534595929141","0.466793401130063","0.723898517452758"
"(0) in school","1986","16-34 Jahre alt","(noch) kein Abschluss","189","0.621584332985937","0.575311461615687","0.667857204356188"
"(0) in school","1986","16-34 Jahre alt","Hauptschulabschluss","","","",""
"(0) in school","1986","16-34 Jahre alt","Realschulabschluss","","","",""
"(0) in school","1986","16-34 Jahre alt","(Fach-)Abitur","","","",""
"(0) in school","1986","16-34 Jahre alt","AkademikerInnen","","","",""
"(0) in school","1986","35-65 Jahre alt","(noch) kein Abschluss","","","",""
"(0) in school","1986","35-65 Jahre alt","Hauptschulabschluss","","","",""
"(0) in school","1986","35-65 Jahre alt","Realschulabschluss","","","",""
"(0) in school","1986","35-65 Jahre alt","(Fach-)Abitur","","","",""
"(0) in school","1986","35-65 Jahre alt","AkademikerInnen","","","",""
"(0) in school","1986","66 und älter","(noch) kein Abschluss","","","",""
"(0) in school","1986","66 und älter","Hauptschulabschluss","","","",""
"(0) in school","1986","66 und älter","Realschulabschluss","","","",""
"(0) in school","1986","66 und älter","(Fach-)Abitur","","","",""
"(0) in school","1986","66 und älter","AkademikerInnen","","","",""
"(1a) inadequately completed","1986","16-34 Jahre alt","(noch) kein Abschluss","233","0.378415667014063","0.332142795643812","0.424688538384313"
