"pgcasmin","year","alter_gr","migback","n","percent","lower_confidence","upper_confidence"
"(2c_gen) general maturity certificate","1984","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"(2c_gen) general maturity certificate","1984","35-65 Jahre alt","direkter Migrationshintergrund","39","0.0187785924252412","0.0127320035607248","0.0248251812897576"
"(2c_gen) general maturity certificate","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"(2c_gen) general maturity certificate","1984","66 und älter","kein Migrationshintergrund","","","",""
"(2c_gen) general maturity certificate","1984","66 und älter","direkter Migrationshintergrund","","","",""
"(2c_gen) general maturity certificate","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"(2c_voc) vocational maturity certificate","1984","16-34 Jahre alt","kein Migrationshintergrund","145","0.0467603445069558","0.039342662720361","0.0541780262935505"
"(2c_voc) vocational maturity certificate","1984","16-34 Jahre alt","direkter Migrationshintergrund","71","0.0839759092591631","0.0693480067607911","0.098603811757535"
"(2c_voc) vocational maturity certificate","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"(2c_voc) vocational maturity certificate","1984","35-65 Jahre alt","kein Migrationshintergrund","124","0.0282799369092107","0.0233389346627127","0.0332209391557087"
"(2c_voc) vocational maturity certificate","1984","35-65 Jahre alt","direkter Migrationshintergrund","74","0.0390676741637316","0.0304368832704451","0.047698465057018"
"(2c_voc) vocational maturity certificate","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"(2c_voc) vocational maturity certificate","1984","66 und älter","kein Migrationshintergrund","40","0.0295102157087001","0.0200833038859193","0.0389371275314809"
"(2c_voc) vocational maturity certificate","1984","66 und älter","direkter Migrationshintergrund","","","",""
"(2c_voc) vocational maturity certificate","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"(3a) lower tertiary education","1984","16-34 Jahre alt","kein Migrationshintergrund","63","0.019061097652272","0.0142568738660319","0.0238653214385121"
"(3a) lower tertiary education","1984","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"(3a) lower tertiary education","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"(3a) lower tertiary education","1984","35-65 Jahre alt","kein Migrationshintergrund","157","0.0357444524758952","0.0302108794460903","0.0412780255057002"
"(3a) lower tertiary education","1984","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"(3a) lower tertiary education","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"(3a) lower tertiary education","1984","66 und älter","kein Migrationshintergrund","","","",""
"(3a) lower tertiary education","1984","66 und älter","direkter Migrationshintergrund","","","",""
"(3a) lower tertiary education","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"(3b) higher tertiary education","1984","16-34 Jahre alt","kein Migrationshintergrund","140","0.0432268953850331","0.0360817709159846","0.0503720198540817"
"(3b) higher tertiary education","1984","16-34 Jahre alt","direkter Migrationshintergrund","37","0.0431789007531892","0.0324587124371883","0.0538990890691902"
"(3b) higher tertiary education","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"(3b) higher tertiary education","1984","35-65 Jahre alt","kein Migrationshintergrund","247","0.0539618437923304","0.0472273808869642","0.0606963066976967"
"(3b) higher tertiary education","1984","35-65 Jahre alt","direkter Migrationshintergrund","61","0.0506654039523407","0.0408961629562301","0.0604346449484512"
"(3b) higher tertiary education","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"(3b) higher tertiary education","1984","66 und älter","kein Migrationshintergrund","38","0.0303667990603474","0.0208082710897192","0.0399253270309756"
"(3b) higher tertiary education","1984","66 und älter","direkter Migrationshintergrund","","","",""
"(3b) higher tertiary education","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"(0) in school","1985","16-34 Jahre alt","kein Migrationshintergrund","155","0.0563242410980644","0.0478866671617497","0.0647618150343791"
"(0) in school","1985","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"(0) in school","1985","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"(0) in school","1985","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"(0) in school","1985","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"(0) in school","1985","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"(0) in school","1985","66 und älter","kein Migrationshintergrund","","","",""
"(0) in school","1985","66 und älter","direkter Migrationshintergrund","","","",""
"(0) in school","1985","66 und älter","indirekter Migrationshintergrund","","","",""
"(1a) inadequately completed","1985","16-34 Jahre alt","kein Migrationshintergrund","47","0.0173167416260408","0.0125425660718465","0.022090917180235"
"(1a) inadequately completed","1985","16-34 Jahre alt","direkter Migrationshintergrund","198","0.125652953606152","0.106223729230374","0.14508217798193"
"(1a) inadequately completed","1985","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"(1a) inadequately completed","1985","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"(1a) inadequately completed","1985","35-65 Jahre alt","direkter Migrationshintergrund","634","0.197909792041395","0.179031255073576","0.216788329009215"
"(1a) inadequately completed","1985","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"(1a) inadequately completed","1985","66 und älter","kein Migrationshintergrund","","","",""
"(1a) inadequately completed","1985","66 und älter","direkter Migrationshintergrund","","","",""
"(1a) inadequately completed","1985","66 und älter","indirekter Migrationshintergrund","","","",""
"(1b) general elementary school","1985","16-34 Jahre alt","kein Migrationshintergrund","378","0.131344912892833","0.118982910320784","0.143706915464883"
"(1b) general elementary school","1985","16-34 Jahre alt","direkter Migrationshintergrund","384","0.247502262333586","0.222205241696138","0.272799282971033"
"(1b) general elementary school","1985","16-34 Jahre alt","indirekter Migrationshintergrund","36","0.263456762798316","0.183637270906874","0.343276254689758"
"(1b) general elementary school","1985","35-65 Jahre alt","kein Migrationshintergrund","955","0.246428625328773","0.233070839690167","0.259786410967379"
"(1b) general elementary school","1985","35-65 Jahre alt","direkter Migrationshintergrund","476","0.268172527784011","0.247181457472616","0.289163598095407"
"(1b) general elementary school","1985","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"(1b) general elementary school","1985","66 und älter","kein Migrationshintergrund","383","0.360842812124547","0.332121199640517","0.389564424608578"
"(1b) general elementary school","1985","66 und älter","direkter Migrationshintergrund","","","",""
"(1b) general elementary school","1985","66 und älter","indirekter Migrationshintergrund","","","",""
"(1c) basic vocational qualification","1985","16-34 Jahre alt","kein Migrationshintergrund","838","0.294719222065534","0.2780335473677","0.311404896763368"
"(1c) basic vocational qualification","1985","16-34 Jahre alt","direkter Migrationshintergrund","261","0.276760724759877","0.25053542747242","0.302986022047333"
"(1c) basic vocational qualification","1985","16-34 Jahre alt","indirekter Migrationshintergrund","30","0.271308059155749","0.190740818340805","0.351875299970692"
"(1c) basic vocational qualification","1985","35-65 Jahre alt","kein Migrationshintergrund","1889","0.472134204748558","0.456659542127121","0.487608867369996"
"(1c) basic vocational qualification","1985","35-65 Jahre alt","direkter Migrationshintergrund","378","0.292430199706144","0.270876648235284","0.313983751177004"
"(1c) basic vocational qualification","1985","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"(1c) basic vocational qualification","1985","66 und älter","kein Migrationshintergrund","423","0.387890821709423","0.358749103939488","0.417032539479359"
"(1c) basic vocational qualification","1985","66 und älter","direkter Migrationshintergrund","","","",""
"(1c) basic vocational qualification","1985","66 und älter","indirekter Migrationshintergrund","","","",""
"(2b) intermediate general qualification","1985","16-34 Jahre alt","kein Migrationshintergrund","311","0.113884725706822","0.102258563739432","0.125510887674212"
"(2b) intermediate general qualification","1985","16-34 Jahre alt","direkter Migrationshintergrund","40","0.0477825641867572","0.0352791107847507","0.0602860175887637"
"(2b) intermediate general qualification","1985","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"(2b) intermediate general qualification","1985","35-65 Jahre alt","kein Migrationshintergrund","64","0.0160343525703442","0.0121408328494424","0.0199278722912459"
"(2b) intermediate general qualification","1985","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"(2b) intermediate general qualification","1985","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"(2b) intermediate general qualification","1985","66 und älter","kein Migrationshintergrund","","","",""
"(2b) intermediate general qualification","1985","66 und älter","direkter Migrationshintergrund","","","",""
"(2b) intermediate general qualification","1985","66 und älter","indirekter Migrationshintergrund","","","",""
"(2a) intermediate vocational","1985","16-34 Jahre alt","kein Migrationshintergrund","556","0.188919686322246","0.174593550784265","0.203245821860227"
"(2a) intermediate vocational","1985","16-34 Jahre alt","direkter Migrationshintergrund","38","0.0655664481337265","0.0510572894664314","0.0800756068010216"
"(2a) intermediate vocational","1985","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"(2a) intermediate vocational","1985","35-65 Jahre alt","kein Migrationshintergrund","557","0.137597200249344","0.126919282441106","0.148275118057583"
"(2a) intermediate vocational","1985","35-65 Jahre alt","direkter Migrationshintergrund","44","0.082723630755458","0.0696713026422723","0.0957759588686437"
"(2a) intermediate vocational","1985","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"(2a) intermediate vocational","1985","66 und älter","kein Migrationshintergrund","134","0.126044075132611","0.106194467166859","0.145893683098364"
"(2a) intermediate vocational","1985","66 und älter","direkter Migrationshintergrund","","","",""
"(2a) intermediate vocational","1985","66 und älter","indirekter Migrationshintergrund","","","",""
"(2c_gen) general maturity certificate","1985","16-34 Jahre alt","kein Migrationshintergrund","238","0.0782332286939145","0.0684052395375455","0.0880612178502835"
"(2c_gen) general maturity certificate","1985","16-34 Jahre alt","direkter Migrationshintergrund","78","0.0739683682527865","0.0586270344625161","0.0893097020430569"
"(2c_gen) general maturity certificate","1985","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"(2c_gen) general maturity certificate","1985","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"(2c_gen) general maturity certificate","1985","35-65 Jahre alt","direkter Migrationshintergrund","35","0.0205861786219573","0.0138580533533954","0.0273143038905191"
"(2c_gen) general maturity certificate","1985","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"(2c_gen) general maturity certificate","1985","66 und älter","kein Migrationshintergrund","","","",""
"(2c_gen) general maturity certificate","1985","66 und älter","direkter Migrationshintergrund","","","",""
"(2c_gen) general maturity certificate","1985","66 und älter","indirekter Migrationshintergrund","","","",""
"(2c_voc) vocational maturity certificate","1985","16-34 Jahre alt","kein Migrationshintergrund","148","0.0534336132847196","0.0452028269441953","0.0616643996252439"
"(2c_voc) vocational maturity certificate","1985","16-34 Jahre alt","direkter Migrationshintergrund","55","0.0766587153153169","0.0610635822465959","0.0922538483840379"
"(2c_voc) vocational maturity certificate","1985","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"(2c_voc) vocational maturity certificate","1985","35-65 Jahre alt","kein Migrationshintergrund","111","0.0276951455323014","0.022608520209626","0.0327817708549767"
"(2c_voc) vocational maturity certificate","1985","35-65 Jahre alt","direkter Migrationshintergrund","64","0.0378028200871614","0.0287659669206987","0.0468396732536241"
"(2c_voc) vocational maturity certificate","1985","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"(2c_voc) vocational maturity certificate","1985","66 und älter","kein Migrationshintergrund","36","0.0316437133759921","0.0211746637238338","0.0421127630281503"
"(2c_voc) vocational maturity certificate","1985","66 und älter","direkter Migrationshintergrund","","","",""
"(2c_voc) vocational maturity certificate","1985","66 und älter","indirekter Migrationshintergrund","","","",""
"(3a) lower tertiary education","1985","16-34 Jahre alt","kein Migrationshintergrund","56","0.0181704322685381","0.0132821170811428","0.0230587474559335"
"(3a) lower tertiary education","1985","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"(3a) lower tertiary education","1985","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"(3a) lower tertiary education","1985","35-65 Jahre alt","kein Migrationshintergrund","146","0.0357880885808808","0.0300299489227784","0.0415462282389832"
"(3a) lower tertiary education","1985","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"(3a) lower tertiary education","1985","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"(3a) lower tertiary education","1985","66 und älter","kein Migrationshintergrund","","","",""
"(3a) lower tertiary education","1985","66 und älter","direkter Migrationshintergrund","","","",""
"(3a) lower tertiary education","1985","66 und älter","indirekter Migrationshintergrund","","","",""
"(3b) higher tertiary education","1985","16-34 Jahre alt","kein Migrationshintergrund","141","0.0476531960412868","0.0398566526796858","0.0554497394028879"
"(3b) higher tertiary education","1985","16-34 Jahre alt","direkter Migrationshintergrund","34","0.0475431380718984","0.035069481905146","0.0600167942386508"
"(3b) higher tertiary education","1985","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"(3b) higher tertiary education","1985","35-65 Jahre alt","kein Migrationshintergrund","247","0.057420414505939","0.0502090263459038","0.0646318026659742"
"(3b) higher tertiary education","1985","35-65 Jahre alt","direkter Migrationshintergrund","53","0.0497868560168322","0.0394808366555559","0.0600928753781085"
"(3b) higher tertiary education","1985","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"(3b) higher tertiary education","1985","66 und älter","kein Migrationshintergrund","30","0.028590566869385","0.0186237037998627","0.0385574299389074"
"(3b) higher tertiary education","1985","66 und älter","direkter Migrationshintergrund","","","",""
"(3b) higher tertiary education","1985","66 und älter","indirekter Migrationshintergrund","","","",""
"(0) in school","1986","16-34 Jahre alt","kein Migrationshintergrund","147","0.0461789280509564","0.0384315288735506","0.0539263272283622"
"(0) in school","1986","16-34 Jahre alt","direkter Migrationshintergrund","31","0.0290116453987536","0.0189924718004042","0.0390308189971029"
"(0) in school","1986","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"(0) in school","1986","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"(0) in school","1986","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"(0) in school","1986","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"(0) in school","1986","66 und älter","kein Migrationshintergrund","","","",""
"(0) in school","1986","66 und älter","direkter Migrationshintergrund","","","",""
"(0) in school","1986","66 und älter","indirekter Migrationshintergrund","","","",""
"(1a) inadequately completed","1986","16-34 Jahre alt","kein Migrationshintergrund","47","0.0170687325654276","0.0122872479230259","0.0218502172078294"
"(1a) inadequately completed","1986","16-34 Jahre alt","direkter Migrationshintergrund","178","0.120447995441691","0.101018153832235","0.139877837051146"
"(1a) inadequately completed","1986","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"(1a) inadequately completed","1986","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"(1a) inadequately completed","1986","35-65 Jahre alt","direkter Migrationshintergrund","583","0.186838280195152","0.1680650364819","0.205611523908404"
"(1a) inadequately completed","1986","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"(1a) inadequately completed","1986","66 und älter","kein Migrationshintergrund","","","",""
"(1a) inadequately completed","1986","66 und älter","direkter Migrationshintergrund","","","",""
"(1a) inadequately completed","1986","66 und älter","indirekter Migrationshintergrund","","","",""
"(1b) general elementary school","1986","16-34 Jahre alt","kein Migrationshintergrund","374","0.129519429935468","0.117124400682528","0.141914459188409"
"(1b) general elementary school","1986","16-34 Jahre alt","direkter Migrationshintergrund","376","0.251470155871728","0.225570947107875","0.27736936463558"
"(1b) general elementary school","1986","16-34 Jahre alt","indirekter Migrationshintergrund","38","0.277299381553214","0.198821594490477","0.35577716861595"
"(1b) general elementary school","1986","35-65 Jahre alt","kein Migrationshintergrund","854","0.232498280124679","0.218999695100582","0.245996865148776"
"(1b) general elementary school","1986","35-65 Jahre alt","direkter Migrationshintergrund","469","0.267853452015031","0.246524694430386","0.289182209599676"
"(1b) general elementary school","1986","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"(1b) general elementary school","1986","66 und älter","kein Migrationshintergrund","349","0.346137623489278","0.316547890591457","0.375727356387099"
"(1b) general elementary school","1986","66 und älter","direkter Migrationshintergrund","","","",""
"(1b) general elementary school","1986","66 und älter","indirekter Migrationshintergrund","","","",""
"(1c) basic vocational qualification","1986","16-34 Jahre alt","kein Migrationshintergrund","790","0.286632424030875","0.26993998132491","0.30332486673684"
"(1c) basic vocational qualification","1986","16-34 Jahre alt","direkter Migrationshintergrund","244","0.27605297601418","0.249366678658888","0.302739273369471"
"(1c) basic vocational qualification","1986","16-34 Jahre alt","indirekter Migrationshintergrund","31","0.206995736439775","0.135970686823326","0.278020786056225"
"(1c) basic vocational qualification","1986","35-65 Jahre alt","kein Migrationshintergrund","1791","0.476261664704696","0.460302186426904","0.492221142982488"
"(1c) basic vocational qualification","1986","35-65 Jahre alt","direkter Migrationshintergrund","373","0.29452054342835","0.27256632872004","0.31647475813666"
"(1c) basic vocational qualification","1986","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"(1c) basic vocational qualification","1986","66 und älter","kein Migrationshintergrund","381","0.385750878667735","0.355474829579342","0.416026927756128"
"(1c) basic vocational qualification","1986","66 und älter","direkter Migrationshintergrund","","","",""
"(1c) basic vocational qualification","1986","66 und älter","indirekter Migrationshintergrund","","","",""
"(2b) intermediate general qualification","1986","16-34 Jahre alt","kein Migrationshintergrund","302","0.1120261158977","0.100383239446795","0.123668992348605"
"(2b) intermediate general qualification","1986","16-34 Jahre alt","direkter Migrationshintergrund","50","0.057192393432658","0.0433306011954259","0.0710541856698901"
"(2b) intermediate general qualification","1986","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"(2b) intermediate general qualification","1986","35-65 Jahre alt","kein Migrationshintergrund","57","0.0157170663398809","0.0117425488169286","0.0196915838628332"
"(2b) intermediate general qualification","1986","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"(2b) intermediate general qualification","1986","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"(2b) intermediate general qualification","1986","66 und älter","kein Migrationshintergrund","30","0.0347914823479977","0.0233936961497949","0.0461892685462005"
"(2b) intermediate general qualification","1986","66 und älter","direkter Migrationshintergrund","","","",""
"(2b) intermediate general qualification","1986","66 und älter","indirekter Migrationshintergrund","","","",""
"(2a) intermediate vocational","1986","16-34 Jahre alt","kein Migrationshintergrund","546","0.191191840216114","0.176675471466681","0.205708208965547"
"(2a) intermediate vocational","1986","16-34 Jahre alt","direkter Migrationshintergrund","35","0.0632866452333817","0.0487522119080681","0.0778210785586953"
"(2a) intermediate vocational","1986","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"(2a) intermediate vocational","1986","35-65 Jahre alt","kein Migrationshintergrund","540","0.144233184788549","0.133006565049422","0.155459804527676"
"(2a) intermediate vocational","1986","35-65 Jahre alt","direkter Migrationshintergrund","43","0.0835079003718505","0.0701835492147325","0.0968322515289685"
"(2a) intermediate vocational","1986","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"(2a) intermediate vocational","1986","66 und älter","kein Migrationshintergrund","128","0.132653158153901","0.111555771393878","0.153750544913924"
"(2a) intermediate vocational","1986","66 und älter","direkter Migrationshintergrund","","","",""
"(2a) intermediate vocational","1986","66 und älter","indirekter Migrationshintergrund","","","",""
"(2c_gen) general maturity certificate","1986","16-34 Jahre alt","kein Migrationshintergrund","266","0.0938522130873105","0.0830870074751922","0.104617418699429"
"(2c_gen) general maturity certificate","1986","16-34 Jahre alt","direkter Migrationshintergrund","74","0.0781428471066451","0.0621209056403272","0.0941647885729629"
"(2c_gen) general maturity certificate","1986","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"(2c_gen) general maturity certificate","1986","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"(2c_gen) general maturity certificate","1986","35-65 Jahre alt","direkter Migrationshintergrund","37","0.0234124163553759","0.0161296455366229","0.0306951871741289"
"(2c_gen) general maturity certificate","1986","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"(2c_gen) general maturity certificate","1986","66 und älter","kein Migrationshintergrund","","","",""
"(2c_gen) general maturity certificate","1986","66 und älter","direkter Migrationshintergrund","","","",""
"(2c_gen) general maturity certificate","1986","66 und älter","indirekter Migrationshintergrund","","","",""
"(2c_voc) vocational maturity certificate","1986","16-34 Jahre alt","kein Migrationshintergrund","152","0.0576210342863765","0.0490189465102656","0.0662231220624874"
"(2c_voc) vocational maturity certificate","1986","16-34 Jahre alt","direkter Migrationshintergrund","58","0.0647859784012765","0.0500921580324098","0.0794797987701432"
"(2c_voc) vocational maturity certificate","1986","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"(2c_voc) vocational maturity certificate","1986","35-65 Jahre alt","kein Migrationshintergrund","99","0.0262058823355765","0.0211011654308448","0.0313105992403082"
"(2c_voc) vocational maturity certificate","1986","35-65 Jahre alt","direkter Migrationshintergrund","64","0.0427874885974668","0.0330402744819393","0.0525347027129944"
"(2c_voc) vocational maturity certificate","1986","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"(2c_voc) vocational maturity certificate","1986","66 und älter","kein Migrationshintergrund","39","0.0363349848978846","0.0246964314564544","0.0479735383393148"
"(2c_voc) vocational maturity certificate","1986","66 und älter","direkter Migrationshintergrund","","","",""
"(2c_voc) vocational maturity certificate","1986","66 und älter","indirekter Migrationshintergrund","","","",""
"(3a) lower tertiary education","1986","16-34 Jahre alt","kein Migrationshintergrund","58","0.019958283447109","0.014795493837706","0.0251210730565121"
"(3a) lower tertiary education","1986","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"(3a) lower tertiary education","1986","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"(3a) lower tertiary education","1986","35-65 Jahre alt","kein Migrationshintergrund","143","0.036982739348508","0.0309522123049465","0.0430132663920695"
"(3a) lower tertiary education","1986","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"(3a) lower tertiary education","1986","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
