year,migback,pgisced97,pgcasmin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Direct migration background,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.10000,113,890,0.08028,0.11972
1985,Direct migration background,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.69105,88,88,0.59395,0.78814
1985,Indirect migration background,Lower Secondary Level,(1b) General Elementary School,0.73817,40,40,0.60019,0.87615
1985,Indirect migration background,Upper Secondary Level,(1c) Basic Vocational Qualification,0.61375,37,37,0.45470,0.77280
1986,No migration background,Primary Level,(1a) Inadequately completed,0.72160,61,61,0.60819,0.83502
1986,No migration background,Lower Secondary Level,(1b) General Elementary School,0.81037,1545,1931,0.79288,0.82786
1986,No migration background,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.18963,386,1931,0.17214,0.20712
1986,No migration background,Upper Secondary Level,(1c) Basic Vocational Qualification,0.67828,2713,4043,0.66388,0.69268
1986,No migration background,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.25647,1050,4043,0.24300,0.26993
1986,No migration background,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.06270,280,4043,0.05522,0.07017
1986,No migration background,First Stage of Tertiary Education,(1c) Basic Vocational Qualification,0.47089,243,523,0.42807,0.51371
1986,No migration background,First Stage of Tertiary Education,(2) Intermediate General/Vocational Qualification,0.29359,162,523,0.25453,0.33266
1986,No migration background,First Stage of Tertiary Education,(2c_voc) Vocational Maturity Certificate,0.22996,118,523,0.19386,0.26605
1986,No migration background,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.36775,224,635,0.33022,0.40529
1986,No migration background,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.63225,411,635,0.59471,0.66978
1986,Direct migration background,Primary Level,(1a) Inadequately completed,0.97269,682,682,0.96044,0.98493
1986,Direct migration background,Lower Secondary Level,(1b) General Elementary School,0.89050,853,916,0.87027,0.91073
1986,Direct migration background,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.10950,63,916,0.08927,0.12973
1986,Direct migration background,Upper Secondary Level,(1a) Inadequately completed,0.03843,76,859,0.02557,0.05129
1986,Direct migration background,Upper Secondary Level,(1c) Basic Vocational Qualification,0.69652,606,859,0.66575,0.72728
1986,Direct migration background,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.16135,67,859,0.13673,0.18596
1986,Direct migration background,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.10371,110,859,0.08331,0.12411
1986,Direct migration background,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.68692,88,88,0.58948,0.78437
1986,Indirect migration background,Lower Secondary Level,(1b) General Elementary School,0.76042,44,44,0.63285,0.88800
1986,Indirect migration background,Upper Secondary Level,(1c) Basic Vocational Qualification,0.55679,36,36,0.39222,0.72137
1987,No migration background,Primary Level,(1a) Inadequately completed,0.66638,49,49,0.53300,0.79977
1987,No migration background,Lower Secondary Level,(1b) General Elementary School,0.82995,1482,1836,0.81276,0.84714
1987,No migration background,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.17005,354,1836,0.15286,0.18724
1987,No migration background,Upper Secondary Level,(1c) Basic Vocational Qualification,0.67509,2690,4012,0.66059,0.68958
1987,No migration background,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.26363,1066,4012,0.25000,0.27727
1987,No migration background,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.05861,256,4012,0.05134,0.06588
1987,No migration background,First Stage of Tertiary Education,(1c) Basic Vocational Qualification,0.46872,232,500,0.42493,0.51250
1987,No migration background,First Stage of Tertiary Education,(2) Intermediate General/Vocational Qualification,0.29932,160,500,0.25914,0.33950
1987,No migration background,First Stage of Tertiary Education,(2c_voc) Vocational Maturity Certificate,0.22630,108,500,0.18959,0.26302
1987,No migration background,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.36782,224,638,0.33037,0.40527
1987,No migration background,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.63218,414,638,0.59473,0.66963
1987,Direct migration background,Primary Level,(1a) Inadequately completed,0.96604,663,663,0.95224,0.97984
1987,Direct migration background,Lower Secondary Level,(1b) General Elementary School,0.89546,877,937,0.87586,0.91506
1987,Direct migration background,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.10454,60,937,0.08494,0.12414
1987,Direct migration background,Upper Secondary Level,(1a) Inadequately completed,0.03939,76,849,0.02630,0.05249
1987,Direct migration background,Upper Secondary Level,(1c) Basic Vocational Qualification,0.69201,594,849,0.66094,0.72308
1987,Direct migration background,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.16632,70,849,0.14126,0.19138
1987,Direct migration background,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.10228,109,849,0.08188,0.12267
1987,Direct migration background,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.64585,76,76,0.53762,0.75409
1987,Indirect migration background,Lower Secondary Level,(1b) General Elementary School,0.84828,46,46,0.74346,0.95310
1987,Indirect migration background,Upper Secondary Level,(1c) Basic Vocational Qualification,0.52134,43,43,0.37026,0.67242
1988,No migration background,Primary Level,(1a) Inadequately completed,0.68992,45,45,0.55325,0.82659
1988,No migration background,Lower Secondary Level,(1b) General Elementary School,0.82987,1387,1727,0.81215,0.84760
1988,No migration background,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.17013,340,1727,0.15240,0.18785
1988,No migration background,Upper Secondary Level,(1c) Basic Vocational Qualification,0.67478,2553,3803,0.65988,0.68967
1988,No migration background,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.26501,1017,3803,0.25098,0.27904
1988,No migration background,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.05753,233,3803,0.05013,0.06493
1988,No migration background,First Stage of Tertiary Education,(1c) Basic Vocational Qualification,0.47471,220,476,0.42980,0.51961
1988,No migration background,First Stage of Tertiary Education,(2) Intermediate General/Vocational Qualification,0.29454,153,476,0.25354,0.33553
1988,No migration background,First Stage of Tertiary Education,(2c_voc) Vocational Maturity Certificate,0.22457,103,476,0.18704,0.26210
1988,No migration background,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.35632,211,613,0.31838,0.39427
1988,No migration background,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.64368,402,613,0.60573,0.68162
1988,Direct migration background,Primary Level,(1a) Inadequately completed,0.96659,609,609,0.95230,0.98087
1988,Direct migration background,Lower Secondary Level,(1b) General Elementary School,0.89864,852,910,0.87902,0.91826
1988,Direct migration background,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.10136,58,910,0.08174,0.12098
1988,Direct migration background,Upper Secondary Level,(1a) Inadequately completed,0.03499,68,816,0.02238,0.04761
1988,Direct migration background,Upper Secondary Level,(1c) Basic Vocational Qualification,0.68336,573,816,0.65142,0.71529
1988,Direct migration background,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.18017,76,816,0.15378,0.20655
1988,Direct migration background,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.10148,99,816,0.08075,0.12221
1988,Direct migration background,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.66006,64,64,0.54309,0.77703
1988,Indirect migration background,Lower Secondary Level,(1b) General Elementary School,0.79980,56,56,0.69404,0.90555
1988,Indirect migration background,Upper Secondary Level,(1c) Basic Vocational Qualification,0.50833,49,49,0.36690,0.64976
1989,No migration background,Primary Level,(1a) Inadequately completed,0.72702,47,47,0.59828,0.85576
1989,No migration background,Lower Secondary Level,(1b) General Elementary School,0.82911,1284,1590,0.81060,0.84762
1989,No migration background,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.17089,306,1590,0.15238,0.18940
1989,No migration background,Upper Secondary Level,(1c) Basic Vocational Qualification,0.67157,2451,3683,0.65640,0.68674
1989,No migration background,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.26799,999,3683,0.25368,0.28230
1989,No migration background,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.05834,233,3683,0.05077,0.06591
1989,No migration background,First Stage of Tertiary Education,(1c) Basic Vocational Qualification,0.47512,209,457,0.42928,0.52095
1989,No migration background,First Stage of Tertiary Education,(2) Intermediate General/Vocational Qualification,0.30101,151,457,0.25891,0.34311
1989,No migration background,First Stage of Tertiary Education,(2c_voc) Vocational Maturity Certificate,0.21713,97,457,0.17929,0.25497
1989,No migration background,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.35110,208,606,0.31307,0.38914
1989,No migration background,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.64890,398,606,0.61086,0.68693
1989,Direct migration background,Primary Level,(1a) Inadequately completed,0.96581,570,570,0.95088,0.98074
1989,Direct migration background,Lower Secondary Level,(1b) General Elementary School,0.90679,822,874,0.88750,0.92607
1989,Direct migration background,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.09321,52,874,0.07393,0.11250
1989,Direct migration background,Upper Secondary Level,(1a) Inadequately completed,0.03752,73,813,0.02445,0.05059
1989,Direct migration background,Upper Secondary Level,(1c) Basic Vocational Qualification,0.67362,557,813,0.64137,0.70588
1989,Direct migration background,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.18652,82,813,0.15972,0.21331
1989,Direct migration background,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.10234,101,813,0.08149,0.12319
1989,Direct migration background,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.64147,65,65,0.52398,0.75897
1989,Indirect migration background,Lower Secondary Level,(1b) General Elementary School,0.75958,72,106,0.67783,0.84132
1989,Indirect migration background,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.24042,34,106,0.15868,0.32217
1989,Indirect migration background,Upper Secondary Level,(1c) Basic Vocational Qualification,0.50100,49,49,0.35955,0.64245
1990,No migration background,Pre-primary Level,(0) No qualification (yet),0.90361,102,102,0.84606,0.96117
1990,No migration background,Primary Level,(1a) Inadequately completed,0.71365,55,55,0.59307,0.83422
1990,No migration background,Lower Secondary Level,(1b) General Elementary School,0.81309,1538,1995,0.79598,0.83020
1990,No migration background,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.18691,457,1995,0.16980,0.20402
1990,No migration background,Upper Secondary Level,(1c) Basic Vocational Qualification,0.63345,3566,6065,0.62132,0.64557
1990,No migration background,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.31435,2227,6065,0.30266,0.32603
1990,No migration background,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.04998,272,6065,0.04450,0.05547
1990,No migration background,First Stage of Tertiary Education,(1c) Basic Vocational Qualification,0.45701,294,702,0.42013,0.49388
1990,No migration background,First Stage of Tertiary Education,(2) Intermediate General/Vocational Qualification,0.35018,302,702,0.31486,0.38549
1990,No migration background,First Stage of Tertiary Education,(2c_voc) Vocational Maturity Certificate,0.18765,106,702,0.15875,0.21655
1990,No migration background,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.46816,845,1561,0.44340,0.49292
1990,No migration background,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.53184,716,1561,0.50708,0.55660
1990,Direct migration background,Primary Level,(1a) Inadequately completed,0.96775,546,546,0.95292,0.98258
1990,Direct migration background,Lower Secondary Level,(1b) General Elementary School,0.89824,821,873,0.87817,0.91830
1990,Direct migration background,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.10176,52,873,0.08170,0.12183
1990,Direct migration background,Upper Secondary Level,(1a) Inadequately completed,0.03453,65,855,0.02229,0.04678
1990,Direct migration background,Upper Secondary Level,(1c) Basic Vocational Qualification,0.69060,604,855,0.65959,0.72160
1990,Direct migration background,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.18606,96,855,0.15996,0.21217
1990,Direct migration background,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.08881,90,855,0.06973,0.10788
1990,Direct migration background,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.38267,43,127,0.29781,0.46754
1990,Direct migration background,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.61733,84,127,0.53246,0.70219
1990,Indirect migration background,Lower Secondary Level,(1b) General Elementary School,0.73822,83,117,0.65822,0.81822
1990,Indirect migration background,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.26178,34,117,0.18178,0.34178
1990,Indirect migration background,Upper Secondary Level,(1c) Basic Vocational Qualification,0.51657,54,54,0.38203,0.65111
1991,No migration background,Pre-primary Level,(0) No qualification (yet),0.95885,97,97,0.91912,0.99859
1991,No migration background,Primary Level,(1a) Inadequately completed,0.76677,86,86,0.67687,0.85667
1991,No migration background,Lower Secondary Level,(1b) General Elementary School,0.81289,1440,1874,0.79522,0.83055
1991,No migration background,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.18711,434,1874,0.16945,0.20478
1991,No migration background,Upper Secondary Level,(1c) Basic Vocational Qualification,0.62532,3418,5878,0.61294,0.63769
1991,No migration background,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.32365,2191,5878,0.31169,0.33561
1991,No migration background,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.04826,269,5878,0.04278,0.05374
1991,No migration background,First Stage of Tertiary Education,(1c) Basic Vocational Qualification,0.44597,286,690,0.40885,0.48308
1991,No migration background,First Stage of Tertiary Education,(2) Intermediate General/Vocational Qualification,0.35611,294,690,0.32035,0.39186
1991,No migration background,First Stage of Tertiary Education,(2c_voc) Vocational Maturity Certificate,0.19304,110,690,0.16357,0.22251
1991,No migration background,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.47124,839,1550,0.44638,0.49610
1991,No migration background,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.52876,711,1550,0.50390,0.55362
1991,Direct migration background,Primary Level,(1a) Inadequately completed,0.97255,533,533,0.95867,0.98643
1991,Direct migration background,Lower Secondary Level,(1b) General Elementary School,0.89265,790,847,0.87179,0.91351
1991,Direct migration background,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.10735,57,847,0.08649,0.12821
1991,Direct migration background,Upper Secondary Level,(1a) Inadequately completed,0.03602,62,853,0.02351,0.04853
1991,Direct migration background,Upper Secondary Level,(1c) Basic Vocational Qualification,0.69485,609,853,0.66393,0.72577
1991,Direct migration background,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.18732,94,853,0.16112,0.21352
1991,Direct migration background,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.08181,88,853,0.06341,0.10021
1991,Direct migration background,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.40001,44,126,0.31413,0.48589
1991,Direct migration background,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.59999,82,126,0.51411,0.68587
1991,Indirect migration background,Lower Secondary Level,(1b) General Elementary School,0.73899,95,137,0.66518,0.81281
1991,Indirect migration background,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.26101,42,137,0.18719,0.33482
1991,Indirect migration background,Upper Secondary Level,(1c) Basic Vocational Qualification,0.49668,64,64,0.37321,0.62014
1992,No migration background,Pre-primary Level,(0) No qualification (yet),0.84583,85,125,0.78227,0.90939
1992,No migration background,Pre-primary Level,(1a) Inadequately completed,0.15417,40,125,0.09061,0.21773
1992,No migration background,Primary Level,(1a) Inadequately completed,0.74884,71,71,0.64724,0.85043
1992,No migration background,Lower Secondary Level,(1b) General Elementary School,0.80997,1365,1797,0.79182,0.82811
1992,No migration background,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.19003,432,1797,0.17189,0.20818
1992,No migration background,Upper Secondary Level,(1c) Basic Vocational Qualification,0.62043,3306,5704,0.60783,0.63302
1992,No migration background,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.32614,2138,5704,0.31397,0.33830
1992,No migration background,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.05023,260,5704,0.04456,0.05590
1992,No migration background,First Stage of Tertiary Education,(1c) Basic Vocational Qualification,0.44195,281,693,0.40494,0.47895
1992,No migration background,First Stage of Tertiary Education,(2) Intermediate General/Vocational Qualification,0.36064,296,693,0.32486,0.39642
1992,No migration background,First Stage of Tertiary Education,(2c_voc) Vocational Maturity Certificate,0.19292,116,693,0.16352,0.22232
1992,No migration background,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.46895,819,1521,0.44387,0.49404
1992,No migration background,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.53105,702,1521,0.50596,0.55613
1992,Direct migration background,Primary Level,(1a) Inadequately completed,0.97623,510,510,0.96300,0.98947
1992,Direct migration background,Lower Secondary Level,(1b) General Elementary School,0.89462,764,821,0.87361,0.91564
1992,Direct migration background,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.10538,57,821,0.08436,0.12639
1992,Direct migration background,Upper Secondary Level,(1a) Inadequately completed,0.03639,60,830,0.02364,0.04913
1992,Direct migration background,Upper Secondary Level,(1c) Basic Vocational Qualification,0.70678,592,830,0.67579,0.73777
1992,Direct migration background,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.17201,86,830,0.14632,0.19770
1992,Direct migration background,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.08483,92,830,0.06586,0.10380
1992,Direct migration background,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.36076,46,131,0.27821,0.44331
1992,Direct migration background,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.63924,85,131,0.55669,0.72179
1992,Indirect migration background,Pre-primary Level,(0) No qualification (yet),0.97283,47,47,0.92584,1.01981
1992,Indirect migration background,Lower Secondary Level,(1b) General Elementary School,0.66169,115,166,0.58950,0.73388
1992,Indirect migration background,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.33831,51,166,0.26612,0.41050
1992,Indirect migration background,Upper Secondary Level,(1c) Basic Vocational Qualification,0.43188,62,62,0.30757,0.55619
1993,No migration background,Pre-primary Level,(0) No qualification (yet),0.76868,72,128,0.69534,0.84202
1993,No migration background,Pre-primary Level,(1a) Inadequately completed,0.23132,56,128,0.15798,0.30466
1993,No migration background,Primary Level,(1a) Inadequately completed,0.76615,68,68,0.66479,0.86750
1993,No migration background,Lower Secondary Level,(1b) General Elementary School,0.81144,1305,1702,0.79286,0.83003
1993,No migration background,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.18856,397,1702,0.16997,0.20714
1993,No migration background,Upper Secondary Level,(1c) Basic Vocational Qualification,0.61409,3208,5628,0.60137,0.62681
1993,No migration background,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.33500,2149,5628,0.32266,0.34733
1993,No migration background,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.04831,271,5628,0.04271,0.05392
1993,No migration background,First Stage of Tertiary Education,(1c) Basic Vocational Qualification,0.43271,268,676,0.39533,0.47008
1993,No migration background,First Stage of Tertiary Education,(2) Intermediate General/Vocational Qualification,0.36452,294,676,0.32822,0.40083
1993,No migration background,First Stage of Tertiary Education,(2c_voc) Vocational Maturity Certificate,0.19829,114,676,0.16821,0.22837
1993,No migration background,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.46975,801,1500,0.44449,0.49502
1993,No migration background,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.53025,699,1500,0.50498,0.55551
1993,Direct migration background,Primary Level,(1a) Inadequately completed,0.97598,501,501,0.96255,0.98940
1993,Direct migration background,Lower Secondary Level,(1b) General Elementary School,0.90106,736,783,0.88014,0.92199
1993,Direct migration background,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.09894,47,783,0.07801,0.11986
1993,Direct migration background,Upper Secondary Level,(1a) Inadequately completed,0.03721,57,820,0.02425,0.05017
1993,Direct migration background,Upper Secondary Level,(1c) Basic Vocational Qualification,0.70616,584,820,0.67496,0.73735
1993,Direct migration background,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.16311,87,820,0.13781,0.18842
1993,Direct migration background,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.09352,92,820,0.07358,0.11346
1993,Direct migration background,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.33708,44,131,0.25582,0.41835
1993,Direct migration background,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.66292,87,131,0.58165,0.74418
1993,Indirect migration background,Pre-primary Level,(0) No qualification (yet),0.95848,45,45,0.89954,1.01743
1993,Indirect migration background,Lower Secondary Level,(1b) General Elementary School,0.58954,121,193,0.51995,0.65912
1993,Indirect migration background,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.41046,72,193,0.34088,0.48005
1993,Indirect migration background,Upper Secondary Level,(1c) Basic Vocational Qualification,0.47367,73,140,0.39067,0.55668
1993,Indirect migration background,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.29455,33,140,0.21877,0.37034
1993,Indirect migration background,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.22597,34,140,0.15644,0.29549
1994,No migration background,Pre-primary Level,(0) No qualification (yet),0.88430,131,166,0.83549,0.93311
1994,No migration background,Pre-primary Level,(1a) Inadequately completed,0.11570,35,166,0.06689,0.16451
1994,No migration background,Primary Level,(1a) Inadequately completed,0.73974,55,55,0.62271,0.85677
1994,No migration background,Lower Secondary Level,(1b) General Elementary School,0.81870,1241,1603,0.79983,0.83757
1994,No migration background,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.18130,362,1603,0.16243,0.20017
1994,No migration background,Upper Secondary Level,(1c) Basic Vocational Qualification,0.61089,3124,5536,0.59805,0.62374
1994,No migration background,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.33734,2134,5536,0.32488,0.34980
1994,No migration background,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.04900,278,5536,0.04331,0.05469
1994,No migration background,First Stage of Tertiary Education,(1c) Basic Vocational Qualification,0.43334,261,677,0.39599,0.47070
1994,No migration background,First Stage of Tertiary Education,(2) Intermediate General/Vocational Qualification,0.36686,303,677,0.33053,0.40319
1994,No migration background,First Stage of Tertiary Education,(2c_voc) Vocational Maturity Certificate,0.19460,113,677,0.16476,0.22444
1994,No migration background,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.46557,800,1520,0.44049,0.49066
1994,No migration background,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.53443,720,1520,0.50934,0.55951
1994,Direct migration background,Primary Level,(1a) Inadequately completed,0.97225,465,465,0.95731,0.98720
1994,Direct migration background,Lower Secondary Level,(1b) General Elementary School,0.91010,672,708,0.88902,0.93119
1994,Direct migration background,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.08990,36,708,0.06881,0.11098
1994,Direct migration background,Upper Secondary Level,(1a) Inadequately completed,0.03464,53,797,0.02194,0.04734
1994,Direct migration background,Upper Secondary Level,(1c) Basic Vocational Qualification,0.70198,565,797,0.67021,0.73376
1994,Direct migration background,Upper Secondary Level,(2) Intermediate General/Vocational Qualification,0.16176,88,797,0.13618,0.18735
1994,Direct migration background,Upper Secondary Level,(2c_gen) General Maturity Certificate,0.10162,91,797,0.08063,0.12261
1994,Direct migration background,Second Stage of Tertiary Education,(3a) Lower Tertiary Education,0.34067,45,124,0.25691,0.42442
1994,Direct migration background,Second Stage of Tertiary Education,(3b) Higher Tertiary Education,0.65933,79,124,0.57558,0.74309
1994,Indirect migration background,Pre-primary Level,(0) No qualification (yet),0.98700,59,59,0.95785,1.01615
1994,Indirect migration background,Lower Secondary Level,(1b) General Elementary School,0.59782,112,181,0.52619,0.66946
1994,Indirect migration background,Lower Secondary Level,(2) Intermediate General/Vocational Qualification,0.40218,69,181,0.33054,0.47381
