"year","migback","sampreg","mean","median","n","lower_confidence","upper_confidence"
"1990","indirekter Migrationshintergrund","West","","","","",""
"1990","kein Migrationshintergrund ","Ost","","","","",""
"1990","kein Migrationshintergrund ","West","","","","",""
"1991","direkter Migrationshintergrund","Ost","","","","",""
"1991","direkter Migrationshintergrund","West","","","","",""
"1991","indirekter Migrationshintergrund","Ost","","","","",""
"1991","indirekter Migrationshintergrund","West","","","","",""
"1991","kein Migrationshintergrund ","Ost","","","","",""
"1991","kein Migrationshintergrund ","West","","","","",""
"1992","direkter Migrationshintergrund","Ost","","","","",""
"1992","direkter Migrationshintergrund","West","","","","",""
"1992","indirekter Migrationshintergrund","Ost","","","","",""
"1992","indirekter Migrationshintergrund","West","","","","",""
"1992","kein Migrationshintergrund ","Ost","","","","",""
"1992","kein Migrationshintergrund ","West","","","","",""
"1993","direkter Migrationshintergrund","Ost","","","","",""
"1993","direkter Migrationshintergrund","West","","","","",""
"1993","indirekter Migrationshintergrund","Ost","","","","",""
"1993","indirekter Migrationshintergrund","West","","","","",""
"1993","kein Migrationshintergrund ","Ost","","","","",""
"1993","kein Migrationshintergrund ","West","","","","",""
"1994","direkter Migrationshintergrund","Ost","","","","",""
"1994","direkter Migrationshintergrund","West","","","","",""
"1994","indirekter Migrationshintergrund","Ost","","","","",""
"1994","indirekter Migrationshintergrund","West","","","","",""
"1994","kein Migrationshintergrund ","Ost","","","","",""
"1994","kein Migrationshintergrund ","West","","","","",""
"1995","direkter Migrationshintergrund","Ost","","","","",""
"1995","direkter Migrationshintergrund","West","","","","",""
"1995","indirekter Migrationshintergrund","Ost","","","","",""
"1995","indirekter Migrationshintergrund","West","","","","",""
"1995","kein Migrationshintergrund ","Ost","","","","",""
"1995","kein Migrationshintergrund ","West","","","","",""
"1996","direkter Migrationshintergrund","Ost","","","","",""
"1996","direkter Migrationshintergrund","West","","","","",""
"1996","indirekter Migrationshintergrund","Ost","","","","",""
"1996","indirekter Migrationshintergrund","West","","","","",""
"1996","kein Migrationshintergrund ","Ost","","","","",""
"1996","kein Migrationshintergrund ","West","","","","",""
"1997","direkter Migrationshintergrund","Ost","","","","",""
"1997","direkter Migrationshintergrund","West","","","","",""
"1997","indirekter Migrationshintergrund","Ost","","","","",""
"1997","indirekter Migrationshintergrund","West","","","","",""
"1997","kein Migrationshintergrund ","Ost","","","","",""
"1997","kein Migrationshintergrund ","West","","","","",""
"1998","direkter Migrationshintergrund","Ost","","","","",""
"1998","direkter Migrationshintergrund","West","","","","",""
"1998","indirekter Migrationshintergrund","Ost","","","","",""
"1998","indirekter Migrationshintergrund","West","","","","",""
"1998","kein Migrationshintergrund ","Ost","","","","",""
"1998","kein Migrationshintergrund ","West","","","","",""
"1999","direkter Migrationshintergrund","Ost","","","","",""
"1999","direkter Migrationshintergrund","West","","","","",""
"1999","indirekter Migrationshintergrund","Ost","","","","",""
"1999","indirekter Migrationshintergrund","West","","","","",""
"1999","kein Migrationshintergrund ","Ost","","","","",""
"1999","kein Migrationshintergrund ","West","","","","",""
"2000","direkter Migrationshintergrund","Ost","","","","",""
"2000","direkter Migrationshintergrund","West","","","","",""
"2000","indirekter Migrationshintergrund","Ost","","","","",""
"2000","indirekter Migrationshintergrund","West","","","","",""
"2000","kein Migrationshintergrund ","Ost","","","","",""
"2000","kein Migrationshintergrund ","West","","","","",""
"2001","direkter Migrationshintergrund","Ost","","","","",""
"2001","direkter Migrationshintergrund","West","","","","",""
"2001","indirekter Migrationshintergrund","Ost","","","","",""
"2001","indirekter Migrationshintergrund","West","","","","",""
"2001","kein Migrationshintergrund ","Ost","","","","",""
"2001","kein Migrationshintergrund ","West","","","","",""
"2002","direkter Migrationshintergrund","Ost","","","","",""
"2002","direkter Migrationshintergrund","West","","","","",""
"2002","indirekter Migrationshintergrund","Ost","","","","",""
"2002","indirekter Migrationshintergrund","West","","","","",""
"2002","kein Migrationshintergrund ","Ost","","","","",""
"2002","kein Migrationshintergrund ","West","","","","",""
"2003","direkter Migrationshintergrund","Ost","","","","",""
"2003","direkter Migrationshintergrund","West","","","","",""
"2003","indirekter Migrationshintergrund","Ost","","","","",""
"2003","indirekter Migrationshintergrund","West","","","","",""
"2003","kein Migrationshintergrund ","Ost","","","","",""
"2003","kein Migrationshintergrund ","West","","","","",""
"2004","direkter Migrationshintergrund","Ost","","","","",""
"2004","direkter Migrationshintergrund","West","","","","",""
"2004","indirekter Migrationshintergrund","Ost","","","","",""
"2004","indirekter Migrationshintergrund","West","","","","",""
"2004","kein Migrationshintergrund ","Ost","","","","",""
"2004","kein Migrationshintergrund ","West","","","","",""
"2005","direkter Migrationshintergrund","Ost","","","","",""
"2005","direkter Migrationshintergrund","West","","","","",""
"2005","indirekter Migrationshintergrund","Ost","","","","",""
"2005","indirekter Migrationshintergrund","West","","","","",""
"2005","kein Migrationshintergrund ","Ost","","","","",""
"2005","kein Migrationshintergrund ","West","","","","",""
"2006","direkter Migrationshintergrund","Ost","","","","",""
"2006","direkter Migrationshintergrund","West","","","","",""
"2006","indirekter Migrationshintergrund","Ost","","","","",""
"2006","indirekter Migrationshintergrund","West","","","","",""
"2006","kein Migrationshintergrund ","Ost","","","","",""
"2006","kein Migrationshintergrund ","West","","","","",""
"2007","direkter Migrationshintergrund","Ost","","","","",""
"2007","direkter Migrationshintergrund","West","","","","",""
"2007","indirekter Migrationshintergrund","Ost","","","","",""
"2007","indirekter Migrationshintergrund","West","","","","",""
"2007","kein Migrationshintergrund ","Ost","","","","",""
"2007","kein Migrationshintergrund ","West","","","","",""
"2008","direkter Migrationshintergrund","Ost","6.14","5.5","79","5.65","6.63"
"2008","direkter Migrationshintergrund","West","6.84","6.5","1799","6.75","6.93"
"2008","indirekter Migrationshintergrund","Ost","7.36","7.5","42","6.78","7.94"
"2008","indirekter Migrationshintergrund","West","7.52","7.5","720","7.4","7.64"
"2008","kein Migrationshintergrund ","Ost","6.58","6.5","4628","6.53","6.63"
"2008","kein Migrationshintergrund ","West","7.13","7.5","11859","7.1","7.16"
"2009","direkter Migrationshintergrund","Ost","","","","",""
"2009","direkter Migrationshintergrund","West","","","","",""
"2009","indirekter Migrationshintergrund","Ost","","","","",""
"2009","indirekter Migrationshintergrund","West","","","","",""
"2009","kein Migrationshintergrund ","Ost","","","","",""
"2009","kein Migrationshintergrund ","West","","","","",""
"2010","direkter Migrationshintergrund","Ost","","","","",""
"2010","direkter Migrationshintergrund","West","","","","",""
"2010","indirekter Migrationshintergrund","Ost","","","","",""
"2010","indirekter Migrationshintergrund","West","","","","",""
"2010","kein Migrationshintergrund ","Ost","","","","",""
"2010","kein Migrationshintergrund ","West","","","","",""
"2011","direkter Migrationshintergrund","Ost","","","","",""
"2011","direkter Migrationshintergrund","West","","","","",""
"2011","indirekter Migrationshintergrund","Ost","","","","",""
"2011","indirekter Migrationshintergrund","West","","","","",""
"2011","kein Migrationshintergrund ","Ost","","","","",""
"2011","kein Migrationshintergrund ","West","","","","",""
"2012","direkter Migrationshintergrund","Ost","","","","",""
"2012","direkter Migrationshintergrund","West","","","","",""
"2012","indirekter Migrationshintergrund","Ost","","","","",""
"2012","indirekter Migrationshintergrund","West","","","","",""
"2012","kein Migrationshintergrund ","Ost","","","","",""
"2012","kein Migrationshintergrund ","West","","","","",""
"2013","direkter Migrationshintergrund","Ost","7.36","7.5","377","7.17","7.55"
"2013","direkter Migrationshintergrund","West","7.49","7.5","4909","7.44","7.54"
"2013","indirekter Migrationshintergrund","Ost","7.04","6.5","72","6.62","7.46"
"2013","indirekter Migrationshintergrund","West","7.9","7.5","1556","7.82","7.98"
"2013","kein Migrationshintergrund ","Ost","6.92","6.5","4335","6.87","6.97"
"2013","kein Migrationshintergrund ","West","7.38","7.5","12258","7.35","7.41"
"2014","direkter Migrationshintergrund","Ost","","","","",""
"2014","direkter Migrationshintergrund","West","","","","",""
"2014","indirekter Migrationshintergrund","Ost","","","","",""
"2014","indirekter Migrationshintergrund","West","","","","",""
"2014","kein Migrationshintergrund ","Ost","","","","",""
"2014","kein Migrationshintergrund ","West","","","","",""
"2015","direkter Migrationshintergrund","Ost","","","","",""
"2015","direkter Migrationshintergrund","West","","","","",""
"2015","indirekter Migrationshintergrund","Ost","","","","",""
"2015","indirekter Migrationshintergrund","West","","","","",""
"2015","kein Migrationshintergrund ","Ost","","","","",""
"2015","kein Migrationshintergrund ","West","","","","",""
"2016","direkter Migrationshintergrund","Ost","","","","",""
"2016","direkter Migrationshintergrund","West","","","","",""
"2016","indirekter Migrationshintergrund","Ost","","","","",""
"2016","indirekter Migrationshintergrund","West","","","","",""
"2016","kein Migrationshintergrund ","Ost","","","","",""
"2016","kein Migrationshintergrund ","West","","","","",""
"2017","direkter Migrationshintergrund","Ost","","","","",""
"2017","direkter Migrationshintergrund","West","","","","",""
"2017","indirekter Migrationshintergrund","Ost","","","","",""
"2017","indirekter Migrationshintergrund","West","","","","",""
"2017","kein Migrationshintergrund ","Ost","","","","",""
"2017","kein Migrationshintergrund ","West","","","","",""
"2018","direkter Migrationshintergrund","Ost","7.77","7.5","343","7.6","7.94"
"2018","direkter Migrationshintergrund","West","7.66","7.5","3985","7.61","7.71"
"2018","indirekter Migrationshintergrund","Ost","7.27","7.5","119","6.93","7.61"
"2018","indirekter Migrationshintergrund","West","7.9","7.5","1571","7.82","7.98"
"2018","kein Migrationshintergrund ","Ost","7.29","7.5","4984","7.24","7.34"
"2018","kein Migrationshintergrund ","West","7.61","7.5","14324","7.58","7.64"
