"year","regtyp","sex","mean","median","n","lower_confidence","upper_confidence"
"1993","Laendlicher Raum","weiblich","","","","",""
"1993","Staedtischer Raum","maennlich","","","","",""
"1993","Staedtischer Raum","weiblich","","","","",""
"1994","Laendlicher Raum","maennlich","","","","",""
"1994","Laendlicher Raum","weiblich","","","","",""
"1994","Staedtischer Raum","maennlich","","","","",""
"1994","Staedtischer Raum","weiblich","","","","",""
"1995","Laendlicher Raum","maennlich","","","","",""
"1995","Laendlicher Raum","weiblich","","","","",""
"1995","Staedtischer Raum","maennlich","","","","",""
"1995","Staedtischer Raum","weiblich","","","","",""
"1996","Laendlicher Raum","maennlich","","","","",""
"1996","Laendlicher Raum","weiblich","","","","",""
"1996","Staedtischer Raum","maennlich","","","","",""
"1996","Staedtischer Raum","weiblich","","","","",""
"1997","Laendlicher Raum","maennlich","","","","",""
"1997","Laendlicher Raum","weiblich","","","","",""
"1997","Staedtischer Raum","maennlich","","","","",""
"1997","Staedtischer Raum","weiblich","","","","",""
"1998","Laendlicher Raum","maennlich","","","","",""
"1998","Laendlicher Raum","weiblich","","","","",""
"1998","Staedtischer Raum","maennlich","","","","",""
"1998","Staedtischer Raum","weiblich","","","","",""
"1999","Laendlicher Raum","maennlich","","","","",""
"1999","Laendlicher Raum","weiblich","","","","",""
"1999","Staedtischer Raum","maennlich","","","","",""
"1999","Staedtischer Raum","weiblich","","","","",""
"2000","Laendlicher Raum","maennlich","","","","",""
"2000","Laendlicher Raum","weiblich","","","","",""
"2000","Staedtischer Raum","maennlich","","","","",""
"2000","Staedtischer Raum","weiblich","","","","",""
"2001","Laendlicher Raum","maennlich","","","","",""
"2001","Laendlicher Raum","weiblich","","","","",""
"2001","Staedtischer Raum","maennlich","","","","",""
"2001","Staedtischer Raum","weiblich","","","","",""
"2002","Laendlicher Raum","maennlich","","","","",""
"2002","Laendlicher Raum","weiblich","","","","",""
"2002","Staedtischer Raum","maennlich","","","","",""
"2002","Staedtischer Raum","weiblich","","","","",""
"2003","Laendlicher Raum","maennlich","","","","",""
"2003","Laendlicher Raum","weiblich","","","","",""
"2003","Staedtischer Raum","maennlich","","","","",""
"2003","Staedtischer Raum","weiblich","","","","",""
"2004","Laendlicher Raum","maennlich","","","","",""
"2004","Laendlicher Raum","weiblich","","","","",""
"2004","Staedtischer Raum","maennlich","","","","",""
"2004","Staedtischer Raum","weiblich","","","","",""
"2005","Laendlicher Raum","maennlich","","","","",""
"2005","Laendlicher Raum","weiblich","","","","",""
"2005","Staedtischer Raum","maennlich","","","","",""
"2005","Staedtischer Raum","weiblich","","","","",""
"2006","Laendlicher Raum","maennlich","","","","",""
"2006","Laendlicher Raum","weiblich","","","","",""
"2006","Staedtischer Raum","maennlich","","","","",""
"2006","Staedtischer Raum","weiblich","","","","",""
"2007","Laendlicher Raum","maennlich","","","","",""
"2007","Laendlicher Raum","weiblich","","","","",""
"2007","Staedtischer Raum","maennlich","","","","",""
"2007","Staedtischer Raum","weiblich","","","","",""
"2008","Laendlicher Raum","maennlich","6.89","6.5","3196","6.83","6.95"
"2008","Laendlicher Raum","weiblich","6.94","6.5","3427","6.88","7"
"2008","Staedtischer Raum","maennlich","7.06","6.5","5926","7.02","7.1"
"2008","Staedtischer Raum","weiblich","7.05","6.5","6578","7.01","7.09"
"2009","Laendlicher Raum","maennlich","","","","",""
"2009","Laendlicher Raum","weiblich","","","","",""
"2009","Staedtischer Raum","maennlich","","","","",""
"2009","Staedtischer Raum","weiblich","","","","",""
"2010","Laendlicher Raum","maennlich","","","","",""
"2010","Laendlicher Raum","weiblich","","","","",""
"2010","Staedtischer Raum","maennlich","","","","",""
"2010","Staedtischer Raum","weiblich","","","","",""
"2011","Laendlicher Raum","maennlich","","","","",""
"2011","Laendlicher Raum","weiblich","","","","",""
"2011","Staedtischer Raum","maennlich","","","","",""
"2011","Staedtischer Raum","weiblich","","","","",""
"2012","Laendlicher Raum","maennlich","","","","",""
"2012","Laendlicher Raum","weiblich","","","","",""
"2012","Staedtischer Raum","maennlich","","","","",""
"2012","Staedtischer Raum","weiblich","","","","",""
"2013","Laendlicher Raum","maennlich","7.21","7.5","3731","7.15","7.27"
"2013","Laendlicher Raum","weiblich","7.21","7.5","4113","7.16","7.26"
"2013","Staedtischer Raum","maennlich","7.38","7.5","7340","7.34","7.42"
"2013","Staedtischer Raum","weiblich","7.43","7.5","8323","7.39","7.47"
"2014","Laendlicher Raum","maennlich","","","","",""
"2014","Laendlicher Raum","weiblich","","","","",""
"2014","Staedtischer Raum","maennlich","","","","",""
"2014","Staedtischer Raum","weiblich","","","","",""
"2015","Laendlicher Raum","maennlich","","","","",""
"2015","Laendlicher Raum","weiblich","","","","",""
"2015","Staedtischer Raum","maennlich","","","","",""
"2015","Staedtischer Raum","weiblich","","","","",""
"2016","Laendlicher Raum","maennlich","","","","",""
"2016","Laendlicher Raum","weiblich","","","","",""
"2016","Staedtischer Raum","maennlich","","","","",""
"2016","Staedtischer Raum","weiblich","","","","",""
"2017","Laendlicher Raum","maennlich","","","","",""
"2017","Laendlicher Raum","weiblich","","","","",""
"2017","Staedtischer Raum","maennlich","","","","",""
"2017","Staedtischer Raum","weiblich","","","","",""
"2018","Laendlicher Raum","maennlich","7.44","7.5","4144","7.39","7.49"
"2018","Laendlicher Raum","weiblich","7.52","7.5","4755","7.47","7.57"
"2018","Staedtischer Raum","maennlich","7.59","7.5","7538","7.55","7.63"
"2018","Staedtischer Raum","weiblich","7.67","7.5","8889","7.64","7.7"
