"year","migback","sex","mean","median","n","lower_confidence","upper_confidence"
"2008","direkter Migrationshintergrund","weiblich","6.87","6.5","1011","6.75","6.99"
"2008","indirekter Migrationshintergrund","männlich","7.48","7.5","367","7.31","7.65"
"2008","indirekter Migrationshintergrund","weiblich","7.55","7.5","395","7.39","7.71"
"2008","kein Migrationshintergrund ","männlich","7.01","6.5","7888","6.97","7.05"
"2008","kein Migrationshintergrund ","weiblich","7.01","6.5","8599","6.97","7.05"
"2009","direkter Migrationshintergrund","männlich","","","","",""
"2009","direkter Migrationshintergrund","weiblich","","","","",""
"2009","indirekter Migrationshintergrund","männlich","","","","",""
"2009","indirekter Migrationshintergrund","weiblich","","","","",""
"2009","kein Migrationshintergrund ","männlich","","","","",""
"2009","kein Migrationshintergrund ","weiblich","","","","",""
"2010","direkter Migrationshintergrund","männlich","","","","",""
"2010","direkter Migrationshintergrund","weiblich","","","","",""
"2010","indirekter Migrationshintergrund","männlich","","","","",""
"2010","indirekter Migrationshintergrund","weiblich","","","","",""
"2010","kein Migrationshintergrund ","männlich","","","","",""
"2010","kein Migrationshintergrund ","weiblich","","","","",""
"2011","direkter Migrationshintergrund","männlich","","","","",""
"2011","direkter Migrationshintergrund","weiblich","","","","",""
"2011","indirekter Migrationshintergrund","männlich","","","","",""
"2011","indirekter Migrationshintergrund","weiblich","","","","",""
"2011","kein Migrationshintergrund ","männlich","","","","",""
"2011","kein Migrationshintergrund ","weiblich","","","","",""
"2012","direkter Migrationshintergrund","männlich","","","","",""
"2012","direkter Migrationshintergrund","weiblich","","","","",""
"2012","indirekter Migrationshintergrund","männlich","","","","",""
"2012","indirekter Migrationshintergrund","weiblich","","","","",""
"2012","kein Migrationshintergrund ","männlich","","","","",""
"2012","kein Migrationshintergrund ","weiblich","","","","",""
"2013","direkter Migrationshintergrund","männlich","7.47","7.5","2394","7.4","7.54"
"2013","direkter Migrationshintergrund","weiblich","7.51","7.5","2892","7.44","7.58"
"2013","indirekter Migrationshintergrund","männlich","7.93","7.5","814","7.82","8.04"
"2013","indirekter Migrationshintergrund","weiblich","7.8","7.5","814","7.68","7.92"
"2013","kein Migrationshintergrund ","männlich","7.26","7.5","7863","7.22","7.3"
"2013","kein Migrationshintergrund ","weiblich","7.31","7.5","8730","7.27","7.35"
"2014","direkter Migrationshintergrund","männlich","","","","",""
"2014","direkter Migrationshintergrund","weiblich","","","","",""
"2014","indirekter Migrationshintergrund","männlich","","","","",""
"2014","indirekter Migrationshintergrund","weiblich","","","","",""
"2014","kein Migrationshintergrund ","männlich","","","","",""
"2014","kein Migrationshintergrund ","weiblich","","","","",""
"2015","direkter Migrationshintergrund","männlich","","","","",""
"2015","direkter Migrationshintergrund","weiblich","","","","",""
"2015","indirekter Migrationshintergrund","männlich","","","","",""
"2015","indirekter Migrationshintergrund","weiblich","","","","",""
"2015","kein Migrationshintergrund ","männlich","","","","",""
"2015","kein Migrationshintergrund ","weiblich","","","","",""
"2016","direkter Migrationshintergrund","männlich","","","","",""
"2016","direkter Migrationshintergrund","weiblich","","","","",""
"2016","indirekter Migrationshintergrund","männlich","","","","",""
"2016","indirekter Migrationshintergrund","weiblich","","","","",""
"2016","kein Migrationshintergrund ","männlich","","","","",""
"2016","kein Migrationshintergrund ","weiblich","","","","",""
"2017","direkter Migrationshintergrund","männlich","","","","",""
"2017","direkter Migrationshintergrund","weiblich","","","","",""
"2017","indirekter Migrationshintergrund","männlich","","","","",""
"2017","indirekter Migrationshintergrund","weiblich","","","","",""
"2017","kein Migrationshintergrund ","männlich","","","","",""
"2017","kein Migrationshintergrund ","weiblich","","","","",""
"2018","direkter Migrationshintergrund","männlich","7.6","7.5","1946","7.53","7.67"
"2018","direkter Migrationshintergrund","weiblich","7.73","7.5","2382","7.66","7.8"
"2018","indirekter Migrationshintergrund","männlich","7.79","7.5","765","7.68","7.9"
"2018","indirekter Migrationshintergrund","weiblich","7.95","7.5","925","7.85","8.05"
"2018","kein Migrationshintergrund ","männlich","7.51","7.5","8971","7.48","7.54"
"2018","kein Migrationshintergrund ","weiblich","7.57","7.5","10337","7.54","7.6"
