"year","migback","regtyp","mean","median","n","lower_confidence","upper_confidence"
"2007","direkter Migrationshintergrund","Laendlicher Raum","","","","",""
"2007","direkter Migrationshintergrund","Staedtischer Raum","","","","",""
"2007","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"2007","indirekter Migrationshintergrund","Staedtischer Raum","","","","",""
"2007","kein Migrationshintergrund ","Laendlicher Raum","","","","",""
"2007","kein Migrationshintergrund ","Staedtischer Raum","","","","",""
"2008","direkter Migrationshintergrund","Laendlicher Raum","6.89","6.5","353","6.69","7.09"
"2008","direkter Migrationshintergrund","Staedtischer Raum","6.8","6.5","1525","6.71","6.89"
"2008","indirekter Migrationshintergrund","Laendlicher Raum","7.53","7.5","112","7.18","7.88"
"2008","indirekter Migrationshintergrund","Staedtischer Raum","7.51","7.5","650","7.39","7.63"
"2008","kein Migrationshintergrund ","Laendlicher Raum","6.9","6.5","6158","6.85","6.95"
"2008","kein Migrationshintergrund ","Staedtischer Raum","7.07","6.5","10329","7.04","7.1"
"2009","direkter Migrationshintergrund","Laendlicher Raum","","","","",""
"2009","direkter Migrationshintergrund","Staedtischer Raum","","","","",""
"2009","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"2009","indirekter Migrationshintergrund","Staedtischer Raum","","","","",""
"2009","kein Migrationshintergrund ","Laendlicher Raum","","","","",""
"2009","kein Migrationshintergrund ","Staedtischer Raum","","","","",""
"2010","direkter Migrationshintergrund","Laendlicher Raum","","","","",""
"2010","direkter Migrationshintergrund","Staedtischer Raum","","","","",""
"2010","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"2010","indirekter Migrationshintergrund","Staedtischer Raum","","","","",""
"2010","kein Migrationshintergrund ","Laendlicher Raum","","","","",""
"2010","kein Migrationshintergrund ","Staedtischer Raum","","","","",""
"2011","direkter Migrationshintergrund","Laendlicher Raum","","","","",""
"2011","direkter Migrationshintergrund","Staedtischer Raum","","","","",""
"2011","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"2011","indirekter Migrationshintergrund","Staedtischer Raum","","","","",""
"2011","kein Migrationshintergrund ","Laendlicher Raum","","","","",""
"2011","kein Migrationshintergrund ","Staedtischer Raum","","","","",""
"2012","direkter Migrationshintergrund","Laendlicher Raum","","","","",""
"2012","direkter Migrationshintergrund","Staedtischer Raum","","","","",""
"2012","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"2012","indirekter Migrationshintergrund","Staedtischer Raum","","","","",""
"2012","kein Migrationshintergrund ","Laendlicher Raum","","","","",""
"2012","kein Migrationshintergrund ","Staedtischer Raum","","","","",""
"2013","direkter Migrationshintergrund","Laendlicher Raum","7.56","7.5","1283","7.47","7.65"
"2013","direkter Migrationshintergrund","Staedtischer Raum","7.47","7.5","4003","7.41","7.53"
"2013","indirekter Migrationshintergrund","Laendlicher Raum","7.62","7.5","268","7.43","7.81"
"2013","indirekter Migrationshintergrund","Staedtischer Raum","7.93","7.5","1360","7.84","8.02"
"2013","kein Migrationshintergrund ","Laendlicher Raum","7.16","7.5","6293","7.12","7.2"
"2013","kein Migrationshintergrund ","Staedtischer Raum","7.35","7.5","10300","7.32","7.38"
"2014","direkter Migrationshintergrund","Laendlicher Raum","","","","",""
"2014","direkter Migrationshintergrund","Staedtischer Raum","","","","",""
"2014","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"2014","indirekter Migrationshintergrund","Staedtischer Raum","","","","",""
"2014","kein Migrationshintergrund ","Laendlicher Raum","","","","",""
"2014","kein Migrationshintergrund ","Staedtischer Raum","","","","",""
"2015","direkter Migrationshintergrund","Laendlicher Raum","","","","",""
"2015","direkter Migrationshintergrund","Staedtischer Raum","","","","",""
"2015","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"2015","indirekter Migrationshintergrund","Staedtischer Raum","","","","",""
"2015","kein Migrationshintergrund ","Laendlicher Raum","","","","",""
"2015","kein Migrationshintergrund ","Staedtischer Raum","","","","",""
"2016","direkter Migrationshintergrund","Laendlicher Raum","","","","",""
"2016","direkter Migrationshintergrund","Staedtischer Raum","","","","",""
"2016","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"2016","indirekter Migrationshintergrund","Staedtischer Raum","","","","",""
"2016","kein Migrationshintergrund ","Laendlicher Raum","","","","",""
"2016","kein Migrationshintergrund ","Staedtischer Raum","","","","",""
"2017","direkter Migrationshintergrund","Laendlicher Raum","","","","",""
"2017","direkter Migrationshintergrund","Staedtischer Raum","","","","",""
"2017","indirekter Migrationshintergrund","Laendlicher Raum","","","","",""
"2017","indirekter Migrationshintergrund","Staedtischer Raum","","","","",""
"2017","kein Migrationshintergrund ","Laendlicher Raum","","","","",""
"2017","kein Migrationshintergrund ","Staedtischer Raum","","","","",""
"2018","direkter Migrationshintergrund","Laendlicher Raum","7.73","7.5","1115","7.64","7.82"
"2018","direkter Migrationshintergrund","Staedtischer Raum","7.65","7.5","3213","7.59","7.71"
"2018","indirekter Migrationshintergrund","Laendlicher Raum","7.62","7.5","315","7.45","7.79"
"2018","indirekter Migrationshintergrund","Staedtischer Raum","7.91","7.5","1375","7.83","7.99"
"2018","kein Migrationshintergrund ","Laendlicher Raum","7.45","7.5","7469","7.41","7.49"
"2018","kein Migrationshintergrund ","Staedtischer Raum","7.6","7.5","11839","7.57","7.63"
