"pli0165","year","migback","n","percent","lower_confidence","upper_confidence"
"Seltener","2017","kein Migrationshintergrund","","","",""
"Seltener","2017","direkter Migrationshintergrund","233","0.0572234009354267","0.0499992073138119","0.0644475945570415"
"Seltener","2017","indirekter Migrationshintergrund","","","",""
"Nie","2017","kein Migrationshintergrund","","","",""
"Nie","2017","direkter Migrationshintergrund","575","0.139616616993912","0.128836767191462","0.150396466796361"
"Nie","2017","indirekter Migrationshintergrund","","","",""
"Taeglich","2018","kein Migrationshintergrund","","","",""
"Taeglich","2018","direkter Migrationshintergrund","2091","0.68364590000255","0.667487426000549","0.699804374004552"
"Taeglich","2018","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","2018","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","2018","direkter Migrationshintergrund","512","0.148114690280466","0.135772630793547","0.160456749767385"
"Min 1x pro Woche","2018","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","2018","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","2018","direkter Migrationshintergrund","100","0.0283563161735089","0.0225889646283399","0.0341236677186779"
"Min 1x pro Monat","2018","indirekter Migrationshintergrund","","","",""
"Seltener","2018","kein Migrationshintergrund","","","",""
"Seltener","2018","direkter Migrationshintergrund","152","0.0437473342574396","0.0366407627553269","0.0508539057595523"
"Seltener","2018","indirekter Migrationshintergrund","","","",""
"Nie","2018","kein Migrationshintergrund","","","",""
"Nie","2018","direkter Migrationshintergrund","327","0.0961357592860353","0.085893586782015","0.106377931790056"
"Nie","2018","indirekter Migrationshintergrund","","","",""
"Taeglich","2019","kein Migrationshintergrund","","","",""
"Taeglich","2019","direkter Migrationshintergrund","2151","0.705247558043834","0.68919527516787","0.721299840919797"
"Taeglich","2019","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","2019","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","2019","direkter Migrationshintergrund","474","0.153039327074968","0.140363670939415","0.165714983210522"
"Min 1x pro Woche","2019","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","2019","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","2019","direkter Migrationshintergrund","59","0.0158283230633902","0.0114340181654008","0.0202226279613796"
"Min 1x pro Monat","2019","indirekter Migrationshintergrund","","","",""
"Seltener","2019","kein Migrationshintergrund","","","",""
"Seltener","2019","direkter Migrationshintergrund","162","0.0466756569755197","0.0392488375605124","0.054102476390527"
"Seltener","2019","indirekter Migrationshintergrund","","","",""
"Nie","2019","kein Migrationshintergrund","","","",""
"Nie","2019","direkter Migrationshintergrund","253","0.0792091348422881","0.0697007787287397","0.0887174909558365"
"Nie","2019","indirekter Migrationshintergrund","","","",""
