"pli0091_h","year","migback","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Taeglich","1988","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"Taeglich","1988","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"Taeglich","1988","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"Taeglich","1988","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"Taeglich","1988","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Taeglich","1988","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Min 1x pro Woche","1988","kein Migrationshintergrund","Staedtischer Raum","459","0.0792687635304754","0.0720064819229054","0.0865310451380453"
"Min 1x pro Woche","1988","kein Migrationshintergrund","Laendlicher Raum","179","","",""
"Min 1x pro Woche","1988","direkter Migrationshintergrund","Staedtischer Raum","141","","",""
"Min 1x pro Woche","1988","direkter Migrationshintergrund","Laendlicher Raum","28","","",""
"Min 1x pro Woche","1988","indirekter Migrationshintergrund","Staedtischer Raum","52","0.189147796219261","0.133608176613004","0.244687415825518"
"Min 1x pro Woche","1988","indirekter Migrationshintergrund","Laendlicher Raum","4","0.0563134578745301","-0.0261777081152365","0.138804623864297"
"Min 1x pro Woche","1988","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Min 1x pro Woche","1988","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Min 1x pro Monat","1988","kein Migrationshintergrund","Staedtischer Raum","873","0.152897892727143","0.143223488360408","0.162572297093877"
"Min 1x pro Monat","1988","kein Migrationshintergrund","Laendlicher Raum","263","","",""
"Min 1x pro Monat","1988","direkter Migrationshintergrund","Staedtischer Raum","279","","",""
"Min 1x pro Monat","1988","direkter Migrationshintergrund","Laendlicher Raum","44","0.176778530865811","0.136169619600212","0.21738744213141"
"Min 1x pro Monat","1988","indirekter Migrationshintergrund","Staedtischer Raum","52","0.21180191346843","0.153857171247282","0.269746655689578"
"Min 1x pro Monat","1988","indirekter Migrationshintergrund","Laendlicher Raum","10","","",""
"Min 1x pro Monat","1988","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Min 1x pro Monat","1988","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Seltener","1988","kein Migrationshintergrund","Staedtischer Raum","1854","","",""
"Seltener","1988","kein Migrationshintergrund","Laendlicher Raum","562","0.308810463717995","0.286829245837729","0.330791681598262"
"Seltener","1988","direkter Migrationshintergrund","Staedtischer Raum","524","0.277558169510944","0.259293384103168","0.295822954918719"
"Seltener","1988","direkter Migrationshintergrund","Laendlicher Raum","86","0.252265295036811","0.206032434543713","0.298498155529909"
"Seltener","1988","indirekter Migrationshintergrund","Staedtischer Raum","53","0.374035224549389","0.30541334538877","0.442657103710009"
"Seltener","1988","indirekter Migrationshintergrund","Laendlicher Raum","8","0.371035060722695","0.198169628206395","0.543900493238995"
"Seltener","1988","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Seltener","1988","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Nie","1988","kein Migrationshintergrund","Staedtischer Raum","2130","","",""
"Nie","1988","kein Migrationshintergrund","Laendlicher Raum","693","0.453086979181173","0.429402867941223","0.476771090421124"
"Nie","1988","direkter Migrationshintergrund","Staedtischer Raum","1365","","",""
"Nie","1988","direkter Migrationshintergrund","Laendlicher Raum","181","","",""
"Nie","1988","indirekter Migrationshintergrund","Staedtischer Raum","34","0.225015065762919","0.165792961323175","0.284237170202663"
"Nie","1988","indirekter Migrationshintergrund","Laendlicher Raum","8","0.318334394760836","0.15164232587996","0.485026463641712"
"Nie","1988","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Nie","1988","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Taeglich","1989","kein Migrationshintergrund","Staedtischer Raum","","","",""
"Taeglich","1989","kein Migrationshintergrund","Laendlicher Raum","","","",""
"Taeglich","1989","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"Taeglich","1989","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"Taeglich","1989","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"Taeglich","1989","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"Taeglich","1989","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Taeglich","1989","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Min 1x pro Woche","1989","kein Migrationshintergrund","Staedtischer Raum","","","",""
"Min 1x pro Woche","1989","kein Migrationshintergrund","Laendlicher Raum","","","",""
"Min 1x pro Woche","1989","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"Min 1x pro Woche","1989","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"Min 1x pro Woche","1989","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"Min 1x pro Woche","1989","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"Min 1x pro Woche","1989","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Min 1x pro Woche","1989","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Min 1x pro Monat","1989","kein Migrationshintergrund","Staedtischer Raum","","","",""
"Min 1x pro Monat","1989","kein Migrationshintergrund","Laendlicher Raum","","","",""
"Min 1x pro Monat","1989","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"Min 1x pro Monat","1989","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"Min 1x pro Monat","1989","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"Min 1x pro Monat","1989","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"Min 1x pro Monat","1989","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Min 1x pro Monat","1989","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Seltener","1989","kein Migrationshintergrund","Staedtischer Raum","","","",""
"Seltener","1989","kein Migrationshintergrund","Laendlicher Raum","","","",""
"Seltener","1989","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"Seltener","1989","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"Seltener","1989","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"Seltener","1989","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"Seltener","1989","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Seltener","1989","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Nie","1989","kein Migrationshintergrund","Staedtischer Raum","","","",""
"Nie","1989","kein Migrationshintergrund","Laendlicher Raum","","","",""
"Nie","1989","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"Nie","1989","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"Nie","1989","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"Nie","1989","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"Nie","1989","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Nie","1989","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Taeglich","1990","kein Migrationshintergrund","Staedtischer Raum","3","","",""
"Taeglich","1990","kein Migrationshintergrund","Laendlicher Raum","3","","",""
"Taeglich","1990","direkter Migrationshintergrund","Staedtischer Raum","4","0.00127472130013961","-0.000203861812149435","0.00275330441242866"
"Taeglich","1990","direkter Migrationshintergrund","Laendlicher Raum","1","","",""
"Taeglich","1990","indirekter Migrationshintergrund","Staedtischer Raum","1","","",""
"Taeglich","1990","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"Taeglich","1990","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Taeglich","1990","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Min 1x pro Woche","1990","kein Migrationshintergrund","Staedtischer Raum","384","0.05102693995447","0.0456378525399192","0.0564160273690208"
"Min 1x pro Woche","1990","kein Migrationshintergrund","Laendlicher Raum","359","0.0728877982543088","0.0651654866549505","0.0806101098536672"
"Min 1x pro Woche","1990","direkter Migrationshintergrund","Staedtischer Raum","91","0.0408735779096739","0.0326686578435948","0.0490784979757529"
"Min 1x pro Woche","1990","direkter Migrationshintergrund","Laendlicher Raum","14","","",""
"Min 1x pro Woche","1990","indirekter Migrationshintergrund","Staedtischer Raum","53","0.168407755026535","0.122385542747533","0.214429967305538"
"Min 1x pro Woche","1990","indirekter Migrationshintergrund","Laendlicher Raum","6","0.155681272468299","0.0447056575476904","0.266656887388907"
"Min 1x pro Woche","1990","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Min 1x pro Woche","1990","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Min 1x pro Monat","1990","kein Migrationshintergrund","Staedtischer Raum","975","0.146875380492919","0.138206375285304","0.155544385700533"
"Min 1x pro Monat","1990","kein Migrationshintergrund","Laendlicher Raum","540","0.116183953905337","0.106664593392637","0.125703314418038"
"Min 1x pro Monat","1990","direkter Migrationshintergrund","Staedtischer Raum","248","","",""
"Min 1x pro Monat","1990","direkter Migrationshintergrund","Laendlicher Raum","44","0.148167547239844","0.113945849028161","0.182389245451526"
"Min 1x pro Monat","1990","indirekter Migrationshintergrund","Staedtischer Raum","100","","",""
"Min 1x pro Monat","1990","indirekter Migrationshintergrund","Laendlicher Raum","9","0.143454488498035","0.036157272133509","0.250751704862561"
"Min 1x pro Monat","1990","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Min 1x pro Monat","1990","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Seltener","1990","kein Migrationshintergrund","Staedtischer Raum","2390","","",""
"Seltener","1990","kein Migrationshintergrund","Laendlicher Raum","1906","","",""
"Seltener","1990","direkter Migrationshintergrund","Staedtischer Raum","446","0.245935305858684","0.228089759767357","0.263780851950011"
"Seltener","1990","direkter Migrationshintergrund","Laendlicher Raum","115","","",""
"Seltener","1990","indirekter Migrationshintergrund","Staedtischer Raum","58","0.29148681660914","0.235599319663628","0.347374313554653"
"Seltener","1990","indirekter Migrationshintergrund","Laendlicher Raum","14","","",""
"Seltener","1990","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Seltener","1990","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Nie","1990","kein Migrationshintergrund","Staedtischer Raum","2653","","",""
"Nie","1990","kein Migrationshintergrund","Laendlicher Raum","1545","","",""
"Nie","1990","direkter Migrationshintergrund","Staedtischer Raum","1448","","",""
"Nie","1990","direkter Migrationshintergrund","Laendlicher Raum","240","","",""
"Nie","1990","indirekter Migrationshintergrund","Staedtischer Raum","42","0.205157055350236","0.155496093942876","0.254818016757595"
"Nie","1990","indirekter Migrationshintergrund","Laendlicher Raum","12","","",""
"Nie","1990","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Nie","1990","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Taeglich","1991","kein Migrationshintergrund","Staedtischer Raum","","","",""
"Taeglich","1991","kein Migrationshintergrund","Laendlicher Raum","","","",""
"Taeglich","1991","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"Taeglich","1991","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"Taeglich","1991","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"Taeglich","1991","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"Taeglich","1991","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Taeglich","1991","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Min 1x pro Woche","1991","kein Migrationshintergrund","Staedtischer Raum","","","",""
"Min 1x pro Woche","1991","kein Migrationshintergrund","Laendlicher Raum","","","",""
"Min 1x pro Woche","1991","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"Min 1x pro Woche","1991","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"Min 1x pro Woche","1991","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"Min 1x pro Woche","1991","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"Min 1x pro Woche","1991","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Min 1x pro Woche","1991","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Min 1x pro Monat","1991","kein Migrationshintergrund","Staedtischer Raum","","","",""
"Min 1x pro Monat","1991","kein Migrationshintergrund","Laendlicher Raum","","","",""
"Min 1x pro Monat","1991","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"Min 1x pro Monat","1991","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"Min 1x pro Monat","1991","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"Min 1x pro Monat","1991","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"Min 1x pro Monat","1991","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Min 1x pro Monat","1991","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Seltener","1991","kein Migrationshintergrund","Staedtischer Raum","","","",""
"Seltener","1991","kein Migrationshintergrund","Laendlicher Raum","","","",""
"Seltener","1991","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"Seltener","1991","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"Seltener","1991","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"Seltener","1991","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"Seltener","1991","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Seltener","1991","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Nie","1991","kein Migrationshintergrund","Staedtischer Raum","","","",""
"Nie","1991","kein Migrationshintergrund","Laendlicher Raum","","","",""
"Nie","1991","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"Nie","1991","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"Nie","1991","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"Nie","1991","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"Nie","1991","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Nie","1991","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Taeglich","1992","kein Migrationshintergrund","Staedtischer Raum","","","",""
"Taeglich","1992","kein Migrationshintergrund","Laendlicher Raum","","","",""
"Taeglich","1992","direkter Migrationshintergrund","Staedtischer Raum","","","",""
"Taeglich","1992","direkter Migrationshintergrund","Laendlicher Raum","","","",""
"Taeglich","1992","indirekter Migrationshintergrund","Staedtischer Raum","","","",""
"Taeglich","1992","indirekter Migrationshintergrund","Laendlicher Raum","","","",""
"Taeglich","1992","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Taeglich","1992","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Min 1x pro Woche","1992","kein Migrationshintergrund","Staedtischer Raum","458","0.0712793950536857","0.0648137222108417","0.0777450678965297"
"Min 1x pro Woche","1992","kein Migrationshintergrund","Laendlicher Raum","350","0.083117162850573","0.0746014503018859","0.09163287539926"
"Min 1x pro Woche","1992","direkter Migrationshintergrund","Staedtischer Raum","121","","",""
"Min 1x pro Woche","1992","direkter Migrationshintergrund","Laendlicher Raum","26","","",""
"Min 1x pro Woche","1992","indirekter Migrationshintergrund","Staedtischer Raum","92","0.270623655936272","0.223606132877217","0.317641178995327"
"Min 1x pro Woche","1992","indirekter Migrationshintergrund","Laendlicher Raum","14","","",""
"Min 1x pro Woche","1992","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Min 1x pro Woche","1992","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Min 1x pro Monat","1992","kein Migrationshintergrund","Staedtischer Raum","950","0.152721893228675","0.143682218063148","0.161761568394201"
"Min 1x pro Monat","1992","kein Migrationshintergrund","Laendlicher Raum","490","0.11914672619238","0.109153365574025","0.129140086810736"
"Min 1x pro Monat","1992","direkter Migrationshintergrund","Staedtischer Raum","230","","",""
"Min 1x pro Monat","1992","direkter Migrationshintergrund","Laendlicher Raum","25","","",""
"Min 1x pro Monat","1992","indirekter Migrationshintergrund","Staedtischer Raum","116","","",""
"Min 1x pro Monat","1992","indirekter Migrationshintergrund","Laendlicher Raum","17","","",""
