"pli0091_h","year","age_gr","sampreg","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Min 1x pro Monat","1991","35-65","Westdeutschland","","","",""
"Min 1x pro Monat","1991","35-65","Ostdeutschland","","","",""
"Min 1x pro Monat","1991","66 +","Westdeutschland","","","",""
"Min 1x pro Monat","1991","66 +","Ostdeutschland","","","",""
"Seltener","1991","17-34","Westdeutschland","","","",""
"Seltener","1991","17-34","Ostdeutschland","","","",""
"Seltener","1991","35-65","Westdeutschland","","","",""
"Seltener","1991","35-65","Ostdeutschland","","","",""
"Seltener","1991","66 +","Westdeutschland","","","",""
"Seltener","1991","66 +","Ostdeutschland","","","",""
"Nie","1991","17-34","Westdeutschland","","","",""
"Nie","1991","17-34","Ostdeutschland","","","",""
"Nie","1991","35-65","Westdeutschland","","","",""
"Nie","1991","35-65","Ostdeutschland","","","",""
"Nie","1991","66 +","Westdeutschland","","","",""
"Nie","1991","66 +","Ostdeutschland","","","",""
"Taeglich","1992","17-34","Westdeutschland","","","",""
"Taeglich","1992","17-34","Ostdeutschland","","","",""
"Taeglich","1992","35-65","Westdeutschland","","","",""
"Taeglich","1992","35-65","Ostdeutschland","","","",""
"Taeglich","1992","66 +","Westdeutschland","","","",""
"Taeglich","1992","66 +","Ostdeutschland","","","",""
"Min 1x pro Woche","1992","17-34","Westdeutschland","649","0.188924479320777","0.176083777919855","0.2017651807217"
"Min 1x pro Woche","1992","17-34","Ostdeutschland","235","0.177766767540152","0.157639293438924","0.197894241641381"
"Min 1x pro Woche","1992","35-65","Westdeutschland","146","0.0348716182419907","0.0295850496530271","0.0401581868309543"
"Min 1x pro Woche","1992","35-65","Ostdeutschland","30","0.0136808745599408","0.00879340706815515","0.0185683420517264"
"Min 1x pro Woche","1992","66 +","Westdeutschland","2","","",""
"Min 1x pro Woche","1992","66 +","Ostdeutschland","4","","",""
"Min 1x pro Monat","1992","17-34","Westdeutschland","1025","0.308379961690575","0.293230721832296","0.323529201548855"
"Min 1x pro Monat","1992","17-34","Ostdeutschland","312","0.22229990735786","0.200410087272028","0.244189727443693"
"Min 1x pro Monat","1992","35-65","Westdeutschland","391","0.0946503635063584","0.0862147905529031","0.103085936459814"
"Min 1x pro Monat","1992","35-65","Ostdeutschland","94","0.0490110516466887","0.0399275568913287","0.0580945464020487"
"Min 1x pro Monat","1992","66 +","Westdeutschland","19","","",""
"Min 1x pro Monat","1992","66 +","Ostdeutschland","5","","",""
"Seltener","1992","17-34","Westdeutschland","1284","0.375546959136873","0.359661637951385","0.391432280322361"
"Seltener","1992","17-34","Ostdeutschland","633","0.448752725376014","0.422568287610808","0.47493716314122"
"Seltener","1992","35-65","Westdeutschland","1842","0.43109902600861","0.416828100596511","0.445369951420709"
"Seltener","1992","35-65","Ostdeutschland","1076","0.458269845867716","0.437306028381067","0.479233663354365"
"Seltener","1992","66 +","Westdeutschland","111","0.10136576772514","0.0828438845180814","0.119887650932198"
"Seltener","1992","66 +","Ostdeutschland","26","","",""
"Nie","1992","17-34","Westdeutschland","612","0.127148599851775","0.116220618871111","0.138076580832438"
"Nie","1992","17-34","Ostdeutschland","206","0.151180599725973","0.132321447921276","0.170039751530671"
"Nie","1992","35-65","Westdeutschland","2247","0.439378992243041","0.425076899007472","0.45368108547861"
"Nie","1992","35-65","Ostdeutschland","970","0.479038227925654","0.458019509211423","0.500056946639885"
"Nie","1992","66 +","Westdeutschland","888","0.87905182744821","0.859041467487028","0.899062187409392"
"Nie","1992","66 +","Ostdeutschland","350","0.917527084829116","0.89004922866771","0.945004940990521"
"Taeglich","1993","17-34","Westdeutschland","","","",""
"Taeglich","1993","17-34","Ostdeutschland","","","",""
"Taeglich","1993","35-65","Westdeutschland","","","",""
"Taeglich","1993","35-65","Ostdeutschland","","","",""
"Taeglich","1993","66 +","Westdeutschland","","","",""
"Taeglich","1993","66 +","Ostdeutschland","","","",""
"Min 1x pro Woche","1993","17-34","Westdeutschland","","","",""
"Min 1x pro Woche","1993","17-34","Ostdeutschland","","","",""
"Min 1x pro Woche","1993","35-65","Westdeutschland","","","",""
"Min 1x pro Woche","1993","35-65","Ostdeutschland","","","",""
"Min 1x pro Woche","1993","66 +","Westdeutschland","","","",""
"Min 1x pro Woche","1993","66 +","Ostdeutschland","","","",""
"Min 1x pro Monat","1993","17-34","Westdeutschland","","","",""
"Min 1x pro Monat","1993","17-34","Ostdeutschland","","","",""
"Min 1x pro Monat","1993","35-65","Westdeutschland","","","",""
"Min 1x pro Monat","1993","35-65","Ostdeutschland","","","",""
"Min 1x pro Monat","1993","66 +","Westdeutschland","","","",""
"Min 1x pro Monat","1993","66 +","Ostdeutschland","","","",""
"Seltener","1993","17-34","Westdeutschland","","","",""
"Seltener","1993","17-34","Ostdeutschland","","","",""
"Seltener","1993","35-65","Westdeutschland","","","",""
"Seltener","1993","35-65","Ostdeutschland","","","",""
"Seltener","1993","66 +","Westdeutschland","","","",""
"Seltener","1993","66 +","Ostdeutschland","","","",""
"Nie","1993","17-34","Westdeutschland","","","",""
"Nie","1993","17-34","Ostdeutschland","","","",""
"Nie","1993","35-65","Westdeutschland","","","",""
"Nie","1993","35-65","Ostdeutschland","","","",""
"Nie","1993","66 +","Westdeutschland","","","",""
"Nie","1993","66 +","Ostdeutschland","","","",""
"Taeglich","1994","17-34","Westdeutschland","","","",""
"Taeglich","1994","17-34","Ostdeutschland","","","",""
"Taeglich","1994","35-65","Westdeutschland","","","",""
"Taeglich","1994","35-65","Ostdeutschland","","","",""
"Taeglich","1994","66 +","Westdeutschland","","","",""
"Taeglich","1994","66 +","Ostdeutschland","","","",""
"Min 1x pro Woche","1994","17-34","Westdeutschland","666","0.196462501955426","0.183314456158182","0.20961054775267"
"Min 1x pro Woche","1994","17-34","Ostdeutschland","254","0.19616453878387","0.174282052767589","0.218047024800151"
"Min 1x pro Woche","1994","35-65","Westdeutschland","152","0.0411210090384629","0.0352670357086829","0.0469749823682429"
"Min 1x pro Woche","1994","35-65","Ostdeutschland","30","0.0139548011570999","0.0089269627368778","0.018982639577322"
"Min 1x pro Woche","1994","66 +","Westdeutschland","10","","",""
"Min 1x pro Woche","1994","66 +","Ostdeutschland","4","","",""
"Min 1x pro Monat","1994","17-34","Westdeutschland","984","0.300158780849087","0.284991993976428","0.315325567721747"
"Min 1x pro Monat","1994","17-34","Ostdeutschland","302","0.220447380442052","0.197603071905116","0.243291688978988"
"Min 1x pro Monat","1994","35-65","Westdeutschland","430","0.106891534264267","0.0977827437386675","0.116000324789866"
"Min 1x pro Monat","1994","35-65","Ostdeutschland","108","0.0530194801996786","0.0434153214488936","0.0626236389504636"
"Min 1x pro Monat","1994","66 +","Westdeutschland","17","","",""
"Min 1x pro Monat","1994","66 +","Ostdeutschland","7","","",""
"Seltener","1994","17-34","Westdeutschland","1352","0.400083866544255","0.383871773454538","0.416295959633972"
"Seltener","1994","17-34","Ostdeutschland","560","0.456110812177767","0.428663916940162","0.483557707415373"
"Seltener","1994","35-65","Westdeutschland","1824","0.447668722649937","0.43300935789362","0.462328087406254"
"Seltener","1994","35-65","Ostdeutschland","987","0.433585235943252","0.412344204592753","0.454826267293751"
"Seltener","1994","66 +","Westdeutschland","151","0.135230247061488","0.114730599025576","0.155729895097401"
"Seltener","1994","66 +","Ostdeutschland","39","0.0935919457169313","0.0647958948627037","0.122387996571159"
"Nie","1994","17-34","Westdeutschland","506","0.103294850651232","0.0932236217562245","0.113366079546239"
"Nie","1994","17-34","Ostdeutschland","149","0.127277268596311","0.108911191815488","0.145643345377134"
"Nie","1994","35-65","Westdeutschland","2014","0.404318734047334","0.389850822010046","0.418786646084621"
"Nie","1994","35-65","Ostdeutschland","966","0.499440482699969","0.478009563098758","0.520871402301181"
"Nie","1994","66 +","Westdeutschland","891","0.840337893816048","0.818380179044904","0.862295608587191"
"Nie","1994","66 +","Ostdeutschland","343","0.883610074714607","0.851904192639098","0.915315956790117"
"Taeglich","1995","17-34","Westdeutschland","5","","",""
"Taeglich","1995","17-34","Ostdeutschland","1","","",""
"Taeglich","1995","35-65","Westdeutschland","1","","",""
"Taeglich","1995","35-65","Ostdeutschland","1","","",""
"Taeglich","1995","66 +","Westdeutschland","","","",""
"Taeglich","1995","66 +","Ostdeutschland","","","",""
"Min 1x pro Woche","1995","17-34","Westdeutschland","636","0.179596211661335","0.167204456044499","0.19198796727817"
"Min 1x pro Woche","1995","17-34","Ostdeutschland","216","0.161916148182367","0.141287590444767","0.182544705919968"
"Min 1x pro Woche","1995","35-65","Westdeutschland","57","0.0147499401106708","0.0113227945755294","0.0181770856458122"
"Min 1x pro Woche","1995","35-65","Ostdeutschland","9","","",""
"Min 1x pro Woche","1995","66 +","Westdeutschland","4","","",""
"Min 1x pro Woche","1995","66 +","Ostdeutschland","1","","",""
"Min 1x pro Monat","1995","17-34","Westdeutschland","1084","0.320001337744576","0.304942191472995","0.335060484016157"
"Min 1x pro Monat","1995","17-34","Ostdeutschland","343","0.272045637368813","0.247125352294037","0.29696592244359"
"Min 1x pro Monat","1995","35-65","Westdeutschland","353","0.0864998922289876","0.0785084296801292","0.094491354777846"
"Min 1x pro Monat","1995","35-65","Ostdeutschland","122","0.0526813151055479","0.0430132043600008","0.062349425851095"
"Min 1x pro Monat","1995","66 +","Westdeutschland","12","","",""
"Min 1x pro Monat","1995","66 +","Ostdeutschland","3","","",""
"Seltener","1995","17-34","Westdeutschland","1310","0.357589853218048","0.342117042418547","0.373062664017549"
"Seltener","1995","17-34","Ostdeutschland","509","0.427829905309082","0.400123626933984","0.45553618368418"
"Seltener","1995","35-65","Westdeutschland","1761","0.40752943485437","0.393560057007975","0.421498812700765"
"Seltener","1995","35-65","Ostdeutschland","953","0.410240978842252","0.388953605495145","0.431528352189358"
"Seltener","1995","66 +","Westdeutschland","105","0.091993402218887","0.0749448934685697","0.109041910969204"
"Seltener","1995","66 +","Ostdeutschland","36","0.080378044604769","0.0537345320676105","0.107021557141927"
"Nie","1995","17-34","Westdeutschland","651","0.140182499255316","0.128974696864711","0.151390301645921"
"Nie","1995","17-34","Ostdeutschland","156","0.137842199232876","0.118537434001752","0.157146964464"
"Nie","1995","35-65","Westdeutschland","2581","0.491098874685037","0.476886542196856","0.505311207173219"
"Nie","1995","35-65","Ostdeutschland","966","0.530444656952285","0.508845903164219","0.552043410740352"
"Nie","1995","66 +","Westdeutschland","983","0.892551301583416","0.874283733793783","0.910818869373049"
"Nie","1995","66 +","Ostdeutschland","360","0.91163546875768","0.883821197150459","0.9394497403649"
"Taeglich","1996","17-34","Westdeutschland","","","",""
"Taeglich","1996","17-34","Ostdeutschland","","","",""
"Taeglich","1996","35-65","Westdeutschland","","","",""
"Taeglich","1996","35-65","Ostdeutschland","","","",""
"Taeglich","1996","66 +","Westdeutschland","","","",""
"Taeglich","1996","66 +","Ostdeutschland","","","",""
"Min 1x pro Woche","1996","17-34","Westdeutschland","669","0.206640063903905","0.193324670297345","0.219955457510465"
"Min 1x pro Woche","1996","17-34","Ostdeutschland","253","0.186871861488371","0.164724292594802","0.209019430381941"
"Min 1x pro Woche","1996","35-65","Westdeutschland","168","0.0452707070530901","0.0392914014873435","0.0512500126188368"
"Min 1x pro Woche","1996","35-65","Ostdeutschland","33","0.0170201335549178","0.0114467152604788","0.0225935518493567"
"Min 1x pro Woche","1996","66 +","Westdeutschland","11","","",""
"Min 1x pro Woche","1996","66 +","Ostdeutschland","4","","",""
"Min 1x pro Monat","1996","17-34","Westdeutschland","1130","0.337993793890343","0.322437827151344","0.353549760629341"
"Min 1x pro Monat","1996","17-34","Ostdeutschland","388","0.327677250849508","0.301009483401535","0.35434501829748"
"Min 1x pro Monat","1996","35-65","Westdeutschland","551","0.129458692074978","0.119803469609524","0.139113914540432"
"Min 1x pro Monat","1996","35-65","Ostdeutschland","205","0.0999417804851583","0.0870183834216512","0.112865177548665"
"Min 1x pro Monat","1996","66 +","Westdeutschland","45","0.0396255154630081","0.0281700361730355","0.0510809947529806"
"Min 1x pro Monat","1996","66 +","Ostdeutschland","12","","",""
"Seltener","1996","17-34","Westdeutschland","1301","0.354965672830235","0.339229605529285","0.370701740131184"
"Seltener","1996","17-34","Ostdeutschland","448","0.396249506989185","0.368459559448174","0.424039454530195"
"Seltener","1996","35-65","Westdeutschland","2049","0.468862369368151","0.454509847726931","0.483214891009371"
"Seltener","1996","35-65","Ostdeutschland","1176","0.531550789482429","0.51004915448789","0.553052424476967"
"Seltener","1996","66 +","Westdeutschland","169","0.161641036264396","0.140023991858583","0.18325808067021"
"Seltener","1996","66 +","Ostdeutschland","55","0.129509499024174","0.0971273330016117","0.161891665046736"
"Nie","1996","17-34","Westdeutschland","452","0.100400469375518","0.0905171212238893","0.110283817527147"
"Nie","1996","17-34","Ostdeutschland","101","0.0892013806729367","0.0730067301533296","0.105396031192544"
"Nie","1996","35-65","Westdeutschland","1876","0.356408231503781","0.342633565132878","0.370182897874684"
"Nie","1996","35-65","Ostdeutschland","655","0.351487296477495","0.330915041131448","0.372059551823543"
"Nie","1996","66 +","Westdeutschland","889","0.78846339069111","0.764481190072279","0.812445591309941"
"Nie","1996","66 +","Ostdeutschland","342","0.836920796741012","0.801290902307217","0.872550691174806"
"Taeglich","1997","17-34","Westdeutschland","","","",""
"Taeglich","1997","17-34","Ostdeutschland","","","",""
"Taeglich","1997","35-65","Westdeutschland","","","",""
"Taeglich","1997","35-65","Ostdeutschland","","","",""
"Taeglich","1997","66 +","Westdeutschland","","","",""
"Taeglich","1997","66 +","Ostdeutschland","","","",""
"Min 1x pro Woche","1997","17-34","Westdeutschland","586","0.180694712522265","0.167816370659308","0.193573054385222"
"Min 1x pro Woche","1997","17-34","Ostdeutschland","248","0.211386541377085","0.18790088296643","0.234872199787739"
"Min 1x pro Woche","1997","35-65","Westdeutschland","178","0.0439777877592742","0.0380368395823526","0.0499187359361958"
"Min 1x pro Woche","1997","35-65","Ostdeutschland","44","0.0233506858359796","0.0167716540894171","0.0299297175825421"
"Min 1x pro Woche","1997","66 +","Westdeutschland","13","","",""
"Min 1x pro Woche","1997","66 +","Ostdeutschland","6","","",""
"Min 1x pro Monat","1997","17-34","Westdeutschland","1085","0.339382228378038","0.323533879489906","0.35523057726617"
