year,sex,pli0091_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2008,female,Never,0.35379,3891,10074,0.34445,0.36313
2009,male,At least once per week,0.05710,563,8568,0.05218,0.06201
2009,male,At least once per month,0.16649,1618,8568,0.15861,0.17438
2009,male,Seldom,0.38551,4060,8568,0.37520,0.39581
2009,male,Never,0.22257,2327,8568,0.21377,0.23138
2009,female,At least once per week,0.03715,412,9364,0.03332,0.04098
2009,female,At least once per month,0.13545,1556,9364,0.12852,0.14238
2009,female,Seldom,0.38185,4423,9364,0.37201,0.39169
2009,female,Never,0.28952,2973,9364,0.28034,0.29871
2011,male,At least once per week,0.05303,757,12802,0.04915,0.05692
2011,male,At least once per month,0.16201,2287,12802,0.15563,0.16840
2011,male,Seldom,0.37521,6096,12802,0.36682,0.38359
2011,male,Never,0.23388,3662,12802,0.22655,0.24122
2011,female,At least once per week,0.03781,618,15479,0.03480,0.04081
2011,female,At least once per month,0.14492,2575,15479,0.13937,0.15046
2011,female,Seldom,0.36151,7445,15479,0.35395,0.36908
2011,female,Never,0.29748,4841,15479,0.29028,0.30468
2013,male,At least once per week,0.02514,307,11504,0.02228,0.02801
2013,male,At least once per month,0.13947,2052,11504,0.13314,0.14580
2013,male,Seldom,0.33431,5440,11504,0.32569,0.34293
2013,male,Never,0.25131,3705,11504,0.24338,0.25924
2013,female,At least once per week,0.01682,296,13916,0.01469,0.01896
2013,female,At least once per month,0.14116,2644,13916,0.13538,0.14695
2013,female,Seldom,0.33202,6619,13916,0.32420,0.33985
2013,female,Never,0.28067,4357,13916,0.27321,0.28814
2015,male,At least once per week,0.04172,564,12285,0.03818,0.04525
2015,male,At least once per month,0.17122,2357,12285,0.16456,0.17788
2015,male,Seldom,0.38684,5885,12285,0.37823,0.39546
2015,male,Never,0.23737,3479,12285,0.22984,0.24489
2015,female,At least once per week,0.02467,438,14429,0.02214,0.02720
2015,female,At least once per month,0.15168,2638,14429,0.14583,0.15754
2015,female,Seldom,0.39207,7170,14429,0.38410,0.40004
2015,female,Never,0.27685,4183,14429,0.26955,0.28415
2017,male,At least once per week,0.04751,721,14501,0.04405,0.05098
2017,male,At least once per month,0.19050,2961,14501,0.18411,0.19689
2017,male,Seldom,0.38041,6334,14501,0.37251,0.38831
2017,male,Never,0.21123,4485,14501,0.20459,0.21787
2017,female,At least once per week,0.02542,478,15966,0.02298,0.02787
2017,female,At least once per month,0.17626,3154,15966,0.17035,0.18217
2017,female,Seldom,0.38190,7216,15966,0.37436,0.38943
2017,female,Never,0.26016,5118,15966,0.25335,0.26696
2018,male,At least once per week,0.00024,55,1866,-0.00046,0.00094
2018,male,At least once per month,0.00121,200,1866,-0.00037,0.00279
2018,male,Seldom,0.00177,417,1866,-0.00014,0.00368
2018,male,Never,0.00410,1194,1866,0.00120,0.00700
2018,female,At least once per month,0.00025,71,1268,-0.00062,0.00111
2018,female,Seldom,0.00067,223,1268,-0.00076,0.00210
2018,female,Never,0.00272,974,1268,-0.00015,0.00559
2019,male,At least once per week,0.01692,291,14093,0.01479,0.01905
2019,male,At least once per month,0.18080,2803,14093,0.17444,0.18715
2019,male,Seldom,0.38315,6311,14093,0.37513,0.39118
2019,male,Never,0.24886,4688,14093,0.24172,0.25600
2019,female,At least once per week,0.01743,303,14678,0.01531,0.01954
2019,female,At least once per month,0.16916,2926,14678,0.16310,0.17523
2019,female,Seldom,0.37353,6685,14678,0.36570,0.38136
2019,female,Never,0.28309,4764,14678,0.27580,0.29038
