year,marstat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Widowed,0.06533,1349,27774,0.06242,0.06824
2017,Married,0.42079,17882,31130,0.41530,0.42627
2017,"Married, living apart",0.02191,955,31130,0.02028,0.02354
2017,Single,0.25380,8367,31130,0.24896,0.25863
2017,Divorced,0.08528,2516,31130,0.08218,0.08838
2017,Widowed,0.06456,1410,31130,0.06183,0.06729
2018,Married,0.42405,16787,29773,0.41844,0.42966
2018,"Married, living apart",0.02250,903,29773,0.02082,0.02419
2018,Single,0.25165,8135,29773,0.24672,0.25658
2018,Divorced,0.08722,2563,29773,0.08401,0.09042
2018,Widowed,0.06415,1385,29773,0.06136,0.06693
2019,Married,0.42262,17051,29475,0.41698,0.42825
2019,"Married, living apart",0.01919,769,29475,0.01763,0.02076
2019,Single,0.25023,7660,29475,0.24528,0.25517
2019,Divorced,0.08899,2654,29475,0.08574,0.09224
2019,Widowed,0.06298,1341,29475,0.06021,0.06576
2020,Married,0.42035,16721,29854,0.41475,0.42595
2020,"Married, living apart",0.01765,755,29854,0.01616,0.01914
2020,Single,0.25901,8556,29854,0.25404,0.26398
2020,Divorced,0.08643,2552,29854,0.08324,0.08962
2020,Widowed,0.05896,1270,29854,0.05629,0.06163
2021,Married,0.41266,11184,19465,0.40574,0.41957
2021,"Married, living apart",0.01717,448,19465,0.01535,0.01900
2021,Single,0.25270,5146,19465,0.24659,0.25880
2021,Divorced,0.08768,1787,19465,0.08370,0.09165
2021,Widowed,0.05917,900,19465,0.05586,0.06249
