year,migback,pgisced97,party,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,No migration background,Post-secondary Non-tertiary Level,CDU/CSU,0.21707,40,133,0.14674,0.28739
1985,No migration background,First Stage of Tertiary Education,Not leaning towards specific party,0.32184,182,516,0.28149,0.36219
1985,No migration background,First Stage of Tertiary Education,SPD,0.22325,128,516,0.18729,0.25922
1985,No migration background,First Stage of Tertiary Education,CDU/CSU,0.37672,206,516,0.33487,0.41857
1985,No migration background,Second Stage of Tertiary Education,Not leaning towards specific party,0.28232,177,630,0.24714,0.31750
1985,No migration background,Second Stage of Tertiary Education,SPD,0.24210,162,630,0.20862,0.27557
1985,No migration background,Second Stage of Tertiary Education,CDU/CSU,0.29955,189,630,0.26375,0.33535
1985,No migration background,Second Stage of Tertiary Education,FDP,0.07395,47,630,0.05350,0.09440
1985,No migration background,Second Stage of Tertiary Education,Bündnis90/Grüne,0.08321,55,630,0.06162,0.10479
1985,Direct migration background,Primary Level,Not leaning towards specific party,0.80579,598,719,0.77685,0.83472
1985,Direct migration background,Primary Level,SPD,0.15472,121,719,0.12827,0.18117
1985,Direct migration background,Lower Secondary Level,Not leaning towards specific party,0.60641,643,886,0.57422,0.63859
1985,Direct migration background,Lower Secondary Level,SPD,0.23185,196,886,0.20405,0.25965
1985,Direct migration background,Lower Secondary Level,CDU/CSU,0.13927,47,886,0.11645,0.16208
1985,Direct migration background,Upper Secondary Level,Not leaning towards specific party,0.52612,535,899,0.49346,0.55878
1985,Direct migration background,Upper Secondary Level,SPD,0.24888,249,899,0.22061,0.27716
1985,Direct migration background,Upper Secondary Level,CDU/CSU,0.18825,84,899,0.16268,0.21382
1985,Direct migration background,Upper Secondary Level,Bündnis90/Grüne,0.03105,31,899,0.01971,0.04240
1985,Direct migration background,Post-secondary Non-tertiary Level,Not leaning towards specific party,0.46344,46,86,0.35743,0.56946
1985,Direct migration background,Post-secondary Non-tertiary Level,SPD,0.29576,40,86,0.19874,0.39278
1985,Direct migration background,Second Stage of Tertiary Education,Not leaning towards specific party,0.38454,44,78,0.27588,0.49320
1985,Direct migration background,Second Stage of Tertiary Education,SPD,0.26474,34,78,0.16619,0.36328
1985,Indirect migration background,Lower Secondary Level,Not leaning towards specific party,0.56419,44,44,0.41597,0.71240
1985,Indirect migration background,Upper Secondary Level,Not leaning towards specific party,0.58867,32,32,0.41544,0.76189
1986,No migration background,Pre-primary Level,Not leaning towards specific party,0.60950,94,94,0.51035,0.70865
1986,No migration background,Primary Level,Not leaning towards specific party,0.71091,58,58,0.59322,0.82860
1986,No migration background,Lower Secondary Level,Not leaning towards specific party,0.44918,900,1903,0.42682,0.47153
1986,No migration background,Lower Secondary Level,SPD,0.26114,491,1903,0.24140,0.28088
1986,No migration background,Lower Secondary Level,CDU/CSU,0.25240,465,1903,0.23288,0.27193
1986,No migration background,Lower Secondary Level,Bündnis90/Grüne,0.02097,47,1903,0.01453,0.02741
1986,No migration background,Upper Secondary Level,Not leaning towards specific party,0.37940,1547,4016,0.36439,0.39441
1986,No migration background,Upper Secondary Level,SPD,0.29606,1199,4016,0.28194,0.31018
1986,No migration background,Upper Secondary Level,CDU/CSU,0.26345,1065,4016,0.24982,0.27707
1986,No migration background,Upper Secondary Level,FDP,0.02226,83,4016,0.01770,0.02683
1986,No migration background,Upper Secondary Level,Bündnis90/Grüne,0.02732,122,4016,0.02228,0.03236
1986,No migration background,Post-secondary Non-tertiary Level,Not leaning towards specific party,0.31461,57,138,0.23685,0.39237
1986,No migration background,Post-secondary Non-tertiary Level,SPD,0.23099,38,138,0.16041,0.30156
1986,No migration background,Post-secondary Non-tertiary Level,CDU/CSU,0.25534,43,138,0.18232,0.32836
1986,No migration background,First Stage of Tertiary Education,Not leaning towards specific party,0.37273,193,480,0.32942,0.41603
1986,No migration background,First Stage of Tertiary Education,SPD,0.19775,103,480,0.16208,0.23342
1986,No migration background,First Stage of Tertiary Education,CDU/CSU,0.35238,184,480,0.30960,0.39516
1986,No migration background,Second Stage of Tertiary Education,Not leaning towards specific party,0.27047,172,621,0.23551,0.30544
1986,No migration background,Second Stage of Tertiary Education,SPD,0.22454,148,621,0.19170,0.25739
1986,No migration background,Second Stage of Tertiary Education,CDU/CSU,0.31477,193,621,0.27821,0.35132
1986,No migration background,Second Stage of Tertiary Education,FDP,0.06109,37,621,0.04224,0.07994
1986,No migration background,Second Stage of Tertiary Education,Bündnis90/Grüne,0.10446,71,621,0.08038,0.12853
1986,Direct migration background,Primary Level,Not leaning towards specific party,0.77240,537,658,0.74034,0.80446
1986,Direct migration background,Primary Level,SPD,0.18440,121,658,0.15475,0.21406
1986,Direct migration background,Lower Secondary Level,Not leaning towards specific party,0.63275,651,897,0.60118,0.66431
1986,Direct migration background,Lower Secondary Level,SPD,0.21866,192,897,0.19160,0.24573
1986,Direct migration background,Lower Secondary Level,CDU/CSU,0.12509,54,897,0.10343,0.14676
1986,Direct migration background,Upper Secondary Level,Not leaning towards specific party,0.53212,526,837,0.49830,0.56595
1986,Direct migration background,Upper Secondary Level,SPD,0.23478,231,837,0.20604,0.26351
1986,Direct migration background,Upper Secondary Level,CDU/CSU,0.18353,80,837,0.15729,0.20977
1986,Direct migration background,Post-secondary Non-tertiary Level,Not leaning towards specific party,0.59521,56,91,0.49380,0.69662
1986,Direct migration background,Post-secondary Non-tertiary Level,SPD,0.26895,35,91,0.17734,0.36056
1986,Direct migration background,Second Stage of Tertiary Education,Not leaning towards specific party,0.48194,51,51,0.34344,0.62044
1986,Indirect migration background,Lower Secondary Level,Not leaning towards specific party,0.68704,44,44,0.54844,0.82563
1986,Indirect migration background,Upper Secondary Level,Not leaning towards specific party,0.50941,33,33,0.33619,0.68262
1987,No migration background,Pre-primary Level,Not leaning towards specific party,0.49834,81,81,0.38877,0.60790
1987,No migration background,Primary Level,Not leaning towards specific party,0.65929,49,49,0.52521,0.79337
1987,No migration background,Lower Secondary Level,Not leaning towards specific party,0.38323,736,1795,0.36073,0.40572
1987,No migration background,Lower Secondary Level,SPD,0.28726,508,1795,0.26632,0.30820
1987,No migration background,Lower Secondary Level,CDU/CSU,0.28235,502,1795,0.26152,0.30318
1987,No migration background,Lower Secondary Level,Bündnis90/Grüne,0.02127,49,1795,0.01459,0.02794
1987,No migration background,Upper Secondary Level,Not leaning towards specific party,0.32021,1317,3983,0.30572,0.33470
1987,No migration background,Upper Secondary Level,SPD,0.28780,1162,3983,0.27373,0.30186
1987,No migration background,Upper Secondary Level,CDU/CSU,0.30418,1210,3983,0.28989,0.31847
1987,No migration background,Upper Secondary Level,FDP,0.03813,139,3983,0.03218,0.04407
1987,No migration background,Upper Secondary Level,Bündnis90/Grüne,0.03579,155,3983,0.03002,0.04156
1987,No migration background,Post-secondary Non-tertiary Level,Not leaning towards specific party,0.33778,59,141,0.25944,0.41613
1987,No migration background,Post-secondary Non-tertiary Level,SPD,0.18237,32,141,0.11841,0.24634
1987,No migration background,Post-secondary Non-tertiary Level,CDU/CSU,0.28114,50,141,0.20667,0.35561
1987,No migration background,First Stage of Tertiary Education,Not leaning towards specific party,0.30596,155,443,0.26300,0.34892
1987,No migration background,First Stage of Tertiary Education,SPD,0.19537,102,443,0.15841,0.23233
1987,No migration background,First Stage of Tertiary Education,CDU/CSU,0.39035,186,443,0.34487,0.43583
1987,No migration background,Second Stage of Tertiary Education,Not leaning towards specific party,0.24668,158,625,0.21285,0.28050
1987,No migration background,Second Stage of Tertiary Education,SPD,0.20586,136,625,0.17413,0.23758
1987,No migration background,Second Stage of Tertiary Education,CDU/CSU,0.30904,189,625,0.27278,0.34530
1987,No migration background,Second Stage of Tertiary Education,FDP,0.09969,61,625,0.07619,0.12320
1987,No migration background,Second Stage of Tertiary Education,Bündnis90/Grüne,0.11151,81,625,0.08681,0.13621
1987,Direct migration background,Primary Level,Not leaning towards specific party,0.76461,513,628,0.73140,0.79782
1987,Direct migration background,Primary Level,SPD,0.17955,115,628,0.14951,0.20959
1987,Direct migration background,Lower Secondary Level,Not leaning towards specific party,0.64599,668,901,0.61475,0.67723
1987,Direct migration background,Lower Secondary Level,SPD,0.20834,179,901,0.18180,0.23487
1987,Direct migration background,Lower Secondary Level,CDU/CSU,0.11251,54,901,0.09187,0.13316
1987,Direct migration background,Upper Secondary Level,Not leaning towards specific party,0.49913,519,857,0.46564,0.53263
1987,Direct migration background,Upper Secondary Level,SPD,0.22811,202,857,0.20000,0.25622
1987,Direct migration background,Upper Secondary Level,CDU/CSU,0.22090,95,857,0.19311,0.24869
1987,Direct migration background,Upper Secondary Level,Bündnis90/Grüne,0.04321,41,857,0.02958,0.05683
1987,Direct migration background,Post-secondary Non-tertiary Level,Not leaning towards specific party,0.52018,55,55,0.38693,0.65344
1987,Direct migration background,Second Stage of Tertiary Education,Not leaning towards specific party,0.43031,43,43,0.28056,0.58005
1987,Indirect migration background,Lower Secondary Level,Not leaning towards specific party,0.64365,42,42,0.49706,0.79025
1987,Indirect migration background,Upper Secondary Level,Not leaning towards specific party,0.53839,42,42,0.38579,0.69099
1988,No migration background,Pre-primary Level,Not leaning towards specific party,0.66277,85,85,0.56167,0.76387
1988,No migration background,Primary Level,Not leaning towards specific party,0.68847,43,43,0.54841,0.82853
1988,No migration background,Lower Secondary Level,Not leaning towards specific party,0.41547,764,1673,0.39184,0.43909
1988,No migration background,Lower Secondary Level,SPD,0.30294,488,1673,0.28092,0.32497
1988,No migration background,Lower Secondary Level,CDU/CSU,0.25188,421,1673,0.23107,0.27268
1988,No migration background,Upper Secondary Level,Not leaning towards specific party,0.37500,1438,3777,0.35956,0.39045
1988,No migration background,Upper Secondary Level,SPD,0.29991,1163,3777,0.28530,0.31453
1988,No migration background,Upper Secondary Level,CDU/CSU,0.25176,956,3777,0.23792,0.26560
1988,No migration background,Upper Secondary Level,FDP,0.03064,109,3777,0.02514,0.03613
1988,No migration background,Upper Secondary Level,Bündnis90/Grüne,0.02857,111,3777,0.02326,0.03389
1988,No migration background,Post-secondary Non-tertiary Level,Not leaning towards specific party,0.32197,57,137,0.24344,0.40049
1988,No migration background,Post-secondary Non-tertiary Level,SPD,0.19587,34,137,0.12917,0.26257
1988,No migration background,Post-secondary Non-tertiary Level,CDU/CSU,0.26236,46,137,0.18842,0.33629
1988,No migration background,First Stage of Tertiary Education,Not leaning towards specific party,0.33101,157,430,0.28648,0.37554
1988,No migration background,First Stage of Tertiary Education,SPD,0.21252,108,430,0.17381,0.25123
1988,No migration background,First Stage of Tertiary Education,CDU/CSU,0.35344,165,430,0.30821,0.39868
1988,No migration background,Second Stage of Tertiary Education,Not leaning towards specific party,0.26433,164,596,0.22889,0.29976
1988,No migration background,Second Stage of Tertiary Education,SPD,0.23751,154,596,0.20331,0.27170
1988,No migration background,Second Stage of Tertiary Education,CDU/CSU,0.29633,175,596,0.25964,0.33302
1988,No migration background,Second Stage of Tertiary Education,FDP,0.07095,42,596,0.05032,0.09158
1988,No migration background,Second Stage of Tertiary Education,Bündnis90/Grüne,0.09397,61,596,0.07052,0.11741
1988,Direct migration background,Primary Level,Not leaning towards specific party,0.80780,496,587,0.77590,0.83971
1988,Direct migration background,Primary Level,SPD,0.15459,91,587,0.12532,0.18386
1988,Direct migration background,Lower Secondary Level,Not leaning towards specific party,0.62136,659,887,0.58942,0.65330
1988,Direct migration background,Lower Secondary Level,SPD,0.22616,182,887,0.19862,0.25371
1988,Direct migration background,Lower Secondary Level,CDU/CSU,0.12908,46,887,0.10700,0.15116
1988,Direct migration background,Upper Secondary Level,Not leaning towards specific party,0.50424,498,797,0.46951,0.53897
1988,Direct migration background,Upper Secondary Level,SPD,0.25194,209,797,0.22178,0.28210
1988,Direct migration background,Upper Secondary Level,CDU/CSU,0.20352,90,797,0.17555,0.23149
1988,Direct migration background,Post-secondary Non-tertiary Level,Not leaning towards specific party,0.43586,44,44,0.28765,0.58407
1988,Direct migration background,Second Stage of Tertiary Education,Not leaning towards specific party,0.36971,41,41,0.22011,0.51931
1988,Indirect migration background,Lower Secondary Level,Not leaning towards specific party,0.52708,52,52,0.39005,0.66410
1988,Indirect migration background,Upper Secondary Level,Not leaning towards specific party,0.51623,51,51,0.37771,0.65475
1989,No migration background,Pre-primary Level,Not leaning towards specific party,0.65205,82,82,0.54832,0.75578
1989,No migration background,Primary Level,Not leaning towards specific party,0.62031,42,42,0.47175,0.76886
1989,No migration background,Lower Secondary Level,Not leaning towards specific party,0.46239,762,1572,0.43774,0.48705
1989,No migration background,Lower Secondary Level,SPD,0.26141,398,1572,0.23968,0.28314
1989,No migration background,Lower Secondary Level,CDU/CSU,0.22077,332,1572,0.20026,0.24128
1989,No migration background,Lower Secondary Level,Bündnis90/Grüne,0.01606,35,1572,0.00985,0.02228
1989,No migration background,Lower Secondary Level,Others,0.02610,45,1572,0.01822,0.03399
1989,No migration background,Upper Secondary Level,Not leaning towards specific party,0.38602,1490,3671,0.37027,0.40177
1989,No migration background,Upper Secondary Level,SPD,0.30137,1097,3671,0.28653,0.31622
1989,No migration background,Upper Secondary Level,CDU/CSU,0.22897,831,3671,0.21538,0.24257
1989,No migration background,Upper Secondary Level,FDP,0.01880,66,3671,0.01440,0.02319
1989,No migration background,Upper Secondary Level,Bündnis90/Grüne,0.02649,102,3671,0.02130,0.03169
1989,No migration background,Upper Secondary Level,Others,0.02626,85,3671,0.02109,0.03144
1989,No migration background,Post-secondary Non-tertiary Level,Not leaning towards specific party,0.32819,68,155,0.25403,0.40236
1989,No migration background,Post-secondary Non-tertiary Level,SPD,0.23926,46,155,0.17188,0.30664
1989,No migration background,Post-secondary Non-tertiary Level,CDU/CSU,0.21404,41,155,0.14926,0.27883
1989,No migration background,First Stage of Tertiary Education,Not leaning towards specific party,0.37792,169,419,0.33144,0.42440
1989,No migration background,First Stage of Tertiary Education,SPD,0.22180,105,419,0.18197,0.26163
1989,No migration background,First Stage of Tertiary Education,CDU/CSU,0.31680,145,419,0.27220,0.36140
1989,No migration background,Second Stage of Tertiary Education,Not leaning towards specific party,0.29050,179,590,0.25383,0.32716
1989,No migration background,Second Stage of Tertiary Education,SPD,0.23870,154,590,0.20427,0.27313
1989,No migration background,Second Stage of Tertiary Education,CDU/CSU,0.27428,155,590,0.23825,0.31031
1989,No migration background,Second Stage of Tertiary Education,FDP,0.05561,34,590,0.03710,0.07412
1989,No migration background,Second Stage of Tertiary Education,Bündnis90/Grüne,0.10847,68,590,0.08335,0.13358
1989,Direct migration background,Primary Level,Not leaning towards specific party,0.73567,413,543,0.69855,0.77280
1989,Direct migration background,Primary Level,SPD,0.21452,130,543,0.17996,0.24907
1989,Direct migration background,Lower Secondary Level,Not leaning towards specific party,0.61629,593,833,0.58324,0.64933
1989,Direct migration background,Lower Secondary Level,SPD,0.23463,198,833,0.20583,0.26342
1989,Direct migration background,Lower Secondary Level,CDU/CSU,0.10969,42,833,0.08845,0.13092
1989,Direct migration background,Upper Secondary Level,Not leaning towards specific party,0.47146,465,817,0.43721,0.50572
1989,Direct migration background,Upper Secondary Level,SPD,0.26967,240,817,0.23922,0.30012
1989,Direct migration background,Upper Secondary Level,CDU/CSU,0.19511,80,817,0.16792,0.22230
1989,Direct migration background,Upper Secondary Level,Bündnis90/Grüne,0.04639,32,817,0.03196,0.06082
1989,Direct migration background,Post-secondary Non-tertiary Level,Not leaning towards specific party,0.52799,46,79,0.41720,0.63878
1989,Direct migration background,Post-secondary Non-tertiary Level,SPD,0.28320,33,79,0.18321,0.38319
1989,Direct migration background,Second Stage of Tertiary Education,Not leaning towards specific party,0.42595,35,35,0.25974,0.59217
1989,Indirect migration background,Lower Secondary Level,Not leaning towards specific party,0.58508,66,66,0.46530,0.70487
1989,Indirect migration background,Upper Secondary Level,Not leaning towards specific party,0.65029,53,53,0.52067,0.77991
1990,No migration background,Pre-primary Level,Not leaning towards specific party,0.49671,54,54,0.36210,0.63132
1990,No migration background,Primary Level,Not leaning towards specific party,0.61265,41,41,0.46168,0.76362
1990,No migration background,Lower Secondary Level,Not leaning towards specific party,0.37411,682,1427,0.34900,0.39923
1990,No migration background,Lower Secondary Level,SPD,0.25800,416,1427,0.23529,0.28071
1990,No migration background,Lower Secondary Level,CDU/CSU,0.19336,329,1427,0.17286,0.21385
1990,No migration background,Upper Secondary Level,Not leaning towards specific party,0.28039,1351,3609,0.26573,0.29504
1990,No migration background,Upper Secondary Level,SPD,0.24452,1129,3609,0.23050,0.25855
1990,No migration background,Upper Secondary Level,CDU/CSU,0.19872,907,3609,0.18570,0.21174
1990,No migration background,Upper Secondary Level,FDP,0.02095,91,3609,0.01628,0.02562
1990,No migration background,Upper Secondary Level,Bündnis90/Grüne,0.01968,94,3609,0.01515,0.02422
1990,No migration background,Upper Secondary Level,Far right parties,0.00685,37,3609,0.00416,0.00954
1990,No migration background,Post-secondary Non-tertiary Level,Not leaning towards specific party,0.34513,78,166,0.27259,0.41767
1990,No migration background,Post-secondary Non-tertiary Level,SPD,0.22300,47,166,0.15948,0.28651
1990,No migration background,Post-secondary Non-tertiary Level,CDU/CSU,0.18730,41,166,0.12777,0.24683
1990,No migration background,First Stage of Tertiary Education,Not leaning towards specific party,0.27620,162,422,0.23349,0.31891
1990,No migration background,First Stage of Tertiary Education,SPD,0.19119,108,422,0.15362,0.22875
1990,No migration background,First Stage of Tertiary Education,CDU/CSU,0.27796,152,422,0.23517,0.32076
1990,No migration background,Second Stage of Tertiary Education,Not leaning towards specific party,0.16743,160,598,0.13748,0.19738
1990,No migration background,Second Stage of Tertiary Education,SPD,0.17964,178,598,0.14885,0.21044
1990,No migration background,Second Stage of Tertiary Education,CDU/CSU,0.17000,161,598,0.13987,0.20014
1990,No migration background,Second Stage of Tertiary Education,FDP,0.04021,42,598,0.02445,0.05597
1990,No migration background,Second Stage of Tertiary Education,Bündnis90/Grüne,0.05201,57,598,0.03420,0.06983
1990,Direct migration background,Primary Level,Not leaning towards specific party,0.71497,400,514,0.67591,0.75404
1990,Direct migration background,Primary Level,SPD,0.22090,114,514,0.18500,0.25680
1990,Direct migration background,Lower Secondary Level,Not leaning towards specific party,0.55811,572,825,0.52420,0.59202
1990,Direct migration background,Lower Secondary Level,SPD,0.25648,207,825,0.22666,0.28630
1990,Direct migration background,Lower Secondary Level,CDU/CSU,0.11896,46,825,0.09686,0.14107
1990,Direct migration background,Upper Secondary Level,Not leaning towards specific party,0.44732,446,765,0.41206,0.48258
1990,Direct migration background,Upper Secondary Level,SPD,0.25045,248,765,0.21973,0.28117
1990,Direct migration background,Upper Secondary Level,CDU/CSU,0.16424,71,765,0.13797,0.19051
1990,Direct migration background,Post-secondary Non-tertiary Level,Not leaning towards specific party,0.50594,47,84,0.39838,0.61350
1990,Direct migration background,Post-secondary Non-tertiary Level,SPD,0.30582,37,84,0.20670,0.40495
1990,Direct migration background,Second Stage of Tertiary Education,Not leaning towards specific party,0.30651,39,39,0.15992,0.45310
1990,Indirect migration background,Lower Secondary Level,Not leaning towards specific party,0.75494,82,82,0.66127,0.84861
1990,Indirect migration background,Upper Secondary Level,Not leaning towards specific party,0.51440,59,59,0.38577,0.64302
1991,No migration background,Pre-primary Level,Not leaning towards specific party,0.53810,55,55,0.40513,0.67108
1991,No migration background,Primary Level,Not leaning towards specific party,0.61130,49,49,0.47340,0.74920
1991,No migration background,Lower Secondary Level,Not leaning towards specific party,0.39909,692,1379,0.37323,0.42495
1991,No migration background,Lower Secondary Level,SPD,0.23332,364,1379,0.21099,0.25565
1991,No migration background,Lower Secondary Level,CDU/CSU,0.19836,323,1379,0.17731,0.21942
1991,No migration background,Upper Secondary Level,Not leaning towards specific party,0.29041,1406,3549,0.27547,0.30535
1991,No migration background,Upper Secondary Level,SPD,0.22459,1064,3549,0.21086,0.23832
1991,No migration background,Upper Secondary Level,CDU/CSU,0.19745,903,3549,0.18435,0.21055
1991,No migration background,Upper Secondary Level,FDP,0.02145,92,3549,0.01668,0.02622
1991,No migration background,Upper Secondary Level,Bündnis90/Grüne,0.01877,84,3549,0.01431,0.02324
1991,No migration background,Post-secondary Non-tertiary Level,Not leaning towards specific party,0.32521,76,163,0.25307,0.39735
1991,No migration background,Post-secondary Non-tertiary Level,SPD,0.22182,49,163,0.15784,0.28580
1991,No migration background,Post-secondary Non-tertiary Level,CDU/CSU,0.15811,38,163,0.10193,0.21429
1991,No migration background,First Stage of Tertiary Education,Not leaning towards specific party,0.25478,152,426,0.21335,0.29620
1991,No migration background,First Stage of Tertiary Education,SPD,0.17555,105,426,0.13938,0.21172
1991,No migration background,First Stage of Tertiary Education,CDU/CSU,0.31131,169,426,0.26729,0.35533
1991,No migration background,Second Stage of Tertiary Education,Not leaning towards specific party,0.16775,170,615,0.13819,0.19730
1991,No migration background,Second Stage of Tertiary Education,SPD,0.14513,158,615,0.11727,0.17299
1991,No migration background,Second Stage of Tertiary Education,CDU/CSU,0.17283,172,615,0.14292,0.20274
1991,No migration background,Second Stage of Tertiary Education,FDP,0.05938,56,615,0.04068,0.07807
1991,No migration background,Second Stage of Tertiary Education,Bündnis90/Grüne,0.05633,59,615,0.03810,0.07457
1991,Direct migration background,Lower Secondary Level,Not leaning towards specific party,0.19258,52,83,0.10723,0.27793
1991,Direct migration background,Lower Secondary Level,SPD,0.13150,31,83,0.05835,0.20464
1991,Direct migration background,Upper Secondary Level,Not leaning towards specific party,0.25552,107,210,0.19639,0.31465
1991,Direct migration background,Upper Secondary Level,SPD,0.12529,44,210,0.08041,0.17018
1991,Direct migration background,Upper Secondary Level,CDU/CSU,0.15887,59,210,0.10931,0.20843
1992,No migration background,Pre-primary Level,Not leaning towards specific party,0.65248,87,87,0.55183,0.75312
1992,No migration background,Primary Level,Not leaning towards specific party,0.73314,64,64,0.62391,0.84236
1992,No migration background,Lower Secondary Level,Not leaning towards specific party,0.55590,1068,1720,0.53241,0.57939
1992,No migration background,Lower Secondary Level,SPD,0.21159,333,1720,0.19228,0.23090
1992,No migration background,Lower Secondary Level,CDU/CSU,0.20034,319,1720,0.18142,0.21926
1992,No migration background,Upper Secondary Level,Not leaning towards specific party,0.49922,3131,5718,0.48626,0.51218
1992,No migration background,Upper Secondary Level,SPD,0.22995,1192,5718,0.21904,0.24086
1992,No migration background,Upper Secondary Level,CDU/CSU,0.20796,1083,5718,0.19743,0.21848
1992,No migration background,Upper Secondary Level,FDP,0.01785,90,5718,0.01441,0.02128
1992,No migration background,Upper Secondary Level,Bündnis90/Grüne,0.02121,124,5718,0.01747,0.02494
1992,No migration background,Upper Secondary Level,PDS/Linke,0.00528,44,5718,0.00340,0.00716
1992,No migration background,Upper Secondary Level,Others,0.01082,54,5718,0.00814,0.01350
1992,No migration background,Post-secondary Non-tertiary Level,Not leaning towards specific party,0.39986,129,237,0.33736,0.46236
1992,No migration background,Post-secondary Non-tertiary Level,SPD,0.26321,66,237,0.20702,0.31939
1992,No migration background,Post-secondary Non-tertiary Level,CDU/CSU,0.15853,42,237,0.11193,0.20513
