year,regtyp,sampreg,party,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1987,Urban regions,West,Not leaning towards specific party,0.36535,3651,8155,0.35490,0.37581
1987,Urban regions,West,SPD,0.27586,2119,8155,0.26616,0.28556
1987,Urban regions,West,CDU/CSU,0.27176,1771,8155,0.26210,0.28141
1987,Urban regions,West,FDP,0.03536,220,8155,0.03135,0.03937
1987,Urban regions,West,Bündnis90/Grüne,0.04728,394,8155,0.04267,0.05188
1987,Rural regions,West,Not leaning towards specific party,0.36926,924,2183,0.34901,0.38951
1987,Rural regions,West,SPD,0.22933,489,2183,0.21169,0.24696
1987,Rural regions,West,CDU/CSU,0.33850,641,2183,0.31865,0.35836
1987,Rural regions,West,FDP,0.03007,57,2183,0.02290,0.03723
1987,Rural regions,West,Bündnis90/Grüne,0.02736,72,2183,0.02051,0.03420
1988,Urban regions,West,Not leaning towards specific party,0.39951,3742,7849,0.38867,0.41035
1988,Urban regions,West,SPD,0.28757,2114,7849,0.27756,0.29759
1988,Urban regions,West,CDU/CSU,0.23931,1489,7849,0.22987,0.24875
1988,Urban regions,West,FDP,0.02767,171,7849,0.02404,0.03130
1988,Urban regions,West,Bündnis90/Grüne,0.03945,297,7849,0.03514,0.04376
1988,Urban regions,West,Others,0.00648,36,7849,0.00471,0.00826
1988,Rural regions,West,Not leaning towards specific party,0.41611,967,2042,0.39473,0.43750
1988,Rural regions,West,SPD,0.25062,477,2042,0.23182,0.26942
1988,Rural regions,West,CDU/CSU,0.28501,515,2042,0.26543,0.30460
1988,Rural regions,West,FDP,0.02560,43,2042,0.01875,0.03245
1988,Rural regions,West,Bündnis90/Grüne,0.01705,40,2042,0.01143,0.02266
1989,Urban regions,West,Not leaning towards specific party,0.41744,3663,7636,0.40638,0.42850
1989,Urban regions,West,SPD,0.28688,2130,7636,0.27673,0.29702
1989,Urban regions,West,CDU/CSU,0.21262,1272,7636,0.20344,0.22180
1989,Urban regions,West,FDP,0.01664,106,7636,0.01377,0.01951
1989,Urban regions,West,Bündnis90/Grüne,0.04213,319,7636,0.03762,0.04663
1989,Urban regions,West,Others,0.02430,146,7636,0.02084,0.02775
1989,Rural regions,West,Not leaning towards specific party,0.44481,956,1949,0.42275,0.46688
1989,Rural regions,West,SPD,0.23044,439,1949,0.21174,0.24914
1989,Rural regions,West,CDU/CSU,0.26337,446,1949,0.24381,0.28293
1989,Rural regions,West,FDP,0.02257,32,1949,0.01597,0.02916
1989,Rural regions,West,Bündnis90/Grüne,0.01589,38,1949,0.01034,0.02144
1989,Rural regions,West,Others,0.02292,38,1949,0.01628,0.02957
1990,Urban regions,West,Not leaning towards specific party,0.38967,3419,7439,0.37859,0.40075
1990,Urban regions,West,SPD,0.30845,2210,7439,0.29795,0.31895
1990,Urban regions,West,CDU/CSU,0.22970,1349,7439,0.22014,0.23926
1990,Urban regions,West,FDP,0.02642,160,7439,0.02278,0.03007
1990,Urban regions,West,Bündnis90/Grüne,0.03327,241,7439,0.02920,0.03735
1990,Urban regions,West,Far right parties,0.00935,60,7439,0.00716,0.01153
1990,Rural regions,West,Not leaning towards specific party,0.43647,937,1931,0.41434,0.45860
1990,Rural regions,West,SPD,0.24253,443,1931,0.22340,0.26165
1990,Rural regions,West,CDU/CSU,0.26545,459,1931,0.24575,0.28515
1990,Rural regions,West,FDP,0.02121,34,1931,0.01478,0.02764
1990,Rural regions,West,Bündnis90/Grüne,0.02397,58,1931,0.01715,0.03080
1991,Urban regions,West,Not leaning towards specific party,0.39217,2141,5312,0.37904,0.40530
1991,Urban regions,West,SPD,0.28357,1504,5312,0.27145,0.29569
1991,Urban regions,West,CDU/CSU,0.24605,1277,5312,0.23446,0.25763
1991,Urban regions,West,FDP,0.03470,166,5312,0.02978,0.03962
1991,Urban regions,West,Bündnis90/Grüne,0.03472,189,5312,0.02979,0.03964
1991,Urban regions,West,Far right parties,0.00592,35,5312,0.00385,0.00798
1991,Rural regions,West,Not leaning towards specific party,0.42179,751,1686,0.39821,0.44537
1991,Rural regions,West,SPD,0.22793,380,1686,0.20790,0.24796
1991,Rural regions,West,CDU/CSU,0.29856,487,1686,0.27671,0.32041
1991,Rural regions,West,FDP,0.02235,36,1686,0.01529,0.02941
1991,Rural regions,West,Bündnis90/Grüne,0.01791,32,1686,0.01158,0.02424
1992,No answer / don't know,East,Not leaning towards specific party,0.57655,63,63,0.45356,0.69954
1992,Urban regions,West,Not leaning towards specific party,0.47710,3971,7298,0.46564,0.48856
1992,Urban regions,West,SPD,0.24734,1702,7298,0.23744,0.25724
1992,Urban regions,West,CDU/CSU,0.20873,1196,7298,0.19941,0.21806
1992,Urban regions,West,FDP,0.02520,139,7298,0.02160,0.02879
1992,Urban regions,West,Bündnis90/Grüne,0.03167,226,7298,0.02765,0.03568
1992,Urban regions,West,Others,0.00853,64,7298,0.00642,0.01064
1992,Urban regions,East,Not leaning towards specific party,0.65762,865,1283,0.63165,0.68360
1992,Urban regions,East,SPD,0.13333,169,1283,0.11472,0.15193
1992,Urban regions,East,CDU/CSU,0.10872,147,1283,0.09168,0.12576
1992,Urban regions,East,Bündnis90/Grüne,0.05026,63,1283,0.03830,0.06222
1992,Urban regions,East,PDS/Linke,0.02817,39,1283,0.01911,0.03723
1992,Rural regions,West,Not leaning towards specific party,0.49956,1078,1911,0.47713,0.52198
1992,Rural regions,West,SPD,0.20368,376,1911,0.18562,0.22174
1992,Rural regions,West,CDU/CSU,0.24505,414,1911,0.22576,0.26434
1992,Rural regions,West,Bündnis90/Grüne,0.01674,43,1911,0.01098,0.02249
1992,Rural regions,East,Not leaning towards specific party,0.68174,1744,2529,0.66358,0.69990
1992,Rural regions,East,SPD,0.11007,273,2529,0.09787,0.12227
1992,Rural regions,East,CDU/CSU,0.12154,316,2529,0.10880,0.13428
1992,Rural regions,East,FDP,0.02355,61,2529,0.01764,0.02947
1992,Rural regions,East,Bündnis90/Grüne,0.02217,63,2529,0.01643,0.02791
1992,Rural regions,East,PDS/Linke,0.03368,72,2529,0.02664,0.04071
1993,Urban regions,West,Not leaning towards specific party,0.53508,4308,7236,0.52359,0.54658
1993,Urban regions,West,SPD,0.21224,1470,7236,0.20282,0.22166
1993,Urban regions,West,CDU/CSU,0.17331,990,7236,0.16459,0.18203
1993,Urban regions,West,FDP,0.02199,121,7236,0.01861,0.02537
1993,Urban regions,West,Bündnis90/Grüne,0.04005,269,7236,0.03553,0.04457
1993,Urban regions,West,Far right parties,0.01312,78,7236,0.01049,0.01574
1993,Urban regions,East,Not leaning towards specific party,0.67394,886,1271,0.64816,0.69972
1993,Urban regions,East,SPD,0.13392,164,1271,0.11519,0.15265
1993,Urban regions,East,CDU/CSU,0.07318,100,1271,0.05886,0.08750
1993,Urban regions,East,Bündnis90/Grüne,0.05339,70,1271,0.04102,0.06575
1993,Urban regions,East,PDS/Linke,0.04194,51,1271,0.03091,0.05296
1993,Rural regions,West,Not leaning towards specific party,0.53396,1143,1897,0.51151,0.55642
1993,Rural regions,West,SPD,0.17595,330,1897,0.15881,0.19309
1993,Rural regions,West,CDU/CSU,0.21721,369,1897,0.19865,0.23577
1993,Rural regions,West,Bündnis90/Grüne,0.02596,55,1897,0.01880,0.03311
1993,Rural regions,East,Not leaning towards specific party,0.71478,1828,2485,0.69702,0.73254
1993,Rural regions,East,SPD,0.10111,250,2485,0.08925,0.11296
1993,Rural regions,East,CDU/CSU,0.10092,240,2485,0.08907,0.11276
1993,Rural regions,East,FDP,0.01758,42,2485,0.01241,0.02275
1993,Rural regions,East,Bündnis90/Grüne,0.01486,43,2485,0.01010,0.01961
1993,Rural regions,East,PDS/Linke,0.03989,82,2485,0.03219,0.04758
1994,Urban regions,West,Not leaning towards specific party,0.49694,4009,7090,0.48530,0.50858
1994,Urban regions,West,SPD,0.24456,1641,7090,0.23455,0.25457
1994,Urban regions,West,CDU/CSU,0.18486,1029,7090,0.17582,0.19390
1994,Urban regions,West,FDP,0.01762,93,7090,0.01456,0.02069
1994,Urban regions,West,Bündnis90/Grüne,0.04099,261,7090,0.03638,0.04561
1994,Urban regions,West,Far right parties,0.00860,57,7090,0.00645,0.01075
1994,Urban regions,East,Not leaning towards specific party,0.66333,873,1265,0.63728,0.68938
1994,Urban regions,East,SPD,0.11559,152,1265,0.09796,0.13322
1994,Urban regions,East,CDU/CSU,0.08364,105,1265,0.06838,0.09891
1994,Urban regions,East,Bündnis90/Grüne,0.05161,62,1265,0.03941,0.06381
1994,Urban regions,East,PDS/Linke,0.06028,73,1265,0.04716,0.07340
1994,Rural regions,West,Not leaning towards specific party,0.52403,1087,1875,0.50142,0.54664
1994,Rural regions,West,SPD,0.21255,385,1875,0.19403,0.23108
1994,Rural regions,West,CDU/CSU,0.21815,359,1875,0.19945,0.23684
1994,Rural regions,West,Bündnis90/Grüne,0.02021,44,1875,0.01384,0.02658
1994,Rural regions,East,Not leaning towards specific party,0.69667,1757,2405,0.67829,0.71505
1994,Rural regions,East,SPD,0.10087,228,2405,0.08883,0.11291
1994,Rural regions,East,CDU/CSU,0.10595,252,2405,0.09364,0.11825
1994,Rural regions,East,Bündnis90/Grüne,0.02041,49,2405,0.01475,0.02606
1994,Rural regions,East,PDS/Linke,0.05188,119,2405,0.04301,0.06074
1995,Urban regions,West,Not leaning towards specific party,0.46371,3974,7470,0.45240,0.47502
1995,Urban regions,West,SPD,0.24123,1667,7470,0.23153,0.25094
1995,Urban regions,West,CDU/CSU,0.21035,1277,7470,0.20111,0.21960
1995,Urban regions,West,FDP,0.01617,91,7470,0.01331,0.01904
1995,Urban regions,West,Bündnis90/Grüne,0.05771,395,7470,0.05242,0.06300
1995,Urban regions,West,Far right parties,0.00465,33,7470,0.00311,0.00620
1995,Urban regions,West,Others,0.00422,33,7470,0.00275,0.00569
1995,Urban regions,East,Not leaning towards specific party,0.61858,761,1201,0.59110,0.64607
1995,Urban regions,East,SPD,0.12898,160,1201,0.11001,0.14794
1995,Urban regions,East,CDU/CSU,0.11428,136,1201,0.09628,0.13228
1995,Urban regions,East,Bündnis90/Grüne,0.04163,52,1201,0.03033,0.05293
1995,Urban regions,East,PDS/Linke,0.08060,92,1201,0.06520,0.09601
1995,Rural regions,West,Not leaning towards specific party,0.47370,1113,2024,0.45194,0.49546
1995,Rural regions,West,SPD,0.22583,404,2024,0.20761,0.24405
1995,Rural regions,West,CDU/CSU,0.24510,441,2024,0.22636,0.26385
1995,Rural regions,West,Bündnis90/Grüne,0.03211,66,2024,0.02443,0.03979
1995,Rural regions,East,Not leaning towards specific party,0.61677,1578,2430,0.59744,0.63611
1995,Rural regions,East,SPD,0.11585,265,2430,0.10312,0.12857
1995,Rural regions,East,CDU/CSU,0.15873,386,2430,0.14420,0.17326
1995,Rural regions,East,Bündnis90/Grüne,0.02247,50,2430,0.01658,0.02836
1995,Rural regions,East,PDS/Linke,0.06946,151,2430,0.05935,0.07957
1996,Urban regions,West,Not leaning towards specific party,0.48595,4038,7245,0.47444,0.49746
1996,Urban regions,West,SPD,0.21352,1450,7245,0.20409,0.22296
1996,Urban regions,West,CDU/CSU,0.21339,1258,7245,0.20395,0.22282
1996,Urban regions,West,FDP,0.01604,82,7245,0.01315,0.01893
1996,Urban regions,West,Bündnis90/Grüne,0.05735,377,7245,0.05199,0.06270
1996,Urban regions,West,Far right parties,0.00701,40,7245,0.00509,0.00893
1996,Urban regions,East,Not leaning towards specific party,0.65553,808,1217,0.62882,0.68224
1996,Urban regions,East,SPD,0.10087,122,1217,0.08394,0.11780
1996,Urban regions,East,CDU/CSU,0.09978,127,1217,0.08294,0.11663
1996,Urban regions,East,Bündnis90/Grüne,0.05246,66,1217,0.03993,0.06499
1996,Urban regions,East,PDS/Linke,0.07781,94,1217,0.06275,0.09287
1996,Rural regions,West,Not leaning towards specific party,0.49298,1110,2006,0.47110,0.51487
1996,Rural regions,West,SPD,0.18713,365,2006,0.17006,0.20420
1996,Rural regions,West,CDU/CSU,0.25575,454,2006,0.23665,0.27485
1996,Rural regions,West,Bündnis90/Grüne,0.03642,77,2006,0.02822,0.04462
1996,Rural regions,East,Not leaning towards specific party,0.65772,1637,2405,0.63876,0.67669
1996,Rural regions,East,SPD,0.08674,200,2405,0.07548,0.09799
1996,Rural regions,East,CDU/CSU,0.15214,360,2405,0.13778,0.16649
1996,Rural regions,East,Bündnis90/Grüne,0.01825,51,2405,0.01290,0.02360
1996,Rural regions,East,PDS/Linke,0.06874,157,2405,0.05863,0.07886
1997,Urban regions,West,Not leaning towards specific party,0.50445,4086,7119,0.49283,0.51606
1997,Urban regions,West,SPD,0.22165,1435,7119,0.21200,0.23130
1997,Urban regions,West,CDU/CSU,0.19522,1136,7119,0.18601,0.20443
1997,Urban regions,West,FDP,0.01195,69,7119,0.00942,0.01447
1997,Urban regions,West,Bündnis90/Grüne,0.05252,343,7119,0.04734,0.05770
1997,Urban regions,West,Far right parties,0.00794,50,7119,0.00588,0.01000
1997,Urban regions,East,Not leaning towards specific party,0.66579,817,1185,0.63892,0.69266
1997,Urban regions,East,SPD,0.10276,119,1185,0.08546,0.12005
1997,Urban regions,East,CDU/CSU,0.10009,122,1185,0.08300,0.11719
1997,Urban regions,East,Bündnis90/Grüne,0.04000,46,1185,0.02884,0.05117
1997,Urban regions,East,PDS/Linke,0.07143,81,1185,0.05676,0.08610
1997,Rural regions,West,Not leaning towards specific party,0.49992,1152,1961,0.47779,0.52206
1997,Rural regions,West,SPD,0.20372,356,1961,0.18588,0.22155
1997,Rural regions,West,CDU/CSU,0.23323,391,1961,0.21451,0.25195
1997,Rural regions,West,Bündnis90/Grüne,0.03503,62,1961,0.02689,0.04317
1997,Rural regions,East,Not leaning towards specific party,0.67455,1697,2379,0.65572,0.69339
1997,Rural regions,East,SPD,0.10246,224,2379,0.09027,0.11465
1997,Rural regions,East,CDU/CSU,0.12795,287,2379,0.11453,0.14138
1997,Rural regions,East,Bündnis90/Grüne,0.01327,34,2379,0.00867,0.01787
1997,Rural regions,East,PDS/Linke,0.06165,137,2379,0.05199,0.07132
1998,Urban regions,West,Not leaning towards specific party,0.49550,4407,7980,0.48453,0.50647
1998,Urban regions,West,SPD,0.23733,1781,7980,0.22799,0.24666
1998,Urban regions,West,CDU/CSU,0.18254,1221,7980,0.17406,0.19101
1998,Urban regions,West,FDP,0.01542,92,7980,0.01271,0.01812
1998,Urban regions,West,Bündnis90/Grüne,0.04965,364,7980,0.04488,0.05441
1998,Urban regions,West,Far right parties,0.00847,51,7980,0.00646,0.01049
1998,Urban regions,West,Others,0.00478,33,7980,0.00327,0.00630
1998,Urban regions,West,Party combinations,0.00378,31,7980,0.00243,0.00512
1998,Urban regions,East,Not leaning towards specific party,0.64745,824,1211,0.62053,0.67437
1998,Urban regions,East,SPD,0.13523,164,1211,0.11597,0.15450
1998,Urban regions,East,CDU/CSU,0.07199,93,1211,0.05743,0.08655
1998,Urban regions,East,Bündnis90/Grüne,0.05085,52,1211,0.03847,0.06323
1998,Urban regions,East,PDS/Linke,0.06147,78,1211,0.04793,0.07500
1998,Rural regions,West,Not leaning towards specific party,0.49700,1293,2256,0.47637,0.51764
1998,Rural regions,West,SPD,0.22430,458,2256,0.20708,0.24151
1998,Rural regions,West,CDU/CSU,0.21404,438,2256,0.19711,0.23097
1998,Rural regions,West,Bündnis90/Grüne,0.02797,67,2256,0.02116,0.03477
1998,Rural regions,East,Not leaning towards specific party,0.68936,1838,2537,0.67135,0.70737
1998,Rural regions,East,SPD,0.09841,243,2537,0.08682,0.11000
1998,Rural regions,East,CDU/CSU,0.11192,266,2537,0.09965,0.12419
1998,Rural regions,East,Bündnis90/Grüne,0.01864,47,2537,0.01338,0.02391
1998,Rural regions,East,PDS/Linke,0.05671,143,2537,0.04771,0.06571
1999,Urban regions,West,Not leaning towards specific party,0.46675,3940,7625,0.45555,0.47795
1999,Urban regions,West,SPD,0.23921,1737,7625,0.22963,0.24878
1999,Urban regions,West,CDU/CSU,0.21920,1419,7625,0.20991,0.22849
1999,Urban regions,West,FDP,0.01511,91,7625,0.01237,0.01785
1999,Urban regions,West,Bündnis90/Grüne,0.03821,284,7625,0.03391,0.04252
1999,Urban regions,West,PDS/Linke,0.00486,32,7625,0.00330,0.00642
1999,Urban regions,West,Far right parties,0.00487,41,7625,0.00331,0.00643
1999,Urban regions,West,Others,0.00429,31,7625,0.00282,0.00575
1999,Urban regions,West,Party combinations,0.00751,50,7625,0.00557,0.00944
1999,Urban regions,East,Not leaning towards specific party,0.57889,736,1192,0.55085,0.60693
1999,Urban regions,East,SPD,0.16803,194,1192,0.14679,0.18926
1999,Urban regions,East,CDU/CSU,0.10384,130,1192,0.08652,0.12117
1999,Urban regions,East,Bündnis90/Grüne,0.03915,41,1192,0.02814,0.05017
1999,Urban regions,East,PDS/Linke,0.07642,91,1192,0.06133,0.09151
1999,Rural regions,West,Not leaning towards specific party,0.45622,1123,2163,0.43522,0.47721
1999,Rural regions,West,SPD,0.22897,464,2163,0.21126,0.24668
1999,Rural regions,West,CDU/CSU,0.25837,512,2163,0.23991,0.27682
1999,Rural regions,West,Bündnis90/Grüne,0.02734,64,2163,0.02046,0.03421
1999,Rural regions,East,Not leaning towards specific party,0.61004,1598,2442,0.59069,0.62939
1999,Rural regions,East,SPD,0.14476,344,2442,0.13080,0.15872
1999,Rural regions,East,CDU/CSU,0.13596,330,2442,0.12237,0.14956
1999,Rural regions,East,PDS/Linke,0.07479,170,2442,0.06436,0.08523
2000,Urban regions,West,Not leaning towards specific party,0.50002,7188,13747,0.49166,0.50838
2000,Urban regions,West,SPD,0.23226,3093,13747,0.22520,0.23932
2000,Urban regions,West,CDU/CSU,0.19424,2509,13747,0.18763,0.20086
2000,Urban regions,West,FDP,0.01602,190,13747,0.01392,0.01812
2000,Urban regions,West,Bündnis90/Grüne,0.04113,549,13747,0.03781,0.04445
2000,Urban regions,West,PDS/Linke,0.00333,47,13747,0.00236,0.00429
2000,Urban regions,West,Far right parties,0.00376,54,13747,0.00274,0.00478
2000,Urban regions,West,Others,0.00410,52,13747,0.00303,0.00517
2000,Urban regions,West,Party combinations,0.00514,65,13747,0.00394,0.00634
2000,Urban regions,East,Not leaning towards specific party,0.59232,1122,1794,0.56957,0.61506
2000,Urban regions,East,SPD,0.13750,236,1794,0.12156,0.15344
2000,Urban regions,East,CDU/CSU,0.11447,214,1794,0.09973,0.12920
2000,Urban regions,East,Bündnis90/Grüne,0.02465,43,1794,0.01748,0.03183
2000,Urban regions,East,PDS/Linke,0.10114,179,1794,0.08718,0.11510
2000,Rural regions,West,Not leaning towards specific party,0.53555,2416,4249,0.52055,0.55054
2000,Rural regions,West,SPD,0.18700,771,4249,0.17527,0.19872
2000,Rural regions,West,CDU/CSU,0.22519,919,4249,0.21262,0.23775
2000,Rural regions,West,FDP,0.01373,47,4249,0.01023,0.01723
2000,Rural regions,West,Bündnis90/Grüne,0.02103,96,4249,0.01671,0.02534
2000,Rural regions,East,Not leaning towards specific party,0.63626,2567,3926,0.62121,0.65131
2000,Rural regions,East,SPD,0.12197,472,3926,0.11173,0.13221
2000,Rural regions,East,CDU/CSU,0.13316,517,3926,0.12253,0.14379
2000,Rural regions,East,Bündnis90/Grüne,0.01175,52,3926,0.00838,0.01513
2000,Rural regions,East,PDS/Linke,0.07647,287,3926,0.06816,0.08478
2000,Rural regions,East,Far right parties,0.00747,31,3926,0.00478,0.01017
2001,Urban regions,West,Not leaning towards specific party,0.51838,6705,12502,0.50963,0.52714
2001,Urban regions,West,SPD,0.22653,2776,12502,0.21919,0.23387
2001,Urban regions,West,CDU/CSU,0.18100,2129,12502,0.17425,0.18775
2001,Urban regions,West,FDP,0.01901,207,12502,0.01662,0.02141
2001,Urban regions,West,Bündnis90/Grüne,0.03827,495,12502,0.03491,0.04163
2001,Urban regions,West,PDS/Linke,0.00373,44,12502,0.00266,0.00479
2001,Urban regions,West,Far right parties,0.00315,46,12502,0.00216,0.00413
2001,Urban regions,West,Others,0.00481,47,12502,0.00359,0.00602
2001,Urban regions,West,Party combinations,0.00512,53,12502,0.00387,0.00637
2001,Urban regions,East,Not leaning towards specific party,0.65546,1151,1702,0.63288,0.67805
2001,Urban regions,East,SPD,0.11434,201,1702,0.09922,0.12946
2001,Urban regions,East,CDU/CSU,0.09464,172,1702,0.08073,0.10855
2001,Urban regions,East,Bündnis90/Grüne,0.02972,46,1702,0.02165,0.03779
2001,Urban regions,East,PDS/Linke,0.08180,132,1702,0.06877,0.09482
2001,Rural regions,West,Not leaning towards specific party,0.55152,2230,3824,0.53575,0.56728
2001,Rural regions,West,SPD,0.18135,667,3824,0.16913,0.19356
2001,Rural regions,West,CDU/CSU,0.21347,777,3824,0.20048,0.22646
2001,Rural regions,West,FDP,0.01566,46,3824,0.01172,0.01959
2001,Rural regions,West,Bündnis90/Grüne,0.02568,104,3824,0.02067,0.03070
2001,Rural regions,East,Not leaning towards specific party,0.65820,2468,3627,0.64276,0.67364
2001,Rural regions,East,SPD,0.11242,404,3627,0.10213,0.12270
2001,Rural regions,East,CDU/CSU,0.12438,434,3627,0.11363,0.13512
2001,Rural regions,East,FDP,0.00955,36,3627,0.00638,0.01271
2001,Rural regions,East,Bündnis90/Grüne,0.01007,38,3627,0.00682,0.01332
2001,Rural regions,East,PDS/Linke,0.07308,247,3627,0.06461,0.08156
2002,Urban regions,West,Not leaning towards specific party,0.51288,6710,13435,0.50443,0.52133
2002,Urban regions,West,SPD,0.22217,2989,13435,0.21514,0.22920
2002,Urban regions,West,CDU/CSU,0.18877,2607,13435,0.18216,0.19539
2002,Urban regions,West,FDP,0.02190,347,13435,0.01942,0.02437
2002,Urban regions,West,Bündnis90/Grüne,0.03599,559,13435,0.03284,0.03914
2002,Urban regions,West,PDS/Linke,0.00514,64,13435,0.00393,0.00635
2002,Urban regions,West,Far right parties,0.00330,38,13435,0.00233,0.00427
2002,Urban regions,West,Others,0.00486,55,13435,0.00368,0.00603
2002,Urban regions,West,Party combinations,0.00499,66,13435,0.00380,0.00618
2002,Urban regions,East,Not leaning towards specific party,0.61741,1092,1719,0.59443,0.64039
2002,Urban regions,East,SPD,0.11818,212,1719,0.10291,0.13344
2002,Urban regions,East,CDU/CSU,0.10714,197,1719,0.09252,0.12177
2002,Urban regions,East,Bündnis90/Grüne,0.02253,44,1719,0.01551,0.02954
2002,Urban regions,East,PDS/Linke,0.10964,174,1719,0.09486,0.12441
2002,Rural regions,West,Not leaning towards specific party,0.57073,2249,3991,0.55538,0.58609
2002,Rural regions,West,SPD,0.17559,694,3991,0.16379,0.18740
2002,Rural regions,West,CDU/CSU,0.20893,879,3991,0.19632,0.22155
2002,Rural regions,West,FDP,0.01127,60,3991,0.00800,0.01455
2002,Rural regions,West,Bündnis90/Grüne,0.02016,109,3991,0.01580,0.02452
2002,Rural regions,East,Not leaning towards specific party,0.66730,2403,3593,0.65189,0.68271
2002,Rural regions,East,SPD,0.09636,349,3593,0.08671,0.10601
2002,Rural regions,East,CDU/CSU,0.11609,452,3593,0.10562,0.12657
2002,Rural regions,East,FDP,0.01186,53,3593,0.00832,0.01540
2002,Rural regions,East,Bündnis90/Grüne,0.00843,37,3593,0.00544,0.01142
2002,Rural regions,East,PDS/Linke,0.08483,299,3593,0.07572,0.09395
2003,Urban regions,West,Not leaning towards specific party,0.48195,6155,12874,0.47332,0.49058
2003,Urban regions,West,SPD,0.20994,2626,12874,0.20291,0.21698
2003,Urban regions,West,CDU/CSU,0.21674,2865,12874,0.20962,0.22385
2003,Urban regions,West,FDP,0.02076,300,12874,0.01830,0.02323
2003,Urban regions,West,Bündnis90/Grüne,0.05300,744,12874,0.04913,0.05687
2003,Urban regions,West,PDS/Linke,0.00290,39,12874,0.00197,0.00383
2003,Urban regions,West,Others,0.00428,50,12874,0.00315,0.00541
2003,Urban regions,West,Party combinations,0.00799,95,12874,0.00645,0.00952
2003,Urban regions,East,Not leaning towards specific party,0.60825,1060,1708,0.58509,0.63141
2003,Urban regions,East,SPD,0.13527,239,1708,0.11905,0.15150
2003,Urban regions,East,CDU/CSU,0.11727,230,1708,0.10201,0.13254
2003,Urban regions,East,Bündnis90/Grüne,0.04079,67,1708,0.03140,0.05017
2003,Urban regions,East,PDS/Linke,0.07298,112,1708,0.06064,0.08532
2003,Rural regions,West,Not leaning towards specific party,0.52308,1907,3745,0.50708,0.53908
2003,Rural regions,West,SPD,0.16693,637,3745,0.15498,0.17887
2003,Rural regions,West,CDU/CSU,0.25692,1021,3745,0.24293,0.27092
2003,Rural regions,West,FDP,0.01345,55,3745,0.00976,0.01713
2003,Rural regions,West,Bündnis90/Grüne,0.02723,125,3745,0.02202,0.03244
2003,Rural regions,East,Not leaning towards specific party,0.64504,2288,3525,0.62924,0.66084
2003,Rural regions,East,SPD,0.10845,386,3525,0.09819,0.11872
2003,Rural regions,East,CDU/CSU,0.13693,516,3525,0.12558,0.14828
2003,Rural regions,East,FDP,0.01321,47,3525,0.00944,0.01698
2003,Rural regions,East,Bündnis90/Grüne,0.01328,56,3525,0.00950,0.01707
2003,Rural regions,East,PDS/Linke,0.06825,232,3525,0.05993,0.07658
2004,Urban regions,West,Not leaning towards specific party,0.55878,6826,12559,0.55009,0.56746
2004,Urban regions,West,SPD,0.17182,2145,12559,0.16522,0.17841
2004,Urban regions,West,CDU/CSU,0.19136,2506,12559,0.18448,0.19824
2004,Urban regions,West,FDP,0.01780,263,12559,0.01549,0.02011
2004,Urban regions,West,Bündnis90/Grüne,0.04547,644,12559,0.04182,0.04911
2004,Urban regions,West,PDS/Linke,0.00382,44,12559,0.00274,0.00489
2004,Urban regions,West,Far right parties,0.00280,31,12559,0.00188,0.00373
2004,Urban regions,West,Others,0.00406,44,12559,0.00295,0.00517
