year,quintil_oecd,regtyp,party,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1987,2nd Quintile,Urban regions,CDU/CSU,0.19849,287,1564,0.17872,0.21827
1987,2nd Quintile,Urban regions,Bündnis90/Grüne,0.02929,66,1564,0.02093,0.03765
1987,2nd Quintile,Rural regions,Not leaning towards specific party,0.26455,186,434,0.22300,0.30609
1987,2nd Quintile,Rural regions,SPD,0.18386,107,434,0.14737,0.22034
1987,2nd Quintile,Rural regions,CDU/CSU,0.26245,141,434,0.22101,0.30389
1987,3rd Quintile,Urban regions,Not leaning towards specific party,0.29723,729,1619,0.27496,0.31950
1987,3rd Quintile,Urban regions,SPD,0.23493,436,1619,0.21428,0.25559
1987,3rd Quintile,Urban regions,CDU/CSU,0.22454,349,1619,0.20421,0.24487
1987,3rd Quintile,Urban regions,FDP,0.02151,32,1619,0.01444,0.02857
1987,3rd Quintile,Urban regions,Bündnis90/Grüne,0.03428,73,1619,0.02542,0.04315
1987,3rd Quintile,Rural regions,Not leaning towards specific party,0.28907,178,432,0.24627,0.33187
1987,3rd Quintile,Rural regions,SPD,0.21256,115,432,0.17393,0.25118
1987,3rd Quintile,Rural regions,CDU/CSU,0.27467,139,432,0.23253,0.31681
1987,4th Quintile,Urban regions,Not leaning towards specific party,0.30317,708,1717,0.28142,0.32492
1987,4th Quintile,Urban regions,SPD,0.25426,473,1717,0.23366,0.27486
1987,4th Quintile,Urban regions,CDU/CSU,0.24748,410,1717,0.22706,0.26790
1987,4th Quintile,Urban regions,FDP,0.02684,44,1717,0.01920,0.03449
1987,4th Quintile,Urban regions,Bündnis90/Grüne,0.04302,82,1717,0.03342,0.05262
1987,4th Quintile,Rural regions,Not leaning towards specific party,0.31653,179,390,0.27031,0.36275
1987,4th Quintile,Rural regions,SPD,0.20971,105,390,0.16926,0.25017
1987,4th Quintile,Rural regions,CDU/CSU,0.24546,106,390,0.20269,0.28823
1987,5th Quintile,Urban regions,Not leaning towards specific party,0.28384,601,1680,0.26228,0.30541
1987,5th Quintile,Urban regions,SPD,0.19716,374,1680,0.17813,0.21619
1987,5th Quintile,Urban regions,CDU/CSU,0.30176,525,1680,0.27980,0.32371
1987,5th Quintile,Urban regions,FDP,0.05793,98,1680,0.04675,0.06910
1987,5th Quintile,Urban regions,Bündnis90/Grüne,0.04010,82,1680,0.03071,0.04948
1987,5th Quintile,Rural regions,Not leaning towards specific party,0.25626,125,352,0.21059,0.30193
1987,5th Quintile,Rural regions,SPD,0.15451,67,352,0.11670,0.19232
1987,5th Quintile,Rural regions,CDU/CSU,0.43434,160,352,0.38249,0.48620
1988,1st Quintile,Urban regions,Not leaning towards specific party,0.36113,886,1507,0.33687,0.38539
1988,1st Quintile,Urban regions,SPD,0.20604,354,1507,0.18561,0.22646
1988,1st Quintile,Urban regions,CDU/CSU,0.15120,199,1507,0.13310,0.16929
1988,1st Quintile,Urban regions,Bündnis90/Grüne,0.03915,68,1507,0.02936,0.04895
1988,1st Quintile,Rural regions,Not leaning towards specific party,0.36837,247,408,0.32151,0.41523
1988,1st Quintile,Rural regions,SPD,0.19268,87,408,0.15436,0.23099
1988,1st Quintile,Rural regions,CDU/CSU,0.16023,74,408,0.12459,0.19587
1988,2nd Quintile,Urban regions,Not leaning towards specific party,0.32333,790,1540,0.29996,0.34670
1988,2nd Quintile,Urban regions,SPD,0.25652,452,1540,0.23470,0.27833
1988,2nd Quintile,Urban regions,CDU/CSU,0.17264,251,1540,0.15376,0.19152
1988,2nd Quintile,Urban regions,Bündnis90/Grüne,0.02559,47,1540,0.01770,0.03348
1988,2nd Quintile,Rural regions,Not leaning towards specific party,0.28056,178,403,0.23664,0.32448
1988,2nd Quintile,Rural regions,SPD,0.21050,116,403,0.17065,0.25036
1988,2nd Quintile,Rural regions,CDU/CSU,0.22571,109,403,0.18484,0.26657
1988,3rd Quintile,Urban regions,Not leaning towards specific party,0.34047,759,1561,0.31696,0.36399
1988,3rd Quintile,Urban regions,SPD,0.23203,427,1561,0.21108,0.25297
1988,3rd Quintile,Urban regions,CDU/CSU,0.18787,278,1561,0.16848,0.20725
1988,3rd Quintile,Urban regions,FDP,0.02160,33,1561,0.01439,0.02882
1988,3rd Quintile,Urban regions,Bündnis90/Grüne,0.03681,64,1561,0.02747,0.04616
1988,3rd Quintile,Rural regions,Not leaning towards specific party,0.35222,198,406,0.30570,0.39874
1988,3rd Quintile,Rural regions,SPD,0.21530,105,406,0.17526,0.25533
1988,3rd Quintile,Rural regions,CDU/CSU,0.22924,103,406,0.18831,0.27018
1988,4th Quintile,Urban regions,Not leaning towards specific party,0.33199,726,1589,0.30883,0.35515
1988,4th Quintile,Urban regions,SPD,0.26807,449,1589,0.24628,0.28985
1988,4th Quintile,Urban regions,CDU/CSU,0.20945,318,1589,0.18944,0.22946
1988,4th Quintile,Urban regions,FDP,0.02311,37,1589,0.01572,0.03050
1988,4th Quintile,Urban regions,Bündnis90/Grüne,0.03208,59,1589,0.02341,0.04074
1988,4th Quintile,Rural regions,Not leaning towards specific party,0.33166,201,436,0.28742,0.37591
1988,4th Quintile,Rural regions,SPD,0.21379,107,436,0.17526,0.25231
1988,4th Quintile,Rural regions,CDU/CSU,0.26239,128,436,0.22105,0.30374
1988,5th Quintile,Urban regions,Not leaning towards specific party,0.31051,580,1589,0.28775,0.33326
1988,5th Quintile,Urban regions,SPD,0.23552,432,1589,0.21465,0.25639
1988,5th Quintile,Urban regions,CDU/CSU,0.26834,443,1589,0.24654,0.29013
1988,5th Quintile,Urban regions,FDP,0.04674,76,1589,0.03636,0.05712
1988,5th Quintile,Urban regions,Bündnis90/Grüne,0.02980,58,1589,0.02144,0.03817
1988,5th Quintile,Rural regions,Not leaning towards specific party,0.35768,143,306,0.30389,0.41148
1988,5th Quintile,Rural regions,SPD,0.17911,62,306,0.13607,0.22214
1988,5th Quintile,Rural regions,CDU/CSU,0.30902,101,306,0.25716,0.36088
1989,1st Quintile,Urban regions,Not leaning towards specific party,0.36514,863,1507,0.34082,0.38946
1989,1st Quintile,Urban regions,SPD,0.22766,423,1507,0.20648,0.24884
1989,1st Quintile,Urban regions,CDU/CSU,0.11734,152,1507,0.10109,0.13359
1989,1st Quintile,Urban regions,Bündnis90/Grüne,0.04140,69,1507,0.03133,0.05146
1989,1st Quintile,Rural regions,Not leaning towards specific party,0.40139,217,362,0.35082,0.45195
1989,1st Quintile,Rural regions,SPD,0.16358,82,362,0.12543,0.20174
1989,1st Quintile,Rural regions,CDU/CSU,0.16621,63,362,0.12781,0.20462
1989,2nd Quintile,Urban regions,Not leaning towards specific party,0.33762,813,1495,0.31364,0.36160
1989,2nd Quintile,Urban regions,SPD,0.23943,408,1495,0.21779,0.26107
1989,2nd Quintile,Urban regions,CDU/CSU,0.15328,210,1495,0.13501,0.17155
1989,2nd Quintile,Urban regions,Bündnis90/Grüne,0.03026,64,1495,0.02157,0.03894
1989,2nd Quintile,Rural regions,Not leaning towards specific party,0.31851,191,389,0.27215,0.36486
1989,2nd Quintile,Rural regions,SPD,0.19265,107,389,0.15341,0.23189
1989,2nd Quintile,Rural regions,CDU/CSU,0.17644,91,389,0.13851,0.21437
1989,3rd Quintile,Urban regions,Not leaning towards specific party,0.33553,675,1462,0.31132,0.35975
1989,3rd Quintile,Urban regions,SPD,0.25378,452,1462,0.23147,0.27610
1989,3rd Quintile,Urban regions,CDU/CSU,0.16751,242,1462,0.14836,0.18666
1989,3rd Quintile,Urban regions,Bündnis90/Grüne,0.03412,58,1462,0.02481,0.04343
1989,3rd Quintile,Urban regions,Others,0.02373,35,1462,0.01593,0.03154
1989,3rd Quintile,Rural regions,Not leaning towards specific party,0.39240,215,380,0.34324,0.44156
1989,3rd Quintile,Rural regions,SPD,0.19045,84,380,0.15092,0.22998
1989,3rd Quintile,Rural regions,CDU/CSU,0.17920,81,380,0.14059,0.21782
1989,4th Quintile,Urban regions,Not leaning towards specific party,0.36832,713,1557,0.34436,0.39229
1989,4th Quintile,Urban regions,SPD,0.25769,467,1557,0.23596,0.27942
1989,4th Quintile,Urban regions,CDU/CSU,0.18871,274,1557,0.16927,0.20816
1989,4th Quintile,Urban regions,Bündnis90/Grüne,0.03226,65,1557,0.02348,0.04104
1989,4th Quintile,Urban regions,Others,0.02655,38,1557,0.01856,0.03453
1989,4th Quintile,Rural regions,Not leaning towards specific party,0.33433,179,396,0.28781,0.38086
1989,4th Quintile,Rural regions,SPD,0.19739,102,396,0.15814,0.23665
1989,4th Quintile,Rural regions,CDU/CSU,0.27372,115,396,0.22975,0.31769
1989,5th Quintile,Urban regions,Not leaning towards specific party,0.33482,599,1496,0.31090,0.35874
1989,5th Quintile,Urban regions,SPD,0.21816,379,1496,0.19722,0.23909
1989,5th Quintile,Urban regions,CDU/CSU,0.25256,394,1496,0.23054,0.27459
1989,5th Quintile,Urban regions,FDP,0.03800,61,1496,0.02831,0.04769
1989,5th Quintile,Urban regions,Bündnis90/Grüne,0.03746,63,1496,0.02783,0.04708
1989,5th Quintile,Rural regions,Not leaning towards specific party,0.35544,154,314,0.30242,0.40847
1989,5th Quintile,Rural regions,SPD,0.19113,64,314,0.14757,0.23469
1989,5th Quintile,Rural regions,CDU/CSU,0.29964,96,314,0.24889,0.35039
1990,1st Quintile,Urban regions,Not leaning towards specific party,0.36477,825,1444,0.33994,0.38961
1990,1st Quintile,Urban regions,SPD,0.23275,418,1444,0.21094,0.25455
1990,1st Quintile,Urban regions,CDU/CSU,0.12623,159,1444,0.10909,0.14336
1990,1st Quintile,Urban regions,Bündnis90/Grüne,0.02345,42,1444,0.01564,0.03126
1990,1st Quintile,Rural regions,Not leaning towards specific party,0.35695,217,397,0.30976,0.40414
1990,1st Quintile,Rural regions,SPD,0.17229,91,397,0.13509,0.20948
1990,1st Quintile,Rural regions,CDU/CSU,0.19346,89,397,0.15455,0.23236
1990,2nd Quintile,Urban regions,Not leaning towards specific party,0.31639,722,1440,0.29236,0.34042
1990,2nd Quintile,Urban regions,SPD,0.25302,451,1440,0.23055,0.27548
1990,2nd Quintile,Urban regions,CDU/CSU,0.15150,209,1440,0.13297,0.17002
1990,2nd Quintile,Urban regions,Bündnis90/Grüne,0.03168,58,1440,0.02263,0.04072
1990,2nd Quintile,Rural regions,Not leaning towards specific party,0.33949,199,380,0.29182,0.38717
1990,2nd Quintile,Rural regions,SPD,0.21730,99,380,0.17578,0.25882
1990,2nd Quintile,Rural regions,CDU/CSU,0.16733,82,380,0.12975,0.20491
1990,3rd Quintile,Urban regions,Not leaning towards specific party,0.31715,732,1498,0.29358,0.34073
1990,3rd Quintile,Urban regions,SPD,0.26044,459,1498,0.23821,0.28267
1990,3rd Quintile,Urban regions,CDU/CSU,0.18552,267,1498,0.16582,0.20521
1990,3rd Quintile,Urban regions,Bündnis90/Grüne,0.02411,40,1498,0.01634,0.03188
1990,3rd Quintile,Rural regions,Not leaning towards specific party,0.38569,171,331,0.33317,0.43820
1990,3rd Quintile,Rural regions,SPD,0.22747,87,331,0.18224,0.27270
1990,3rd Quintile,Rural regions,CDU/CSU,0.19057,73,331,0.14819,0.23294
1990,4th Quintile,Urban regions,Not leaning towards specific party,0.35383,637,1422,0.32897,0.37870
1990,4th Quintile,Urban regions,SPD,0.28502,467,1422,0.26154,0.30849
1990,4th Quintile,Urban regions,CDU/CSU,0.18588,267,1422,0.16566,0.20611
1990,4th Quintile,Urban regions,Bündnis90/Grüne,0.03170,51,1422,0.02259,0.04081
1990,4th Quintile,Rural regions,Not leaning towards specific party,0.34922,202,435,0.30436,0.39407
1990,4th Quintile,Rural regions,SPD,0.22275,112,435,0.18360,0.26189
1990,4th Quintile,Rural regions,CDU/CSU,0.25572,121,435,0.21467,0.29676
1990,5th Quintile,Urban regions,Not leaning towards specific party,0.27240,500,1493,0.24981,0.29499
1990,5th Quintile,Urban regions,SPD,0.24977,415,1493,0.22780,0.27173
1990,5th Quintile,Urban regions,CDU/CSU,0.29390,447,1493,0.27078,0.31701
1990,5th Quintile,Urban regions,FDP,0.05215,81,1493,0.04087,0.06343
1990,5th Quintile,Urban regions,Bündnis90/Grüne,0.02737,50,1493,0.01909,0.03565
1990,5th Quintile,Rural regions,Not leaning towards specific party,0.37336,148,296,0.31816,0.42856
1990,5th Quintile,Rural regions,SPD,0.15502,54,296,0.11371,0.19632
1990,5th Quintile,Rural regions,CDU/CSU,0.30694,94,296,0.25430,0.35957
1991,1st Quintile,Urban regions,Not leaning towards specific party,0.30043,351,701,0.26647,0.33440
1991,1st Quintile,Urban regions,SPD,0.18094,214,701,0.15242,0.20946
1991,1st Quintile,Urban regions,CDU/CSU,0.12945,136,701,0.10458,0.15432
1991,1st Quintile,Rural regions,Not leaning towards specific party,0.34307,161,315,0.29056,0.39558
1991,1st Quintile,Rural regions,SPD,0.14542,60,315,0.10643,0.18441
1991,1st Quintile,Rural regions,CDU/CSU,0.20624,94,315,0.16149,0.25100
1991,2nd Quintile,Urban regions,Not leaning towards specific party,0.28096,407,923,0.25194,0.30997
1991,2nd Quintile,Urban regions,SPD,0.23022,296,923,0.20305,0.25739
1991,2nd Quintile,Urban regions,CDU/CSU,0.13645,189,923,0.11429,0.15860
1991,2nd Quintile,Urban regions,Bündnis90/Grüne,0.01994,31,923,0.01091,0.02896
1991,2nd Quintile,Rural regions,Not leaning towards specific party,0.32677,157,332,0.27625,0.37730
1991,2nd Quintile,Rural regions,SPD,0.17031,79,332,0.12981,0.21081
1991,2nd Quintile,Rural regions,CDU/CSU,0.20243,96,332,0.15915,0.24572
1991,3rd Quintile,Urban regions,Not leaning towards specific party,0.26517,405,1050,0.23846,0.29188
1991,3rd Quintile,Urban regions,SPD,0.22506,336,1050,0.19978,0.25033
1991,3rd Quintile,Urban regions,CDU/CSU,0.19667,276,1050,0.17262,0.22072
1991,3rd Quintile,Urban regions,Bündnis90/Grüne,0.02210,33,1050,0.01320,0.03099
1991,3rd Quintile,Rural regions,Not leaning towards specific party,0.33719,147,310,0.28448,0.38991
1991,3rd Quintile,Rural regions,SPD,0.18630,78,310,0.14289,0.22972
1991,3rd Quintile,Rural regions,CDU/CSU,0.23606,85,310,0.18871,0.28341
1991,4th Quintile,Urban regions,Not leaning towards specific party,0.33284,479,1152,0.30562,0.36007
1991,4th Quintile,Urban regions,SPD,0.22551,319,1152,0.20137,0.24966
1991,4th Quintile,Urban regions,CDU/CSU,0.19556,269,1152,0.17265,0.21848
1991,4th Quintile,Urban regions,FDP,0.02734,39,1152,0.01792,0.03676
1991,4th Quintile,Urban regions,Bündnis90/Grüne,0.03324,46,1152,0.02289,0.04360
1991,4th Quintile,Rural regions,Not leaning towards specific party,0.35112,176,396,0.30405,0.39820
1991,4th Quintile,Rural regions,SPD,0.21666,107,396,0.17603,0.25729
1991,4th Quintile,Rural regions,CDU/CSU,0.23336,113,396,0.19165,0.27507
1991,5th Quintile,Urban regions,Not leaning towards specific party,0.30901,499,1371,0.28454,0.33348
1991,5th Quintile,Urban regions,SPD,0.21186,339,1371,0.19022,0.23350
1991,5th Quintile,Urban regions,CDU/CSU,0.26456,407,1371,0.24121,0.28792
1991,5th Quintile,Urban regions,FDP,0.05454,75,1371,0.04251,0.06656
1991,5th Quintile,Urban regions,Bündnis90/Grüne,0.03076,51,1371,0.02161,0.03990
1991,5th Quintile,Rural regions,Not leaning towards specific party,0.29016,110,265,0.23542,0.34491
1991,5th Quintile,Rural regions,SPD,0.18572,56,265,0.13881,0.23263
1991,5th Quintile,Rural regions,CDU/CSU,0.32793,99,265,0.27130,0.38456
1992,1st Quintile,Urban regions,Not leaning towards specific party,0.45175,912,1368,0.42537,0.47814
1992,1st Quintile,Urban regions,SPD,0.16084,264,1368,0.14136,0.18031
1992,1st Quintile,Urban regions,CDU/CSU,0.10865,153,1368,0.09216,0.12515
1992,1st Quintile,Urban regions,Bündnis90/Grüne,0.02475,39,1368,0.01651,0.03298
1992,1st Quintile,Rural regions,Not leaning towards specific party,0.50892,884,1255,0.48125,0.53659
1992,1st Quintile,Rural regions,SPD,0.11827,168,1255,0.10039,0.13614
1992,1st Quintile,Rural regions,CDU/CSU,0.12065,164,1255,0.10262,0.13868
1992,1st Quintile,Rural regions,PDS/Linke,0.02319,39,1255,0.01486,0.03153
1992,2nd Quintile,Urban regions,Not leaning towards specific party,0.39627,1010,1632,0.37253,0.42001
1992,2nd Quintile,Urban regions,SPD,0.18445,356,1632,0.16563,0.20328
1992,2nd Quintile,Urban regions,CDU/CSU,0.12927,207,1632,0.11299,0.14555
1992,2nd Quintile,Urban regions,Bündnis90/Grüne,0.02426,59,1632,0.01679,0.03173
1992,2nd Quintile,Rural regions,Not leaning towards specific party,0.47376,750,1082,0.44400,0.50353
1992,2nd Quintile,Rural regions,SPD,0.10919,144,1082,0.09060,0.12778
1992,2nd Quintile,Rural regions,CDU/CSU,0.13104,188,1082,0.11092,0.15115
1992,3rd Quintile,Urban regions,Not leaning towards specific party,0.40966,1020,1687,0.38618,0.43313
1992,3rd Quintile,Urban regions,SPD,0.20392,382,1687,0.18469,0.22316
1992,3rd Quintile,Urban regions,CDU/CSU,0.14871,241,1687,0.13172,0.16569
1992,3rd Quintile,Urban regions,Bündnis90/Grüne,0.02111,44,1687,0.01425,0.02797
1992,3rd Quintile,Rural regions,Not leaning towards specific party,0.46042,562,862,0.42713,0.49372
1992,3rd Quintile,Rural regions,SPD,0.12971,128,862,0.10727,0.15216
1992,3rd Quintile,Rural regions,CDU/CSU,0.15270,139,862,0.12868,0.17673
1992,3rd Quintile,Rural regions,Bündnis90/Grüne,0.02155,33,862,0.01185,0.03125
1992,4th Quintile,Urban regions,Not leaning towards specific party,0.41455,1020,1838,0.39203,0.43708
1992,4th Quintile,Urban regions,SPD,0.20729,419,1838,0.18875,0.22582
1992,4th Quintile,Urban regions,CDU/CSU,0.16335,292,1838,0.14644,0.18025
1992,4th Quintile,Urban regions,FDP,0.02283,37,1838,0.01600,0.02966
1992,4th Quintile,Urban regions,Bündnis90/Grüne,0.03138,70,1838,0.02340,0.03935
1992,4th Quintile,Rural regions,Not leaning towards specific party,0.44994,402,671,0.41227,0.48761
1992,4th Quintile,Rural regions,SPD,0.17892,138,671,0.14989,0.20794
1992,4th Quintile,Rural regions,CDU/CSU,0.18884,131,671,0.15921,0.21848
1992,5th Quintile,Urban regions,Not leaning towards specific party,0.37843,871,1921,0.35673,0.40012
1992,5th Quintile,Urban regions,SPD,0.20082,450,1921,0.18290,0.21874
1992,5th Quintile,Urban regions,CDU/CSU,0.23664,450,1921,0.21763,0.25565
1992,5th Quintile,Urban regions,FDP,0.03888,73,1921,0.03024,0.04753
1992,5th Quintile,Urban regions,Bündnis90/Grüne,0.03419,77,1921,0.02606,0.04232
1992,5th Quintile,Rural regions,Not leaning towards specific party,0.37216,224,403,0.32490,0.41941
1992,5th Quintile,Rural regions,SPD,0.16955,71,403,0.13287,0.20623
1992,5th Quintile,Rural regions,CDU/CSU,0.27035,108,403,0.22693,0.31377
1993,1st Quintile,Urban regions,Not leaning towards specific party,0.48374,985,1394,0.45750,0.50999
1993,1st Quintile,Urban regions,SPD,0.13564,245,1394,0.11766,0.15362
1993,1st Quintile,Urban regions,CDU/CSU,0.07618,110,1394,0.06225,0.09011
1993,1st Quintile,Urban regions,Bündnis90/Grüne,0.03414,54,1394,0.02460,0.04367
1993,1st Quintile,Rural regions,Not leaning towards specific party,0.56292,850,1074,0.53324,0.59260
1993,1st Quintile,Rural regions,SPD,0.09043,116,1074,0.07327,0.10760
1993,1st Quintile,Rural regions,CDU/CSU,0.08862,108,1074,0.07162,0.10562
1993,2nd Quintile,Urban regions,Not leaning towards specific party,0.45537,1088,1607,0.43101,0.47972
1993,2nd Quintile,Urban regions,SPD,0.15473,295,1607,0.13704,0.17242
1993,2nd Quintile,Urban regions,CDU/CSU,0.11370,175,1607,0.09818,0.12923
1993,2nd Quintile,Urban regions,Bündnis90/Grüne,0.02252,49,1607,0.01527,0.02978
1993,2nd Quintile,Rural regions,Not leaning towards specific party,0.50983,808,1086,0.48008,0.53957
1993,2nd Quintile,Rural regions,SPD,0.09677,143,1086,0.07918,0.11436
1993,2nd Quintile,Rural regions,CDU/CSU,0.10803,135,1086,0.08956,0.12650
1993,3rd Quintile,Urban regions,Not leaning towards specific party,0.44805,1047,1658,0.42411,0.47200
1993,3rd Quintile,Urban regions,SPD,0.17713,348,1658,0.15874,0.19551
1993,3rd Quintile,Urban regions,CDU/CSU,0.11377,179,1658,0.09848,0.12906
