"party","year","alter_gr","migback","n","percent","lower_confidence","upper_confidence"
"Grüne","1986","16-34 Jahre alt","direkter Migrationshintergrund","43","0.0486640428680112","0.035983391093678","0.0613446946423444"
"Grüne","1986","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Grüne","1986","35-65 Jahre alt","kein Migrationshintergrund","74","0.0187349786618321","0.0143953535106769","0.0230746038129874"
"Grüne","1986","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"Grüne","1986","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Grüne","1986","66 und älter","kein Migrationshintergrund","","","",""
"Grüne","1986","66 und älter","direkter Migrationshintergrund","","","",""
"Grüne","1986","66 und älter","indirekter Migrationshintergrund","","","",""
"PDS/Linke","1986","16-34 Jahre alt","kein Migrationshintergrund","","","",""
"PDS/Linke","1986","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"PDS/Linke","1986","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"PDS/Linke","1986","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"PDS/Linke","1986","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"PDS/Linke","1986","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"PDS/Linke","1986","66 und älter","kein Migrationshintergrund","","","",""
"PDS/Linke","1986","66 und älter","direkter Migrationshintergrund","","","",""
"PDS/Linke","1986","66 und älter","indirekter Migrationshintergrund","","","",""
"Rechtsextrem","1986","16-34 Jahre alt","kein Migrationshintergrund","","","",""
"Rechtsextrem","1986","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"Rechtsextrem","1986","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Rechtsextrem","1986","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"Rechtsextrem","1986","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"Rechtsextrem","1986","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Rechtsextrem","1986","66 und älter","kein Migrationshintergrund","","","",""
"Rechtsextrem","1986","66 und älter","direkter Migrationshintergrund","","","",""
"Rechtsextrem","1986","66 und älter","indirekter Migrationshintergrund","","","",""
"AfD","1986","16-34 Jahre alt","kein Migrationshintergrund","","","",""
"AfD","1986","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"AfD","1986","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"AfD","1986","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"AfD","1986","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"AfD","1986","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"AfD","1986","66 und älter","kein Migrationshintergrund","","","",""
"AfD","1986","66 und älter","direkter Migrationshintergrund","","","",""
"AfD","1986","66 und älter","indirekter Migrationshintergrund","","","",""
"Sonstige","1986","16-34 Jahre alt","kein Migrationshintergrund","","","",""
"Sonstige","1986","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"Sonstige","1986","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Sonstige","1986","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"Sonstige","1986","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"Sonstige","1986","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Sonstige","1986","66 und älter","kein Migrationshintergrund","","","",""
"Sonstige","1986","66 und älter","direkter Migrationshintergrund","","","",""
"Sonstige","1986","66 und älter","indirekter Migrationshintergrund","","","",""
"keine PI","1987","16-34 Jahre alt","kein Migrationshintergrund","1247","0.443214714995052","0.424784978208205","0.4616444517819"
"keine PI","1987","16-34 Jahre alt","direkter Migrationshintergrund","743","0.657948741344524","0.62962958329838","0.686267899390667"
"keine PI","1987","16-34 Jahre alt","indirekter Migrationshintergrund","98","0.639077233789092","0.561174001909332","0.716980465668853"
"keine PI","1987","35-65 Jahre alt","kein Migrationshintergrund","1000","0.272802014635728","0.258292799311722","0.287311229959733"
"keine PI","1987","35-65 Jahre alt","direkter Migrationshintergrund","1128","0.55232941438663","0.528691889648551","0.575966939124709"
"keine PI","1987","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"keine PI","1987","66 und älter","kein Migrationshintergrund","353","0.335803885291004","0.306778456898629","0.36482931368338"
"keine PI","1987","66 und älter","direkter Migrationshintergrund","31","0.494044428910674","0.363098116770437","0.624990741050911"
"keine PI","1987","66 und älter","indirekter Migrationshintergrund","","","",""
"CDU/CSU","1987","16-34 Jahre alt","kein Migrationshintergrund","610","0.221744485689651","0.206332603151168","0.237156368228135"
"CDU/CSU","1987","16-34 Jahre alt","direkter Migrationshintergrund","52","0.0922339546112726","0.074960822584905","0.10950708663764"
"CDU/CSU","1987","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"CDU/CSU","1987","35-65 Jahre alt","kein Migrationshintergrund","1222","0.341790404731126","0.326339431380232","0.35724137808202"
"CDU/CSU","1987","35-65 Jahre alt","direkter Migrationshintergrund","157","0.190687521650672","0.172013283811452","0.209361759489892"
"CDU/CSU","1987","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"CDU/CSU","1987","66 und älter","kein Migrationshintergrund","345","0.337371698436651","0.308312948419154","0.366430448454148"
"CDU/CSU","1987","66 und älter","direkter Migrationshintergrund","","","",""
"CDU/CSU","1987","66 und älter","indirekter Migrationshintergrund","","","",""
"SPD","1987","16-34 Jahre alt","kein Migrationshintergrund","605","0.214773042407404","0.199537579370046","0.230008505444761"
"SPD","1987","16-34 Jahre alt","direkter Migrationshintergrund","213","0.178486341201281","0.155627795395266","0.201344887007296"
"SPD","1987","16-34 Jahre alt","indirekter Migrationshintergrund","32","0.181938591124193","0.119359820121258","0.244517362127127"
"SPD","1987","35-65 Jahre alt","kein Migrationshintergrund","1126","0.312417036648249","0.297318887412435","0.327515185884063"
"SPD","1987","35-65 Jahre alt","direkter Migrationshintergrund","362","0.215576082216185","0.196028217199948","0.235123947232421"
"SPD","1987","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"SPD","1987","66 und älter","kein Migrationshintergrund","264","0.267601003487089","0.240392456259565","0.294809550714614"
"SPD","1987","66 und älter","direkter Migrationshintergrund","","","",""
"SPD","1987","66 und älter","indirekter Migrationshintergrund","","","",""
"FDP","1987","16-34 Jahre alt","kein Migrationshintergrund","61","0.0231982924162004","0.017613598350635","0.0287829864817659"
"FDP","1987","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"FDP","1987","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"FDP","1987","35-65 Jahre alt","kein Migrationshintergrund","154","0.0427489688647475","0.0361592096051099","0.049338728124385"
"FDP","1987","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"FDP","1987","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"FDP","1987","66 und älter","kein Migrationshintergrund","45","0.0470827039655528","0.0340646544929709","0.0601007534381346"
"FDP","1987","66 und älter","direkter Migrationshintergrund","","","",""
"FDP","1987","66 und älter","indirekter Migrationshintergrund","","","",""
"Grüne","1987","16-34 Jahre alt","kein Migrationshintergrund","257","0.0929045133748038","0.0821345783737327","0.103674448375875"
"Grüne","1987","16-34 Jahre alt","direkter Migrationshintergrund","66","0.0679162065234243","0.0528967956138488","0.0829356174329998"
"Grüne","1987","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Grüne","1987","35-65 Jahre alt","kein Migrationshintergrund","101","0.0253703891786755","0.0202479457443666","0.0304928326129843"
"Grüne","1987","35-65 Jahre alt","direkter Migrationshintergrund","36","0.0249391966061056","0.0175264234683851","0.0323519697438262"
"Grüne","1987","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Grüne","1987","66 und älter","kein Migrationshintergrund","","","",""
"Grüne","1987","66 und älter","direkter Migrationshintergrund","","","",""
"Grüne","1987","66 und älter","indirekter Migrationshintergrund","","","",""
"PDS/Linke","1987","16-34 Jahre alt","kein Migrationshintergrund","","","",""
"PDS/Linke","1987","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"PDS/Linke","1987","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"PDS/Linke","1987","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"PDS/Linke","1987","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"PDS/Linke","1987","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"PDS/Linke","1987","66 und älter","kein Migrationshintergrund","","","",""
"PDS/Linke","1987","66 und älter","direkter Migrationshintergrund","","","",""
"PDS/Linke","1987","66 und älter","indirekter Migrationshintergrund","","","",""
"Rechtsextrem","1987","16-34 Jahre alt","kein Migrationshintergrund","","","",""
"Rechtsextrem","1987","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"Rechtsextrem","1987","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Rechtsextrem","1987","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"Rechtsextrem","1987","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"Rechtsextrem","1987","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Rechtsextrem","1987","66 und älter","kein Migrationshintergrund","","","",""
"Rechtsextrem","1987","66 und älter","direkter Migrationshintergrund","","","",""
"Rechtsextrem","1987","66 und älter","indirekter Migrationshintergrund","","","",""
"AfD","1987","16-34 Jahre alt","kein Migrationshintergrund","","","",""
"AfD","1987","16-34 Jahre alt","direkter Migrationshintergrund","","","",""
"AfD","1987","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"AfD","1987","35-65 Jahre alt","kein Migrationshintergrund","","","",""
"AfD","1987","35-65 Jahre alt","direkter Migrationshintergrund","","","",""
"AfD","1987","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"AfD","1987","66 und älter","kein Migrationshintergrund","","","",""
"AfD","1987","66 und älter","direkter Migrationshintergrund","","","",""
"AfD","1987","66 und älter","indirekter Migrationshintergrund","","","",""
"Sonstige","1987","16-34 Jahre alt","kein Migrationshintergrund","","","",""
