year,bula_h,migback,party,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Bavaria,No migration background,CDU/CSU,0.32637,477,1441,0.30216,0.35059
1985,Bavaria,No migration background,Bündnis90/Grüne,0.01982,34,1441,0.01262,0.02701
1985,Bavaria,Direct migration background,Not leaning towards specific party,0.51157,245,375,0.46091,0.56223
1985,Bavaria,Direct migration background,SPD,0.19943,83,375,0.15893,0.23993
1985,Bavaria,Direct migration background,CDU/CSU,0.26334,47,375,0.21870,0.30798
1985,Berlin,No migration background,Not leaning towards specific party,0.35905,94,231,0.29705,0.42105
1985,Berlin,No migration background,SPD,0.29035,76,231,0.23169,0.34901
1985,Berlin,No migration background,CDU/CSU,0.25401,61,231,0.19775,0.31027
1985,Berlin,Direct migration background,Not leaning towards specific party,0.63864,72,72,0.52689,0.75038
1986,Schleswig-Holstein,No migration background,Not leaning towards specific party,0.27415,79,260,0.21982,0.32847
1986,Schleswig-Holstein,No migration background,SPD,0.40302,114,260,0.34328,0.46276
1986,Schleswig-Holstein,No migration background,CDU/CSU,0.24355,67,260,0.19127,0.29582
1986,Hamburg,No migration background,Not leaning towards specific party,0.41954,76,170,0.34514,0.49394
1986,Hamburg,No migration background,SPD,0.29788,55,170,0.22893,0.36683
1986,Hamburg,No migration background,CDU/CSU,0.21438,39,170,0.15251,0.27626
1986,Hamburg,Direct migration background,Not leaning towards specific party,0.75636,52,52,0.63854,0.87417
1986,Lower Saxony,No migration background,Not leaning towards specific party,0.38124,352,887,0.34926,0.41322
1986,Lower Saxony,No migration background,SPD,0.29199,274,887,0.26206,0.32193
1986,Lower Saxony,No migration background,CDU/CSU,0.25802,225,887,0.22921,0.28683
1986,Lower Saxony,No migration background,Bündnis90/Grüne,0.03382,36,887,0.02192,0.04573
1986,Lower Saxony,Direct migration background,Not leaning towards specific party,0.48062,102,145,0.39901,0.56222
1986,Lower Saxony,Direct migration background,SPD,0.25233,43,145,0.18139,0.32328
1986,Bremen,No migration background,Not leaning towards specific party,0.35089,32,32,0.18289,0.51890
1986,North Rhine-Westphalia,No migration background,Not leaning towards specific party,0.33819,702,2013,0.31752,0.35886
1986,North Rhine-Westphalia,No migration background,SPD,0.32516,642,2013,0.30469,0.34562
1986,North Rhine-Westphalia,No migration background,CDU/CSU,0.27553,535,2013,0.25600,0.29505
1986,North Rhine-Westphalia,No migration background,FDP,0.02388,48,2013,0.01720,0.03055
1986,North Rhine-Westphalia,No migration background,Bündnis90/Grüne,0.03623,86,2013,0.02806,0.04440
1986,North Rhine-Westphalia,Direct migration background,Not leaning towards specific party,0.60290,509,752,0.56790,0.63789
1986,North Rhine-Westphalia,Direct migration background,SPD,0.22271,189,752,0.19295,0.25247
1986,North Rhine-Westphalia,Direct migration background,CDU/CSU,0.15523,54,752,0.12933,0.18113
1986,Hesse,No migration background,Not leaning towards specific party,0.46422,302,648,0.42579,0.50265
1986,Hesse,No migration background,SPD,0.24893,161,648,0.21561,0.28225
1986,Hesse,No migration background,CDU/CSU,0.19923,132,648,0.16845,0.23001
1986,Hesse,No migration background,Bündnis90/Grüne,0.07159,53,648,0.05173,0.09146
1986,Hesse,Direct migration background,Not leaning towards specific party,0.62503,276,346,0.57395,0.67612
1986,Hesse,Direct migration background,SPD,0.21202,70,346,0.16889,0.25515
1986,"Rhineland-Palatinate, Saarland",No migration background,Not leaning towards specific party,0.46455,297,600,0.42461,0.50449
1986,"Rhineland-Palatinate, Saarland",No migration background,SPD,0.26321,166,600,0.22795,0.29848
1986,"Rhineland-Palatinate, Saarland",No migration background,CDU/CSU,0.22234,137,600,0.18904,0.25564
1986,"Rhineland-Palatinate, Saarland",Direct migration background,Not leaning towards specific party,0.71426,84,122,0.63377,0.79476
1986,"Rhineland-Palatinate, Saarland",Direct migration background,SPD,0.24260,38,122,0.16622,0.31898
1986,Baden-Wuerttemberg,No migration background,Not leaning towards specific party,0.44849,519,1168,0.41995,0.47702
1986,Baden-Wuerttemberg,No migration background,SPD,0.20832,247,1168,0.18502,0.23162
1986,Baden-Wuerttemberg,No migration background,CDU/CSU,0.28627,340,1168,0.26034,0.31221
1986,Baden-Wuerttemberg,No migration background,FDP,0.02664,31,1168,0.01740,0.03588
1986,Baden-Wuerttemberg,No migration background,Bündnis90/Grüne,0.02603,31,1168,0.01689,0.03516
1986,Baden-Wuerttemberg,Direct migration background,Not leaning towards specific party,0.57134,520,744,0.53575,0.60692
1986,Baden-Wuerttemberg,Direct migration background,SPD,0.21905,174,744,0.18931,0.24879
1986,Baden-Wuerttemberg,Direct migration background,CDU/CSU,0.16318,50,744,0.13661,0.18975
1986,Bavaria,No migration background,Not leaning towards specific party,0.42926,589,1334,0.40269,0.45583
1986,Bavaria,No migration background,SPD,0.19877,262,1334,0.17734,0.22019
1986,Bavaria,No migration background,CDU/CSU,0.32406,437,1334,0.29893,0.34918
1986,Bavaria,No migration background,Bündnis90/Grüne,0.02895,46,1334,0.01995,0.03796
1986,Bavaria,Direct migration background,Not leaning towards specific party,0.61631,261,361,0.56608,0.66655
1986,Bavaria,Direct migration background,SPD,0.17663,63,361,0.13723,0.21602
1986,Bavaria,Direct migration background,CDU/CSU,0.17425,37,361,0.13506,0.21343
1986,Berlin,No migration background,Not leaning towards specific party,0.39526,95,219,0.33036,0.46016
1986,Berlin,No migration background,SPD,0.30116,72,219,0.24026,0.36205
1986,Berlin,No migration background,CDU/CSU,0.21011,52,219,0.15603,0.26419
1986,Berlin,Direct migration background,Not leaning towards specific party,0.66820,76,76,0.56163,0.77476
1987,Schleswig-Holstein,No migration background,Not leaning towards specific party,0.26068,72,255,0.20669,0.31467
1987,Schleswig-Holstein,No migration background,SPD,0.37969,106,255,0.32001,0.43938
1987,Schleswig-Holstein,No migration background,CDU/CSU,0.27709,77,255,0.22205,0.33214
1987,Hamburg,No migration background,Not leaning towards specific party,0.29399,44,143,0.21906,0.36892
1987,Hamburg,No migration background,SPD,0.31479,52,143,0.23840,0.39118
1987,Hamburg,No migration background,CDU/CSU,0.28626,47,143,0.21191,0.36061
1987,Hamburg,Direct migration background,Not leaning towards specific party,0.66595,41,41,0.51979,0.81212
1987,Lower Saxony,No migration background,Not leaning towards specific party,0.30959,295,877,0.27897,0.34020
1987,Lower Saxony,No migration background,SPD,0.31669,294,877,0.28588,0.34749
1987,Lower Saxony,No migration background,CDU/CSU,0.28845,245,877,0.25845,0.31845
1987,Lower Saxony,No migration background,Bündnis90/Grüne,0.04366,43,877,0.03013,0.05720
1987,Lower Saxony,Direct migration background,Not leaning towards specific party,0.55544,114,114,0.46382,0.64706
1987,Bremen,No migration background,SPD,0.47454,36,36,0.30911,0.63998
1987,North Rhine-Westphalia,No migration background,Not leaning towards specific party,0.29774,624,1988,0.27763,0.31785
1987,North Rhine-Westphalia,No migration background,SPD,0.33297,644,1988,0.31224,0.35369
1987,North Rhine-Westphalia,No migration background,CDU/CSU,0.29028,557,1988,0.27032,0.31024
1987,North Rhine-Westphalia,No migration background,FDP,0.03142,61,1988,0.02375,0.03909
1987,North Rhine-Westphalia,No migration background,Bündnis90/Grüne,0.04523,102,1988,0.03609,0.05437
1987,North Rhine-Westphalia,Direct migration background,Not leaning towards specific party,0.55968,486,729,0.52362,0.59575
1987,North Rhine-Westphalia,Direct migration background,SPD,0.21634,188,729,0.18643,0.24625
1987,North Rhine-Westphalia,Direct migration background,CDU/CSU,0.18669,55,729,0.15838,0.21499
1987,North Rhine-Westphalia,Indirect migration background,Not leaning towards specific party,0.80019,34,34,0.66376,0.93661
1987,Hesse,No migration background,Not leaning towards specific party,0.36166,237,618,0.32375,0.39957
1987,Hesse,No migration background,SPD,0.26125,164,618,0.22659,0.29591
1987,Hesse,No migration background,CDU/CSU,0.25574,164,618,0.22132,0.29017
1987,Hesse,No migration background,Bündnis90/Grüne,0.07183,53,618,0.05146,0.09220
1987,Hesse,Direct migration background,Not leaning towards specific party,0.61501,290,360,0.56468,0.66535
1987,Hesse,Direct migration background,SPD,0.21766,70,360,0.17497,0.26035
1987,"Rhineland-Palatinate, Saarland",No migration background,Not leaning towards specific party,0.39090,246,580,0.35115,0.43064
1987,"Rhineland-Palatinate, Saarland",No migration background,SPD,0.25033,160,580,0.21505,0.28562
1987,"Rhineland-Palatinate, Saarland",No migration background,CDU/CSU,0.28321,174,580,0.24651,0.31991
1987,"Rhineland-Palatinate, Saarland",Direct migration background,Not leaning towards specific party,0.78101,94,94,0.69696,0.86507
1987,Baden-Wuerttemberg,No migration background,Not leaning towards specific party,0.42471,490,1147,0.39609,0.45333
1987,Baden-Wuerttemberg,No migration background,SPD,0.19596,225,1147,0.17298,0.21894
1987,Baden-Wuerttemberg,No migration background,CDU/CSU,0.29621,336,1147,0.26978,0.32265
1987,Baden-Wuerttemberg,No migration background,FDP,0.04630,52,1147,0.03414,0.05847
1987,Baden-Wuerttemberg,No migration background,Bündnis90/Grüne,0.03465,44,1147,0.02406,0.04524
1987,Baden-Wuerttemberg,Direct migration background,Not leaning towards specific party,0.60739,513,730,0.57194,0.64284
1987,Baden-Wuerttemberg,Direct migration background,SPD,0.20980,161,730,0.18024,0.23936
1987,Baden-Wuerttemberg,Direct migration background,CDU/CSU,0.14932,56,730,0.12345,0.17520
1987,Bavaria,No migration background,Not leaning towards specific party,0.35199,472,1307,0.32609,0.37789
1987,Bavaria,No migration background,SPD,0.18246,233,1307,0.16151,0.20341
1987,Bavaria,No migration background,CDU/CSU,0.38472,500,1307,0.35834,0.41111
1987,Bavaria,No migration background,FDP,0.03701,46,1307,0.02677,0.04725
1987,Bavaria,No migration background,Bündnis90/Grüne,0.03475,56,1307,0.02481,0.04468
1987,Bavaria,Direct migration background,Not leaning towards specific party,0.55323,244,336,0.49999,0.60647
1987,Bavaria,Direct migration background,SPD,0.15064,46,336,0.11233,0.18894
1987,Bavaria,Direct migration background,CDU/CSU,0.23340,46,336,0.18810,0.27869
1987,Berlin,No migration background,Not leaning towards specific party,0.36870,86,216,0.30421,0.43319
1987,Berlin,No migration background,SPD,0.30265,78,216,0.24124,0.36406
1987,Berlin,No migration background,CDU/CSU,0.21800,52,216,0.16281,0.27319
1987,Berlin,Direct migration background,Not leaning towards specific party,0.54650,70,70,0.42903,0.66397
1988,Schleswig-Holstein,No migration background,Not leaning towards specific party,0.30580,86,254,0.24903,0.36258
1988,Schleswig-Holstein,No migration background,SPD,0.40334,108,254,0.34289,0.46379
1988,Schleswig-Holstein,No migration background,CDU/CSU,0.23547,60,254,0.18319,0.28775
1988,Hamburg,No migration background,Not leaning towards specific party,0.33523,49,135,0.25530,0.41516
1988,Hamburg,No migration background,SPD,0.33121,51,135,0.25152,0.41090
1988,Hamburg,No migration background,CDU/CSU,0.24380,35,135,0.17110,0.31650
1988,Lower Saxony,No migration background,Not leaning towards specific party,0.35281,314,797,0.31962,0.38601
1988,Lower Saxony,No migration background,SPD,0.32054,277,797,0.28812,0.35296
1988,Lower Saxony,No migration background,CDU/CSU,0.25500,206,797,0.22472,0.28528
1988,Lower Saxony,Direct migration background,Not leaning towards specific party,0.68176,118,152,0.60746,0.75605
1988,Lower Saxony,Direct migration background,SPD,0.18408,34,152,0.12226,0.24589
1988,Bremen,No migration background,SPD,0.57442,45,45,0.42833,0.72052
1988,North Rhine-Westphalia,No migration background,Not leaning towards specific party,0.33916,670,1916,0.31795,0.36036
1988,North Rhine-Westphalia,No migration background,SPD,0.32632,610,1916,0.30532,0.34732
1988,North Rhine-Westphalia,No migration background,CDU/CSU,0.26342,500,1916,0.24369,0.28315
1988,North Rhine-Westphalia,No migration background,FDP,0.02924,55,1916,0.02169,0.03678
1988,North Rhine-Westphalia,No migration background,Bündnis90/Grüne,0.04042,81,1916,0.03160,0.04924
1988,North Rhine-Westphalia,Direct migration background,Not leaning towards specific party,0.55729,466,668,0.51959,0.59498
1988,North Rhine-Westphalia,Direct migration background,SPD,0.22835,155,668,0.19649,0.26021
1988,North Rhine-Westphalia,Direct migration background,CDU/CSU,0.18844,47,668,0.15876,0.21812
1988,North Rhine-Westphalia,Indirect migration background,Not leaning towards specific party,0.51577,39,39,0.35687,0.67467
1988,Hesse,No migration background,Not leaning towards specific party,0.43622,256,582,0.39590,0.47655
1988,Hesse,No migration background,SPD,0.27728,169,582,0.24088,0.31369
1988,Hesse,No migration background,CDU/CSU,0.19668,119,582,0.16436,0.22900
1988,Hesse,No migration background,Bündnis90/Grüne,0.05648,38,582,0.03771,0.07525
1988,Hesse,Direct migration background,Not leaning towards specific party,0.53119,277,349,0.47876,0.58362
1988,Hesse,Direct migration background,SPD,0.28253,72,349,0.23522,0.32983
1988,"Rhineland-Palatinate, Saarland",No migration background,Not leaning towards specific party,0.41854,252,558,0.37757,0.45951
1988,"Rhineland-Palatinate, Saarland",No migration background,SPD,0.29345,181,558,0.25563,0.33127
1988,"Rhineland-Palatinate, Saarland",No migration background,CDU/CSU,0.22533,125,558,0.19063,0.26002
1988,"Rhineland-Palatinate, Saarland",Direct migration background,Not leaning towards specific party,0.73874,93,125,0.66141,0.81606
1988,"Rhineland-Palatinate, Saarland",Direct migration background,SPD,0.23678,32,125,0.16196,0.31160
1988,Baden-Wuerttemberg,No migration background,Not leaning towards specific party,0.44937,488,1062,0.41944,0.47930
1988,Baden-Wuerttemberg,No migration background,SPD,0.20253,229,1062,0.17835,0.22671
1988,Baden-Wuerttemberg,No migration background,CDU/CSU,0.28180,310,1062,0.25473,0.30887
1988,Baden-Wuerttemberg,No migration background,FDP,0.03137,35,1062,0.02088,0.04186
1988,Baden-Wuerttemberg,Direct migration background,Not leaning towards specific party,0.56679,491,697,0.52998,0.60361
1988,Baden-Wuerttemberg,Direct migration background,SPD,0.21910,153,697,0.18837,0.24983
1988,Baden-Wuerttemberg,Direct migration background,CDU/CSU,0.16374,53,697,0.13624,0.19123
1988,Baden-Wuerttemberg,Indirect migration background,Not leaning towards specific party,0.59846,37,37,0.43832,0.75859
1988,Bavaria,No migration background,Not leaning towards specific party,0.40492,521,1220,0.37736,0.43248
1988,Bavaria,No migration background,SPD,0.21184,244,1220,0.18890,0.23477
1988,Bavaria,No migration background,CDU/CSU,0.31652,388,1220,0.29041,0.34263
1988,Bavaria,No migration background,FDP,0.03100,36,1220,0.02127,0.04073
1988,Bavaria,No migration background,Bündnis90/Grüne,0.02285,31,1220,0.01446,0.03124
1988,Bavaria,Direct migration background,Not leaning towards specific party,0.56137,251,347,0.50908,0.61366
1988,Bavaria,Direct migration background,SPD,0.19045,54,347,0.14908,0.23183
1988,Bavaria,Direct migration background,CDU/CSU,0.21095,42,347,0.16796,0.25394
1988,Berlin,No migration background,Not leaning towards specific party,0.43893,93,208,0.37133,0.50654
1988,Berlin,No migration background,SPD,0.28492,73,208,0.22343,0.34641
1988,Berlin,No migration background,CDU/CSU,0.19129,42,208,0.13771,0.24487
1988,Berlin,Direct migration background,Not leaning towards specific party,0.60176,64,64,0.48088,0.72265
1989,Schleswig-Holstein,No migration background,Not leaning towards specific party,0.34188,94,237,0.28136,0.40240
1989,Schleswig-Holstein,No migration background,SPD,0.38798,99,237,0.32581,0.45015
1989,Schleswig-Holstein,No migration background,CDU/CSU,0.18948,44,237,0.13948,0.23948
1989,Hamburg,No migration background,Not leaning towards specific party,0.40741,57,101,0.31111,0.50372
1989,Hamburg,No migration background,SPD,0.30060,44,101,0.21073,0.39047
1989,Hamburg,Direct migration background,Not leaning towards specific party,0.61588,35,35,0.45239,0.77937
1989,Lower Saxony,No migration background,Not leaning towards specific party,0.39344,339,757,0.35861,0.42826
1989,Lower Saxony,No migration background,SPD,0.30333,249,757,0.27056,0.33610
1989,Lower Saxony,No migration background,CDU/CSU,0.23292,169,757,0.20279,0.26306
1989,Lower Saxony,Direct migration background,Not leaning towards specific party,0.68387,110,151,0.60946,0.75828
1989,Lower Saxony,Direct migration background,SPD,0.22889,41,151,0.16166,0.29613
1989,Bremen,No migration background,SPD,0.50526,41,41,0.35032,0.66021
1989,North Rhine-Westphalia,No migration background,Not leaning towards specific party,0.34561,676,1851,0.32393,0.36728
1989,North Rhine-Westphalia,No migration background,SPD,0.33689,602,1851,0.31535,0.35842
1989,North Rhine-Westphalia,No migration background,CDU/CSU,0.24342,426,1851,0.22387,0.26298
1989,North Rhine-Westphalia,No migration background,FDP,0.01825,37,1851,0.01215,0.02435
1989,North Rhine-Westphalia,No migration background,Bündnis90/Grüne,0.03893,76,1851,0.03011,0.04774
1989,North Rhine-Westphalia,No migration background,Others,0.01691,34,1851,0.01104,0.02279
1989,North Rhine-Westphalia,Direct migration background,Not leaning towards specific party,0.54699,403,643,0.50848,0.58549
1989,North Rhine-Westphalia,Direct migration background,SPD,0.26891,195,643,0.23461,0.30321
1989,North Rhine-Westphalia,Direct migration background,CDU/CSU,0.15214,45,643,0.12436,0.17993
1989,North Rhine-Westphalia,Indirect migration background,Not leaning towards specific party,0.58532,41,41,0.43265,0.73800
1989,Hesse,No migration background,Not leaning towards specific party,0.44084,271,584,0.40053,0.48114
1989,Hesse,No migration background,SPD,0.27427,163,584,0.23805,0.31049
1989,Hesse,No migration background,CDU/CSU,0.17654,104,584,0.14559,0.20749
1989,Hesse,No migration background,Bündnis90/Grüne,0.07227,46,584,0.05125,0.09329
1989,Hesse,Direct migration background,Not leaning towards specific party,0.50592,235,326,0.45157,0.56028
1989,Hesse,Direct migration background,SPD,0.32118,91,326,0.27041,0.37194
1989,"Rhineland-Palatinate, Saarland",No migration background,Not leaning towards specific party,0.43542,249,523,0.39288,0.47795
1989,"Rhineland-Palatinate, Saarland",No migration background,SPD,0.28298,161,523,0.24434,0.32162
1989,"Rhineland-Palatinate, Saarland",No migration background,CDU/CSU,0.21090,113,523,0.17591,0.24590
1989,"Rhineland-Palatinate, Saarland",Direct migration background,Not leaning towards specific party,0.61132,73,107,0.51853,0.70412
1989,"Rhineland-Palatinate, Saarland",Direct migration background,SPD,0.24562,34,107,0.16368,0.32757
1989,Baden-Wuerttemberg,No migration background,Not leaning towards specific party,0.47983,497,988,0.44867,0.51100
1989,Baden-Wuerttemberg,No migration background,SPD,0.19548,206,988,0.17074,0.22022
1989,Baden-Wuerttemberg,No migration background,CDU/CSU,0.24893,254,988,0.22195,0.27590
1989,Baden-Wuerttemberg,No migration background,Others,0.03567,31,988,0.02410,0.04723
1989,Baden-Wuerttemberg,Direct migration background,Not leaning towards specific party,0.58349,456,670,0.54613,0.62085
1989,Baden-Wuerttemberg,Direct migration background,SPD,0.20921,173,670,0.17838,0.24003
1989,Baden-Wuerttemberg,Direct migration background,CDU/CSU,0.15258,41,670,0.12533,0.17983
1989,Baden-Wuerttemberg,Indirect migration background,Not leaning towards specific party,0.63151,44,44,0.48732,0.77570
1989,Bavaria,No migration background,Not leaning towards specific party,0.45610,555,1171,0.42756,0.48464
1989,Bavaria,No migration background,SPD,0.17980,202,1171,0.15780,0.20181
1989,Bavaria,No migration background,CDU/CSU,0.27947,335,1171,0.25376,0.30518
