year,migback,regtyp,party,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1988,Direct migration background,Rural regions,SPD,0.20488,57,330,0.16126,0.24849
1988,Direct migration background,Rural regions,CDU/CSU,0.15565,32,330,0.11648,0.19483
1988,Indirect migration background,Urban regions,Not leaning towards specific party,0.09517,119,167,0.05053,0.13981
1988,Indirect migration background,Urban regions,SPD,0.04074,48,167,0.01066,0.07081
1989,No migration background,Urban regions,Not leaning towards specific party,0.33695,2098,5160,0.32405,0.34984
1989,No migration background,Urban regions,SPD,0.25011,1485,5160,0.23829,0.26193
1989,No migration background,Urban regions,CDU/CSU,0.19064,1119,5160,0.17992,0.20136
1989,No migration background,Urban regions,FDP,0.01589,98,5160,0.01248,0.01931
1989,No migration background,Urban regions,Bündnis90/Grüne,0.03584,228,5160,0.03077,0.04092
1989,No migration background,Urban regions,Others,0.02307,132,5160,0.01897,0.02717
1989,No migration background,Rural regions,Not leaning towards specific party,0.35886,731,1539,0.33489,0.38283
1989,No migration background,Rural regions,SPD,0.18847,361,1539,0.16892,0.20802
1989,No migration background,Rural regions,CDU/CSU,0.22241,413,1539,0.20163,0.24320
1989,No migration background,Rural regions,Others,0.01894,34,1539,0.01213,0.02576
1989,Direct migration background,Urban regions,Not leaning towards specific party,0.53375,1434,2234,0.51305,0.55444
1989,Direct migration background,Urban regions,SPD,0.22675,579,2234,0.20939,0.24412
1989,Direct migration background,Urban regions,CDU/CSU,0.13481,141,2234,0.12064,0.14897
1989,Direct migration background,Urban regions,Bündnis90/Grüne,0.04078,80,2234,0.03258,0.04898
1989,Direct migration background,Rural regions,Not leaning towards specific party,0.47430,198,304,0.41808,0.53053
1989,Direct migration background,Rural regions,SPD,0.23343,75,304,0.18580,0.28106
1989,Direct migration background,Rural regions,CDU/CSU,0.15073,31,304,0.11045,0.19102
1989,Indirect migration background,Urban regions,Not leaning towards specific party,0.10987,131,197,0.06609,0.15366
1989,Indirect migration background,Urban regions,SPD,0.05331,66,197,0.02186,0.08476
1990,No migration background,Urban regions,Not leaning towards specific party,0.27315,1871,4993,0.26079,0.28551
1990,No migration background,Urban regions,SPD,0.23703,1559,4993,0.22523,0.24883
1990,No migration background,Urban regions,CDU/CSU,0.18179,1188,4993,0.17109,0.19249
1990,No migration background,Urban regions,FDP,0.02190,145,4993,0.01784,0.02596
1990,No migration background,Urban regions,Bündnis90/Grüne,0.02428,174,4993,0.02001,0.02855
1990,No migration background,Urban regions,Far right parties,0.00747,56,4993,0.00508,0.00986
1990,No migration background,Rural regions,Not leaning towards specific party,0.19754,695,1576,0.17787,0.21720
1990,No migration background,Rural regions,SPD,0.11666,371,1576,0.10080,0.13251
1990,No migration background,Rural regions,CDU/CSU,0.13254,435,1576,0.11579,0.14928
1990,No migration background,Rural regions,FDP,0.01089,33,1576,0.00577,0.01602
1990,No migration background,Rural regions,Bündnis90/Grüne,0.01133,42,1576,0.00611,0.01656
1990,Direct migration background,Urban regions,Not leaning towards specific party,0.49456,1380,2177,0.47355,0.51557
1990,Direct migration background,Urban regions,SPD,0.24227,586,2177,0.22427,0.26027
1990,Direct migration background,Urban regions,CDU/CSU,0.14328,153,2177,0.12856,0.15800
1990,Direct migration background,Urban regions,Bündnis90/Grüne,0.03513,58,2177,0.02740,0.04287
1990,Direct migration background,Rural regions,Not leaning towards specific party,0.46012,214,283,0.40195,0.51830
1990,Direct migration background,Rural regions,SPD,0.14099,69,283,0.10037,0.18161
1990,Indirect migration background,Urban regions,Not leaning towards specific party,0.12906,168,233,0.08591,0.17220
1990,Indirect migration background,Urban regions,SPD,0.04091,65,233,0.01542,0.06639
1991,No migration background,Urban regions,Not leaning towards specific party,0.28539,1933,4898,0.27275,0.29804
1991,No migration background,Urban regions,SPD,0.21428,1420,4898,0.20278,0.22577
1991,No migration background,Urban regions,CDU/CSU,0.18100,1174,4898,0.17021,0.19178
1991,No migration background,Urban regions,FDP,0.02687,159,4898,0.02234,0.03140
1991,No migration background,Urban regions,Bündnis90/Grüne,0.02608,181,4898,0.02162,0.03055
1991,No migration background,Urban regions,Far right parties,0.00412,31,4898,0.00233,0.00592
1991,No migration background,Rural regions,Not leaning towards specific party,0.19644,705,1603,0.17699,0.21590
1991,No migration background,Rural regions,SPD,0.10766,363,1603,0.09248,0.12284
1991,No migration background,Rural regions,CDU/CSU,0.14263,468,1603,0.12550,0.15975
1991,No migration background,Rural regions,FDP,0.01111,36,1603,0.00598,0.01625
1991,No migration background,Rural regions,Bündnis90/Grüne,0.00826,31,1603,0.00383,0.01269
1991,Direct migration background,Urban regions,Not leaning towards specific party,0.21092,181,351,0.16818,0.25366
1991,Direct migration background,Urban regions,SPD,0.09424,72,351,0.06363,0.12485
1991,Direct migration background,Urban regions,CDU/CSU,0.12239,98,351,0.08806,0.15673
1991,Direct migration background,Rural regions,Not leaning towards specific party,0.21278,42,42,0.08750,0.33806
1992,No migration background,Urban regions,Not leaning towards specific party,0.39233,3049,6140,0.38012,0.40454
1992,No migration background,Urban regions,SPD,0.20328,1424,6140,0.19322,0.21335
1992,No migration background,Urban regions,CDU/CSU,0.17659,1188,6140,0.16705,0.18613
1992,No migration background,Urban regions,FDP,0.02159,135,6140,0.01795,0.02522
1992,No migration background,Urban regions,Bündnis90/Grüne,0.02926,237,6140,0.02505,0.03348
1992,No migration background,Urban regions,PDS/Linke,0.00360,42,6140,0.00210,0.00510
1992,No migration background,Urban regions,Others,0.00792,65,6140,0.00571,0.01014
1992,No migration background,Rural regions,Not leaning towards specific party,0.45932,2479,4037,0.44395,0.47470
1992,No migration background,Rural regions,SPD,0.13696,587,4037,0.12636,0.14757
1992,No migration background,Rural regions,CDU/CSU,0.16358,692,4037,0.15217,0.17499
1992,No migration background,Rural regions,FDP,0.01716,85,4037,0.01315,0.02116
1992,No migration background,Rural regions,Bündnis90/Grüne,0.01464,89,4037,0.01094,0.01835
1992,No migration background,Rural regions,PDS/Linke,0.01210,71,4037,0.00872,0.01547
1992,No migration background,Rural regions,Others,0.01048,34,4037,0.00734,0.01362
1992,Direct migration background,Urban regions,Not leaning towards specific party,0.62860,1535,2105,0.60796,0.64925
1992,Direct migration background,Urban regions,SPD,0.18572,387,2105,0.16910,0.20233
1992,Direct migration background,Urban regions,CDU/CSU,0.12149,143,2105,0.10753,0.13545
1992,Direct migration background,Urban regions,Bündnis90/Grüne,0.02111,40,2105,0.01497,0.02725
1992,Direct migration background,Rural regions,Not leaning towards specific party,0.66303,295,389,0.61599,0.71006
1992,Direct migration background,Rural regions,SPD,0.13946,57,389,0.10499,0.17393
1992,Direct migration background,Rural regions,CDU/CSU,0.13556,37,389,0.10149,0.16962
1992,Indirect migration background,Urban regions,Not leaning towards specific party,0.17474,252,312,0.13253,0.21694
1992,Indirect migration background,Urban regions,SPD,0.04185,60,312,0.01960,0.06411
1992,Indirect migration background,Rural regions,Not leaning towards specific party,0.19573,48,48,0.08230,0.30917
1993,No migration background,Urban regions,Not leaning towards specific party,0.43513,3370,6095,0.42268,0.44757
1993,No migration background,Urban regions,SPD,0.17621,1218,6095,0.16664,0.18578
1993,No migration background,Urban regions,CDU/CSU,0.14624,969,6095,0.13737,0.15512
1993,No migration background,Urban regions,FDP,0.01918,122,6095,0.01574,0.02263
1993,No migration background,Urban regions,Bündnis90/Grüne,0.03536,276,6095,0.03073,0.04000
1993,No migration background,Urban regions,PDS/Linke,0.00449,51,6095,0.00281,0.00617
1993,No migration background,Urban regions,Far right parties,0.01201,89,6095,0.00928,0.01475
1993,No migration background,Rural regions,Not leaning towards specific party,0.49227,2616,3976,0.47673,0.50781
1993,No migration background,Rural regions,SPD,0.11937,510,3976,0.10929,0.12945
1993,No migration background,Rural regions,CDU/CSU,0.14078,572,3976,0.12997,0.15159
1993,No migration background,Rural regions,FDP,0.01723,67,3976,0.01319,0.02128
1993,No migration background,Rural regions,Bündnis90/Grüne,0.01676,86,3976,0.01277,0.02075
1993,No migration background,Rural regions,PDS/Linke,0.01413,81,3976,0.01046,0.01779
1993,No migration background,Rural regions,Far right parties,0.01151,44,3976,0.00820,0.01483
1993,Direct migration background,Urban regions,Not leaning towards specific party,0.66519,1517,2036,0.64469,0.68570
1993,Direct migration background,Urban regions,SPD,0.16321,357,2036,0.14715,0.17926
1993,Direct migration background,Urban regions,CDU/CSU,0.10087,113,2036,0.08779,0.11396
1993,Direct migration background,Urban regions,Bündnis90/Grüne,0.03359,49,2036,0.02576,0.04141
1993,Direct migration background,Rural regions,Not leaning towards specific party,0.63294,294,389,0.58498,0.68090
1993,Direct migration background,Rural regions,SPD,0.13257,61,389,0.09882,0.16631
1993,Direct migration background,Rural regions,CDU/CSU,0.14443,34,389,0.10946,0.17941
1993,Indirect migration background,Urban regions,Not leaning towards specific party,0.23838,307,366,0.19467,0.28209
1993,Indirect migration background,Urban regions,SPD,0.04160,59,366,0.02112,0.06209
1993,Indirect migration background,Rural regions,Not leaning towards specific party,0.26649,61,61,0.15462,0.37837
1994,No migration background,Urban regions,Not leaning towards specific party,0.40424,3187,6020,0.39184,0.41664
1994,No migration background,Urban regions,SPD,0.19948,1341,6020,0.18938,0.20957
1994,No migration background,Urban regions,CDU/CSU,0.15544,992,6020,0.14629,0.16459
1994,No migration background,Urban regions,FDP,0.01545,91,6020,0.01233,0.01856
1994,No migration background,Urban regions,Bündnis90/Grüne,0.03677,265,6020,0.03202,0.04152
1994,No migration background,Urban regions,PDS/Linke,0.00788,81,6020,0.00565,0.01012
1994,No migration background,Urban regions,Far right parties,0.00787,63,6020,0.00564,0.01010
1994,No migration background,Rural regions,Not leaning towards specific party,0.47757,2514,3874,0.46184,0.49330
1994,No migration background,Rural regions,SPD,0.13767,547,3874,0.12682,0.14853
1994,No migration background,Rural regions,CDU/CSU,0.14156,570,3874,0.13059,0.15254
1994,No migration background,Rural regions,FDP,0.01068,43,3874,0.00745,0.01392
1994,No migration background,Rural regions,Bündnis90/Grüne,0.01592,84,3874,0.01198,0.01986
1994,No migration background,Rural regions,PDS/Linke,0.01837,116,3874,0.01414,0.02259
1994,Direct migration background,Urban regions,Not leaning towards specific party,0.63455,1386,1939,0.61311,0.65599
1994,Direct migration background,Urban regions,SPD,0.18564,375,1939,0.16833,0.20295
1994,Direct migration background,Urban regions,CDU/CSU,0.11723,131,1939,0.10291,0.13155
1994,Direct migration background,Urban regions,Bündnis90/Grüne,0.02899,47,1939,0.02152,0.03645
1994,Direct migration background,Rural regions,Not leaning towards specific party,0.64871,275,369,0.59994,0.69748
1994,Direct migration background,Rural regions,SPD,0.13608,55,369,0.10105,0.17112
1994,Direct migration background,Rural regions,CDU/CSU,0.16119,39,369,0.12362,0.19875
1994,Indirect migration background,Urban regions,Not leaning towards specific party,0.23425,309,386,0.19194,0.27655
1994,Indirect migration background,Urban regions,SPD,0.05686,77,386,0.03373,0.07999
1994,Indirect migration background,Rural regions,Not leaning towards specific party,0.26420,55,55,0.14660,0.38180
1995,No migration background,Urban regions,Not leaning towards specific party,0.37118,2844,5953,0.35891,0.38346
1995,No migration background,Urban regions,SPD,0.20530,1381,5953,0.19504,0.21556
1995,No migration background,Urban regions,CDU/CSU,0.17696,1150,5953,0.16726,0.18665
1995,No migration background,Urban regions,FDP,0.01492,85,5953,0.01184,0.01800
1995,No migration background,Urban regions,Bündnis90/Grüne,0.04938,360,5953,0.04388,0.05489
1995,No migration background,Urban regions,PDS/Linke,0.00920,102,5953,0.00677,0.01162
1995,No migration background,Urban regions,Far right parties,0.00403,31,5953,0.00242,0.00564
1995,No migration background,Rural regions,Not leaning towards specific party,0.42604,2311,3961,0.41064,0.44144
1995,No migration background,Rural regions,SPD,0.15086,603,3961,0.13972,0.16201
1995,No migration background,Rural regions,CDU/CSU,0.17192,752,3961,0.16016,0.18367
1995,No migration background,Rural regions,FDP,0.00998,44,3961,0.00688,0.01307
1995,No migration background,Rural regions,Bündnis90/Grüne,0.02079,102,3961,0.01635,0.02523
1995,No migration background,Rural regions,PDS/Linke,0.02460,149,3961,0.01977,0.02942
1995,Direct migration background,Urban regions,Not leaning towards specific party,0.57821,1569,2271,0.55789,0.59853
1995,Direct migration background,Urban regions,SPD,0.15744,388,2271,0.14245,0.17242
1995,Direct migration background,Urban regions,CDU/CSU,0.15426,247,2271,0.13940,0.16912
1995,Direct migration background,Urban regions,Bündnis90/Grüne,0.03652,67,2271,0.02881,0.04424
1995,Direct migration background,Rural regions,Not leaning towards specific party,0.54569,319,450,0.49963,0.59174
1995,Direct migration background,Rural regions,SPD,0.11515,57,450,0.08563,0.14468
1995,Direct migration background,Rural regions,CDU/CSU,0.19466,74,450,0.15804,0.23129
1995,Indirect migration background,Urban regions,Not leaning towards specific party,0.23047,322,380,0.18807,0.27287
1995,Indirect migration background,Urban regions,SPD,0.04146,58,380,0.02139,0.06153
1995,Indirect migration background,Rural regions,Not leaning towards specific party,0.19891,61,61,0.09790,0.29991
1996,No migration background,Urban regions,Not leaning towards specific party,0.39476,2995,5913,0.38230,0.40722
1996,No migration background,Urban regions,SPD,0.18076,1188,5913,0.17095,0.19057
1996,No migration background,Urban regions,CDU/CSU,0.17914,1134,5913,0.16936,0.18891
1996,No migration background,Urban regions,FDP,0.01359,76,5913,0.01064,0.01655
1996,No migration background,Urban regions,Bündnis90/Grüne,0.04974,367,5913,0.04420,0.05528
1996,No migration background,Urban regions,PDS/Linke,0.00969,107,5913,0.00719,0.01219
1996,No migration background,Urban regions,Far right parties,0.00631,46,5913,0.00429,0.00833
1996,No migration background,Rural regions,Not leaning towards specific party,0.45089,2379,3876,0.43522,0.46656
1996,No migration background,Rural regions,SPD,0.12229,496,3876,0.11197,0.13261
1996,No migration background,Rural regions,CDU/CSU,0.17923,737,3876,0.16715,0.19131
1996,No migration background,Rural regions,Bündnis90/Grüne,0.02124,110,3876,0.01670,0.02578
1996,No migration background,Rural regions,PDS/Linke,0.02442,154,3876,0.01956,0.02928
1996,Direct migration background,Urban regions,Not leaning towards specific party,0.59190,1504,2111,0.57093,0.61287
1996,Direct migration background,Urban regions,SPD,0.13930,322,2111,0.12453,0.15408
1996,Direct migration background,Urban regions,CDU/CSU,0.15513,232,2111,0.13968,0.17057
1996,Direct migration background,Urban regions,Bündnis90/Grüne,0.03783,53,2111,0.02969,0.04597
1996,Direct migration background,Rural regions,Not leaning towards specific party,0.57236,301,433,0.52571,0.61902
1996,Direct migration background,Rural regions,SPD,0.10567,59,433,0.07668,0.13466
1996,Direct migration background,Rural regions,CDU/CSU,0.16558,73,433,0.13053,0.20063
1996,Indirect migration background,Urban regions,Not leaning towards specific party,0.23673,347,409,0.19548,0.27798
1996,Indirect migration background,Urban regions,SPD,0.04154,62,409,0.02218,0.06090
1996,Indirect migration background,Rural regions,Not leaning towards specific party,0.20566,67,67,0.10815,0.30317
1997,No migration background,Urban regions,Not leaning towards specific party,0.40697,3081,5825,0.39436,0.41959
1997,No migration background,Urban regions,SPD,0.18811,1181,5825,0.17808,0.19815
1997,No migration background,Urban regions,CDU/CSU,0.16652,1029,5825,0.15695,0.17609
1997,No migration background,Urban regions,FDP,0.01069,66,5825,0.00805,0.01333
1997,No migration background,Urban regions,Bündnis90/Grüne,0.04667,323,5825,0.04125,0.05209
1997,No migration background,Urban regions,PDS/Linke,0.00812,89,5825,0.00582,0.01043
1997,No migration background,Urban regions,Far right parties,0.00724,56,5825,0.00506,0.00941
1997,No migration background,Rural regions,Not leaning towards specific party,0.45833,2485,3902,0.44270,0.47397
1997,No migration background,Rural regions,SPD,0.13682,521,3902,0.12604,0.14761
1997,No migration background,Rural regions,CDU/CSU,0.15842,609,3902,0.14696,0.16988
1997,No migration background,Rural regions,FDP,0.01035,32,3902,0.00718,0.01353
1997,No migration background,Rural regions,Bündnis90/Grüne,0.02101,85,3902,0.01651,0.02551
1997,No migration background,Rural regions,PDS/Linke,0.02165,136,3902,0.01709,0.02622
1997,No migration background,Rural regions,Far right parties,0.00641,34,3902,0.00391,0.00892
1997,Direct migration background,Urban regions,Not leaning towards specific party,0.62006,1448,2014,0.59885,0.64126
1997,Direct migration background,Urban regions,SPD,0.14876,317,2014,0.13322,0.16431
1997,Direct migration background,Urban regions,CDU/CSU,0.13634,212,2014,0.12135,0.15133
1997,Direct migration background,Urban regions,Bündnis90/Grüne,0.02091,37,2014,0.01466,0.02716
1997,Direct migration background,Rural regions,Not leaning towards specific party,0.61453,297,412,0.56748,0.66159
1997,Direct migration background,Rural regions,SPD,0.11679,51,412,0.08574,0.14784
1997,Direct migration background,Rural regions,CDU/CSU,0.16127,64,412,0.12571,0.19682
1997,Indirect migration background,Urban regions,Not leaning towards specific party,0.27066,374,430,0.22862,0.31270
1997,Indirect migration background,Urban regions,SPD,0.04043,56,430,0.02179,0.05907
1997,Indirect migration background,Rural regions,Not leaning towards specific party,0.22949,67,67,0.12804,0.33094
1998,No migration background,Urban regions,Not leaning towards specific party,0.39921,3454,6766,0.38754,0.41088
1998,No migration background,Urban regions,SPD,0.20394,1548,6766,0.19434,0.21354
1998,No migration background,Urban regions,CDU/CSU,0.15470,1095,6766,0.14609,0.16332
1998,No migration background,Urban regions,FDP,0.01455,91,6766,0.01169,0.01740
1998,No migration background,Urban regions,Bündnis90/Grüne,0.04505,359,6766,0.04011,0.04999
1998,No migration background,Urban regions,PDS/Linke,0.00774,92,6766,0.00565,0.00983
1998,No migration background,Urban regions,Far right parties,0.00826,59,6766,0.00610,0.01042
1998,No migration background,Urban regions,Others,0.00483,33,6766,0.00318,0.00648
1998,No migration background,Urban regions,Party combinations,0.00343,35,6766,0.00204,0.00483
1998,No migration background,Rural regions,Not leaning towards specific party,0.46500,2782,4342,0.45016,0.47984
1998,No migration background,Rural regions,SPD,0.14303,648,4342,0.13261,0.15344
1998,No migration background,Rural regions,CDU/CSU,0.14104,633,4342,0.13068,0.15139
1998,No migration background,Rural regions,Bündnis90/Grüne,0.01900,99,4342,0.01494,0.02307
1998,No migration background,Rural regions,PDS/Linke,0.02014,140,4342,0.01596,0.02432
1998,No migration background,Rural regions,Others,0.00943,40,4342,0.00656,0.01231
1998,Direct migration background,Urban regions,Not leaning towards specific party,0.61878,1398,1957,0.59726,0.64030
1998,Direct migration background,Urban regions,SPD,0.15878,321,1957,0.14258,0.17497
1998,Direct migration background,Urban regions,CDU/CSU,0.12499,200,1957,0.11033,0.13964
1998,Direct migration background,Urban regions,Bündnis90/Grüne,0.02307,38,1957,0.01642,0.02973
1998,Direct migration background,Rural regions,Not leaning towards specific party,0.57191,277,389,0.52267,0.62114
1998,Direct migration background,Rural regions,SPD,0.13294,43,389,0.09915,0.16672
1998,Direct migration background,Rural regions,CDU/CSU,0.17313,69,389,0.13548,0.21077
1998,Indirect migration background,Urban regions,Not leaning towards specific party,0.26565,379,455,0.22502,0.30628
1998,Indirect migration background,Urban regions,SPD,0.06382,76,455,0.04133,0.08630
1998,Indirect migration background,Rural regions,Not leaning towards specific party,0.25965,72,72,0.15766,0.36163
1999,No migration background,Urban regions,Not leaning towards specific party,0.36948,3048,6502,0.35774,0.38121
1999,No migration background,Urban regions,SPD,0.20816,1540,6502,0.19829,0.21803
1999,No migration background,Urban regions,CDU/CSU,0.18982,1305,6502,0.18029,0.19935
1999,No migration background,Urban regions,FDP,0.01368,83,6502,0.01086,0.01651
1999,No migration background,Urban regions,Bündnis90/Grüne,0.03497,276,6502,0.03051,0.03944
1999,No migration background,Urban regions,PDS/Linke,0.01133,113,6502,0.00876,0.01391
1999,No migration background,Urban regions,Far right parties,0.00509,43,6502,0.00336,0.00682
1999,No migration background,Urban regions,Others,0.00449,39,6502,0.00286,0.00611
1999,No migration background,Urban regions,Party combinations,0.00716,55,6502,0.00511,0.00921
1999,No migration background,Rural regions,Not leaning towards specific party,0.42053,2426,4268,0.40572,0.43534
1999,No migration background,Rural regions,SPD,0.16050,746,4268,0.14948,0.17151
1999,No migration background,Rural regions,CDU/CSU,0.17459,776,4268,0.16320,0.18598
1999,No migration background,Rural regions,FDP,0.00756,35,4268,0.00496,0.01015
1999,No migration background,Rural regions,Bündnis90/Grüne,0.01616,81,4268,0.01237,0.01994
1999,No migration background,Rural regions,PDS/Linke,0.02712,171,4268,0.02225,0.03200
1999,No migration background,Rural regions,Far right parties,0.00417,33,4268,0.00223,0.00610
1999,Direct migration background,Urban regions,Not leaning towards specific party,0.60634,1261,1813,0.58384,0.62883
1999,Direct migration background,Urban regions,SPD,0.15927,297,1813,0.14242,0.17612
1999,Direct migration background,Urban regions,CDU/CSU,0.14713,223,1813,0.13082,0.16344
1999,Direct migration background,Urban regions,Bündnis90/Grüne,0.02166,32,1813,0.01495,0.02836
1999,Direct migration background,Rural regions,Not leaning towards specific party,0.54059,229,341,0.48762,0.59356
1999,Direct migration background,Rural regions,SPD,0.17952,52,341,0.13872,0.22031
1999,Direct migration background,Rural regions,CDU/CSU,0.17593,60,341,0.13546,0.21640
1999,Indirect migration background,Urban regions,Not leaning towards specific party,0.27146,367,461,0.23082,0.31210
1999,Indirect migration background,Urban regions,SPD,0.08642,94,461,0.06074,0.11210
1999,Indirect migration background,Rural regions,Not leaning towards specific party,0.21502,66,66,0.11514,0.31489
2000,No migration background,Urban regions,Not leaning towards specific party,0.39384,5916,12168,0.38515,0.40252
2000,No migration background,Urban regions,SPD,0.20299,2821,12168,0.19584,0.21014
2000,No migration background,Urban regions,CDU/CSU,0.16799,2332,12168,0.16135,0.17463
2000,No migration background,Urban regions,FDP,0.01448,182,12168,0.01236,0.01660
2000,No migration background,Urban regions,Bündnis90/Grüne,0.03641,530,12168,0.03308,0.03974
2000,No migration background,Urban regions,PDS/Linke,0.01124,206,12168,0.00936,0.01311
2000,No migration background,Urban regions,Far right parties,0.00414,67,12168,0.00300,0.00528
2000,No migration background,Urban regions,Others,0.00365,53,12168,0.00258,0.00472
