year,pgisced97,regtyp,party,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1987,Upper Secondary Level,Rural regions,Bündnis90/Grüne,0.02820,35,1097,0.01840,0.03800
1987,Post-secondary Non-tertiary Level,Urban regions,Not leaning towards specific party,0.36271,98,225,0.29975,0.42568
1987,Post-secondary Non-tertiary Level,Urban regions,SPD,0.18149,50,225,0.13102,0.23197
1987,Post-secondary Non-tertiary Level,Urban regions,CDU/CSU,0.25374,46,225,0.19676,0.31073
1987,Post-secondary Non-tertiary Level,Urban regions,Bündnis90/Grüne,0.15860,31,225,0.11076,0.20644
1987,First Stage of Tertiary Education,Urban regions,Not leaning towards specific party,0.31676,146,388,0.27041,0.36311
1987,First Stage of Tertiary Education,Urban regions,SPD,0.19141,90,388,0.15221,0.23060
1987,First Stage of Tertiary Education,Urban regions,CDU/CSU,0.37319,152,388,0.32500,0.42138
1987,First Stage of Tertiary Education,Rural regions,Not leaning towards specific party,0.31119,37,87,0.21334,0.40904
1987,First Stage of Tertiary Education,Rural regions,CDU/CSU,0.45342,50,87,0.34821,0.55864
1987,Second Stage of Tertiary Education,Urban regions,Not leaning towards specific party,0.27250,176,608,0.23708,0.30792
1987,Second Stage of Tertiary Education,Urban regions,SPD,0.20823,136,608,0.17592,0.24053
1987,Second Stage of Tertiary Education,Urban regions,CDU/CSU,0.27439,159,608,0.23889,0.30988
1987,Second Stage of Tertiary Education,Urban regions,FDP,0.09504,54,608,0.07171,0.11838
1987,Second Stage of Tertiary Education,Urban regions,Bündnis90/Grüne,0.12569,83,608,0.09932,0.15206
1987,Second Stage of Tertiary Education,Rural regions,CDU/CSU,0.43475,48,48,0.29303,0.57648
1988,Pre-primary Level,Urban regions,Not leaning towards specific party,0.67767,93,93,0.58217,0.77318
1988,Primary Level,Urban regions,Not leaning towards specific party,0.73948,464,564,0.70323,0.77574
1988,Primary Level,Urban regions,SPD,0.18417,100,564,0.15215,0.21619
1988,Primary Level,Rural regions,Not leaning towards specific party,0.85281,85,85,0.77704,0.92858
1988,Lower Secondary Level,Urban regions,Not leaning towards specific party,0.43778,1165,2049,0.41629,0.45927
1988,Lower Secondary Level,Urban regions,SPD,0.31255,557,2049,0.29247,0.33262
1988,Lower Secondary Level,Urban regions,CDU/CSU,0.22067,327,2049,0.20271,0.23863
1988,Lower Secondary Level,Rural regions,Not leaning towards specific party,0.45066,310,588,0.41041,0.49091
1988,Lower Secondary Level,Rural regions,SPD,0.24328,134,588,0.20857,0.27799
1988,Lower Secondary Level,Rural regions,CDU/CSU,0.27628,144,588,0.24010,0.31245
1988,Upper Secondary Level,Urban regions,Not leaning towards specific party,0.38110,1527,3652,0.36534,0.39685
1988,Upper Secondary Level,Urban regions,SPD,0.30512,1128,3652,0.29018,0.32006
1988,Upper Secondary Level,Urban regions,CDU/CSU,0.23908,785,3652,0.22524,0.25291
1988,Upper Secondary Level,Urban regions,FDP,0.02808,88,3652,0.02273,0.03344
1988,Upper Secondary Level,Urban regions,Bündnis90/Grüne,0.03237,124,3652,0.02663,0.03811
1988,Upper Secondary Level,Rural regions,Not leaning towards specific party,0.40031,460,993,0.36982,0.43080
1988,Upper Secondary Level,Rural regions,SPD,0.26574,262,993,0.23825,0.29323
1988,Upper Secondary Level,Rural regions,CDU/CSU,0.27465,271,993,0.24687,0.30243
1988,Post-secondary Non-tertiary Level,Urban regions,Not leaning towards specific party,0.34073,92,191,0.27334,0.40813
1988,Post-secondary Non-tertiary Level,Urban regions,SPD,0.20752,55,191,0.14985,0.26518
1988,Post-secondary Non-tertiary Level,Urban regions,CDU/CSU,0.23642,44,191,0.17600,0.29683
1988,First Stage of Tertiary Education,Urban regions,Not leaning towards specific party,0.32552,140,375,0.27803,0.37301
1988,First Stage of Tertiary Education,Urban regions,SPD,0.20786,95,375,0.16674,0.24899
1988,First Stage of Tertiary Education,Urban regions,CDU/CSU,0.34744,140,375,0.29918,0.39570
1988,First Stage of Tertiary Education,Rural regions,Not leaning towards specific party,0.37992,43,80,0.27289,0.48695
1988,First Stage of Tertiary Education,Rural regions,CDU/CSU,0.35067,37,80,0.24545,0.45590
1988,Second Stage of Tertiary Education,Urban regions,Not leaning towards specific party,0.28570,180,576,0.24878,0.32263
1988,Second Stage of Tertiary Education,Urban regions,SPD,0.23864,146,576,0.20379,0.27348
1988,Second Stage of Tertiary Education,Urban regions,CDU/CSU,0.26800,149,576,0.23180,0.30420
1988,Second Stage of Tertiary Education,Urban regions,FDP,0.06940,39,576,0.04863,0.09017
1988,Second Stage of Tertiary Education,Urban regions,Bündnis90/Grüne,0.10204,62,576,0.07729,0.12678
1988,Second Stage of Tertiary Education,Rural regions,SPD,0.25247,31,73,0.15212,0.35281
1988,Second Stage of Tertiary Education,Rural regions,CDU/CSU,0.44003,42,73,0.32537,0.55469
1989,Pre-primary Level,Urban regions,Not leaning towards specific party,0.62722,97,97,0.53049,0.72395
1989,Primary Level,Urban regions,Not leaning towards specific party,0.69870,401,533,0.65971,0.73769
1989,Primary Level,Urban regions,SPD,0.22934,132,533,0.19362,0.26506
1989,Primary Level,Rural regions,Not leaning towards specific party,0.68834,63,63,0.57305,0.80363
1989,Lower Secondary Level,Urban regions,Not leaning towards specific party,0.48382,1123,1986,0.46183,0.50580
1989,Lower Secondary Level,Urban regions,SPD,0.27258,508,1986,0.25299,0.29217
1989,Lower Secondary Level,Urban regions,CDU/CSU,0.18756,258,1986,0.17039,0.20473
1989,Lower Secondary Level,Urban regions,Bündnis90/Grüne,0.01879,57,1986,0.01281,0.02476
1989,Lower Secondary Level,Urban regions,Others,0.02483,40,1986,0.01799,0.03168
1989,Lower Secondary Level,Rural regions,Not leaning towards specific party,0.48569,298,536,0.44334,0.52804
1989,Lower Secondary Level,Rural regions,SPD,0.21713,118,536,0.18219,0.25206
1989,Lower Secondary Level,Rural regions,CDU/CSU,0.25146,120,536,0.21470,0.28823
1989,Upper Secondary Level,Urban regions,Not leaning towards specific party,0.38548,1537,3584,0.36954,0.40141
1989,Upper Secondary Level,Urban regions,SPD,0.31651,1130,3584,0.30128,0.33174
1989,Upper Secondary Level,Urban regions,CDU/CSU,0.21285,674,3584,0.19944,0.22625
1989,Upper Secondary Level,Urban regions,FDP,0.01625,52,3584,0.01211,0.02039
1989,Upper Secondary Level,Urban regions,Bündnis90/Grüne,0.03246,120,3584,0.02666,0.03827
1989,Upper Secondary Level,Urban regions,Others,0.02494,71,3584,0.01984,0.03005
1989,Upper Secondary Level,Rural regions,Not leaning towards specific party,0.42427,471,943,0.39271,0.45583
1989,Upper Secondary Level,Rural regions,SPD,0.23825,228,943,0.21104,0.26545
1989,Upper Secondary Level,Rural regions,CDU/CSU,0.26730,244,943,0.23904,0.29556
1989,Post-secondary Non-tertiary Level,Urban regions,Not leaning towards specific party,0.35042,101,209,0.28558,0.41526
1989,Post-secondary Non-tertiary Level,Urban regions,SPD,0.25282,71,209,0.19375,0.31188
1989,Post-secondary Non-tertiary Level,Urban regions,CDU/CSU,0.19302,37,209,0.13939,0.24666
1989,First Stage of Tertiary Education,Urban regions,Not leaning towards specific party,0.37589,148,369,0.32640,0.42537
1989,First Stage of Tertiary Education,Urban regions,SPD,0.21341,92,369,0.17155,0.25527
1989,First Stage of Tertiary Education,Urban regions,CDU/CSU,0.32880,129,369,0.28080,0.37680
1989,First Stage of Tertiary Education,Rural regions,Not leaning towards specific party,0.41578,46,46,0.27178,0.55979
1989,Second Stage of Tertiary Education,Urban regions,Not leaning towards specific party,0.30941,188,575,0.27159,0.34722
1989,Second Stage of Tertiary Education,Urban regions,SPD,0.23607,149,575,0.20133,0.27081
1989,Second Stage of Tertiary Education,Urban regions,CDU/CSU,0.24772,135,575,0.21240,0.28304
1989,Second Stage of Tertiary Education,Urban regions,FDP,0.05527,32,575,0.03658,0.07397
1989,Second Stage of Tertiary Education,Urban regions,Bündnis90/Grüne,0.12091,71,575,0.09423,0.14758
1989,Second Stage of Tertiary Education,Rural regions,SPD,0.24019,32,70,0.13939,0.34099
1989,Second Stage of Tertiary Education,Rural regions,CDU/CSU,0.38591,38,70,0.27105,0.50078
1990,Pre-primary Level,Urban regions,Not leaning towards specific party,0.55899,81,81,0.45018,0.66779
1990,Primary Level,Urban regions,Not leaning towards specific party,0.66846,393,511,0.62760,0.70932
1990,Primary Level,Urban regions,SPD,0.22020,118,511,0.18423,0.25616
1990,Primary Level,Rural regions,Not leaning towards specific party,0.68815,60,60,0.56994,0.80635
1990,Lower Secondary Level,Urban regions,Not leaning towards specific party,0.42348,1043,1875,0.40111,0.44585
1990,Lower Secondary Level,Urban regions,SPD,0.29740,540,1875,0.27670,0.31810
1990,Lower Secondary Level,Urban regions,CDU/CSU,0.18057,258,1875,0.16315,0.19798
1990,Lower Secondary Level,Urban regions,Bündnis90/Grüne,0.01360,34,1875,0.00836,0.01885
1990,Lower Secondary Level,Rural regions,Not leaning towards specific party,0.35977,293,521,0.31852,0.40103
1990,Lower Secondary Level,Rural regions,SPD,0.16787,110,521,0.13574,0.19999
1990,Lower Secondary Level,Rural regions,CDU/CSU,0.18388,118,521,0.15059,0.21718
1990,Upper Secondary Level,Urban regions,Not leaning towards specific party,0.32069,1388,3490,0.30521,0.33618
1990,Upper Secondary Level,Urban regions,SPD,0.29421,1159,3490,0.27909,0.30933
1990,Upper Secondary Level,Urban regions,CDU/CSU,0.21759,737,3490,0.20390,0.23128
1990,Upper Secondary Level,Urban regions,FDP,0.02174,75,3490,0.01690,0.02658
1990,Upper Secondary Level,Urban regions,Bündnis90/Grüne,0.02593,100,3490,0.02066,0.03121
1990,Upper Secondary Level,Urban regions,Far right parties,0.00815,31,3490,0.00517,0.01113
1990,Upper Secondary Level,Rural regions,Not leaning towards specific party,0.24130,468,953,0.21412,0.26848
1990,Upper Secondary Level,Rural regions,SPD,0.14580,240,953,0.12338,0.16822
1990,Upper Secondary Level,Rural regions,CDU/CSU,0.15289,245,953,0.13003,0.17575
1990,Post-secondary Non-tertiary Level,Urban regions,Not leaning towards specific party,0.40072,113,224,0.33640,0.46503
1990,Post-secondary Non-tertiary Level,Urban regions,SPD,0.24676,75,224,0.19017,0.30334
1990,Post-secondary Non-tertiary Level,Urban regions,CDU/CSU,0.16374,36,224,0.11517,0.21231
1990,First Stage of Tertiary Education,Urban regions,Not leaning towards specific party,0.32042,143,365,0.27248,0.36836
1990,First Stage of Tertiary Education,Urban regions,SPD,0.21183,96,365,0.16985,0.25380
1990,First Stage of Tertiary Education,Urban regions,CDU/CSU,0.31032,126,365,0.26280,0.35785
1990,First Stage of Tertiary Education,Rural regions,Not leaning towards specific party,0.22242,43,84,0.13295,0.31189
1990,First Stage of Tertiary Education,Rural regions,CDU/CSU,0.21116,41,84,0.12335,0.29896
1990,Second Stage of Tertiary Education,Urban regions,Not leaning towards specific party,0.22578,177,584,0.19184,0.25972
1990,Second Stage of Tertiary Education,Urban regions,SPD,0.22096,169,584,0.18728,0.25464
1990,Second Stage of Tertiary Education,Urban regions,CDU/CSU,0.19452,139,584,0.16239,0.22665
1990,Second Stage of Tertiary Education,Urban regions,FDP,0.05190,40,584,0.03390,0.06991
1990,Second Stage of Tertiary Education,Urban regions,Bündnis90/Grüne,0.07130,59,584,0.05041,0.09218
1990,Second Stage of Tertiary Education,Rural regions,SPD,0.09169,33,70,0.02360,0.15979
1990,Second Stage of Tertiary Education,Rural regions,CDU/CSU,0.11881,37,70,0.04246,0.19516
1991,Pre-primary Level,Urban regions,Not leaning towards specific party,0.50117,45,45,0.35342,0.64891
1991,Primary Level,Urban regions,Not leaning towards specific party,0.20692,36,36,0.07271,0.34113
1991,Lower Secondary Level,Urban regions,Not leaning towards specific party,0.38500,546,1087,0.35606,0.41394
1991,Lower Secondary Level,Urban regions,SPD,0.24639,313,1087,0.22077,0.27202
1991,Lower Secondary Level,Urban regions,CDU/CSU,0.17420,228,1087,0.15164,0.19675
1991,Lower Secondary Level,Rural regions,Not leaning towards specific party,0.32279,206,412,0.27758,0.36799
1991,Lower Secondary Level,Rural regions,SPD,0.15365,86,412,0.11879,0.18852
1991,Lower Secondary Level,Rural regions,CDU/CSU,0.19394,120,412,0.15572,0.23217
1991,Upper Secondary Level,Urban regions,Not leaning towards specific party,0.31760,1115,2856,0.30052,0.33468
1991,Upper Secondary Level,Urban regions,SPD,0.25909,888,2856,0.24302,0.27516
1991,Upper Secondary Level,Urban regions,CDU/CSU,0.21023,703,2856,0.19529,0.22518
1991,Upper Secondary Level,Urban regions,FDP,0.02446,76,2856,0.01880,0.03013
1991,Upper Secondary Level,Urban regions,Bündnis90/Grüne,0.02409,74,2856,0.01846,0.02971
1991,Upper Secondary Level,Rural regions,Not leaning towards specific party,0.23101,413,901,0.20348,0.25855
1991,Upper Secondary Level,Rural regions,SPD,0.13392,225,901,0.11167,0.15617
1991,Upper Secondary Level,Rural regions,CDU/CSU,0.16355,263,901,0.13938,0.18771
1991,Post-secondary Non-tertiary Level,Urban regions,Not leaning towards specific party,0.31395,69,148,0.23893,0.38898
1991,Post-secondary Non-tertiary Level,Urban regions,SPD,0.20420,44,148,0.13903,0.26937
1991,Post-secondary Non-tertiary Level,Urban regions,CDU/CSU,0.15051,35,148,0.09271,0.20832
1991,First Stage of Tertiary Education,Urban regions,Not leaning towards specific party,0.30739,130,350,0.25898,0.35580
1991,First Stage of Tertiary Education,Urban regions,SPD,0.18664,85,350,0.14576,0.22752
1991,First Stage of Tertiary Education,Urban regions,CDU/CSU,0.34020,135,350,0.29050,0.38991
1991,First Stage of Tertiary Education,Rural regions,Not leaning towards specific party,0.19175,42,89,0.10950,0.27401
1991,First Stage of Tertiary Education,Rural regions,CDU/CSU,0.24563,47,89,0.15569,0.33557
1991,Second Stage of Tertiary Education,Urban regions,Not leaning towards specific party,0.22332,165,554,0.18861,0.25803
1991,Second Stage of Tertiary Education,Urban regions,SPD,0.17349,138,554,0.14193,0.20505
1991,Second Stage of Tertiary Education,Urban regions,CDU/CSU,0.19729,148,554,0.16412,0.23045
1991,Second Stage of Tertiary Education,Urban regions,FDP,0.07055,48,554,0.04921,0.09189
1991,Second Stage of Tertiary Education,Urban regions,Bündnis90/Grüne,0.07233,55,554,0.05074,0.09392
1991,Second Stage of Tertiary Education,Rural regions,CDU/CSU,0.12403,39,39,0.01922,0.22883
1992,Pre-primary Level,Urban regions,Not leaning towards specific party,0.56709,82,82,0.45919,0.67500
1992,Pre-primary Level,Rural regions,Not leaning towards specific party,0.84684,50,50,0.74600,0.94768
1992,Primary Level,Urban regions,Not leaning towards specific party,0.82079,438,505,0.78730,0.85427
1992,Primary Level,Urban regions,SPD,0.14231,67,505,0.11181,0.17281
1992,Primary Level,Rural regions,Not leaning towards specific party,0.79801,84,84,0.71164,0.88439
1992,Lower Secondary Level,Urban regions,Not leaning towards specific party,0.55955,1227,1899,0.53722,0.58189
1992,Lower Secondary Level,Urban regions,SPD,0.22943,393,1899,0.21051,0.24834
1992,Lower Secondary Level,Urban regions,CDU/CSU,0.17874,244,1899,0.16151,0.19598
1992,Lower Secondary Level,Urban regions,Bündnis90/Grüne,0.01147,35,1899,0.00668,0.01626
1992,Lower Secondary Level,Rural regions,Not leaning towards specific party,0.62871,565,791,0.59502,0.66240
1992,Lower Secondary Level,Rural regions,SPD,0.15661,102,791,0.13127,0.18195
1992,Lower Secondary Level,Rural regions,CDU/CSU,0.18277,124,791,0.15582,0.20972
1992,Upper Secondary Level,Urban regions,Not leaning towards specific party,0.47944,2185,4118,0.46418,0.49470
1992,Upper Secondary Level,Urban regions,SPD,0.25534,1004,4118,0.24202,0.26866
1992,Upper Secondary Level,Urban regions,CDU/CSU,0.20429,730,4118,0.19197,0.21661
1992,Upper Secondary Level,Urban regions,FDP,0.01806,62,4118,0.01400,0.02213
1992,Upper Secondary Level,Urban regions,Bündnis90/Grüne,0.02270,97,4118,0.01815,0.02725
1992,Upper Secondary Level,Urban regions,Others,0.00882,40,4118,0.00597,0.01168
1992,Upper Secondary Level,Rural regions,Not leaning towards specific party,0.56549,1555,2431,0.54578,0.58520
1992,Upper Secondary Level,Rural regions,SPD,0.17372,377,2431,0.15866,0.18879
1992,Upper Secondary Level,Rural regions,CDU/CSU,0.20015,424,2431,0.18424,0.21606
1992,Upper Secondary Level,Rural regions,FDP,0.01539,35,2431,0.01050,0.02029
1992,Upper Secondary Level,Rural regions,Bündnis90/Grüne,0.01725,40,2431,0.01207,0.02242
1992,Post-secondary Non-tertiary Level,Urban regions,Not leaning towards specific party,0.43274,150,258,0.37216,0.49331
1992,Post-secondary Non-tertiary Level,Urban regions,SPD,0.24655,75,258,0.19386,0.29925
1992,Post-secondary Non-tertiary Level,Urban regions,CDU/CSU,0.13798,33,258,0.09581,0.18014
1992,Post-secondary Non-tertiary Level,Rural regions,Not leaning towards specific party,0.50054,47,47,0.35604,0.64503
1992,First Stage of Tertiary Education,Urban regions,Not leaning towards specific party,0.43105,213,430,0.38419,0.47792
1992,First Stage of Tertiary Education,Urban regions,SPD,0.18720,89,430,0.15029,0.22411
1992,First Stage of Tertiary Education,Urban regions,CDU/CSU,0.29923,128,430,0.25590,0.34257
1992,First Stage of Tertiary Education,Rural regions,Not leaning towards specific party,0.46055,145,264,0.40030,0.52079
1992,First Stage of Tertiary Education,Rural regions,SPD,0.17907,51,264,0.13273,0.22541
1992,First Stage of Tertiary Education,Rural regions,CDU/CSU,0.27097,68,264,0.21725,0.32469
1992,Second Stage of Tertiary Education,Urban regions,Not leaning towards specific party,0.39925,446,959,0.36824,0.43027
1992,Second Stage of Tertiary Education,Urban regions,SPD,0.19704,198,959,0.17185,0.22223
1992,Second Stage of Tertiary Education,Urban regions,CDU/CSU,0.19760,164,959,0.17239,0.22282
1992,Second Stage of Tertiary Education,Urban regions,FDP,0.06619,50,959,0.05044,0.08193
1992,Second Stage of Tertiary Education,Urban regions,Bündnis90/Grüne,0.10847,101,959,0.08878,0.12817
1992,Second Stage of Tertiary Education,Rural regions,Not leaning towards specific party,0.48375,345,622,0.44445,0.52306
1992,Second Stage of Tertiary Education,Rural regions,SPD,0.13773,80,622,0.11062,0.16483
1992,Second Stage of Tertiary Education,Rural regions,CDU/CSU,0.18698,91,622,0.15632,0.21765
1992,Second Stage of Tertiary Education,Rural regions,FDP,0.06595,31,622,0.04643,0.08547
1992,Second Stage of Tertiary Education,Rural regions,Bündnis90/Grüne,0.04634,36,622,0.02980,0.06287
1992,Second Stage of Tertiary Education,Rural regions,PDS/Linke,0.06266,39,622,0.04360,0.08172
1993,Pre-primary Level,Urban regions,Not leaning towards specific party,0.69591,94,94,0.60241,0.78940
1993,Pre-primary Level,Rural regions,Not leaning towards specific party,0.77627,47,47,0.65584,0.89670
1993,Primary Level,Urban regions,Not leaning towards specific party,0.86164,432,496,0.83122,0.89206
1993,Primary Level,Urban regions,SPD,0.10841,64,496,0.08102,0.13580
1993,Primary Level,Rural regions,Not leaning towards specific party,0.79156,87,87,0.70571,0.87741
1993,Lower Secondary Level,Urban regions,Not leaning towards specific party,0.60677,1244,1819,0.58432,0.62923
1993,Lower Secondary Level,Urban regions,SPD,0.20771,350,1819,0.18906,0.22635
