year,age_gr,migback,plh0258_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,46-65 y.,No migration background,Non-denominational,0.20413,937,3214,0.19019,0.21807
1990,46-65 y.,Direct migration background,Catholic,0.40080,375,973,0.36999,0.43161
1990,46-65 y.,Direct migration background,Protestant,0.19970,79,973,0.17456,0.22483
1990,46-65 y.,Direct migration background,Other Christian community,0.05972,69,973,0.04482,0.07462
1990,46-65 y.,Direct migration background,Islamic community,0.14320,234,973,0.12118,0.16522
1990,46-65 y.,Direct migration background,Non-denominational,0.12179,82,973,0.10123,0.14235
1990,46-65 y.,Direct migration background,Christian orthodox,0.04989,134,973,0.03620,0.06358
1990,66 and older,No migration background,Catholic,0.32939,407,1339,0.30421,0.35458
1990,66 and older,No migration background,Protestant,0.52730,701,1339,0.50055,0.55406
1990,66 and older,No migration background,Non-denominational,0.13019,231,1339,0.11216,0.14822
1990,66 and older,Direct migration background,Catholic,0.50452,51,82,0.39563,0.61340
1990,66 and older,Direct migration background,Protestant,0.35339,31,82,0.24929,0.45750
1997,17-29 y.,No migration background,Catholic,0.32386,559,2042,0.30356,0.34416
1997,17-29 y.,No migration background,Protestant,0.36939,717,2042,0.34845,0.39033
1997,17-29 y.,No migration background,Non-denominational,0.28915,766,2042,0.26948,0.30882
1997,17-29 y.,Direct migration background,Catholic,0.37819,160,440,0.33283,0.42355
1997,17-29 y.,Direct migration background,Protestant,0.12791,49,440,0.09667,0.15915
1997,17-29 y.,Direct migration background,Other religious community,0.28366,188,440,0.24149,0.32583
1997,17-29 y.,Direct migration background,Non-denominational,0.12795,43,440,0.09670,0.15920
1997,17-29 y.,Indirect migration background,Catholic,0.34776,162,443,0.30336,0.39216
1997,17-29 y.,Indirect migration background,Other Christian community,0.08225,71,443,0.05664,0.10786
1997,17-29 y.,Indirect migration background,Other religious community,0.29633,159,443,0.25376,0.33890
1997,17-29 y.,Indirect migration background,Non-denominational,0.15804,51,443,0.12403,0.19204
1997,30-45 y.,No migration background,Catholic,0.30656,936,3458,0.29119,0.32193
1997,30-45 y.,No migration background,Protestant,0.34637,1105,3458,0.33051,0.36223
1997,30-45 y.,No migration background,Other Christian community,0.01377,41,3458,0.00989,0.01766
1997,30-45 y.,No migration background,Non-denominational,0.32820,1376,3458,0.31255,0.34386
1997,30-45 y.,Direct migration background,Catholic,0.43239,324,806,0.39817,0.46662
1997,30-45 y.,Direct migration background,Protestant,0.09297,62,806,0.07291,0.11303
1997,30-45 y.,Direct migration background,Other Christian community,0.09151,91,806,0.07159,0.11142
1997,30-45 y.,Direct migration background,Other religious community,0.21723,246,806,0.18874,0.24571
1997,30-45 y.,Direct migration background,Non-denominational,0.14650,83,806,0.12208,0.17093
1997,46-65 y.,No migration background,Catholic,0.30338,744,2883,0.28659,0.32016
1997,46-65 y.,No migration background,Protestant,0.38936,1050,2883,0.37155,0.40716
1997,46-65 y.,No migration background,Other Christian community,0.01267,32,2883,0.00859,0.01675
1997,46-65 y.,No migration background,Non-denominational,0.28917,1057,2883,0.27261,0.30572
1997,46-65 y.,Direct migration background,Catholic,0.39041,344,916,0.35880,0.42202
1997,46-65 y.,Direct migration background,Protestant,0.15688,86,916,0.13331,0.18044
1997,46-65 y.,Direct migration background,Other Christian community,0.08907,132,916,0.07061,0.10753
1997,46-65 y.,Direct migration background,Other religious community,0.15498,226,916,0.13153,0.17843
1997,46-65 y.,Direct migration background,Non-denominational,0.18429,128,916,0.15917,0.20941
1997,66 and older,No migration background,Catholic,0.32959,391,1321,0.30423,0.35495
1997,66 and older,No migration background,Protestant,0.49173,653,1321,0.46476,0.51870
1997,66 and older,No migration background,Non-denominational,0.15817,277,1321,0.13849,0.17786
1997,66 and older,Direct migration background,Catholic,0.46230,112,168,0.38668,0.53792
1997,66 and older,Direct migration background,Protestant,0.31489,56,168,0.24444,0.38533
2003,17-29 y.,No migration background,Catholic,0.30528,871,3072,0.28899,0.32157
2003,17-29 y.,No migration background,Protestant,0.35866,1086,3072,0.34170,0.37563
2003,17-29 y.,No migration background,Non-denominational,0.31867,1115,3072,0.30219,0.33515
2003,17-29 y.,Direct migration background,Catholic,0.29423,124,379,0.24829,0.34017
2003,17-29 y.,Direct migration background,Protestant,0.24631,100,379,0.20288,0.28975
2003,17-29 y.,Direct migration background,Other Christian community,0.09561,33,379,0.06597,0.12526
2003,17-29 y.,Direct migration background,Other religious community,0.22053,78,379,0.17873,0.26233
2003,17-29 y.,Direct migration background,Non-denominational,0.13898,44,379,0.10411,0.17386
2003,17-29 y.,Indirect migration background,Catholic,0.34004,173,498,0.29839,0.38168
2003,17-29 y.,Indirect migration background,Protestant,0.19465,80,498,0.15984,0.22946
2003,17-29 y.,Indirect migration background,Other Christian community,0.05738,42,498,0.03694,0.07783
2003,17-29 y.,Indirect migration background,Other religious community,0.26353,136,498,0.22480,0.30226
2003,17-29 y.,Indirect migration background,Non-denominational,0.12793,67,498,0.09857,0.15730
2003,30-45 y.,No migration background,Catholic,0.29831,1702,5773,0.28651,0.31011
2003,30-45 y.,No migration background,Protestant,0.33964,1938,5773,0.32742,0.35186
2003,30-45 y.,No migration background,Other Christian community,0.00728,42,5773,0.00508,0.00947
2003,30-45 y.,No migration background,Non-denominational,0.34557,2091,5773,0.33330,0.35784
2003,30-45 y.,Direct migration background,Catholic,0.32708,282,886,0.29617,0.35799
2003,30-45 y.,Direct migration background,Protestant,0.12269,90,886,0.10108,0.14431
2003,30-45 y.,Direct migration background,Other Christian community,0.11644,92,886,0.09531,0.13757
2003,30-45 y.,Direct migration background,Other religious community,0.25057,286,886,0.22202,0.27912
2003,30-45 y.,Direct migration background,Non-denominational,0.17373,136,886,0.14877,0.19870
2003,30-45 y.,Indirect migration background,Catholic,0.33468,76,188,0.26704,0.40231
2003,30-45 y.,Indirect migration background,Other Christian community,0.08497,33,188,0.04501,0.12494
2003,30-45 y.,Indirect migration background,Other religious community,0.20590,44,188,0.14795,0.26386
2003,30-45 y.,Indirect migration background,Non-denominational,0.18931,35,188,0.13316,0.24546
2003,46-65 y.,No migration background,Catholic,0.29602,1793,6471,0.28489,0.30714
2003,46-65 y.,No migration background,Protestant,0.35560,2282,6471,0.34393,0.36726
2003,46-65 y.,No migration background,Other Christian community,0.00901,58,6471,0.00670,0.01131
2003,46-65 y.,No migration background,Non-denominational,0.32852,2338,6471,0.31707,0.33996
2003,46-65 y.,Direct migration background,Catholic,0.37220,374,979,0.34191,0.40250
2003,46-65 y.,Direct migration background,Protestant,0.15938,139,979,0.13644,0.18232
2003,46-65 y.,Direct migration background,Other Christian community,0.10552,123,979,0.08627,0.12478
2003,46-65 y.,Direct migration background,Other religious community,0.19673,203,979,0.17181,0.22164
2003,46-65 y.,Direct migration background,Non-denominational,0.15964,140,979,0.13669,0.18260
2003,66 and older,No migration background,Catholic,0.33082,1012,3229,0.31459,0.34705
2003,66 and older,No migration background,Protestant,0.47081,1524,3229,0.45360,0.48803
2003,66 and older,No migration background,Non-denominational,0.17862,693,3229,0.16540,0.19183
2003,66 and older,Direct migration background,Catholic,0.41078,143,355,0.35953,0.46203
2003,66 and older,Direct migration background,Protestant,0.29143,92,355,0.24409,0.33876
2003,66 and older,Direct migration background,Other Christian community,0.06031,32,355,0.03551,0.08511
2003,66 and older,Direct migration background,Other religious community,0.12185,50,355,0.08778,0.15593
2003,66 and older,Direct migration background,Non-denominational,0.11089,38,355,0.07818,0.14360
2007,17-29 y.,No migration background,Catholic,0.25280,704,2676,0.23633,0.26927
2007,17-29 y.,No migration background,Protestant,0.34128,994,2676,0.32331,0.35925
2007,17-29 y.,No migration background,Other Christian community,0.00919,33,2676,0.00557,0.01281
2007,17-29 y.,No migration background,Non-denominational,0.30740,945,2676,0.28991,0.32488
2007,17-29 y.,Direct migration background,Catholic,0.26186,81,222,0.20390,0.31982
2007,17-29 y.,Direct migration background,Protestant,0.27085,93,222,0.21226,0.32944
2007,17-29 y.,Direct migration background,Islamic community,0.22598,48,222,0.17084,0.28112
2007,17-29 y.,Indirect migration background,Catholic,0.32803,156,437,0.28396,0.37210
2007,17-29 y.,Indirect migration background,Protestant,0.19294,83,437,0.15590,0.22998
2007,17-29 y.,Indirect migration background,Other Christian community,0.05532,39,437,0.03386,0.07678
2007,17-29 y.,Indirect migration background,Islamic community,0.19822,99,437,0.16080,0.23565
2007,17-29 y.,Indirect migration background,Non-denominational,0.11904,60,437,0.08864,0.14944
2007,30-45 y.,No migration background,Catholic,0.30237,1388,4734,0.28928,0.31545
2007,30-45 y.,No migration background,Protestant,0.33687,1601,4734,0.32340,0.35034
2007,30-45 y.,No migration background,Other Christian community,0.00938,41,4734,0.00663,0.01212
2007,30-45 y.,No migration background,Non-denominational,0.34724,1704,4734,0.33368,0.36080
2007,30-45 y.,Direct migration background,Catholic,0.29997,197,679,0.26547,0.33446
2007,30-45 y.,Direct migration background,Protestant,0.14230,100,679,0.11600,0.16860
2007,30-45 y.,Direct migration background,Other Christian community,0.08931,62,679,0.06785,0.11078
2007,30-45 y.,Direct migration background,Islamic community,0.30036,222,679,0.26585,0.33486
2007,30-45 y.,Direct migration background,Non-denominational,0.15506,98,679,0.12781,0.18231
2007,30-45 y.,Indirect migration background,Catholic,0.33498,89,270,0.27857,0.39138
2007,30-45 y.,Indirect migration background,Protestant,0.15758,37,270,0.11404,0.20112
2007,30-45 y.,Indirect migration background,Other Christian community,0.11155,42,270,0.07393,0.14917
2007,30-45 y.,Indirect migration background,Islamic community,0.21619,60,270,0.16700,0.26539
2007,30-45 y.,Indirect migration background,Non-denominational,0.17854,42,270,0.13278,0.22431
2007,46-65 y.,No migration background,Catholic,0.29270,1724,6201,0.28138,0.30403
2007,46-65 y.,No migration background,Protestant,0.33274,2097,6201,0.32101,0.34447
2007,46-65 y.,No migration background,Other Christian community,0.01312,76,6201,0.01029,0.01596
2007,46-65 y.,No migration background,Non-denominational,0.35733,2304,6201,0.34540,0.36926
2007,46-65 y.,Direct migration background,Catholic,0.35565,285,772,0.32186,0.38944
2007,46-65 y.,Direct migration background,Protestant,0.13453,126,772,0.11044,0.15861
2007,46-65 y.,Direct migration background,Other Christian community,0.14519,111,772,0.12032,0.17005
2007,46-65 y.,Direct migration background,Islamic community,0.17843,134,772,0.15140,0.20545
2007,46-65 y.,Direct migration background,Non-denominational,0.16202,116,772,0.13601,0.18803
2007,66 and older,No migration background,Catholic,0.31100,1151,3941,0.29654,0.32545
2007,66 and older,No migration background,Protestant,0.47478,1845,3941,0.45919,0.49037
2007,66 and older,No migration background,Other Christian community,0.01038,31,3941,0.00721,0.01354
2007,66 and older,No migration background,Non-denominational,0.19901,914,3941,0.18654,0.21148
2007,66 and older,Direct migration background,Catholic,0.38799,145,373,0.33847,0.43751
2007,66 and older,Direct migration background,Protestant,0.27941,94,373,0.23381,0.32501
2007,66 and older,Direct migration background,Other Christian community,0.10199,42,373,0.07124,0.13275
2007,66 and older,Direct migration background,Islamic community,0.11512,54,373,0.08269,0.14756
2007,66 and older,Direct migration background,Non-denominational,0.10977,38,373,0.07800,0.14153
2011,17-29 y.,No migration background,Catholic,0.22707,698,2447,0.21047,0.24368
2011,17-29 y.,No migration background,Protestant,0.35355,956,2447,0.33461,0.37250
2011,17-29 y.,No migration background,Non-denominational,0.27066,793,2447,0.25305,0.28827
2011,17-29 y.,Direct migration background,Catholic,0.16495,54,169,0.10883,0.22108
2011,17-29 y.,Direct migration background,Protestant,0.22324,71,169,0.16027,0.28621
2011,17-29 y.,Direct migration background,Non-denominational,0.18430,44,169,0.12567,0.24293
2011,17-29 y.,Indirect migration background,Catholic,0.37258,160,368,0.32312,0.42205
2011,17-29 y.,Indirect migration background,Protestant,0.16604,72,368,0.12797,0.20411
2011,17-29 y.,Indirect migration background,Islamic community,0.13295,80,368,0.09822,0.16769
2011,17-29 y.,Indirect migration background,Non-denominational,0.09130,56,368,0.06183,0.12077
2011,30-45 y.,No migration background,Catholic,0.24108,1356,4752,0.22892,0.25325
2011,30-45 y.,No migration background,Protestant,0.26441,1618,4752,0.25187,0.27695
2011,30-45 y.,No migration background,Other Christian community,0.00840,63,4752,0.00580,0.01099
2011,30-45 y.,No migration background,Non-denominational,0.32405,1715,4752,0.31074,0.33736
2011,30-45 y.,Direct migration background,Catholic,0.21771,189,670,0.18644,0.24899
2011,30-45 y.,Direct migration background,Protestant,0.14926,135,670,0.12226,0.17627
2011,30-45 y.,Direct migration background,Other Christian community,0.06376,60,670,0.04525,0.08228
2011,30-45 y.,Direct migration background,Islamic community,0.13086,170,670,0.10530,0.15641
2011,30-45 y.,Direct migration background,Non-denominational,0.13817,116,670,0.11202,0.16432
2011,30-45 y.,Indirect migration background,Catholic,0.27975,118,356,0.23306,0.32645
2011,30-45 y.,Indirect migration background,Protestant,0.10210,47,356,0.07060,0.13359
2011,30-45 y.,Indirect migration background,Other Christian community,0.08097,40,356,0.05259,0.10935
2011,30-45 y.,Indirect migration background,Islamic community,0.13843,72,356,0.10250,0.17435
2011,30-45 y.,Indirect migration background,Non-denominational,0.19721,79,356,0.15581,0.23860
2011,46-65 y.,No migration background,Catholic,0.26478,1958,7158,0.25456,0.27500
2011,46-65 y.,No migration background,Protestant,0.30598,2321,7158,0.29530,0.31665
2011,46-65 y.,No migration background,Other Christian community,0.01212,95,7158,0.00959,0.01466
2011,46-65 y.,No migration background,Non-denominational,0.37999,2784,7158,0.36874,0.39123
2011,46-65 y.,Direct migration background,Catholic,0.39707,314,801,0.36317,0.43098
2011,46-65 y.,Direct migration background,Protestant,0.15781,163,801,0.13255,0.18307
2011,46-65 y.,Direct migration background,Other Christian community,0.09927,91,801,0.07855,0.11999
2011,46-65 y.,Direct migration background,Islamic community,0.13622,103,801,0.11245,0.15999
2011,46-65 y.,Direct migration background,Non-denominational,0.14422,130,801,0.11987,0.16856
2011,46-65 y.,Indirect migration background,Non-denominational,0.35160,33,33,0.18616,0.51703
2011,66 and older,No migration background,Catholic,0.30182,1348,4682,0.28867,0.31497
2011,66 and older,No migration background,Protestant,0.44624,2023,4682,0.43200,0.46048
2011,66 and older,No migration background,Other Christian community,0.01156,48,4682,0.00850,0.01462
2011,66 and older,No migration background,Non-denominational,0.23406,1263,4682,0.22193,0.24619
2011,66 and older,Direct migration background,Catholic,0.40104,161,414,0.35377,0.44831
2011,66 and older,Direct migration background,Protestant,0.21713,107,414,0.17736,0.25689
2011,66 and older,Direct migration background,Other Christian community,0.09788,35,414,0.06922,0.12654
2011,66 and older,Direct migration background,Islamic community,0.10832,41,414,0.07834,0.13829
2011,66 and older,Direct migration background,Non-denominational,0.15303,70,414,0.11830,0.18775
2015,17-29 y.,No migration background,Catholic,0.28013,793,2548,0.26269,0.29757
2015,17-29 y.,No migration background,Protestant,0.36271,964,2548,0.34404,0.38138
2015,17-29 y.,No migration background,Other Christian community,0.00965,33,2548,0.00586,0.01345
2015,17-29 y.,No migration background,Non-denominational,0.26399,758,2548,0.24687,0.28111
2015,17-29 y.,Direct migration background,Catholic,0.24949,256,1011,0.22280,0.27618
2015,17-29 y.,Direct migration background,Protestant,0.19006,147,1011,0.16586,0.21425
2015,17-29 y.,Direct migration background,Islamic community,0.06172,75,1011,0.04688,0.07657
2015,17-29 y.,Direct migration background,Other religious community,0.04099,51,1011,0.02877,0.05322
2015,17-29 y.,Direct migration background,Non-denominational,0.23932,264,1011,0.21301,0.26564
2015,17-29 y.,Direct migration background,Christian orthodox,0.07456,128,1011,0.05836,0.09076
2015,17-29 y.,Direct migration background,Sunni denomination,0.07741,90,1011,0.06092,0.09389
2015,17-29 y.,Indirect migration background,Catholic,0.25479,200,739,0.22335,0.28623
2015,17-29 y.,Indirect migration background,Protestant,0.16748,129,739,0.14054,0.19442
2015,17-29 y.,Indirect migration background,Other Christian community,0.02225,38,739,0.01160,0.03289
2015,17-29 y.,Indirect migration background,Islamic community,0.11807,123,739,0.09479,0.14136
2015,17-29 y.,Indirect migration background,Non-denominational,0.17737,146,739,0.14981,0.20493
2015,17-29 y.,Indirect migration background,Sunni denomination,0.13424,103,739,0.10964,0.15884
2015,30-45 y.,No migration background,Catholic,0.27832,1347,4795,0.26563,0.29101
2015,30-45 y.,No migration background,Protestant,0.28858,1496,4795,0.27576,0.30141
2015,30-45 y.,No migration background,Other Christian community,0.01739,62,4795,0.01369,0.02109
2015,30-45 y.,No migration background,Non-denominational,0.40547,1890,4795,0.39157,0.41936
2015,30-45 y.,Direct migration background,Catholic,0.24737,706,2759,0.23127,0.26348
2015,30-45 y.,Direct migration background,Protestant,0.12735,364,2759,0.11490,0.13979
2015,30-45 y.,Direct migration background,Other Christian community,0.03867,134,2759,0.03148,0.04587
2015,30-45 y.,Direct migration background,Islamic community,0.13408,310,2759,0.12136,0.14679
2015,30-45 y.,Direct migration background,Other religious community,0.02496,61,2759,0.01914,0.03078
2015,30-45 y.,Direct migration background,Non-denominational,0.26658,663,2759,0.25008,0.28308
2015,30-45 y.,Direct migration background,Christian orthodox,0.05605,315,2759,0.04746,0.06463
2015,30-45 y.,Direct migration background,Sunni denomination,0.08261,206,2759,0.07234,0.09289
2015,30-45 y.,Indirect migration background,Catholic,0.30043,186,592,0.26347,0.33739
2015,30-45 y.,Indirect migration background,Protestant,0.16145,82,592,0.13179,0.19112
2015,30-45 y.,Indirect migration background,Islamic community,0.07904,71,592,0.05729,0.10079
2015,30-45 y.,Indirect migration background,Non-denominational,0.29386,162,592,0.25713,0.33059
2015,30-45 y.,Indirect migration background,Christian orthodox,0.03312,46,592,0.01869,0.04755
2015,30-45 y.,Indirect migration background,Sunni denomination,0.06250,45,592,0.04298,0.08202
2015,46-65 y.,No migration background,Catholic,0.27820,2047,7254,0.26789,0.28852
2015,46-65 y.,No migration background,Protestant,0.30187,2310,7254,0.29130,0.31243
2015,46-65 y.,No migration background,Other Christian community,0.01235,106,7254,0.00981,0.01489
2015,46-65 y.,No migration background,Non-denominational,0.39948,2791,7254,0.38821,0.41075
2015,46-65 y.,Direct migration background,Catholic,0.35014,490,1624,0.32694,0.37335
2015,46-65 y.,Direct migration background,Protestant,0.14638,238,1624,0.12918,0.16357
2015,46-65 y.,Direct migration background,Other Christian community,0.05660,99,1624,0.04536,0.06784
2015,46-65 y.,Direct migration background,Islamic community,0.10977,140,1624,0.09456,0.12498
2015,46-65 y.,Direct migration background,Other religious community,0.02041,42,1624,0.01353,0.02729
2015,46-65 y.,Direct migration background,Non-denominational,0.20894,366,1624,0.18916,0.22872
2015,46-65 y.,Direct migration background,Christian orthodox,0.03393,152,1624,0.02512,0.04274
2015,46-65 y.,Direct migration background,Sunni denomination,0.05713,97,1624,0.04584,0.06842
2015,46-65 y.,Indirect migration background,Catholic,0.25920,58,151,0.18907,0.32932
2015,46-65 y.,Indirect migration background,Protestant,0.33647,38,151,0.26086,0.41209
2015,46-65 y.,Indirect migration background,Non-denominational,0.32347,55,151,0.24861,0.39834
2015,66 and older,No migration background,Catholic,0.28577,1193,4419,0.27245,0.29909
2015,66 and older,No migration background,Protestant,0.42580,1818,4419,0.41122,0.44038
2015,66 and older,No migration background,Other Christian community,0.01461,53,4419,0.01107,0.01815
2015,66 and older,No migration background,Non-denominational,0.25963,1355,4419,0.24671,0.27256
2015,66 and older,Direct migration background,Catholic,0.41233,160,387,0.36322,0.46144
2015,66 and older,Direct migration background,Protestant,0.21745,108,387,0.17630,0.25860
2015,66 and older,Direct migration background,Other Christian community,0.09225,38,387,0.06338,0.12112
2015,66 and older,Direct migration background,Non-denominational,0.14785,81,387,0.11244,0.18327
2019,17-29 y.,No migration background,Catholic,0.28330,787,2683,0.26625,0.30036
2019,17-29 y.,No migration background,Protestant,0.32784,968,2683,0.31008,0.34561
2019,17-29 y.,No migration background,Other Christian community,0.00929,34,2683,0.00566,0.01292
2019,17-29 y.,No migration background,Non-denominational,0.29561,894,2683,0.27834,0.31288
2019,17-29 y.,Direct migration background,Catholic,0.15682,77,1376,0.13760,0.17604
2019,17-29 y.,Direct migration background,Protestant,0.07509,59,1376,0.06116,0.08902
2019,17-29 y.,Direct migration background,Islamic community,0.06539,77,1376,0.05233,0.07846
2019,17-29 y.,Direct migration background,Other religious community,0.04295,130,1376,0.03224,0.05367
2019,17-29 y.,Direct migration background,Non-denominational,0.23132,144,1376,0.20903,0.25360
2019,17-29 y.,Direct migration background,Christian orthodox,0.08307,123,1376,0.06848,0.09766
2019,17-29 y.,Direct migration background,Shiite denomination,0.05608,76,1376,0.04392,0.06825
2019,17-29 y.,Direct migration background,Sunni denomination,0.21149,690,1376,0.18991,0.23308
2019,17-29 y.,Indirect migration background,Catholic,0.17291,148,633,0.14343,0.20239
2019,17-29 y.,Indirect migration background,Protestant,0.13430,119,633,0.10771,0.16088
2019,17-29 y.,Indirect migration background,Islamic community,0.06816,42,633,0.04851,0.08780
2019,17-29 y.,Indirect migration background,Non-denominational,0.22979,194,633,0.19699,0.26259
2019,17-29 y.,Indirect migration background,Sunni denomination,0.21743,130,633,0.18527,0.24959
2019,30-45 y.,No migration background,Catholic,0.24633,1010,4110,0.23315,0.25950
2019,30-45 y.,No migration background,Protestant,0.28873,1177,4110,0.27487,0.30259
2019,30-45 y.,No migration background,Other Christian community,0.00888,52,4110,0.00601,0.01174
2019,30-45 y.,No migration background,Non-denominational,0.44947,1871,4110,0.43426,0.46468
2019,30-45 y.,Direct migration background,Catholic,0.22217,382,3196,0.20776,0.23659
2019,30-45 y.,Direct migration background,Protestant,0.11698,237,3196,0.10583,0.12812
2019,30-45 y.,Direct migration background,Other Christian community,0.02125,45,3196,0.01625,0.02625
2019,30-45 y.,Direct migration background,Islamic community,0.03906,194,3196,0.03234,0.04578
2019,30-45 y.,Direct migration background,Other religious community,0.02613,179,3196,0.02060,0.03166
2019,30-45 y.,Direct migration background,Non-denominational,0.31193,566,3196,0.29587,0.32800
2019,30-45 y.,Direct migration background,Christian orthodox,0.08508,256,3196,0.07540,0.09475
2019,30-45 y.,Direct migration background,Shiite denomination,0.00919,111,3196,0.00588,0.01250
2019,30-45 y.,Direct migration background,Sunni denomination,0.14784,1226,3196,0.13553,0.16015
2019,30-45 y.,Indirect migration background,Catholic,0.32974,154,489,0.28803,0.37145
2019,30-45 y.,Indirect migration background,Protestant,0.16670,88,489,0.13364,0.19977
2019,30-45 y.,Indirect migration background,Non-denominational,0.28940,185,489,0.24917,0.32964
2019,30-45 y.,Indirect migration background,Sunni denomination,0.12144,62,489,0.09246,0.15042
2019,46-65 y.,No migration background,Catholic,0.25591,2171,8567,0.24666,0.26515
2019,46-65 y.,No migration background,Protestant,0.29417,2602,8567,0.28452,0.30382
2019,46-65 y.,No migration background,Other Christian community,0.01574,127,8567,0.01311,0.01838
2019,46-65 y.,No migration background,Non-denominational,0.42691,3667,8567,0.41643,0.43738
2019,46-65 y.,Direct migration background,Catholic,0.28552,406,2104,0.26622,0.30483
2019,46-65 y.,Direct migration background,Protestant,0.11212,214,2104,0.09864,0.12561
2019,46-65 y.,Direct migration background,Other Christian community,0.03157,44,2104,0.02410,0.03904
2019,46-65 y.,Direct migration background,Islamic community,0.05595,96,2104,0.04612,0.06577
2019,46-65 y.,Direct migration background,Other religious community,0.02294,101,2104,0.01654,0.02934
2019,46-65 y.,Direct migration background,Non-denominational,0.21223,421,2104,0.19475,0.22970
2019,46-65 y.,Direct migration background,Christian orthodox,0.09961,203,2104,0.08681,0.11241
2019,46-65 y.,Direct migration background,Shiite denomination,0.01076,46,2104,0.00635,0.01517
2019,46-65 y.,Direct migration background,Sunni denomination,0.14824,573,2104,0.13306,0.16343
2019,46-65 y.,Indirect migration background,Catholic,0.26612,68,249,0.21112,0.32112
2019,46-65 y.,Indirect migration background,Protestant,0.23170,67,249,0.17919,0.28421
2019,46-65 y.,Indirect migration background,Non-denominational,0.39092,114,249,0.33019,0.45165
2019,66 and older,No migration background,Catholic,0.27376,1240,4687,0.26099,0.28652
2019,66 and older,No migration background,Protestant,0.40102,1710,4687,0.38699,0.41506
2019,66 and older,No migration background,Other Christian community,0.01770,59,4687,0.01392,0.02147
2019,66 and older,No migration background,Non-denominational,0.30340,1678,4687,0.29024,0.31657
2019,66 and older,Direct migration background,Catholic,0.38378,151,395,0.33576,0.43180
2019,66 and older,Direct migration background,Protestant,0.15400,81,395,0.11836,0.18965
2019,66 and older,Direct migration background,Non-denominational,0.22805,123,395,0.18662,0.26948
2019,66 and older,Direct migration background,Christian orthodox,0.09802,40,395,0.06866,0.12738
