year,migback,plh0258_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,No migration background,Non-denominational,0.26927,6555,19069,0.26297,0.27556
2011,Direct migration background,Catholic,0.30055,718,2102,0.28094,0.32015
2011,Direct migration background,Protestant,0.17038,476,2102,0.15430,0.18646
2011,Direct migration background,Other Christian community,0.08223,206,2102,0.07048,0.09398
2011,Direct migration background,Islamic community,0.12134,342,2102,0.10738,0.13531
2011,Direct migration background,Non-denominational,0.14554,360,2102,0.13046,0.16062
2011,Indirect migration background,Catholic,0.15978,309,848,0.13511,0.18446
2011,Indirect migration background,Protestant,0.07477,144,848,0.05705,0.09248
2011,Indirect migration background,Other Christian community,0.02649,74,848,0.01567,0.03730
2011,Indirect migration background,Islamic community,0.06001,153,848,0.04401,0.07600
2011,Indirect migration background,Non-denominational,0.07480,168,848,0.05709,0.09252
2015,No migration background,Catholic,0.24472,5380,19016,0.23861,0.25083
2015,No migration background,Protestant,0.29858,6588,19016,0.29207,0.30508
2015,No migration background,Other Christian community,0.01189,254,19016,0.01035,0.01343
2015,No migration background,Non-denominational,0.29844,6794,19016,0.29194,0.30495
2015,Direct migration background,Catholic,0.29593,1612,5957,0.28434,0.30752
2015,Direct migration background,Protestant,0.15112,857,5957,0.14202,0.16021
2015,Direct migration background,Other Christian community,0.04678,299,5957,0.04142,0.05215
2015,Direct migration background,Islamic community,0.10239,546,5957,0.09469,0.11009
2015,Direct migration background,Other religious community,0.02282,163,5957,0.01903,0.02661
2015,Direct migration background,Non-denominational,0.21795,1374,5957,0.20747,0.22844
2015,Direct migration background,Christian orthodox,0.04410,609,5957,0.03888,0.04931
2015,Direct migration background,Shiite denomination,0.00766,66,5957,0.00545,0.00988
2015,Direct migration background,Sunni denomination,0.05953,397,5957,0.05352,0.06554
2015,Direct migration background,Alevi denomination,0.00617,34,5957,0.00418,0.00816
2015,Indirect migration background,Catholic,0.13976,447,1565,0.12257,0.15694
2015,Indirect migration background,Protestant,0.09262,249,1565,0.07825,0.10699
2015,Indirect migration background,Other Christian community,0.01629,82,1565,0.01002,0.02257
2015,Indirect migration background,Islamic community,0.04771,196,1565,0.03714,0.05827
2015,Indirect migration background,Non-denominational,0.11804,364,1565,0.10205,0.13403
2015,Indirect migration background,Christian orthodox,0.00911,79,1565,0.00440,0.01382
2015,Indirect migration background,Sunni denomination,0.04913,148,1565,0.03842,0.05985
2019,No migration background,Catholic,0.22840,5208,20047,0.22259,0.23421
2019,No migration background,Protestant,0.28457,6457,20047,0.27832,0.29082
2019,No migration background,Other Christian community,0.01207,272,20047,0.01056,0.01358
2019,No migration background,Non-denominational,0.32828,8110,20047,0.32178,0.33478
2019,Direct migration background,Catholic,0.25046,1016,7201,0.24045,0.26047
2019,Direct migration background,Protestant,0.11039,591,7201,0.10316,0.11763
2019,Direct migration background,Other Christian community,0.02362,116,7201,0.02011,0.02712
2019,Direct migration background,Islamic community,0.04829,377,7201,0.04333,0.05324
2019,Direct migration background,Other religious community,0.02409,426,7201,0.02055,0.02763
2019,Direct migration background,Non-denominational,0.24045,1254,7201,0.23058,0.25033
2019,Direct migration background,Christian orthodox,0.08797,622,7201,0.08143,0.09451
2019,Direct migration background,Shiite denomination,0.01411,238,7201,0.01138,0.01683
2019,Direct migration background,Sunni denomination,0.13344,2519,7201,0.12558,0.14129
2019,Direct migration background,Alevi denomination,0.00846,42,7201,0.00634,0.01057
2019,Indirect migration background,Catholic,0.12998,379,1479,0.11284,0.14713
2019,Indirect migration background,Protestant,0.08586,281,1479,0.07158,0.10015
2019,Indirect migration background,Islamic community,0.02298,57,1479,0.01534,0.03062
2019,Indirect migration background,Non-denominational,0.14809,505,1479,0.12998,0.16620
2019,Indirect migration background,Christian orthodox,0.01408,54,1479,0.00807,0.02009
2019,Indirect migration background,Sunni denomination,0.08159,203,1479,0.06764,0.09555
