year,sex,plh0258_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,male,Islamic community,0.02040,369,12207,0.01789,0.02291
2015,male,Other religious community,0.00407,86,12207,0.00294,0.00520
2015,male,Non-denominational,0.29604,4223,12207,0.28794,0.30414
2015,male,Christian orthodox,0.00605,305,12207,0.00468,0.00743
2015,male,Shiite denomination,0.00154,39,12207,0.00084,0.00224
2015,male,Sunni denomination,0.01308,272,12207,0.01106,0.01509
2015,female,Catholic,0.25153,4086,14376,0.24443,0.25862
2015,female,Protestant,0.28281,4397,14376,0.27545,0.29018
2015,female,Other Christian community,0.01861,372,14376,0.01640,0.02082
2015,female,Islamic community,0.01555,387,14376,0.01352,0.01757
2015,female,Other religious community,0.00436,123,14376,0.00328,0.00543
2015,female,Non-denominational,0.25010,4309,14376,0.24302,0.25718
2015,female,Christian orthodox,0.00704,388,14376,0.00567,0.00841
2015,female,Shiite denomination,0.00109,37,14376,0.00055,0.00162
2015,female,Sunni denomination,0.01109,277,14376,0.00938,0.01280
2019,male,Catholic,0.21071,3059,14106,0.20398,0.21744
2019,male,Protestant,0.21859,3248,14106,0.21177,0.22541
2019,male,Other Christian community,0.01240,177,14106,0.01058,0.01423
2019,male,Islamic community,0.00994,236,14106,0.00831,0.01158
2019,male,Other religious community,0.00466,246,14106,0.00354,0.00578
2019,male,Non-denominational,0.32384,5120,14106,0.31612,0.33156
2019,male,Christian orthodox,0.01185,296,14106,0.01007,0.01364
2019,male,Shiite denomination,0.00339,144,14106,0.00243,0.00435
2019,male,Sunni denomination,0.02877,1549,14106,0.02602,0.03153
2019,male,Alevi denomination,0.00222,31,14106,0.00144,0.00300
2019,female,Catholic,0.23322,3543,14721,0.22639,0.24005
2019,female,Protestant,0.26287,4081,14721,0.25576,0.26998
2019,female,Other Christian community,0.01375,235,14721,0.01186,0.01563
2019,female,Islamic community,0.00842,202,14721,0.00694,0.00989
2019,female,Other religious community,0.00465,229,14721,0.00355,0.00575
2019,female,Non-denominational,0.27378,4744,14721,0.26658,0.28099
2019,female,Christian orthodox,0.01592,386,14721,0.01390,0.01795
2019,female,Shiite denomination,0.00236,112,14721,0.00157,0.00314
2019,female,Sunni denomination,0.02553,1189,14721,0.02298,0.02808
