"plh0033","year","bula_h","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"Grosse Sorgen","1984","Saarland","Migrationshintergrund - n. w. differenzierbar","","","",""
"Grosse Sorgen","1984","Berlin","kein Migrationshintergrund","50","0.175947361973628","0.131817361579242","0.220077362368015"
"Grosse Sorgen","1984","Berlin","direkter Migrationshintergrund","47","0.289593481662156","0.207053008073835","0.372133955250477"
"Grosse Sorgen","1984","Berlin","indirekter Migrationshintergrund","","","",""
"Grosse Sorgen","1984","Berlin","Migrationshintergrund - n. w. differenzierbar","","","",""
"Grosse Sorgen","1984","Brandenburg","kein Migrationshintergrund","","","",""
"Grosse Sorgen","1984","Brandenburg","direkter Migrationshintergrund","","","",""
"Grosse Sorgen","1984","Brandenburg","indirekter Migrationshintergrund","","","",""
"Grosse Sorgen","1984","Brandenburg","Migrationshintergrund - n. w. differenzierbar","","","",""
"Grosse Sorgen","1984","Mecklenburg-Vorpommern","kein Migrationshintergrund","","","",""
"Grosse Sorgen","1984","Mecklenburg-Vorpommern","direkter Migrationshintergrund","","","",""
"Grosse Sorgen","1984","Mecklenburg-Vorpommern","indirekter Migrationshintergrund","","","",""
"Grosse Sorgen","1984","Mecklenburg-Vorpommern","Migrationshintergrund - n. w. differenzierbar","","","",""
"Grosse Sorgen","1984","Sachsen","kein Migrationshintergrund","","","",""
"Grosse Sorgen","1984","Sachsen","direkter Migrationshintergrund","","","",""
"Grosse Sorgen","1984","Sachsen","indirekter Migrationshintergrund","","","",""
"Grosse Sorgen","1984","Sachsen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Grosse Sorgen","1984","Sachsen-Anhalt","kein Migrationshintergrund","","","",""
"Grosse Sorgen","1984","Sachsen-Anhalt","direkter Migrationshintergrund","","","",""
"Grosse Sorgen","1984","Sachsen-Anhalt","indirekter Migrationshintergrund","","","",""
"Grosse Sorgen","1984","Sachsen-Anhalt","Migrationshintergrund - n. w. differenzierbar","","","",""
"Grosse Sorgen","1984","Thueringen","kein Migrationshintergrund","","","",""
"Grosse Sorgen","1984","Thueringen","direkter Migrationshintergrund","","","",""
"Grosse Sorgen","1984","Thueringen","indirekter Migrationshintergrund","","","",""
"Grosse Sorgen","1984","Thueringen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Einige Sorgen","1984","Schleswig-Holstein","kein Migrationshintergrund","134","","",""
"Einige Sorgen","1984","Schleswig-Holstein","direkter Migrationshintergrund","17","","",""
"Einige Sorgen","1984","Schleswig-Holstein","indirekter Migrationshintergrund","4","0.792430028748519","0.436941317740327","1.14791873975671"
"Einige Sorgen","1984","Schleswig-Holstein","Migrationshintergrund - n. w. differenzierbar","","","",""
"Einige Sorgen","1984","Hamburg","kein Migrationshintergrund","89","0.401250405742774","0.336035242991732","0.466465568493816"
"Einige Sorgen","1984","Hamburg","direkter Migrationshintergrund","30","0.355425875909213","0.255421798019368","0.455429953799059"
"Einige Sorgen","1984","Hamburg","indirekter Migrationshintergrund","1","","",""
"Einige Sorgen","1984","Hamburg","Migrationshintergrund - n. w. differenzierbar","","","",""
"Einige Sorgen","1984","Niedersachsen","kein Migrationshintergrund","464","0.447969162756055","0.417315791712894","0.478622533799216"
"Einige Sorgen","1984","Niedersachsen","direkter Migrationshintergrund","86","0.448605641789014","0.37879939151934","0.518411892058688"
"Einige Sorgen","1984","Niedersachsen","indirekter Migrationshintergrund","","","",""
"Einige Sorgen","1984","Niedersachsen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Einige Sorgen","1984","Bremen","kein Migrationshintergrund","31","0.302740571250906","0.211776987102792","0.393704155399021"
"Einige Sorgen","1984","Bremen","direkter Migrationshintergrund","6","0.175492683187353","0.0476324781391535","0.303352888235553"
"Einige Sorgen","1984","Bremen","indirekter Migrationshintergrund","","","",""
"Einige Sorgen","1984","Bremen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Einige Sorgen","1984","Nordrhein-Westfalen","kein Migrationshintergrund","954","0.413297968079862","0.392905747834023","0.433690188325701"
"Einige Sorgen","1984","Nordrhein-Westfalen","direkter Migrationshintergrund","409","0.454849658314201","0.422846068354131","0.486853248274271"
"Einige Sorgen","1984","Nordrhein-Westfalen","indirekter Migrationshintergrund","22","","",""
"Einige Sorgen","1984","Nordrhein-Westfalen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Einige Sorgen","1984","Hessen","kein Migrationshintergrund","299","","",""
"Einige Sorgen","1984","Hessen","direkter Migrationshintergrund","211","","",""
"Einige Sorgen","1984","Hessen","indirekter Migrationshintergrund","4","0.118143913251181","-0.0644818324691157","0.300769658971477"
"Einige Sorgen","1984","Hessen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Einige Sorgen","1984","Rheinland-Pfalz,Saarland","kein Migrationshintergrund","322","0.460352998389645","0.423136213494659","0.497569783284631"
"Einige Sorgen","1984","Rheinland-Pfalz,Saarland","direkter Migrationshintergrund","72","0.506129022622083","0.425851801556212","0.586406243687955"
"Einige Sorgen","1984","Rheinland-Pfalz,Saarland","indirekter Migrationshintergrund","3","","",""
"Einige Sorgen","1984","Rheinland-Pfalz,Saarland","Migrationshintergrund - n. w. differenzierbar","","","",""
"Einige Sorgen","1984","Baden-Wuerttemberg","kein Migrationshintergrund","597","0.437590826357584","0.410959467991052","0.464222184724117"
"Einige Sorgen","1984","Baden-Wuerttemberg","direkter Migrationshintergrund","364","0.439565131919531","0.406584220275102","0.472546043563961"
"Einige Sorgen","1984","Baden-Wuerttemberg","indirekter Migrationshintergrund","12","","",""
"Einige Sorgen","1984","Baden-Wuerttemberg","Migrationshintergrund - n. w. differenzierbar","","","",""
"Einige Sorgen","1984","Bayern","kein Migrationshintergrund","700","0.430909558029645","0.406561190319969","0.455257925739322"
"Einige Sorgen","1984","Bayern","direkter Migrationshintergrund","195","","",""
"Einige Sorgen","1984","Bayern","indirekter Migrationshintergrund","12","","",""
"Einige Sorgen","1984","Bayern","Migrationshintergrund - n. w. differenzierbar","","","",""
"Einige Sorgen","1984","Saarland","kein Migrationshintergrund","","","",""
"Einige Sorgen","1984","Saarland","direkter Migrationshintergrund","","","",""
"Einige Sorgen","1984","Saarland","indirekter Migrationshintergrund","","","",""
"Einige Sorgen","1984","Saarland","Migrationshintergrund - n. w. differenzierbar","","","",""
"Einige Sorgen","1984","Berlin","kein Migrationshintergrund","107","","",""
"Einige Sorgen","1984","Berlin","direkter Migrationshintergrund","56","0.559851814361279","0.469517011861606","0.650186616860952"
"Einige Sorgen","1984","Berlin","indirekter Migrationshintergrund","1","","",""
"Einige Sorgen","1984","Berlin","Migrationshintergrund - n. w. differenzierbar","","","",""
"Einige Sorgen","1984","Brandenburg","kein Migrationshintergrund","","","",""
"Einige Sorgen","1984","Brandenburg","direkter Migrationshintergrund","","","",""
"Einige Sorgen","1984","Brandenburg","indirekter Migrationshintergrund","","","",""
"Einige Sorgen","1984","Brandenburg","Migrationshintergrund - n. w. differenzierbar","","","",""
"Einige Sorgen","1984","Mecklenburg-Vorpommern","kein Migrationshintergrund","","","",""
"Einige Sorgen","1984","Mecklenburg-Vorpommern","direkter Migrationshintergrund","","","",""
"Einige Sorgen","1984","Mecklenburg-Vorpommern","indirekter Migrationshintergrund","","","",""
"Einige Sorgen","1984","Mecklenburg-Vorpommern","Migrationshintergrund - n. w. differenzierbar","","","",""
"Einige Sorgen","1984","Sachsen","kein Migrationshintergrund","","","",""
"Einige Sorgen","1984","Sachsen","direkter Migrationshintergrund","","","",""
"Einige Sorgen","1984","Sachsen","indirekter Migrationshintergrund","","","",""
"Einige Sorgen","1984","Sachsen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Einige Sorgen","1984","Sachsen-Anhalt","kein Migrationshintergrund","","","",""
"Einige Sorgen","1984","Sachsen-Anhalt","direkter Migrationshintergrund","","","",""
"Einige Sorgen","1984","Sachsen-Anhalt","indirekter Migrationshintergrund","","","",""
"Einige Sorgen","1984","Sachsen-Anhalt","Migrationshintergrund - n. w. differenzierbar","","","",""
"Einige Sorgen","1984","Thueringen","kein Migrationshintergrund","","","",""
"Einige Sorgen","1984","Thueringen","direkter Migrationshintergrund","","","",""
"Einige Sorgen","1984","Thueringen","indirekter Migrationshintergrund","","","",""
"Einige Sorgen","1984","Thueringen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Keine Sorgen","1984","Schleswig-Holstein","kein Migrationshintergrund","154","","",""
"Keine Sorgen","1984","Schleswig-Holstein","direkter Migrationshintergrund","14","","",""
"Keine Sorgen","1984","Schleswig-Holstein","indirekter Migrationshintergrund","1","","",""
"Keine Sorgen","1984","Schleswig-Holstein","Migrationshintergrund - n. w. differenzierbar","","","",""
"Keine Sorgen","1984","Hamburg","kein Migrationshintergrund","88","0.429468325973888","0.363608030650569","0.495328621297206"
"Keine Sorgen","1984","Hamburg","direkter Migrationshintergrund","25","","",""
"Keine Sorgen","1984","Hamburg","indirekter Migrationshintergrund","","","",""
"Keine Sorgen","1984","Hamburg","Migrationshintergrund - n. w. differenzierbar","","","",""
"Keine Sorgen","1984","Niedersachsen","kein Migrationshintergrund","370","0.379108858678823","0.349202591332511","0.409015126025135"
"Keine Sorgen","1984","Niedersachsen","direkter Migrationshintergrund","50","0.241693039608874","0.181605367610312","0.301780711607437"
"Keine Sorgen","1984","Niedersachsen","indirekter Migrationshintergrund","1","","",""
"Keine Sorgen","1984","Niedersachsen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Keine Sorgen","1984","Bremen","kein Migrationshintergrund","31","0.333552724810599","0.240205760747207","0.42689968887399"
"Keine Sorgen","1984","Bremen","direkter Migrationshintergrund","8","0.355462074076052","0.194571905615741","0.516352242536364"
"Keine Sorgen","1984","Bremen","indirekter Migrationshintergrund","","","",""
"Keine Sorgen","1984","Bremen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Keine Sorgen","1984","Nordrhein-Westfalen","kein Migrationshintergrund","840","0.385667640369747","0.365510339495137","0.405824941244357"
"Keine Sorgen","1984","Nordrhein-Westfalen","direkter Migrationshintergrund","209","","",""
"Keine Sorgen","1984","Nordrhein-Westfalen","indirekter Migrationshintergrund","10","","",""
"Keine Sorgen","1984","Nordrhein-Westfalen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Keine Sorgen","1984","Hessen","kein Migrationshintergrund","325","0.439954609552951","0.404524053541819","0.475385165564084"
"Keine Sorgen","1984","Hessen","direkter Migrationshintergrund","137","","",""
"Keine Sorgen","1984","Hessen","indirekter Migrationshintergrund","3","","",""
"Keine Sorgen","1984","Hessen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Keine Sorgen","1984","Rheinland-Pfalz,Saarland","kein Migrationshintergrund","217","","",""
"Keine Sorgen","1984","Rheinland-Pfalz,Saarland","direkter Migrationshintergrund","38","0.245606961354671","0.176491672257938","0.314722250451403"
"Keine Sorgen","1984","Rheinland-Pfalz,Saarland","indirekter Migrationshintergrund","1","","",""
"Keine Sorgen","1984","Rheinland-Pfalz,Saarland","Migrationshintergrund - n. w. differenzierbar","","","",""
"Keine Sorgen","1984","Baden-Wuerttemberg","kein Migrationshintergrund","553","0.42712566117241","0.400571014154487","0.453680308190334"
"Keine Sorgen","1984","Baden-Wuerttemberg","direkter Migrationshintergrund","292","","",""
"Keine Sorgen","1984","Baden-Wuerttemberg","indirekter Migrationshintergrund","10","","",""
"Keine Sorgen","1984","Baden-Wuerttemberg","Migrationshintergrund - n. w. differenzierbar","","","",""
"Keine Sorgen","1984","Bayern","kein Migrationshintergrund","646","0.419125361614578","0.394864885452206","0.44338583777695"
"Keine Sorgen","1984","Bayern","direkter Migrationshintergrund","118","","",""
"Keine Sorgen","1984","Bayern","indirekter Migrationshintergrund","8","0.342500979970462","0.163504424745839","0.521497535195084"
"Keine Sorgen","1984","Bayern","Migrationshintergrund - n. w. differenzierbar","","","",""
"Keine Sorgen","1984","Saarland","kein Migrationshintergrund","","","",""
"Keine Sorgen","1984","Saarland","direkter Migrationshintergrund","","","",""
"Keine Sorgen","1984","Saarland","indirekter Migrationshintergrund","","","",""
"Keine Sorgen","1984","Saarland","Migrationshintergrund - n. w. differenzierbar","","","",""
"Keine Sorgen","1984","Berlin","kein Migrationshintergrund","129","","",""
"Keine Sorgen","1984","Berlin","direkter Migrationshintergrund","13","","",""
"Keine Sorgen","1984","Berlin","indirekter Migrationshintergrund","1","","",""
"Keine Sorgen","1984","Berlin","Migrationshintergrund - n. w. differenzierbar","","","",""
"Keine Sorgen","1984","Brandenburg","kein Migrationshintergrund","","","",""
"Keine Sorgen","1984","Brandenburg","direkter Migrationshintergrund","","","",""
"Keine Sorgen","1984","Brandenburg","indirekter Migrationshintergrund","","","",""
"Keine Sorgen","1984","Brandenburg","Migrationshintergrund - n. w. differenzierbar","","","",""
"Keine Sorgen","1984","Mecklenburg-Vorpommern","kein Migrationshintergrund","","","",""
"Keine Sorgen","1984","Mecklenburg-Vorpommern","direkter Migrationshintergrund","","","",""
"Keine Sorgen","1984","Mecklenburg-Vorpommern","indirekter Migrationshintergrund","","","",""
"Keine Sorgen","1984","Mecklenburg-Vorpommern","Migrationshintergrund - n. w. differenzierbar","","","",""
"Keine Sorgen","1984","Sachsen","kein Migrationshintergrund","","","",""
"Keine Sorgen","1984","Sachsen","direkter Migrationshintergrund","","","",""
"Keine Sorgen","1984","Sachsen","indirekter Migrationshintergrund","","","",""
"Keine Sorgen","1984","Sachsen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Keine Sorgen","1984","Sachsen-Anhalt","kein Migrationshintergrund","","","",""
"Keine Sorgen","1984","Sachsen-Anhalt","direkter Migrationshintergrund","","","",""
"Keine Sorgen","1984","Sachsen-Anhalt","indirekter Migrationshintergrund","","","",""
"Keine Sorgen","1984","Sachsen-Anhalt","Migrationshintergrund - n. w. differenzierbar","","","",""
"Keine Sorgen","1984","Thueringen","kein Migrationshintergrund","","","",""
"Keine Sorgen","1984","Thueringen","direkter Migrationshintergrund","","","",""
"Keine Sorgen","1984","Thueringen","indirekter Migrationshintergrund","","","",""
"Keine Sorgen","1984","Thueringen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Grosse Sorgen","1985","Schleswig-Holstein","kein Migrationshintergrund","53","0.162023590491948","0.120872840473889","0.203174340510007"
"Grosse Sorgen","1985","Schleswig-Holstein","direkter Migrationshintergrund","12","","",""
"Grosse Sorgen","1985","Schleswig-Holstein","indirekter Migrationshintergrund","","","",""
"Grosse Sorgen","1985","Schleswig-Holstein","Migrationshintergrund - n. w. differenzierbar","","","",""
"Grosse Sorgen","1985","Hamburg","kein Migrationshintergrund","25","","",""
"Grosse Sorgen","1985","Hamburg","direkter Migrationshintergrund","36","0.49097081914784","0.373014088811005","0.608927549484675"
"Grosse Sorgen","1985","Hamburg","indirekter Migrationshintergrund","","","",""
"Grosse Sorgen","1985","Hamburg","Migrationshintergrund - n. w. differenzierbar","","","",""
"Grosse Sorgen","1985","Niedersachsen","kein Migrationshintergrund","196","","",""
"Grosse Sorgen","1985","Niedersachsen","direkter Migrationshintergrund","45","0.263580420659153","0.192838932194032","0.334321909124274"
"Grosse Sorgen","1985","Niedersachsen","indirekter Migrationshintergrund","2","","",""
"Grosse Sorgen","1985","Niedersachsen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Grosse Sorgen","1985","Bremen","kein Migrationshintergrund","33","0.37815514697867","0.275666703991055","0.480643589966285"
"Grosse Sorgen","1985","Bremen","direkter Migrationshintergrund","18","","",""
"Grosse Sorgen","1985","Bremen","indirekter Migrationshintergrund","","","",""
"Grosse Sorgen","1985","Bremen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Grosse Sorgen","1985","Nordrhein-Westfalen","kein Migrationshintergrund","397","0.196799734923266","0.179758728084332","0.2138407417622"
"Grosse Sorgen","1985","Nordrhein-Westfalen","direkter Migrationshintergrund","231","","",""
"Grosse Sorgen","1985","Nordrhein-Westfalen","indirekter Migrationshintergrund","13","","",""
"Grosse Sorgen","1985","Nordrhein-Westfalen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Grosse Sorgen","1985","Hessen","kein Migrationshintergrund","103","","",""
"Grosse Sorgen","1985","Hessen","direkter Migrationshintergrund","110","","",""
"Grosse Sorgen","1985","Hessen","indirekter Migrationshintergrund","1","","",""
"Grosse Sorgen","1985","Hessen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Grosse Sorgen","1985","Rheinland-Pfalz,Saarland","kein Migrationshintergrund","151","","",""
"Grosse Sorgen","1985","Rheinland-Pfalz,Saarland","direkter Migrationshintergrund","36","0.313287659128243","0.232299432701881","0.394275885554604"
"Grosse Sorgen","1985","Rheinland-Pfalz,Saarland","indirekter Migrationshintergrund","4","0.491197799387781","0.144775536498764","0.837620062276798"
"Grosse Sorgen","1985","Rheinland-Pfalz,Saarland","Migrationshintergrund - n. w. differenzierbar","","","",""
"Grosse Sorgen","1985","Baden-Wuerttemberg","kein Migrationshintergrund","168","","",""
"Grosse Sorgen","1985","Baden-Wuerttemberg","direkter Migrationshintergrund","183","","",""
"Grosse Sorgen","1985","Baden-Wuerttemberg","indirekter Migrationshintergrund","3","","",""
"Grosse Sorgen","1985","Baden-Wuerttemberg","Migrationshintergrund - n. w. differenzierbar","","","",""
"Grosse Sorgen","1985","Bayern","kein Migrationshintergrund","252","","",""
"Grosse Sorgen","1985","Bayern","direkter Migrationshintergrund","79","0.246212935119227","0.202434887018838","0.289990983219617"
"Grosse Sorgen","1985","Bayern","indirekter Migrationshintergrund","3","","",""
"Grosse Sorgen","1985","Bayern","Migrationshintergrund - n. w. differenzierbar","","","",""
"Grosse Sorgen","1985","Saarland","kein Migrationshintergrund","","","",""
"Grosse Sorgen","1985","Saarland","direkter Migrationshintergrund","","","",""
"Grosse Sorgen","1985","Saarland","indirekter Migrationshintergrund","","","",""
"Grosse Sorgen","1985","Saarland","Migrationshintergrund - n. w. differenzierbar","","","",""
"Grosse Sorgen","1985","Berlin","kein Migrationshintergrund","43","0.154508656781652","0.109971876046752","0.199045437516552"
"Grosse Sorgen","1985","Berlin","direkter Migrationshintergrund","33","0.226289803448257","0.145087255253846","0.307492351642667"
"Grosse Sorgen","1985","Berlin","indirekter Migrationshintergrund","1","","",""
"Grosse Sorgen","1985","Berlin","Migrationshintergrund - n. w. differenzierbar","","","",""
"Grosse Sorgen","1985","Brandenburg","kein Migrationshintergrund","","","",""
"Grosse Sorgen","1985","Brandenburg","direkter Migrationshintergrund","","","",""
"Grosse Sorgen","1985","Brandenburg","indirekter Migrationshintergrund","","","",""
"Grosse Sorgen","1985","Brandenburg","Migrationshintergrund - n. w. differenzierbar","","","",""
"Grosse Sorgen","1985","Mecklenburg-Vorpommern","kein Migrationshintergrund","","","",""
"Grosse Sorgen","1985","Mecklenburg-Vorpommern","direkter Migrationshintergrund","","","",""
"Grosse Sorgen","1985","Mecklenburg-Vorpommern","indirekter Migrationshintergrund","","","",""
"Grosse Sorgen","1985","Mecklenburg-Vorpommern","Migrationshintergrund - n. w. differenzierbar","","","",""
"Grosse Sorgen","1985","Sachsen","kein Migrationshintergrund","","","",""
"Grosse Sorgen","1985","Sachsen","direkter Migrationshintergrund","","","",""
"Grosse Sorgen","1985","Sachsen","indirekter Migrationshintergrund","","","",""
"Grosse Sorgen","1985","Sachsen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Grosse Sorgen","1985","Sachsen-Anhalt","kein Migrationshintergrund","","","",""
"Grosse Sorgen","1985","Sachsen-Anhalt","direkter Migrationshintergrund","","","",""
"Grosse Sorgen","1985","Sachsen-Anhalt","indirekter Migrationshintergrund","","","",""
"Grosse Sorgen","1985","Sachsen-Anhalt","Migrationshintergrund - n. w. differenzierbar","","","",""
"Grosse Sorgen","1985","Thueringen","kein Migrationshintergrund","","","",""
"Grosse Sorgen","1985","Thueringen","direkter Migrationshintergrund","","","",""
"Grosse Sorgen","1985","Thueringen","indirekter Migrationshintergrund","","","",""
"Grosse Sorgen","1985","Thueringen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Einige Sorgen","1985","Schleswig-Holstein","kein Migrationshintergrund","147","","",""
"Einige Sorgen","1985","Schleswig-Holstein","direkter Migrationshintergrund","20","","",""
"Einige Sorgen","1985","Schleswig-Holstein","indirekter Migrationshintergrund","1","","",""
"Einige Sorgen","1985","Schleswig-Holstein","Migrationshintergrund - n. w. differenzierbar","","","",""
"Einige Sorgen","1985","Hamburg","kein Migrationshintergrund","91","0.439746185454191","0.371127323051325","0.508365047857057"
"Einige Sorgen","1985","Hamburg","direkter Migrationshintergrund","21","","",""
"Einige Sorgen","1985","Hamburg","indirekter Migrationshintergrund","2","","",""
"Einige Sorgen","1985","Hamburg","Migrationshintergrund - n. w. differenzierbar","","","",""
"Einige Sorgen","1985","Niedersachsen","kein Migrationshintergrund","439","0.461513136810445","0.429576457539686","0.493449816081205"
"Einige Sorgen","1985","Niedersachsen","direkter Migrationshintergrund","73","0.530643020667317","0.450510680647501","0.610775360687132"
"Einige Sorgen","1985","Niedersachsen","indirekter Migrationshintergrund","4","0.84220296548827","0.58958693920965","1.09481899176689"
"Einige Sorgen","1985","Niedersachsen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Einige Sorgen","1985","Bremen","kein Migrationshintergrund","27","","",""
"Einige Sorgen","1985","Bremen","direkter Migrationshintergrund","5","0.133204581531107","0.00259371767692151","0.263815445385292"
"Einige Sorgen","1985","Bremen","indirekter Migrationshintergrund","","","",""
"Einige Sorgen","1985","Bremen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Einige Sorgen","1985","Nordrhein-Westfalen","kein Migrationshintergrund","916","0.422973121983732","0.401798021417441","0.444148222550023"
"Einige Sorgen","1985","Nordrhein-Westfalen","direkter Migrationshintergrund","354","0.438568092183019","0.403722614409673","0.473413569956364"
"Einige Sorgen","1985","Nordrhein-Westfalen","indirekter Migrationshintergrund","19","","",""
"Einige Sorgen","1985","Nordrhein-Westfalen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Einige Sorgen","1985","Hessen","kein Migrationshintergrund","309","0.442176834039763","0.40527994609869","0.479073721980836"
"Einige Sorgen","1985","Hessen","direkter Migrationshintergrund","195","","",""
"Einige Sorgen","1985","Hessen","indirekter Migrationshintergrund","6","0.195648629593725","-0.0387812997245352","0.430078558911986"
"Einige Sorgen","1985","Hessen","Migrationshintergrund - n. w. differenzierbar","","","",""
"Einige Sorgen","1985","Rheinland-Pfalz,Saarland","kein Migrationshintergrund","293","","",""
"Einige Sorgen","1985","Rheinland-Pfalz,Saarland","direkter Migrationshintergrund","59","0.452972968261852","0.366056242984578","0.539889693539126"
"Einige Sorgen","1985","Rheinland-Pfalz,Saarland","indirekter Migrationshintergrund","3","","",""
"Einige Sorgen","1985","Rheinland-Pfalz,Saarland","Migrationshintergrund - n. w. differenzierbar","","","",""
"Einige Sorgen","1985","Baden-Wuerttemberg","kein Migrationshintergrund","535","0.433794640980977","0.405893249663022","0.461696032298933"
"Einige Sorgen","1985","Baden-Wuerttemberg","direkter Migrationshintergrund","336","0.423428477471191","0.388619261918192","0.45823769302419"
"Einige Sorgen","1985","Baden-Wuerttemberg","indirekter Migrationshintergrund","15","","",""
"Einige Sorgen","1985","Baden-Wuerttemberg","Migrationshintergrund - n. w. differenzierbar","","","",""
"Einige Sorgen","1985","Bayern","kein Migrationshintergrund","638","0.429794865585522","0.404375512807783","0.455214218363261"
"Einige Sorgen","1985","Bayern","direkter Migrationshintergrund","183","","",""
"Einige Sorgen","1985","Bayern","indirekter Migrationshintergrund","17","","",""
"Einige Sorgen","1985","Bayern","Migrationshintergrund - n. w. differenzierbar","","","",""
"Einige Sorgen","1985","Saarland","kein Migrationshintergrund","","","",""
