"plh0033","year","regtyp","n","percent","lower_confidence","upper_confidence"
"Keine Sorgen","1988","Laendlicher Raum","727","0.379991283700908","0.359030853321624","0.400951714080192"
"Einige Sorgen","1989","Staedtischer Raum","3326","0.42353288174659","0.412399021666035","0.434666741827145"
"Einige Sorgen","1989","Laendlicher Raum","910","0.438120790163742","0.416070886273944","0.46017069405354"
"Große Sorgen","1989","Staedtischer Raum","1158","0.118942009604334","0.111647689708207","0.126236329500461"
"Große Sorgen","1989","Laendlicher Raum","307","0.14895962902509","0.133136307228313","0.164782950821867"
"Keine Sorgen","1989","Staedtischer Raum","3082","0.457525108649076","0.446299440237391","0.468750777060761"
"Keine Sorgen","1989","Laendlicher Raum","728","0.412919580811168","0.391038446854077","0.434800714768259"
"Einige Sorgen","1990","Staedtischer Raum","4002","0.426640622280672","0.416332767625873","0.436948476935471"
"Einige Sorgen","1990","Laendlicher Raum","2538","0.489190336147011","0.475067931627563","0.503312740666459"
"Große Sorgen","1990","Staedtischer Raum","1567","0.13621257905415","0.129063735884451","0.14336142222385"
"Große Sorgen","1990","Laendlicher Raum","1161","0.200399846579816","0.189090818382291","0.211708874777341"
"Keine Sorgen","1990","Staedtischer Raum","3275","0.437146798665178","0.426808836331275","0.44748476099908"
"Keine Sorgen","1990","Laendlicher Raum","1114","0.310409817273174","0.297338979656772","0.323480654889575"
"Einige Sorgen","1991","Staedtischer Raum","3969","0.432620824448499","0.422188543474218","0.443053105422779"
"Einige Sorgen","1991","Laendlicher Raum","2302","0.459965938781521","0.445736991057767","0.474194886505275"
"Große Sorgen","1991","Staedtischer Raum","1427","0.130352544851859","0.123262969193829","0.137442120509888"
"Große Sorgen","1991","Laendlicher Raum","1336","0.22775673209201","0.215783482162749","0.239729982021271"
"Keine Sorgen","1991","Staedtischer Raum","3268","0.437026630699643","0.4265821525416","0.447471108857685"
"Keine Sorgen","1991","Laendlicher Raum","1075","0.312277329126469","0.299046828739172","0.325507829513766"
"Einige Sorgen","1992","Staedtischer Raum","4121","0.470317547582706","0.459741059893815","0.480894035271596"
"Einige Sorgen","1992","Laendlicher Raum","2438","0.528024251790338","0.513457915833801","0.542590587746875"
"Große Sorgen","1992","Staedtischer Raum","1593","0.150997992344168","0.143410853543775","0.15858513114456"
"Große Sorgen","1992","Laendlicher Raum","1105","0.205227066359438","0.193442804121809","0.217011328597067"
"Keine Sorgen","1992","Staedtischer Raum","2841","0.378684460073126","0.368405884488697","0.388963035657555"
"Keine Sorgen","1992","Laendlicher Raum","969","0.266748681850224","0.253844183907236","0.279653179793212"
"Einige Sorgen","1993","Staedtischer Raum","4250","0.486823852514048","0.476202519390825","0.49744518563727"
"Einige Sorgen","1993","Laendlicher Raum","2459","0.534817953622413","0.520233359649207","0.54940254759562"
"Große Sorgen","1993","Staedtischer Raum","1643","0.158934835892396","0.151165493765793","0.166704178018998"
"Große Sorgen","1993","Laendlicher Raum","1026","0.196933727244323","0.185305443369869","0.208562011118777"
"Keine Sorgen","1993","Staedtischer Raum","2614","0.354241311593557","0.344077780801276","0.364404842385837"
"Keine Sorgen","1993","Laendlicher Raum","1008","0.268248319133263","0.255293532910731","0.281203105355795"
"Einige Sorgen","1994","Staedtischer Raum","4283","0.497358835878682","0.486664595058294","0.508053076699069"
"Einige Sorgen","1994","Laendlicher Raum","2495","0.537429383788854","0.522695378048645","0.552163389529064"
"Große Sorgen","1994","Staedtischer Raum","1780","0.179422998357815","0.171215992568076","0.187630004147553"
"Große Sorgen","1994","Laendlicher Raum","1018","0.211234367416696","0.199172143420409","0.223296591412983"
"Keine Sorgen","1994","Staedtischer Raum","2334","0.323218165763504","0.313214521450665","0.333221810076342"
"Keine Sorgen","1994","Laendlicher Raum","886","0.25133624879445","0.238517605059391","0.264154892529508"
"Einige Sorgen","1995","Staedtischer Raum","4287","0.473539332727753","0.463004470742491","0.484074194713014"
"Einige Sorgen","1995","Laendlicher Raum","2495","0.527629940100991","0.513091932645579","0.542167947556403"
"Große Sorgen","1995","Staedtischer Raum","1743","0.169571383716605","0.161653752094976","0.177489015338235"
"Große Sorgen","1995","Laendlicher Raum","946","0.182497868061625","0.171249945060625","0.193745791062625"
"Keine Sorgen","1995","Staedtischer Raum","2599","0.356889283555642","0.346780998433081","0.366997568678203"
"Keine Sorgen","1995","Laendlicher Raum","1089","0.289872191837384","0.276660132148675","0.303084251526094"
"Einige Sorgen","1996","Staedtischer Raum","4514","0.522461217592225","0.511826273426402","0.533096161758047"
"Einige Sorgen","1996","Laendlicher Raum","2519","0.530952432791891","0.516405645485497","0.545499220098285"
"Große Sorgen","1996","Staedtischer Raum","1640","0.159942858815905","0.152138437572872","0.167747280058938"
"Große Sorgen","1996","Laendlicher Raum","946","0.186752071581994","0.175392157823268","0.198111985340719"
"Keine Sorgen","1996","Staedtischer Raum","2320","0.31759592359187","0.307683904561386","0.327507942622355"
"Keine Sorgen","1996","Laendlicher Raum","1056","0.282295495626115","0.269174836650739","0.295416154601492"
"Einige Sorgen","1997","Staedtischer Raum","4570","0.539283366721369","0.528578602192231","0.549988131250506"
"Einige Sorgen","1997","Laendlicher Raum","2618","0.557568195065761","0.542972060191757","0.572164329939764"
"Große Sorgen","1997","Staedtischer Raum","1833","0.188910960951797","0.180504474743718","0.197317447159876"
"Große Sorgen","1997","Laendlicher Raum","1019","0.216110878637961","0.204015169498556","0.228206587777366"
"Keine Sorgen","1997","Staedtischer Raum","1926","0.271805672326834","0.262251247150103","0.281360097503566"
"Keine Sorgen","1997","Laendlicher Raum","811","0.226320926296278","0.214023662686596","0.23861818990596"
"Einige Sorgen","1998","Staedtischer Raum","4699","0.501514207437803","0.491301675010973","0.511726739864633"
"Einige Sorgen","1998","Laendlicher Raum","2623","0.511922172929915","0.498002898434329","0.5258414474255"
"Große Sorgen","1998","Staedtischer Raum","2230","0.219667163575279","0.211210716249049","0.228123610901509"
"Große Sorgen","1998","Laendlicher Raum","1347","0.25508685534894","0.242948301513357","0.267225409184523"
"Keine Sorgen","1998","Staedtischer Raum","2279","0.278818628986918","0.269659618014416","0.287977639959421"
"Keine Sorgen","1998","Laendlicher Raum","984","0.232990971721145","0.221219253057287","0.244762690385004"
"Einige Sorgen","1999","Staedtischer Raum","4510","0.488878293465439","0.478448447819433","0.499308139111446"
"Einige Sorgen","1999","Laendlicher Raum","2639","0.525316895721143","0.511185801135904","0.539447990306383"
"Große Sorgen","1999","Staedtischer Raum","1643","0.164974124398117","0.157229983890928","0.172718264905307"
"Große Sorgen","1999","Laendlicher Raum","950","0.17591075721763","0.16513627141118","0.18668524302408"
"Keine Sorgen","1999","Staedtischer Raum","2671","0.346147582136444","0.336221317268867","0.35607384700402"
"Keine Sorgen","1999","Laendlicher Raum","1208","0.298772347061227","0.285819568281886","0.311725125840567"
"Einige Sorgen","2000","Staedtischer Raum","7224","0.455531884759327","0.447693947019938","0.463369822498717"
"Einige Sorgen","2000","Laendlicher Raum","4234","0.490914758854555","0.480205541876874","0.501623975832237"
"Große Sorgen","2000","Staedtischer Raum","2609","0.158655265032449","0.152905230827879","0.164405299237019"
"Große Sorgen","2000","Laendlicher Raum","1633","0.181139811276241","0.172889482528041","0.189390140024441"
"Keine Sorgen","2000","Staedtischer Raum","5676","0.385812850208224","0.378151683721992","0.393474016694456"
"Keine Sorgen","2000","Laendlicher Raum","2504","0.327945429869204","0.31788856809637","0.338002291642038"
"Einige Sorgen","2001","Staedtischer Raum","6657","0.459309196179883","0.451097599179387","0.467520793180378"
"Einige Sorgen","2001","Laendlicher Raum","3830","0.476209237621227","0.464977110054742","0.487441365187713"
"Große Sorgen","2001","Staedtischer Raum","2239","0.151580607443055","0.145671421168825","0.157489793717286"
"Große Sorgen","2001","Laendlicher Raum","1483","0.186195868648083","0.177441412587081","0.194950324709084"
"Keine Sorgen","2001","Staedtischer Raum","5252","0.389110196377062","0.381076446443772","0.397143946310352"
"Keine Sorgen","2001","Laendlicher Raum","2282","0.33759489373069","0.326959735095045","0.348230052366335"
"Einige Sorgen","2002","Staedtischer Raum","7375","0.496405640764824","0.488446400829566","0.504364880700081"
"Einige Sorgen","2002","Laendlicher Raum","4043","0.516802132831012","0.505668668536217","0.527935597125806"
"Große Sorgen","2002","Staedtischer Raum","2586","0.18165294626549","0.175515286654138","0.187790605876843"
"Große Sorgen","2002","Laendlicher Raum","1585","0.211229740069455","0.20213566649009","0.22032381364882"
"Keine Sorgen","2002","Staedtischer Raum","5198","0.321941412969686","0.314503778210554","0.329379047728818"
"Keine Sorgen","2002","Laendlicher Raum","2111","0.271968127099533","0.26205433357847","0.281881920620597"
"Einige Sorgen","2003","Staedtischer Raum","7241","0.496545018728977","0.488435934439134","0.504654103018819"
"Einige Sorgen","2003","Laendlicher Raum","3855","0.503152595750274","0.491783784517955","0.514521406982593"
"Große Sorgen","2003","Staedtischer Raum","3246","0.23412934189358","0.227261539090072","0.240997144697088"
"Große Sorgen","2003","Laendlicher Raum","1869","0.257941252884592","0.247993311194012","0.267889194575173"
"Keine Sorgen","2003","Staedtischer Raum","4117","0.269325639377443","0.262130934854218","0.276520343900668"
"Keine Sorgen","2003","Laendlicher Raum","1706","0.238906151365133","0.229210288683506","0.24860201404676"
"Einige Sorgen","2004","Staedtischer Raum","7132","0.50395916806508","0.495746581023517","0.512171755106643"
"Einige Sorgen","2004","Laendlicher Raum","3818","0.510627625327292","0.499120920678132","0.522134329976452"
"Große Sorgen","2004","Staedtischer Raum","3376","0.258411392113204","0.251220861337842","0.265601922888565"
"Große Sorgen","2004","Laendlicher Raum","2003","0.286699081632542","0.276289611337125","0.297108551927959"
"Keine Sorgen","2004","Staedtischer Raum","3730","0.237629439821716","0.230638158509861","0.244620721133571"
"Keine Sorgen","2004","Laendlicher Raum","1429","0.202673293040166","0.19342001727038","0.211926568809951"
"Einige Sorgen","2005","Staedtischer Raum","6911","0.504550807502744","0.496167888146726","0.512933726858763"
"Einige Sorgen","2005","Laendlicher Raum","3606","0.506695731098904","0.494931541836577","0.518459920361232"
"Große Sorgen","2005","Staedtischer Raum","3303","0.264683242265122","0.257286444791441","0.272080039738802"
"Große Sorgen","2005","Laendlicher Raum","1933","0.290314778058996","0.279634110541716","0.300995445576276"
"Keine Sorgen","2005","Staedtischer Raum","3451","0.230765950232134","0.223701825041605","0.237830075422663"
"Keine Sorgen","2005","Laendlicher Raum","1399","0.202989490842099","0.193524945757521","0.212454035926677"
"Einige Sorgen","2006","Staedtischer Raum","6970","0.481710862476133","0.473528474861729","0.489893250090538"
"Einige Sorgen","2006","Laendlicher Raum","3845","0.502001454386938","0.49068870403641","0.513314204737466"
"Große Sorgen","2006","Staedtischer Raum","3414","0.268972852708861","0.261711429435526","0.276234275982195"
"Große Sorgen","2006","Laendlicher Raum","1981","0.278012621838955","0.26787587179342","0.28814937188449"
"Keine Sorgen","2006","Staedtischer Raum","3941","0.249316284815006","0.242231859987838","0.256400709642174"
"Keine Sorgen","2006","Laendlicher Raum","1678","0.219985923774107","0.210613533932385","0.229358313615828"
"Einige Sorgen","2007","Staedtischer Raum","6464","0.482443752620326","0.473957211754786","0.490930293485866"
"Einige Sorgen","2007","Laendlicher Raum","3660","0.513710223430746","0.502048157857903","0.525372289003589"
"Große Sorgen","2007","Staedtischer Raum","2933","0.248525038463251","0.241185463373552","0.25586461355295"
"Große Sorgen","2007","Laendlicher Raum","1743","0.25884185491359","0.24862207602829","0.269061633798889"
"Keine Sorgen","2007","Staedtischer Raum","3921","0.269031208916423","0.26149974612489","0.276562671707956"
"Keine Sorgen","2007","Laendlicher Raum","1653","0.227447921655664","0.217667137521942","0.237228705789387"
"Einige Sorgen","2008","Staedtischer Raum","6210","0.498113099967842","0.489376893196257","0.506849306739427"
"Einige Sorgen","2008","Laendlicher Raum","3492","0.528311375653661","0.516315149264187","0.540307602043136"
"Große Sorgen","2008","Staedtischer Raum","2324","0.211354838828321","0.204221334784053","0.21848834287259"
"Große Sorgen","2008","Laendlicher Raum","1443","0.226293532062629","0.216238206068394","0.236348858056863"
"Keine Sorgen","2008","Staedtischer Raum","4049","0.290532061203836","0.282599390756146","0.298464731651527"
"Keine Sorgen","2008","Laendlicher Raum","1717","0.24539509228371","0.235054040333324","0.255736144234096"
"Einige Sorgen","2009","Staedtischer Raum","6035","0.527027832524103","0.517942231443402","0.536113433604805"
"Einige Sorgen","2009","Laendlicher Raum","3399","0.530493664220812","0.518208002743645","0.54277932569798"
"Große Sorgen","2009","Staedtischer Raum","2468","0.231230902736988","0.223558348052724","0.238903457421253"
"Große Sorgen","2009","Laendlicher Raum","1572","0.265167267040493","0.254300711146223","0.276033822934764"
"Keine Sorgen","2009","Staedtischer Raum","3097","0.241741264738908","0.233950085376679","0.249532444101138"
"Keine Sorgen","2009","Laendlicher Raum","1368","0.204339068738695","0.194412996377154","0.214265141100235"
"Einige Sorgen","2010","Staedtischer Raum","7465","0.489308168522795","0.481446927558643","0.497169409486946"
"Einige Sorgen","2010","Laendlicher Raum","4277","0.510396414943855","0.499674929719931","0.52111790016778"
"Große Sorgen","2010","Staedtischer Raum","3805","0.235117578230533","0.228448584488435","0.241786571972631"
"Große Sorgen","2010","Laendlicher Raum","2204","0.243981842000165","0.234770482858974","0.253193201141356"
"Keine Sorgen","2010","Staedtischer Raum","4263","0.275574253246672","0.26854779163173","0.282600714861615"
"Keine Sorgen","2010","Laendlicher Raum","1870","0.24562174305598","0.236389508389611","0.254853977722348"
"Einige Sorgen","2011","Staedtischer Raum","8512","0.480522094710062","0.473224095533825","0.4878200938863"
"Einige Sorgen","2011","Laendlicher Raum","4937","0.485590739187829","0.4758411904098","0.495340287965857"
"Große Sorgen","2011","Staedtischer Raum","3403","0.177969870399817","0.172382844316125","0.183556896483508"
"Große Sorgen","2011","Laendlicher Raum","2274","0.223809801182419","0.21567927678526","0.231940325579578"
"Keine Sorgen","2011","Staedtischer Raum","6089","0.341508034890121","0.334581128925418","0.348434940854824"
"Keine Sorgen","2011","Laendlicher Raum","2884","0.290599459629752","0.281742430193553","0.299456489065951"
"Einige Sorgen","2012","Staedtischer Raum","8389","0.481063258232989","0.473638083763849","0.488488432702129"
"Einige Sorgen","2012","Laendlicher Raum","5112","0.496356556576036","0.486616713800356","0.506096399351717"
"Große Sorgen","2012","Staedtischer Raum","3277","0.187141568906676","0.181345401124794","0.192937736688557"
"Große Sorgen","2012","Laendlicher Raum","2155","0.214272720188119","0.206279664661208","0.222265775715029"
"Keine Sorgen","2012","Staedtischer Raum","5728","0.331795172860335","0.324797748796747","0.338792596923922"
"Keine Sorgen","2012","Laendlicher Raum","2856","0.289370723235845","0.280537029964899","0.29820441650679"
"Einige Sorgen","2013","Staedtischer Raum","9497","0.46792648361344","0.461017106602286","0.474835860624594"
"Einige Sorgen","2013","Laendlicher Raum","5361","0.497635559334134","0.488060158683906","0.507210959984361"
"Große Sorgen","2013","Staedtischer Raum","3408","0.158284682010509","0.153230320332992","0.163339043688027"
"Große Sorgen","2013","Laendlicher Raum","1802","0.168909971192081","0.16173461464818","0.176085327735983"
"Keine Sorgen","2013","Staedtischer Raum","7129","0.373788834376051","0.367089404866138","0.380488263885964"
"Keine Sorgen","2013","Laendlicher Raum","3311","0.333454469473785","0.324425774355127","0.342483164592443"
"Einige Sorgen","2014","Staedtischer Raum","8184","0.460829381487524","0.453452186754226","0.468206576220822"
"Einige Sorgen","2014","Laendlicher Raum","4647","0.482346323946085","0.472261499179558","0.492431148712613"
"Große Sorgen","2014","Staedtischer Raum","2999","0.153353510728822","0.148020702389504","0.158686319068139"
"Große Sorgen","2014","Laendlicher Raum","1629","0.161121478324764","0.153701622354586","0.168541334294942"
"Keine Sorgen","2014","Staedtischer Raum","6355","0.385817107783654","0.378612710458733","0.393021505108576"
"Keine Sorgen","2014","Laendlicher Raum","3155","0.356532197729151","0.346865413897195","0.366198981561106"
"Einige Sorgen","2015","Staedtischer Raum","8042","0.452065404835862","0.444662738072187","0.459468071599536"
"Einige Sorgen","2015","Laendlicher Raum","4690","0.488530545198397","0.478349910328122","0.498711180068672"
"Große Sorgen","2015","Staedtischer Raum","2959","0.151521514063656","0.146188401251235","0.156854626876077"
"Große Sorgen","2015","Laendlicher Raum","1423","0.143471263597727","0.136331684990078","0.150610842205377"
"Keine Sorgen","2015","Staedtischer Raum","6363","0.396413081100482","0.389137509809918","0.403688652391047"
"Keine Sorgen","2015","Laendlicher Raum","3148","0.367998191203876","0.358176163572658","0.377820218835094"
"Einige Sorgen","2016","Staedtischer Raum","7946","0.437867629257441","0.430566559746935","0.445168698767946"
"Einige Sorgen","2016","Laendlicher Raum","4434","0.455420195989","0.445336605402604","0.465503786575395"
"Große Sorgen","2016","Staedtischer Raum","2985","0.139558758443095","0.13445917240455","0.14465834448164"
"Große Sorgen","2016","Laendlicher Raum","1524","0.147236431004131","0.140061788671554","0.154411073336708"
"Keine Sorgen","2016","Staedtischer Raum","6807","0.422573612299464","0.415304267545378","0.42984295705355"
"Keine Sorgen","2016","Laendlicher Raum","3412","0.397343373006869","0.38743513909179","0.407251606921949"
"Einige Sorgen","2017","Staedtischer Raum","9128","0.456269013098217","0.449327941901608","0.463210084294826"
"Einige Sorgen","2017","Laendlicher Raum","5083","0.477380261703998","0.467857645627059","0.486902877780936"
"Große Sorgen","2017","Staedtischer Raum","3324","0.142214079058255","0.137346817074613","0.147081341041896"
"Große Sorgen","2017","Laendlicher Raum","1902","0.159576686716912","0.152594926817721","0.166558446616104"
"Keine Sorgen","2017","Staedtischer Raum","7329","0.401516907843528","0.394685631856719","0.408348183830337"
"Keine Sorgen","2017","Laendlicher Raum","3584","0.36304305157909","0.35387524913022","0.372210854027959"
"Einige Sorgen","2018","Staedtischer Raum","8406","0.4284988327915","0.421489062472632","0.435508603110368"
"Einige Sorgen","2018","Laendlicher Raum","4650","0.458834808140949","0.449050630313544","0.468618985968354"
"Große Sorgen","2018","Staedtischer Raum","2591","0.100314775271866","0.096059299207609","0.104570251336122"
"Große Sorgen","2018","Laendlicher Raum","1285","0.101180308319105","0.0952590293824614","0.107101587255748"
"Keine Sorgen","2018","Staedtischer Raum","8148","0.471186391936635","0.464115599534914","0.478257184338355"
"Keine Sorgen","2018","Laendlicher Raum","4029","0.439984883539946","0.43023835442388","0.449731412656013"
"Einige Sorgen","2019","Staedtischer Raum","8279","0.441166230557884","0.434059550800247","0.448272910315522"
"Einige Sorgen","2019","Laendlicher Raum","4649","0.471001989750605","0.461091998349361","0.480911981151848"
"Große Sorgen","2019","Staedtischer Raum","2471","0.118080648211415","0.11346185951479","0.122699436908041"
"Große Sorgen","2019","Laendlicher Raum","1347","0.13096799664343","0.124270147451091","0.137665845835769"
"Keine Sorgen","2019","Staedtischer Raum","8002","0.4407531212307","0.433647144573001","0.4478590978884"
"Keine Sorgen","2019","Laendlicher Raum","3750","0.398030013605965","0.388311939256198","0.407748087955733"
"Einige Sorgen","2020","Staedtischer Raum","8914","0.433173166926896","0.426280614852454","0.440065719001338"
"Einige Sorgen","2020","Laendlicher Raum","4451","0.458177096760878","0.448170560691481","0.468183632830275"
"Große Sorgen","2020","Staedtischer Raum","2550","0.109434876041515","0.105092426316081","0.11377732576695"
"Große Sorgen","2020","Laendlicher Raum","1218","0.121214820649711","0.114660048176003","0.127769593123419"
"Keine Sorgen","2020","Staedtischer Raum","8390","0.457391957031589","0.450462304518762","0.464321609544415"
"Keine Sorgen","2020","Laendlicher Raum","3855","0.420608082589411","0.410693751436084","0.430522413742738"
