year,age_gr,sex,pli0081,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1998,46-65 y.,female,Seldom,0.21191,414,2188,0.19478,0.22904
1998,46-65 y.,female,Never,0.01543,38,2188,0.01026,0.02059
1998,66 and older,male,Daily,0.09315,75,733,0.07209,0.11420
1998,66 and older,male,At least once per week,0.39249,311,733,0.35711,0.42786
1998,66 and older,male,At least once per month,0.28120,215,733,0.24863,0.31377
1998,66 and older,male,Seldom,0.18327,132,733,0.15524,0.21129
1998,66 and older,female,Daily,0.12539,146,1056,0.10540,0.14537
1998,66 and older,female,At least once per week,0.41028,461,1056,0.38060,0.43996
1998,66 and older,female,At least once per month,0.25113,279,1056,0.22496,0.27730
1998,66 and older,female,Seldom,0.16817,170,1056,0.14560,0.19074
2003,17-29 y.,male,Daily,0.06422,119,1921,0.05326,0.07519
2003,17-29 y.,male,At least once per week,0.37026,706,1921,0.34866,0.39186
2003,17-29 y.,male,At least once per month,0.29613,609,1921,0.27571,0.31655
2003,17-29 y.,male,Seldom,0.22009,435,1921,0.20156,0.23862
2003,17-29 y.,male,Never,0.03672,52,1921,0.02831,0.04513
2003,17-29 y.,female,Daily,0.08504,170,2038,0.07293,0.09715
2003,17-29 y.,female,At least once per week,0.41137,889,2038,0.39000,0.43274
2003,17-29 y.,female,At least once per month,0.27459,577,2038,0.25521,0.29397
2003,17-29 y.,female,Seldom,0.20502,402,2038,0.18748,0.22255
2003,30-45 y.,male,Daily,0.04887,167,3307,0.04152,0.05622
2003,30-45 y.,male,At least once per week,0.40113,1366,3307,0.38442,0.41784
2003,30-45 y.,male,At least once per month,0.33729,1115,3307,0.32117,0.35340
2003,30-45 y.,male,Seldom,0.18922,618,3307,0.17586,0.20257
2003,30-45 y.,male,Never,0.01616,41,3307,0.01186,0.02046
2003,30-45 y.,female,Daily,0.07517,297,3586,0.06654,0.08380
2003,30-45 y.,female,At least once per week,0.41240,1503,3586,0.39628,0.42851
2003,30-45 y.,female,At least once per month,0.30566,1114,3586,0.29058,0.32074
2003,30-45 y.,female,Seldom,0.17666,602,3586,0.16418,0.18915
2003,30-45 y.,female,Never,0.02482,70,3586,0.01973,0.02991
2003,46-65 y.,male,Daily,0.04889,186,3739,0.04198,0.05580
2003,46-65 y.,male,At least once per week,0.34072,1292,3739,0.32552,0.35591
2003,46-65 y.,male,At least once per month,0.30338,1216,3739,0.28864,0.31812
2003,46-65 y.,male,Seldom,0.25759,928,3739,0.24357,0.27161
2003,46-65 y.,male,Never,0.04520,117,3739,0.03854,0.05186
2003,46-65 y.,female,Daily,0.07776,305,3794,0.06924,0.08629
2003,46-65 y.,female,At least once per week,0.39460,1499,3794,0.37904,0.41015
2003,46-65 y.,female,At least once per month,0.28296,1137,3794,0.26863,0.29730
2003,46-65 y.,female,Seldom,0.21123,778,3794,0.19824,0.22422
2003,46-65 y.,female,Never,0.02613,75,3794,0.02105,0.03121
2003,66 and older,male,Daily,0.08650,142,1649,0.07292,0.10007
2003,66 and older,male,At least once per week,0.38021,641,1649,0.35677,0.40365
2003,66 and older,male,At least once per month,0.29844,513,1649,0.27635,0.32053
2003,66 and older,male,Seldom,0.18013,288,1649,0.16157,0.19868
2003,66 and older,male,Never,0.04829,65,1649,0.03794,0.05864
2003,66 and older,female,Daily,0.10391,207,1978,0.09046,0.11736
2003,66 and older,female,At least once per week,0.41390,819,1978,0.39219,0.43561
2003,66 and older,female,At least once per month,0.25152,526,1978,0.23239,0.27064
2003,66 and older,female,Seldom,0.17739,339,1978,0.16056,0.19423
2003,66 and older,female,Never,0.04693,87,1978,0.03761,0.05626
2008,17-29 y.,male,Daily,0.07166,109,1479,0.05851,0.08481
2008,17-29 y.,male,At least once per week,0.31837,532,1479,0.29462,0.34212
2008,17-29 y.,male,At least once per month,0.31344,502,1479,0.28979,0.33709
2008,17-29 y.,male,Seldom,0.20302,336,1479,0.18251,0.22353
2008,17-29 y.,female,Daily,0.07829,153,1617,0.06519,0.09139
2008,17-29 y.,female,At least once per week,0.38448,684,1617,0.36076,0.40819
2008,17-29 y.,female,At least once per month,0.26179,470,1617,0.24036,0.28323
2008,17-29 y.,female,Seldom,0.18504,310,1617,0.16611,0.20397
2008,30-45 y.,male,Daily,0.04747,130,2452,0.03905,0.05589
2008,30-45 y.,male,At least once per week,0.39820,1001,2452,0.37882,0.41758
2008,30-45 y.,male,At least once per month,0.33212,813,2452,0.31347,0.35076
2008,30-45 y.,male,Seldom,0.20242,470,2452,0.18651,0.21833
2008,30-45 y.,male,Never,0.01687,38,2452,0.01177,0.02197
2008,30-45 y.,female,Daily,0.09309,269,2693,0.08212,0.10407
2008,30-45 y.,female,At least once per week,0.41995,1123,2693,0.40131,0.43859
2008,30-45 y.,female,At least once per month,0.28425,794,2693,0.26721,0.30129
2008,30-45 y.,female,Seldom,0.18021,474,2693,0.16569,0.19473
2008,30-45 y.,female,Never,0.01732,33,2693,0.01239,0.02225
2008,46-65 y.,male,Daily,0.05299,182,3188,0.04521,0.06077
2008,46-65 y.,male,At least once per week,0.31840,1038,3188,0.30222,0.33457
2008,46-65 y.,male,At least once per month,0.30187,1030,3188,0.28593,0.31781
2008,46-65 y.,male,Seldom,0.27953,843,3188,0.26395,0.29511
2008,46-65 y.,male,Never,0.04412,95,3188,0.03699,0.05125
2008,46-65 y.,female,Daily,0.07699,282,3485,0.06814,0.08584
2008,46-65 y.,female,At least once per week,0.36802,1293,3485,0.35201,0.38403
2008,46-65 y.,female,At least once per month,0.28544,1055,3485,0.27044,0.30044
2008,46-65 y.,female,Seldom,0.23709,786,3485,0.22297,0.25121
2008,46-65 y.,female,Never,0.02701,69,3485,0.02163,0.03239
2008,66 and older,male,Daily,0.08303,172,2023,0.07100,0.09505
2008,66 and older,male,At least once per week,0.36084,763,2023,0.33991,0.38177
2008,66 and older,male,At least once per month,0.29082,606,2023,0.27102,0.31062
2008,66 and older,male,Seldom,0.20827,411,2023,0.19057,0.22597
2008,66 and older,male,Never,0.05004,71,2023,0.04053,0.05954
2008,66 and older,female,Daily,0.11354,258,2252,0.10044,0.12665
2008,66 and older,female,At least once per week,0.38109,888,2252,0.36103,0.40116
2008,66 and older,female,At least once per month,0.25433,614,2252,0.23634,0.27232
2008,66 and older,female,Seldom,0.20424,424,2252,0.18758,0.22089
2008,66 and older,female,Never,0.04026,68,2252,0.03214,0.04838
2013,17-29 y.,male,Daily,0.04785,121,1655,0.03756,0.05814
2013,17-29 y.,male,At least once per week,0.25190,555,1655,0.23098,0.27282
2013,17-29 y.,male,At least once per month,0.25866,554,1655,0.23755,0.27976
2013,17-29 y.,male,Seldom,0.17920,394,1655,0.16072,0.19768
2013,17-29 y.,male,Never,0.01552,31,1655,0.00956,0.02148
2013,17-29 y.,female,Daily,0.06784,202,1876,0.05645,0.07922
2013,17-29 y.,female,At least once per week,0.28287,754,1876,0.26248,0.30325
2013,17-29 y.,female,At least once per month,0.23105,568,1876,0.21197,0.25012
2013,17-29 y.,female,Seldom,0.15754,352,1876,0.14105,0.17403
2013,30-45 y.,male,Daily,0.05698,211,3293,0.04906,0.06490
2013,30-45 y.,male,At least once per week,0.30277,1362,3293,0.28708,0.31847
2013,30-45 y.,male,At least once per month,0.27627,1053,3293,0.26099,0.29154
2013,30-45 y.,male,Seldom,0.16803,597,3293,0.15526,0.18080
2013,30-45 y.,male,Never,0.02365,70,3293,0.01845,0.02884
2013,30-45 y.,female,Daily,0.06672,441,4689,0.05957,0.07386
2013,30-45 y.,female,At least once per week,0.34100,2005,4689,0.32743,0.35457
2013,30-45 y.,female,At least once per month,0.24576,1302,4689,0.23344,0.25809
2013,30-45 y.,female,Seldom,0.16487,847,4689,0.15425,0.17549
2013,30-45 y.,female,Never,0.01910,94,4689,0.01518,0.02302
2013,46-65 y.,male,Daily,0.05650,241,4163,0.04949,0.06352
2013,46-65 y.,male,At least once per week,0.29190,1383,4163,0.27809,0.30572
2013,46-65 y.,male,At least once per month,0.30773,1365,4163,0.29371,0.32176
2013,46-65 y.,male,Seldom,0.24332,1042,4163,0.23028,0.25636
2013,46-65 y.,male,Never,0.03734,132,4163,0.03158,0.04310
2013,46-65 y.,female,Daily,0.07711,392,4789,0.06955,0.08467
2013,46-65 y.,female,At least once per week,0.35147,1784,4789,0.33795,0.36499
2013,46-65 y.,female,At least once per month,0.28487,1449,4789,0.27209,0.29766
2013,46-65 y.,female,Seldom,0.20037,1032,4789,0.18903,0.21171
2013,46-65 y.,female,Never,0.03253,132,4789,0.02750,0.03755
2013,66 and older,male,Daily,0.06387,168,2391,0.05406,0.07367
2013,66 and older,male,At least once per week,0.32922,820,2391,0.31038,0.34807
2013,66 and older,male,At least once per month,0.30129,750,2391,0.28290,0.31969
2013,66 and older,male,Seldom,0.24470,551,2391,0.22747,0.26194
2013,66 and older,male,Never,0.04989,102,2391,0.04116,0.05862
2013,66 and older,female,Daily,0.10478,260,2538,0.09286,0.11670
2013,66 and older,female,At least once per week,0.38023,1001,2538,0.36134,0.39912
2013,66 and older,female,At least once per month,0.24467,680,2538,0.22794,0.26140
2013,66 and older,female,Seldom,0.22245,515,2538,0.20627,0.23863
2013,66 and older,female,Never,0.03470,82,2538,0.02757,0.04182
2019,17-29 y.,male,Daily,0.06027,126,1864,0.04946,0.07108
2019,17-29 y.,male,At least once per week,0.29620,607,1864,0.27546,0.31693
2019,17-29 y.,male,At least once per month,0.29368,611,1864,0.27300,0.31437
2019,17-29 y.,male,Seldom,0.21323,439,1864,0.19463,0.23183
2019,17-29 y.,male,Never,0.03222,81,1864,0.02420,0.04024
2019,17-29 y.,female,Daily,0.06289,143,1965,0.05215,0.07362
2019,17-29 y.,female,At least once per week,0.37698,793,1965,0.35555,0.39842
2019,17-29 y.,female,At least once per month,0.27712,606,1965,0.25733,0.29692
2019,17-29 y.,female,Seldom,0.17619,381,1965,0.15934,0.19304
2019,17-29 y.,female,Never,0.01736,42,1965,0.01158,0.02313
2019,30-45 y.,male,Daily,0.06294,176,2696,0.05377,0.07211
2019,30-45 y.,male,At least once per week,0.33945,1015,2696,0.32158,0.35733
2019,30-45 y.,male,At least once per month,0.31180,822,2696,0.29431,0.32929
2019,30-45 y.,male,Seldom,0.23613,596,2696,0.22009,0.25216
2019,30-45 y.,male,Never,0.03137,87,2696,0.02479,0.03795
2019,30-45 y.,female,Daily,0.07290,273,3581,0.06438,0.08141
2019,30-45 y.,female,At least once per week,0.38466,1414,3581,0.36872,0.40059
2019,30-45 y.,female,At least once per month,0.31029,1056,3581,0.29514,0.32545
2019,30-45 y.,female,Seldom,0.18982,719,3581,0.17698,0.20267
2019,30-45 y.,female,Never,0.03065,119,3581,0.02500,0.03630
2019,46-65 y.,male,Daily,0.05412,281,5069,0.04789,0.06035
2019,46-65 y.,male,At least once per week,0.32661,1722,5069,0.31370,0.33952
2019,46-65 y.,male,At least once per month,0.30920,1638,5069,0.29648,0.32192
2019,46-65 y.,male,Seldom,0.26351,1252,5069,0.25138,0.27564
2019,46-65 y.,male,Never,0.03737,176,5069,0.03215,0.04260
2019,46-65 y.,female,Daily,0.06288,384,5316,0.05635,0.06940
2019,46-65 y.,female,At least once per week,0.37342,1999,5316,0.36041,0.38642
2019,46-65 y.,female,At least once per month,0.29135,1618,5316,0.27913,0.30357
2019,46-65 y.,female,Seldom,0.22329,1131,5316,0.21209,0.23448
2019,46-65 y.,female,Never,0.04087,184,5316,0.03554,0.04619
2019,66 and older,male,Daily,0.05854,162,2612,0.04954,0.06755
2019,66 and older,male,At least once per week,0.32208,904,2612,0.30416,0.34001
2019,66 and older,male,At least once per month,0.27240,775,2612,0.25532,0.28948
2019,66 and older,male,Seldom,0.29017,648,2612,0.27276,0.30758
2019,66 and older,male,Never,0.05372,123,2612,0.04507,0.06237
2019,66 and older,female,Daily,0.10003,236,2544,0.08837,0.11169
2019,66 and older,female,At least once per week,0.37663,981,2544,0.35779,0.39546
2019,66 and older,female,At least once per month,0.27056,730,2544,0.25330,0.28783
2019,66 and older,female,Seldom,0.20689,513,2544,0.19115,0.22263
2019,66 and older,female,Never,0.04144,84,2544,0.03370,0.04919
2021,17-29 y.,male,Daily,0.04503,85,1319,0.03384,0.05623
2021,17-29 y.,male,At least once per week,0.37417,480,1319,0.34804,0.40029
2021,17-29 y.,male,At least once per month,0.30734,425,1319,0.28243,0.33225
2021,17-29 y.,male,Seldom,0.16873,289,1319,0.14851,0.18895
2021,17-29 y.,male,Never,0.01042,40,1319,0.00494,0.01590
2021,17-29 y.,female,Daily,0.08299,115,1381,0.06843,0.09754
2021,17-29 y.,female,At least once per week,0.39846,545,1381,0.37263,0.42429
2021,17-29 y.,female,At least once per month,0.27696,398,1381,0.25335,0.30057
2021,17-29 y.,female,Seldom,0.14132,285,1381,0.12294,0.15970
2021,17-29 y.,female,Never,0.01184,38,1381,0.00613,0.01755
2021,30-45 y.,male,Daily,0.06670,110,1828,0.05526,0.07815
2021,30-45 y.,male,At least once per week,0.42899,691,1828,0.40629,0.45168
2021,30-45 y.,male,At least once per month,0.28131,525,1828,0.26069,0.30192
2021,30-45 y.,male,Seldom,0.17694,422,1828,0.15944,0.19444
2021,30-45 y.,male,Never,0.01845,80,1828,0.01228,0.02462
2021,30-45 y.,female,Daily,0.08985,180,2312,0.07819,0.10151
2021,30-45 y.,female,At least once per week,0.39489,947,2312,0.37496,0.41482
2021,30-45 y.,female,At least once per month,0.27796,582,2312,0.25969,0.29622
2021,30-45 y.,female,Seldom,0.20043,518,2312,0.18410,0.21675
2021,30-45 y.,female,Never,0.02178,85,2312,0.01583,0.02773
2021,46-65 y.,male,Daily,0.06435,187,3156,0.05578,0.07291
2021,46-65 y.,male,At least once per week,0.36934,1223,3156,0.35250,0.38618
2021,46-65 y.,male,At least once per month,0.30529,958,3156,0.28922,0.32136
2021,46-65 y.,male,Seldom,0.22819,693,3156,0.21355,0.24284
2021,46-65 y.,male,Never,0.02692,95,3156,0.02127,0.03256
2021,46-65 y.,female,Daily,0.09215,318,3632,0.08274,0.10156
2021,46-65 y.,female,At least once per week,0.40901,1522,3632,0.39302,0.42500
2021,46-65 y.,female,At least once per month,0.26201,942,3632,0.24771,0.27631
2021,46-65 y.,female,Seldom,0.19949,728,3632,0.18649,0.21249
2021,46-65 y.,female,Never,0.03327,122,3632,0.02744,0.03911
2021,66 and older,male,Daily,0.08649,148,1773,0.07340,0.09958
2021,66 and older,male,At least once per week,0.36019,698,1773,0.33784,0.38254
2021,66 and older,male,At least once per month,0.26085,468,1773,0.24040,0.28129
2021,66 and older,male,Seldom,0.23732,381,1773,0.21751,0.25713
2021,66 and older,male,Never,0.05097,78,1773,0.04073,0.06121
2021,66 and older,female,Daily,0.13410,182,1773,0.11823,0.14996
2021,66 and older,female,At least once per week,0.34840,706,1773,0.32622,0.37059
2021,66 and older,female,At least once per month,0.23224,435,1773,0.21258,0.25190
2021,66 and older,female,Seldom,0.23064,381,1773,0.21103,0.25026
2021,66 and older,female,Never,0.05307,69,1773,0.04264,0.06351
