year,regtyp,hgeqpter,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1992,Urban regions,No,0.30311,1493,4280,0.28934,0.31688
1992,Rural regions,Yes,0.58930,1135,2098,0.56824,0.61035
1992,Rural regions,No,0.41070,963,2098,0.38965,0.43176
1993,Urban regions,Yes,0.70113,2785,4249,0.68736,0.71490
1993,Urban regions,No,0.29887,1464,4249,0.28510,0.31264
1993,Rural regions,Yes,0.58417,1133,2112,0.56314,0.60519
1993,Rural regions,No,0.41583,979,2112,0.39481,0.43686
1994,Urban regions,Yes,0.70464,2777,4180,0.69081,0.71847
1994,Urban regions,No,0.29536,1403,4180,0.28153,0.30919
1994,Rural regions,Yes,0.59552,1147,2088,0.57446,0.61658
1994,Rural regions,No,0.40448,941,2088,0.38342,0.42554
1995,Urban regions,Yes,0.71645,2913,4305,0.70298,0.72991
1995,Urban regions,No,0.28355,1392,4305,0.27009,0.29702
1995,Rural regions,Yes,0.61687,1226,2142,0.59627,0.63746
1995,Rural regions,No,0.38313,916,2142,0.36254,0.40373
1996,Urban regions,Yes,0.72411,2924,4250,0.71067,0.73755
1996,Urban regions,No,0.27589,1326,4250,0.26245,0.28933
1996,Rural regions,Yes,0.63535,1260,2134,0.61492,0.65577
1996,Rural regions,No,0.36465,874,2134,0.34423,0.38508
1997,Urban regions,Yes,0.73385,2922,4182,0.72046,0.74725
1997,Urban regions,No,0.26615,1260,4182,0.25275,0.27954
1997,Rural regions,Yes,0.64543,1278,2115,0.62504,0.66582
1997,Rural regions,No,0.35457,837,2115,0.33418,0.37496
1998,Urban regions,Yes,0.73655,3499,4895,0.72420,0.74889
1998,Urban regions,No,0.26345,1396,4895,0.25111,0.27580
1998,Rural regions,Yes,0.66605,1586,2467,0.64743,0.68466
1998,Rural regions,No,0.33395,881,2467,0.31534,0.35257
1999,Urban regions,Yes,0.74315,3378,4667,0.73062,0.75569
1999,Urban regions,No,0.25685,1289,4667,0.24431,0.26938
1999,Rural regions,Yes,0.68097,1563,2390,0.66228,0.69966
1999,Rural regions,No,0.31903,827,2390,0.30034,0.33772
2000,Urban regions,Yes,0.74978,6374,8483,0.74056,0.75899
2000,Urban regions,No,0.25022,2109,8483,0.24101,0.25944
2000,Rural regions,Yes,0.66689,2845,4297,0.65279,0.68098
2000,Rural regions,No,0.33311,1452,4297,0.31902,0.34721
2001,Urban regions,Yes,0.75514,5813,7654,0.74551,0.76478
2001,Urban regions,No,0.24486,1841,7654,0.23522,0.25449
2001,Rural regions,Yes,0.68123,2584,3839,0.66649,0.69597
2001,Rural regions,No,0.31877,1255,3839,0.30403,0.33351
2002,Urban regions,Yes,0.76443,6360,8081,0.75518,0.77369
2002,Urban regions,No,0.23557,1721,8081,0.22631,0.24482
2002,Rural regions,Yes,0.67936,2659,3884,0.66468,0.69404
2002,Rural regions,No,0.32064,1225,3884,0.30596,0.33532
2003,Urban regions,Yes,0.76834,6177,7806,0.75898,0.77770
2003,Urban regions,No,0.23166,1629,7806,0.22230,0.24102
2003,Rural regions,Yes,0.68205,2571,3742,0.66713,0.69697
2003,Rural regions,No,0.31795,1171,3742,0.30303,0.33287
2004,Urban regions,Yes,0.77453,6068,7604,0.76514,0.78392
2004,Urban regions,No,0.22547,1536,7604,0.21608,0.23486
2004,Rural regions,Yes,0.69104,2570,3671,0.67609,0.70599
2004,Rural regions,No,0.30896,1101,3671,0.29401,0.32391
2005,Urban regions,Yes,0.78246,6037,7539,0.77315,0.79177
2005,Urban regions,No,0.21754,1502,7539,0.20823,0.22685
2005,Rural regions,Yes,0.71868,2609,3637,0.70406,0.73329
2005,Rural regions,No,0.28132,1028,3637,0.26671,0.29594
2006,Urban regions,Yes,0.78150,6568,8158,0.77253,0.79047
2006,Urban regions,No,0.21850,1590,8158,0.20953,0.22747
2006,Rural regions,Yes,0.72628,2990,4091,0.71262,0.73994
2006,Rural regions,No,0.27372,1101,4091,0.26006,0.28738
2007,Urban regions,Yes,0.80196,6226,7597,0.79300,0.81092
2007,Urban regions,No,0.19804,1371,7597,0.18908,0.20700
2007,Rural regions,Yes,0.72839,2807,3837,0.71431,0.74247
2007,Rural regions,No,0.27161,1030,3837,0.25753,0.28569
2008,Urban regions,Yes,0.80676,5919,7181,0.79763,0.81589
2008,Urban regions,No,0.19324,1262,7181,0.18411,0.20237
2008,Rural regions,Yes,0.74731,2706,3629,0.73317,0.76145
2008,Rural regions,No,0.25269,923,3629,0.23855,0.26683
2009,Urban regions,Yes,0.81434,5542,6695,0.80502,0.82365
2009,Urban regions,No,0.18566,1153,6695,0.17635,0.19498
2009,Rural regions,Yes,0.74819,2590,3473,0.73375,0.76262
2009,Rural regions,No,0.25181,883,3473,0.23738,0.26625
2010,Urban regions,Yes,0.81366,7511,9080,0.80566,0.82167
2010,Urban regions,No,0.18634,1569,9080,0.17833,0.19434
2010,Rural regions,Yes,0.74712,3574,4708,0.73470,0.75954
2010,Rural regions,No,0.25288,1134,4708,0.24046,0.26530
2011,Urban regions,Yes,0.82406,8990,10756,0.81686,0.83125
2011,Urban regions,No,0.17594,1766,10756,0.16875,0.18314
2011,Rural regions,Yes,0.75552,4474,5843,0.74450,0.76654
2011,Rural regions,No,0.24448,1369,5843,0.23346,0.25550
2012,Urban regions,Yes,0.82225,8722,10447,0.81492,0.82958
2012,Urban regions,No,0.17775,1725,10447,0.17042,0.18508
2012,Rural regions,Yes,0.77558,4561,5855,0.76489,0.78627
2012,Rural regions,No,0.22442,1294,5855,0.21373,0.23511
2013,Urban regions,Yes,0.82017,9843,11851,0.81326,0.82709
2013,Urban regions,No,0.17983,2008,11851,0.17291,0.18674
2013,Rural regions,Yes,0.77171,4698,6019,0.76111,0.78231
2013,Rural regions,No,0.22829,1321,6019,0.21769,0.23889
2014,Urban regions,Yes,0.82740,8749,10396,0.82013,0.83466
2014,Urban regions,No,0.17260,1647,10396,0.16534,0.17987
2014,Rural regions,Yes,0.76729,4215,5428,0.75605,0.77854
2014,Rural regions,No,0.23271,1213,5428,0.22146,0.24395
2015,Urban regions,Yes,0.82393,8535,10378,0.81660,0.83126
2015,Urban regions,No,0.17607,1843,10378,0.16874,0.18340
2015,Rural regions,Yes,0.77568,4199,5380,0.76453,0.78683
2015,Rural regions,No,0.22432,1181,5380,0.21317,0.23547
2016,Urban regions,Yes,0.82133,8560,10824,0.81412,0.82855
2016,Urban regions,No,0.17867,2264,10824,0.17145,0.18588
2016,Rural regions,Yes,0.78054,4210,5574,0.76967,0.79141
2016,Rural regions,No,0.21946,1364,5574,0.20859,0.23033
2017,Urban regions,Yes,0.82319,9533,12026,0.81637,0.83001
2017,Urban regions,No,0.17681,2493,12026,0.16999,0.18363
2017,Rural regions,Yes,0.77076,4668,6248,0.76034,0.78118
2017,Rural regions,No,0.22924,1580,6248,0.21882,0.23966
2018,Urban regions,Yes,0.83068,9374,11797,0.82391,0.83745
2018,Urban regions,No,0.16932,2423,11797,0.16255,0.17609
2018,Rural regions,Yes,0.78095,4489,5900,0.77040,0.79151
2018,Rural regions,No,0.21905,1411,5900,0.20849,0.22960
2019,Urban regions,Yes,0.83894,7933,9905,0.83170,0.84618
2019,Urban regions,No,0.16106,1972,9905,0.15382,0.16830
2019,Rural regions,Yes,0.78756,3846,5006,0.77623,0.79889
2019,Rural regions,No,0.21244,1160,5006,0.20111,0.22377
2020,Urban regions,Yes,0.83118,10329,13375,0.82483,0.83753
2020,Urban regions,No,0.16882,3046,13375,0.16247,0.17517
2020,Rural regions,Yes,0.79574,4570,5926,0.78547,0.80601
2020,Rural regions,No,0.20426,1356,5926,0.19399,0.21453
2021,Urban regions,Yes,0.83368,6111,7611,0.82531,0.84205
2021,Urban regions,No,0.16632,1500,7611,0.15795,0.17469
2021,Rural regions,Yes,0.80429,2810,3567,0.79127,0.81732
2021,Rural regions,No,0.19571,757,3567,0.18268,0.20873
2022,Urban regions,Yes,0.84095,11003,13824,0.83485,0.84705
2022,Urban regions,No,0.15905,2821,13824,0.15295,0.16515
2022,Rural regions,Yes,0.79998,4917,6238,0.79005,0.80991
2022,Rural regions,No,0.20002,1321,6238,0.19009,0.20995
