,Unnamed: 0,year,hhtyp,regtyp,hgeqpter,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
24,24,1986,Couple without children,Rural regions,Yes,0.64714,147,4832,0.62259,0.67822
25,25,1986,Couple without children,Rural regions,No,0.35286,90,4832,0.31991,0.38939
26,26,1986,Single parent,Urban regions,Yes,0.67603,137,4832,0.63315,0.71612
27,27,1986,Single parent,Urban regions,No,0.32397,78,4832,0.2783,0.37626
28,28,1986,Single parent,Rural regions,Yes,1.0,39,4832,0.86482,1.11938
29,29,1986,Couple with children,Urban regions,Yes,0.75404,1135,4832,0.73438,0.77734
30,30,1986,Couple with children,Urban regions,No,0.24596,585,4832,0.22897,0.26146
31,31,1986,Couple with children,Rural regions,Yes,0.78707,346,4832,0.76158,0.81283
32,32,1986,Couple with children,Rural regions,No,0.21293,123,4832,0.18805,0.2347
33,33,1986,Multi-generational household,Urban regions,Yes,0.60023,39,4832,0.45211,0.69809
34,34,1986,Multi-generational household,Urban regions,No,0.39977,31,4832,0.25337,0.54024
35,35,1986,Other Combinations,Urban regions,Yes,0.64452,57,4832,0.57606,0.71346
36,36,1986,Other Combinations,Urban regions,No,0.35548,32,4832,0.2872,0.42873
37,37,1987,Single-person household,Urban regions,Yes,0.57561,487,4784,0.56054,0.59114
38,38,1987,Single-person household,Urban regions,No,0.42439,400,4784,0.40879,0.44088
39,39,1987,Single-person household,Rural regions,Yes,0.57848,93,4784,0.54267,0.61376
40,40,1987,Single-person household,Rural regions,No,0.42152,74,4784,0.3821,0.46616
41,41,1987,Couple without children,Urban regions,Yes,0.73094,633,4784,0.71476,0.75426
42,42,1987,Couple without children,Urban regions,No,0.26906,295,4784,0.25153,0.29089
43,43,1987,Couple without children,Rural regions,Yes,0.66384,152,4784,0.62718,0.69663
44,44,1987,Couple without children,Rural regions,No,0.33616,91,4784,0.29912,0.37045
45,45,1987,Single parent,Urban regions,Yes,0.67573,134,4784,0.62706,0.72627
46,46,1987,Single parent,Urban regions,No,0.32427,69,4784,0.27686,0.37529
47,47,1987,Single parent,Rural regions,Yes,1.0,43,4784,0.88963,1.10673
48,48,1987,Couple with children,Urban regions,Yes,0.75177,1120,4784,0.72822,0.77082
49,49,1987,Couple with children,Urban regions,No,0.24823,567,4784,0.23041,0.26717
50,50,1987,Couple with children,Rural regions,Yes,0.79179,344,4784,0.76649,0.81982
51,51,1987,Couple with children,Rural regions,No,0.20821,112,4784,0.18293,0.23265
52,52,1987,Multi-generational household,Urban regions,Yes,0.60104,43,4784,0.45501,0.7331
53,53,1987,Multi-generational household,Urban regions,No,0.39896,37,4784,0.28173,0.52709
54,54,1987,Other Combinations,Urban regions,Yes,0.6454,56,4784,0.56789,0.72069
55,55,1987,Other Combinations,Urban regions,No,0.3546,34,4784,0.28335,0.41913
56,56,1988,Single-person household,Urban regions,Yes,0.58686,479,4536,0.56995,0.60302
57,57,1988,Single-person household,Urban regions,No,0.41314,372,4536,0.39233,0.43154
58,58,1988,Single-person household,Rural regions,Yes,0.60217,98,4536,0.56257,0.64647
59,59,1988,Single-person household,Rural regions,No,0.39783,67,4536,0.3639,0.43484
60,60,1988,Couple without children,Urban regions,Yes,0.73893,631,4536,0.71702,0.76271
61,61,1988,Couple without children,Urban regions,No,0.26107,284,4536,0.24298,0.28129
62,62,1988,Couple without children,Rural regions,Yes,0.67382,145,4536,0.63684,0.71807
63,63,1988,Couple without children,Rural regions,No,0.32618,84,4536,0.29042,0.35688
64,64,1988,Single parent,Urban regions,Yes,0.68038,134,4536,0.62996,0.72795
65,65,1988,Single parent,Urban regions,No,0.31962,68,4536,0.27443,0.37559
66,66,1988,Single parent,Rural regions,Yes,1.0,41,4536,0.85712,1.14131
67,67,1988,Couple with children,Urban regions,Yes,0.76222,1079,4536,0.73974,0.78369
68,68,1988,Couple with children,Urban regions,No,0.23778,537,4536,0.22186,0.25432
69,69,1988,Couple with children,Rural regions,Yes,0.78422,323,4536,0.74711,0.80999
70,70,1988,Couple with children,Rural regions,No,0.21578,108,4536,0.19301,0.24566
71,71,1988,Multi-generational household,Urban regions,Yes,1.0,35,4536,0.74066,1.22765
72,72,1988,Other Combinations,Urban regions,Yes,1.0,51,4536,0.8557,1.13052
73,73,1989,Single-person household,Urban regions,Yes,0.59519,487,4452,0.57889,0.61194
74,74,1989,Single-person household,Urban regions,No,0.40481,368,4452,0.38627,0.4232
75,75,1989,Single-person household,Rural regions,Yes,0.55641,86,4452,0.51303,0.59379
76,76,1989,Single-person household,Rural regions,No,0.44359,73,4452,0.39671,0.48041
77,77,1989,Couple without children,Urban regions,Yes,0.73935,619,4452,0.71482,0.76571
78,78,1989,Couple without children,Urban regions,No,0.26065,285,4452,0.24187,0.28283
79,79,1989,Couple without children,Rural regions,Yes,0.68695,152,4452,0.64454,0.72284
80,80,1989,Couple without children,Rural regions,No,0.31305,76,4452,0.27895,0.34504
81,81,1989,Single parent,Urban regions,Yes,0.71157,133,4452,0.66451,0.76373
82,82,1989,Single parent,Urban regions,No,0.28843,62,4452,0.23766,0.33936
83,83,1989,Single parent,Rural regions,Yes,1.0,34,4452,0.86348,1.13964
84,84,1989,Couple with children,Urban regions,Yes,0.76795,1052,4452,0.74676,0.79177
85,85,1989,Couple with children,Urban regions,No,0.23205,502,4452,0.21523,0.2481
86,86,1989,Couple with children,Rural regions,Yes,0.77641,296,4452,0.73861,0.81767
87,87,1989,Couple with children,Rural regions,No,0.22359,106,4452,0.19523,0.24998
88,88,1989,Multi-generational household,Urban regions,Yes,0.69023,38,4452,0.51795,0.86794
89,89,1989,Multi-generational household,Urban regions,No,0.30977,34,4452,0.20687,0.43018
90,90,1989,Other Combinations,Urban regions,Yes,1.0,49,4452,0.8595,1.12684
91,91,1990,Single-person household,Urban regions,Yes,0.61659,499,5276,0.59424,0.63691
92,92,1990,Single-person household,Urban regions,No,0.38341,338,5276,0.36293,0.40484
93,93,1990,Single-person household,Rural regions,Yes,0.63158,142,5276,0.58881,0.66495
94,94,1990,Single-person household,Rural regions,No,0.36842,78,5276,0.33539,0.406
95,95,1990,Couple without children,Urban regions,Yes,0.73826,689,5276,0.71496,0.76205
96,96,1990,Couple without children,Urban regions,No,0.26174,294,5276,0.2417,0.27979
97,97,1990,Couple without children,Rural regions,Yes,0.74684,266,5276,0.69828,0.79514
98,98,1990,Couple without children,Rural regions,No,0.25316,81,5276,0.22676,0.27479
99,99,1990,Single parent,Urban regions,Yes,0.78844,183,5276,0.72486,0.84978
100,100,1990,Single parent,Urban regions,No,0.21156,54,5276,0.17018,0.25028
101,101,1990,Single parent,Rural regions,Yes,1.0,60,5276,0.83185,1.14543
102,102,1990,Couple with children,Urban regions,Yes,0.77985,1198,5276,0.75321,0.8066
103,103,1990,Couple with children,Urban regions,No,0.22015,496,5276,0.20504,0.23726
104,104,1990,Couple with children,Rural regions,Yes,0.82184,619,5276,0.77967,0.86611
105,105,1990,Couple with children,Rural regions,No,0.17816,107,5276,0.15621,0.20129
106,106,1990,Multi-generational household,Urban regions,Yes,0.75566,57,5276,0.59498,0.95556
107,107,1990,Multi-generational household,Urban regions,No,0.24434,34,5276,0.15389,0.34931
108,108,1990,Multi-generational household,Rural regions,Yes,1.0,32,5276,0.79647,1.24871
109,109,1990,Other Combinations,Urban regions,Yes,1.0,49,5276,0.82554,1.16672
110,110,1991,Single-person household,Urban regions,Yes,0.59257,510,6431,0.57598,0.61002
111,111,1991,Single-person household,Urban regions,No,0.40743,417,6431,0.38905,0.42638
112,112,1991,Single-person household,Rural regions,Yes,0.47284,145,6431,0.44485,0.51124
113,113,1991,Single-person household,Rural regions,No,0.52716,189,6431,0.49245,0.56004
114,114,1991,Couple without children,Urban regions,Yes,0.7175,729,6431,0.69276,0.7404
115,115,1991,Couple without children,Urban regions,No,0.2825,362,6431,0.26154,0.30339
116,116,1991,Couple without children,Rural regions,Yes,0.56605,271,6431,0.53557,0.59813
117,117,1991,Couple without children,Rural regions,No,0.43395,264,6431,0.40866,0.45733
118,118,1991,Single parent,Urban regions,Yes,0.69011,172,6431,0.63045,0.73248
119,119,1991,Single parent,Urban regions,No,0.30989,91,6431,0.27162,0.35129
120,120,1991,Single parent,Rural regions,Yes,0.6402,69,6431,0.56993,0.72737
121,121,1991,Single parent,Rural regions,No,0.3598,46,6431,0.28424,0.41675
122,122,1991,Couple with children,Urban regions,Yes,0.76173,1244,6431,0.73496,0.78918
123,123,1991,Couple with children,Urban regions,No,0.23827,617,6431,0.22281,0.25307
124,124,1991,Couple with children,Rural regions,Yes,0.63776,616,6431,0.60318,0.67598
125,125,1991,Couple with children,Rural regions,No,0.36224,472,6431,0.34152,0.38494
126,126,1991,Multi-generational household,Urban regions,Yes,0.71877,52,6431,0.54197,0.87385
127,127,1991,Multi-generational household,Urban regions,No,0.28123,40,6431,0.1846,0.3951
128,128,1991,Multi-generational household,Rural regions,Yes,1.0,31,6431,0.76324,1.26937
129,129,1991,Other Combinations,Urban regions,Yes,1.0,51,6431,0.83815,1.1777
130,130,1991,Other Combinations,Rural regions,No,1.0,43,6431,0.87215,1.15413
131,131,1992,Single-person household,Urban regions,Yes,0.61508,531,6330,0.59274,0.6399
132,132,1992,Single-person household,Urban regions,No,0.38492,386,6330,0.36848,0.40551
133,133,1992,Single-person household,Rural regions,Yes,0.49089,151,6330,0.45208,0.52161
134,134,1992,Single-person household,Rural regions,No,0.50911,182,6330,0.47596,0.54274
135,135,1992,Couple without children,Urban regions,Yes,0.71974,754,6330,0.69327,0.74604
136,136,1992,Couple without children,Urban regions,No,0.28026,370,6330,0.26311,0.30441
137,137,1992,Couple without children,Rural regions,Yes,0.59971,270,6330,0.56313,0.63235
138,138,1992,Couple without children,Rural regions,No,0.40029,234,6330,0.37186,0.42401
139,139,1992,Single parent,Urban regions,Yes,0.74526,178,6330,0.67502,0.80662
140,140,1992,Single parent,Urban regions,No,0.25474,86,6330,0.21765,0.2931
141,141,1992,Single parent,Rural regions,Yes,0.61484,64,6330,0.52323,0.70204
142,142,1992,Single parent,Rural regions,No,0.38516,56,6330,0.31948,0.45143
143,143,1992,Couple with children,Urban regions,Yes,0.76912,1210,6330,0.74155,0.79773
144,144,1992,Couple with children,Urban regions,No,0.23088,577,6330,0.21501,0.24462
145,145,1992,Couple with children,Rural regions,Yes,0.66395,601,6330,0.62937,0.7061
146,146,1992,Couple with children,Rural regions,No,0.33605,426,6330,0.31307,0.35676
147,147,1992,Multi-generational household,Urban regions,Yes,0.73033,49,6330,0.52862,0.9514
148,148,1992,Multi-generational household,Urban regions,No,0.26967,35,6330,0.16086,0.41755
149,149,1992,Multi-generational household,Rural regions,Yes,1.0,33,6330,0.74506,1.3502
150,150,1992,Other Combinations,Urban regions,Yes,0.6591,57,6330,0.52681,0.7742
151,151,1992,Other Combinations,Urban regions,No,0.3409,36,6330,0.26131,0.43207
152,152,1992,Other Combinations,Rural regions,No,1.0,44,6330,0.83381,1.14988
153,153,1993,Single-person household,Urban regions,Yes,0.62134,547,6315,0.59546,0.64793
154,154,1993,Single-person household,Urban regions,No,0.37866,385,6315,0.35787,0.40057
155,155,1993,Single-person household,Rural regions,Yes,0.49215,168,6315,0.45685,0.52447
156,156,1993,Single-person household,Rural regions,No,0.50785,201,6315,0.47971,0.54497
157,157,1993,Couple without children,Urban regions,Yes,0.72299,773,6315,0.69417,0.74877
158,158,1993,Couple without children,Urban regions,No,0.27701,367,6315,0.25761,0.29883
159,159,1993,Couple without children,Rural regions,Yes,0.60331,282,6315,0.56163,0.64802
160,160,1993,Couple without children,Rural regions,No,0.39669,241,6315,0.36961,0.42004
161,161,1993,Single parent,Urban regions,Yes,0.7578,173,6315,0.68715,0.82085
162,162,1993,Single parent,Urban regions,No,0.2422,77,6315,0.19767,0.28835
163,163,1993,Single parent,Rural regions,Yes,0.56888,57,6315,0.49412,0.65091
164,164,1993,Single parent,Rural regions,No,0.43112,59,6315,0.34699,0.51303
165,165,1993,Couple with children,Urban regions,Yes,0.77256,1176,6315,0.74331,0.80197
166,166,1993,Couple with children,Urban regions,No,0.22744,561,6315,0.21122,0.24186
167,167,1993,Couple with children,Rural regions,Yes,0.65443,573,6315,0.6151,0.68225
168,168,1993,Couple with children,Rural regions,No,0.34557,419,6315,0.32397,0.3738
169,169,1993,Multi-generational household,Urban regions,Yes,0.70649,49,6315,0.5521,0.88743
170,170,1993,Multi-generational household,Urban regions,No,0.29351,34,6315,0.19669,0.44972
171,171,1993,Multi-generational household,Rural regions,Yes,1.0,39,6315,0.79805,1.23293
172,172,1993,Other Combinations,Urban regions,Yes,0.63241,58,6315,0.50751,0.74498
173,173,1993,Other Combinations,Urban regions,No,0.36759,38,6315,0.28416,0.44584
174,174,1993,Other Combinations,Rural regions,No,1.0,38,6315,0.83998,1.16233
175,175,1994,Single-person household,Urban regions,Yes,0.616,538,6188,0.59272,0.64334
176,176,1994,Single-person household,Urban regions,No,0.384,385,6188,0.36447,0.40304
177,177,1994,Single-person household,Rural regions,Yes,0.50464,176,6188,0.46994,0.54379
178,178,1994,Single-person household,Rural regions,No,0.49536,195,6188,0.45424,0.53603
179,179,1994,Couple without children,Urban regions,Yes,0.7419,801,6188,0.71034,0.77187
180,180,1994,Couple without children,Urban regions,No,0.2581,354,6188,0.23837,0.28035
181,181,1994,Couple without children,Rural regions,Yes,0.60605,299,6188,0.56774,0.64577
182,182,1994,Couple without children,Rural regions,No,0.39395,250,6188,0.36549,0.42279
183,183,1994,Single parent,Urban regions,Yes,0.70547,160,6188,0.63283,0.77854
184,184,1994,Single parent,Urban regions,No,0.29453,80,6188,0.24544,0.34127
185,185,1994,Single parent,Rural regions,Yes,0.60037,54,6188,0.50305,0.69803
186,186,1994,Single parent,Rural regions,No,0.39963,55,6188,0.31727,0.4715
187,187,1994,Couple with children,Urban regions,Yes,0.78202,1158,6188,0.75217,0.81034
188,188,1994,Couple with children,Urban regions,No,0.21798,518,6188,0.20224,0.23073
189,189,1994,Couple with children,Rural regions,Yes,0.66983,566,6188,0.62855,0.70798
190,190,1994,Couple with children,Rural regions,No,0.33017,387,6188,0.31211,0.35484
191,191,1994,Multi-generational household,Urban regions,Yes,1.0,45,6188,0.75638,1.29641
192,192,1994,Multi-generational household,Rural regions,Yes,1.0,35,6188,0.79324,1.29267
193,193,1994,Other Combinations,Urban regions,Yes,0.7151,66,6188,0.59734,0.81592
194,194,1994,Other Combinations,Urban regions,No,0.2849,34,6188,0.20687,0.36723
195,195,1994,Other Combinations,Rural regions,No,1.0,32,6188,0.83369,1.22032
196,196,1995,Single-person household,Urban regions,Yes,0.63275,570,6378,0.60232,0.65903
197,197,1995,Single-person household,Urban regions,No,0.36725,389,6378,0.34616,0.38766
198,198,1995,Single-person household,Rural regions,Yes,0.50633,171,6378,0.46603,0.54855
199,199,1995,Single-person household,Rural regions,No,0.49367,200,6378,0.4551,0.53172
200,200,1995,Couple without children,Urban regions,Yes,0.75227,834,6378,0.71775,0.78239
201,201,1995,Couple without children,Urban regions,No,0.24773,357,6378,0.22921,0.26502
202,202,1995,Couple without children,Rural regions,Yes,0.64622,330,6378,0.60031,0.69186
203,203,1995,Couple without children,Rural regions,No,0.35378,234,6378,0.32949,0.37546
204,204,1995,Single parent,Urban regions,Yes,0.72914,168,6378,0.67433,0.80248
205,205,1995,Single parent,Urban regions,No,0.27086,74,6378,0.21823,0.33362
206,206,1995,Single parent,Rural regions,Yes,0.59519,63,6378,0.50803,0.69156
207,207,1995,Single parent,Rural regions,No,0.40481,57,6378,0.34452,0.46609
208,208,1995,Couple with children,Urban regions,Yes,0.78985,1208,6378,0.75451,0.82431
209,209,1995,Couple with children,Urban regions,No,0.21015,508,6378,0.1934,0.22502
210,210,1995,Couple with children,Rural regions,Yes,0.6858,606,6378,0.645,0.72767
211,211,1995,Couple with children,Rural regions,No,0.3142,386,6378,0.29663,0.33339
212,212,1995,Multi-generational household,Urban regions,Yes,0.69834,51,6378,0.52714,0.88631
213,213,1995,Multi-generational household,Urban regions,No,0.30166,34,6378,0.20854,0.41311
214,214,1995,Multi-generational household,Rural regions,Yes,1.0,31,6378,0.76623,1.23231
215,215,1995,Other Combinations,Urban regions,Yes,1.0,73,6378,0.88639,1.15169
216,216,1995,Other Combinations,Rural regions,Yes,1.0,34,6378,0.78238,1.22315
217,217,1996,Single-person household,Urban regions,Yes,0.63986,583,6288,0.61444,0.6668
218,218,1996,Single-person household,Urban regions,No,0.36014,379,6288,0.33428,0.378
219,219,1996,Single-person household,Rural regions,Yes,0.53727,190,6288,0.49317,0.58375
220,220,1996,Single-person household,Rural regions,No,0.46273,206,6288,0.42886,0.49878
221,221,1996,Couple without children,Urban regions,Yes,0.76614,839,6288,0.73666,0.79908
222,222,1996,Couple without children,Urban regions,No,0.23386,352,6288,0.21587,0.2496
223,223,1996,Couple without children,Rural regions,Yes,0.66492,355,6288,0.62463,0.71234
224,224,1996,Couple without children,Rural regions,No,0.33508,233,6288,0.30782,0.36301
225,225,1996,Single parent,Urban regions,Yes,0.70421,173,6288,0.63911,0.78478
226,226,1996,Single parent,Urban regions,No,0.29579,78,6288,0.24619,0.36133
227,227,1996,Single parent,Rural regions,Yes,0.62541,67,6288,0.5315,0.7375
228,228,1996,Single parent,Rural regions,No,0.37459,52,6288,0.32109,0.42387
229,229,1996,Couple with children,Urban regions,Yes,0.80034,1213,6288,0.7693,0.83422
230,230,1996,Couple with children,Urban regions,No,0.19966,459,6288,0.18478,0.21428
231,231,1996,Couple with children,Rural regions,Yes,0.70141,592,6288,0.65244,0.74214
232,232,1996,Couple with children,Rural regions,No,0.29859,345,6288,0.27727,0.31904
233,233,1996,Multi-generational household,Urban regions,Yes,1.0,45,6288,0.7522,1.26358
234,234,1996,Multi-generational household,Rural regions,Yes,1.0,31,6288,0.76869,1.23199
235,235,1996,Other Combinations,Urban regions,Yes,1.0,61,6288,0.86126,1.15045
236,236,1996,Other Combinations,Rural regions,Yes,1.0,35,6288,0.76897,1.25848
237,237,1997,Single-person household,Urban regions,Yes,0.64131,565,6144,0.61745,0.66875
238,238,1997,Single-person household,Urban regions,No,0.35869,380,6144,0.33547,0.38174
239,239,1997,Single-person household,Rural regions,Yes,0.56012,200,6144,0.51431,0.60483
240,240,1997,Single-person household,Rural regions,No,0.43988,184,6144,0.40351,0.47561
241,241,1997,Couple without children,Urban regions,Yes,0.77493,868,6144,0.74154,0.80788
242,242,1997,Couple without children,Urban regions,No,0.22507,339,6144,0.20488,0.24522
243,243,1997,Couple without children,Rural regions,Yes,0.6591,360,6144,0.61159,0.70524
244,244,1997,Couple without children,Rural regions,No,0.3409,246,6144,0.31548,0.36611
245,245,1997,Single parent,Urban regions,Yes,0.75267,172,6144,0.67484,0.83662
246,246,1997,Single parent,Urban regions,No,0.24733,77,6144,0.20669,0.29331
247,247,1997,Single parent,Rural regions,Yes,0.66185,75,6144,0.54924,0.77271
248,248,1997,Single parent,Rural regions,No,0.33815,50,6144,0.29441,0.39136
249,249,1997,Couple with children,Urban regions,Yes,0.81579,1199,6144,0.77805,0.85775
250,250,1997,Couple with children,Urban regions,No,0.18421,410,6144,0.1703,0.2009
251,251,1997,Couple with children,Rural regions,Yes,0.71423,595,6144,0.66907,0.75317
252,252,1997,Couple with children,Rural regions,No,0.28577,316,6144,0.26395,0.30881
253,253,1997,Multi-generational household,Urban regions,Yes,1.0,46,6144,0.75543,1.28358
254,254,1997,Other Combinations,Urban regions,Yes,1.0,62,6144,0.82207,1.19724
255,255,1998,Single-person household,Urban regions,Yes,0.64628,738,7249,0.62444,0.67143
256,256,1998,Single-person household,Urban regions,No,0.35372,465,7249,0.33616,0.37185
257,257,1998,Single-person household,Rural regions,Yes,0.54695,251,7249,0.51228,0.58792
258,258,1998,Single-person household,Rural regions,No,0.45305,230,7249,0.42269,0.48346
259,259,1998,Couple without children,Urban regions,Yes,0.78804,1063,7249,0.75847,0.81996
260,260,1998,Couple without children,Urban regions,No,0.21196,369,7249,0.19625,0.22825
261,261,1998,Couple without children,Rural regions,Yes,0.68076,466,7249,0.64282,0.71905
262,262,1998,Couple without children,Rural regions,No,0.31924,265,7249,0.29148,0.34856
263,263,1998,Single parent,Urban regions,Yes,0.73851,208,7249,0.68767,0.79447
264,264,1998,Single parent,Urban regions,No,0.26149,93,7249,0.22509,0.29758
265,265,1998,Single parent,Rural regions,Yes,0.72595,98,7249,0.63545,0.83588
266,266,1998,Single parent,Rural regions,No,0.27405,47,7249,0.23062,0.31305
267,267,1998,Couple with children,Urban regions,Yes,0.8101,1363,7249,0.7808,0.84185
268,268,1998,Couple with children,Urban regions,No,0.1899,416,7249,0.17646,0.20438
269,269,1998,Couple with children,Rural regions,Yes,0.7567,722,7249,0.71721,0.79839
270,270,1998,Couple with children,Rural regions,No,0.2433,303,7249,0.22703,0.26561
271,271,1998,Multi-generational household,Urban regions,Yes,1.0,45,7249,0.78905,1.25047
272,272,1998,Other Combinations,Urban regions,Yes,1.0,74,7249,0.84291,1.16457
273,273,1998,Other Combinations,Rural regions,Yes,1.0,33,7249,0.74453,1.24828
274,274,1999,Single-person household,Urban regions,Yes,0.64678,693,6933,0.6215,0.67239
275,275,1999,Single-person household,Urban regions,No,0.35322,445,6933,0.3378,0.37273
276,276,1999,Single-person household,Rural regions,Yes,0.57402,259,6933,0.53281,0.61273
277,277,1999,Single-person household,Rural regions,No,0.42598,212,6933,0.39752,0.45483
278,278,1999,Couple without children,Urban regions,Yes,0.79463,1052,6933,0.76402,0.82262
279,279,1999,Couple without children,Urban regions,No,0.20537,352,6933,0.19046,0.22238
280,280,1999,Couple without children,Rural regions,Yes,0.69937,472,6933,0.66538,0.73749
281,281,1999,Couple without children,Rural regions,No,0.30063,258,6933,0.2769,0.32748
282,282,1999,Single parent,Urban regions,Yes,0.75184,196,6933,0.69637,0.83193
283,283,1999,Single parent,Urban regions,No,0.24816,84,6933,0.21241,0.28591
284,284,1999,Single parent,Rural regions,Yes,0.72422,108,6933,0.62853,0.85581
285,285,1999,Single parent,Rural regions,No,0.27578,52,6933,0.23317,0.31804
286,286,1999,Couple with children,Urban regions,Yes,0.82229,1357,6933,0.78483,0.85013
287,287,1999,Couple with children,Urban regions,No,0.17771,375,6933,0.16188,0.19215
288,288,1999,Couple with children,Rural regions,Yes,0.75922,691,6933,0.71443,0.8019
289,289,1999,Couple with children,Rural regions,No,0.24078,284,6933,0.22122,0.26105
290,290,1999,Multi-generational household,Urban regions,Yes,1.0,43,6933,0.79665,1.27577
291,291,2000,Single-person household,Urban regions,Yes,0.64874,1407,12689,0.63372,0.66204
292,292,2000,Single-person household,Urban regions,No,0.35126,829,12689,0.3404,0.36057
293,293,2000,Single-person household,Rural regions,Yes,0.55028,522,12689,0.52984,0.57216
294,294,2000,Single-person household,Rural regions,No,0.44972,445,12689,0.43574,0.46635
295,295,2000,Couple without children,Urban regions,Yes,0.8113,2077,12689,0.79459,0.82883
296,296,2000,Couple without children,Urban regions,No,0.1887,534,12689,0.17896,0.19862
297,297,2000,Couple without children,Rural regions,Yes,0.70442,883,12689,0.68053,0.72693
298,298,2000,Couple without children,Rural regions,No,0.29558,433,12689,0.28137,0.309
299,299,2000,Single parent,Urban regions,Yes,0.74605,359,12689,0.70622,0.78903
300,300,2000,Single parent,Urban regions,No,0.25395,139,12689,0.23479,0.27459
301,301,2000,Single parent,Rural regions,Yes,0.68917,160,12689,0.63255,0.75728
302,302,2000,Single parent,Rural regions,No,0.31083,88,12689,0.28207,0.34612
303,303,2000,Couple with children,Urban regions,Yes,0.82522,2363,12689,0.80687,0.84563
304,304,2000,Couple with children,Urban regions,No,0.17478,556,12689,0.16575,0.183
305,305,2000,Couple with children,Rural regions,Yes,0.75377,1215,12689,0.73214,0.77694
306,306,2000,Couple with children,Rural regions,No,0.24623,446,12689,0.23464,0.25754
307,307,2000,Multi-generational household,Urban regions,Yes,1.0,79,12689,0.89653,1.12564
308,308,2000,Multi-generational household,Rural regions,Yes,1.0,46,12689,0.80232,1.17287
309,309,2000,Other Combinations,Urban regions,Yes,1.0,77,12689,0.91157,1.08077
310,310,2000,Other Combinations,Rural regions,Yes,1.0,31,12689,0.81798,1.24788
311,311,2001,Single-person household,Urban regions,Yes,0.66209,1301,11394,0.64298,0.67822
312,312,2001,Single-person household,Urban regions,No,0.33791,717,11394,0.32609,0.34804
313,313,2001,Single-person household,Rural regions,Yes,0.56338,464,11394,0.53837,0.58629
314,314,2001,Single-person household,Rural regions,No,0.43662,385,11394,0.41621,0.45622
315,315,2001,Couple without children,Urban regions,Yes,0.81268,1860,11394,0.79031,0.82998
316,316,2001,Couple without children,Urban regions,No,0.18732,477,11394,0.1765,0.19787
317,317,2001,Couple without children,Rural regions,Yes,0.72325,832,11394,0.69637,0.74904
318,318,2001,Couple without children,Rural regions,No,0.27675,374,11394,0.26484,0.28884
319,319,2001,Single parent,Urban regions,Yes,0.70796,321,11394,0.67227,0.75066
320,320,2001,Single parent,Urban regions,No,0.29204,133,11394,0.2671,0.32662
321,321,2001,Single parent,Rural regions,Yes,0.68518,150,11394,0.61236,0.74252
322,322,2001,Single parent,Rural regions,No,0.31482,83,11394,0.28071,0.35678
323,323,2001,Couple with children,Urban regions,Yes,0.8378,2177,11394,0.81897,0.85922
324,324,2001,Couple with children,Urban regions,No,0.1622,468,11394,0.15269,0.17302
325,325,2001,Couple with children,Rural regions,Yes,0.76618,1086,11394,0.73879,0.79465
326,326,2001,Couple with children,Rural regions,No,0.23382,385,11394,0.22195,0.24893
327,327,2001,Multi-generational household,Urban regions,Yes,1.0,81,11394,0.8899,1.14502
328,328,2001,Multi-generational household,Rural regions,Yes,1.0,38,11394,0.76846,1.24929
