year,regtyp,rentown,hgeqpter,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1997,Rural regions,Tenant,No,0.40168,495,1123,0.37299,0.43036
1998,Urban regions,Owner,Yes,0.86318,1439,1678,0.84673,0.87962
1998,Urban regions,Owner,No,0.13472,239,1678,0.11838,0.15106
1998,Urban regions,Tenant,Yes,0.65533,2060,3217,0.63891,0.67176
1998,Urban regions,Tenant,No,0.33610,1157,3217,0.31977,0.35242
1998,Rural regions,Owner,Yes,0.73341,848,1208,0.70846,0.75835
1998,Rural regions,Owner,No,0.25655,360,1208,0.23191,0.28119
1998,Rural regions,Tenant,Yes,0.58038,738,1259,0.55310,0.60765
1998,Rural regions,Tenant,No,0.40377,521,1259,0.37666,0.43089
1999,Urban regions,Owner,Yes,0.86264,1425,1650,0.84603,0.87926
1999,Urban regions,Owner,No,0.12689,225,1650,0.11082,0.14295
1999,Urban regions,Tenant,Yes,0.65696,1953,3017,0.64001,0.67390
1999,Urban regions,Tenant,No,0.32943,1064,3017,0.31265,0.34620
1999,Rural regions,Owner,Yes,0.75145,844,1185,0.72683,0.77606
1999,Rural regions,Owner,No,0.23998,341,1185,0.21566,0.26431
1999,Rural regions,Tenant,Yes,0.58622,719,1205,0.55840,0.61404
1999,Rural regions,Tenant,No,0.38844,486,1205,0.36090,0.41597
2000,Urban regions,Owner,Yes,0.87508,3062,3466,0.86407,0.88608
2000,Urban regions,Owner,No,0.11174,404,3466,0.10125,0.12222
2000,Urban regions,Tenant,Yes,0.65196,3312,5017,0.63878,0.66514
2000,Urban regions,Tenant,No,0.32914,1705,5017,0.31614,0.34215
2000,Rural regions,Owner,Yes,0.74372,1679,2300,0.72588,0.76157
2000,Rural regions,Owner,No,0.24855,621,2300,0.23088,0.26622
2000,Rural regions,Tenant,Yes,0.57379,1166,1997,0.55210,0.59549
2000,Rural regions,Tenant,No,0.40836,831,1997,0.38679,0.42992
2001,Urban regions,Owner,Yes,0.87712,2757,3104,0.86556,0.88867
2001,Urban regions,Owner,No,0.10937,347,3104,0.09839,0.12035
2001,Urban regions,Tenant,Yes,0.65554,3056,4550,0.64173,0.66935
2001,Urban regions,Tenant,No,0.32057,1494,4550,0.30701,0.33414
2001,Rural regions,Owner,Yes,0.73931,1525,2097,0.72051,0.75810
2001,Rural regions,Owner,No,0.24714,572,2097,0.22868,0.26561
2001,Rural regions,Tenant,Yes,0.59776,1059,1742,0.57473,0.62079
2001,Rural regions,Tenant,No,0.38382,683,1742,0.36097,0.40666
2002,Urban regions,Owner,Yes,0.88007,3277,3620,0.86948,0.89065
2002,Urban regions,Owner,No,0.10603,343,3620,0.09599,0.11606
2002,Urban regions,Tenant,Yes,0.65942,3083,4461,0.64551,0.67333
2002,Urban regions,Tenant,No,0.30877,1378,4461,0.29521,0.32233
2002,Rural regions,Owner,Yes,0.73618,1602,2144,0.71752,0.75484
2002,Rural regions,Owner,No,0.24757,542,2144,0.22929,0.26584
2002,Rural regions,Tenant,Yes,0.59112,1057,1740,0.56802,0.61423
2002,Rural regions,Tenant,No,0.38239,683,1740,0.35955,0.40523
2003,Urban regions,Owner,Yes,0.87611,3161,3505,0.86520,0.88702
2003,Urban regions,Owner,No,0.10915,344,3505,0.09883,0.11948
2003,Urban regions,Tenant,Yes,0.66824,3016,4301,0.65417,0.68232
2003,Urban regions,Tenant,No,0.29897,1285,4301,0.28529,0.31266
2003,Rural regions,Owner,Yes,0.74650,1556,2075,0.72777,0.76522
2003,Rural regions,Owner,No,0.23730,519,2075,0.21899,0.25561
2003,Rural regions,Tenant,Yes,0.58448,1015,1667,0.56081,0.60814
2003,Rural regions,Tenant,No,0.38710,652,1667,0.36371,0.41049
2004,Urban regions,Owner,Yes,0.88210,3101,3419,0.87129,0.89291
2004,Urban regions,Owner,No,0.10362,318,3419,0.09340,0.11384
2004,Urban regions,Tenant,Yes,0.67535,2967,4185,0.66116,0.68953
2004,Urban regions,Tenant,No,0.29137,1218,4185,0.27760,0.30514
2004,Rural regions,Owner,Yes,0.75455,1564,2059,0.73596,0.77315
2004,Rural regions,Owner,No,0.22941,495,2059,0.21124,0.24757
2004,Rural regions,Tenant,Yes,0.58441,1006,1612,0.56035,0.60848
2004,Rural regions,Tenant,No,0.37321,606,1612,0.34959,0.39683
2005,Urban regions,Owner,Yes,0.90053,3048,3337,0.89037,0.91068
2005,Urban regions,Owner,No,0.09885,289,3337,0.08872,0.10898
2005,Urban regions,Tenant,Yes,0.70739,2989,4201,0.69363,0.72115
2005,Urban regions,Tenant,No,0.28730,1212,4201,0.27361,0.30098
2005,Rural regions,Owner,Yes,0.80482,1603,2045,0.78763,0.82200
2005,Rural regions,Owner,No,0.19338,442,2045,0.17626,0.21051
2005,Rural regions,Tenant,Yes,0.62164,1006,1592,0.59781,0.64547
2005,Rural regions,Tenant,No,0.37284,586,1592,0.34908,0.39660
2006,Urban regions,Owner,Yes,0.90143,3384,3708,0.89184,0.91103
2006,Urban regions,Owner,No,0.09833,324,3708,0.08874,0.10791
2006,Urban regions,Tenant,Yes,0.70686,3184,4449,0.69348,0.72024
2006,Urban regions,Tenant,No,0.28980,1265,4449,0.27647,0.30313
2006,Rural regions,Owner,Yes,0.82067,1851,2293,0.80497,0.83638
2006,Rural regions,Owner,No,0.17896,442,2293,0.16327,0.19466
2006,Rural regions,Tenant,Yes,0.62745,1138,1797,0.60509,0.64981
2006,Rural regions,Tenant,No,0.36907,659,1797,0.34675,0.39139
2007,Urban regions,Owner,Yes,0.90599,3182,3469,0.89628,0.91571
2007,Urban regions,Owner,No,0.09256,287,3469,0.08292,0.10221
2007,Urban regions,Tenant,Yes,0.73299,3044,4128,0.71950,0.74649
2007,Urban regions,Tenant,No,0.26460,1084,4128,0.25114,0.27806
2007,Rural regions,Owner,Yes,0.81846,1738,2148,0.80216,0.83477
2007,Rural regions,Owner,No,0.18114,410,2148,0.16485,0.19743
2007,Rural regions,Tenant,Yes,0.63167,1069,1689,0.60866,0.65468
2007,Rural regions,Tenant,No,0.36190,620,1689,0.33898,0.38483
2008,Urban regions,Owner,Yes,0.91320,3046,3308,0.90360,0.92279
2008,Urban regions,Owner,No,0.08581,262,3308,0.07627,0.09536
2008,Urban regions,Tenant,Yes,0.73445,2873,3873,0.72054,0.74836
2008,Urban regions,Tenant,No,0.26383,1000,3873,0.24995,0.27771
2008,Rural regions,Owner,Yes,0.82632,1694,2069,0.80999,0.84265
2008,Rural regions,Owner,No,0.17329,375,2069,0.15698,0.18961
2008,Rural regions,Tenant,Yes,0.65903,1012,1560,0.63549,0.68256
2008,Rural regions,Tenant,No,0.33725,548,1560,0.31378,0.36071
2009,Urban regions,Owner,Yes,0.90994,2850,3099,0.89986,0.92002
2009,Urban regions,Owner,No,0.08870,249,3099,0.07869,0.09871
2009,Urban regions,Tenant,Yes,0.74581,2692,3596,0.73157,0.76004
2009,Urban regions,Tenant,No,0.25286,904,3596,0.23866,0.26707
2009,Rural regions,Owner,Yes,0.82320,1608,1962,0.80631,0.84008
2009,Rural regions,Owner,No,0.17639,354,1962,0.15952,0.19326
2009,Rural regions,Tenant,Yes,0.66236,982,1511,0.63851,0.68622
2009,Rural regions,Tenant,No,0.33280,529,1511,0.30903,0.35656
2010,Urban regions,Owner,Yes,0.91100,3546,3831,0.90198,0.92002
2010,Urban regions,Owner,No,0.08837,285,3831,0.07938,0.09736
2010,Urban regions,Tenant,Yes,0.74058,3965,5249,0.72872,0.75244
2010,Urban regions,Tenant,No,0.25758,1284,5249,0.24575,0.26941
2010,Rural regions,Owner,Yes,0.81437,2071,2498,0.79912,0.82962
2010,Rural regions,Owner,No,0.18563,427,2498,0.17038,0.20088
2010,Rural regions,Tenant,Yes,0.66866,1503,2210,0.64903,0.68829
2010,Rural regions,Tenant,No,0.32820,707,2210,0.30861,0.34778
2011,Urban regions,Owner,Yes,0.92882,4308,4622,0.92140,0.93623
2011,Urban regions,Owner,No,0.07118,314,4622,0.06377,0.07860
2011,Urban regions,Tenant,Yes,0.74688,4682,6134,0.73599,0.75776
2011,Urban regions,Tenant,No,0.25281,1452,6134,0.24193,0.26368
2011,Rural regions,Owner,Yes,0.83940,2604,3099,0.82647,0.85233
2011,Rural regions,Owner,No,0.16060,495,3099,0.14767,0.17353
2011,Rural regions,Tenant,Yes,0.66050,1870,2744,0.64278,0.67822
2011,Rural regions,Tenant,No,0.33748,874,2744,0.31978,0.35518
2012,Urban regions,Owner,Yes,0.92310,4186,4514,0.91532,0.93087
2012,Urban regions,Owner,No,0.07690,328,4514,0.06913,0.08468
2012,Urban regions,Tenant,Yes,0.74713,4536,5933,0.73607,0.75819
2012,Urban regions,Tenant,No,0.25246,1397,5933,0.24141,0.26352
2012,Rural regions,Owner,Yes,0.85171,2618,3082,0.83916,0.86426
2012,Rural regions,Owner,No,0.14829,464,3082,0.13574,0.16084
2012,Rural regions,Tenant,Yes,0.69352,1943,2773,0.67636,0.71069
2012,Rural regions,Tenant,No,0.30648,830,2773,0.28931,0.32364
2013,Urban regions,Owner,Yes,0.92422,4357,4681,0.91663,0.93180
2013,Urban regions,Owner,No,0.07578,324,4681,0.06820,0.08337
2013,Urban regions,Tenant,Yes,0.74350,5486,7170,0.73339,0.75360
2013,Urban regions,Tenant,No,0.25650,1684,7170,0.24640,0.26661
2013,Rural regions,Owner,Yes,0.84999,2585,3027,0.83727,0.86272
2013,Rural regions,Owner,No,0.15001,442,3027,0.13728,0.16273
2013,Rural regions,Tenant,Yes,0.68708,2113,2992,0.67046,0.70370
2013,Rural regions,Tenant,No,0.31292,879,2992,0.29630,0.32954
2014,Urban regions,Owner,Yes,0.93148,3995,4273,0.92391,0.93906
2014,Urban regions,Owner,No,0.06852,278,4273,0.06094,0.07609
2014,Urban regions,Tenant,Yes,0.74815,4754,6123,0.73728,0.75902
2014,Urban regions,Tenant,No,0.25027,1369,6123,0.23942,0.26112
2014,Rural regions,Owner,Yes,0.84734,2360,2779,0.83396,0.86071
2014,Rural regions,Owner,No,0.15266,419,2779,0.13929,0.16604
2014,Rural regions,Tenant,Yes,0.68433,1855,2649,0.66663,0.70204
2014,Rural regions,Tenant,No,0.31567,794,2649,0.29796,0.33337
2015,Urban regions,Owner,Yes,0.92823,3771,4048,0.92028,0.93618
2015,Urban regions,Owner,No,0.07122,277,4048,0.06330,0.07915
2015,Urban regions,Tenant,Yes,0.74348,4764,6330,0.73272,0.75424
2015,Urban regions,Tenant,No,0.25535,1566,6330,0.24461,0.26610
2015,Rural regions,Owner,Yes,0.85469,2306,2689,0.84137,0.86801
2015,Rural regions,Owner,No,0.14531,383,2689,0.13199,0.15863
2015,Rural regions,Tenant,Yes,0.69324,1893,2691,0.67581,0.71067
2015,Rural regions,Tenant,No,0.30658,798,2691,0.28916,0.32400
2016,Urban regions,Owner,Yes,0.93280,3531,3770,0.92480,0.94079
2016,Urban regions,Owner,No,0.06713,239,3770,0.05915,0.07512
2016,Urban regions,Tenant,Yes,0.73953,4249,5601,0.72803,0.75103
2016,Urban regions,Tenant,No,0.25999,1352,5601,0.24850,0.27148
2016,Rural regions,Owner,Yes,0.85272,2161,2531,0.83891,0.86653
2016,Rural regions,Owner,No,0.14728,370,2531,0.13347,0.16109
2016,Rural regions,Tenant,Yes,0.70281,1703,2392,0.68449,0.72113
2016,Rural regions,Tenant,No,0.29647,689,2392,0.27817,0.31478
2017,Urban regions,Owner,Yes,0.92869,3980,4258,0.92096,0.93642
2017,Urban regions,Owner,No,0.07021,278,4258,0.06254,0.07789
2017,Urban regions,Tenant,Yes,0.74079,5279,7242,0.73070,0.75089
2017,Urban regions,Tenant,No,0.25868,1963,7242,0.24859,0.26877
2017,Rural regions,Owner,Yes,0.85668,2409,2804,0.84371,0.86965
2017,Rural regions,Owner,No,0.14332,395,2804,0.13035,0.15629
2017,Rural regions,Tenant,Yes,0.67878,2113,3172,0.66253,0.69504
2017,Rural regions,Tenant,No,0.32115,1059,3172,0.30489,0.33740
2018,Urban regions,Owner,Yes,0.92700,3809,4078,0.91901,0.93498
2018,Urban regions,Owner,No,0.07277,269,4078,0.06479,0.08074
2018,Urban regions,Tenant,Yes,0.75277,5565,7719,0.74315,0.76239
2018,Urban regions,Tenant,No,0.24471,2154,7719,0.23512,0.25430
2018,Rural regions,Owner,Yes,0.86518,2307,2677,0.85224,0.87812
2018,Rural regions,Owner,No,0.13361,370,2677,0.12072,0.14650
2018,Rural regions,Tenant,Yes,0.68759,2182,3223,0.67158,0.70359
2018,Rural regions,Tenant,No,0.31078,1041,3223,0.29480,0.32676
2019,Urban regions,Owner,Yes,0.88268,3336,3558,0.87211,0.89326
2019,Urban regions,Owner,No,0.06555,222,3558,0.05741,0.07368
2019,Urban regions,Tenant,Yes,0.67523,4597,6346,0.66370,0.68675
2019,Urban regions,Tenant,No,0.21219,1749,6346,0.20213,0.22225
2019,Rural regions,Owner,Yes,0.82599,2056,2387,0.81078,0.84120
2019,Rural regions,Owner,No,0.13276,331,2387,0.11914,0.14637
2019,Rural regions,Tenant,Yes,0.61510,1790,2619,0.59646,0.63374
2019,Rural regions,Tenant,No,0.26374,829,2619,0.24686,0.28062
2020,Urban regions,Owner,Yes,0.93557,4065,4292,0.92823,0.94292
2020,Urban regions,Owner,No,0.06282,227,4292,0.05556,0.07008
2020,Urban regions,Tenant,Yes,0.74691,6264,9083,0.73797,0.75585
2020,Urban regions,Tenant,No,0.25142,2819,9083,0.24250,0.26034
2020,Rural regions,Owner,Yes,0.87148,2345,2691,0.85883,0.88413
2020,Rural regions,Owner,No,0.12838,346,2691,0.11574,0.14102
2020,Rural regions,Tenant,Yes,0.71190,2225,3235,0.69629,0.72751
2020,Rural regions,Tenant,No,0.28626,1010,3235,0.27068,0.30184
2021,Urban regions,Owner,Yes,0.85508,2707,2854,0.84216,0.86800
2021,Urban regions,Owner,No,0.05710,147,2854,0.04859,0.06561
2021,Urban regions,Tenant,Yes,0.65190,3401,4754,0.63836,0.66544
2021,Urban regions,Tenant,No,0.22001,1353,4754,0.20824,0.23179
2021,Rural regions,Owner,Yes,0.82084,1584,1811,0.80317,0.83850
2021,Rural regions,Owner,No,0.11119,227,1811,0.09671,0.12567
2021,Rural regions,Tenant,Yes,0.64332,1225,1755,0.62091,0.66574
2021,Rural regions,Tenant,No,0.25366,530,1755,0.23330,0.27402
2022,Urban regions,Owner,Yes,0.93443,4431,4699,0.92735,0.94150
2022,Urban regions,Owner,No,0.06532,268,4699,0.05825,0.07238
2022,Urban regions,Tenant,Yes,0.76099,6567,9117,0.75224,0.76975
2022,Urban regions,Tenant,No,0.22974,2550,9117,0.22111,0.23838
2022,Rural regions,Owner,Yes,0.87833,2756,3159,0.86693,0.88973
2022,Rural regions,Owner,No,0.12139,403,3159,0.11000,0.13278
2022,Rural regions,Tenant,Yes,0.70691,2157,3072,0.69081,0.72301
2022,Rural regions,Tenant,No,0.28842,915,3072,0.27240,0.30444
