year,hhtyp,rentown,hgeqpter,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1987,Couple without children,Owner,No,0.21463,102,464,0.17723,0.25203
1987,Couple without children,Tenant,Yes,0.66168,423,707,0.62678,0.69658
1987,Couple without children,Tenant,No,0.33832,284,707,0.30342,0.37322
1987,Single parent,Owner,Yes,0.74796,65,65,0.64159,0.85434
1987,Single parent,Tenant,Yes,0.61540,112,182,0.54452,0.68627
1987,Single parent,Tenant,No,0.38460,70,182,0.31373,0.45548
1987,Couple with children,Owner,Yes,0.81971,755,922,0.79488,0.84454
1987,Couple with children,Owner,No,0.18029,167,922,0.15546,0.20512
1987,Couple with children,Tenant,Yes,0.69455,709,1221,0.66870,0.72039
1987,Couple with children,Tenant,No,0.30545,512,1221,0.27961,0.33130
1987,Multi-generational household,Owner,Yes,0.73372,45,45,0.60312,0.86433
1987,Multi-generational household,Tenant,No,0.44612,33,33,0.27389,0.61836
1987,Other Combinations,Tenant,Yes,0.64488,41,41,0.49658,0.79319
1988,Single-person household,Owner,Yes,0.70862,160,221,0.64857,0.76867
1988,Single-person household,Owner,No,0.29138,61,221,0.23133,0.35143
1988,Single-person household,Tenant,Yes,0.55315,417,795,0.51857,0.58774
1988,Single-person household,Tenant,No,0.44685,378,795,0.41226,0.48143
1988,Couple without children,Owner,Yes,0.79502,349,439,0.75721,0.83282
1988,Couple without children,Owner,No,0.20498,90,439,0.16718,0.24279
1988,Couple without children,Tenant,Yes,0.66995,427,705,0.63521,0.70468
1988,Couple without children,Tenant,No,0.33005,278,705,0.29532,0.36479
1988,Single parent,Owner,Yes,0.76134,67,67,0.65850,0.86418
1988,Single parent,Tenant,Yes,0.64290,108,174,0.57150,0.71430
1988,Single parent,Tenant,No,0.35710,66,174,0.28570,0.42850
1988,Couple with children,Owner,Yes,0.82671,733,892,0.80185,0.85156
1988,Couple with children,Owner,No,0.17329,159,892,0.14844,0.19815
1988,Couple with children,Tenant,Yes,0.69672,669,1155,0.67020,0.72325
1988,Couple with children,Tenant,No,0.30328,486,1155,0.27675,0.32980
1988,Multi-generational household,Owner,Yes,0.75168,35,35,0.60645,0.89690
1988,Other Combinations,Tenant,Yes,0.70363,39,39,0.55843,0.84882
1989,Single-person household,Owner,Yes,0.67915,153,219,0.61719,0.74112
1989,Single-person household,Owner,No,0.32085,66,219,0.25888,0.38281
1989,Single-person household,Tenant,Yes,0.56110,420,795,0.52658,0.59562
1989,Single-person household,Tenant,No,0.43890,375,795,0.40438,0.47342
1989,Couple without children,Owner,Yes,0.80465,346,432,0.76722,0.84208
1989,Couple without children,Owner,No,0.19535,86,432,0.15792,0.23278
1989,Couple without children,Tenant,Yes,0.66665,425,700,0.63171,0.70160
1989,Couple without children,Tenant,No,0.33335,275,700,0.29840,0.36829
1989,Single parent,Owner,Yes,0.74595,70,70,0.64323,0.84866
1989,Single parent,Tenant,Yes,0.65786,96,155,0.58293,0.73279
1989,Single parent,Tenant,No,0.34214,59,155,0.26721,0.41707
1989,Couple with children,Owner,Yes,0.84142,712,857,0.81695,0.86589
1989,Couple with children,Owner,No,0.15858,145,857,0.13411,0.18305
1989,Couple with children,Tenant,Yes,0.68280,635,1097,0.65524,0.71035
1989,Couple with children,Tenant,No,0.31720,462,1097,0.28965,0.34476
1989,Multi-generational household,Owner,Yes,0.75618,40,40,0.62142,0.89094
1989,Multi-generational household,Tenant,No,0.43450,33,33,0.26276,0.60625
1989,Other Combinations,Tenant,Yes,0.73995,35,35,0.59251,0.88740
1990,Single-person household,Owner,Yes,0.70148,163,230,0.64221,0.76075
1990,Single-person household,Owner,No,0.29852,67,230,0.23925,0.35779
1990,Single-person household,Tenant,Yes,0.59509,481,830,0.56167,0.62850
1990,Single-person household,Tenant,No,0.40491,349,830,0.37150,0.43833
1990,Couple without children,Owner,Yes,0.80782,408,504,0.77339,0.84226
1990,Couple without children,Owner,No,0.19218,96,504,0.15774,0.22661
1990,Couple without children,Tenant,Yes,0.68925,548,827,0.65769,0.72081
1990,Couple without children,Tenant,No,0.31075,279,827,0.27919,0.34231
1990,Single parent,Owner,Yes,0.78624,76,76,0.69346,0.87902
1990,Single parent,Tenant,Yes,0.77557,169,220,0.72032,0.83083
1990,Single parent,Tenant,No,0.22443,51,220,0.16917,0.27968
1990,Couple with children,Owner,Yes,0.85265,874,1019,0.83088,0.87443
1990,Couple with children,Owner,No,0.14735,145,1019,0.12557,0.16912
1990,Couple with children,Tenant,Yes,0.72668,952,1410,0.70341,0.74995
1990,Couple with children,Tenant,No,0.27332,458,1410,0.25005,0.29659
1990,Multi-generational household,Owner,Yes,0.77885,57,57,0.67015,0.88755
1990,Multi-generational household,Tenant,Yes,0.67961,31,62,0.56251,0.79671
1990,Multi-generational household,Tenant,No,0.32039,31,62,0.20329,0.43749
1990,Other Combinations,Owner,Yes,0.78967,33,33,0.64847,0.93088
1990,Other Combinations,Tenant,Yes,0.65959,41,41,0.51274,0.80644
1991,Single-person household,Owner,Yes,0.72708,184,263,0.67314,0.78102
1991,Single-person household,Owner,No,0.27292,79,263,0.21898,0.32686
1991,Single-person household,Tenant,Yes,0.51547,474,1006,0.48457,0.54636
1991,Single-person household,Tenant,No,0.48453,532,1006,0.45364,0.51543
1991,Couple without children,Owner,Yes,0.75677,437,609,0.72267,0.79087
1991,Couple without children,Owner,No,0.24323,172,609,0.20913,0.27733
1991,Couple without children,Tenant,Yes,0.60508,565,1024,0.57513,0.63504
1991,Couple without children,Tenant,No,0.39492,459,1024,0.36496,0.42487
1991,Single parent,Owner,Yes,0.71541,82,117,0.63329,0.79752
1991,Single parent,Owner,No,0.28459,35,117,0.20248,0.36671
1991,Single parent,Tenant,Yes,0.65059,160,264,0.59297,0.70821
1991,Single parent,Tenant,No,0.34941,104,264,0.29179,0.40703
1991,Couple with children,Owner,Yes,0.83018,918,1198,0.80891,0.85145
1991,Couple with children,Owner,No,0.16982,280,1198,0.14855,0.19109
1991,Couple with children,Tenant,Yes,0.60544,951,1776,0.58270,0.62817
1991,Couple with children,Tenant,No,0.39456,825,1776,0.37183,0.41730
1991,Multi-generational household,Owner,Yes,0.76843,55,55,0.65591,0.88094
1991,Multi-generational household,Tenant,No,0.50076,46,46,0.35467,0.64685
1991,Other Combinations,Owner,Yes,0.54914,31,31,0.37108,0.72719
1991,Other Combinations,Tenant,Yes,0.54146,44,89,0.43735,0.64557
1991,Other Combinations,Tenant,No,0.45854,45,89,0.35443,0.56265
1992,Single-person household,Owner,Yes,0.72757,181,260,0.67335,0.78179
1992,Single-person household,Owner,No,0.27243,79,260,0.21821,0.32665
1992,Single-person household,Tenant,Yes,0.54125,505,998,0.51032,0.57218
1992,Single-person household,Tenant,No,0.45875,493,998,0.42782,0.48968
1992,Couple without children,Owner,Yes,0.77525,462,618,0.74231,0.80819
1992,Couple without children,Owner,No,0.22475,156,618,0.19181,0.25769
1992,Couple without children,Tenant,Yes,0.61180,568,1022,0.58191,0.64169
1992,Couple without children,Tenant,No,0.38820,454,1022,0.35831,0.41809
1992,Single parent,Owner,Yes,0.72663,74,107,0.64179,0.81148
1992,Single parent,Owner,No,0.27337,33,107,0.18852,0.35821
1992,Single parent,Tenant,Yes,0.69493,169,279,0.64080,0.74905
1992,Single parent,Tenant,No,0.30507,110,279,0.25095,0.35920
1992,Couple with children,Owner,Yes,0.83143,904,1180,0.81006,0.85280
1992,Couple with children,Owner,No,0.16857,276,1180,0.14720,0.18994
1992,Couple with children,Tenant,Yes,0.62594,919,1663,0.60267,0.64920
1992,Couple with children,Tenant,No,0.37406,744,1663,0.35080,0.39733
1992,Multi-generational household,Owner,Yes,0.77365,54,54,0.66099,0.88632
1992,Multi-generational household,Tenant,No,0.43978,39,39,0.28196,0.59760
1992,Other Combinations,Owner,Yes,0.61310,34,34,0.44693,0.77928
1992,Other Combinations,Tenant,Yes,0.52845,47,98,0.42911,0.62779
1992,Other Combinations,Tenant,No,0.47155,51,98,0.37221,0.57089
1993,Single-person household,Owner,Yes,0.72967,192,273,0.67689,0.78246
1993,Single-person household,Owner,No,0.27033,81,273,0.21754,0.32311
1993,Single-person household,Tenant,Yes,0.54425,523,1027,0.51377,0.57472
1993,Single-person household,Tenant,No,0.45575,504,1027,0.42528,0.48623
1993,Couple without children,Owner,Yes,0.78167,482,638,0.74959,0.81375
1993,Couple without children,Owner,No,0.21833,156,638,0.18625,0.25041
1993,Couple without children,Tenant,Yes,0.60849,573,1025,0.57860,0.63839
1993,Couple without children,Tenant,No,0.39151,452,1025,0.36161,0.42140
1993,Single parent,Owner,Yes,0.65843,58,95,0.56256,0.75430
1993,Single parent,Owner,No,0.34157,37,95,0.24570,0.43744
1993,Single parent,Tenant,Yes,0.72229,172,271,0.66887,0.77572
1993,Single parent,Tenant,No,0.27771,99,271,0.22428,0.33113
1993,Couple with children,Owner,Yes,0.83153,864,1128,0.80967,0.85338
1993,Couple with children,Owner,No,0.16847,264,1128,0.14662,0.19033
1993,Couple with children,Tenant,Yes,0.62484,885,1601,0.60112,0.64856
1993,Couple with children,Tenant,No,0.37516,716,1601,0.35144,0.39888
1993,Multi-generational household,Owner,Yes,0.79874,62,62,0.69812,0.89936
1993,Multi-generational household,Tenant,No,0.38890,33,33,0.21999,0.55781
1993,Other Combinations,Owner,Yes,0.63229,38,38,0.47692,0.78766
1993,Other Combinations,Tenant,Yes,0.48336,43,92,0.38069,0.58604
1993,Other Combinations,Tenant,No,0.51664,49,92,0.41396,0.61931
1994,Single-person household,Owner,Yes,0.72884,198,284,0.67705,0.78064
1994,Single-person household,Owner,No,0.27116,86,284,0.21936,0.32295
1994,Single-person household,Tenant,Yes,0.53924,515,1008,0.50846,0.57003
1994,Single-person household,Tenant,No,0.46076,493,1008,0.42997,0.49154
1994,Couple without children,Owner,Yes,0.78873,492,645,0.75721,0.82026
1994,Couple without children,Owner,No,0.21127,153,645,0.17974,0.24279
1994,Couple without children,Tenant,Yes,0.62895,608,1059,0.59984,0.65806
1994,Couple without children,Tenant,No,0.37105,451,1059,0.34194,0.40016
1994,Single parent,Owner,Yes,0.67171,57,91,0.57469,0.76873
1994,Single parent,Owner,No,0.32829,34,91,0.23127,0.42531
1994,Single parent,Tenant,Yes,0.67660,157,258,0.61941,0.73379
1994,Single parent,Tenant,No,0.32340,101,258,0.26621,0.38059
1994,Couple with children,Owner,Yes,0.83604,862,1126,0.81441,0.85768
1994,Couple with children,Owner,No,0.16396,264,1126,0.14232,0.18559
1994,Couple with children,Tenant,Yes,0.63690,862,1502,0.61258,0.66123
1994,Couple with children,Tenant,No,0.36310,640,1502,0.33877,0.38742
1994,Multi-generational household,Owner,Yes,0.79245,56,56,0.68527,0.89963
1994,Other Combinations,Owner,Yes,0.64387,41,41,0.49547,0.79227
1994,Other Combinations,Tenant,Yes,0.61266,51,93,0.51312,0.71221
1994,Other Combinations,Tenant,No,0.38734,42,93,0.28779,0.48688
1995,Single-person household,Owner,Yes,0.76834,208,287,0.71944,0.81723
1995,Single-person household,Owner,No,0.23166,79,287,0.18277,0.28056
1995,Single-person household,Tenant,Yes,0.54115,533,1043,0.51089,0.57141
1995,Single-person household,Tenant,No,0.45885,510,1043,0.42859,0.48911
1995,Couple without children,Owner,Yes,0.79150,503,659,0.76046,0.82254
1995,Couple without children,Owner,No,0.20850,156,659,0.17746,0.23954
1995,Couple without children,Tenant,Yes,0.66264,661,1096,0.63464,0.69065
1995,Couple without children,Tenant,No,0.33736,435,1096,0.30935,0.36536
1995,Single parent,Owner,Yes,0.68049,60,93,0.58520,0.77577
1995,Single parent,Owner,No,0.31951,33,93,0.22423,0.41480
1995,Single parent,Tenant,Yes,0.69127,171,269,0.63596,0.74658
1995,Single parent,Tenant,No,0.30873,98,269,0.25342,0.36404
1995,Couple with children,Owner,Yes,0.83547,878,1136,0.81391,0.85704
1995,Couple with children,Owner,No,0.16453,258,1136,0.14296,0.18609
1995,Couple with children,Tenant,Yes,0.65721,936,1572,0.63374,0.68068
1995,Couple with children,Tenant,No,0.34279,636,1572,0.31932,0.36626
1995,Multi-generational household,Owner,Yes,0.81904,54,54,0.71539,0.92269
1995,Multi-generational household,Tenant,No,0.45312,32,32,0.27788,0.62836
1995,Other Combinations,Owner,Yes,0.76709,50,50,0.64874,0.88544
1995,Other Combinations,Tenant,Yes,0.66724,57,92,0.57043,0.76406
1995,Other Combinations,Tenant,No,0.33276,35,92,0.23594,0.42957
1996,Single-person household,Owner,Yes,0.77202,210,288,0.72348,0.82055
1996,Single-person household,Owner,No,0.22798,78,288,0.17945,0.27652
1996,Single-person household,Tenant,Yes,0.55933,563,1070,0.52957,0.58909
1996,Single-person household,Tenant,No,0.44067,507,1070,0.41091,0.47043
1996,Couple without children,Owner,Yes,0.80183,520,678,0.77181,0.83186
1996,Couple without children,Owner,No,0.19817,158,678,0.16814,0.22819
1996,Couple without children,Tenant,Yes,0.67860,674,1101,0.65100,0.70619
1996,Couple without children,Tenant,No,0.32140,427,1101,0.29381,0.34900
1996,Single parent,Owner,Yes,0.72055,65,65,0.61061,0.83049
1996,Single parent,Tenant,Yes,0.66193,175,275,0.60592,0.71795
1996,Single parent,Tenant,No,0.33807,100,275,0.28205,0.39408
1996,Couple with children,Owner,Yes,0.83675,893,1151,0.81539,0.85811
1996,Couple with children,Owner,No,0.16325,258,1151,0.14189,0.18461
1996,Couple with children,Tenant,Yes,0.68220,912,1458,0.65829,0.70611
1996,Couple with children,Tenant,No,0.31780,546,1458,0.29389,0.34171
1996,Multi-generational household,Owner,Yes,0.77306,47,47,0.65202,0.89410
1996,Other Combinations,Owner,Yes,0.69773,45,45,0.56203,0.83343
1996,Other Combinations,Tenant,Yes,0.67609,51,82,0.57418,0.77800
1996,Other Combinations,Tenant,No,0.32391,31,82,0.22200,0.42582
1997,Single-person household,Owner,Yes,0.76861,207,285,0.71957,0.81766
1997,Single-person household,Owner,No,0.23139,78,285,0.18234,0.28043
1997,Single-person household,Tenant,Yes,0.57126,559,1045,0.54124,0.60128
1997,Single-person household,Tenant,No,0.42874,486,1045,0.39872,0.45876
1997,Couple without children,Owner,Yes,0.81423,555,708,0.78556,0.84290
1997,Couple without children,Owner,No,0.18577,153,708,0.15710,0.21444
1997,Couple without children,Tenant,Yes,0.67214,673,1105,0.64445,0.69983
1997,Couple without children,Tenant,No,0.32786,432,1105,0.30017,0.35555
1997,Single parent,Owner,Yes,0.70396,58,92,0.61016,0.79776
1997,Single parent,Owner,No,0.29604,34,92,0.20224,0.38984
1997,Single parent,Tenant,Yes,0.73332,189,282,0.68161,0.78502
1997,Single parent,Tenant,No,0.26668,93,282,0.21498,0.31839
1997,Couple with children,Owner,Yes,0.84062,909,1166,0.81960,0.86164
1997,Couple with children,Owner,No,0.15938,257,1166,0.13836,0.18040
1997,Couple with children,Tenant,Yes,0.70560,885,1354,0.68132,0.72989
1997,Couple with children,Tenant,No,0.29440,469,1354,0.27011,0.31868
1997,Multi-generational household,Owner,Yes,0.81802,48,48,0.70771,0.92833
1997,Other Combinations,Owner,Yes,0.68556,47,47,0.55138,0.81973
1997,Other Combinations,Tenant,Yes,0.65796,44,76,0.55059,0.76532
1997,Other Combinations,Tenant,No,0.34204,32,76,0.23468,0.44941
1998,Single-person household,Owner,Yes,0.74436,262,369,0.69979,0.78893
1998,Single-person household,Owner,No,0.25564,107,369,0.21107,0.30021
1998,Single-person household,Tenant,Yes,0.57855,727,1315,0.55185,0.60525
1998,Single-person household,Tenant,No,0.42145,588,1315,0.39475,0.44815
1998,Couple without children,Owner,Yes,0.83609,735,906,0.81198,0.86021
1998,Couple without children,Owner,No,0.16391,171,906,0.13979,0.18802
1998,Couple without children,Tenant,Yes,0.67947,794,1257,0.65366,0.70528
1998,Couple without children,Tenant,No,0.32053,463,1257,0.29472,0.34634
1998,Single parent,Owner,Yes,0.78946,81,81,0.70012,0.87880
1998,Single parent,Tenant,Yes,0.71427,225,336,0.66589,0.76264
1998,Single parent,Tenant,No,0.28573,111,336,0.23736,0.33411
1998,Couple with children,Owner,Yes,0.85752,1114,1368,0.83900,0.87605
1998,Couple with children,Owner,No,0.14248,254,1368,0.12395,0.16100
1998,Couple with children,Tenant,Yes,0.70972,971,1436,0.68624,0.73321
1998,Couple with children,Tenant,No,0.29028,465,1436,0.26679,0.31376
1998,Multi-generational household,Owner,Yes,0.78453,43,43,0.66018,0.90887
1998,Other Combinations,Owner,Yes,0.74084,52,52,0.62058,0.86109
1998,Other Combinations,Tenant,Yes,0.70042,55,55,0.57825,0.82260
1999,Single-person household,Owner,Yes,0.75364,265,367,0.70949,0.79778
1999,Single-person household,Owner,No,0.24636,102,367,0.20222,0.29051
1999,Single-person household,Tenant,Yes,0.58342,687,1242,0.55599,0.61085
1999,Single-person household,Tenant,No,0.41658,555,1242,0.38915,0.44401
1999,Couple without children,Owner,Yes,0.85071,738,900,0.82742,0.87401
1999,Couple without children,Owner,No,0.14929,162,900,0.12599,0.17258
1999,Couple without children,Tenant,Yes,0.68478,786,1234,0.65885,0.71072
1999,Couple without children,Tenant,No,0.31522,448,1234,0.28928,0.34115
1999,Single parent,Owner,Yes,0.83225,85,85,0.75234,0.91215
1999,Single parent,Tenant,Yes,0.71154,219,330,0.66259,0.76050
1999,Single parent,Tenant,No,0.28846,111,330,0.23950,0.33741
1999,Couple with children,Owner,Yes,0.85791,1120,1374,0.83944,0.87638
1999,Couple with children,Owner,No,0.14209,254,1374,0.12362,0.16056
1999,Couple with children,Tenant,Yes,0.72760,928,1333,0.70369,0.75151
1999,Couple with children,Tenant,No,0.27240,405,1333,0.24849,0.29631
1999,Multi-generational household,Owner,Yes,0.77058,39,39,0.63689,0.90426
2000,Single-person household,Owner,Yes,0.77838,653,858,0.75057,0.80618
2000,Single-person household,Owner,No,0.22162,205,858,0.19382,0.24943
2000,Single-person household,Tenant,Yes,0.56556,1276,2345,0.54550,0.58563
2000,Single-person household,Tenant,No,0.43444,1069,2345,0.41437,0.45450
2000,Couple without children,Owner,Yes,0.85393,1653,1974,0.83834,0.86951
2000,Couple without children,Owner,No,0.14607,321,1974,0.13049,0.16166
2000,Couple without children,Tenant,Yes,0.69989,1307,1953,0.67956,0.72022
2000,Couple without children,Tenant,No,0.30011,646,1953,0.27978,0.32044
2000,Single parent,Owner,Yes,0.82058,157,202,0.76753,0.87363
2000,Single parent,Owner,No,0.17942,45,202,0.12637,0.23247
2000,Single parent,Tenant,Yes,0.69694,362,544,0.65828,0.73559
2000,Single parent,Tenant,No,0.30306,182,544,0.26441,0.34172
2000,Couple with children,Owner,Yes,0.85893,2122,2534,0.84537,0.87249
2000,Couple with children,Owner,No,0.14107,412,2534,0.12751,0.15463
2000,Couple with children,Tenant,Yes,0.72995,1456,2046,0.71070,0.74919
2000,Couple with children,Tenant,No,0.27005,590,2046,0.25081,0.28930
2000,Multi-generational household,Owner,Yes,0.81513,92,92,0.73537,0.89489
2000,Multi-generational household,Tenant,Yes,0.68099,33,33,0.51950,0.84249
2000,Other Combinations,Owner,Yes,0.82083,64,64,0.72613,0.91553
2000,Other Combinations,Tenant,Yes,0.58761,44,77,0.47694,0.69829
2000,Other Combinations,Tenant,No,0.41239,33,77,0.30171,0.52306
2001,Single-person household,Owner,Yes,0.77078,575,765,0.74098,0.80059
2001,Single-person household,Owner,No,0.22922,190,765,0.19941,0.25902
2001,Single-person household,Tenant,Yes,0.58559,1190,2102,0.56452,0.60665
2001,Single-person household,Tenant,No,0.41441,912,2102,0.39335,0.43548
2001,Couple without children,Owner,Yes,0.85343,1473,1761,0.83690,0.86995
2001,Couple without children,Owner,No,0.14657,288,1761,0.13005,0.16310
2001,Couple without children,Tenant,Yes,0.71147,1219,1782,0.69043,0.73251
2001,Couple without children,Tenant,No,0.28853,563,1782,0.26749,0.30957
2001,Single parent,Owner,Yes,0.79781,143,187,0.74009,0.85553
2001,Single parent,Owner,No,0.20219,44,187,0.14447,0.25991
2001,Single parent,Tenant,Yes,0.66642,328,500,0.62505,0.70779
2001,Single parent,Tenant,No,0.33358,172,500,0.29221,0.37495
2001,Couple with children,Owner,Yes,0.86840,1944,2308,0.85460,0.88219
2001,Couple with children,Owner,No,0.13160,364,2308,0.11781,0.14540
2001,Couple with children,Tenant,Yes,0.74497,1319,1808,0.72487,0.76507
2001,Couple with children,Tenant,No,0.25503,489,1808,0.23493,0.27513
2001,Multi-generational household,Owner,Yes,0.82265,91,91,0.74374,0.90157
2001,Other Combinations,Owner,Yes,0.87507,56,56,0.78768,0.96245
2001,Other Combinations,Tenant,Yes,0.61688,31,31,0.44292,0.79085
2002,Single-person household,Owner,Yes,0.78359,578,752,0.75413,0.81304
2002,Single-person household,Owner,No,0.21641,174,752,0.18696,0.24587
2002,Single-person household,Tenant,Yes,0.59142,1216,2111,0.57045,0.61240
2002,Single-person household,Tenant,No,0.40858,895,2111,0.38760,0.42955
2002,Couple without children,Owner,Yes,0.85759,1756,2037,0.84241,0.87277
2002,Couple without children,Owner,No,0.14241,281,2037,0.12723,0.15759
2002,Couple without children,Tenant,Yes,0.71672,1262,1801,0.69590,0.73753
2002,Couple without children,Tenant,No,0.28328,539,1801,0.26247,0.30410
2002,Single parent,Owner,Yes,0.78242,159,201,0.72524,0.83961
2002,Single parent,Owner,No,0.21758,42,201,0.16039,0.27476
2002,Single parent,Tenant,Yes,0.67707,313,476,0.63501,0.71912
2002,Single parent,Tenant,No,0.32293,163,476,0.28088,0.36499
2002,Couple with children,Owner,Yes,0.86682,2237,2594,0.85374,0.87990
2002,Couple with children,Owner,No,0.13318,357,2594,0.12010,0.14626
2002,Couple with children,Tenant,Yes,0.75805,1294,1720,0.73781,0.77830
2002,Couple with children,Tenant,No,0.24195,426,1720,0.22170,0.26219
2002,Multi-generational household,Owner,Yes,0.81305,87,87,0.73065,0.89545
2002,Other Combinations,Owner,Yes,0.85713,62,62,0.76931,0.94494
2003,Single-person household,Owner,Yes,0.78309,604,779,0.75413,0.81205
2003,Single-person household,Owner,No,0.21691,175,779,0.18795,0.24587
2003,Single-person household,Tenant,Yes,0.60082,1206,2049,0.57961,0.62203
2003,Single-person household,Tenant,No,0.39918,843,2049,0.37797,0.42039
2003,Couple without children,Owner,Yes,0.85978,1711,1995,0.84454,0.87502
2003,Couple without children,Owner,No,0.14022,284,1995,0.12498,0.15546
2003,Couple without children,Tenant,Yes,0.71254,1244,1759,0.69139,0.73370
2003,Couple without children,Tenant,No,0.28746,515,1759,0.26630,0.30861
2003,Single parent,Owner,Yes,0.81444,153,189,0.75887,0.87001
2003,Single parent,Owner,No,0.18556,36,189,0.12999,0.24113
2003,Single parent,Tenant,Yes,0.68269,323,487,0.64131,0.72407
2003,Single parent,Tenant,No,0.31731,164,487,0.27593,0.35869
2003,Couple with children,Owner,Yes,0.86678,2131,2474,0.85339,0.88018
2003,Couple with children,Owner,No,0.13322,343,2474,0.11982,0.14661
2003,Couple with children,Tenant,Yes,0.77615,1214,1587,0.75563,0.79666
2003,Couple with children,Tenant,No,0.22385,373,1587,0.20334,0.24437
2003,Multi-generational household,Owner,Yes,0.81773,67,67,0.72458,0.91087
2003,Other Combinations,Owner,Yes,0.83387,51,51,0.73070,0.93704
