"year","age_gr","regtyp","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"2010","66 +","Laendlicher Raum","5.92","5.5","1388","5.86","5.98"
"2010","66 +","Staedtischer Raum","5.88","5.5","2590","5.83","5.93"
"2011","17-34","Laendlicher Raum","","","","",""
"2011","17-34","Staedtischer Raum","","","","",""
"2011","35-65","Laendlicher Raum","","","","",""
"2011","35-65","Staedtischer Raum","","","","",""
"2011","66 +","Laendlicher Raum","","","","",""
"2011","66 +","Staedtischer Raum","","","","",""
"2012","17-34","Laendlicher Raum","","","","",""
"2012","17-34","Staedtischer Raum","","","","",""
"2012","35-65","Laendlicher Raum","","","","",""
"2012","35-65","Staedtischer Raum","","","","",""
"2012","66 +","Laendlicher Raum","","","","",""
"2012","66 +","Staedtischer Raum","","","","",""
"2013","17-34","Laendlicher Raum","","","","",""
"2013","17-34","Staedtischer Raum","","","","",""
"2013","35-65","Laendlicher Raum","","","","",""
"2013","35-65","Staedtischer Raum","","","","",""
"2013","66 +","Laendlicher Raum","","","","",""
"2013","66 +","Staedtischer Raum","","","","",""
"2014","17-34","Laendlicher Raum","","","","",""
"2014","17-34","Staedtischer Raum","","","","",""
"2014","35-65","Laendlicher Raum","","","","",""
"2014","35-65","Staedtischer Raum","","","","",""
"2014","66 +","Laendlicher Raum","","","","",""
"2014","66 +","Staedtischer Raum","","","","",""
"2015","17-34","Laendlicher Raum","5.88","5.5","2077","5.83","5.93"
"2015","17-34","Staedtischer Raum","5.85","5.5","4508","5.82","5.88"
"2015","35-65","Laendlicher Raum","5.92","5.5","5408","5.89","5.95"
"2015","35-65","Staedtischer Raum","5.88","5.5","9713","5.86","5.9"
"2015","66 +","Laendlicher Raum","5.85","5.5","1797","5.79","5.91"
"2015","66 +","Staedtischer Raum","5.89","5.5","3075","5.85","5.93"
"2016","17-34","Laendlicher Raum","6.65","6.5","453","6.58","6.72"
"2016","17-34","Staedtischer Raum","6.19","6.5","1128","6.14","6.24"
"2016","35-65","Laendlicher Raum","6.58","6.5","404","6.52","6.64"
"2016","35-65","Staedtischer Raum","6.7","6.5","981","6.66","6.74"
"2016","66 +","Laendlicher Raum","","","","",""
"2016","66 +","Staedtischer Raum","","","","",""
"2017","17-34","Laendlicher Raum","6.82","6.5","369","6.75","6.89"
"2017","17-34","Staedtischer Raum","6.65","6.5","749","6.6","6.7"
"2017","35-65","Laendlicher Raum","6.83","6.5","233","6.74","6.92"
"2017","35-65","Staedtischer Raum","6.69","6.5","463","6.62","6.76"
"2017","66 +","Laendlicher Raum","","","","",""
"2017","66 +","Staedtischer Raum","","","","",""
"2018","17-34","Laendlicher Raum","6.86","6.5","91","6.69","7.03"
"2018","17-34","Staedtischer Raum","6.86","6.5","130","6.78","6.94"
"2018","35-65","Laendlicher Raum","6.77","6.5","58","6.55","6.99"
"2018","35-65","Staedtischer Raum","6.43","6.5","91","6.17","6.69"
"2018","66 +","Laendlicher Raum","","","","",""
"2018","66 +","Staedtischer Raum","","","","",""
"2019","17-34","Laendlicher Raum","6.74","6.5","42","6.45","7.03"
"2019","17-34","Staedtischer Raum","6.7","6.5","88","6.51","6.89"
"2019","35-65","Laendlicher Raum","6.26","6.5","51","5.83","6.69"
"2019","35-65","Staedtischer Raum","5.84","6.5","69","5.55","6.13"
"2019","66 +","Laendlicher Raum","","","","",""
"2019","66 +","Staedtischer Raum","","","","",""
"2020","17-34","Laendlicher Raum","5.89","5.5","2200","5.84","5.94"
"2020","17-34","Staedtischer Raum","5.87","5.5","5835","5.84","5.9"
"2020","35-65","Laendlicher Raum","5.92","5.5","5504","5.89","5.95"
"2020","35-65","Staedtischer Raum","5.85","5.5","10889","5.83","5.87"
"2020","66 +","Laendlicher Raum","5.84","5.5","1826","5.78","5.9"
"2020","66 +","Staedtischer Raum","5.79","5.5","3129","5.75","5.83"
