"year","migback","sex","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lowerconfidence_mean","upperconfidence_mean","minimum","maximum","lowerconfidence_median","upperconfidence_median"
"2008","Migrationshintergrund - n. w. differenzierbar","weiblich","","","","","","","","","","","","","",""
"2009","direkter Migrationshintergrund","maennlich","","","","","","","","","","","","","",""
"2009","direkter Migrationshintergrund","weiblich","","","","","","","","","","","","","",""
"2009","indirekter Migrationshintergrund","maennlich","","","","","","","","","","","","","",""
"2009","indirekter Migrationshintergrund","weiblich","","","","","","","","","","","","","",""
"2009","kein Migrationshintergrund","maennlich","","","","","","","","","","","","","",""
"2009","kein Migrationshintergrund","weiblich","","","","","","","","","","","","","",""
"2009","Migrationshintergrund - n. w. differenzierbar","maennlich","","","","","","","","","","","","","",""
"2009","Migrationshintergrund - n. w. differenzierbar","weiblich","","","","","","","","","","","","","",""
"2010","direkter Migrationshintergrund","maennlich","5.96","5.5","657","4","6","7","7","7","5.87","6.05","1","7","6","6"
"2010","direkter Migrationshintergrund","weiblich","6.01","5.5","795","4","5","7","7","7","5.93","6.09","1","7","6","6"
"2010","indirekter Migrationshintergrund","maennlich","5.88","5.5","311","4","5","7","7","7","5.75","6.01","1","7","6","6"
"2010","indirekter Migrationshintergrund","weiblich","5.9","5.5","342","4","5","7","7","7","5.77","6.03","1","7","6","6"
"2010","kein Migrationshintergrund","maennlich","5.8","5.5","6926","4","5","7","7","7","5.77","5.83","1","7","6","6"
"2010","kein Migrationshintergrund","weiblich","5.82","5.5","7528","4","5","7","7","7","5.79","5.85","1","7","6","6"
"2010","Migrationshintergrund - n. w. differenzierbar","maennlich","","","","","","","","","","","","","",""
"2010","Migrationshintergrund - n. w. differenzierbar","weiblich","","","","","","","","","","","","","",""
"2011","direkter Migrationshintergrund","maennlich","","","","","","","","","","","","","",""
"2011","direkter Migrationshintergrund","weiblich","","","","","","","","","","","","","",""
"2011","indirekter Migrationshintergrund","maennlich","","","","","","","","","","","","","",""
"2011","indirekter Migrationshintergrund","weiblich","","","","","","","","","","","","","",""
"2011","kein Migrationshintergrund","maennlich","","","","","","","","","","","","","",""
"2011","kein Migrationshintergrund","weiblich","","","","","","","","","","","","","",""
"2011","Migrationshintergrund - n. w. differenzierbar","maennlich","","","","","","","","","","","","","",""
"2011","Migrationshintergrund - n. w. differenzierbar","weiblich","","","","","","","","","","","","","",""
"2012","direkter Migrationshintergrund","maennlich","","","","","","","","","","","","","",""
"2012","direkter Migrationshintergrund","weiblich","","","","","","","","","","","","","",""
"2012","indirekter Migrationshintergrund","maennlich","","","","","","","","","","","","","",""
"2012","indirekter Migrationshintergrund","weiblich","","","","","","","","","","","","","",""
"2012","kein Migrationshintergrund","maennlich","","","","","","","","","","","","","",""
"2012","kein Migrationshintergrund","weiblich","","","","","","","","","","","","","",""
"2012","Migrationshintergrund - n. w. differenzierbar","maennlich","","","","","","","","","","","","","",""
"2012","Migrationshintergrund - n. w. differenzierbar","weiblich","","","","","","","","","","","","","",""
"2013","direkter Migrationshintergrund","maennlich","","","","","","","","","","","","","",""
"2013","direkter Migrationshintergrund","weiblich","","","","","","","","","","","","","",""
"2013","indirekter Migrationshintergrund","maennlich","","","","","","","","","","","","","",""
"2013","indirekter Migrationshintergrund","weiblich","","","","","","","","","","","","","",""
"2013","kein Migrationshintergrund","maennlich","","","","","","","","","","","","","",""
"2013","kein Migrationshintergrund","weiblich","","","","","","","","","","","","","",""
"2013","Migrationshintergrund - n. w. differenzierbar","maennlich","","","","","","","","","","","","","",""
"2013","Migrationshintergrund - n. w. differenzierbar","weiblich","","","","","","","","","","","","","",""
"2014","direkter Migrationshintergrund","maennlich","","","","","","","","","","","","","",""
"2014","direkter Migrationshintergrund","weiblich","","","","","","","","","","","","","",""
"2014","indirekter Migrationshintergrund","maennlich","","","","","","","","","","","","","",""
"2014","indirekter Migrationshintergrund","weiblich","","","","","","","","","","","","","",""
"2014","kein Migrationshintergrund","maennlich","","","","","","","","","","","","","",""
"2014","kein Migrationshintergrund","weiblich","","","","","","","","","","","","","",""
"2014","Migrationshintergrund - n. w. differenzierbar","maennlich","","","","","","","","","","","","","",""
"2014","Migrationshintergrund - n. w. differenzierbar","weiblich","","","","","","","","","","","","","",""
"2015","direkter Migrationshintergrund","maennlich","6.07","5.5","2637","4","6","7","7","7","6.02","6.12","1","7","6","7"
"2015","direkter Migrationshintergrund","weiblich","6.13","5.5","3104","5","6","7","7","7","6.09","6.17","1","7","6","7"
"2015","indirekter Migrationshintergrund","maennlich","5.97","5.5","764","4","5","7","7","7","5.89","6.05","1","7","6","6"
"2015","indirekter Migrationshintergrund","weiblich","6.02","5.5","912","4","5","7","7","7","5.94","6.1","1","7","6","7"
"2015","kein Migrationshintergrund","maennlich","5.86","5.5","8821","4","5","7","7","7","5.84","5.88","1","7","6","6"
"2015","kein Migrationshintergrund","weiblich","5.81","5.5","10340","4","5","7","7","7","5.79","5.83","1","7","6","6"
"2015","Migrationshintergrund - n. w. differenzierbar","maennlich","","","","","","","","","","","","","",""
"2015","Migrationshintergrund - n. w. differenzierbar","weiblich","","","","","","","","","","","","","",""
"2016","direkter Migrationshintergrund","maennlich","6.52","6.5","1738","5","7","7","7","7","6.49","6.55","1","7","7","7"
"2016","direkter Migrationshintergrund","weiblich","6.39","6.5","1219","5","6","7","7","7","6.35","6.43","1","7","7","7"
"2016","indirekter Migrationshintergrund","maennlich","","","","","","","","","","","","","",""
"2016","indirekter Migrationshintergrund","weiblich","","","","","","","","","","","","","",""
"2016","kein Migrationshintergrund","maennlich","","","","","","","","","","","","","",""
"2016","kein Migrationshintergrund","weiblich","","","","","","","","","","","","","",""
"2016","Migrationshintergrund - n. w. differenzierbar","maennlich","","","","","","","","","","","","","",""
"2016","Migrationshintergrund - n. w. differenzierbar","weiblich","","","","","","","","","","","","","",""
"2017","direkter Migrationshintergrund","maennlich","6.68","6.5","964","6","7","7","7","7","6.64","6.72","1","7","7","7"
"2017","direkter Migrationshintergrund","weiblich","6.76","6.5","869","6","7","7","7","7","6.71","6.81","1","7","7","7"
"2017","indirekter Migrationshintergrund","maennlich","","","","","","","","","","","","","",""
"2017","indirekter Migrationshintergrund","weiblich","","","","","","","","","","","","","",""
"2017","kein Migrationshintergrund","maennlich","","","","","","","","","","","","","",""
"2017","kein Migrationshintergrund","weiblich","","","","","","","","","","","","","",""
"2017","Migrationshintergrund - n. w. differenzierbar","maennlich","","","","","","","","","","","","","",""
"2017","Migrationshintergrund - n. w. differenzierbar","weiblich","","","","","","","","","","","","","",""
"2018","direkter Migrationshintergrund","maennlich","6.77","6.5","175","6","7","7","7","7","6.65","6.89","1","7","7","7"
"2018","direkter Migrationshintergrund","weiblich","6.74","6.5","198","6","7","7","7","7","6.61","6.87","1","7","7","7"
"2018","indirekter Migrationshintergrund","maennlich","","","","","","","","","","","","","",""
"2018","indirekter Migrationshintergrund","weiblich","","","","","","","","","","","","","",""
"2018","kein Migrationshintergrund","maennlich","","","","","","","","","","","","","",""
"2018","kein Migrationshintergrund","weiblich","","","","","","","","","","","","","",""
"2018","Migrationshintergrund - n. w. differenzierbar","maennlich","","","","","","","","","","","","","",""
"2018","Migrationshintergrund - n. w. differenzierbar","weiblich","","","","","","","","","","","","","",""
"2019","direkter Migrationshintergrund","maennlich","6.44","6.5","125","4","7","7","7","7","6.24","6.64","1","7","7","7"
"2019","direkter Migrationshintergrund","weiblich","6.41","6.5","131","5","6","7","7","7","6.21","6.61","2","7","7","7"
"2019","indirekter Migrationshintergrund","maennlich","","","","","","","","","","","","","",""
"2019","indirekter Migrationshintergrund","weiblich","","","","","","","","","","","","","",""
"2019","kein Migrationshintergrund","maennlich","","","","","","","","","","","","","",""
"2019","kein Migrationshintergrund","weiblich","","","","","","","","","","","","","",""
"2019","Migrationshintergrund - n. w. differenzierbar","maennlich","","","","","","","","","","","","","",""
"2019","Migrationshintergrund - n. w. differenzierbar","weiblich","","","","","","","","","","","","","",""
"2020","direkter Migrationshintergrund","maennlich","6.09","5.5","4981","5","6","7","7","7","6.06","6.12","1","7","7","7"
"2020","direkter Migrationshintergrund","weiblich","6.07","5.5","4117","5","6","7","7","7","6.03","6.11","1","7","7","7"
"2020","indirekter Migrationshintergrund","maennlich","5.88","5.5","782","4","5","7","7","7","5.8","5.96","1","7","6","6"
"2020","indirekter Migrationshintergrund","weiblich","5.94","5.5","889","4","5","7","7","7","5.86","6.02","1","7","6","6"
"2020","kein Migrationshintergrund","maennlich","5.86","5.5","8822","4","5","7","7","7","5.84","5.88","1","7","6","6"
"2020","kein Migrationshintergrund","weiblich","5.76","5.5","9786","4","5","7","7","7","5.74","5.78","1","7","6","6"
"2020","Migrationshintergrund - n. w. differenzierbar","maennlich","","","","","","","","","","","","","",""
"2020","Migrationshintergrund - n. w. differenzierbar","weiblich","","","","","","","","","","","","","",""
