year,migback,sampreg,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
2015,kein Migrationshintergrund,Ostdeutschland,5.849733621907072,5.833839391141315,5.865627852672829,5.0,6.0,7.0,2.0,7.0,6.0,6.0,6.0,4861.0
2015,direkter Migrationshintergrund,Westdeutschland,6.1213030178553165,6.106461646521338,6.136144389189295,6.0,6.0,7.0,4.5,7.0,6.0,5.0,6.0,5416.0
2015,direkter Migrationshintergrund,Ostdeutschland,5.918119132504866,5.858505899875048,5.977732365134683,5.0,6.0,7.0,2.0,7.0,6.0,5.0,6.0,431.0
2015,indirekter Migrationshintergrund,Westdeutschland,5.985573687711782,5.956784340540295,6.014363034883269,5.0,6.0,7.0,2.0,7.0,6.0,6.0,6.0,1518.0
2015,indirekter Migrationshintergrund,Ostdeutschland,5.934980761723978,5.823021177839386,6.0469403456085695,5.0,6.0,7.0,2.0,7.0,6.0,6.0,6.0,94.0
2016,kein Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
2016,kein Migrationshintergrund,Ostdeutschland,,,,,,,,,,,,
2016,direkter Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
2016,direkter Migrationshintergrund,Ostdeutschland,,,,,,,,,,,,
2016,indirekter Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
2016,indirekter Migrationshintergrund,Ostdeutschland,,,,,,,,,,,,
2017,kein Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
2017,kein Migrationshintergrund,Ostdeutschland,,,,,,,,,,,,
2017,direkter Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
2017,direkter Migrationshintergrund,Ostdeutschland,,,,,,,,,,,,
2017,indirekter Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
2017,indirekter Migrationshintergrund,Ostdeutschland,,,,,,,,,,,,
2018,kein Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
2018,kein Migrationshintergrund,Ostdeutschland,,,,,,,,,,,,
2018,direkter Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
2018,direkter Migrationshintergrund,Ostdeutschland,,,,,,,,,,,,
2018,indirekter Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
2018,indirekter Migrationshintergrund,Ostdeutschland,,,,,,,,,,,,
2019,kein Migrationshintergrund,-2,,,,,,,,,,,,
2019,kein Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
2019,kein Migrationshintergrund,Ostdeutschland,,,,,,,,,,,,
2019,direkter Migrationshintergrund,-2,,,,,,,,,,,,
2019,direkter Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
2019,direkter Migrationshintergrund,Ostdeutschland,,,,,,,,,,,,
2019,indirekter Migrationshintergrund,-2,,,,,,,,,,,,
2019,indirekter Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
2019,indirekter Migrationshintergrund,Ostdeutschland,,,,,,,,,,,,
2020,kein Migrationshintergrund,Westdeutschland,5.784983737065524,5.775533610152514,5.794433863978534,5.0,6.0,7.0,2.0,7.0,6.0,6.0,6.0,13828.0
2020,kein Migrationshintergrund,Ostdeutschland,5.89422519614302,5.878270217145796,5.910180175140243,5.0,6.0,7.0,2.0,7.0,6.0,6.0,6.0,4696.0
2020,direkter Migrationshintergrund,Westdeutschland,6.066986666882347,6.054757406421522,6.079215927343172,6.0,6.0,7.0,4.5,7.0,6.0,6.0,6.0,8227.0
2020,direkter Migrationshintergrund,Ostdeutschland,6.320251538427609,6.290178508076589,6.350324568778629,6.0,7.0,7.0,4.5,7.0,7.0,7.0,8.0,988.0
2020,indirekter Migrationshintergrund,Westdeutschland,5.944593630153467,5.91449383364152,5.974693426665415,5.0,6.0,7.0,2.0,7.0,6.0,6.0,6.0,1416.0
2020,indirekter Migrationshintergrund,Ostdeutschland,5.642092843373215,5.5428873148189535,5.741298371927476,5.0,6.0,6.0,3.5,7.0,6.0,6.0,7.0,116.0
2021,kein Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
2021,kein Migrationshintergrund,Ostdeutschland,,,,,,,,,,,,
2021,direkter Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
2021,direkter Migrationshintergrund,Ostdeutschland,,,,,,,,,,,,
2021,indirekter Migrationshintergrund,Westdeutschland,,,,,,,,,,,,
2021,indirekter Migrationshintergrund,Ostdeutschland,,,,,,,,,,,,
