year,migback,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
2006,kein Migrationshintergrund,,,,,,,,,,,,
2006,direkter Migrationshintergrund,,,,,,,,,,,,
2006,indirekter Migrationshintergrund,,,,,,,,,,,,
2007,kein Migrationshintergrund,,,,,,,,,,,,
2007,direkter Migrationshintergrund,,,,,,,,,,,,
2007,indirekter Migrationshintergrund,,,,,,,,,,,,
2008,kein Migrationshintergrund,,,,,,,,,,,,
2008,direkter Migrationshintergrund,,,,,,,,,,,,
2008,indirekter Migrationshintergrund,,,,,,,,,,,,
2009,kein Migrationshintergrund,,,,,,,,,,,,
2009,direkter Migrationshintergrund,,,,,,,,,,,,
2009,indirekter Migrationshintergrund,,,,,,,,,,,,
2010,kein Migrationshintergrund,5.807985571652171,5.798319723830282,5.8176514194740605,5.0,6.0,7.0,2.0,7.0,6.0,6.0,6.0,14455.0
2010,direkter Migrationshintergrund,5.993062976038385,5.962673276940539,6.023452675136232,5.0,6.0,7.0,2.0,7.0,6.0,6.0,6.0,1452.0
2010,indirekter Migrationshintergrund,5.919602652430594,5.8744280079296045,5.964777296931584,5.0,6.0,7.0,2.0,7.0,6.0,6.0,6.0,652.0
2011,kein Migrationshintergrund,,,,,,,,,,,,
2011,direkter Migrationshintergrund,,,,,,,,,,,,
2011,indirekter Migrationshintergrund,,,,,,,,,,,,
2012,kein Migrationshintergrund,,,,,,,,,,,,
2012,direkter Migrationshintergrund,,,,,,,,,,,,
2012,indirekter Migrationshintergrund,,,,,,,,,,,,
2013,kein Migrationshintergrund,,,,,,,,,,,,
2013,direkter Migrationshintergrund,,,,,,,,,,,,
2013,indirekter Migrationshintergrund,,,,,,,,,,,,
2014,kein Migrationshintergrund,,,,,,,,,,,,
2014,direkter Migrationshintergrund,,,,,,,,,,,,
2014,indirekter Migrationshintergrund,,,,,,,,,,,,
2015,kein Migrationshintergrund,5.832579025765282,5.824560182793325,5.840597868737239,5.0,6.0,7.0,2.0,7.0,6.0,6.0,6.0,19116.0
2015,direkter Migrationshintergrund,6.110413404278892,6.0960100154345644,6.124816793123219,6.0,6.0,7.0,4.5,7.0,6.0,5.0,6.0,5847.0
2015,indirekter Migrationshintergrund,5.9836302418546214,5.955726030473869,6.011534453235374,5.0,6.0,7.0,2.0,7.0,6.0,6.0,6.0,1612.0
2016,kein Migrationshintergrund,,,,,,,,,,,,
2016,direkter Migrationshintergrund,,,,,,,,,,,,
2016,indirekter Migrationshintergrund,,,,,,,,,,,,
2017,kein Migrationshintergrund,,,,,,,,,,,,
2017,direkter Migrationshintergrund,,,,,,,,,,,,
2017,indirekter Migrationshintergrund,,,,,,,,,,,,
2018,kein Migrationshintergrund,,,,,,,,,,,,
2018,direkter Migrationshintergrund,,,,,,,,,,,,
2018,indirekter Migrationshintergrund,,,,,,,,,,,,
2019,kein Migrationshintergrund,,,,,,,,,,,,
2019,direkter Migrationshintergrund,,,,,,,,,,,,
2019,indirekter Migrationshintergrund,,,,,,,,,,,,
2020,kein Migrationshintergrund,5.807243152048415,5.799099119209522,5.815387184887308,5.0,6.0,7.0,2.0,7.0,6.0,6.0,6.0,18524.0
2020,direkter Migrationshintergrund,6.080789133504744,6.069306468326112,6.0922717986833765,6.0,6.0,7.0,4.5,7.0,6.0,6.0,6.0,9215.0
2020,indirekter Migrationshintergrund,5.92620747325521,5.897313343762779,5.955101602747641,5.0,6.0,7.0,2.0,7.0,6.0,6.0,6.0,1532.0
2021,kein Migrationshintergrund,,,,,,,,,,,,
2021,direkter Migrationshintergrund,,,,,,,,,,,,
2021,indirekter Migrationshintergrund,,,,,,,,,,,,
